wavelength,flux,ivar
3338.6965,0.123,0.0236
3338.7293,0.8297,0.9934
3338.7621,0.2235,0.0724
3338.7949,0.5903,0.512
3338.8277,0.6675,0.6364
3338.8605,0.7498,0.8249
3338.8933,1.4854,3.271
3338.9917,0.4193,0.2761
3339.0245,0.88,1.1458
3339.0573,1.2748,2.587
3339.0902,1.3156,2.6764
3339.123,0.9827,1.4602
3339.1558,1.8868,5.454
3339.1886,0.8924,1.3211
3339.2214,0.7539,0.9536
3339.287,1.1662,2.1667
3339.3198,1.1645,2.0656
3339.3526,0.5361,0.4721
3339.3854,0.7864,1.0404
3339.4182,0.514,0.4396
3339.451,1.1001,2.0563
3339.4838,0.7262,0.8996
3339.5166,1.7252,5.1988
3339.5494,1.166,2.2732
3339.5822,1.2301,2.491
3339.615,0.9791,1.6387
3339.6478,0.5838,0.5899
3339.6806,0.1617,0.0462
3339.7134,1.4353,3.332
3339.7463,0.9523,1.5237
3339.7791,1.133,2.1937
3339.8119,1.5539,4.1788
3339.8447,0.7813,1.1166
3339.8775,0.6519,0.7921
3339.9103,1.0567,2.0087
3339.9431,1.84,5.6912
3339.9759,1.7787,5.5041
3340.0087,0.7463,1.0292
3340.0415,1.0314,1.9103
3340.0743,1.0225,1.7926
3340.1071,0.8032,1.1862
3340.1399,2.0144,7.1089
3340.1727,0.6734,0.8634
3340.2055,1.7785,5.6656
3340.2383,0.3175,0.1959
3340.3039,0.435,0.3497
3340.3695,0.5458,0.5586
3340.4023,0.5499,0.565
3340.4352,0.4103,0.3368
3340.468,1.5122,4.2443
3340.5008,0.294,0.1674
3340.5336,0.5304,0.5289
3340.5664,1.439,3.9054
3340.5992,0.9891,1.8491
3340.632,1.4001,3.5946
3340.6976,0.1597,0.0518
3340.7304,1.2791,3.1842
3340.7632,1.7192,5.6674
3340.796,0.3769,0.2817
3340.8288,0.897,1.5739
3340.8616,1.5205,4.602
3340.8944,1.1209,2.5621
3340.9272,2.3243,10.3641
3340.96,1.5328,4.465
3340.9928,0.6592,0.8894
3341.0256,1.2888,3.6425
3341.0584,1.6155,5.2185
3341.0913,0.9722,1.9576
3341.1241,1.3591,4.0508
3341.1569,1.1919,2.9504
3341.1897,1.1234,2.7038
3341.2225,1.1688,2.8536
3341.2553,1.1044,2.6307
3341.2881,0.924,1.739
3341.3209,0.4864,0.4829
3341.3537,1.7924,6.6591
3341.3865,1.1502,2.7538
3341.4193,0.9451,1.903
3341.4521,2.1187,9.1537
3341.4849,0.5354,0.6068
3341.5177,0.915,1.9144
3341.5505,1.2215,3.4567
3341.5833,0.9577,2.0458
3341.6161,1.2407,3.5463
3341.6489,0.5802,0.8091
3341.6817,2.0619,9.4933
3341.7145,0.8675,1.74
3341.7473,0.2717,0.172
3341.7802,1.4922,5.1717
3341.813,0.461,0.5313
3341.8458,0.4757,0.5464
3341.8786,0.4469,0.4789
3341.9114,0.797,1.4669
3341.9442,1.0382,2.4495
3341.977,0.8321,1.6049
3342.0098,1.1927,3.3028
3342.0426,1.2838,3.995
3342.0754,1.6404,6.4012
3342.1082,0.5412,0.7246
3342.141,1.4528,5.0461
3342.1738,1.7303,7.2214
3342.2066,1.0566,2.8359
3342.2394,1.81,7.9681
3342.2722,1.646,6.8189
3342.305,1.0609,2.9214
3342.3378,0.8728,1.8653
3342.3706,1.2638,3.9523
3342.4034,0.7119,1.3321
3342.4363,2.0605,10.6467
3342.4691,1.0617,2.8332
3342.5019,0.2292,0.1377
3342.5347,1.7003,7.4064
3342.5675,0.9339,2.2315
3342.6003,1.1141,3.2526
3342.6331,0.912,2.2714
3342.6659,1.3795,4.941
3342.6987,1.0955,3.0119
3342.7315,1.1028,3.2672
3342.7643,1.5585,6.5079
3342.7971,0.89,2.1358
3342.8299,0.921,2.1581
3342.8627,0.3515,0.3302
3342.8955,0.2155,0.1235
3342.9283,1.2521,4.3571
3342.9611,0.8538,1.9915
3342.9939,1.6006,6.9176
3343.0267,1.4285,5.6303
3343.0595,0.5194,0.7273
3343.0923,1.1716,3.5403
3343.1252,1.2693,4.2383
3343.158,0.7229,1.4796
3343.1908,0.5841,0.9342
3343.2236,1.8309,9.0709
3343.2564,1.0414,2.9057
3343.2892,0.7699,1.6754
3343.322,0.7902,1.7521
3343.3548,0.7995,1.854
3343.3876,1.4171,5.7643
3343.4204,0.9891,2.7981
3343.4532,1.5013,6.2932
3343.486,0.5792,0.9691
3343.5188,1.0055,2.8988
3343.5516,0.9184,2.4193
3343.5844,0.5385,0.8582
3343.65,0.6526,1.2738
3343.6828,1.1812,4.1844
3343.7156,0.6586,1.2769
3343.7484,0.4677,0.631
3343.7813,0.1041,0.0342
3343.8141,1.804,9.2407
3343.8469,0.566,0.9263
3343.8797,0.8811,2.3806
3343.9125,1.5316,6.9552
3343.9453,0.6285,1.1837
3343.9781,1.0458,3.3323
3344.0109,1.6104,7.7488
3344.0437,1.2319,4.5867
3344.0765,0.5846,1.0503
3344.1093,0.7688,1.8801
3344.1421,0.8517,2.1859
3344.1749,0.7142,1.605
3344.2077,1.0643,3.5053
3344.2405,0.8235,2.1191
3344.2733,1.2052,4.463
3344.3061,1.2786,4.9634
3344.3389,0.4179,0.5647
3344.3717,0.4099,0.5511
3344.4045,0.2278,0.1734
3344.4374,0.4024,0.5076
3344.4702,1.2045,4.6167
3344.503,1.6248,8.3949
3344.5358,1.3936,6.4408
3344.5686,1.4009,6.0814
3344.6014,1.1907,4.8907
3344.6342,0.5576,1.0816
3344.667,0.2312,0.1754
3344.6998,1.1026,3.9198
3344.7326,1.402,6.409
3344.7654,1.5192,7.4937
3344.7982,0.8089,2.2485
3344.831,0.7331,1.8124
3344.8638,0.7252,1.836
3344.8966,0.5991,1.2803
3344.9294,1.4747,7.1907
3344.9622,1.5771,8.3562
3344.995,1.0103,3.4671
3345.0278,1.0614,3.8562
3345.0606,1.7818,10.8649
3345.0934,1.4188,6.8551
3345.1263,0.7639,2.0868
3345.1591,1.4926,7.8447
3345.1919,0.5162,0.9435
3345.2247,0.9436,3.1649
3345.2575,1.2794,5.887
3345.2903,1.3432,6.4466
3345.3231,1.0266,3.7469
3345.3559,0.8067,2.2915
3345.3887,0.8258,2.3911
3345.4215,1.1684,4.7472
3345.4543,1.6357,9.1498
3345.4871,0.9177,3.1741
3345.5199,0.32,0.3927
3345.5527,1.0758,4.3545
3345.5855,0.803,2.537
3345.6183,0.9906,3.6341
3345.6511,1.0812,4.3908
3345.6839,0.5818,1.3364
3345.7167,1.5684,9.2811
3345.7495,1.1453,5.019
3345.7824,1.4831,8.062
3345.8152,1.4132,7.2202
3345.848,0.6674,1.7369
3345.8808,1.2882,6.2635
3345.9136,1.3504,6.8133
3345.9464,1.3508,6.9514
3345.9792,0.922,3.1385
3346.012,0.8055,2.3752
3346.0448,0.1702,0.1185
3346.0776,0.4383,0.7773
3346.1104,1.3089,6.4896
3346.1432,1.2537,5.9542
3346.176,0.5564,1.2142
3346.2088,0.543,1.1984
3346.2416,0.7501,2.2532
3346.2744,0.2383,0.2309
3346.3072,0.7763,2.3931
3346.34,1.2909,6.8349
3346.3728,0.8996,3.4277
3346.4056,0.9338,3.4695
3346.4384,1.0644,4.5781
3346.4713,0.959,3.7079
3346.5041,1.1139,4.8761
3346.5369,1.3167,6.9721
3346.6025,1.5747,9.7473
3346.6353,0.7334,2.3949
3346.6681,1.3857,7.8715
3346.7009,0.5777,1.4117
3346.7337,0.7283,2.1927
3346.7665,1.0513,4.8509
3346.7993,2.0133,16.4411
3346.8321,0.901,3.5155
3346.8649,0.929,3.6807
3346.8977,1.098,5.2442
3346.9305,1.4383,8.0595
3346.9633,1.3877,7.9417
3346.9961,0.9479,3.8125
3347.0289,0.7936,2.6478
3347.0617,0.899,3.5103
3347.0945,1.2067,6.2514
3347.1274,1.1662,5.8108
3347.1602,1.1698,5.7624
3347.193,0.9801,4.1775
3347.2258,1.0972,5.222
3347.2586,1.2064,6.4388
3347.2914,0.6141,1.6516
3347.3242,0.6492,1.8313
3347.357,0.5688,1.4366
3347.3898,0.907,3.7617
3347.4226,0.3559,0.5456
3347.4554,0.8084,2.9807
3347.4882,0.8041,3.1856
3347.521,0.9592,4.2405
3347.5538,1.5525,11.2967
3347.5866,1.1253,5.573
3347.6194,1.6028,11.3266
3347.6522,1.1052,5.4353
3347.685,0.8216,3.2183
3347.7178,1.1974,6.5059
3347.7506,1.1137,5.7381
3347.7834,0.9369,4.1568
3347.8163,2.253,21.4476
3347.8491,1.1447,6.2917
3347.8819,0.8089,3.2223
3347.9147,1.5598,11.032
3347.9475,0.385,0.7234
3347.9803,0.6508,2.0131
3348.0131,0.637,1.9868
3348.0459,1.1567,6.3458
3348.0787,0.8723,3.4718
3348.1115,0.061,0.0182
3348.1443,1.1623,6.4797
3348.1494,1.1383,6.2604
3348.1822,1.1786,7.4965
3348.215,1.8823,17.8174
3348.2478,0.6573,2.0796
3348.2806,0.8102,3.2592
3348.3134,1.0433,5.5483
3348.3462,0.7663,3.068
3348.379,1.3159,7.8477
3348.4118,1.2225,7.1877
3348.4446,1.1363,6.725
3348.4774,0.6561,2.5351
3348.5102,1.2978,8.4019
3348.5431,1.1238,6.1477
3348.5759,1.0527,5.5589
3348.6087,1.3052,8.9127
3348.6415,1.2243,7.6358
3348.6743,0.8931,4.1711
3348.7071,1.2852,8.041
3348.7399,1.1759,7.3032
3348.7727,0.4995,1.3058
3348.8055,0.7377,3.3978
3348.8383,1.5101,11.733
3348.8711,1.2931,8.7906
3348.9039,0.8944,4.3079
3348.9367,0.9168,4.5156
3348.9695,0.5947,2.0352
3349.0023,0.7777,3.5942
3349.0351,0.2885,0.713
3349.0679,0.8247,3.5009
3349.1007,0.765,2.9828
3349.1335,0.5432,1.7395
3349.1663,0.9386,4.7012
3349.1991,1.0022,5.0259
3349.232,1.1117,6.3218
3349.2648,1.0088,5.0457
3349.2976,0.9512,5.6974
3349.3304,1.297,7.457
3349.3632,0.9067,5.1001
3349.396,0.7189,3.6159
3349.4288,1.0229,2.9916
3349.4616,1.3947,9.9257
3349.4944,1.2908,10.6756
3349.5272,0.682,2.8591
3349.56,1.2639,9.2175
