year,month,lat,lon,mucape_jkg,shr6_ms,tcw_kgm2,hmelt_m,flh_m
2014,8,5.0,100.75,857,9.26,55.67,4842,4979
2014,8,11.5,103.25,2643,9.47,54.44,4902,5061
2014,8,12.5,105.5,3651,8.03,55.93,4793,4871
2014,8,16.25,107.25,3265,3.29,46.63,4261,4953
2014,8,25.0,86.0,3234,4.15,62.57,5308,5410
2014,8,25.5,86.25,2901,6.19,65.11,5340,5389
2014,8,14.5,43.25,2072,8.81,50.8,4790,4909
2014,8,8.0,17.5,1750,10.0,50.98,4125,4526
2014,8,7.5,283.0,1013,1.3,61.7,4815,4905
2014,8,19.5,100.75,1964,2.84,50.54,4518,5173
2014,8,21.75,78.25,2261,5.5,50.98,4429,5104
2014,8,0.75,27.25,3452,3.35,42.74,4173,4807
2014,8,-11.0,293.0,1560,5.54,46.84,4442,4618
2014,8,-11.5,294.25,1708,5.02,47.72,4484,4646
2014,8,-4.25,297.0,3058,3.32,51.71,4581,4685
2014,8,40.5,273.0,3309,6.89,46.91,4401,4622
2014,8,22.25,81.0,2004,6.92,51.07,4603,5217
2014,8,20.25,254.75,2676,6.78,46.31,4574,5220
2014,8,14.0,17.5,3747,11.95,50.77,4366,4663
2014,8,14.75,17.0,3136,12.17,45.29,4368,4654
2014,8,13.5,10.75,5176,11.82,46.88,4403,4752
2014,8,11.5,11.5,4650,9.23,48.94,4295,4678
2014,8,-1.0,25.25,4126,3.91,46.47,4278,4748
2014,9,27.0,73.25,1947,4.8,55.13,4940,5241
2014,9,32.5,74.5,2256,6.99,52.86,4582,4824
2014,9,12.0,355.5,1912,11.43,51.76,4194,4581
2014,9,10.5,351.0,2834,9.9,48.28,4378,4790
2014,9,9.25,279.5,2589,8.83,53.86,4865,4968
2014,9,27.75,249.75,4518,7.73,52.73,4997,5112
2014,9,23.75,284.0,1926,8.34,51.7,4336,4480
2014,9,39.0,284.0,2058,8.63,53.78,4277,4393
2014,9,18.0,283.5,1449,4.64,51.87,4353,4606
2014,9,9.5,285.0,2701,7.51,57.78,4810,4930
2014,9,9.0,287.25,3139,6.18,59.21,4809,4885
2014,9,24.0,94.5,2061,2.14,62.3,4931,5101
2014,9,12.75,357.0,2761,9.36,49.4,4538,4820
2014,9,13.0,343.25,1184,9.43,54.16,4803,4911
2014,9,15.5,272.75,1688,2.51,52.48,4232,4766
2014,9,1.25,20.25,3102,11.19,46.91,4631,4992
2014,9,9.0,352.75,3365,10.57,48.59,4354,4735
2014,9,32.0,272.25,1888,4.27,49.03,4738,4867
2014,9,30.0,249.25,3462,4.15,40.29,3946,4766
2014,9,24.0,88.25,3027,3.88,61.95,5149,5170
2014,9,-4.5,297.5,2279,7.51,53.0,4893,4978
2014,9,27.25,114.25,2562,11.45,53.98,4890,5226
2014,9,-12.5,303.5,5167,12.86,41.22,4530,4867
2014,9,0.5,110.0,3853,11.5,52.04,4678,4753
2014,9,20.0,79.0,2889,4.19,52.62,5122,5339
2014,9,12.25,21.75,2534,6.56,44.24,4272,4849
2014,9,-23.25,301.75,3733,26.78,48.23,4400,4493
2014,9,-22.5,301.5,2019,18.72,45.77,4490,4587
2014,9,-23.75,303.5,1705,24.49,49.28,4311,4490
2014,9,11.25,30.0,2038,7.87,52.34,4470,5052
