antibody_short,animal,semana,inmunogeno,kd_molar,tipo,se_une
RTq20_wk12_18,RTq20,12,Q23.17_MD39_L14,1.4050e-05,aislado_clinico,0
RTq20_wk12_18,RTq20,12,SHIV_AD8_MD64,1.2640e-05,aislado_clinico,0
RTq20_wk12_18,RTq20,12,DU422-1_MD39v2_L14,1.5520e-05,aislado_clinico,0
RTq20_wk12_18,RTq20,12,p1981_MD39_BET1,1.2650e-05,aislado_clinico,0
RTq20_wk12_18,RTq20,12,TRO_11_MD39,1.2900e-05,aislado_clinico,0
RTq20_wk12_18,RTq20,12,0712_250_pblib001_RnS-2G_L14,1.3920e-05,aislado_clinico,0
RTq20_wk12_18,RTq20,12,0860_150_con_RnS-2G_L14,1.2820e-05,aislado_clinico,0
RTq20_wk12_18,RTq20,12,1026_120_sgaA5_RnS-2G_L14,1.0700e-05,aislado_clinico,0
RTq20_wk12_18,RTq20,12,V703-0537-RnSv2-2G_L14,1.4090e-05,aislado_clinico,0
RYo20_wk12_20,RYo20,12,N332-GT5 gp140,7.0780e-11,prime,1
RYo20_wk12_20,RYo20,12,SF162P3_MD64_B20,1.2400e-05,aislado_clinico,0
RYo20_wk12_20,RYo20,12,DU156_MD39_BET1,1.3640e-05,aislado_clinico,0
RYo20_wk12_20,RYo20,12,Q23.17_MD39_L14,1.4050e-05,aislado_clinico,0
RYo20_wk12_20,RYo20,12,SHIV_AD8_MD64,1.2640e-05,aislado_clinico,0
RYo20_wk12_20,RYo20,12,DU422-1_MD39v2_L14,1.5520e-05,aislado_clinico,0
RYo20_wk12_20,RYo20,12,p1981_MD39_BET1,1.2650e-05,aislado_clinico,0
RYo20_wk12_20,RYo20,12,TRO_11_MD39,1.2900e-05,aislado_clinico,0
RYo20_wk12_20,RYo20,12,0712_250_pblib001_RnS-2G_L14,1.3920e-05,aislado_clinico,0
RYo20_wk12_20,RYo20,12,0860_150_con_RnS-2G_L14,1.2820e-05,aislado_clinico,0
RYo20_wk12_20,RYo20,12,1026_120_sgaA5_RnS-2G_L14,1.0700e-05,aislado_clinico,0
RYo20_wk12_20,RYo20,12,V703-0537-RnSv2-2G_L14,1.4090e-05,aislado_clinico,0
RYo20_wk12_43,RYo20,12,N332-GT5 gp140,8.7830e-11,prime,1
RYo20_wk12_43,RYo20,12,SF162P3_MD64_B20,1.2400e-05,aislado_clinico,0
RYo20_wk12_43,RYo20,12,DU156_MD39_BET1,1.3640e-05,aislado_clinico,0
RYo20_wk12_43,RYo20,12,Q23.17_MD39_L14,1.4050e-05,aislado_clinico,0
RYo20_wk12_43,RYo20,12,SHIV_AD8_MD64,1.2640e-05,aislado_clinico,0
RYo20_wk12_43,RYo20,12,DU422-1_MD39v2_L14,1.5520e-05,aislado_clinico,0
RYo20_wk12_43,RYo20,12,p1981_MD39_BET1,1.2650e-05,aislado_clinico,0
RYo20_wk12_43,RYo20,12,TRO_11_MD39,1.2900e-05,aislado_clinico,0
RYo20_wk12_43,RYo20,12,0712_250_pblib001_RnS-2G_L14,1.3920e-05,aislado_clinico,0
RYo20_wk12_43,RYo20,12,0860_150_con_RnS-2G_L14,1.2820e-05,aislado_clinico,0
RYo20_wk12_43,RYo20,12,1026_120_sgaA5_RnS-2G_L14,1.0700e-05,aislado_clinico,0
RYo20_wk12_43,RYo20,12,V703-0537-RnSv2-2G_L14,1.4090e-05,aislado_clinico,0
RKm20_wk12_09,RKm20,12,N332-GT5 gp140,1.9320e-11,prime,1
RKm20_wk12_09,RKm20,12,SF162P3_MD64_B20,1.6680e-06,aislado_clinico,0
RKm20_wk12_09,RKm20,12,DU156_MD39_BET1,1.3640e-05,aislado_clinico,0
RKm20_wk12_09,RKm20,12,Q23.17_MD39_L14,1.4050e-05,aislado_clinico,0
RKm20_wk12_09,RKm20,12,SHIV_AD8_MD64,1.2640e-05,aislado_clinico,0
RKm20_wk12_09,RKm20,12,DU422-1_MD39v2_L14,1.5520e-05,aislado_clinico,0
RKm20_wk12_09,RKm20,12,p1981_MD39_BET1,1.2650e-05,aislado_clinico,0
RKm20_wk12_09,RKm20,12,TRO_11_MD39,1.2900e-05,aislado_clinico,0
RKm20_wk12_09,RKm20,12,0712_250_pblib001_RnS-2G_L14,1.3920e-05,aislado_clinico,0
RKm20_wk12_09,RKm20,12,0860_150_con_RnS-2G_L14,1.2820e-05,aislado_clinico,0
RKm20_wk12_09,RKm20,12,1026_120_sgaA5_RnS-2G_L14,1.0700e-05,aislado_clinico,0
RKm20_wk12_09,RKm20,12,V703-0537-RnSv2-2G_L14,1.4090e-05,aislado_clinico,0
RKm20_wk12_28,RKm20,12,N332-GT5 gp140,7.9000e-11,prime,1
RKm20_wk12_28,RKm20,12,SF162P3_MD64_B20,1.2400e-05,aislado_clinico,0
RKm20_wk12_28,RKm20,12,DU156_MD39_BET1,1.3640e-05,aislado_clinico,0
RKm20_wk12_28,RKm20,12,Q23.17_MD39_L14,1.4050e-05,aislado_clinico,0
RKm20_wk12_28,RKm20,12,SHIV_AD8_MD64,1.2640e-05,aislado_clinico,0
RKm20_wk12_28,RKm20,12,DU422-1_MD39v2_L14,1.5520e-05,aislado_clinico,0
RKm20_wk12_28,RKm20,12,p1981_MD39_BET1,1.2650e-05,aislado_clinico,0
RKm20_wk12_28,RKm20,12,TRO_11_MD39,1.2900e-05,aislado_clinico,0
RKm20_wk12_28,RKm20,12,0712_250_pblib001_RnS-2G_L14,1.3920e-05,aislado_clinico,0
RKm20_wk12_28,RKm20,12,0860_150_con_RnS-2G_L14,1.2820e-05,aislado_clinico,0
RKm20_wk12_28,RKm20,12,1026_120_sgaA5_RnS-2G_L14,1.0700e-05,aislado_clinico,0
RKm20_wk12_28,RKm20,12,V703-0537-RnSv2-2G_L14,1.4090e-05,aislado_clinico,0
RKm20_wk12_29,RKm20,12,N332-GT5 gp140,2.4490e-11,prime,1
RKm20_wk12_29,RKm20,12,SF162P3_MD64_B20,1.2400e-05,aislado_clinico,0
RKm20_wk12_29,RKm20,12,DU156_MD39_BET1,1.3640e-05,aislado_clinico,0
RKm20_wk12_29,RKm20,12,Q23.17_MD39_L14,1.4050e-05,aislado_clinico,0
RKm20_wk12_29,RKm20,12,SHIV_AD8_MD64,1.2640e-05,aislado_clinico,0
RKm20_wk12_29,RKm20,12,DU422-1_MD39v2_L14,1.5520e-05,aislado_clinico,0
RKm20_wk12_29,RKm20,12,p1981_MD39_BET1,1.2650e-05,aislado_clinico,0
RKm20_wk12_29,RKm20,12,TRO_11_MD39,1.2900e-05,aislado_clinico,0
RKm20_wk12_29,RKm20,12,0712_250_pblib001_RnS-2G_L14,1.3920e-05,aislado_clinico,0
RKm20_wk12_29,RKm20,12,0860_150_con_RnS-2G_L14,1.2820e-05,aislado_clinico,0
RKm20_wk12_29,RKm20,12,1026_120_sgaA5_RnS-2G_L14,1.0700e-05,aislado_clinico,0
RKm20_wk12_29,RKm20,12,V703-0537-RnSv2-2G_L14,1.4090e-05,aislado_clinico,0
RPe21_wk12_13,RPe21,12,N332-GT5 gp140,1.5880e-11,prime,1
RPe21_wk12_13,RPe21,12,SF162P3_MD64_B20,1.2400e-05,aislado_clinico,0
RPe21_wk12_13,RPe21,12,DU156_MD39_BET1,1.3640e-05,aislado_clinico,0
RPe21_wk12_13,RPe21,12,Q23.17_MD39_L14,1.4050e-05,aislado_clinico,0
RPe21_wk12_13,RPe21,12,SHIV_AD8_MD64,1.2640e-05,aislado_clinico,0
RPe21_wk12_13,RPe21,12,DU422-1_MD39v2_L14,1.5520e-05,aislado_clinico,0
RPe21_wk12_13,RPe21,12,p1981_MD39_BET1,1.2650e-05,aislado_clinico,0
RPe21_wk12_13,RPe21,12,TRO_11_MD39,1.2900e-05,aislado_clinico,0
RPe21_wk12_13,RPe21,12,0712_250_pblib001_RnS-2G_L14,1.3920e-05,aislado_clinico,0
RPe21_wk12_13,RPe21,12,0860_150_con_RnS-2G_L14,1.2820e-05,aislado_clinico,0
RPe21_wk12_13,RPe21,12,1026_120_sgaA5_RnS-2G_L14,1.0700e-05,aislado_clinico,0
RPe21_wk12_13,RPe21,12,V703-0537-RnSv2-2G_L14,1.4090e-05,aislado_clinico,0
RPe21_wk12_34,RPe21,12,N332-GT5 gp140,9.3850e-11,prime,1
RPe21_wk12_34,RPe21,12,SF162P3_MD64_B20,1.2400e-05,aislado_clinico,0
RPe21_wk12_34,RPe21,12,DU156_MD39_BET1,1.3640e-05,aislado_clinico,0
RPe21_wk12_34,RPe21,12,Q23.17_MD39_L14,1.4050e-05,aislado_clinico,0
RPe21_wk12_34,RPe21,12,SHIV_AD8_MD64,1.2640e-05,aislado_clinico,0
RPe21_wk12_34,RPe21,12,DU422-1_MD39v2_L14,1.5520e-05,aislado_clinico,0
RPe21_wk12_34,RPe21,12,p1981_MD39_BET1,1.2650e-05,aislado_clinico,0
RPe21_wk12_34,RPe21,12,TRO_11_MD39,1.2900e-05,aislado_clinico,0
RPe21_wk12_34,RPe21,12,0712_250_pblib001_RnS-2G_L14,1.3920e-05,aislado_clinico,0
RPe21_wk12_34,RPe21,12,0860_150_con_RnS-2G_L14,1.2820e-05,aislado_clinico,0
RPe21_wk12_34,RPe21,12,1026_120_sgaA5_RnS-2G_L14,1.0700e-05,aislado_clinico,0
RPe21_wk12_34,RPe21,12,V703-0537-RnSv2-2G_L14,1.4090e-05,aislado_clinico,0
RPe21_wk12_35,RPe21,12,N332-GT5 gp140,2.5070e-11,prime,1
RPe21_wk12_35,RPe21,12,SF162P3_MD64_B20,1.2400e-05,aislado_clinico,0
RPe21_wk12_35,RPe21,12,DU156_MD39_BET1,1.3640e-05,aislado_clinico,0
RPe21_wk12_35,RPe21,12,Q23.17_MD39_L14,1.4050e-05,aislado_clinico,0
RPe21_wk12_35,RPe21,12,SHIV_AD8_MD64,1.2640e-05,aislado_clinico,0
RPe21_wk12_35,RPe21,12,DU422-1_MD39v2_L14,1.5520e-05,aislado_clinico,0
RPe21_wk12_35,RPe21,12,p1981_MD39_BET1,1.2650e-05,aislado_clinico,0
RPe21_wk12_35,RPe21,12,TRO_11_MD39,1.2900e-05,aislado_clinico,0
RPe21_wk12_35,RPe21,12,0712_250_pblib001_RnS-2G_L14,1.3920e-05,aislado_clinico,0
RPe21_wk12_35,RPe21,12,0860_150_con_RnS-2G_L14,1.2820e-05,aislado_clinico,0
RPe21_wk12_35,RPe21,12,1026_120_sgaA5_RnS-2G_L14,1.0700e-05,aislado_clinico,0
RPe21_wk12_35,RPe21,12,V703-0537-RnSv2-2G_L14,1.4090e-05,aislado_clinico,0
RRr20_wk12_15,RRr20,12,N332-GT5 gp140,1.2160e-07,prime,1
RRr20_wk12_15,RRr20,12,SF162P3_MD64_B20,1.2400e-05,aislado_clinico,0
RRr20_wk12_15,RRr20,12,DU156_MD39_BET1,1.3640e-05,aislado_clinico,0
RRr20_wk12_15,RRr20,12,Q23.17_MD39_L14,1.4050e-05,aislado_clinico,0
RRr20_wk12_15,RRr20,12,SHIV_AD8_MD64,1.2640e-05,aislado_clinico,0
RRr20_wk12_15,RRr20,12,DU422-1_MD39v2_L14,1.5520e-05,aislado_clinico,0
RRr20_wk12_15,RRr20,12,p1981_MD39_BET1,1.2650e-05,aislado_clinico,0
RRr20_wk12_15,RRr20,12,TRO_11_MD39,1.2900e-05,aislado_clinico,0
RRr20_wk12_15,RRr20,12,0712_250_pblib001_RnS-2G_L14,1.3920e-05,aislado_clinico,0
RRr20_wk12_15,RRr20,12,0860_150_con_RnS-2G_L14,1.2820e-05,aislado_clinico,0
RRr20_wk12_15,RRr20,12,1026_120_sgaA5_RnS-2G_L14,1.0700e-05,aislado_clinico,0
RRr20_wk12_15,RRr20,12,V703-0537-RnSv2-2G_L14,1.4090e-05,aislado_clinico,0
RRr20_wk12_38,RRr20,12,N332-GT5 gp140,2.1920e-11,prime,1
RRr20_wk12_38,RRr20,12,SF162P3_MD64_B20,1.2400e-05,aislado_clinico,0
RRr20_wk12_38,RRr20,12,DU156_MD39_BET1,1.3640e-05,aislado_clinico,0
RRr20_wk12_38,RRr20,12,Q23.17_MD39_L14,1.4050e-05,aislado_clinico,0
RRr20_wk12_38,RRr20,12,SHIV_AD8_MD64,1.2640e-05,aislado_clinico,0
RRr20_wk12_38,RRr20,12,DU422-1_MD39v2_L14,1.5520e-05,aislado_clinico,0
RRr20_wk12_38,RRr20,12,p1981_MD39_BET1,1.2650e-05,aislado_clinico,0
RRr20_wk12_38,RRr20,12,TRO_11_MD39,1.2900e-05,aislado_clinico,0
RRr20_wk12_38,RRr20,12,0712_250_pblib001_RnS-2G_L14,1.3920e-05,aislado_clinico,0
RRr20_wk12_38,RRr20,12,0860_150_con_RnS-2G_L14,1.2820e-05,aislado_clinico,0
RRr20_wk12_38,RRr20,12,1026_120_sgaA5_RnS-2G_L14,1.0700e-05,aislado_clinico,0
RRr20_wk12_38,RRr20,12,V703-0537-RnSv2-2G_L14,1.4090e-05,aislado_clinico,0
RRr20_wk12_39,RRr20,12,N332-GT5 gp140,4.5580e-11,prime,1
RRr20_wk12_39,RRr20,12,SF162P3_MD64_B20,1.2400e-05,aislado_clinico,0
RRr20_wk12_39,RRr20,12,DU156_MD39_BET1,1.3640e-05,aislado_clinico,0
RRr20_wk12_39,RRr20,12,Q23.17_MD39_L14,1.4050e-05,aislado_clinico,0
RRr20_wk12_39,RRr20,12,SHIV_AD8_MD64,1.2640e-05,aislado_clinico,0
RRr20_wk12_39,RRr20,12,DU422-1_MD39v2_L14,1.5520e-05,aislado_clinico,0
RRr20_wk12_39,RRr20,12,p1981_MD39_BET1,1.2650e-05,aislado_clinico,0
RRr20_wk12_39,RRr20,12,TRO_11_MD39,1.2900e-05,aislado_clinico,0
RRr20_wk12_39,RRr20,12,0712_250_pblib001_RnS-2G_L14,1.3920e-05,aislado_clinico,0
RRr20_wk12_39,RRr20,12,0860_150_con_RnS-2G_L14,1.2820e-05,aislado_clinico,0
RRr20_wk12_39,RRr20,12,1026_120_sgaA5_RnS-2G_L14,1.0700e-05,aislado_clinico,0
RRr20_wk12_39,RRr20,12,V703-0537-RnSv2-2G_L14,1.4090e-05,aislado_clinico,0
RVz20_wk12_19,RVz20,12,N332-GT5 gp140,1.7810e-11,prime,1
RVz20_wk12_19,RVz20,12,SF162P3_MD64_B20,1.2400e-05,aislado_clinico,0
RVz20_wk12_19,RVz20,12,DU156_MD39_BET1,1.3640e-05,aislado_clinico,0
RVz20_wk12_19,RVz20,12,Q23.17_MD39_L14,1.4050e-05,aislado_clinico,0
RVz20_wk12_19,RVz20,12,SHIV_AD8_MD64,1.2640e-05,aislado_clinico,0
RVz20_wk12_19,RVz20,12,DU422-1_MD39v2_L14,1.5520e-05,aislado_clinico,0
RVz20_wk12_19,RVz20,12,p1981_MD39_BET1,1.2650e-05,aislado_clinico,0
RVz20_wk12_19,RVz20,12,TRO_11_MD39,1.2900e-05,aislado_clinico,0
RVz20_wk12_19,RVz20,12,0712_250_pblib001_RnS-2G_L14,1.3920e-05,aislado_clinico,0
RVz20_wk12_19,RVz20,12,0860_150_con_RnS-2G_L14,1.2820e-05,aislado_clinico,0
RVz20_wk12_19,RVz20,12,1026_120_sgaA5_RnS-2G_L14,1.0700e-05,aislado_clinico,0
RVz20_wk12_19,RVz20,12,V703-0537-RnSv2-2G_L14,1.4090e-05,aislado_clinico,0
RVz20_wk12_41,RVz20,12,N332-GT5 gp140,1.1570e-10,prime,1
