antibody_short,kd_con_n332,kd_sin_n332,pierde_union
REg21_wk46_34,1.1390e-05,1.2450e-05,0
REg21_wk46_36,1.1390e-05,1.2450e-05,0
RLy20_wk46_27,1.1390e-05,1.2450e-05,0
RLy20_wk46_29,1.1390e-05,1.2450e-05,0
RLy20_wk46_35,1.1390e-05,1.2450e-05,0
RQd20_wk46_37,1.1390e-05,1.2450e-05,0
RQd20_wk46_38,1.1390e-05,1.2450e-05,0
RQd20_wk46_39,3.2160e-06,1.2450e-05,0
RYy20_wk46_23,1.1390e-05,1.2450e-05,0
RYy20_wk46_24,1.1390e-05,1.2450e-05,0
RKd21_wk56_02,1.1610e-05,1.1130e-05,0
RTd20_wk56_05,1.1610e-05,1.1130e-05,0
RZc21_wk56_01,1.1610e-05,1.1130e-05,0
RZc21_wk56_03,1.1610e-05,1.1130e-05,0
RZc21_wk56_04,1.1610e-05,1.1130e-05,0
RZc21_wk56_06,1.1610e-05,1.1130e-05,0
RDj20_w56_03,1.1610e-05,1.1130e-05,0
RDj20_w56_07,1.1610e-05,1.1130e-05,0
RFe21_w56_02,1.1610e-05,1.1130e-05,0
RLz20_w56_04,1.1610e-05,1.1130e-05,0
RTd20_w56_06,1.1610e-05,1.1130e-05,0
RZc21_w56_01,1.1610e-05,1.1130e-05,0
RZc21_w56_05,1.1610e-05,1.1130e-05,0
RIs20_wk56_30,1.1610e-05,1.1130e-05,0
RSz19_wk56_27,1.7920e-06,1.1130e-05,0
RSz19_wk56_28,2.1710e-06,1.1130e-05,0
RSz19_wk56_29,4.0230e-06,1.1130e-05,0
RSz19_wk56_31,2.3570e-06,1.1130e-05,0
RTq20_wk56_13,1.1610e-05,1.1130e-05,0
RTq20_wk56_32,1.1610e-05,1.1130e-05,0
RYo20_wk56_07,1.1610e-05,1.1130e-05,0
RYo20_wk56_08,1.1610e-05,1.1130e-05,0
RYo20_wk56_09,1.1610e-05,1.1130e-05,0
RYo20_wk56_10,1.1610e-05,1.1130e-05,0
RYo20_wk56_12,1.1610e-05,1.1130e-05,0
RYo20_wk56_14,1.1610e-05,1.1130e-05,0
RYo20_wk56_15,7.3360e-06,1.1130e-05,0
RYo20_wk56_17,1.1610e-05,1.1130e-05,0
RYo20_wk56_20,1.1610e-05,1.1130e-05,0
RYo20_wk56_34,1.1610e-05,1.1130e-05,0
RYo20_wk56_36,1.1670e-05,1.1130e-05,0
RIs20_w56_09,1.1610e-05,1.1130e-05,0
RIs20_w56_10,1.1610e-05,1.1130e-05,0
RIs20_w56_15,1.1610e-05,1.1130e-05,0
RKb21_w56_12,1.1610e-05,1.1130e-05,0
RSz19_w56_08,3.8210e-07,1.1130e-05,1
RSz19_w56_11,1.1610e-05,1.1130e-05,0
RSz19_w56_13,6.8230e-07,1.1130e-05,1
RSz19_w56_14,6.7600e-06,1.1130e-05,0
RVz20_wk56_21,9.2760e-06,1.1130e-05,0
RVz20_wk56_22,4.0310e-06,1.1130e-05,0
RVz20_wk56_23,1.1610e-05,1.1130e-05,0
RVz20_wk56_40,6.8300e-06,1.1130e-05,0
RVz20_wk56_44,2.8700e-06,1.1130e-05,0
RVz20_wk56_46,1.1610e-05,1.1130e-05,0
RVz20_wk56_48,3.9430e-06,1.1130e-05,0
RVz20_wk56_50,2.6380e-06,1.1130e-05,0
RKm20_wk56_37,6.6990e-06,1.1130e-05,0
RKm20_wk56_45,1.1610e-05,1.1130e-05,0
RKm20_wk56_47,6.6590e-06,1.1130e-05,0
RKm20_wk56_49,1.1610e-05,1.1130e-05,0
RLf21_wk56_51,1.6970e-06,1.1130e-05,0
RLf21_wk56_52,7.6400e-07,1.1130e-05,1
RLf21_wk56_53,6.0940e-06,1.1130e-05,0
RLf21_wk56_54,1.1610e-05,1.1130e-05,0
RLf21_wk56_55,1.5360e-06,1.1130e-05,0
RLf21_w56_16,3.2300e-06,1.1130e-05,0
RLf21_w56_17,4.7360e-07,1.1130e-05,1
RLf21_w56_18,1.8260e-06,1.1130e-05,0
RLf21_w56_19,5.7550e-06,1.1130e-05,0
RLf21_w56_20,3.1930e-06,1.1130e-05,0
RLf21_w56_21,6.6980e-07,1.1130e-05,1
RLy20_wk56_26,1.1610e-05,1.1130e-05,0
REe21_wk56_25,1.1610e-05,1.1130e-05,0
REe21_wk56_65,1.1610e-05,1.1130e-05,0
REe21_wk56_68,2.8220e-06,1.1130e-05,0
REe21_wk56_69,6.2350e-06,1.1130e-05,0
REe21_wk56_70,5.8850e-06,1.1130e-05,0
REg21_wk56_24,1.1610e-05,1.1130e-05,0
REg21_wk56_56,8.2170e-06,1.1130e-05,0
REg21_wk56_58,1.1610e-05,1.1130e-05,0
REg21_wk56_59,1.1610e-05,1.1130e-05,0
REg21_wk56_60,1.1610e-05,1.1130e-05,0
REg21_wk56_61,9.5210e-06,1.1130e-05,0
REg21_wk56_62,1.1060e-05,1.1130e-05,0
REg21_wk56_63,1.1610e-05,1.1130e-05,0
REg21_wk56_66,1.1610e-05,1.1130e-05,0
RQd20_w56_22,1.1610e-05,1.1130e-05,0
RQd20_w56_23,1.3160e-08,1.1130e-05,1
RQd20_w56_24,4.5560e-08,1.1130e-05,1
RQd20_w56_25,9.6480e-07,1.1130e-05,1
RQd20_w56_26,1.1430e-06,1.1130e-05,0
RQd20_w56_27,1.9170e-06,1.1130e-05,0
RQd20_w56_28,2.6020e-07,1.1130e-05,1
RQd20_w56_29,5.4900e-07,1.1130e-05,1
RQd20_w56_30,1.1610e-05,1.1130e-05,0
RDj20_wk72_67,1.1610e-05,1.1130e-05,0
RFe21_wk72_68,1.1610e-05,1.1130e-05,0
RLz20_wk72_69,1.1610e-05,1.1130e-05,0
RTd20_wk72_63,1.1610e-05,1.1130e-05,0
RZc21_wk72_65,1.1610e-05,1.1130e-05,0
RZc21_wk72_66,1.1610e-05,1.1130e-05,0
RKb21_wk72_44,4.0170e-07,1.1130e-05,1
RKb21_wk72_45,9.3830e-07,1.1130e-05,1
RKb21_wk72_46,3.9360e-07,1.1130e-05,1
RKb21_wk72_47,1.1780e-07,1.1130e-05,1
RKb21_wk72_48,3.7390e-07,1.1130e-05,1
RSz19_wk72_70,5.7980e-06,1.1130e-05,0
RSz19_wk72_71,7.6500e-07,1.1130e-05,1
RSz19_wk72_72,1.0050e-06,1.1130e-05,0
RSz19_wk72_73,2.6750e-06,1.1130e-05,0
RSz19_wk72_40,5.2950e-07,1.1130e-05,1
RSz19_wk72_41,5.1330e-07,1.1130e-05,1
RSz19_wk72_42,7.2090e-07,1.1130e-05,1
RSz19_wk72_43,7.0240e-07,1.1130e-05,1
RKm20_wk72_64,3.7770e-06,1.1130e-05,0
RLf21_wk72_49,5.2170e-07,1.1130e-05,1
RLf21_wk72_50,3.2950e-07,1.1130e-05,1
RLf21_wk72_51,3.4310e-07,1.1130e-05,1
RRr20_wk72_01,1.6370e-07,1.1130e-05,1
RRr20_wk72_02,1.8440e-07,1.1130e-05,1
RRr20_wk72_04,1.3670e-07,1.1130e-05,1
RRr20_wk72_05,1.0980e-07,1.1130e-05,1
RRr20_wk72_06,2.6100e-07,1.1130e-05,1
RRr20_wk72_07,1.9210e-07,1.1130e-05,1
RRr20_wk72_08,1.3440e-07,1.1130e-05,1
RVz20_wk72_75,1.1610e-05,1.1130e-05,0
RVz20_wk72_74,1.1610e-05,1.1130e-05,0
ROe21_wk72_76,8.2380e-07,1.1130e-05,1
ROe21_wk72_78,2.4910e-06,1.1130e-05,0
ROe21_wk72_77,1.7360e-06,1.1130e-05,0
RQd20_wk72_52,4.7420e-07,1.1130e-05,1
RKb21_wk82_53,1.8390e-06,1.1130e-05,0
RSz19_wk82_79,2.6110e-06,1.1130e-05,0
RYo20_wk82_09,7.1870e-07,1.1130e-05,1
RYo20_wk82_10,1.9140e-06,1.1130e-05,0
RYo20_wk82_11,1.0420e-06,1.1130e-05,0
RYo20_wk82_12,1.0340e-06,1.1130e-05,0
RYo20_wk82_13,6.5830e-07,1.1130e-05,1
RYo20_wk82_14,1.1610e-05,1.1130e-05,0
RYo20_wk82_15,3.2540e-07,1.1130e-05,1
RYo20_wk82_17,3.5870e-07,1.1130e-05,1
RYo20_wk82_18,5.1920e-07,1.1130e-05,1
RYo20_wk82_20,3.0470e-07,1.1130e-05,1
RYo20_wk82_21,5.6060e-07,1.1130e-05,1
RYo20_wk82_22,6.3480e-07,1.1130e-05,1
RYo20_wk82_23,1.1500e-06,1.1130e-05,0
RLf21_wk82_25,6.9710e-07,1.1130e-05,1
RLf21_wk82_26,6.4650e-08,1.1130e-05,1
RLf21_wk82_27,1.9610e-07,1.1130e-05,1
RLf21_wk82_29,9.7170e-09,1.1130e-05,1
RLf21_wk82_30,1.9560e-07,1.1130e-05,1
RLf21_wk82_54,2.1190e-07,1.1130e-05,1
RRr20_wk82_28,2.7860e-07,1.1130e-05,1
RVz20_wk82_80,8.8460e-07,1.1130e-05,1
RLf21_wk82_55,6.6310e-07,1.1130e-05,1
RLy20_wk82_81,1.1610e-05,1.1130e-05,0
ROe21_wk82_82,1.1610e-05,1.1130e-05,0
ROe21_wk82_83,1.1610e-05,1.1130e-05,0
RQd20_wk82_56,6.1460e-07,1.1130e-05,1
RQd20_wk82_57,3.0490e-07,1.1130e-05,1
RQd20_wk82_58,1.1850e-06,1.1130e-05,0
RQd20_wk82_59,7.6750e-08,1.1130e-05,1
RQd20_wk82_60,5.7140e-08,1.1130e-05,1
RQd20_wk82_61,6.4720e-08,1.1130e-05,1
RQd20_wk82_62,2.1420e-07,1.1130e-05,1
REe21_wk82_84,1.1610e-05,1.1130e-05,0
REg21_wk82_31,4.1010e-06,1.1130e-05,0
REg21_wk82_33,3.7310e-06,1.1130e-05,0
BG18,4.7830e-10,2.8160e-08,0
