forest_id,humedad_suelo,es_primario,soc_60cm_kgCm2,capa_organica_kgCm2
11,3,0,8.564399860382071,8.564399860382071
11,5,0,7.805788795152869,4.023899883270257
11,1,0,3.99708543498825,1.958
11,4,1,12.12562794847009,5.306984681110318
11,3,1,47.98491429523753,47.98491429523753
11,1,1,9.501352928608714,4.256143847995494
11,5,1,42.89796181462252,42.89796181462252
12,5,0,12.27594338473857,12.27594338473857
12,5,0,2.117141491592822,0.0
12,2,0,4.680942649458673,1.619200035095217
12,4,0,4.088995181239164,2.298300071716308
12,2,0,14.89727844229292,14.89727844229292
12,5,0,4.895478370627863,2.0235
12,3,0,4.399463625951627,2.209900058746341
12,3,0,9.138612798029609,3.78
12,5,0,9.154107875950622,6.629399734497071
12,4,0,7.151078359399389,0.7072
12,2,0,6.048559301627427,4.738200080871588
12,2,0,6.090780607805145,1.6555
12,1,0,2.456845618582712,0.4037000083923346
12,3,0,3.530658125277529,0.0
12,4,0,3.883949025283178,1.734
12,5,0,7.093423573306492,3.169099948883054
12,4,0,5.617267288052644,0.0
12,5,0,29.47972445917635,26.80560089111328
12,4,0,6.192177931889688,2.662400039672854
12,3,0,9.042211437829128,5.027399898529047
12,3,0,5.259093823957577,2.314199913024902
12,1,0,2.239546704261178,0.0
12,4,0,5.032124240713597,2.709699939727779
12,2,0,4.943261958764099,1.541100025177004
12,3,0,3.648094538051904,1.628
12,5,0,34.26239898681641,34.26239898681641
12,5,0,7.446182365652239,0.0
12,1,0,2.363737210698634,0.0
12,4,0,6.58081112705748,1.419299942016602
12,1,0,3.232618337193169,0.983400016784669
12,3,0,3.66777524889426,2.485
12,4,0,7.602191937560579,2.131200073242187
12,3,0,8.390308285942076,1.884699928283692
12,1,0,1.968694633299582,0.0
12,4,0,3.48549744399125,1.621100032806398
12,4,0,3.640683221750145,1.68
12,5,0,5.045167826742017,2.296200065612797
12,4,0,9.268778938096922,2.456699913024902
12,3,0,4.924479045469606,3.753900074005132
12,4,1,5.557717954876477,2.720805725274725
12,4,1,10.54758978557661,2.38066835268505
12,2,1,9.076551816013115,3.921770746797714
12,1,1,7.728075007815246,2.267692948022528
12,5,1,7.539913716115836,3.511232138931502
12,3,1,6.202047934359655,4.16953428767803
12,4,1,5.297604490792713,0.8421888059038901
12,3,1,4.92964576652963,1.499927545549511
12,2,1,5.75372083747234,2.592847824381432
12,5,1,20.1926468774214,20.1926468774214
12,3,1,9.343377293849043,3.563888994089532
12,4,1,7.314691990218215,4.249551927927928
12,1,1,17.11723111998584,2.862106126039135
12,1,1,7.93559145794948,1.567688561358539
12,2,1,8.361942721699517,3.933491147219267
13,5,0,4.256821815011524,2.224
13,1,0,4.100169561365846,2.5665
13,1,0,2.981585129128643,1.6017
13,5,0,29.18179977235511,29.18179977235511
13,2,0,5.756635923759547,0.0
13,1,0,2.993376331842571,0.6784000244140624
13,1,0,2.004584274665035,0.83088
13,3,0,7.965092950033641,5.548400000000001
13,4,0,3.411568884356472,1.642200035095217
13,2,0,2.288684856152382,0.6966
13,5,0,8.52559537426863,7.550800262451172
13,1,0,5.403603376197427,2.921600067138676
13,5,0,6.280182984839051,2.431
13,2,0,5.612559940403187,0.1962
13,4,0,6.340986575873472,3.093999999999999
13,2,0,3.102941779854276,1.748
13,1,0,1.990098978684554,0.7735000000000002
13,2,0,3.39703205013238,2.0592
13,4,0,5.809077776729724,1.906199958801267
13,1,0,5.847109326680361,1.6748
13,4,0,4.676236710346863,2.124
13,1,0,7.202715617124868,0.0
13,2,0,7.041536443454138,2.824600044250491
13,1,0,3.337731222946068,2.049199928283692
13,1,0,1.199151450287838,0.0
13,5,0,13.33976761539564,12.144
13,3,0,3.48592603677584,0.4095
13,5,0,13.53719739244757,5.882399826049804
13,4,0,8.513778654152597,7.800000000000001
13,3,0,25.04897006853004,0.0
13,1,0,2.366059239569716,0.0
13,2,0,4.821327839918816,2.304999923706055
13,1,0,7.506069093698581,1.257000045776367
13,4,0,4.269492308827424,1.66050006866455
13,4,0,5.154959266192384,1.485
13,4,0,3.393382095375216,1.37669997024536
13,5,0,24.18800765066939,24.18800765066939
13,4,0,6.787295808114969,3.528199954986575
13,2,0,5.462734249955389,1.345599975585936
13,2,0,3.492094348335507,1.577800037384036
13,3,0,8.412994657033707,6.834000129699715
13,3,0,10.80999062471322,6.3
13,2,0,4.28583330854034,0.0
13,1,0,2.738237338238161,0.5375999908447259
13,4,0,6.284433745768296,0.7175999908447273
13,1,0,4.956817471079552,1.71
13,5,0,27.57602115207563,27.57602115207563
13,1,0,4.431872506627556,2.861299945831295
13,5,0,6.192521709732498,1.795199966430662
13,1,0,6.349743705018462,2.342300045013431
13,3,0,7.074578221599303,2.806
13,4,1,6.961392204663059,2.42235237814243
13,2,1,9.955069648310449,5.811754199999999
13,1,1,8.109114104530274,1.603799259296082
13,5,1,11.0446924060971,3.792574491819534
13,1,1,10.23118496601095,1.156917125
13,3,1,12.69940165636555,1.620107003610108
13,5,1,15.99062137823654,2.351055255373694
13,5,1,10.21173929628634,1.154017927830596
13,1,1,5.741764307618521,1.295015647440159
