forest_id,humedad_suelo,es_primario,biomasa_viva_kgCm2,madera_muerta_kgCm2
1,5,0,1.914182891500547,1.730018998127088
1,2,0,2.546050999126368,0.6679655310147955
1,4,0,6.740135032501951,0.0
1,1,0,3.495785578487562,1.890326653543508
1,5,0,1.785347732411351,0.0508431999350141
1,3,0,10.50990551392438,0.2271126151046684
1,2,0,2.50950571027823,0.0
1,5,0,1.823007478867498,0.0509980407768658
1,4,0,2.469251400118273,0.0
1,3,0,2.782215445572505,0.0
1,5,0,7.620280328167597,0.0
1,3,0,4.137944988284711,0.0
1,5,0,5.19430060451155,0.0
1,3,0,0.4094384987346352,0.1607013025913047
1,3,0,1.39838897755093,0.0
1,5,0,3.934639999063798,0.0
1,3,1,5.443323271221828,0.0
1,4,1,7.433943683488289,1.347856531344755
1,1,1,8.36629533388863,0.8127197173361388
1,2,1,7.438263693997866,0.5240804698358299
1,5,1,4.626512097425107,1.248811845286186
1,3,1,6.44904755601449,0.4166123265711906
2,5,0,0.6867018655187429,1.272765681601699
2,4,0,7.197466059640995,0.3328981858697552
2,5,0,0.0,1.421500365096257
2,4,0,1.03948541626075,0.1497916344285721
2,4,0,1.36951803720519,0.007732048885365
2,5,0,0.9524511887345743,1.594646115391536
2,4,0,1.503651467990891,0.0621939874375563
2,4,0,5.971678560692212,0.2929233489252239
2,5,0,4.885522405570172,0.0
2,5,0,5.755881232223573,0.6093538394720059
2,5,0,2.678575835909811,0.5164552188590564
2,5,0,0.7953785085298462,0.0
2,4,0,1.148562846357175,2.125820991022208
2,5,0,0.0670084657279314,1.509218745187068
2,5,0,0.4424935493211503,0.8954891162090102
2,5,0,4.084939178117305,0.0355749747432536
2,5,0,3.833532245891178,0.0145294138691841
2,5,0,2.233243706973043,0.0758007186762091
2,4,0,2.52299923745037,0.0334456720776917
2,5,0,1.50653666115407,0.0685050212012867
2,4,0,2.86400728275323,0.5845032008761937
2,5,0,2.21894123934546,0.034042159111
2,5,0,3.119729428137519,0.0
2,5,0,1.822371346685881,0.0763775234706762
2,4,0,1.89575060426673,0.07719557598407
2,5,0,4.47024321097567,0.0
2,4,0,3.473907008454078,0.0176186336869214
2,5,0,2.742287739876905,0.0974547860488847
2,5,0,7.357241801302939,0.007625947776615
2,5,0,3.41360322884123,0.0
2,4,0,0.616149442821379,0.0
2,5,0,0.3501212701297702,1.135283385842041
2,5,0,6.131942533896929,0.1014820478890662
2,5,0,4.880015934329787,0.0587050835519009
2,5,0,2.123231571649668,0.2414701395436231
2,5,0,0.1681503796533263,0.0650565339972909
2,5,0,2.888381355221921,0.046971588604309
2,5,0,0.0,1.854213688071611
2,4,0,7.34621580519561,0.7518464750917233
2,4,0,4.54882002268568,0.7237530451848386
2,4,0,0.0,1.031173044510985
2,5,0,4.247580933567203,0.0
2,5,0,1.79804000277621,0.0
2,5,0,7.789601632011989,0.0826961418531172
