muestra,anio,tratamiento,clase,abundancia
X16_16N,2016,Calentamiento,Tetraciclinas,23.51
X16_16N,2016,Calentamiento,Aminoglucósidos,42.6
X16_16N,2016,Calentamiento,Betalactámicos,17.65
X16_19N,2016,Control,Glicopéptidos,583.65
X16_19N,2016,Control,Rifamicinas,280.16
X16_19N,2016,Control,MLS,11.32
X16_19N,2016,Control,Tetraciclinas,13.99
X16_19N,2016,Control,Aminoglucósidos,36.56
X16_19N,2016,Control,Betalactámicos,10.64
X16_1N,2016,Calentamiento,Glicopéptidos,526.14
X16_1N,2016,Calentamiento,Rifamicinas,447.9
X16_1N,2016,Calentamiento,MLS,48.35
X16_1N,2016,Calentamiento,Tetraciclinas,39.6
X16_1N,2016,Calentamiento,Aminoglucósidos,87.42
X16_1N,2016,Calentamiento,Betalactámicos,34.97
X16_20N,2016,Calentamiento,Glicopéptidos,594.48
X16_20N,2016,Calentamiento,Rifamicinas,280.75
X16_20N,2016,Calentamiento,MLS,12.47
X16_20N,2016,Calentamiento,Tetraciclinas,13.94
X16_20N,2016,Calentamiento,Aminoglucósidos,25.25
X16_20N,2016,Calentamiento,Betalactámicos,8.17
X16_23N,2016,Control,Glicopéptidos,441.23
X16_23N,2016,Control,Rifamicinas,260.19
X16_23N,2016,Control,MLS,8.89
X16_23N,2016,Control,Tetraciclinas,15.89
X16_23N,2016,Control,Aminoglucósidos,31.81
X16_23N,2016,Control,Betalactámicos,17.05
X16_3N,2016,Control,Glicopéptidos,301.18
X16_3N,2016,Control,Rifamicinas,174.92
X16_3N,2016,Control,MLS,6.07
X16_3N,2016,Control,Tetraciclinas,8.43
X16_3N,2016,Control,Aminoglucósidos,29.04
X16_3N,2016,Control,Betalactámicos,6.53
X16_6N,2016,Control,Glicopéptidos,436.87
X16_6N,2016,Control,Rifamicinas,259.62
X16_6N,2016,Control,MLS,9.3
X16_6N,2016,Control,Tetraciclinas,14.91
X16_6N,2016,Control,Aminoglucósidos,38.81
X16_6N,2016,Control,Betalactámicos,15.42
X17_10N,2017,Calentamiento,Glicopéptidos,968.24
X17_10N,2017,Calentamiento,Rifamicinas,441.66
X17_10N,2017,Calentamiento,MLS,18.95
X17_10N,2017,Calentamiento,Tetraciclinas,30.75
X17_10N,2017,Calentamiento,Aminoglucósidos,38.29
X17_10N,2017,Calentamiento,Betalactámicos,27.53
X17_16N,2017,Calentamiento,Glicopéptidos,882.59
X17_16N,2017,Calentamiento,Rifamicinas,509.84
X17_16N,2017,Calentamiento,MLS,31.58
X17_16N,2017,Calentamiento,Tetraciclinas,41.57
X17_16N,2017,Calentamiento,Aminoglucósidos,58.49
X17_16N,2017,Calentamiento,Betalactámicos,32.93
X17_19N,2017,Control,Glicopéptidos,840.96
X17_19N,2017,Control,Rifamicinas,341.55
X17_19N,2017,Control,MLS,15.78
X17_19N,2017,Control,Tetraciclinas,26.89
X17_19N,2017,Control,Aminoglucósidos,48.86
X17_19N,2017,Control,Betalactámicos,29.5
X17_1N,2017,Calentamiento,Glicopéptidos,1167.37
X17_1N,2017,Calentamiento,Rifamicinas,419.03
X17_1N,2017,Calentamiento,MLS,22.72
X17_1N,2017,Calentamiento,Tetraciclinas,18.48
X17_1N,2017,Calentamiento,Aminoglucósidos,30.0
X17_1N,2017,Calentamiento,Betalactámicos,9.65
X17_20N,2017,Calentamiento,Glicopéptidos,1637.58
X17_20N,2017,Calentamiento,Rifamicinas,681.8
X17_20N,2017,Calentamiento,MLS,23.81
X17_20N,2017,Calentamiento,Tetraciclinas,41.64
X17_20N,2017,Calentamiento,Aminoglucósidos,79.1
X17_20N,2017,Calentamiento,Betalactámicos,21.49
X17_23N,2017,Control,Glicopéptidos,792.96
X17_23N,2017,Control,Rifamicinas,314.61
X17_23N,2017,Control,MLS,14.07
X17_23N,2017,Control,Tetraciclinas,19.37
X17_23N,2017,Control,Aminoglucósidos,37.4
X17_23N,2017,Control,Betalactámicos,16.92
X17_3N,2017,Control,Glicopéptidos,4127.57
X17_3N,2017,Control,Rifamicinas,1345.82
X17_3N,2017,Control,MLS,37.32
X17_3N,2017,Control,Tetraciclinas,71.8
X17_3N,2017,Control,Aminoglucósidos,230.68
X17_3N,2017,Control,Betalactámicos,66.69
X17_6N,2017,Control,Glicopéptidos,891.12
X17_6N,2017,Control,Rifamicinas,396.84
X17_6N,2017,Control,MLS,19.35
X17_6N,2017,Control,Tetraciclinas,24.63
X17_6N,2017,Control,Aminoglucósidos,32.25
X17_6N,2017,Control,Betalactámicos,15.83
X18_10N,2018,Calentamiento,Glicopéptidos,1247.93
X18_10N,2018,Calentamiento,Rifamicinas,453.53
X18_10N,2018,Calentamiento,MLS,21.63
X18_10N,2018,Calentamiento,Tetraciclinas,26.7
X18_10N,2018,Calentamiento,Aminoglucósidos,42.5
X18_10N,2018,Calentamiento,Betalactámicos,14.65
X18_16N,2018,Calentamiento,Glicopéptidos,1255.64
X18_16N,2018,Calentamiento,Rifamicinas,525.42
X18_16N,2018,Calentamiento,MLS,26.1
X18_16N,2018,Calentamiento,Tetraciclinas,32.01
X18_16N,2018,Calentamiento,Aminoglucósidos,43.56
X18_16N,2018,Calentamiento,Betalactámicos,20.83
X18_19N,2018,Control,Glicopéptidos,1112.42
X18_19N,2018,Control,Rifamicinas,306.99
X18_19N,2018,Control,MLS,11.24
X18_19N,2018,Control,Tetraciclinas,18.0
X18_19N,2018,Control,Aminoglucósidos,34.02
X18_19N,2018,Control,Betalactámicos,14.46
X18_1N,2018,Calentamiento,Glicopéptidos,1237.4
X18_1N,2018,Calentamiento,Rifamicinas,468.02
X18_1N,2018,Calentamiento,MLS,18.53
X18_1N,2018,Calentamiento,Tetraciclinas,26.03
X18_1N,2018,Calentamiento,Aminoglucósidos,46.84
X18_1N,2018,Calentamiento,Betalactámicos,16.05
X18_20N,2018,Calentamiento,Glicopéptidos,979.01
X18_20N,2018,Calentamiento,Rifamicinas,326.93
X18_20N,2018,Calentamiento,MLS,11.87
X18_20N,2018,Calentamiento,Tetraciclinas,18.14
X18_20N,2018,Calentamiento,Aminoglucósidos,32.29
X18_20N,2018,Calentamiento,Betalactámicos,12.52
X18_23N,2018,Control,Glicopéptidos,1263.36
X18_23N,2018,Control,Rifamicinas,465.88
X18_23N,2018,Control,MLS,19.22
X18_23N,2018,Control,Tetraciclinas,23.16
X18_23N,2018,Control,Aminoglucósidos,50.57
X18_23N,2018,Control,Betalactámicos,24.43
X18_3N,2018,Control,Glicopéptidos,1146.88
X18_3N,2018,Control,Rifamicinas,414.57
X18_3N,2018,Control,MLS,15.37
X18_3N,2018,Control,Tetraciclinas,25.56
X18_3N,2018,Control,Aminoglucósidos,44.86
X18_3N,2018,Control,Betalactámicos,17.41
X18_6N,2018,Control,Glicopéptidos,1105.33
X18_6N,2018,Control,Rifamicinas,391.62
X18_6N,2018,Control,MLS,12.23
X18_6N,2018,Control,Tetraciclinas,17.58
X18_6N,2018,Control,Aminoglucósidos,35.89
X18_6N,2018,Control,Betalactámicos,16.73
X19_10N,2019,Calentamiento,Glicopéptidos,1075.28
X19_10N,2019,Calentamiento,Rifamicinas,399.79
X19_10N,2019,Calentamiento,MLS,17.19
X19_10N,2019,Calentamiento,Tetraciclinas,23.18
X19_10N,2019,Calentamiento,Aminoglucósidos,48.3
X19_10N,2019,Calentamiento,Betalactámicos,12.64
X19_19N,2019,Control,Glicopéptidos,962.77
X19_19N,2019,Control,Rifamicinas,341.46
X19_19N,2019,Control,MLS,12.97
X19_19N,2019,Control,Tetraciclinas,19.32
X19_19N,2019,Control,Aminoglucósidos,44.1
X19_19N,2019,Control,Betalactámicos,17.34
X19_1N,2019,Calentamiento,Glicopéptidos,1770.84
X19_1N,2019,Calentamiento,Rifamicinas,514.8
X19_1N,2019,Calentamiento,MLS,19.82
X19_1N,2019,Calentamiento,Tetraciclinas,35.53
X19_1N,2019,Calentamiento,Aminoglucósidos,51.95
X19_1N,2019,Calentamiento,Betalactámicos,14.86
X19_20N,2019,Calentamiento,Glicopéptidos,1354.92
X19_20N,2019,Calentamiento,Rifamicinas,412.12
X19_20N,2019,Calentamiento,MLS,11.25
X19_20N,2019,Calentamiento,Tetraciclinas,18.43
X19_20N,2019,Calentamiento,Aminoglucósidos,39.14
X19_20N,2019,Calentamiento,Betalactámicos,10.74
X19_23N,2019,Control,Glicopéptidos,1020.7
X19_23N,2019,Control,Rifamicinas,375.49
X19_23N,2019,Control,MLS,13.34
X19_23N,2019,Control,Tetraciclinas,24.04
X19_23N,2019,Control,Aminoglucósidos,43.9
X19_23N,2019,Control,Betalactámicos,25.8
X19_3N,2019,Control,Glicopéptidos,804.76
X19_3N,2019,Control,Rifamicinas,330.78
X19_3N,2019,Control,MLS,14.8
X19_3N,2019,Control,Tetraciclinas,20.86
X19_3N,2019,Control,Aminoglucósidos,39.78
X19_3N,2019,Control,Betalactámicos,15.26
X19_6N,2019,Control,Glicopéptidos,1163.01
X19_6N,2019,Control,Rifamicinas,457.65
X19_6N,2019,Control,MLS,25.56
X19_6N,2019,Control,Tetraciclinas,36.02
X19_6N,2019,Control,Aminoglucósidos,55.33
X19_6N,2019,Control,Betalactámicos,24.09
X20_10N,2020,Calentamiento,Glicopéptidos,1070.02
X20_10N,2020,Calentamiento,Rifamicinas,393.61
X20_10N,2020,Calentamiento,MLS,14.42
X20_10N,2020,Calentamiento,Tetraciclinas,16.82
X20_10N,2020,Calentamiento,Aminoglucósidos,47.64
X20_10N,2020,Calentamiento,Betalactámicos,17.69
X20_16N,2020,Calentamiento,Glicopéptidos,1124.03
X20_16N,2020,Calentamiento,Rifamicinas,411.69
X20_16N,2020,Calentamiento,MLS,22.91
X20_16N,2020,Calentamiento,Tetraciclinas,22.8
X20_16N,2020,Calentamiento,Aminoglucósidos,40.34
X20_16N,2020,Calentamiento,Betalactámicos,19.17
X20_19N,2020,Control,Glicopéptidos,977.33
X20_19N,2020,Control,Rifamicinas,314.72
X20_19N,2020,Control,MLS,12.45
X20_19N,2020,Control,Tetraciclinas,18.26
X20_19N,2020,Control,Aminoglucósidos,50.4
X20_19N,2020,Control,Betalactámicos,20.24
X20_1N,2020,Calentamiento,Glicopéptidos,1169.99
X20_1N,2020,Calentamiento,Rifamicinas,474.86
X20_1N,2020,Calentamiento,MLS,20.23
X20_1N,2020,Calentamiento,Tetraciclinas,37.9
X20_1N,2020,Calentamiento,Aminoglucósidos,60.06
X20_1N,2020,Calentamiento,Betalactámicos,29.64
X20_20N,2020,Calentamiento,Glicopéptidos,1191.55
X20_20N,2020,Calentamiento,Rifamicinas,356.44
X20_20N,2020,Calentamiento,MLS,14.18
X20_20N,2020,Calentamiento,Tetraciclinas,23.44
X20_20N,2020,Calentamiento,Aminoglucósidos,49.36
X20_20N,2020,Calentamiento,Betalactámicos,16.98
X20_23N,2020,Control,Glicopéptidos,959.37
X20_23N,2020,Control,Rifamicinas,289.55
X20_23N,2020,Control,MLS,13.88
X20_23N,2020,Control,Tetraciclinas,14.3
X20_23N,2020,Control,Aminoglucósidos,42.36
X20_23N,2020,Control,Betalactámicos,19.03
X20_3N,2020,Control,Glicopéptidos,1024.87
X20_3N,2020,Control,Rifamicinas,353.43
X20_3N,2020,Control,MLS,13.13
X20_3N,2020,Control,Tetraciclinas,21.96
X20_3N,2020,Control,Aminoglucósidos,50.29
X20_3N,2020,Control,Betalactámicos,19.23
X20_6N,2020,Control,Glicopéptidos,888.21
X20_6N,2020,Control,Rifamicinas,315.13
X20_6N,2020,Control,MLS,12.68
X20_6N,2020,Control,Tetraciclinas,18.09
X20_6N,2020,Control,Aminoglucósidos,44.53
X20_6N,2020,Control,Betalactámicos,18.97
X19_16N,2019,Calentamiento,Glicopéptidos,14615.95
X19_16N,2019,Calentamiento,Rifamicinas,4374.22
X19_16N,2019,Calentamiento,MLS,159.44
X19_16N,2019,Calentamiento,Tetraciclinas,197.54
X19_16N,2019,Calentamiento,Aminoglucósidos,270.48
X19_16N,2019,Calentamiento,Betalactámicos,153.83
