analysis_id,species,group,site,country,lat,lon,age_bp,radiocarbon_age_bp,error_bp,calibrated_age_bp,mitochondrial_haplotype,depth_coverage
D_Bolgar1_1000,Dog,Ancient_Arctic_Dogs,Bolgar,Russia,55.6,49.1,1000,,,,,7.92
D_Botai3_5169,Dog,Ancient_Arctic_Dogs,Botai,Kazakhstan,53.22,67.87,5169,,,,,4.97
D_Bulgunnyakhtakh1_100,Dog,Ancient_Arctic_Dogs,Bulgunnyakhtakh,Russia,70.7,138.21,100,,,,,7.27
D_CherryTreeCave1_4716,Dog,Ancient_European_Dogs,CherryTreeCave,Germany,49.8,10.8,4716,,,,,9.04
D_Chukotka1_100,Dog,Ancient_Arctic_Dogs,Chukotka,Russia,69.62,164.33,100,,,,,0.89
D_Chukotka2_95,Dog,Ancient_Arctic_Dogs,Chukotka,Russia,64.4,-173.4,95,,,,,4.22
D_Fralsegardenm1_1150,Dog,Ancient_European_Dogs,Fralsegardenm,Sweden,58.1,13.24,1150,NHMUK PV M13794,,,,0.73
D_Herxheim1_7081,Dog,Ancient_European_Dogs,Herxheim,Germany,49.15,8.22,7081,,,,,9.15
D_IarteVI1_800,Dog,Ancient_Arctic_Dogs,IarteVI,Russia,69,70,800,,,,,1.62
D_Ishkinino1_3275,Dog,Ancient_European_Dogs,Ishkinino,Russia,51.5,58.3,3275,,,,,2.6
D_Kamchatka1_93,Dog,Ancient_Arctic_Dogs,Kamchatka,Russia,66.7,172.3,93,,,,,1.32
D_Kamchatka2_60,Dog,Ancient_Arctic_Dogs,Kamchatka,Russia,60.31,163.5,60,,,,,21.05
D_Kamchatka3_60,Dog,Ancient_Arctic_Dogs,Kamchatka,Russia,61.31,163.5,60,,,,,0.12
D_Kent1_3150,Dog,Ancient_European_Dogs,Kent,Kazakhstan,49.201495,76.73902,3150,,,,,0.05
D_Khatystyr1_8645,Dog,Ancient_Arctic_Dogs,Khatystyr,Russia,58.92,125.15,9682,,,,,
D_Koster1_9895,Dog,Ancient_preContact_Dogs,Koster,USA,39.21,-90.55,9895,,,,,0.01
D_Krasnosamarskoe1_3800,Dog,Ancient_European_Dogs,Krasnosamarskoe,Russia,52.8,51.1,3800,,,,,0.66
D_Marizulo1_6230,Dog,Ancient_European_Dogs,Marizulo,Spain,43.27,-2.09,6230,,,,,0.17
D_Marmara1_1565,Dog,Ancient_African_NearEast_India_Dogs,Marmara, Türkiye,41.01,28.93,1565,,,,,2.84
D_NenetsIamal1_139,Dog,Ancient_Arctic_Dogs,NenetsIamal,Russia,66.5,66.6,139,,,,,0.05
D_Newgrange1_4800,Dog,Ancient_European_Dogs,Newgrange,Ireland,53.69,-6.48,4800,,,,,33.29
D_PadKalashkinova1_7000,Dog,Ancient_Arctic_Dogs,PadKalashkinova,Russia,53.06,103.37,7000,,,,,0.25
D_PadKalashkinova2_6900,Dog,Ancient_Arctic_Dogs,PadKalashkinova,Russia,52.69,103.68,6900,,,,,2.35
D_Parknabinnia1_2733,Dog,Ancient_European_Dogs,Parknabinnia,Ireland,53,-9.1,2733,,,,,4.21
D_Plocnik1_6839,Dog,Ancient_European_Dogs,Plocnik,Serbia,43.2,21.36,6839,,,,,0.29
D_PortauChoix1_4157,Dog,Ancient_preContact_Dogs,PortauChoix,Canada,50.7,-57.35,4157,,,,,19.65
D_Riga1_550,Dog,Ancient_European_Dogs,Riga,Latvia,56.954896,24.119069,550,,,,,4.31
D_Sakhalin1_140,Dog,Ancient_Arctic_Dogs,Sakhalin,Russia,51,143,140,,,,,3.71
D_ShamankaII1_7400,Dog,Ancient_Arctic_Dogs,ShamankaII,Russia,51.7,103.71,7400,,,,,0.25
D_Skoteini1_6544,Dog,Ancient_European_Dogs,Skoteini,Greece,38.51,23.98,6544,,,,,4.73
D_Sotin1_4900,Dog,Ancient_European_Dogs,Sotin,Croatia,45.3,19.1,4900,,,,,11.46
D_StoraForvar1_4000,Dog,Ancient_European_Dogs,StoraForvar,Sweden,57.29,17.97,4000,,,,,0.16
D_TelGezer1_3500,Dog,Ancient_African_NearEast_India_Dogs,TelGezer,Israel,31.86,34.92,3500,,,,,0.92
D_TelHreiz1_7000,Dog,Ancient_African_NearEast_India_Dogs,TelHreiz,Israel,32.74,35.05,7000,,,,,0.1
D_TepeGhelaGap1_5826,Dog,Ancient_African_NearEast_India_Dogs,TepeGhelaGap,Iran,36.46,47.07,5826,,,,,1.52
D_TiuteiSaleI1_1111,Dog,Ancient_Arctic_Dogs,TiuteiSaleI,Russia,71,67,1111,,,,,3.66
D_UstPolui1_2000,Dog,Ancient_Arctic_Dogs,UstPolui,Russia,66.6,66.6,2000,,,,,0.11
D_UstPolui2_2000,Dog,Ancient_Arctic_Dogs,UstPolui,Russia,66.6,66.6,2000,,,,,11.59
D_UstPolui3_2000,Dog,Ancient_Arctic_Dogs,UstPolui,Russia,66.6,66.6,2000,,,,,0.02
D_UstPolui4_2000,Dog,Ancient_Arctic_Dogs,UstPolui,Russia,66.6,66.6,2000,,,,,4.03
D_UstPolui5_2000,Dog,Ancient_Arctic_Dogs,UstPolui,Russia,66.6,66.6,2000,,,,,0.01
D_UstPolui6_2000,Dog,Ancient_Arctic_Dogs,UstPolui,Russia,66.6,66.6,2000,,,,,2.31
D_UstVoikar1_857,Dog,Ancient_Arctic_Dogs,UstVoikar,Russia,65,64,857,,,,,2.36
D_Uza1_875,Dog,Ancient_African_NearEast_India_Dogs,Uza,Israel,31.59,34.76,875,,,,,6
D_Uza2_1600,Dog,Ancient_African_NearEast_India_Dogs,Uza,Israel,31.59,34.76,1600,,,,,5.61
D_Veretye1_10930,Dog,Ancient_Arctic_Dogs,Veretye,Russia,61.26,38.9,10930,,,,,1.98
D_Veretye2_8750,Dog,Ancient_Arctic_Dogs,Veretye,Russia,61.3,38.9,8750,,,,,8.52
D_VilniusCastle1_650,Dog,Ancient_European_Dogs,VilniusCastle,Lithuania,54.686045,25.288017,650,,,,,9.77
D_VilniusCastle2_700,Dog,Ancient_European_Dogs,VilniusCastle,Lithuania,54.686045,25.288017,700,,,,,2.44
D_VilniusCastle3_650,Dog,Ancient_European_Dogs,VilniusCastle,Lithuania,54.686045,25.288017,650,,,,,21.6
D_VilniusCastle4_600,Dog,Ancient_European_Dogs,VilniusCastle,Lithuania,54.686045,25.288017,600,,,,,12.36
D_VilniusCastle5_650,Dog,Ancient_European_Dogs,VilniusCastle,Lithuania,54.686045,25.288017,650,,,,,8.02
D_VilniusCastle6_650,Dog,Ancient_European_Dogs,VilniusCastle,Lithuania,54.686045,25.288017,650,,,,,5.87
D_VilniusCastle7_600,Dog,Ancient_European_Dogs,VilniusCastle,Lithuania,54.686045,25.288017,600,,,,,17.69
D_VilniusCastle8_550,Dog,Ancient_European_Dogs,VilniusCastle,Lithuania,54.686045,25.288017,550,,,,,8.89
D_Weyanoke1_960,Dog,Ancient_preContact_Dogs,Weyanoke,USA,37.29,-77.07,960,,,,,0.49
D_Zhokhov1_9515,Dog,Ancient_Arctic_Dogs,Zhokhov,Russia,76.14,152.73,9515,,,,,4.77
W_Alvastra1_5079,Wolf,Ancient_Western_Eurasian_Wolves,Alvastra,Sweden,58.3,14.68,5079,,,,,2.25
W_AufhausenerHoehle1_58002,Wolf,Ancient_Pleistocene_Wolves,AufhausenerHoehle,Germany,48.59,9.76,58002,,,,,0.36
W_AufhausenerHoehle2_57233,Wolf,Ancient_Pleistocene_Wolves,AufhausenerHoehle,Germany,48.59,9.76,57233,,,,,1.14
W_AufhausenerHoehle3_50238,Wolf,Ancient_Pleistocene_Wolves,AufhausenerHoehle,Germany,48.59,9.76,50238,,,,,0.56
W_Auneau1_10055,Wolf,Ancient_Western_Eurasian_Wolves,Auneau,France,48.46,1.78,10055,,,,,0.53
W_Auneau2_9716,Wolf,Ancient_Western_Eurasian_Wolves,Auneau,France,48.46,1.78,9716,,,,,1.07
W_Badyarikha1_29935,Wolf,Ancient_Pleistocene_Wolves,Badyarikha,Russia,67.91,146.52,29935,,,,,0.22
W_Badyarikha2_33515,Wolf,Ancient_Pleistocene_Wolves,Badyarikha,Russia,68.26,146.5,33515,,,,,1.98
W_Ballynamintra1_13334,Wolf,Ancient_Pleistocene_Wolves,Ballynamintra,Ireland,52.15,-7.7,13334,,,,,0.02
W_BeleyaGora1_18148,Wolf,Ancient_Pleistocene_Wolves,BeleyaGora,Russia,68.6,147.19,18148,,,,,1.85
W_BeleyaGora2_32020,Wolf,Ancient_Pleistocene_Wolves,BeleyaGora,Russia,68.6,147.19,32020,,,,,14.86
W_Berelekh1_13975,Wolf,Ancient_Pleistocene_Wolves,Berelekh,Russia,70.5,144.04,13975,,,,,0.22
W_Botai2_5169,Wolf,Ancient_Eastern_Eurasian_Wolves,Botai,Kazakhstan,53.22,67.87,5169,,,,,1.52
W_BungeToll1_48210,Wolf,Ancient_Pleistocene_Wolves,BungeToll,Russia,68.92,134.48,48210,,,,,3.13
W_Duerriloch1_9348,Wolf,Ancient_Western_Eurasian_Wolves,Duerriloch,Switzerland,46.97,8.02,9348,,,,,0.77
W_DuvannyYar1_101706,Wolf,Ancient_Pleistocene_Wolves,DuvannyYar,Russia,68.63,159.14,101706,,,,,0.09
W_Eliseevichi1_17633,Wolf,Ancient_Pleistocene_Wolves,Eliseevichi,Russia,53.14,33.64,17633,,,,,0.94
W_Enygen1_100706,Wolf,Ancient_Pleistocene_Wolves,Enygen,Russia,68.92,134.48,100706,,,,,1
W_Fairbanks1_37616,Wolf,Ancient_Pleistocene_Wolves,Fairbanks,USA,67.41,-150.11,37616,,,,,3.94
W_Fairbanks2_89816,Wolf,Ancient_Pleistocene_Wolves,Fairbanks,USA,64.95,-147.63,89816,,,,,1.1
W_Fairbanks3_93602,Wolf,Ancient_Pleistocene_Wolves,Fairbanks,USA,64.85,-147.94,93602,,,,,0.41
W_Fairbanks4_37604,Wolf,Ancient_Pleistocene_Wolves,Fairbanks,USA,64.86,-147.98,37604,,,,,1.37
W_Goyet1_34030,Wolf,Ancient_Pleistocene_Wolves,Goyet,Belgium,50.44,5.01,34030,,,,,1.07
W_HoehleFels1_31364,Wolf,Ancient_Pleistocene_Wolves,HoehleFels,Germany,48.2,9.45,31364,,,,,4.55
W_HoehleFels2_33163,Wolf,Ancient_Pleistocene_Wolves,HoehleFels,Germany,48.2,9.45,33163,,,,,1.3
W_HoehleFels3_13229,Wolf,Ancient_Pleistocene_Wolves,HoehleFels,Germany,48.2,9.45,13229,,,,,3.04
W_HoehleFels4_15447,Wolf,Ancient_Western_Eurasian_Wolves,HoehleFels,Germany,48.2,9.45,15447,,,,,0.67
W_HoehleFels5_32366,Wolf,Ancient_Pleistocene_Wolves,HoehleFels,Germany,48.2,9.45,32366,,,,,7.62
W_HunkerCreek1_52745,Wolf,Ancient_Pleistocene_Wolves,HunkerCreek,Canada,64.03,-139.17,52745,,,,,0.51
W_IndependenceCreek1_29143,Wolf,Ancient_Pleistocene_Wolves,IndependenceCreek,Canada,63.36,-139.12,29143,,,,,1.12
W_Istallosko1_3525,Wolf,Ancient_Western_Eurasian_Wolves,Istallosko,Hungary,48.07,20.43,3525,,,,,1.2
W_Leanybarlang1_6719,Wolf,Ancient_Western_Eurasian_Wolves,Leanybarlang,Hungary,47.7,18.83,6719,,,,,1.58
W_Letniaya1_32781,Wolf,Ancient_Pleistocene_Wolves,Letniaya,Russia,67.17,155.47,32781,,,,,5.83
W_LillianCreek1_82674,Wolf,Ancient_Pleistocene_Wolves,LillianCreek,USA,65.51,-148.57,82674,,,,,1.24
W_Nikita1_13660,Wolf,Ancient_Pleistocene_Wolves,Nikita,Russia,71.58,141.62,13660,,,,,0.09
W_NoyenSurSeine1_8629,Wolf,Ancient_Western_Eurasian_Wolves,NoyenSurSeine,France,48.46,3.33,8629,,,,,0.03
W_Ogorokha1_36050,Wolf,Ancient_Pleistocene_Wolves,Ogorokha,Russia,68.23,146.85,36050,,,,,3.44
W_Ogorokha2_32419,Wolf,Ancient_Pleistocene_Wolves,Ogorokha,Russia,68.23,146.85,32419,,,,,0.82
W_Ogorokha3_40801,Wolf,Ancient_Pleistocene_Wolves,Ogorokha,Russia,68.23,146.85,40801,,,,,0.66
W_ParadiseHill1_43821,Wolf,Ancient_Pleistocene_Wolves,ParadiseHill,Canada,63.9,-139.37,43821,,,,,2.43
W_Pietrele1_6307,Wolf,Ancient_Western_Eurasian_Wolves,Pietrele,Romania,43.88,24.93,6307,,,,,4.52
W_Plunkett1_13219,Wolf,Ancient_Western_Eurasian_Wolves,Plunkett,Ireland,54.06,-8.45,13219,,,,,0.23
W_Predmosti1_28541,Wolf,Ancient_Western_Eurasian_Wolves,Predmosti,Czech Republic,49.27,17.26,28541,,,,,0.09
W_QuartzCreek1_29943,Wolf,Ancient_Pleistocene_Wolves,QuartzCreek,Canada,60.99,-130.49,29943,,,,,3.21
W_Rasik1_91250,Wolf,Ancient_Pleistocene_Wolves,Rasik,Russia,59.06,57.55,91250,,,,,0.74
W_Razboinichya1_81793,Wolf,Ancient_Pleistocene_Wolves,Razboinichya,Russia,51.3,84.47,81793,,,,,1.72
W_Razboinichya2_28345,Wolf,Ancient_Pleistocene_Wolves,Razboinichya,Russia,51.3,84.47,28345,,,,,3.09
W_Shaitanskaya1_21435,Wolf,Ancient_Pleistocene_Wolves,Shaitanskaya,Russia,60.7,60.37,21435,,,,,0.14
W_Taimyr1_34900,Wolf,Ancient_Pleistocene_Wolves,Taimyr,Russia,73.31,104.32,34900,,,,,1.53
W_Tirekhtyakh1_50000,Wolf,Ancient_Pleistocene_Wolves,Tirekhtyakh,Russia,68.34,146.02,34383,,,,,3.34
W_Tirekhtyakh2_34383,Wolf,Ancient_Pleistocene_Wolves,Tirekhtyakh,Russia,68.34,146.02,29315,,,,,2.16
W_Tirekhtyakh3_29315,Wolf,Ancient_Pleistocene_Wolves,Tirekhtyakh,Russia,68.48,147.1,63922,,,,,1.13
W_Titaluk1_15542,Wolf,Ancient_Pleistocene_Wolves,Titaluk,USA,69.72,-155.26,15542,,,,,3.28
W_Tumat1_14122,Wolf,Ancient_Pleistocene_Wolves,Tumat,Russia,70.72,139.23,14122,,,,,#N/A
W_Tumat2_14122,Wolf,Ancient_Pleistocene_Wolves,Tumat,Russia,70.72,139.23,14122,,,,,5.93
W_UlakhanSular1_16864,Wolf,Ancient_Pleistocene_Wolves,UlakhanSular,Russia,61.61,129.23,70772,,,,,0.82
W_UlakhanSular2_70772,Wolf,Ancient_Pleistocene_Wolves,UlakhanSular,Russia,61.61,129.23,16864,,,,,15.95
W_Umingmak1_3200,Wolf,Ancient_North_American_Wolves,Umingmak,Canada,73.38,-119.82,3200,,,,,0.97
W_Umingmak2_3200,Wolf,Ancient_North_American_Wolves,Umingmak,Canada,73.38,-119.82,3200,,,,,0.38
W_Unnegen1_44450,Wolf,Ancient_Pleistocene_Wolves,Unnegen,Russia,68.92,134.48,44450,,,,,6.23
W_Uyandina1_22553,Wolf,Ancient_Pleistocene_Wolves,Uyandina,Russia,68.43,145.74,22553,,,,,1.28
W_Uyandina2_56376,Wolf,Ancient_Pleistocene_Wolves,Uyandina,Russia,68.43,145.74,56376,,,,,0.81
W_Yana1_28520,Wolf,Ancient_Pleistocene_Wolves,Yana,Russia,70.72,135.41,28520,,,,,0.11
W_Yana2_19710,Wolf,Ancient_Pleistocene_Wolves,Yana,Russia,70.72,135.54,19710,,,,,0.09
W_Yana3_33020,Wolf,Ancient_Pleistocene_Wolves,Yana,Russia,70.72,135.43,31424,,,,,0.22
W_Yana4_31424,Wolf,Ancient_Pleistocene_Wolves,Yana,Russia,70.72,135.43,31351,,,,,0.09
W_Yana5_31351,Wolf,Ancient_Pleistocene_Wolves,Yana,Russia,70.72,135.43,32844,,,,,0.77
W_Yana6_32844,Wolf,Ancient_Pleistocene_Wolves,Yana,Russia,70.72,135.43,31758,,,,,0.13
W_Yana7_31758,Wolf,Ancient_Pleistocene_Wolves,Yana,Russia,71.5,136.6,28110,,,,,2.6
W_Yana8_19710,Wolf,Ancient_Pleistocene_Wolves,Yana,Russia,70.72,135.43,33020,,,,,3.39
W_Yungen1_51102,Wolf,Ancient_Pleistocene_Wolves,Yungen,Russia,68.92,134.48,51102,,,,,0.92
Dhole_Hovk1_70000,Dhole,Outgroup,Hovk,Armenia,40.79,45.04,70000,,,,,1.03
