bin,V,V_err,sigma,sigma_err,v_rms,v_rms_err,x_src,y_src,r_src,r_pc,n_spaxels
25,-34.81,15.31,425.67,16.87,427.09,16.86,-0.0037,0.0293,0.0295,247.5,1
26,-182.23,14.01,347.51,15.39,392.39,15.1,-0.0268,0.0744,0.0791,663.6,1
27,,,,,,,0.0237,-0.0391,0.0457,383.7,1
28,,,,,,,0.0078,0.0066,0.0102,85.7,1
29,240.56,14.19,384.04,15.98,453.16,15.5,0.0214,-0.0276,0.0349,293.2,1
30,-248.61,13.21,325.6,14.94,409.66,14.33,-0.052,0.1066,0.1187,995.8,2
31,-253.94,14.01,336.84,15.4,421.84,14.91,-0.044,0.0836,0.0945,793.1,1
32,-208.25,11.89,296.08,13.21,361.98,12.79,-0.0453,0.1139,0.1226,1028.9,4
33,-222.02,12.7,356.97,14.07,420.38,13.7,-0.0276,0.0377,0.0467,391.9,1
34,-258.58,13.94,308.96,16.53,402.89,15.52,-0.0736,0.1561,0.1726,1448.3,8
35,-254.56,12.45,324.16,13.46,412.17,13.08,-0.0418,0.0717,0.083,696.5,1
36,-131.73,14.53,401.35,15.33,422.42,15.25,-0.0172,0.0635,0.0658,552.0,1
37,-186.87,14.84,343.55,16.19,391.08,15.89,-0.0288,0.0861,0.0907,761.6,1
38,-271.84,13.6,245.13,16.46,366.04,14.95,-0.0959,0.2316,0.2507,2103.8,24
39,-217.38,12.52,240.81,14.83,324.41,13.84,-0.0491,0.1374,0.1459,1224.3,4
40,-56.31,14.68,410.85,16.01,414.69,15.99,-0.0057,0.0408,0.0412,345.9,1
41,-278.69,12.35,312.06,14.38,418.39,13.52,-0.0645,0.1186,0.135,1133.3,5
42,-247.38,12.22,314.33,13.93,400.0,13.3,-0.0395,0.0598,0.0716,601.0,1
43,-170.17,13.58,352.53,15.05,391.45,14.78,-0.025,0.0864,0.0899,754.6,2
44,44.08,15.52,445.61,16.59,447.78,16.58,0.0057,0.0181,0.019,159.1,1
45,-90.26,15.08,395.29,16.37,405.46,16.31,-0.0078,0.0523,0.0529,443.9,1
46,202.89,13.74,399.62,15.43,448.17,15.1,0.0192,-0.0161,0.0251,210.5,1
47,-291.54,11.75,221.43,14.7,366.1,12.91,-0.1301,0.2615,0.2921,2451.1,32
48,-303.21,12.36,279.05,14.45,412.07,13.36,-0.0936,0.1622,0.1872,1571.4,10
49,-277.82,12.51,305.91,14.25,413.24,13.49,-0.0574,0.0927,0.1091,915.5,2
50,-160.87,12.65,389.0,13.83,420.95,13.66,-0.0252,0.0257,0.036,302.4,1
51,-215.3,13.6,344.68,15.22,406.4,14.78,-0.0371,0.0478,0.0605,507.7,1
52,-265.93,15.04,344.0,16.65,434.8,16.07,-0.0491,0.0697,0.0853,715.7,1
53,-107.75,13.23,412.43,13.9,426.27,13.86,-0.0134,0.0036,0.0139,116.3,1
54,-220.2,13.22,223.14,16.19,313.5,14.8,-0.067,0.1987,0.2097,1759.7,17
55,-173.24,11.79,281.32,13.67,330.38,13.18,-0.0278,0.1037,0.1074,901.1,4
56,-114.29,14.92,374.58,16.28,391.63,16.17,-0.0097,0.0638,0.0645,541.6,1
57,-14.03,15.16,432.4,16.5,432.63,16.5,0.0036,0.0295,0.0298,249.8,1
58,-123.35,14.73,337.3,16.25,359.15,16.08,-0.0116,0.0752,0.0761,639.0,1
59,-334.08,10.28,227.68,12.8,404.29,11.14,-0.1515,0.257,0.2984,2504.0,29
60,-287.91,12.88,318.48,14.59,429.33,13.85,-0.0644,0.0948,0.1146,962.0,3
61,-243.67,14.91,362.31,16.28,436.63,15.87,-0.0467,0.0576,0.0742,622.7,1
62,-257.3,15.08,344.98,16.62,430.37,16.09,-0.0697,0.0951,0.1179,989.6,2
63,-198.0,13.08,367.02,14.17,417.02,13.93,-0.0347,0.0357,0.0498,418.2,1
64,-336.05,13.35,292.3,15.58,445.39,14.35,-0.0966,0.1456,0.1748,1466.7,8
65,-132.52,13.54,403.55,14.62,424.75,14.52,-0.0228,0.0138,0.0266,223.4,1
66,-41.49,13.63,419.19,14.89,421.24,14.88,-0.0016,-0.0185,0.0186,156.0,1
67,-47.21,13.89,405.33,14.47,408.07,14.46,-0.0109,-0.0083,0.0137,114.8,1
68,-225.57,14.69,350.51,16.69,416.82,16.13,-0.0564,0.0673,0.0878,736.6,1
69,-206.86,14.17,363.1,15.26,417.89,15.0,-0.0443,0.0455,0.0635,532.9,1
70,-164.44,12.11,353.94,13.4,390.27,13.18,-0.0322,0.0237,0.04,335.7,1
71,-43.93,14.49,405.87,16.05,408.24,16.03,0.0017,0.041,0.041,344.0,1
72,,,,,,,-0.2072,0.3249,0.3853,3233.9,45
73,-280.22,13.49,303.87,15.47,413.35,14.59,-0.0722,0.0875,0.1134,951.9,2
74,-211.61,13.48,308.41,14.99,374.03,14.52,-0.0539,0.0551,0.077,646.6,1
75,-314.69,12.16,271.64,13.62,415.71,12.8,-0.0917,0.1134,0.1458,1223.9,7
76,-107.81,12.88,381.68,14.05,396.61,13.97,-0.0203,0.0018,0.0203,170.8,1
77,-161.72,12.78,329.04,13.93,366.63,13.71,-0.0418,0.0334,0.0534,448.6,1
78,-328.18,10.19,239.84,12.12,406.48,10.9,-0.1323,0.1781,0.2219,1862.2,17
79,-119.03,11.25,335.53,12.31,356.02,12.2,-0.0297,0.0116,0.0319,267.5,1
80,-241.72,14.07,305.06,15.47,389.22,14.95,-0.0635,0.0644,0.0905,759.2,1
81,-188.28,12.37,300.3,13.75,354.44,13.38,-0.0513,0.0428,0.0668,561.0,1
82,-14.58,12.97,372.5,14.16,372.79,14.16,-0.0084,-0.0202,0.0219,183.4,1
83,24.64,14.39,413.41,15.68,414.14,15.68,0.0009,-0.0304,0.0304,255.0,1
84,-48.73,12.13,354.19,13.25,357.53,13.23,-0.0177,-0.0102,0.0204,171.5,1
85,-155.27,12.62,320.86,14.05,356.45,13.79,-0.0392,0.0212,0.0445,373.7,1
86,55.54,15.93,427.74,17.23,431.33,17.21,0.0102,-0.0408,0.042,352.5,1
87,-89.22,12.21,333.46,12.57,345.19,12.55,-0.0271,-0.0005,0.0271,227.2,1
88,51.16,13.76,365.38,15.09,368.94,15.07,0.0035,-0.0422,0.0424,355.7,1
89,28.05,12.68,349.55,13.5,350.67,13.49,-0.0057,-0.0322,0.0327,274.2,1
90,-250.57,13.75,301.24,15.34,391.83,14.71,-0.0671,0.0628,0.0919,771.1,2
91,-189.26,14.19,342.58,15.8,391.38,15.44,-0.0487,0.0306,0.0575,482.4,1
92,96.38,16.01,410.13,17.34,421.3,17.27,0.0127,-0.0525,0.054,453.6,1
93,-8.32,11.94,341.81,13.26,341.91,13.26,-0.015,-0.0223,0.0269,225.7,1
94,-164.08,14.28,354.15,15.16,390.31,15.01,-0.0365,0.009,0.0376,315.5,1
95,91.55,13.59,349.86,14.9,361.64,14.82,0.012,-0.0652,0.0663,556.2,2
96,-73.95,12.85,357.43,13.39,365.0,13.37,-0.0244,-0.0127,0.0275,230.6,1
97,162.12,13.63,331.76,14.99,369.25,14.74,0.0334,-0.0854,0.0917,769.9,3
98,44.79,13.28,322.49,14.52,325.59,14.5,-0.0031,-0.0442,0.0443,371.5,1
99,91.48,16.64,385.05,18.52,395.77,18.42,0.0153,-0.0643,0.0661,555.1,1
100,-193.36,14.71,316.11,16.41,370.56,15.97,-0.0582,0.0397,0.0705,591.7,1
101,4.11,13.56,348.29,14.19,348.31,14.19,-0.0123,-0.0344,0.0365,306.5,1
102,187.09,13.17,329.28,14.58,378.72,14.25,0.036,-0.0971,0.1036,869.1,3
103,-259.26,11.86,271.77,13.72,375.6,12.87,-0.0816,0.0762,0.1116,936.8,6
104,-155.99,15.19,354.58,16.41,387.38,16.22,-0.046,0.0183,0.0495,415.2,1
105,-96.43,14.73,364.25,15.68,376.8,15.62,-0.0338,-0.0032,0.0339,284.7,1
106,115.77,14.72,324.84,15.43,344.85,15.35,0.0102,-0.0721,0.0728,610.8,2
107,177.3,16.62,327.25,17.59,372.19,17.37,0.028,-0.105,0.1087,912.2,4
108,221.48,16.01,272.86,18.43,351.43,17.51,0.0712,-0.1623,0.1772,1487.3,11
109,77.02,14.51,324.47,15.34,333.49,15.3,-0.0003,-0.0562,0.0562,471.4,1
110,182.53,13.62,320.99,15.53,369.26,15.09,0.0374,-0.109,0.1153,967.5,5
111,-33.75,14.23,352.54,15.36,354.15,15.35,-0.0216,-0.0248,0.0329,276.3,1
112,-265.81,11.06,261.81,12.88,373.09,11.99,-0.1101,0.1081,0.1544,1295.4,14
113,38.39,15.39,359.92,16.17,361.96,16.16,-0.0095,-0.0465,0.0475,398.3,1
114,-170.9,13.91,311.86,15.68,355.62,15.29,-0.0555,0.0274,0.0619,519.2,1
115,-101.71,14.25,340.77,15.43,355.62,15.34,-0.0432,0.006,0.0436,365.9,1
116,156.78,17.07,254.59,19.81,298.99,19.1,0.0433,-0.1469,0.1532,1285.4,7
117,-50.59,14.49,345.0,15.69,348.69,15.67,-0.031,-0.0155,0.0346,290.5,1
118,216.5,16.2,274.71,18.53,349.77,17.67,0.0685,-0.1855,0.1977,1659.6,15
119,123.64,14.1,323.76,15.28,346.57,15.13,0.0099,-0.0851,0.0857,719.4,4
120,1.9,14.84,345.83,16.62,345.84,16.62,-0.0188,-0.037,0.0415,348.5,1
121,,,,,,,0.1043,-0.2439,0.2652,2225.8,24
122,78.8,15.57,352.21,17.4,360.92,17.32,-0.0067,-0.0586,0.059,495.2,1
123,155.24,14.02,412.75,15.41,440.98,15.24,0.0171,-0.0047,0.0177,148.5,1
124,,,,,,,0.0328,-0.0503,0.0601,504.2,1
125,-132.38,13.15,295.26,14.22,323.58,14.05,-0.0527,0.015,0.0547,459.4,1
126,-84.78,14.21,332.92,15.84,343.55,15.75,-0.0403,-0.0064,0.0408,342.7,1
127,182.72,19.57,270.8,22.62,326.68,21.71,0.0585,-0.1925,0.2012,1688.4,19
128,-197.64,13.53,293.29,15.58,353.67,14.97,-0.0713,0.0468,0.0853,715.5,2
129,-58.01,15.05,350.67,15.76,355.44,15.74,-0.0281,-0.0278,0.0395,331.5,1
130,56.75,14.62,320.15,16.21,325.14,16.16,-0.0068,-0.0677,0.068,570.8,3
131,151.85,18.55,326.86,20.03,360.41,19.78,0.018,-0.1151,0.1165,977.6,5
132,275.85,12.71,349.58,14.0,445.31,13.52,0.0306,-0.0389,0.0495,415.3,1
133,94.81,14.87,432.74,15.96,443.0,15.91,0.015,0.0067,0.0164,137.7,1
134,237.48,12.9,368.01,14.03,437.98,13.71,0.0284,-0.0276,0.0396,332.0,1
135,289.9,13.82,299.64,15.85,416.92,14.9,0.0498,-0.0846,0.0981,823.5,2
136,-43.37,12.68,294.19,14.01,297.37,13.98,-0.0359,-0.0249,0.0437,367.0,2
137,-326.76,10.48,252.22,12.81,412.78,11.41,-0.164,0.1948,0.2547,2137.5,29
138,-102.74,12.45,281.38,14.1,299.55,13.92,-0.0483,-0.0037,0.0484,406.3,2
139,11.26,13.07,293.96,14.88,294.18,14.88,-0.0175,-0.0569,0.0596,500.0,4
140,-172.16,12.39,274.73,14.62,324.22,14.03,-0.0684,0.0343,0.0765,642.1,2
141,,,,,,,-0.251,0.3333,0.4173,3501.9,57
142,,,,,,,0.025,-0.1498,0.1518,1274.3,18
143,-55.65,11.92,278.74,13.44,284.24,13.38,-0.0427,-0.0314,0.053,444.9,6
144,-158.91,11.29,289.46,12.86,330.21,12.51,-0.0696,0.0233,0.0733,615.6,7
145,61.34,14.97,281.26,16.6,287.87,16.53,-0.003,-0.1126,0.1126,945.0,18
146,-178.4,10.36,257.6,12.17,313.34,11.61,-0.1005,0.0565,0.1153,967.9,23
147,-3.64,11.71,245.91,13.32,245.94,13.32,-0.0355,-0.079,0.0866,727.1,35
148,-113.36,12.11,244.77,13.78,269.75,13.5,-0.1018,0.0081,0.1022,857.3,60
149,-284.88,10.07,195.39,13.25,345.45,11.19,-0.1975,0.1914,0.275,2308.2,64
150,286.64,14.45,258.98,16.41,386.31,15.36,0.0733,-0.1416,0.1594,1338.0,7
151,272.57,14.26,349.03,16.02,442.85,15.38,0.0418,-0.0618,0.0746,626.3,1
152,262.9,14.65,250.04,17.79,362.82,16.22,0.116,-0.2379,0.2647,2221.5,31
153,254.47,14.15,363.65,15.64,443.84,15.17,0.0396,-0.0505,0.0642,538.6,1
154,176.2,13.63,398.6,15.07,435.81,14.84,0.0263,-0.0162,0.0309,259.1,1
155,297.1,13.3,287.25,15.25,413.26,14.28,0.0613,-0.1038,0.1205,1011.6,3
156,42.08,13.88,420.17,15.25,422.27,15.24,0.013,0.018,0.0222,186.4,1
157,-72.9,14.77,395.91,16.33,402.57,16.28,-0.0003,0.0523,0.0523,439.3,1
158,221.92,14.23,377.65,15.46,438.03,15.15,0.0375,-0.0392,0.0542,455.2,1
159,305.69,14.49,331.72,14.66,451.09,14.58,0.0508,-0.0735,0.0893,749.7,1
160,129.31,13.61,401.63,14.81,421.93,14.7,0.0242,-0.0049,0.0247,207.3,1
161,-137.93,12.62,283.56,14.53,315.33,14.18,-0.02,0.1038,0.1057,887.1,4
162,294.02,12.5,314.22,14.7,430.33,13.72,0.0805,-0.1369,0.1588,1332.8,8
163,1.35,13.69,414.97,15.0,414.97,15.0,0.011,0.0294,0.0314,263.2,1
164,-151.76,16.83,259.67,20.06,300.77,19.29,-0.0519,0.1904,0.1974,1656.4,15
165,-90.94,13.94,358.5,15.42,369.85,15.33,-0.0021,0.0637,0.0637,534.8,1
166,275.18,12.86,325.81,14.53,426.47,13.86,0.0542,-0.0738,0.0916,768.5,2
167,192.94,13.29,356.65,14.78,405.49,14.46,0.0354,-0.028,0.0451,378.6,1
168,294.33,14.33,244.78,16.62,382.82,15.31,0.1417,-0.2686,0.3037,2549.2,35
169,103.4,13.01,389.55,14.43,403.04,14.34,0.0222,0.0063,0.0231,193.7,1
170,-23.13,14.03,386.73,15.09,387.42,15.09,0.0091,0.0406,0.0417,349.6,1
171,240.38,14.31,341.68,15.87,417.77,15.37,0.0465,-0.0511,0.0691,579.7,1
172,178.63,12.27,352.65,13.62,395.31,13.36,0.0333,-0.0168,0.0373,313.3,1
173,-113.88,12.95,308.39,14.15,328.74,14.01,-0.0112,0.0978,0.0984,826.2,4
174,90.67,12.8,371.17,14.05,382.08,13.98,0.0203,0.0175,0.0268,225.0,1
175,-52.26,14.02,352.87,15.23,356.72,15.21,0.0073,0.0519,0.0524,439.7,1
176,266.14,13.94,344.23,15.74,435.11,15.09,0.0642,-0.0861,0.1074,901.1,3
177,322.11,14.32,328.05,16.99,459.75,15.74,0.0923,-0.1478,0.1742,1462.4,10
178,235.56,14.23,361.45,15.46,431.43,15.1,0.0444,-0.0399,0.0597,501.4,1
179,153.74,11.83,343.52,12.99,376.35,12.8,0.0314,-0.0056,0.0319,267.5,1
180,34.06,13.03,347.97,14.44,349.63,14.43,0.0184,0.0287,0.0341,286.3,1
181,247.62,15.44,353.43,16.33,431.54,16.04,0.0554,-0.0632,0.0841,705.5,1
182,196.88,12.65,347.21,13.93,399.14,13.63,0.0424,-0.0288,0.0513,430.5,1
183,-79.83,13.18,304.06,14.79,314.36,14.69,0.0055,0.0631,0.0633,531.5,1
184,-120.38,18.42,290.35,20.53,314.32,20.23,-0.0302,0.1692,0.1719,1442.9,17
185,93.51,12.26,335.96,13.46,348.73,13.38,0.0295,0.0055,0.03,251.5,1
186,-34.71,12.39,314.08,13.79,315.99,13.77,0.0166,0.0399,0.0432,362.4,1
187,228.4,14.0,335.54,15.4,405.9,14.97,0.0534,-0.0521,0.0746,626.4,1
188,140.81,12.25,329.19,13.71,358.04,13.49,0.0405,-0.0178,0.0442,371.0,1
189,-70.55,11.36,292.88,12.87,301.26,12.79,0.0029,0.0798,0.0799,670.2,6
190,34.52,12.59,322.97,14.06,324.81,14.04,0.0276,0.0166,0.0322,270.3,1
191,257.64,12.67,313.26,14.76,405.6,13.95,0.0673,-0.0797,0.1043,875.0,3
192,204.47,13.84,335.18,15.8,392.62,15.29,0.0514,-0.0411,0.0658,552.6,1
193,97.99,12.63,333.83,14.33,347.91,14.2,0.0386,-0.0068,0.0392,328.7,1
194,14.28,13.18,309.12,14.64,309.45,14.64,0.0258,0.0276,0.0378,317.3,1
195,171.5,13.4,314.35,15.28,358.09,14.87,0.0495,-0.0302,0.058,486.4,1
196,-71.24,13.16,307.23,14.67,315.38,14.6,0.0107,0.0785,0.0793,665.1,6
197,104.12,13.31,340.69,14.54,356.25,14.44,0.0367,0.0042,0.037,310.4,1
198,298.67,13.13,302.37,15.31,425.01,14.28,0.087,-0.1183,0.1468,1232.4,7
199,259.48,13.67,310.97,16.05,405.01,15.12,0.0657,-0.0654,0.0927,778.3,2
200,163.15,12.91,306.79,14.58,347.47,14.23,0.0476,-0.0193,0.0514,431.0,1
201,28.41,13.19,319.2,14.75,320.46,14.74,0.0295,0.0269,0.0399,335.2,2
202,344.25,11.09,240.28,13.84,419.81,12.06,0.1438,-0.2477,0.2864,2403.9,37
203,251.79,12.89,297.73,14.92,389.92,14.11,0.0691,-0.0664,0.0959,804.6,3
204,153.39,11.94,302.17,13.49,338.87,13.19,0.0524,-0.0205,0.0562,472.0,3
205,65.93,12.84,308.23,14.47,315.2,14.4,0.0386,0.0143,0.0412,345.7,2
206,-103.72,15.98,286.89,18.12,305.06,17.89,-0.0037,0.1405,0.1405,1179.3,21
207,262.05,11.93,293.59,14.08,393.53,13.17,0.0789,-0.0797,0.1121,941.2,7
208,22.71,12.15,320.02,13.41,320.82,13.4,0.0331,0.0409,0.0526,441.6,7
209,316.38,11.63,270.04,13.38,415.95,12.4,0.1152,-0.1574,0.1951,1637.2,18
210,138.71,12.71,321.04,14.01,349.72,13.81,0.0566,-0.0117,0.0578,485.4,6
211,232.34,11.92,275.77,13.7,360.6,12.99,0.0814,-0.0672,0.1055,885.6,8
212,-10.8,12.2,296.26,13.89,296.46,13.89,0.0273,0.0869,0.0911,764.6,20
213,144.04,11.26,282.95,12.77,317.5,12.47,0.0661,-0.0116,0.0671,563.2,10
214,330.53,9.34,197.96,11.8,385.28,10.05,0.175,-0.2959,0.3437,2884.9,57
215,254.93,10.21,241.47,12.51,351.14,11.36,0.1115,-0.1199,0.1638,1374.4,24
216,49.78,11.83,282.9,13.01,287.25,12.98,0.0541,0.0511,0.0745,625.1,38
217,336.19,8.83,208.23,11.3,395.45,9.58,0.1849,-0.2909,0.3446,2892.4,68
218,202.62,11.78,285.72,13.87,350.27,13.21,0.1043,-0.0665,0.1237,1038.3,37
