full_name,e,a,i_deg,q_au,A1,A2,A3,pha,tisserand_J
(2026 KC2),0.1055,1.14,19.42,1.02,,,,N,5.4427
(2026 KH2),0.2876,1.107,13.29,0.788,,,,N,5.5606
(2026 KJ2),0.545,2.319,4.34,1.055,,,,N,3.3602
(2026 KK2),0.2979,0.9116,7.06,0.64,,,,N,6.5014
(2026 KL2),0.4993,1.982,2.53,0.992,,,,N,3.6939
(2026 KM2),0.4435,1.637,26.25,0.911,,,,N,4.0806
(2026 KN2),0.3018,1.449,6.6,1.012,,,,N,4.5908
(2026 KO2),0.434,1.477,14.26,0.836,,,,N,4.4536
(2026 KP2),0.5481,1.297,5.02,0.586,,,,N,4.8441
(2026 KQ2),0.3479,1.709,8.1,1.115,,,,N,4.1088
(2026 KR2),0.6323,1.948,3.41,0.716,,,,N,3.6177
(2026 KT2),0.5398,2.191,14.92,1.008,,,,N,3.4307
(2026 KU2),0.4977,2.03,28.32,1.02,,,,N,3.5172
(2026 KV2),0.1992,1.442,25.62,1.154,,,,N,4.539
(2026 KW2),0.0962,1.234,18.89,1.115,,,,N,5.1342
(2026 KX2),0.1873,1.458,6.95,1.185,,,,N,4.6014
(2026 KY2),0.522,2.651,29.35,1.267,,,,N,3.0242
(2026 KA3),0.3179,0.967,3.79,0.66,,,,N,6.197
(2026 KB3),0.2307,0.9076,9.54,0.698,,,,N,6.5351
(2026 KC3),0.5207,2.67,26.19,1.28,,,,N,3.0465
(2026 KD3),0.3794,1.639,7.47,1.017,,,,N,4.2047
(2026 KE3),0.1894,1.339,10.89,1.085,,,,N,4.8645
(2026 KF3),0.4757,2.154,4.04,1.13,,,,N,3.5449
(2026 KJ3),0.2151,0.9832,7.66,0.772,,,,N,6.1341
(2026 KK3),0.3271,1.486,8.21,1.0,,,,N,4.5015
(2026 KM3),0.5227,2.153,9.29,1.028,,,,N,3.4993
(2026 KN3),0.1993,1.327,24.55,1.062,,,,N,4.8217
(2026 KO3),0.4389,1.845,20.35,1.035,,,,N,3.8237
(2026 KP3),0.924,2.999,54.37,0.228,,,,N,2.0734
(2026 KQ3),0.4026,1.642,1.51,0.981,,,,N,4.1972
(2026 KS3),0.364,1.668,28.21,1.061,,,,N,4.0492
(2026 KT3),0.5704,1.723,13.72,0.74,,,,N,3.9385
(2026 KU3),0.5189,2.127,8.02,1.023,,,,N,3.5289
(2026 KW3),0.4266,2.244,6.28,1.287,,,,N,3.4997
(2026 KX3),0.3789,1.745,16.81,1.084,,,,N,4.0081
(2026 KY3),0.4746,2.264,6.04,1.19,,,,N,3.4532
(2026 LA),0.1856,1.308,18.44,1.066,,,,N,4.9131
(2026 LB),0.4283,1.789,6.19,1.023,,,,N,3.9623
(2026 LC),0.3443,1.377,14.18,0.903,,,,N,4.7156
(2026 LD),0.61,2.545,3.68,0.992,,,,N,3.1507
(2026 LE),0.3467,1.565,16.04,1.022,,,,N,4.3138
(2026 LF),0.2937,1.214,9.05,0.857,,,,N,5.1984
(2026 LG),0.2497,0.8214,6.33,0.616,,,,N,7.1
(2026 LH),0.1298,1.167,14.24,1.015,,,,N,5.3694
(2026 LJ),0.0765,1.121,21.38,1.035,,,,N,5.504
(2026 LK),0.1167,1.127,11.95,0.996,,,,N,5.5217
(2026 LL),0.2213,1.31,13.21,1.02,,,,N,4.9251
(2026 LM),0.2239,0.8769,9.36,0.681,,,,N,6.7238
(2026 LN),0.3204,1.345,2.54,0.914,,,,N,4.8312
(2026 LO),0.3994,1.577,4.39,0.947,,,,N,4.3062
(2026 LP),0.5888,2.564,8.44,1.054,,,,N,3.152
(2026 LQ),0.4709,1.715,6.25,0.907,,,,N,4.0412
(2026 LR),0.3473,1.558,14.8,1.017,,,,N,4.3322
(2026 LS),0.5142,2.24,21.14,1.088,,,,N,3.3728
(2026 LT),0.4743,1.911,6.31,1.005,,,,N,3.7836
(2026 LV),0.176,1.046,3.2,0.862,,,,N,5.8563
(2026 LW),0.1691,0.9339,19.66,0.776,,,,N,6.3585
(2026 LX),0.2824,0.9158,0.22,0.657,,,,N,6.4871
(2026 LY),0.5642,0.8143,21.23,0.355,,,,N,6.9994
(2026 LZ),0.5127,2.408,9.05,1.174,,,,N,3.3146
(2026 LA1),0.4422,0.9506,13.04,0.53,,,,N,6.2211
(2026 LB1),0.1644,1.211,3.75,1.012,,,,N,5.2468
(2026 LD1),0.3424,1.596,14.13,1.05,,,,N,4.2697
(2026 LE1),0.3698,1.531,27.57,0.965,,,,N,4.2924
(2026 LF1),0.5594,2.159,1.95,0.951,,,,N,3.4775
(2026 LG1),0.1139,1.127,7.46,0.999,,,,N,5.5343
(2026 LH1),0.6659,1.646,4.89,0.55,,,,N,3.9976
(2026 LJ1),0.1761,1.012,26.13,0.834,,,,N,5.9216
(2026 LK1),0.3193,1.455,0.38,0.99,,,,N,4.5787
(2026 LL1),0.5433,2.242,1.84,1.024,,,,N,3.4226
(2026 LM1),0.5817,2.057,3.61,0.86,,,,N,3.5506
(2026 LN1),0.5092,1.789,29.17,0.878,,,,N,3.79
(2026 LO1),0.5591,2.366,3.68,1.043,,,,N,3.3152
(2026 LP1),0.3143,1.23,10.96,0.843,,,,N,5.137
(2026 LQ1),0.2194,1.36,1.38,1.062,,,,N,4.8236
(2026 LS1),0.3273,1.346,1.46,0.906,,,,N,4.827
(2026 LT1),0.1309,1.186,32.93,1.031,,,,N,5.1822
(2026 LU1),0.3038,1.292,18.61,0.9,,,,N,4.9275
(2026 LV1),0.4343,2.141,21.9,1.211,,,,N,3.5027
(2026 LW1),0.6315,2.743,4.78,1.011,,,,N,3.0191
(2026 LX1),0.6338,2.225,2.86,0.815,,,,N,3.3491
(2026 LZ1),0.0402,1.03,21.28,0.988,,,,N,5.8807
(2026 LA2),0.4893,1.777,15.45,0.907,,,,N,3.9109
(2026 LB2),0.489,0.9443,35.85,0.483,,,,N,6.1131
(2026 LC2),0.2408,1.291,4.82,0.98,,,,N,4.9943
(2026 LD2),0.5475,2.272,4.55,1.028,,,,N,3.3928
(2026 LF2),0.5423,1.74,10.72,0.797,,,,N,3.9454
(2026 LG2),0.5553,2.446,6.01,1.088,,,,N,3.2616
(2026 LH2),0.4163,1.439,29.37,0.84,,,,N,4.4496
(2026 LJ2),0.6295,2.986,25.13,1.107,,,,N,2.8085
(2026 LL2),0.3324,1.313,19.82,0.876,,,,N,4.8547
(2026 LN2),0.541,2.539,16.56,1.165,,,,N,3.1757
(2026 LQ2),0.165,1.169,35.88,0.976,,,,N,5.209
(2026 LR2),0.1611,1.125,19.07,0.944,,,,N,5.493
(2026 LT2),0.5404,2.148,3.31,0.987,,,,N,3.502
(2026 LW2),0.5736,2.395,10.0,1.021,,,,N,3.2673
(2026 LY2),0.6395,1.724,9.61,0.622,,,,N,3.891
(2026 LZ2),0.5469,2.141,12.6,0.97,,,,Y,3.4787
(2026 LB3),0.4411,1.92,9.51,1.073,,,,N,3.7856
(2026 LC3),0.1968,1.329,17.84,1.067,,,,N,4.8589
(2026 LD3),0.4357,1.349,29.9,0.761,,,,N,4.6521
(2026 LE3),0.4818,2.363,7.25,1.224,,,,N,3.3737
(2026 LF3),0.7284,2.23,55.94,0.606,,,,N,2.8359
(2026 LJ3),0.4606,1.752,19.42,0.945,,,,N,3.9417
(2026 LN3),0.236,1.337,9.13,1.022,,,,N,4.8648
(2026 LO3),0.6641,3.17,8.88,1.065,,,,N,2.7947
(2026 LP3),0.2781,1.454,1.94,1.05,,,,N,4.5939
(2026 MA),0.5276,2.17,8.69,1.025,,,,N,3.4826
(2026 MB),0.1504,0.9755,5.68,0.829,,,,N,6.1864
(2026 MD),0.5886,2.276,1.14,0.936,,,,N,3.3555
(2026 ME),0.5978,2.553,17.35,1.027,,,,N,3.1102
(2026 MF),0.7782,1.665,41.25,0.369,,,,N,3.6596
(2026 MG),0.4949,1.53,1.94,0.773,,,,N,4.343
(2026 MH),0.1125,0.9786,4.45,0.868,,,,N,6.1768
(2026 MJ),0.2923,0.891,20.56,0.631,,,,N,6.5814
(2026 MK),0.5279,2.127,7.95,1.004,,,,N,3.5221
(2026 ML),0.5186,2.139,2.06,1.03,,,,N,3.5285
(2026 MM),0.5328,2.659,18.13,1.242,,,,N,3.1068
(2026 MN),0.5774,2.162,7.17,0.914,,,,N,3.4512
(2026 MO),0.5173,2.084,6.44,1.006,,,,N,3.5734
(2026 MP),0.6161,2.166,3.78,0.832,,,,N,3.4166
(2026 MQ),0.4894,2.018,2.53,1.031,,,,N,3.6637
(2026 MR),0.3058,1.246,1.58,0.865,,,,N,5.1078
(2026 MT),0.3659,1.46,5.43,0.926,,,,N,4.5457
(2026 MU),0.4862,2.21,11.55,1.135,,,,N,3.4705
(2026 MV),0.538,2.401,9.67,1.109,,,,N,3.2962
(2026 MW),0.4083,1.678,17.34,0.993,,,,N,4.0908
(2026 MX),0.4799,1.582,19.5,0.823,,,,N,4.2013
(2026 MY),0.5669,2.214,2.23,0.959,,,,N,3.4243
(2026 MZ),0.4897,0.7296,32.35,0.372,,,,N,7.684
(2026 MA1),0.2455,1.168,9.25,0.882,,,,N,5.3619
(2026 MB1),0.1703,0.9986,14.89,0.829,,,,N,6.0454
(2026 MC1),0.5784,0.7915,27.09,0.334,,,,N,7.1411
(2026 MD1),0.6064,2.438,0.13,0.959,,,,N,3.223
(2026 ME1),0.2587,1.024,16.37,0.759,,,,N,5.9041
(2026 MF1),0.5671,2.147,6.52,0.929,,,,N,3.475
(2026 MG1),0.4685,1.839,7.9,0.977,,,,N,3.8701
(2026 MH1),0.0552,1.082,4.11,1.023,,,,N,5.7177
(2026 MJ1),0.2097,1.255,0.75,0.992,,,,N,5.1067
(2026 MM1),0.5385,2.242,10.42,1.035,,,,N,3.409
(2026 MN1),0.4438,1.857,7.03,1.033,,,,N,3.8649
(2026 MO1),0.525,2.138,9.58,1.016,,,,N,3.5098
(2026 MP1),0.676,2.333,1.51,0.756,,,,N,3.217
(2026 MQ1),0.4563,1.768,10.7,0.961,,,,N,3.9626
(2026 MR1),0.1394,1.394,21.77,1.199,,,,N,4.6849
(2026 MS1),0.1059,1.248,17.52,1.116,,,,N,5.0985
(2026 MT1),0.6379,2.6,9.11,0.942,,,,Y,3.0764
(2026 MU1),0.4951,1.643,4.58,0.83,,,,N,4.1405
(2026 MV1),0.5363,2.458,5.79,1.139,,,,N,3.2713
(2026 MW1),0.6121,1.259,15.94,0.488,,,,Y,4.8813
(2026 MX1),0.5966,2.351,0.67,0.948,,,,N,3.2922
(2026 MY1),0.5373,2.165,2.58,1.002,,,,N,3.4905
(2026 MZ1),0.264,1.029,25.44,0.757,,,,N,5.8318
(2026 MA2),0.5578,1.623,11.25,0.718,,,,N,4.1155
(2026 MB2),0.1881,1.021,33.84,0.829,,,,N,5.8195
(2026 MC2),0.1948,1.269,0.54,1.022,,,,N,5.0694
(2026 MD2),0.3663,1.639,8.4,1.039,,,,N,4.2082
(2026 MF2),0.1068,0.9808,2.44,0.876,,,,N,6.1682
(2026 MG2),0.4815,2.156,10.02,1.118,,,,N,3.5247
(2026 MH2),0.4668,2.155,11.67,1.149,,,,N,3.5294
(2026 MJ2),0.4381,2.22,11.14,1.247,,,,N,3.4962
(2026 MK2),0.0552,1.018,8.75,0.962,,,,N,5.9848
(2026 MM2),0.536,2.408,3.71,1.117,,,,N,3.3072
(2026 MN2),0.3676,1.589,8.53,1.005,,,,N,4.2913
(2026 MO2),0.1134,1.075,7.96,0.953,,,,N,5.7352
(2026 MQ2),0.3617,1.3,9.68,0.83,,,,N,4.9216
(2026 MR2),0.666,2.744,4.08,0.917,,,,N,2.977
(2026 MW2),0.3944,1.625,12.02,0.984,,,,N,4.2069
(2026 MX2),0.1198,1.083,3.68,0.953,,,,N,5.7089
(2026 MZ2),0.7473,1.299,33.81,0.328,,,,N,4.5577
(2026 MA3),0.2573,1.447,2.28,1.075,,,,N,4.6146
(2026 MB3),0.5142,2.256,0.96,1.096,,,,N,3.4359
(2026 MC3),0.2845,1.051,14.83,0.752,,,,N,5.7843
(2026 ME3),0.5892,2.247,5.82,0.923,,,,N,3.3723
(2026 MG3),0.1735,1.275,10.98,1.054,,,,N,5.0385
(2026 MH3),0.7309,2.539,4.93,0.683,,,,N,2.9995
(2026 MJ3),0.1813,1.113,27.1,0.911,,,,N,5.4852
(2026 ML3),0.6004,2.643,10.83,1.056,,,,N,3.0884
(2026 MM3),0.3363,1.812,17.53,1.202,,,,N,3.9317
(2026 MN3),0.4034,1.773,33.66,1.058,,,,N,3.8241
(2026 MP3),0.5727,1.451,4.91,0.62,,,,N,4.4489
(2026 MQ3),0.3651,1.49,6.53,0.946,,,,Y,4.4823
(2026 MS3),0.3676,0.9009,3.66,0.57,,,,N,6.5485
(2026 MV3),0.2183,1.307,40.54,1.022,,,,N,4.7248
