x_mpch,y_mpch,z_mpch
259.6249,-3.8285,-10.7261
278.1202,-7.2216,-9.1817
265.5489,-5.3026,-10.2757
277.9830,-7.5510,-9.1263
157.7190,12.3004,-18.8894
227.3396,0.1176,-13.4791
156.9849,10.6028,-18.9714
157.4729,8.8231,-19.3134
237.3135,-3.3430,-12.4536
152.6823,7.8849,-19.3093
218.9359,-1.8878,-14.3550
183.3570,-0.3274,-17.4632
147.3820,1.3774,-19.6366
163.0579,-1.1734,-18.3840
160.4957,-2.0055,-18.4762
156.2675,-4.7334,-19.3939
223.7492,-12.9404,-13.8812
148.1456,-8.7532,-19.4148
149.4861,-9.3072,-19.6167
203.1034,-14.5885,-14.9791
220.8897,-18.1903,-13.8445
170.8539,-18.3035,-18.1630
278.4762,-42.2079,-9.2590
175.0646,-64.1863,-18.3635
172.0250,-75.5561,-18.5135
185.2862,-77.0532,-17.0431
187.8593,-76.5745,-17.2699
191.1061,-76.0111,-16.6147
184.6601,-77.8533,-17.1198
185.6243,-77.6563,-17.2196
180.8267,-79.0281,-17.6189
186.5218,-77.9105,-17.5045
186.7656,-81.8434,-17.2408
189.9187,-83.5925,-17.3684
188.7117,-87.9788,-17.0935
191.2112,-94.3920,-17.0529
174.4347,-102.4522,-18.7075
187.5996,-98.1569,-17.1619
173.1441,-126.5422,-19.7295
182.9537,-122.9644,-18.8920
183.0757,-133.4474,-19.5520
182.3054,-134.0225,-19.6746
191.3327,-137.0926,-18.4628
194.7787,-135.2608,-18.4613
193.2784,-136.1179,-18.4768
191.8661,-137.2306,-18.6553
182.8512,-150.0924,-19.9890
183.5649,-156.0153,-19.9795
212.3538,-138.0164,-16.8833
216.5703,-136.2259,-16.7609
215.3628,-138.3598,-16.8029
270.4415,-109.0744,-11.6589
228.8722,-151.1607,-16.8686
235.2392,-149.2743,-16.1224
235.3658,-149.3198,-16.2252
250.0055,-150.1319,-15.3114
231.9732,162.6642,-19.4379
262.3165,114.2129,-14.7582
261.5709,113.7996,-14.4799
253.6022,120.8013,-15.9643
256.8811,116.8760,-14.9403
261.2834,109.9157,-14.9050
211.4133,157.1584,-19.5569
257.0497,88.8213,-13.5750
255.2741,89.2930,-13.6463
256.3451,87.6628,-13.5207
204.9823,127.2339,-18.4044
200.3134,130.6546,-19.0923
188.8269,120.0236,-19.8561
276.3182,51.5421,-10.7630
250.4690,68.7813,-12.7686
203.5755,98.4483,-17.3970
175.4347,116.3775,-19.5719
199.8779,98.8667,-17.6976
172.8883,106.5131,-19.9320
169.7511,101.8749,-19.8626
191.8946,88.8151,-17.7426
186.1710,80.0492,-17.7898
185.3910,80.1476,-17.8029
184.5904,80.5189,-18.1225
171.1962,85.4196,-18.8119
208.8807,62.4148,-15.9504
164.0210,83.2117,-19.5356
164.1186,82.7222,-19.6824
225.9502,52.0201,-14.0053
226.2976,50.0485,-13.9647
167.1842,77.9227,-19.4740
183.9232,69.8749,-17.3200
228.3322,48.7924,-13.9753
184.3917,69.4680,-17.2922
191.0685,66.1162,-16.9690
193.0095,65.0952,-17.1340
226.4792,49.2927,-13.6972
232.1360,46.0652,-13.1683
