site_no,lat_deg_s,lon_deg_w,name,meets_aquiry_def,size_ha,outline_clarity,partial_swath
214,-9.668,-67.398,Lid24_L04_28a,n,14.45,s,0
215,-9.67,-67.397,Lid24_L04_28b,n,1.39,g,0
216,-9.671,-67.398,Lid24_L04_28c,y,0.61,g,0
217,-9.672,-67.394,Lid24_L04_28d,y,0.58,s,0
218,-9.664,-67.392,Lid24_L04_28e,y,0.55,s,0
219,-9.668,-67.393,Lid24_L04_28f,y,0.28,s,0
220,-9.668,-67.394,Lid24_L04_28g,n,0.44,s,0
221,-9.67,-67.394,Lid24_L04_28h,n,3.01,s,0
222,-9.675,-67.394,Lid24_L04_28i,n,1.27,s,0
223,-9.676,-67.394,Lid24_L04_28j,n,1.1,s,0
224,-9.663,-67.383,Lid24_L04_29a,y,1.69,s,0
225,-9.656,-67.381,Lid24_L04_29b,y,0.95,s,0
226,-9.648,-67.362,Lid24_L04_30a,y,9.28,s,0
227,-9.643,-67.362,Lid24_L04_30b,y,1.15,s,0
228,-9.631,-67.351,Lid24_L04_31a,y,1.77,s,0
229,-9.643,-67.361,Lid24_L04_31b,y,3.45,s,0
230,-9.587,-67.297,Lid24_L04_35a,y,0.76,g,0
231,-9.589,-67.292,Lid24_L04_35b,y,0.66,g,0
232,-9.572,-67.272,Lid24_L04_37a,y,0.55,g,0
233,-9.573,-67.271,Lid24_L04_37b,y,3.28,s,0
234,-9.543,-67.232,Lid24_L04_39a,y,5.43,g,0
235,-9.525,-67.213,Lid24_L04_41a,y,1.2,g,0
236,-9.462,-67.133,Lid24_L04_46a,y,0.24,g,0
237,-9.422,-67.082,Lid24_L04_50a,y,2.12,s,0
238,-9.411,-67.079,Lid24_L04_51a,y,1.7,g,0
239,-9.394,-67.051,Lid24_L04_52a,y,0.51,s,0
240,-9.355,-67.002,Lid24_L04_56a,y,11.45,g,0
241,-9.353,-67.0,Lid24_L04_56b,y,7.76,g,0
242,-9.346,-66.992,Lid24_L04_57a,y,4.97,g,0
243,-9.32,-66.96,Lid24_L04_59a,y,7.2,g,0
244,-9.321,-66.96,Lid24_L04_59b,y,2.34,g,0
245,-9.313,-66.952,Lid24_L04_59c,y,4.96,s,0
246,-9.315,-66.952,Lid24_L04_59d,y,2.75,g,0
247,-9.308,-66.955,Lid24_L04_59e,y,6.37,s,0
248,-9.321,-66.967,Lid24_L04_59f,y,0.6,g,0
249,-9.3,-66.943,Lid24_L04_60b,y,1.69,g,0
250,-9.27,-66.907,Lid24_L04_63a,y,6.42,s,0
251,-9.254,-66.881,Lid24_L04_65a,y,6.52,g,0
252,-9.184,-66.802,Lid24_L04_70a,y,4.73,s,0
253,-9.185,-66.796,Lid24_L04_71a,y,1.59,g,0
254,-9.107,-66.703,Lid24_L04_77a,y,2.59,g,0
255,-9.099,-66.701,Lid24_L04_78a,y,0.6,s,0
256,-8.71,-66.366,Lid24_L05_106a,y,7.07,g,0
257,-8.705,-66.359,Lid24_L05_106b,y,1.07,g,0
258,-8.609,-66.243,Lid24_L05_114a,y,1.74,s,0
259,-8.06,-65.566,Lid24_L05_162a,n,15.59,s,0
260,-8.051,-65.56,Lid24_L05_163a,y,1.02,g,0
261,-9.741,-67.626,Lid24_L05_16a,y,1.23,s,0
262,-7.633,-65.053,Lid24_L05_199a,n,4.35,g,0
263,-7.638,-65.057,Lid24_L05_199b,n,9.38,g,0
264,-7.617,-65.032,Lid24_L05_201a,n,4.12,g,0
265,-7.619,-65.03,Lid24_L05_201b,n,3.54,s,0
266,-9.588,-67.433,Lid24_L05_29a,y,0.83,s,0
267,-9.589,-67.437,Lid24_L05_29b,y,0.39,s,0
268,-9.553,-67.402,Lid24_L05_32a,y,0.69,s,0
269,-9.557,-67.401,Lid24_L05_32b,n,3.21,g,0
270,-9.561,-67.398,Lid24_L05_32c,n,0.76,s,1
271,-9.56,-67.405,Lid24_L05_32d,n,1.1,s,0
272,-9.492,-67.32,Lid24_L05_38a,y,1.97,g,0
273,-9.893,-67.808,Lid24_L05_3a,n,3.65,g,0
274,-9.461,-67.285,Lid24_L05_40a,y,0.66,s,0
275,-9.46,-67.284,Lid24_L05_40b,y,7.27,g,0
276,-9.434,-67.252,Lid24_L05_42a,y,8.46,g,0
277,-9.444,-67.262,Lid24_L05_42b,y,0.7,s,0
278,-9.428,-67.238,Lid24_L05_43a,y,5.72,g,0
279,-9.424,-67.239,Lid24_L05_43b,y,8.05,g,0
280,-9.431,-67.242,Lid24_L05_43d,n,2.25,g,0
281,-9.42,-67.229,Lid24_L05_44a,y,8.07,g,0
282,-9.415,-67.23,Lid24_L05_44b,y,0.78,s,0
283,-9.408,-67.211,Lid24_L05_45a,y,1.2,s,0
284,-9.213,-66.978,Lid24_L05_62b,y,3.71,s,0
285,-9.182,-66.943,Lid24_L05_64a,y,4.68,g,0
286,-9.184,-66.94,Lid24_L05_64b,y,3.89,g,0
287,-9.184,-66.943,Lid24_L05_64c,n,1.4,s,0
288,-9.181,-66.941,Lid24_L05_65a,y,6.42,g,0
289,-9.14,-66.889,Lid24_L05_68a,n,0.55,s,0
290,-9.116,-66.858,Lid24_L05_70a,y,2.12,g,0
291,-9.122,-66.865,Lid24_L05_70b,y,2.7,s,0
292,-9.098,-66.836,Lid24_L05_72a,n,7.49,g,0
293,-9.097,-66.836,Lid24_L05_72b,y,8.23,s,0
294,-9.084,-66.825,Lid24_L05_73a,y,2.72,g,0
295,-9.057,-66.79,Lid24_L05_75a,y,1.42,g,0
296,-9.04,-66.761,Lid24_L05_77a,y,7.36,g,0
297,-9.041,-66.772,Lid24_L05_77b,y,5.08,g,0
298,-9.042,-66.771,Lid24_L05_77c,y,1.37,s,0
299,-8.978,-66.685,Lid24_L05_83a,y,1.42,s,0
300,-8.97,-66.68,Lid24_L05_83b,y,5.61,g,0
301,-8.97,-66.678,Lid24_L05_83c,y,3.29,s,0
302,-8.973,-66.685,Lid24_L05_83d,y,1.14,s,0
303,-8.938,-66.636,Lid24_L05_86a,y,4.02,s,0
304,-8.899,-66.59,Lid24_L05_89a,y,1.14,g,0
305,-8.848,-66.529,Lid24_L05_94a,y,1.35,g,0
306,-8.83,-66.512,Lid24_L05_95a,y,1.64,s,0
307,-8.818,-66.495,Lid24_L05_96a,y,0.6,g,0
308,-8.808,-66.476,Lid24_L05_97a,y,0.92,s,0
309,-8.435,-66.173,Lid24_L06_124a,y,6.8,g,0
310,-9.725,-67.744,Lid24_L06_12a,y,0.37,g,0
311,-8.253,-65.948,Lid24_L06_139a,y,4.12,g,0
312,-9.846,-67.884,Lid24_L06_1a,y,1.2,g,0
313,-7.495,-65.031,Lid24_L06_205a,n,12.12,s,0
314,-7.282,-64.783,Lid24_L06_223a,y,1.14,s,0
315,-9.555,-67.544,Lid24_L06_26a,n,13.8,g,0
316,-9.552,-67.535,Lid24_L06_26b,y,0.28,s,0
317,-9.541,-67.526,Lid24_L06_27a,y,0.57,s,0
318,-9.363,-67.309,Lid24_L06_43a,y,0.28,g,0
319,-9.356,-67.29,Lid24_L06_44a,y,4.84,g,0
320,-9.2,-67.101,Lid24_L06_57a,y,1.99,g,0
321,-9.194,-67.101,Lid24_L06_57b,n,2.47,g,0
322,-9.158,-67.048,Lid24_L06_61a,y,6.68,g,0
323,-9.152,-67.05,Lid24_L06_61b,y,4.27,g,0
324,-9.145,-67.032,Lid24_L06_62a,y,2.76,g,0
325,-9.106,-66.981,Lid24_L06_66a,n,9.01,s,1
326,-9.039,-66.906,Lid24_L06_71a,y,2.9,s,0
327,-9.037,-66.906,Lid24_L06_71b,y,4.6,g,0
328,-9.027,-66.897,Lid24_L06_72a,y,5.28,g,0
329,-9.031,-66.902,Lid24_L06_72b,y,6.85,s,0
330,-8.994,-66.851,Lid24_L06_75a,n,0.92,s,0
331,-8.905,-66.745,Lid24_L06_83a,y,11.6,g,0
332,-8.888,-66.722,Lid24_L06_84a,y,0.51,g,0
333,-8.88,-66.719,Lid24_L06_85a,y,0.74,s,0
334,-8.853,-66.677,Lid24_L06_87a,y,1.35,g,0
335,-8.784,-66.597,Lid24_L06_93a,y,4.43,g,0
336,-8.775,-66.586,Lid24_L06_94a,y,11.83,g,0
337,-8.773,-66.578,Lid24_L06_94b,y,3.14,s,0
338,-7.299,-64.751,Lid24_L07_179a,y,2.0,g,0
339,-7.298,-64.753,Lid24_L07_179b,y,2.89,g,0
340,-7.299,-64.748,Lid24_L07_179c,y,0.71,s,0
341,-7.307,-64.747,Lid24_L07_180a,y,1.95,g,0
342,-7.439,-64.635,Lid24_L07_185a,y,1.42,g,0
343,-7.487,-64.593,Lid24_L07_189a,y,1.79,g,0
344,-7.842,-66.795,Lid24_L08_147a,y,9.79,g,0
345,-7.846,-66.799,Lid24_L08_147b,y,3.0,g,0
346,-8.734,-68.962,Lid24_L08_18a,y,0.39,s,0
347,-8.722,-68.936,Lid24_L08_18b,y,0.46,s,0
348,-4.9,-66.911,Lid24_L09_1a,y,1.73,s,0
349,-4.898,-66.908,Lid24_L09_1b,y,5.55,g,0
350,-4.895,-66.907,Lid24_L09_1Ba,y,0.23,s,0
351,-4.896,-66.907,Lid24_L09_1Bb,y,0.2,s,0
352,-4.899,-66.906,Lid24_L09_1c,y,0.26,s,0
353,-4.899,-66.906,Lid24_L09_1d,y,0.23,s,0
354,-8.757,-67.309,Lid24_L09_215a,y,3.94,g,0
355,-9.085,-67.46,Lid24_L09_235a,y,5.23,g,0
356,-9.239,-67.545,Lid24_l09_245a,y,1.15,g,0
357,-9.257,-67.556,Lid24_L09_246a,y,3.78,s,0
358,-9.262,-67.555,Lid24_L09_246b,y,2.46,g,0
359,-9.259,-67.555,Lid24_L09_246c,y,4.97,s,0
360,-9.262,-67.558,Lid24_L09_246d,y,5.14,g,0
361,-9.262,-67.556,Lid24_L09_246e,y,7.45,s,0
362,-9.561,-67.726,Lid24_L09_265a,y,1.2,g,0
363,-9.557,-67.716,Lid24_L09_265b,y,0.92,g,0
364,-9.576,-67.731,Lid24_L09_266a,y,3.84,g,0
365,-9.585,-67.74,Lid24_L09_267a,y,0.99,s,0
366,-9.584,-67.74,Lid24_L09_267b,y,1.57,g,0
367,-9.603,-67.742,Lid24_L09_268a,y,3.55,s,0
368,-9.602,-67.745,Lid24_L09_268b,y,5.92,s,0
369,-9.622,-67.754,Lid24_L09_269a,y,4.06,g,0
370,-9.614,-67.757,Lid24_L09_269b,y,1.18,g,0
371,-9.659,-67.781,Lid24_L09_272a,y,1.38,g,0
372,-9.71,-67.805,Lid24_L09_275a,y,2.68,g,0
373,-8.973,-69.147,Lid24_L10_10a,n,2.57,s,0
374,-10.061,-67.727,Lid24_L10_111a,n,0.68,g,0
375,-10.066,-67.72,Lid24_L10_111b,n,1.98,s,0
376,-10.085,-67.708,Lid24_L10_112a,n,0.51,s,0
377,-10.156,-67.649,Lid24_L10_117a,n,0.26,s,0
378,-10.172,-67.638,Lid24_L10_119a,n,4.01,g,0
379,-10.174,-67.636,Lid24_L10_119b,n,0.61,s,0
380,-10.202,-67.617,Lid24_L10_120a,n,0.38,g,0
381,-10.202,-67.616,Lid24_L10_120b,n,0.53,g,0
382,-10.202,-67.616,Lid24_L10_120c,n,0.77,g,0
383,-10.203,-67.617,Lid24_L10_120d,n,0.25,g,0
384,-10.195,-67.614,Lid24_L10_120e,n,1.14,g,0
385,-10.19,-67.614,Lid24_L10_120f,n,0.77,s,0
386,-9.27,-68.869,Lid24_L10_32a,n,0.86,s,0
387,-9.59,-68.51,Lid24_L10_59a,n,1.51,g,0
388,-9.592,-68.521,Lid24_L10_59b,n,4.66,g,0
389,-9.63,-68.433,Lid24_L10_64a,n,2.28,g,0
390,-9.668,-68.343,Lid24_L10_69a,n,0.99,g,0
391,-9.756,-68.134,Lid24_L10_82a,n,1.56,g,0
392,-9.76,-68.12,Lid24_L10_83a,n,4.48,s,0
393,-9.934,-67.569,Lidar.Ac.1 - Estructura VI,y,1.25,g,0
394,-9.202,-67.101,MP.Am.17 - Estructura I,y,6.57,g,0
