id,region,area_ha,modulos_fiscales,clase_tamano,cobertura_forestal_2010_pct,biodiv_evitar_deforestacion,biodiv_evitar_perturbacion,biodiv_restauracion,carbono_evitar_deforestacion_mgc,carbono_evitar_perturbacion_mgc,carbono_restauracion_mgc,biodiv_evitar_deforestacion_por_ha,biodiv_evitar_perturbacion_por_ha,biodiv_restauracion_por_ha,carbono_evitar_deforestacion_mgc_por_ha,carbono_evitar_perturbacion_mgc_por_ha,carbono_restauracion_mgc_por_ha
58,Paragominas,23.5947,0.428994,pequena,65.1048,2.03923,0,0,1042.68,0.218765,0,0.0864276,0,0,44.1912,0.0092718,0
59,Paragominas,34.0688,0.619433,pequena,71.0403,22.9116,15.4599,0,6328.81,1441.68,0,0.672509,0.453785,0,185.765,42.3166,0
60,Paragominas,74.5998,1.35636,pequena,86.1963,3.37389,21.2632,0,4162.51,2057.81,4.43822,0.0452265,0.28503,0,55.7978,27.5847,0.0594937
61,Paragominas,25.4585,0.462881,pequena,73.3163,3.93431,22.3499,0,1922.59,2121.95,0,0.154538,0.877895,0,75.5189,83.3497,0
62,Paragominas,140.513,2.55478,pequena,21.1486,0,0.197113,2.27771,0,0,514.71,0,0.00140281,0.01621,0,0,3.66308
63,Paragominas,1.74461,0.0317203,pequena,56.301,1.91382,0,0,282.661,0,0,1.09699,0,0,162.019,0,0
64,Paragominas,30.8482,0.560876,pequena,81.63,12.6797,31.585,0,7062.62,1144.21,0,0.411035,1.02389,0,228.947,37.0916,0
65,Paragominas,55.1012,1.00184,pequena,4.04878,0,0.0601051,0.16207,0,0,103.035,0,0.00109081,0.00294131,0,0,1.86993
66,Paragominas,12.61,0.229272,pequena,57.3583,7.43148,0.693094,0,5041.02,39.2268,0,0.589335,0.0549641,0,399.765,3.11078,0
67,Paragominas,76.8335,1.39697,pequena,27.2943,16.7924,0.0130919,0,9794.97,0,0,0.218556,0.000170394,0,127.483,0,0
68,Paragominas,27.5217,0.500395,pequena,78.8425,15.0486,1.62927,0,8545.04,28.5121,0,0.54679,0.0591993,0,310.483,1.03598,0
69,Paragominas,64.9835,1.18152,pequena,17.303,1.12624,0.00642998,1.96244,656.464,1.00578,1614.61,0.0173312,9.8948e-05,0.0301991,10.102,0.0154775,24.8464
70,Paragominas,22.2849,0.405179,pequena,28.0531,7.01802,1.25527,1.11095,2657.11,42.4584,1092.46,0.314923,0.0563283,0.0498523,119.234,1.90526,49.0224
71,Paragominas,24.1292,0.438712,pequena,83.266,12.0332,23.2132,0,9439.34,1425.16,0,0.498698,0.962037,0,391.2,59.0635,0
72,Paragominas,38.4014,0.698206,pequena,85.5726,16.0217,149.906,0.158186,7033.42,10184.7,0,0.417218,3.90365,0.00411929,183.156,265.217,0
73,Paragominas,26.9347,0.489722,pequena,6.29494,0,0.0313521,0.0490413,0,0,32.1149,0,0.001164,0.00182075,0,0,1.19232
74,Paragominas,14.4122,0.26204,pequena,80.5452,5.11497,14.9627,0,5512.62,636.608,0,0.354905,1.0382,0,382.496,44.1714,0
75,Paragominas,12.3995,0.225446,pequena,21.6045,1.81009,0,0.821892,981.249,23.8425,826.984,0.14598,0,0.0662841,79.136,1.92285,66.6948
76,Paragominas,10.5884,0.192517,pequena,84.3323,46.7932,1.39049,0,8299.59,447.745,0,4.41929,0.131322,0,783.837,42.2864,0
77,Paragominas,46.9543,0.853715,pequena,58.9171,3.51347,0.839715,0.183999,1442,44.3501,91.5923,0.0748273,0.0178837,0.00391868,30.7106,0.944538,1.95067
78,Paragominas,61.8152,1.12391,pequena,4.91155,0.463752,0,3.19328,0,16.9984,2262.1,0.00750223,0,0.0516584,0,0.274987,36.5945
79,Paragominas,215.107,3.91104,pequena,43.2616,83.7628,0,4.82905,40190.6,0,6018.5,0.3894,0,0.0224495,186.84,0,27.9791
80,Paragominas,10.675,0.19409,pequena,71.1021,4.34407,1.22225,0.133364,2633.01,307.691,28.9186,0.40694,0.114497,0.0124932,246.653,28.8237,2.70901
