especie_anon,grupo,n_registros,auc,metodo,area_distribucion_km2
SP_177,arboles,60,0.989938,SDM,6.95197e+06
SP_178,aves,3,,UPFls,0.000651363
SP_179,arboles,2,,UPFls,9.06874e+06
SP_180,arboles,4,,UPFls,9.42e+06
SP_181,arboles,9,,UPFls,5.60009e+06
SP_182,arboles,71,0.980285,SDM,1.28e+07
SP_183,arboles,12,1,SDM,7.85661e+06
SP_184,arboles,12,1,SDM,7.68324e+06
SP_185,arboles,11,0.988889,SDM,7.85661e+06
SP_186,arboles,14,0.85,SDM,7.64814e+06
SP_187,arboles,78,0.921497,SDM,1.27718e+07
SP_188,arboles,20,1,SDM,1.33083e+07
SP_189,arboles,8,,UPFls,9.16765e+06
SP_190,arboles,3,,UPFls,7.54288e+06
SP_191,arboles,31,0.991071,SDM,1.08989e+07
SP_192,arboles,2,,UPFls,1.03e+07
SP_193,arboles,6,,UPFls,1.25087e+07
SP_194,arboles,6,,UPFls,7.86722e+06
SP_195,arboles,10,0.818111,SDM,1.29346e+07
SP_196,arboles,7,,UPFls,1.25e+07
SP_197,arboles,1,,UPFls,1.17e+07
SP_198,aves,115,0.820673,SDM,0.000900575
SP_199,arboles,5,,UPFls,5.46064e+06
SP_200,aves,9,,UPFls,0.000567573
SP_201,arboles,6,,UPFls,1.39e+07
SP_202,arboles,35,0.998077,SDM,1.65078e+07
SP_203,arboles,12,0.99,SDM,1.05e+07
SP_204,arboles,27,0.998145,SDM,9.74942e+06
SP_205,arboles,18,1,SDM,1.20955e+07
SP_206,arboles,2,,UPFls,6.29e+06
SP_207,arboles,5,,UPFls,5.97444e+06
SP_208,arboles,1,,UPFls,7.92588e+06
SP_209,arboles,30,0.997333,SDM,6.96022e+06
SP_210,arboles,17,0.835156,SDM,9.42113e+06
SP_211,arboles,2,,UPFls,1.01119e+07
SP_212,arboles,1,,UPFls,9e+06
SP_213,aves,9,,UPFls,0.000171636
SP_214,aves,7,,UPFls,0.000228305
SP_215,aves,40,0.985482,SDM,5.60154e-05
SP_216,arboles,2,,UPFls,5.38e+06
SP_217,arboles,22,0.997037,SDM,9.64228e+06
SP_218,arboles,3,,UPFls,1.84e+07
SP_219,arboles,70,0.96131,SDM,1.29865e+07
SP_220,arboles,151,0.957968,SDM,9.47023e+06
SP_221,arboles,17,1,SDM,7.28e+06
SP_222,arboles,15,0.962302,SDM,1.18841e+07
SP_224,arboles,32,0.993939,SDM,1.30211e+07
SP_225,arboles,18,0.975962,SDM,9.95924e+06
SP_226,aves,9,,UPFls,0.000542778
SP_227,aves,5,,UPFls,0.000519223
SP_228,aves,2,,UPFls,0.000155548
SP_229,arboles,31,0.963542,SDM,9.40096e+06
SP_230,arboles,4,,UPFls,5.38e+06
SP_231,arboles,2,,UPFls,4.27199e+06
SP_232,arboles,53,0.973673,SDM,9.06874e+06
SP_233,arboles,21,0.9875,SDM,7.42438e+06
SP_234,arboles,1,,UPFls,5.04e+06
SP_235,arboles,92,0.955154,SDM,6.31784e+06
SP_236,arboles,1,,UPFls,3.83267e+06
SP_237,arboles,1,,UPFls,1.05867e+07
SP_238,arboles,10,1,SDM,8.28006e+06
SP_239,arboles,1,,UPFls,3.97768e+06
SP_240,arboles,1,,UPFls,2.46852e+06
SP_241,arboles,21,1,SDM,9.07377e+06
SP_242,arboles,1,,UPFls,1.77e+07
SP_243,arboles,14,0.925,SDM,9.49594e+06
SP_244,arboles,18,0.984127,SDM,3.83e+06
SP_245,arboles,2,,UPFls,1.04177e+07
SP_246,arboles,2,,UPFls,5.87851e+06
SP_247,arboles,8,,UPFls,7.46369e+06
SP_248,aves,15,0.985714,SDM,0.000484379
SP_249,aves,20,1,SDM,0.000213154
SP_250,aves,28,0.994444,SDM,0.000444233
SP_251,arboles,8,,UPFls,8.03216e+06
SP_252,arboles,10,0.936508,SDM,8.91196e+06
SP_253,arboles,3,,UPFls,5.96214e+06
SP_254,arboles,1,,UPFls,8.28351e+06
SP_255,arboles,91,0.958491,SDM,1.41536e+07
SP_256,arboles,6,,UPFls,5.18221e+06
SP_257,arboles,6,,UPFls,7.41729e+06
SP_258,arboles,1,,UPFls,1.01119e+07
SP_259,aves,52,0.998457,SDM,0.000543893
SP_260,arboles,9,,UPFls,9.54476e+06
SP_261,aves,1,,UPFls,0.000364225
SP_262,aves,16,0.929167,SDM,0.000999357
SP_263,aves,2,,UPFls,0.000494994
SP_264,arboles,8,,UPFls,1.34e+07
SP_265,aves,6,,UPFls,8.90012e-05
SP_266,arboles,5,,UPFls,7.62797e+06
SP_267,aves,15,1,SDM,0.000300546
SP_268,arboles,12,1,SDM,1.06131e+07
SP_269,aves,100,0.981417,SDM,0.000695545
SP_270,aves,15,1,SDM,0.00043765
SP_271,aves,64,0.998897,SDM,0.000545087
SP_272,aves,40,1,SDM,0.000473084
SP_273,aves,21,1,SDM,0.000339531
SP_274,arboles,45,1,SDM,1.15403e+07
SP_275,arboles,63,0.991584,SDM,1.42728e+07
SP_276,arboles,6,,UPFls,6.52724e+06
SP_277,arboles,11,1,SDM,6.45e+06
SP_278,arboles,9,,UPFls,1.06022e+07
SP_279,arboles,1,,UPFls,6.25916e+06
SP_280,arboles,11,0.991111,SDM,3.83267e+06
SP_281,arboles,2,,UPFls,3.92e+06
SP_282,arboles,6,,UPFls,5.7964e+06
SP_283,arboles,5,,UPFls,1.14083e+07
SP_284,arboles,13,0.946032,SDM,9.75538e+06
SP_285,arboles,7,,UPFls,1.01e+07
SP_286,arboles,9,,UPFls,7.85661e+06
SP_287,arboles,6,,UPFls,8.11536e+06
SP_288,arboles,39,0.971635,SDM,1.30197e+07
SP_289,arboles,30,0.99246,SDM,3.91629e+06
SP_290,arboles,1,,UPFls,5.18221e+06
SP_291,arboles,5,,UPFls,1.14809e+07
SP_292,arboles,5,,UPFls,1.07e+07
SP_293,arboles,4,,UPFls,1.21e+07
SP_294,arboles,1,,UPFls,4.97e+06
SP_295,arboles,13,0.978125,SDM,1.20955e+07
SP_296,arboles,32,0.985093,SDM,1.07611e+07
SP_297,aves,14,0.964815,SDM,0.000403384
SP_298,arboles,49,0.951562,SDM,4.12697e+06
SP_299,arboles,1,,UPFls,1.77552e+07
SP_300,arboles,2,,UPFls,2.14363e+07
SP_301,arboles,2,,UPFls,8.87335e+06
SP_302,arboles,5,,UPFls,1.37e+07
SP_303,arboles,36,0.995322,SDM,1.53189e+07
SP_304,arboles,9,,UPFls,5.60566e+06
SP_305,arboles,9,,UPFls,1.32734e+07
SP_306,arboles,17,0.989506,SDM,6.56574e+06
SP_307,arboles,3,,UPFls,5.12354e+06
SP_308,arboles,30,0.992308,SDM,6.72656e+06
SP_309,arboles,48,0.976984,SDM,6.98506e+06
SP_310,arboles,7,,UPFls,4.06131e+06
SP_311,arboles,60,1,SDM,1.25804e+07
SP_312,arboles,1,,UPFls,3.83e+06
SP_313,arboles,25,0.992308,SDM,5.18221e+06
SP_314,arboles,1,,UPFls,1.03e+07
SP_315,arboles,2,,UPFls,4.9192e+06
SP_316,arboles,30,1,SDM,6.94639e+06
SP_317,arboles,3,,UPFls,1.26e+07
SP_318,arboles,2,,UPFls,1.07611e+07
SP_319,arboles,3,,UPFls,6.71775e+06
SP_320,arboles,14,1,SDM,6.21007e+06
SP_321,arboles,1,,UPFls,6.96656e+06
SP_322,aves,34,0.983544,SDM,0.000351509
SP_323,arboles,46,0.992444,SDM,7.93114e+06
SP_324,arboles,31,0.943483,SDM,1.33737e+07
SP_325,arboles,5,,UPFls,8.67796e+06
SP_326,aves,7,,UPFls,0.00104213
SP_327,arboles,1,,UPFls,4.06131e+06
SP_328,arboles,3,,UPFls,5.82e+06
SP_329,arboles,3,,UPFls,7.92588e+06
SP_330,arboles,1,,UPFls,8.12e+06
SP_331,arboles,14,1,SDM,6.0401e+06
SP_332,arboles,6,,UPFls,8.07159e+06
SP_333,arboles,2,,UPFls,6.92605e+06
SP_334,arboles,3,,UPFls,1.54435e+06
SP_335,aves,19,1,SDM,0.000172985
SP_336,arboles,1,,UPFls,9.39458e+06
SP_337,arboles,60,0.951376,SDM,3.83267e+06
SP_338,arboles,10,1,SDM,1.20955e+07
SP_339,arboles,16,0.996444,SDM,1.32332e+07
SP_340,arboles,122,0.97105,SDM,3.83267e+06
SP_341,arboles,14,1,SDM,3.91629e+06
SP_342,arboles,16,1,SDM,7.16938e+06
SP_343,arboles,29,0.976648,SDM,5.18221e+06
SP_344,arboles,154,0.970973,SDM,1.22822e+07
SP_345,arboles,104,0.994383,SDM,5.20716e+06
SP_346,arboles,7,,UPFls,6.79025e+06
SP_347,arboles,8,,UPFls,7.90923e+06
SP_348,arboles,2,,UPFls,2.05e+06
SP_349,arboles,33,0.979884,SDM,5.03719e+06
SP_350,arboles,94,0.982435,SDM,7.92588e+06
SP_351,arboles,2,,UPFls,3.91629e+06
SP_352,arboles,41,0.983549,SDM,3.83267e+06
SP_353,arboles,28,0.873611,SDM,7.6661e+06
SP_354,arboles,21,0.984741,SDM,1.08047e+07
SP_355,arboles,1,,UPFls,910220
SP_356,arboles,33,0.9892,SDM,7.55961e+06
SP_357,arboles,5,,UPFls,9.43225e+06
SP_358,arboles,72,0.963816,SDM,8.94314e+06
SP_359,arboles,34,0.975824,SDM,9.43225e+06
SP_360,arboles,2,,UPFls,7.04438e+06
SP_361,arboles,14,0.913715,SDM,4.06131e+06
SP_362,arboles,4,,UPFls,1.06803e+07
SP_363,arboles,2,,UPFls,7.5936e+06
SP_364,arboles,10,0.974074,SDM,3.03319e+06
SP_365,aves,7,,UPFls,0.000103561
SP_366,aves,1,,UPFls,0.000447871
SP_367,aves,5,,UPFls,0.000351385
SP_368,arboles,1,,UPFls,5.81634e+06
SP_369,arboles,8,,UPFls,5.38e+06
SP_370,arboles,6,,UPFls,3.97768e+06
SP_371,arboles,3,,UPFls,477664
SP_372,arboles,5,,UPFls,1.04676e+07
SP_373,arboles,2,,UPFls,1.04046e+07
SP_374,arboles,9,,UPFls,4.95357e+06
SP_375,arboles,3,,UPFls,1.3786e+07
SP_376,arboles,2,,UPFls,1.02197e+07
SP_377,arboles,8,,UPFls,9.24367e+06
SP_378,arboles,4,,UPFls,4.27e+06
SP_379,arboles,3,,UPFls,1.36e+07
SP_380,arboles,2,,UPFls,1.3e+07
SP_381,arboles,1,,UPFls,1.35304e+07
SP_382,aves,4,,UPFls,0.000664437
SP_383,aves,32,0.9984,SDM,0.000468064
SP_384,aves,8,,UPFls,0.000573475
SP_385,arboles,7,,UPFls,8.25591e+06
SP_386,arboles,11,0.971296,SDM,4.04335e+06
SP_387,arboles,4,,UPFls,6.70662e+06
SP_388,arboles,10,0.96,SDM,5.18221e+06
SP_389,arboles,2,,UPFls,1.08653e+06
SP_390,arboles,3,,UPFls,1.6e+07
SP_391,arboles,30,1,SDM,1.14919e+07
SP_392,arboles,2,,UPFls,1.02396e+07
SP_393,arboles,2,,UPFls,6.24444e+06
SP_394,arboles,6,,UPFls,1.48179e+07
SP_396,arboles,10,1,SDM,7.34893e+06
SP_397,arboles,60,1,SDM,1.20955e+07
SP_398,aves,44,0.996216,SDM,0.000221446
SP_399,aves,36,0.997222,SDM,0.000484472
SP_400,aves,6,,UPFls,0.0006332
SP_401,arboles,13,0.899008,SDM,5.37702e+06
SP_402,arboles,3,,UPFls,1.17e+07
SP_403,arboles,5,,UPFls,1.37706e+07
SP_404,arboles,5,,UPFls,1.28653e+07
SP_405,arboles,38,0.956818,SDM,7.81309e+06
SP_406,arboles,2,,UPFls,8.94314e+06
SP_407,aves,25,0.948485,SDM,0.00110053
SP_408,aves,23,1,SDM,0.000384909
SP_409,aves,45,0.95432,SDM,0.000642817
SP_410,arboles,20,0.99,SDM,8.94314e+06
SP_411,aves,141,0.96258,SDM,0.000603524
SP_412,arboles,5,,UPFls,5.87851e+06
SP_413,arboles,13,0.932813,SDM,6.03e+06
SP_414,arboles,12,0.903571,SDM,3.83e+06
SP_415,arboles,54,0.98586,SDM,1.19e+07
SP_416,aves,7,,UPFls,0.000271424
SP_417,aves,32,0.99898,SDM,0.000283598
SP_418,aves,1,,UPFls,0.000806783
SP_419,arboles,1,,UPFls,1.32e+07
SP_420,arboles,49,0.994074,SDM,5.37702e+06
SP_421,arboles,54,0.996915,SDM,8.55443e+06
SP_422,arboles,4,,UPFls,1.56751e+07
SP_423,arboles,13,0.968254,SDM,1.56751e+07
SP_424,arboles,28,0.988636,SDM,1.53634e+07
SP_425,arboles,40,0.979688,SDM,1.54e+07
SP_426,arboles,2,,UPFls,1.0684e+07
SP_427,arboles,23,0.996296,SDM,9.40096e+06
SP_428,arboles,1,,UPFls,1.21e+07
SP_429,arboles,3,,UPFls,1.1e+07
SP_430,arboles,9,,UPFls,9.11324e+06
SP_431,arboles,2,,UPFls,3.83267e+06
SP_432,arboles,5,,UPFls,8.19873e+06
SP_433,arboles,3,,UPFls,1.20955e+07
SP_434,arboles,1,,UPFls,1.02e+07
SP_435,arboles,157,0.959842,SDM,1.20955e+07
SP_436,arboles,4,,UPFls,2.46852e+06
SP_437,arboles,30,0.968697,SDM,1.03033e+07
SP_438,arboles,1,,UPFls,3.83267e+06
SP_439,aves,4,,UPFls,0.000424962
SP_440,aves,1,,UPFls,8.49112e-05
SP_441,arboles,3,,UPFls,1.5e+07
SP_442,arboles,38,0.87173,SDM,1.33543e+07
SP_443,arboles,25,0.993939,SDM,1.0474e+07
SP_444,arboles,17,0.995455,SDM,8.86105e+06
SP_445,arboles,21,0.998148,SDM,8.13787e+06
SP_446,arboles,4,,UPFls,9.15092e+06
SP_447,arboles,55,0.983041,SDM,1.30942e+07
SP_448,aves,32,0.97066,SDM,0.000780227
SP_449,aves,11,0.911111,SDM,0.000202893
SP_450,arboles,3,,UPFls,5.19e+06
SP_451,aves,72,0.989474,SDM,0.000233675
SP_452,arboles,1,,UPFls,1.11e+07
SP_453,arboles,24,1,SDM,8.94314e+06
SP_454,arboles,38,0.906173,SDM,1.30942e+07
SP_455,arboles,36,0.987302,SDM,1.8613e+07
SP_456,arboles,4,,UPFls,1.63111e+07
SP_457,arboles,12,0.985,SDM,1.20955e+07
SP_458,arboles,1,,UPFls,1.18e+07
SP_459,arboles,1,,UPFls,8.46659e+06
SP_460,arboles,14,1,SDM,8.89004e+06
SP_461,arboles,3,,UPFls,8.25e+06
SP_462,arboles,11,1,SDM,1.03453e+07
SP_463,arboles,4,,UPFls,4.18836e+06
SP_464,arboles,3,,UPFls,7.60871e+06
SP_465,arboles,8,,UPFls,6.75588e+06
SP_466,arboles,36,0.991071,SDM,1.33323e+07
SP_467,arboles,5,,UPFls,1.19e+07
SP_468,arboles,1,,UPFls,1.21e+07
SP_469,aves,11,0.91875,SDM,0.000336421
SP_470,aves,32,1,SDM,0.000240255
SP_471,aves,17,1,SDM,0.000578565
SP_472,aves,10,1,SDM,0.000255933
SP_473,aves,45,1,SDM,0.000322676
SP_474,aves,10,0.997917,SDM,0.000391897
SP_475,aves,11,1,SDM,0.000477965
SP_476,aves,2,,UPFls,0.000255552
SP_477,arboles,27,0.997091,SDM,2.12513e+07
SP_478,arboles,49,0.988646,SDM,1.14083e+07
SP_479,arboles,9,,UPFls,8.33954e+06
SP_480,arboles,2,,UPFls,4.27199e+06
SP_481,arboles,2,,UPFls,6.31784e+06
SP_482,aves,11,1,SDM,0.000114773
SP_483,aves,43,0.97625,SDM,9.27483e-05
SP_484,aves,36,0.991366,SDM,0.000663226
SP_485,aves,6,,UPFls,0.000333985
SP_486,arboles,1,,UPFls,1.41366e+06
SP_487,arboles,3,,UPFls,7.34569e+06
SP_488,arboles,159,0.945735,SDM,1.39103e+07
SP_489,arboles,53,0.986198,SDM,8.94314e+06
SP_490,arboles,2,,UPFls,6.51e+06
SP_491,arboles,42,0.998519,SDM,5.40762e+06
SP_492,arboles,131,0.977081,SDM,1.14627e+07
SP_493,arboles,9,,UPFls,1.04875e+07
SP_494,arboles,7,,UPFls,9.20164e+06
SP_495,arboles,1,,UPFls,5.21e+06
SP_496,arboles,22,0.9975,SDM,1.64e+07
SP_497,arboles,5,,UPFls,1.20155e+07
SP_498,arboles,1,,UPFls,7.89074e+06
SP_499,arboles,1,,UPFls,5.56286e+06
SP_500,arboles,59,0.986333,SDM,9.00804e+06
SP_501,arboles,1,,UPFls,5.12354e+06
SP_502,arboles,1,,UPFls,9.16765e+06
SP_503,arboles,12,1,SDM,1.7e+07
SP_504,arboles,1,,UPFls,1.27855e+07
SP_505,arboles,26,1,SDM,1.21006e+07
SP_506,arboles,57,0.995658,SDM,1.66497e+07
SP_507,arboles,44,0.999148,SDM,3.83267e+06
SP_508,arboles,2,,UPFls,1.42e+07
SP_509,arboles,35,1,SDM,5.03719e+06
SP_510,arboles,1,,UPFls,4.9192e+06
SP_511,arboles,24,1,SDM,1.03083e+07
SP_512,arboles,10,1,SDM,1.01339e+07
SP_513,arboles,141,0.963613,SDM,7.93672e+06
SP_514,arboles,2,,UPFls,1.23e+07
SP_515,arboles,59,0.976078,SDM,8.69524e+06
SP_516,arboles,144,0.965569,SDM,1.37583e+07
SP_517,arboles,10,0.97,SDM,5.87851e+06
SP_518,arboles,15,1,SDM,1.22211e+07
SP_519,arboles,3,,UPFls,9.2e+06
SP_520,aves,3,,UPFls,0.000367284
SP_521,arboles,23,0.99375,SDM,1.21701e+07
SP_522,arboles,4,,UPFls,8.85952e+06
SP_523,arboles,2,,UPFls,9.46e+06
SP_524,arboles,14,1,SDM,5.35852e+06
SP_525,arboles,1,,UPFls,1.19292e+06
SP_526,aves,24,0.999306,SDM,0.00046936
SP_527,arboles,1,,UPFls,5.52433e+06
SP_528,arboles,3,,UPFls,6.96656e+06
SP_529,arboles,45,0.986667,SDM,6.69849e+06
SP_530,arboles,22,0.947153,SDM,1.22991e+07
SP_531,arboles,45,0.977457,SDM,7.85661e+06
SP_532,arboles,69,0.987139,SDM,1.25703e+07
SP_533,aves,48,0.97037,SDM,0.000277217
SP_534,aves,8,,UPFls,0.000542379
SP_535,aves,22,0.932407,SDM,0.000510161
SP_536,aves,9,,UPFls,0.000385708
SP_537,aves,5,,UPFls,0.000232423
SP_538,arboles,8,,UPFls,5.18221e+06
SP_539,arboles,22,0.995556,SDM,4.12697e+06
SP_540,arboles,121,0.982079,SDM,5.60566e+06
SP_541,arboles,99,0.952634,SDM,6.30119e+06
SP_542,arboles,37,0.973611,SDM,1.03408e+07
SP_543,arboles,7,,UPFls,1.16562e+07
SP_544,arboles,2,,UPFls,1.06257e+07
SP_545,aves,59,0.988179,SDM,0.000100893
SP_546,aves,31,1,SDM,3.98283e-05
SP_547,aves,10,1,SDM,0.000194807
SP_548,arboles,67,0.981848,SDM,1.18476e+07
SP_549,arboles,13,0.975,SDM,9.86395e+06
SP_550,arboles,3,,UPFls,9.40096e+06
SP_551,arboles,102,0.971108,SDM,1.27768e+07
