ecosystem,plotID,site,Tmean_GS_B_CRU,ThermGS05_abundance,ThermGSMedian_abundance,ThermGS95_abundance,debt_GSMedian_ab
forest,EU_004_6,EU_004,14.38666701,-0.022290479,-0.125622381,-0.172362523,0.738122356
forest,EU_004_60,EU_004,14.38666701,-0.197810222,0.140824044,0.347942213,0.471675931
forest,EU_004_61,EU_004,14.38666701,0.205252363,0.211080663,0.225255701,0.401419312
forest,EU_004_62,EU_004,14.38666701,1.659610477,0.417836463,-0.137823364,0.194663512
forest,EU_004_63,EU_004,14.38666701,0.387042056,0.061178642,-0.17036453,0.551321333
forest,EU_004_64,EU_004,14.38666701,0.209416996,0.16462215,0.113426554,0.447877825
forest,EU_004_65,EU_004,14.38666701,0.726294875,0.23029914,-0.207759923,0.382200835
forest,EU_004_66,EU_004,14.38666701,1.252718565,0.449483888,0.07572936,0.163016087
forest,EU_004_67,EU_004,14.38666701,1.09221278,0.630186077,0.158605686,-0.017686102
forest,EU_004_68,EU_004,14.38666701,1.260467338,0.2924202,-0.402070306,0.320079775
forest,EU_004_69,EU_004,14.38666701,0.268547669,0.12610476,-0.052234521,0.486395215
forest,EU_004_7,EU_004,14.38666701,0.01544324,-0.096184163,-0.181655336,0.708684138
forest,EU_004_70,EU_004,14.38666701,0.202639392,0.194149421,0.260332626,0.418350554
forest,EU_004_71,EU_004,14.38666701,0.397562636,0.055103335,-0.008145914,0.55739664
forest,EU_004_72,EU_004,14.38666701,0.174377856,-0.003875279,0.009687897,0.616375254
forest,EU_004_73,EU_004,14.38666701,-0.090748159,0.041257779,0.0871616,0.571242196
forest,EU_004_74,EU_004,14.38666701,0.721921551,-0.061759344,-0.807260811,0.674259319
forest,EU_004_75,EU_004,14.38666701,1.391043079,0.422902731,-0.075499868,0.189597244
forest,EU_004_76,EU_004,14.38666701,0.453537569,-0.064409698,-0.317041542,0.676909673
forest,EU_004_77,EU_004,14.38666701,-0.732945111,-0.209171533,0.270136904,0.821671508
forest,EU_004_78,EU_004,14.38666701,0.630428714,0.411178694,0.203671941,0.201321281
forest,EU_004_79,EU_004,14.38666701,1.537216873,0.227010179,-0.556672078,0.385489796
forest,EU_004_8,EU_004,14.38666701,-0.273051666,0.14230519,0.215018459,0.470194785
forest,EU_004_80,EU_004,14.38666701,0.496032724,0.368529294,0.883311328,0.243970681
forest,EU_004_81,EU_004,14.38666701,0.201712375,0.107842365,-0.189333388,0.50465761
forest,EU_004_82,EU_004,14.38666701,-0.278909769,-0.020890754,0.254072419,0.633390729
forest,EU_004_83,EU_004,14.38666701,-0.483977653,-0.017651202,0.166816578,0.630151177
forest,EU_004_84,EU_004,14.38666701,0.160412414,-0.041823458,-0.150109096,0.654323433
forest,EU_004_85,EU_004,14.38666701,-0.035882269,-0.030000298,-0.110131575,0.642500273
forest,EU_004_86,EU_004,14.38666701,0.172090678,0.06356774,-0.040357166,0.548932235
forest,EU_004_87,EU_004,14.38666701,1.774513979,0.467877317,-0.520695241,0.144622658
forest,EU_004_88,EU_004,14.38666701,-0.808900108,-0.360980602,-0.126578104,0.973480577
forest,EU_004_89,EU_004,14.38666701,0.663873032,0.079631698,-0.389879186,0.532868277
forest,EU_004_9,EU_004,14.38666701,-1.029823644,0.010920579,0.479817564,0.601579396
forest,EU_004_90,EU_004,14.38666701,1.083057702,0.369129852,-0.161668643,0.243370123
forest,EU_004_91,EU_004,14.38666701,-0.931170766,-0.13976275,0.370966557,0.752262725
forest,EU_004_92,EU_004,14.38666701,0.361961066,-0.10542745,-0.279594317,0.717927425
forest,EU_004_93,EU_004,14.38666701,0.363631377,0.097819504,0.109789515,0.514680471
forest,EU_004_94,EU_004,14.38666701,0.366019774,-0.021161258,-0.269227879,0.633661233
forest,EU_004_95,EU_004,14.38666701,0.308487688,0.062087263,-0.137661352,0.550412712
forest,EU_004_96,EU_004,14.38666701,0.495305812,0.258769983,0.266489844,0.353729992
forest,EU_004_97,EU_004,14.38666701,0.357353837,0.319429813,0.544825189,0.293070162
forest,EU_004_98,EU_004,14.38666701,0.710034372,0.336902877,0.112159862,0.275597098
forest,EU_004_99,EU_004,14.38666701,0.45066475,0.280268231,0.212299828,0.332231744
