pais,emision_g_per_capita
FIJI,0.0377645109210568
BARBADOS,0.0357541260261434
BANGLADESH,0.030160788198691
HAITI,0.0298288370735635
ZIMBABWE,0.026730787561136
GHANA,0.0258483517343743
CAMEROON,0.0255650834965171
IRAQ,0.0255430332563863
BAHAMAS,0.0248814399386921
NIGERIA,0.0215583149092251
MALDIVES,0.0204182473793179
TANZANIA,0.0201236646940009
MOZAMBIQUE,0.0188344559737717
UGANDA,0.0173236670154166
PUERTO RICO,0.0161647825452487
CONGO,0.00506052117292415
URUGUAY,0.00291796832370307
KUWAIT,0.00231632417883412
COSTA RICA,0.00198383806802739
EL SALVADOR,0.00159328475089471
"CONGO,THE DEMOCRATIC REPUBLIC OF THE",0.00104927793478169
GUATEMALA,0.000611734910793757
SRILANKA,0.000461467466543609
