anio,dlod_decadal_ms,dlod_multidecadal_ms
1964.3942505,1.91749,0.864741
1964.3969884,1.91851,0.865002
1964.3997262,1.9195,0.865263
1964.4024641,1.92048,0.865523
1964.4052019,1.9215,0.865784
1964.4079398,1.92248,0.866045
1964.4106776,1.92349,0.866306
1964.4134155,1.92447,0.866567
1964.4161533,1.92544,0.866827
1964.4188912,1.92646,0.867088
1964.421629,1.92743,0.867349
1964.4243669,1.9284,0.86761
1964.4271047,1.92941,0.867871
1964.4298426,1.93038,0.868131
1964.4325804,1.93139,0.868392
1964.4353183,1.93235,0.868653
1964.4380561,1.93332,0.868914
1964.440794,1.93432,0.869174
1964.4435318,1.93529,0.869435
1964.4462697,1.93625,0.869696
1964.4490075,1.93725,0.869957
1964.4517454,1.93821,0.870217
1964.4544832,1.9392,0.870478
1964.4572211,1.94016,0.870739
1964.4599589,1.94112,0.871
1964.4626968,1.94211,0.87126
1964.4654346,1.94307,0.871521
1964.4681725,1.94406,0.871782
1964.4709103,1.94501,0.872042
1964.4736482,1.94596,0.872303
1964.476386,1.94695,0.872564
1964.4791239,1.9479,0.872825
1964.4818617,1.94885,0.873085
1964.4845996,1.94983,0.873346
1964.4873374,1.95077,0.873607
1964.4900753,1.95175,0.873867
1964.4928131,1.9527,0.874128
1964.495551,1.95364,0.874388
1964.4982888,1.95462,0.874649
1964.5010267,1.95556,0.87491
1964.5037645,1.9565,0.87517
1964.5065024,1.95747,0.875431
1964.5092402,1.95841,0.875692
1964.5119781,1.95938,0.875952
1964.5147159,1.96031,0.876213
1964.5174538,1.96125,0.876473
1964.5201916,1.96222,0.876734
1964.5229295,1.96315,0.876995
1964.5256674,1.96408,0.877255
1964.5284052,1.96504,0.877516
1964.5311431,1.96597,0.877776
1964.5338809,1.96693,0.878037
1964.5366188,1.96786,0.878297
1964.5393566,1.96878,0.878558
1964.5420945,1.96974,0.878818
1964.5448323,1.97067,0.879079
1964.5475702,1.97162,0.87934
1964.550308,1.97254,0.8796
1964.5530459,1.97346,0.879861
1964.5557837,1.97442,0.880121
1964.5585216,1.97533,0.880382
1964.5612594,1.97625,0.880642
1964.5639973,1.9772,0.880902
1964.5667351,1.97812,0.881163
1964.569473,1.97906,0.881423
1964.5722108,1.97998,0.881684
1964.5749487,1.98089,0.881944
1964.5776865,1.98183,0.882205
1964.5804244,1.98274,0.882465
1964.5831622,1.98365,0.882726
1964.5859001,1.98459,0.882986
1964.5886379,1.9855,0.883246
1964.5913758,1.98644,0.883507
1964.5941136,1.98734,0.883767
1964.5968515,1.98825,0.884027
1964.5995893,1.98918,0.884288
1964.6023272,1.99008,0.884548
1964.605065,1.99098,0.884809
1964.6078029,1.99192,0.885069
1964.6105407,1.99282,0.885329
1964.6132786,1.99375,0.88559
1964.6160164,1.99464,0.88585
1964.6187543,1.99554,0.88611
1964.6214921,1.99647,0.88637
1964.62423,1.99736,0.886631
1964.6269678,1.99825,0.886891
1964.6297057,1.99918,0.887151
1964.6324435,2.00007,0.887412
1964.6351814,2.00099,0.887672
1964.6379192,2.00188,0.887932
1964.6406571,2.00277,0.888192
1964.6433949,2.00369,0.888452
1964.6461328,2.00458,0.888713
1964.6488706,2.00549,0.888973
1964.6516085,2.00638,0.889233
1964.6543463,2.00726,0.889493
1964.6570842,2.00818,0.889753
1964.659822,2.00906,0.890014
1964.6625599,2.00994,0.890274
1964.6652977,2.01085,0.890534
1964.6680356,2.01173,0.890794
1964.6707734,2.01264,0.891054
1964.6735113,2.01352,0.891314
1964.6762491,2.01439,0.891574
1964.678987,2.0153,0.891834
1964.6817248,2.01617,0.892094
1964.6844627,2.01705,0.892355
1964.6872005,2.01795,0.892615
1964.6899384,2.01882,0.892875
1964.6926762,2.01972,0.893135
1964.6954141,2.02059,0.893395
1964.698152,2.02146,0.893655
1964.7008898,2.02236,0.893915
1964.7036277,2.02323,0.894175
1964.7063655,2.0241,0.894435
1964.7091034,2.02499,0.894695
1964.7118412,2.02586,0.894955
1964.7145791,2.02675,0.895215
1964.7173169,2.02761,0.895474
1964.7200548,2.02848,0.895734
1964.7227926,2.02937,0.895994
1964.7255305,2.03023,0.896254
1964.7282683,2.03112,0.896514
1964.7310062,2.03198,0.896774
1964.733744,2.03283,0.897034
1964.7364819,2.03372,0.897294
1964.7392197,2.03458,0.897554
1964.7419576,2.03543,0.897813
1964.7446954,2.03632,0.898073
1964.7474333,2.03717,0.898333
1964.7501711,2.03806,0.898593
1964.752909,2.03891,0.898853
1964.7556468,2.03976,0.899112
1964.7583847,2.04064,0.899372
1964.7611225,2.04149,0.899632
1964.7638604,2.04234,0.899892
1964.7665982,2.04322,0.900151
1964.7693361,2.04406,0.900411
1964.7720739,2.04494,0.900671
1964.7748118,2.04578,0.90093
1964.7775496,2.04663,0.90119
1964.7802875,2.0475,0.90145
1964.7830253,2.04835,0.901709
1964.7857632,2.04919,0.901969
1964.788501,2.05006,0.902229
1964.7912389,2.0509,0.902488
1964.7939767,2.05177,0.902748
1964.7967146,2.05261,0.903007
1964.7994524,2.05345,0.903267
1964.8021903,2.05431,0.903527
1964.8049281,2.05515,0.903786
1964.807666,2.05602,0.904046
1964.8104038,2.05685,0.904305
1964.8131417,2.05769,0.904565
1964.8158795,2.05855,0.904824
1964.8186174,2.05938,0.905084
1964.8213552,2.06021,0.905343
1964.8240931,2.06108,0.905603
1964.8268309,2.06191,0.905862
1964.8295688,2.06277,0.906121
1964.8323066,2.0636,0.906381
1964.8350445,2.06442,0.90664
1964.8377823,2.06528,0.9069
1964.8405202,2.06611,0.907159
1964.843258,2.06693,0.907418
1964.8459959,2.06779,0.907678
1964.8487337,2.06861,0.907937
1964.8514716,2.06947,0.908196
1964.8542094,2.07029,0.908456
1964.8569473,2.07111,0.908715
1964.8596851,2.07197,0.908974
1964.862423,2.07279,0.909233
1964.8651608,2.07361,0.909493
1964.8678987,2.07446,0.909752
1964.8706366,2.07527,0.910011
1964.8733744,2.07612,0.91027
1964.8761123,2.07694,0.910529
1964.8788501,2.07776,0.910789
1964.881588,2.0786,0.911048
1964.8843258,2.07942,0.911307
1964.8870637,2.08026,0.911566
1964.8898015,2.08108,0.911825
1964.8925394,2.08189,0.912084
1964.8952772,2.08273,0.912343
1964.8980151,2.08355,0.912602
1964.9007529,2.08436,0.912861
1964.9034908,2.0852,0.91312
1964.9062286,2.08601,0.913379
1964.9089665,2.08685,0.913638
1964.9117043,2.08765,0.913897
1964.9144422,2.08846,0.914156
1964.91718,2.0893,0.914415
1964.9199179,2.09011,0.914674
1964.9226557,2.09091,0.914933
1964.9253936,2.09175,0.915192
1964.9281314,2.09255,0.915451
1964.9308693,2.09339,0.91571
1964.9336071,2.09419,0.915969
1964.936345,2.09499,0.916228
1964.9390828,2.09583,0.916486
1964.9418207,2.09663,0.916745
1964.9445585,2.09743,0.917004
1964.9472964,2.09826,0.917263
1964.9500342,2.09906,0.917521
1964.9527721,2.09989,0.91778
1964.9555099,2.10069,0.918039
1964.9582478,2.10148,0.918298
1964.9609856,2.10231,0.918556
1964.9637235,2.10311,0.918815
1964.9664613,2.10393,0.919074
1964.9691992,2.10473,0.919332
1964.971937,2.10552,0.919591
1964.9746749,2.10635,0.91985
1964.9774127,2.10714,0.920108
1964.9801506,2.10794,0.920367
1964.9828884,2.10876,0.920625
1964.9856263,2.10955,0.920884
1964.9883641,2.11037,0.921142
1964.991102,2.11116,0.921401
1964.9938398,2.11195,0.921659
1964.9965777,2.11277,0.921918
1964.9993155,2.11357,0.922176
1965.0020534,2.11436,0.922435
1965.0047912,2.11519,0.922693
1965.0075291,2.11599,0.922951
1965.0102669,2.11681,0.92321
1965.0130048,2.11761,0.923468
1965.0157426,2.11841,0.923727
1965.0184805,2.11923,0.923985
1965.0212183,2.12003,0.924243
1965.0239562,2.12082,0.924501
1965.026694,2.12164,0.92476
1965.0294319,2.12244,0.925018
1965.0321697,2.12326,0.925276
1965.0349076,2.12405,0.925534
1965.0376454,2.12484,0.925793
1965.0403833,2.12566,0.926051
1965.0431211,2.12645,0.926309
1965.045859,2.12724,0.926567
1965.0485969,2.12806,0.926825
1965.0513347,2.12884,0.927083
1965.0540726,2.12966,0.927341
1965.0568104,2.13045,0.9276
1965.0595483,2.13123,0.927858
1965.0622861,2.13205,0.928116
1965.065024,2.13283,0.928374
1965.0677618,2.13365,0.928632
1965.0704997,2.13443,0.92889
1965.0732375,2.13522,0.929148
1965.0759754,2.13603,0.929405
1965.0787132,2.13681,0.929663
1965.0814511,2.13759,0.929921
1965.0841889,2.1384,0.930179
1965.0869268,2.13918,0.930437
1965.0896646,2.13999,0.930695
1965.0924025,2.14077,0.930953
1965.0951403,2.14155,0.93121
1965.0978782,2.14235,0.931468
1965.100616,2.14313,0.931726
1965.1033539,2.14391,0.931984
1965.1060917,2.14471,0.932241
1965.1088296,2.14549,0.932499
1965.1115674,2.14629,0.932757
1965.1143053,2.14706,0.933014
1965.1170431,2.14784,0.933272
1965.119781,2.14864,0.93353
1965.1225188,2.14941,0.933787
1965.1252567,2.15018,0.934045
1965.1279945,2.15098,0.934302
1965.1307324,2.15175,0.93456
1965.1334702,2.15255,0.934817
1965.1362081,2.15332,0.935075
1965.1389459,2.15408,0.935332
1965.1416838,2.15488,0.93559
1965.1444216,2.15565,0.935847
1965.1471595,2.15644,0.936105
1965.1498973,2.15721,0.936362
1965.1526352,2.15797,0.93662
1965.155373,2.15876,0.936877
1965.1581109,2.15953,0.937134
1965.1608487,2.16029,0.937391
1965.1635866,2.16108,0.937649
1965.1663244,2.16184,0.937906
1965.1690623,2.16263,0.938163
1965.1718001,2.16339,0.93842
1965.174538,2.16415,0.938678
1965.1772758,2.16493,0.938935
1965.1800137,2.16569,0.939192
1965.1827515,2.16645,0.939449
1965.1854894,2.16723,0.939706
1965.1882272,2.16799,0.939963
1965.1909651,2.16877,0.94022
1965.1937029,2.16952,0.940477
1965.1964408,2.17028,0.940735
1965.1991786,2.17106,0.940992
1965.2019165,2.17181,0.941248
1965.2046543,2.17256,0.941505
1965.2073922,2.17334,0.941762
1965.21013,2.17409,0.942019
1965.2128679,2.17487,0.942276
1965.2156057,2.17562,0.942533
1965.2183436,2.17636,0.94279
1965.2210815,2.17714,0.943047
1965.2238193,2.17788,0.943304
1965.2265572,2.17866,0.94356
1965.229295,2.1794,0.943817
1965.2320329,2.18015,0.944074
1965.2347707,2.18092,0.94433
1965.2375086,2.18166,0.944587
1965.2402464,2.1824,0.944844
1965.2429843,2.18317,0.9451
1965.2457221,2.18391,0.945357
1965.24846,2.18468,0.945614
1965.2511978,2.18541,0.94587
1965.2539357,2.18615,0.946127
1965.2566735,2.18692,0.946383
1965.2594114,2.18765,0.94664
1965.2621492,2.18839,0.946896
1965.2648871,2.18915,0.947153
1965.2676249,2.18989,0.947409
1965.2703628,2.19065,0.947666
1965.2731006,2.19138,0.947922
1965.2758385,2.19211,0.948178
1965.2785763,2.19287,0.948435
1965.2813142,2.1936,0.948691
1965.284052,2.19433,0.948947
1965.2867899,2.19508,0.949204
1965.2895277,2.19581,0.94946
1965.2922656,2.19657,0.949716
1965.2950034,2.19729,0.949972
1965.2977413,2.19802,0.950228
1965.3004791,2.19877,0.950485
1965.303217,2.19949,0.950741
1965.3059548,2.20024,0.950997
1965.3086927,2.20096,0.951253
1965.3114305,2.20169,0.951509
1965.3141684,2.20243,0.951765
1965.3169062,2.20315,0.952021
1965.3196441,2.20387,0.952277
1965.3223819,2.20462,0.952533
1965.3251198,2.20533,0.952789
1965.3278576,2.20608,0.953045
1965.3305955,2.20679,0.9533
1965.3333333,2.20751,0.953556
1965.3360712,2.20825,0.953812
1965.338809,2.20896,0.954068
1965.3415469,2.20967,0.954324
1965.3442847,2.21041,0.954579
1965.3470226,2.21112,0.954835
1965.3497604,2.21186,0.955091
1965.3524983,2.21257,0.955347
1965.3552361,2.21328,0.955602
1965.357974,2.21401,0.955858
1965.3607118,2.21472,0.956113
1965.3634497,2.21542,0.956369
1965.3661875,2.21615,0.956624
1965.3689254,2.21686,0.95688
1965.3716632,2.21759,0.957135
1965.3744011,2.21829,0.957391
1965.3771389,2.21899,0.957646
1965.3798768,2.21972,0.957902
1965.3826146,2.22042,0.958157
1965.3853525,2.22114,0.958413
1965.3880903,2.22184,0.958668
1965.3908282,2.22254,0.958923
1965.3935661,2.22326,0.959178
1965.3963039,2.22395,0.959434
1965.3990418,2.22465,0.959689
1965.4017796,2.22537,0.959944
1965.4045175,2.22606,0.960199
1965.4072553,2.22678,0.960454
1965.4099932,2.22747,0.96071
1965.412731,2.22816,0.960965
1965.4154689,2.22887,0.96122
1965.4182067,2.22956,0.961475
1965.4209446,2.23025,0.96173
1965.4236824,2.23096,0.961985
1965.4264203,2.23164,0.96224
1965.4291581,2.23235,0.962495
1965.431896,2.23304,0.96275
1965.4346338,2.23372,0.963004
1965.4373717,2.23443,0.963259
1965.4401095,2.23511,0.963514
1965.4428474,2.23579,0.963769
1965.4455852,2.23649,0.964024
1965.4483231,2.23717,0.964278
1965.4510609,2.23787,0.964533
1965.4537988,2.23855,0.964788
1965.4565366,2.23923,0.965042
1965.4592745,2.23993,0.965297
1965.4620123,2.2406,0.965552
1965.4647502,2.24127,0.965806
1965.467488,2.24197,0.966061
1965.4702259,2.24264,0.966315
1965.4729637,2.24333,0.96657
1965.4757016,2.244,0.966824
1965.4784394,2.24467,0.967079
1965.4811773,2.24536,0.967333
1965.4839151,2.24603,0.967587
1965.486653,2.24672,0.967842
1965.4893908,2.24738,0.968096
1965.4921287,2.24804,0.96835
1965.4948665,2.24873,0.968605
1965.4976044,2.24939,0.968859
1965.5003422,2.25005,0.969113
1965.5030801,2.25074,0.969367
1965.5058179,2.25139,0.969621
1965.5085558,2.25208,0.969876
1965.5112936,2.25273,0.97013
1965.5140315,2.25339,0.970384
1965.5167693,2.25407,0.970638
1965.5195072,2.25472,0.970892
1965.522245,2.25537,0.971146
1965.5249829,2.25605,0.9714
1965.5277207,2.2567,0.971654
1965.5304586,2.25737,0.971907
1965.5331964,2.25802,0.972161
1965.5359343,2.25867,0.972415
1965.5386721,2.25934,0.972669
1965.54141,2.25998,0.972923
1965.5441478,2.26063,0.973176
1965.5468857,2.2613,0.97343
1965.5496235,2.26194,0.973684
1965.5523614,2.2626,0.973937
1965.5550992,2.26324,0.974191
1965.5578371,2.26388,0.974445
1965.5605749,2.26455,0.974698
1965.5633128,2.26518,0.974952
1965.5660507,2.26584,0.975205
1965.5687885,2.26648,0.975459
1965.5715264,2.26711,0.975712
1965.5742642,2.26777,0.975965
1965.5770021,2.2684,0.976219
1965.5797399,2.26903,0.976472
1965.5824778,2.26969,0.976725
1965.5852156,2.27032,0.976979
1965.5879535,2.27097,0.977232
1965.5906913,2.2716,0.977485
1965.5934292,2.27222,0.977738
1965.596167,2.27287,0.977992
1965.5989049,2.27349,0.978245
1965.6016427,2.27412,0.978498
1965.6043806,2.27476,0.978751
1965.6071184,2.27538,0.979004
1965.6098563,2.27603,0.979257
1965.6125941,2.27664,0.97951
1965.615332,2.27726,0.979763
1965.6180698,2.2779,0.980016
1965.6208077,2.27852,0.980269
1965.6235455,2.27913,0.980521
1965.6262834,2.27977,0.980774
1965.6290212,2.28038,0.981027
1965.6317591,2.28101,0.98128
1965.6344969,2.28162,0.981532
1965.6372348,2.28223,0.981785
1965.6399726,2.28286,0.982038
1965.6427105,2.28347,0.98229
1965.6454483,2.2841,0.982543
1965.6481862,2.2847,0.982796
1965.650924,2.28531,0.983048
1965.6536619,2.28593,0.983301
1965.6563997,2.28653,0.983553
1965.6591376,2.28714,0.983805
1965.6618754,2.28776,0.984058
1965.6646133,2.28836,0.98431
1965.6673511,2.28897,0.984563
1965.670089,2.28957,0.984815
1965.6728268,2.29017,0.985067
1965.6755647,2.29078,0.985319
1965.6783025,2.29137,0.985572
1965.6810404,2.29197,0.985824
1965.6837782,2.29258,0.986076
1965.6865161,2.29317,0.986328
1965.6892539,2.29378,0.98658
1965.6919918,2.29436,0.986832
1965.6947296,2.29495,0.987084
1965.6974675,2.29556,0.987336
1965.7002053,2.29614,0.987588
1965.7029432,2.29672,0.98784
1965.705681,2.29733,0.988092
1965.7084189,2.29791,0.988344
1965.7111567,2.29851,0.988595
1965.7138946,2.29909,0.988847
1965.7166324,2.29966,0.989099
1965.7193703,2.30026,0.989351
1965.7221081,2.30083,0.989602
1965.724846,2.30143,0.989854
1965.7275838,2.302,0.990105
1965.7303217,2.30257,0.990357
1965.7330595,2.30316,0.990609
1965.7357974,2.30373,0.99086
1965.7385352,2.3043,0.991111
1965.7412731,2.30489,0.991363
1965.744011,2.30545,0.991614
1965.7467488,2.30604,0.991866
1965.7494867,2.3066,0.992117
1965.7522245,2.30716,0.992368
1965.7549624,2.30775,0.99262
1965.7577002,2.3083,0.992871
1965.7604381,2.30886,0.993122
1965.7631759,2.30944,0.993373
1965.7659138,2.31,0.993624
1965.7686516,2.31057,0.993875
1965.7713895,2.31113,0.994126
1965.7741273,2.31168,0.994377
1965.7768652,2.31225,0.994628
1965.779603,2.3128,0.994879
1965.7823409,2.31335,0.99513
1965.7850787,2.31392,0.995381
1965.7878166,2.31446,0.995632
1965.7905544,2.31503,0.995883
1965.7932923,2.31557,0.996133
1965.7960301,2.31612,0.996384
1965.798768,2.31668,0.996635
1965.8015058,2.31722,0.996886
1965.8042437,2.31778,0.997136
1965.8069815,2.31832,0.997387
1965.8097194,2.31885,0.997637
1965.8124572,2.31941,0.997888
1965.8151951,2.31994,0.998138
1965.8179329,2.32047,0.998389
1965.8206708,2.32103,0.998639
1965.8234086,2.32156,0.99889
1965.8261465,2.32211,0.99914
1965.8288843,2.32263,0.99939
1965.8316222,2.32316,0.99964
1965.83436,2.32371,0.999891
1965.8370979,2.32423,1.00014
1965.8398357,2.32475,1.00039
1965.8425736,2.3253,1.00064
1965.8453114,2.32582,1.00089
1965.8480493,2.32635,1.00114
1965.8507871,2.32687,1.00139
1965.853525,2.32739,1.00164
1965.8562628,2.32792,1.00189
1965.8590007,2.32844,1.00214
1965.8617385,2.32895,1.00239
1965.8644764,2.32948,1.00264
1965.8672142,2.32999,1.00289
1965.8699521,2.33052,1.00314
1965.8726899,2.33103,1.00339
1965.8754278,2.33154,1.00364
1965.8781656,2.33206,1.00389
1965.8809035,2.33257,1.00414
1965.8836413,2.33307,1.00439
1965.8863792,2.33359,1.00464
1965.889117,2.33409,1.00489
1965.8918549,2.33461,1.00514
1965.8945927,2.3351,1.00539
1965.8973306,2.3356,1.00564
1965.9000684,2.33611,1.00589
1965.9028063,2.33661,1.00613
1965.9055441,2.33712,1.00638
1965.908282,2.33761,1.00663
1965.9110198,2.3381,1.00688
1965.9137577,2.33861,1.00713
1965.9164956,2.3391,1.00738
1965.9192334,2.33958,1.00763
1965.9219713,2.34008,1.00788
1965.9247091,2.34057,1.00813
1965.927447,2.34107,1.00838
1965.9301848,2.34155,1.00863
1965.9329227,2.34203,1.00887
1965.9356605,2.34252,1.00912
1965.9383984,2.343,1.00937
1965.9411362,2.34348,1.00962
1965.9438741,2.34397,1.00987
1965.9466119,2.34444,1.01012
1965.9493498,2.34493,1.01037
1965.9520876,2.3454,1.01062
1965.9548255,2.34587,1.01086
1965.9575633,2.34635,1.01111
1965.9603012,2.34682,1.01136
1965.963039,2.34729,1.01161
1965.9657769,2.34777,1.01186
1965.9685147,2.34823,1.01211
1965.9712526,2.34871,1.01235
1965.9739904,2.34917,1.0126
1965.9767283,2.34962,1.01285
1965.9794661,2.3501,1.0131
1965.982204,2.35055,1.01335
1965.9849418,2.35102,1.0136
1965.9876797,2.35148,1.01384
1965.9904175,2.35193,1.01409
1965.9931554,2.35239,1.01434
1965.9958932,2.35284,1.01459
1965.9986311,2.35328,1.01484
1966.0013689,2.35372,1.01508
1966.0041068,2.35414,1.01533
1966.0068446,2.35458,1.01558
1966.0095825,2.35499,1.01583
1966.0123203,2.35541,1.01608
1966.0150582,2.35584,1.01632
1966.017796,2.35625,1.01657
1966.0205339,2.35666,1.01682
1966.0232717,2.35709,1.01707
1966.0260096,2.3575,1.01731
1966.0287474,2.35792,1.01756
1966.0314853,2.35833,1.01781
1966.0342231,2.35873,1.01806
1966.036961,2.35915,1.0183
1966.0396988,2.35955,1.01855
1966.0424367,2.35996,1.0188
1966.0451745,2.36037,1.01904
1966.0479124,2.36077,1.01929
1966.0506502,2.36118,1.01954
1966.0533881,2.36158,1.01979
1966.0561259,2.36197,1.02003
1966.0588638,2.36238,1.02028
1966.0616016,2.36277,1.02053
1966.0643395,2.36317,1.02077
1966.0670773,2.36356,1.02102
1966.0698152,2.36395,1.02127
1966.072553,2.36435,1.02152
1966.0752909,2.36474,1.02176
1966.0780287,2.36512,1.02201
1966.0807666,2.36552,1.02226
1966.0835044,2.3659,1.0225
1966.0862423,2.36629,1.02275
1966.0889802,2.36667,1.023
1966.091718,2.36705,1.02324
1966.0944559,2.36744,1.02349
1966.0971937,2.36781,1.02374
1966.0999316,2.36819,1.02398
1966.1026694,2.36857,1.02423
1966.1054073,2.36894,1.02447
1966.1081451,2.36933,1.02472
1966.110883,2.36969,1.02497
1966.1136208,2.37006,1.02521
1966.1163587,2.37044,1.02546
1966.1190965,2.37081,1.02571
1966.1218344,2.37117,1.02595
1966.1245722,2.37154,1.0262
1966.1273101,2.3719,1.02644
1966.1300479,2.37228,1.02669
1966.1327858,2.37263,1.02694
1966.1355236,2.37299,1.02718
1966.1382615,2.37336,1.02743
1966.1409993,2.37371,1.02767
1966.1437372,2.37408,1.02792
1966.146475,2.37443,1.02816
1966.1492129,2.37478,1.02841
1966.1519507,2.37514,1.02866
1966.1546886,2.37549,1.0289
1966.1574264,2.37584,1.02915
1966.1601643,2.3762,1.02939
1966.1629021,2.37654,1.02964
1966.16564,2.3769,1.02988
1966.1683778,2.37724,1.03013
1966.1711157,2.37758,1.03037
1966.1738535,2.37793,1.03062
1966.1765914,2.37827,1.03086
1966.1793292,2.37861,1.03111
1966.1820671,2.37895,1.03135
1966.1848049,2.37929,1.0316
1966.1875428,2.37963,1.03184
1966.1902806,2.37996,1.03209
1966.1930185,2.3803,1.03233
1966.1957563,2.38064,1.03258
1966.1984942,2.38097,1.03282
1966.201232,2.38129,1.03307
1966.2039699,2.38163,1.03331
1966.2067077,2.38195,1.03356
1966.2094456,2.38229,1.0338
1966.2121834,2.38261,1.03405
1966.2149213,2.38293,1.03429
1966.2176591,2.38326,1.03454
1966.220397,2.38358,1.03478
1966.2231348,2.38391,1.03503
1966.2258727,2.38423,1.03527
1966.2286105,2.38454,1.03552
1966.2313484,2.38487,1.03576
1966.2340862,2.38518,1.036
1966.2368241,2.38549,1.03625
1966.2395619,2.38581,1.03649
1966.2422998,2.38612,1.03674
1966.2450376,2.38644,1.03698
1966.2477755,2.38675,1.03722
1966.2505133,2.38705,1.03747
1966.2532512,2.38737,1.03771
1966.255989,2.38767,1.03796
