cadena,gamma_Nm,tau_anios,k_em,chi_ms,prob
A,1.7089e+19,9.6679,1.0346,0.23126,0.51248
A,1.5435e+19,9.4628,1.1254,0.1364,0.79251
A,1.6479e+19,4.6759,1.764,0.1862,0.64831
A,1.6694e+19,13.266,2.3597,0.30932,0.3024
A,1.1536e+19,5.0819,0.054918,0.22024,0.54535
A,1.5145e+19,9.0698,1.409,0.30539,0.31168
A,1.7575e+19,10.292,1.5703,0.22539,0.52993
A,1.6169e+19,24.218,2.4809,0.29357,0.34052
A,1.0431e+19,18.041,1.0062,0.13275,0.8023
A,9.9627e+18,18.452,2.2995,0.30305,0.31728
A,9.5355e+18,7.8612,0.50076,0.23469,0.50233
A,1.2261e+19,6.6695,0.60565,0.24595,0.46947
A,1.4208e+19,10.384,1.0817,0.2215,0.54158
A,1.5358e+19,3.5195,0.13762,0.26162,0.42505
A,2.2544e+19,8.192,1.6554,0.19878,0.61023
A,1.9441e+19,4.7935,0.3751,0.26932,0.40387
A,1.9232e+19,3.7075,0.19216,0.21704,0.55499
A,1.3757e+19,3.9372,0.038692,0.16738,0.70453
A,1.512e+19,7.5118,1.3807,0.27588,0.38621
A,1.0024e+19,8.3978,0.59883,0.21658,0.55636
A,6.5466e+18,13.491,0.35022,0.27277,0.39453
A,1.6547e+19,12.85,2.1306,0.12581,0.8205
A,7.1299e+18,12.126,0.080204,0.24651,0.46786
A,1.188e+19,30.117,2.8849,0.2499,0.45812
A,1.2893e+19,16.3,2.1347,0.21528,0.56028
A,1.3242e+19,19.511,1.4204,0.29761,0.33051
A,6.953e+18,15.223,0.217,0.15673,0.7356
A,1.5311e+19,8.5989,0.80392,0.19486,0.62211
A,1.0959e+19,11.115,1.0388,0.24766,0.46455
A,1.6758e+19,18.505,3.9376,0.30343,0.31637
A,2.5357e+19,47.468,5.4417,0.22937,0.51807
A,2.5697e+19,11.703,3.4378,0.21191,0.57047
A,1.7701e+19,3.3273,0.31283,0.19154,0.63217
A,2.0216e+19,3.6701,0.50159,0.28251,0.36874
A,7.6487e+18,15.419,0.094259,0.26407,0.41827
A,1.0454e+19,8.0284,0.32951,0.15622,0.73709
A,1.4914e+19,14.238,1.4339,0.27706,0.38307
A,1.449e+19,12.076,1.5661,0.29266,0.34279
A,1.1749e+19,11.302,1.1488,0.1468,0.76385
A,1.7813e+19,12.833,2.1568,0.28056,0.37384
A,1.323e+19,7.9669,0.98121,0.20629,0.58745
A,1.0426e+19,10.221,0.80776,0.28086,0.37305
A,1.0387e+19,11.911,0.60315,0.26014,0.42917
A,1.3933e+19,6.4405,0.52619,0.3,0.32465
A,1.2568e+19,8.3386,0.74257,0.26589,0.41324
A,1.4582e+19,5.1022,0.99168,0.27713,0.3829
A,6.4554e+18,13.373,0.35552,0.27836,0.37963
A,9.7158e+18,17.553,0.79261,0.26279,0.42178
A,1.1929e+19,11.239,1.1498,0.24989,0.45815
A,1.848e+19,14.491,2.8609,0.29624,0.33388
A,1.2884e+19,12.949,1.0828,0.23064,0.51432
A,1.797e+19,4.2332,0.69355,0.2221,0.53979
A,1.0372e+19,7.8754,0.66067,0.2737,0.39204
A,1.146e+19,11.21,0.85422,0.18385,0.6554
A,1.1474e+19,21.81,1.5377,0.24254,0.47936
A,1.6135e+19,14.891,1.823,0.19554,0.62007
A,1.6374e+19,10.698,2.4047,0.29609,0.33425
A,8.8297e+18,10.424,1.1344,0.22565,0.52915
A,1.3695e+19,6.1066,0.25801,0.23182,0.5108
A,1.1482e+19,8.0854,0.76822,0.29076,0.34757
A,1.2776e+19,12.361,1.2414,0.29332,0.34115
A,1.1765e+19,5.4323,0.13964,0.27216,0.39617
A,1.2511e+19,22.25,2.0594,0.18299,0.658
A,2.1902e+19,25.35,4.5569,0.21161,0.57136
A,1.4345e+19,5.9555,0.28999,0.2501,0.45756
A,1.3406e+19,4.1829,0.34021,0.29599,0.3345
A,2.3272e+19,15.83,2.5071,0.22819,0.52159
A,1.087e+19,6.3374,0.10793,0.18729,0.64501
A,1.4354e+19,19.313,1.5671,0.23251,0.50878
A,2.7773e+19,27.575,4.7021,0.29409,0.33921
A,2.3887e+19,23.959,3.487,0.25062,0.45605
A,1.5755e+19,10.556,1.8631,0.18419,0.65437
A,1.5195e+19,11.291,1.5546,0.21408,0.5639
A,1.0258e+19,8.8577,0.50907,0.19821,0.61197
A,1.5708e+19,6.2272,0.52467,0.30752,0.30663
A,1.0765e+19,8.9571,0.44971,0.16497,0.71163
A,1.1139e+19,14.507,1.2438,0.2292,0.51859
A,1.7151e+19,6.0302,0.14975,0.2675,0.40884
A,1.4058e+19,5.5008,0.7245,0.22878,0.51984
A,1.3367e+19,10.168,0.65105,0.22719,0.52456
A,9.5021e+18,8.2373,0.40393,0.17072,0.69466
A,1.1309e+19,12.03,0.40938,0.28978,0.35005
A,7.2545e+18,13.65,0.5475,0.19549,0.6202
A,5.806e+18,19.05,0.3047,0.20461,0.59254
A,1.7643e+19,17.381,2.3213,0.29096,0.34707
A,1.9463e+19,13.094,2.5897,0.2849,0.36255
A,1.6458e+19,3.7569,0.016137,0.30655,0.30893
A,1.8211e+19,6.992,1.2061,0.17661,0.67715
A,8.9957e+18,9.4731,0.14573,0.22428,0.53324
A,1.4231e+19,9.3178,0.95603,0.30525,0.312
A,1.1272e+19,7.8803,0.2051,0.27866,0.37885
A,9.6327e+18,9.461,0.48437,0.2904,0.34848
A,9.953e+18,5.0933,0.27061,0.30534,0.3118
A,1.266e+19,7.3468,1.0852,0.30701,0.30783
A,1.5001e+19,8.5027,1.764,0.18028,0.66613
A,1.4556e+19,15.754,1.9069,0.2656,0.41404
A,1.6479e+19,22.242,2.6231,0.25083,0.45547
A,7.7623e+18,53.998,0.55906,0.30613,0.30991
A,6.1167e+18,11.073,0.10638,0.30652,0.30899
A,1.2086e+19,6.704,0.71966,0.26192,0.42422
A,1.5218e+19,14.429,1.6989,0.14647,0.76477
A,9.4714e+18,13.383,1.1495,0.1902,0.63624
A,1.2614e+19,21.001,2.2883,0.22071,0.54396
A,6.9571e+18,8.7432,0.2863,0.30825,0.30491
A,1.0236e+19,12.404,0.75138,0.29202,0.3444
A,9.2387e+18,11.543,0.16985,0.25666,0.43891
A,8.724e+18,13.009,0.62399,0.15959,0.72734
A,1.7247e+19,10.708,1.8092,0.29626,0.33383
A,1.022e+19,8.1644,0.01619,0.29441,0.33841
A,1.5175e+19,8.8142,1.158,0.12632,0.81916
A,2.0425e+19,5.2362,0.59733,0.16356,0.71577
A,1.5115e+19,16.571,1.9831,0.22308,0.53684
A,1.2508e+19,7.3335,0.38311,0.19903,0.60947
A,1.327e+19,24.229,1.7218,0.29603,0.3344
A,1.7217e+19,10.05,2.2551,0.3021,0.31957
A,1.1321e+19,22.738,1.9327,0.26878,0.40533
A,9.3053e+18,6.1066,0.52112,0.226,0.5281
A,1.176e+19,17.873,1.9295,0.30618,0.30981
A,1.4127e+19,12.136,1.4714,0.27498,0.3886
A,1.8054e+19,20.493,2.8944,0.22981,0.51677
A,1.0427e+19,23.214,1.0754,0.30619,0.30978
A,1.4913e+19,4.1555,0.14982,0.21504,0.561
A,1.6403e+19,6.4505,0.41258,0.16135,0.72223
A,1.5484e+19,7.7973,0.97328,0.19616,0.61817
A,1.7082e+19,3.6587,0.16498,0.14737,0.76225
A,1.9597e+19,4.8922,0.77752,0.30849,0.30434
A,1.5301e+19,8.0771,0.51804,0.23044,0.5149
A,1.9653e+19,2.8111,0.22535,0.26275,0.4219
A,1.1774e+19,7.744,0.75348,0.28761,0.35559
A,1.0187e+19,8.8731,0.17205,0.24039,0.48562
A,6.0201e+18,28.839,0.99264,0.287,0.35714
A,8.3679e+18,9.4298,0.041828,0.27191,0.39686
A,1.3054e+19,6.4063,0.7783,0.28,0.3753
A,1.1559e+19,10.375,0.48022,0.30406,0.31484
A,1.0885e+19,12.765,0.98352,0.29839,0.32859
A,1.4998e+19,9.9709,0.98912,0.1972,0.61502
A,1.326e+19,10.221,0.89497,0.2764,0.38484
A,1.5086e+19,7.3117,1.7719,0.21263,0.56827
A,1.6289e+19,67.949,2.6908,0.30198,0.31986
A,9.0468e+18,14.702,0.41851,0.24343,0.47676
A,1.2368e+19,9.8071,0.68433,0.14011,0.7824
A,1.368e+19,5.2309,0.44586,0.15637,0.73664
A,1.4855e+19,13.345,1.6965,0.13749,0.78954
A,1.2034e+19,11.884,0.85951,0.18406,0.65478
A,9.2844e+18,13.139,0.72899,0.23341,0.50611
A,6.2354e+18,24.264,0.67132,0.22039,0.5449
A,9.5122e+18,13.124,0.25325,0.23044,0.51489
A,1.0242e+19,12.415,0.72632,0.27714,0.38287
A,1.2375e+19,9.8916,0.77984,0.29854,0.32821
A,1.3656e+19,6.0763,0.42785,0.161,0.72323
A,7.1183e+18,12.719,0.44928,0.22303,0.53697
A,1.4369e+19,12.294,1.1622,0.15051,0.7534
A,1.3346e+19,32.945,2.0499,0.22523,0.53042
A,1.0701e+19,9.83,0.24684,0.30614,0.30989
A,1.3191e+19,8.4602,1.1015,0.24517,0.47173
A,8.2477e+18,22.42,0.60604,0.23178,0.51094
A,1.5301e+19,13.392,1.2218,0.28169,0.3709
A,1.2349e+19,20.2,1.5225,0.27616,0.38545
A,1.4012e+19,5.5978,0.43078,0.20193,0.60067
A,7.1624e+18,14.678,0.40399,0.096137,0.8909
A,1.2443e+19,6.5137,0.27325,0.10511,0.87101
A,1.8049e+19,16.587,2.2283,0.26637,0.41193
A,1.4452e+19,19.188,1.7149,0.2622,0.42343
A,1.3588e+19,9.5053,1.394,0.21856,0.55041
A,1.7459e+19,9.492,1.2403,0.29021,0.34897
A,1.5582e+19,5.2768,0.1339,0.10608,0.86878
A,1.5476e+19,10.577,1.3806,0.23391,0.50462
A,2.6921e+19,42.362,4.274,0.29738,0.33108
A,6.8495e+18,12.775,0.67196,0.30864,0.304
A,1.0056e+19,16.893,1.3052,0.24255,0.47931
A,1.1376e+19,15.625,1.1545,0.20683,0.58582
A,7.0683e+18,56.915,0.54883,0.24233,0.47996
A,9.1727e+18,30.318,1.2561,0.15049,0.75344
A,1.0924e+19,31.171,1.5563,0.30562,0.31114
A,1.597e+19,13.05,2.169,0.26932,0.40386
A,9.4014e+18,7.1045,0.016886,0.28292,0.36769
A,1.4364e+19,18.872,1.9962,0.16548,0.71015
A,9.6832e+18,32.208,1.0532,0.23707,0.49534
A,9.3812e+18,8.7378,0.11068,0.21626,0.55733
A,9.0157e+18,9.2025,0.056407,0.23284,0.50778
A,1.4936e+19,18.676,1.5169,0.30038,0.32372
A,1.307e+19,9.3322,1.0715,0.24142,0.48261
A,9.0082e+18,12.769,0.48274,0.12666,0.8183
A,5.6523e+18,30.521,0.57095,0.30868,0.30391
A,1.0233e+19,17.062,0.97458,0.24863,0.46175
A,5.7303e+18,17.952,0.24916,0.24454,0.47355
A,1.5006e+19,11.939,1.4617,0.18563,0.65004
A,1.0805e+19,9.314,0.48745,0.2024,0.59926
A,7.9966e+18,10.124,0.0052404,0.3068,0.30834
A,1.7088e+19,16.244,3.022,0.28207,0.36988
A,1.4107e+19,10.509,1.4835,0.30335,0.31654
A,1.2282e+19,9.1794,0.63872,0.23881,0.49022
A,1.0538e+19,9.5283,0.68586,0.22535,0.53004
A,8.9707e+18,11.423,0.11656,0.25461,0.44471
A,1.3532e+19,7.7585,1.2813,0.27773,0.38129
A,1.4167e+19,5.7298,0.6706,0.23029,0.51536
A,1.2777e+19,7.1554,0.32966,0.20711,0.58498
A,2.5531e+19,30.003,4.0344,0.30712,0.30757
A,1.9442e+19,5.7204,1.0648,0.25434,0.44546
A,1.6739e+19,3.936,0.29863,0.2738,0.39176
A,1.4182e+19,8.1322,1.0869,0.25204,0.452
A,8.8707e+18,7.1018,0.49046,0.25491,0.44387
A,1.13e+19,17.441,1.1707,0.29962,0.32558
A,1.3658e+19,21.052,2.2449,0.25334,0.44831
A,7.706e+18,14.681,0.49337,0.18425,0.6542
A,1.048e+19,12.375,0.69536,0.25922,0.43174
A,1.421e+19,6.556,0.89956,0.18697,0.646
A,1.4187e+19,11.71,1.6813,0.27431,0.39041
A,7.1523e+18,15.583,0.29507,0.30513,0.31231
A,6.3365e+18,14.223,0.1827,0.22175,0.54083
A,9.8363e+18,12.91,0.45675,0.20961,0.57742
A,1.4127e+19,11.074,0.8465,0.27654,0.38445
A,1.7384e+19,11.805,1.8173,0.29635,0.3336
A,5.4521e+18,15.628,0.036409,0.23481,0.50197
A,5.897e+18,17.491,0.04534,0.28917,0.35161
A,1.4664e+19,7.1392,0.35934,0.097146,0.88873
A,1.3721e+19,6.5988,0.52551,0.20135,0.60243
A,1.1605e+19,11.2,0.71602,0.25127,0.45421
A,9.2983e+18,32.411,1.3508,0.24557,0.47058
A,9.19e+18,6.1309,0.01395,0.24287,0.4784
A,1.1332e+19,20.921,1.4861,0.21602,0.55805
A,7.3121e+18,6.902,0.36881,0.30521,0.3121
A,1.2506e+19,12.35,1.4634,0.21625,0.55735
A,1.3323e+19,4.4832,0.06264,0.2164,0.55689
A,1.3081e+19,3.5335,0.12562,0.23195,0.51043
A,2.2242e+19,16.73,2.4083,0.29502,0.3369
A,1.8421e+19,3.7621,0.38651,0.27029,0.40123
A,1.68e+19,4.5806,0.1954,0.23264,0.50838
A,1.1395e+19,7.3853,0.60592,0.18815,0.64243
A,1.3801e+19,22.72,1.4767,0.27281,0.39443
A,2.059e+19,24.567,2.6251,0.27629,0.38513
A,1.2099e+19,14.272,0.93097,0.3024,0.31884
A,7.0917e+18,11.058,0.3183,0.1505,0.75344
A,1.0335e+19,47.167,1.6369,0.28407,0.36469
A,1.3273e+19,8.3101,0.76458,0.21763,0.55321
A,1.8359e+19,10.721,1.3574,0.307,0.30786
A,6.7787e+18,29.835,0.77995,0.28271,0.36822
A,1.8244e+19,18.064,2.3502,0.22417,0.53357
A,1.5357e+19,18.814,2.1853,0.30629,0.30953
A,1.4702e+19,21.64,2.5539,0.20883,0.57977
A,1.0652e+19,8.5359,0.24435,0.26649,0.4116
A,1.3283e+19,4.6,0.031957,0.28012,0.37501
A,1.221e+19,13.628,1.9963,0.27563,0.38688
A,6.3289e+18,17.974,0.7091,0.30923,0.30262
A,1.1026e+19,9.154,1.0779,0.25322,0.44865
A,1.3068e+19,5.7537,0.03532,0.20479,0.59201
A,1.6108e+19,5.65,0.66508,0.12689,0.81771
A,1.6043e+19,27.109,2.1545,0.28823,0.35401
A,1.1509e+19,9.9369,0.76562,0.29011,0.34922
A,1.1622e+19,15.846,0.60281,0.29125,0.34634
A,1.1431e+19,14.744,1.3086,0.30522,0.31208
A,1.0153e+19,9.6383,0.45275,0.29633,0.33365
A,7.7023e+18,15.057,0.14154,0.26296,0.42132
A,1.4873e+19,5.1586,0.4417,0.20743,0.58402
A,1.1605e+19,6.5961,0.46086,0.2726,0.39501
A,1.4846e+19,12.981,2.372,0.20304,0.5973
A,1.7618e+19,13.807,2.158,0.26277,0.42186
A,1.5729e+19,15.233,2.0952,0.24089,0.48417
A,6.3486e+18,18.869,0.47317,0.28553,0.36093
A,1.111e+19,9.2066,1.0761,0.29569,0.33524
A,1.7762e+19,14.124,1.9771,0.24224,0.48024
A,1.1906e+19,6.6896,0.33639,0.14547,0.76758
A,1.3929e+19,14.985,1.7975,0.29129,0.34624
A,1.3514e+19,7.0632,0.70522,0.2393,0.48881
A,1.1238e+19,4.7695,0.16761,0.27305,0.39379
A,1.2375e+19,7.4685,0.8826,0.17773,0.67379
A,9.5309e+18,37.584,1.2214,0.29418,0.33901
A,1.5441e+19,18.28,2.148,0.21814,0.55166
A,1.0076e+19,9.57,0.59167,0.30112,0.32193
A,1.2044e+19,10.208,1.4794,0.23488,0.50178
A,1.0088e+19,9.0796,1.105,0.29196,0.34455
A,2.0358e+19,13.303,2.5006,0.26257,0.4224
A,1.5412e+19,3.2793,0.311,0.2697,0.40285
A,9.3955e+18,28.364,1.0988,0.16864,0.70082
A,9.0008e+18,22.47,0.89977,0.28881,0.35253
A,7.0982e+18,28.934,0.75309,0.29757,0.33061
A,8.7048e+18,12.155,0.71786,0.1464,0.76499
A,8.465e+18,25.529,0.65036,0.2973,0.33127
A,1.7043e+19,4.519,0.44034,0.29609,0.33425
A,1.3212e+19,7.6451,0.30282,0.17055,0.69517
A,1.872e+19,6.3611,1.6974,0.15898,0.72912
A,6.2002e+18,19.884,0.24155,0.21891,0.54934
A,1.2796e+19,14.867,2.8132,0.31024,0.30027
A,1.8682e+19,14.065,2.7695,0.29738,0.33107
A,1.462e+19,5.2564,0.17726,0.26083,0.42725
A,1.6394e+19,12.669,2.3475,0.17891,0.67025
A,3.0369e+19,12.401,3.5683,0.27592,0.3861
A,1.7779e+19,7.2757,1.6715,0.14004,0.78259
A,1.5514e+19,8.0579,1.6914,0.24647,0.46797
A,1.1335e+19,6.2653,0.56627,0.23934,0.48869
A,9.5922e+18,12.373,1.0146,0.21674,0.55587
A,2.1559e+19,13.688,4.7537,0.27451,0.38987
A,9.7954e+18,16.359,0.70953,0.23733,0.49458
A,6.0323e+18,10.121,0.073982,0.26709,0.40994
A,1.3517e+19,16.471,1.7955,0.21248,0.56872
A,9.0813e+18,24.379,1.3868,0.27507,0.38836
A,1.4491e+19,9.6128,1.2592,0.30489,0.31287
A,1.7714e+19,19.156,3.9401,0.2824,0.36904
A,1.9883e+19,20.521,3.9564,0.24019,0.48621
A,1.2842e+19,23.081,1.8286,0.22751,0.52362
A,1.0556e+19,10.64,0.49445,0.24698,0.46649
A,9.7642e+18,10.738,0.66149,0.29166,0.3453
A,8.7069e+18,8.6542,0.21644,0.1912,0.6332
A,1.9122e+19,2.2584,0.12574,0.26544,0.41447
A,2.2839e+19,4.1356,0.059948,0.26458,0.41685
A,1.3452e+19,6.8232,0.13399,0.29534,0.33612
A,1.1576e+19,7.9318,0.25553,0.27457,0.38971
A,1.483e+19,11.564,1.5992,0.21513,0.56072
A,1.1286e+19,5.9487,0.35528,0.27137,0.39832
A,1.8583e+19,7.3485,1.6979,0.28863,0.35299
A,8.9598e+18,19.679,1.6748,0.29571,0.3352
A,1.3183e+19,6.8432,0.22182,0.28204,0.36998
A,1.1033e+19,7.1838,0.37342,0.22534,0.53007
A,1.7518e+19,5.999,1.0619,0.10701,0.86664
A,1.5555e+19,11.723,1.4339,0.22424,0.53337
A,7.6621e+18,17.387,0.82172,0.20746,0.58393
A,1.7085e+19,16.754,2.6351,0.1904,0.63561
A,1.3583e+19,12.879,1.799,0.27379,0.3918
A,1.4985e+19,10.056,1.7151,0.17734,0.67494
A,8.2149e+18,13.025,0.5926,0.29991,0.32487
A,9.5188e+18,17.609,1.2941,0.29501,0.33693
A,1.2752e+19,8.1265,0.59416,0.28899,0.35206
A,1.4785e+19,6.5456,0.85413,0.1448,0.76945
A,1.2139e+19,6.9229,0.35431,0.30411,0.31472
A,1.9557e+19,7.8136,1.9119,0.28962,0.35047
A,1.1337e+19,9.7968,1.1206,0.18084,0.66445
