cadena,gamma_Nm,tau_anios,k_em,chi_ms,prob
C,1.3187e+19,11.127,1.1456,0.25126,0.45423
C,1.5446e+19,4.4421,0.033013,0.2412,0.48326
C,1.5378e+19,13.086,0.87421,0.29201,0.34443
C,1.0169e+19,10.904,0.21509,0.22245,0.53873
C,7.9406e+18,17.233,0.48257,0.20564,0.58944
C,1.9218e+19,38.497,2.825,0.29707,0.33184
C,1.4743e+19,11.291,1.2006,0.24943,0.45947
C,1.4075e+19,14.409,1.8924,0.25407,0.44624
C,1.9524e+19,2.2681,0.1309,0.27668,0.38409
C,2.7723e+19,12.338,2.682,0.30869,0.30388
C,1.5231e+19,8.8581,1.9283,0.26861,0.40581
C,1.1373e+19,8.1456,0.36123,0.22137,0.54195
C,1.8056e+19,9.3912,1.1018,0.22247,0.53867
C,7.0369e+18,29.514,0.59384,0.26698,0.41025
C,1.0971e+19,16.395,1.0934,0.2624,0.42287
C,1.2078e+19,10.576,1.1982,0.18391,0.65523
C,1.5961e+19,12.252,1.5184,0.30704,0.30776
C,1.2685e+19,10.769,0.98962,0.25905,0.43222
C,1.1849e+19,6.3629,0.068156,0.21576,0.55883
C,1.1947e+19,36.902,1.655,0.27776,0.38121
C,8.9866e+18,16.766,1.0262,0.2272,0.52454
C,1.3121e+19,3.6822,0.13662,0.24129,0.48299
C,1.5773e+19,5.3561,1.0262,0.27007,0.40183
C,1.1054e+19,7.2522,0.32698,0.27142,0.39819
C,1.0189e+19,7.7602,0.094547,0.3102,0.30035
C,8.9842e+18,21.903,0.92645,0.17212,0.69051
C,1.5232e+19,9.9418,1.5134,0.28614,0.35934
C,1.5067e+19,10.775,1.2049,0.25958,0.43074
C,1.4125e+19,10.467,0.78125,0.29605,0.33435
C,1.2306e+19,14.632,1.7636,0.22781,0.52271
C,1.5207e+19,21.389,2.0848,0.24312,0.47766
C,1.8023e+19,7.2762,1.6589,0.25977,0.43021
C,1.5993e+19,4.0634,0.52733,0.23186,0.5107
C,1.3448e+19,5.4546,0.26322,0.22974,0.51698
C,1.6175e+19,16.899,2.2323,0.2248,0.53169
C,8.3652e+18,9.6503,0.20321,0.26313,0.42086
C,1.7111e+19,5.7004,1.1563,0.16703,0.70557
C,1.7763e+19,4.0229,0.29026,0.25497,0.44369
C,1.192e+19,6.4142,0.31755,0.22938,0.51803
C,1.394e+19,12.346,0.8717,0.19593,0.61887
C,8.1534e+18,16.597,1.1178,0.16916,0.6993
C,4.7437e+18,31.054,0.12957,0.25915,0.43192
C,1.4167e+19,6.8556,1.0231,0.17257,0.68918
C,1.6846e+19,10.258,1.1257,0.16446,0.71312
C,1.7272e+19,8.3185,1.094,0.29652,0.33318
C,9.3739e+18,7.9798,0.34372,0.22646,0.52674
C,8.1202e+18,7.9733,0.26765,0.10909,0.86177
C,1.5539e+19,7.2624,0.80827,0.28297,0.36755
C,1.0945e+19,6.1768,0.1617,0.16931,0.69885
C,1.2704e+19,6.8372,0.62101,0.23451,0.50285
C,1.2691e+19,4.9711,0.17088,0.20784,0.58275
C,1.2984e+19,18.198,1.1089,0.19038,0.63569
C,6.0884e+18,46.813,0.58295,0.2629,0.4215
C,1.4224e+19,5.8804,0.76292,0.28216,0.36965
C,1.3676e+19,58.017,3.4723,0.3065,0.30903
C,1.5279e+19,11.025,1.5119,0.25072,0.45578
C,7.7305e+18,14.177,0.35079,0.14973,0.75561
C,1.393e+19,5.7407,0.057392,0.26192,0.4242
C,9.6064e+18,15.117,1.9612,0.29763,0.33044
C,1.123e+19,14.93,0.9723,0.30447,0.31387
C,1.1239e+19,18.152,1.2845,0.21835,0.55105
C,1.7597e+19,25.338,2.7123,0.22608,0.52789
C,7.8102e+18,19.306,0.36829,0.16449,0.71306
C,1.9965e+19,14.803,2.6894,0.16837,0.70162
C,1.0713e+19,11.3,0.74869,0.18835,0.64182
C,1.5901e+19,9.8418,1.732,0.29694,0.33214
C,1.662e+19,11.594,1.8349,0.22947,0.51779
C,2.0885e+19,25.3,4.6589,0.30397,0.31506
C,1.0757e+19,8.4221,0.65039,0.3064,0.30929
C,1.5736e+19,38.389,1.9604,0.29194,0.34462
C,2.4549e+19,15.812,2.8275,0.1524,0.74801
C,1.2814e+19,6.908,0.40952,0.22844,0.52085
C,9.2692e+18,11.91,0.37734,0.23122,0.5126
C,1.6958e+19,15.343,2.0667,0.281,0.37269
C,1.5776e+19,14.38,1.901,0.29273,0.34262
C,8.4251e+18,8.1815,0.036586,0.26279,0.42181
C,1.7802e+19,14.325,2.0661,0.21569,0.55905
C,1.0052e+19,12.235,1.057,0.2513,0.45411
C,1.5303e+19,5.1422,0.36632,0.30133,0.32143
C,1.792e+19,6.2827,1.5711,0.28102,0.37264
C,5.4718e+18,10.487,0.40648,0.27184,0.39703
C,1.0682e+19,11.109,1.3368,0.17967,0.66798
C,1.9299e+19,35.275,2.8509,0.28102,0.37264
C,1.3739e+19,8.7973,0.44485,0.26652,0.41151
C,1.5271e+19,8.6753,1.181,0.22025,0.54531
C,8.5786e+18,9.5868,0.2198,0.23481,0.50199
C,1.818e+19,10.441,2.1381,0.21944,0.54775
C,1.5824e+19,12.102,1.9942,0.15449,0.74204
C,6.232e+18,18.531,0.68975,0.28116,0.37228
C,1.3867e+19,5.9917,0.00037289,0.26061,0.42785
C,8.324e+18,24.008,0.83488,0.27185,0.397
C,9.648e+18,15.049,0.85261,0.18568,0.64989
C,1.452e+19,9.0624,0.77492,0.19693,0.61583
C,1.2663e+19,12.571,0.66336,0.23886,0.49009
C,7.5206e+18,19.46,0.53797,0.29394,0.3396
C,2.7643e+19,22.988,4.8904,0.28831,0.35381
C,1.2672e+19,5.9524,0.20477,0.26666,0.41114
C,7.9824e+18,9.7601,0.35121,0.24914,0.4603
C,1.3167e+19,6.0027,0.21981,0.18054,0.66537
C,1.6137e+19,7.8456,0.78392,0.24626,0.46859
C,7.0592e+18,29.826,0.38651,0.30228,0.31912
C,8.3066e+18,25.068,0.50843,0.29442,0.3384
C,1.3224e+19,8.8608,0.99635,0.28417,0.36444
C,1.055e+19,11.853,0.48707,0.27078,0.39991
C,1.2461e+19,10.266,1.3662,0.28578,0.36027
C,1.2346e+19,7.357,0.56061,0.23131,0.51232
C,1.3611e+19,9.9601,0.5572,0.19464,0.62277
C,8.736e+18,15.142,1.0203,0.2139,0.56446
C,1.6039e+19,4.0119,0.51154,0.29968,0.32542
C,1.1607e+19,15.203,0.85266,0.30882,0.30358
C,1.2813e+19,9.2336,1.6899,0.29851,0.32829
C,1.0659e+19,6.9709,0.44494,0.27666,0.38415
C,1.1635e+19,7.9803,0.24642,0.2953,0.3362
C,1.7256e+19,17.918,2.0247,0.29462,0.3379
C,1.2991e+19,8.2997,1.0594,0.30411,0.31473
C,1.7703e+19,8.4919,1.3714,0.20144,0.60217
C,1.5637e+19,6.2275,0.089784,0.295,0.33696
C,1.7106e+19,12.311,2.5727,0.30395,0.3151
C,1.0828e+19,9.9152,0.47932,0.28573,0.3604
C,1.4103e+19,7.075,0.64006,0.23232,0.50932
C,1.4741e+19,11.743,1.2232,0.19706,0.61543
C,9.5504e+18,12.664,1.4276,0.23339,0.50616
C,1.3315e+19,12.425,1.2707,0.22983,0.51671
C,8.3147e+18,18.163,0.70684,0.14621,0.76549
C,1.696e+19,4.4733,0.12835,0.20998,0.57629
C,8.0931e+18,61.199,1.3552,0.30221,0.31928
C,9.2514e+18,15.627,0.19899,0.27552,0.38717
C,1.5788e+19,16.613,1.8059,0.25594,0.44094
C,2.4093e+19,3.6128,0.49343,0.25497,0.44368
C,9.323e+18,18.279,0.22818,0.29417,0.33902
C,1.9073e+19,11.505,2.3422,0.2475,0.465
C,1.913e+19,32.763,2.2739,0.23151,0.51174
C,1.8545e+19,6.1988,1.2899,0.12554,0.82118
C,8.8034e+18,15.442,1.1837,0.21452,0.56256
C,1.6081e+19,11.005,1.5772,0.29741,0.331
C,1.2359e+19,6.0045,0.4097,0.23685,0.49597
C,1.1895e+19,14.424,1.4812,0.26561,0.41401
C,1.3237e+19,11.206,1.4536,0.20541,0.59013
C,1.2962e+19,18.401,1.342,0.24859,0.46186
C,1.3372e+19,7.9946,0.44604,0.19375,0.62549
C,1.1781e+19,5.8747,0.62076,0.19357,0.62601
C,1.8952e+19,4.0267,0.28026,0.24778,0.46419
C,7.3283e+18,17.883,0.40197,0.20653,0.58674
C,1.1099e+19,15.806,0.62847,0.28714,0.35678
C,1.4626e+19,7.2225,0.92826,0.18488,0.6523
C,1.2721e+19,8.6966,1.2339,0.2507,0.45583
C,2.0292e+19,8.0739,2.0285,0.26366,0.4194
C,2.3264e+19,3.0833,0.38128,0.27935,0.37702
C,3.9376e+18,26.493,0.37442,0.25108,0.45474
C,1.3363e+19,8.0907,1.6411,0.30432,0.31423
C,1.5252e+19,15.434,2.6885,0.29475,0.33759
C,8.1777e+18,15.3,0.43518,0.24009,0.48648
C,1.6641e+19,10.834,1.9852,0.19535,0.62063
C,9.3455e+18,28.099,1.1957,0.30138,0.32131
C,1.3028e+19,7.6974,0.29356,0.12968,0.81041
C,1.9547e+19,7.6632,1.4873,0.25676,0.43864
C,1.6921e+19,11.229,1.9334,0.17651,0.67744
C,1.0881e+19,80.427,1.3681,0.30301,0.31736
C,1.26e+19,11.279,0.99334,0.18325,0.6572
C,1.3922e+19,17.478,1.9296,0.27681,0.38374
C,1.1143e+19,8.3932,0.94454,0.2115,0.5717
C,1.1118e+19,13.237,0.54085,0.29611,0.33419
C,6.1813e+18,9.0848,0.063995,0.28718,0.35668
C,1.0026e+19,10.264,0.54556,0.18369,0.65589
C,7.1727e+18,10.408,0.34109,0.25902,0.43229
C,9.7833e+18,9.4749,0.33839,0.29342,0.3409
C,1.5748e+19,13.219,1.5568,0.30752,0.30664
C,1.6563e+19,4.4746,0.40746,0.30559,0.3112
C,1.6256e+19,7.6767,0.80963,0.29343,0.34087
C,1.394e+19,20.556,1.9177,0.2571,0.43767
C,9.1635e+18,16.349,0.83719,0.2887,0.3528
C,1.2685e+19,10.368,1.0509,0.24573,0.4701
C,1.1979e+19,8.359,0.71771,0.22745,0.5238
C,1.8053e+19,12.963,2.8244,0.27046,0.40077
C,1.703e+19,8.6186,0.73935,0.29421,0.33891
C,1.5017e+19,19.61,2.2611,0.29154,0.34561
C,1.6411e+19,6.1663,0.93468,0.28583,0.36014
C,1.3985e+19,6.3435,0.21466,0.21792,0.55234
C,1.9189e+19,15.878,4.1564,0.29039,0.34852
C,7.845e+18,15.057,0.85975,0.25407,0.44625
C,1.7131e+19,11.95,1.4009,0.22127,0.54226
C,1.6534e+19,9.5281,1.4233,0.20063,0.60462
C,1.1488e+19,8.9117,0.44726,0.30341,0.31641
C,1.3634e+19,17.422,1.7897,0.26149,0.42542
C,6.4924e+18,21.812,0.75554,0.20268,0.5984
C,1.772e+19,13.293,1.7675,0.24814,0.46318
C,1.4542e+19,9.4107,1.0043,0.16148,0.72183
C,1.4697e+19,7.9841,0.65668,0.22678,0.52578
C,1.6257e+19,6.03,1.1752,0.30274,0.31802
C,1.5766e+19,19.487,1.6217,0.25069,0.45587
C,1.6134e+19,4.2787,0.37732,0.19523,0.621
C,5.5479e+18,67.741,0.90645,0.25568,0.44168
C,1.1868e+19,36.05,1.5442,0.29689,0.33227
C,8.0897e+18,16.91,0.92819,0.25653,0.43929
C,1.1561e+19,11.369,1.0187,0.24379,0.47574
C,1.4248e+19,13.677,1.4075,0.23154,0.51163
C,1.1227e+19,9.6224,1.2018,0.27041,0.40091
C,9.7495e+18,15.982,0.966,0.26208,0.42376
C,5.7997e+18,14.116,0.19678,0.24219,0.48037
C,1.1777e+19,13.928,1.8209,0.29359,0.34047
C,1.3216e+19,11.157,0.45255,0.20715,0.58487
C,1.3142e+19,10.232,0.68528,0.26228,0.42321
C,1.4672e+19,6.1537,0.60917,0.15816,0.73149
C,8.0735e+18,12.787,0.44728,0.28049,0.37402
C,6.7263e+18,16.413,0.023872,0.29791,0.32975
C,1.3218e+19,17.405,2.3239,0.27082,0.3998
C,8.5405e+18,18.938,0.65977,0.26501,0.41566
C,1.2578e+19,9.0628,0.93153,0.2751,0.3883
C,1.4864e+19,15.515,2.2913,0.24395,0.47526
C,8.0087e+18,32.816,0.79089,0.28447,0.36365
C,1.0642e+19,8.0591,0.19441,0.26904,0.40463
C,1.2961e+19,5.1131,0.56488,0.29669,0.33277
C,1.2556e+19,10.463,1.3895,0.18598,0.64896
C,6.3744e+18,26.037,0.38502,0.26223,0.42335
C,1.0652e+19,8.3748,0.50327,0.20582,0.58889
C,1.2323e+19,13.219,1.3334,0.22704,0.52501
C,1.9583e+19,20.338,2.7791,0.28819,0.3541
C,1.0686e+19,118.02,1.4176,0.29294,0.3421
C,2.4286e+19,4.9919,0.96775,0.11962,0.83623
C,1.2151e+19,10.941,0.96263,0.25374,0.44718
C,1.4434e+19,4.3316,0.48466,0.25609,0.44054
C,1.3465e+19,17.413,1.0347,0.24359,0.47631
C,1.382e+19,10.098,1.0199,0.12449,0.82388
C,2.0464e+19,11.817,2.6047,0.28522,0.36173
C,7.4925e+18,14.575,0.36584,0.26805,0.40733
C,3.1685e+19,6.5894,1.5805,0.28035,0.37438
C,1.3738e+19,13.567,1.5274,0.22201,0.54003
C,1.9678e+19,3.7941,0.53702,0.21681,0.55567
C,1.4145e+19,15.026,1.6903,0.25571,0.4416
C,1.3923e+19,16.747,1.007,0.18086,0.66438
C,1.738e+19,14.074,1.6718,0.29074,0.34763
C,1.0379e+19,13.611,0.85381,0.28162,0.37107
C,1.1337e+19,10.506,0.34333,0.22278,0.53774
C,1.4843e+19,8.3432,0.86461,0.21265,0.56823
C,1.5802e+19,8.5048,1.9249,0.30963,0.30169
C,9.0574e+18,9.7232,0.38428,0.26576,0.4136
C,1.0826e+19,10.208,0.37608,0.28328,0.36674
C,4.5488e+18,28.253,0.14748,0.17711,0.67563
C,1.489e+19,6.5689,1.6393,0.27684,0.38366
C,1.1518e+19,11.729,1.3004,0.30665,0.30868
C,1.0642e+19,6.6439,0.28409,0.28839,0.35358
C,1.1432e+19,12.218,1.0768,0.28547,0.36108
C,1.3524e+19,26.526,1.5896,0.14017,0.78223
C,1.387e+19,8.1372,0.62121,0.28335,0.36656
C,7.0088e+18,27.954,0.63653,0.24692,0.46667
C,1.3157e+19,12.623,1.7569,0.28651,0.35841
C,1.7272e+19,3.2431,0.0027178,0.22509,0.53082
C,1.154e+19,9.1693,0.87457,0.25721,0.43736
C,8.8031e+18,6.4885,0.26468,0.24034,0.48576
C,1.3848e+19,19.891,2.1432,0.2627,0.42206
C,1.0727e+19,12.046,0.88155,0.15196,0.74929
C,1.49e+19,9.1978,1.5704,0.22945,0.51784
C,1.2611e+19,7.0813,0.22711,0.29736,0.33112
C,1.627e+19,4.7577,0.76381,0.28359,0.36593
C,1.1676e+19,7.0891,0.50939,0.21297,0.56726
C,1.8326e+19,14.443,3.1058,0.28713,0.35682
C,1.5697e+19,6.3258,0.24592,0.28264,0.36841
C,2.1278e+19,5.798,1.7872,0.25976,0.43023
C,1.4056e+19,29.025,2.3645,0.20828,0.58143
C,1.4426e+19,18.832,1.6024,0.22036,0.54501
C,1.3892e+19,9.1074,1.1042,0.16712,0.7053
C,1.716e+19,6.9948,0.72401,0.19814,0.61216
C,1.0205e+19,5.3408,0.21328,0.26817,0.40701
C,8.2284e+18,12.955,0.95324,0.30121,0.32171
C,5.637e+18,20.305,0.19524,0.287,0.35715
C,9.4726e+18,18.107,0.52728,0.30577,0.31078
C,2.2758e+19,21.742,3.3201,0.23493,0.50163
C,1.125e+19,12.946,0.84941,0.27991,0.37556
C,1.1845e+19,5.3468,0.28659,0.23767,0.49358
C,1.4509e+19,11.558,2.1279,0.24863,0.46177
C,2.4611e+19,16.145,3.3419,0.25713,0.43761
C,2.5649e+19,37.695,4.3257,0.30543,0.31159
C,1.5671e+19,7.896,1.2858,0.23417,0.50385
C,2.2683e+19,21.806,3.8025,0.24634,0.46836
C,3.0946e+19,21.484,5.1447,0.29091,0.34719
C,2.1604e+19,16.985,3.2955,0.19006,0.63664
C,1.2388e+19,12.991,1.217,0.19314,0.62732
C,9.4062e+18,11.647,0.10288,0.26499,0.41572
C,1.7662e+19,14.615,2.5087,0.16398,0.71454
C,1.4933e+19,25.878,2.5518,0.27015,0.40162
C,6.3403e+18,18.315,0.78602,0.27419,0.39073
C,1.3784e+19,16.724,1.6416,0.2529,0.44957
C,1.6905e+19,9.8574,2.5251,0.18485,0.6524
C,8.06e+18,5.9904,0.033715,0.27301,0.3939
C,1.2134e+19,15.086,1.0482,0.14237,0.77619
C,9.7662e+18,13.624,1.2926,0.30296,0.31749
C,1.9096e+19,3.0569,0.07124,0.17881,0.67054
C,1.529e+19,8.3865,1.0182,0.24788,0.46391
C,1.0581e+19,10.089,0.43886,0.25765,0.43614
C,7.085e+18,14.894,0.57853,0.22929,0.51833
C,1.2288e+19,6.9801,1.3603,0.24496,0.47232
C,6.6552e+18,26.076,0.18414,0.29705,0.33187
C,8.5857e+18,33.232,1.1769,0.29246,0.3433
C,8.8882e+18,13.189,0.42033,0.2789,0.37822
C,1.5032e+19,6.6671,0.60034,0.22276,0.53779
C,1.6677e+19,5.7338,0.88359,0.1976,0.6138
C,6.2421e+18,9.2247,0.16016,0.24064,0.48488
C,6.9073e+18,29.746,0.76039,0.16474,0.71231
C,9.3787e+18,18.905,0.90243,0.2955,0.33572
C,3.8854e+18,43.06,0.21133,0.22066,0.54408
C,1.258e+19,6.5674,0.11823,0.22995,0.51636
C,1.3839e+19,8.2524,0.42939,0.25801,0.43514
C,1.0557e+19,8.1846,0.050654,0.19508,0.62143
C,1.4496e+19,14.952,1.8622,0.1776,0.67416
C,1.4986e+19,8.0608,1.3491,0.28869,0.35283
C,1.5955e+19,6.2462,1.2857,0.2471,0.46615
C,1.8413e+19,11.367,2.08,0.23083,0.51375
C,1.0625e+19,9.5603,0.43416,0.3,0.32464
C,1.5653e+19,16.001,1.3419,0.29225,0.34383
C,1.0238e+19,8.025,0.19166,0.28879,0.35258
C,2.012e+19,5.9489,1.4913,0.28587,0.36005
C,8.3062e+18,17.285,0.44648,0.1408,0.7805
C,1.5994e+19,6.4829,1.0209,0.29534,0.33612
C,1.6063e+19,12.387,1.4965,0.29418,0.339
C,1.3901e+19,12.43,0.78753,0.14506,0.76873
C,2.0636e+19,9.65,2.4154,0.21499,0.56114
C,1.3555e+19,6.1849,1.1335,0.30668,0.30861
C,1.1887e+19,6.7527,0.51101,0.27557,0.38704
C,1.7404e+19,20.945,3.7045,0.31014,0.30048
C,1.7434e+19,20.77,2.6343,0.11163,0.85577
C,1.2122e+19,7.0237,0.51304,0.26533,0.41478
C,2.4553e+19,2.7977,0.15388,0.25126,0.45424
C,9.0025e+18,17.59,0.43895,0.31018,0.30039
C,1.5499e+19,12.09,1.8654,0.28737,0.35621
C,1.0197e+19,10.898,0.4323,0.23961,0.4879
C,1.7481e+19,7.6637,0.67693,0.30144,0.32117
C,1.37e+19,7.8836,2.0389,0.23997,0.48684
C,2.1668e+19,9.46,2.4868,0.21666,0.55612
C,3.1447e+19,19.396,4.4697,0.27101,0.3993
C,8.8065e+18,31.812,1.1339,0.30099,0.32224
C,1.3124e+19,12.425,1.5472,0.12451,0.82384
C,6.8566e+18,21.427,0.57314,0.24135,0.48281
C,1.6653e+19,14.272,1.5699,0.20957,0.57752
C,7.7108e+18,15.451,0.81812,0.235,0.50143
C,1.2686e+19,6.7131,0.2815,0.27151,0.39794
C,1.1642e+19,6.6855,0.28848,0.16535,0.71053
C,2.8063e+19,22.942,5.819,0.27508,0.38835
C,1.6259e+19,7.4576,1.4476,0.22211,0.53973
C,1.6209e+19,10.216,1.5643,0.2352,0.50084
C,1.5866e+19,9.1163,1.7395,0.22253,0.53849
C,4.8895e+18,16.881,0.22284,0.25566,0.44175
C,4.9952e+18,31.758,0.40827,0.22251,0.53855
C,1.1776e+19,12.845,0.92321,0.29015,0.34912
C,1.2357e+19,12.385,1.1869,0.25647,0.43946
C,9.6742e+18,12.199,0.46768,0.27221,0.39604
C,1.6576e+19,14.565,1.9609,0.17732,0.675
C,1.022e+19,10.926,0.51207,0.23987,0.48712
C,1.4206e+19,10.868,1.7821,0.2704,0.40093
C,1.2292e+19,6.1691,0.28616,0.309,0.30316
C,1.2496e+19,14.034,0.66945,0.27447,0.38998
C,7.3067e+18,24.691,0.7194,0.25326,0.44855
C,9.2241e+18,15.712,0.31338,0.30434,0.31417
C,1.4683e+19,9.5344,1.0655,0.30548,0.31147
C,1.5716e+19,6.5169,1.165,0.24014,0.48635
C,1.3621e+19,9.3073,1.2022,0.30974,0.30143
C,1.6336e+19,13.723,1.3797,0.22322,0.5364
C,1.3584e+19,3.6836,0.055374,0.27553,0.38713
C,1.2094e+19,11.421,1.0609,0.27785,0.38097
C,1.5304e+19,11.213,1.6782,0.12128,0.83204
C,4.8891e+18,31.852,0.28435,0.2839,0.36513
C,1.6195e+19,3.7661,0.1203,0.21468,0.56209
C,9.0111e+18,34.089,0.8653,0.30948,0.30203
C,1.6272e+19,17.323,2.7102,0.24502,0.47216
C,9.462e+18,6.467,0.094937,0.13253,0.80288
C,2.1233e+19,10.649,2.0114,0.15037,0.75379
C,7.6969e+18,14.784,0.77151,0.27891,0.37819
C,1.2493e+19,7.4789,0.30681,0.23692,0.49577
C,9.7424e+18,8.3101,0.13182,0.30021,0.32414
C,1.7757e+19,3.7986,0.39395,0.29809,0.32933
C,1.1005e+19,14.329,0.92256,0.23707,0.49534
C,1.213e+19,6.7804,0.058678,0.24093,0.48403
C,1.3378e+19,6.514,1.0297,0.26377,0.41909
C,8.6007e+18,13.135,0.58643,0.23972,0.48758
C,7.5359e+18,36.481,0.76161,0.30106,0.32209
C,1.3866e+19,6.2065,0.74625,0.28654,0.35832
C,1.6939e+19,3.9009,0.15103,0.26231,0.42314
C,2.1559e+19,17.173,3.3319,0.27276,0.39456
C,2.1473e+19,21.666,3.3683,0.19134,0.63277
C,2.3345e+19,8.0468,2.189,0.28009,0.37508
C,9.3257e+18,12.001,0.74981,0.30262,0.31831
C,1.4913e+19,19.497,2.6021,0.21974,0.54687
C,2.6779e+19,29.52,4.2899,0.30729,0.30718
C,1.463e+19,14.249,1.7941,0.22239,0.5389
C,8.1004e+18,13.222,0.56102,0.20602,0.58829
C,1.0275e+19,8.6176,0.61371,0.14527,0.76815
C,1.2212e+19,4.8059,0.020678,0.28939,0.35104
C,1.7351e+19,4.7416,0.58769,0.20522,0.5907
C,1.3839e+19,14.24,1.4027,0.29221,0.34393
C,7.3394e+18,18.834,0.62106,0.26195,0.42413
C,7.5334e+18,8.7411,0.12634,0.21524,0.56039
C,1.27e+19,10.858,1.4626,0.23807,0.4924
C,2.1827e+19,14.976,3.1061,0.24733,0.46551
C,1.5022e+19,5.4802,0.37079,0.18771,0.64374
C,1.212e+19,9.7856,0.38114,0.25569,0.44167
C,2.6413e+19,4.3553,1.3886,0.17471,0.68279
C,3.1643e+19,1.6465,0.14585,0.2919,0.34469
C,2.4082e+19,3.1061,0.091179,0.30205,0.31968
C,1.1032e+19,6.2642,0.29532,0.13242,0.80318
C,1.0641e+19,33.402,1.8931,0.23132,0.51228
C,1.0092e+19,11.531,0.25838,0.2473,0.4656
C,1.868e+19,13.651,2.2333,0.23304,0.50721
C,1.1465e+19,19.304,2.1958,0.29342,0.34089
C,1.6687e+19,9.7188,1.2809,0.15534,0.7396
C,1.2863e+19,6.6635,1.1779,0.30903,0.30309
C,3.8262e+18,18.68,0.024639,0.1915,0.63228
C,1.9906e+19,3.898,0.47246,0.30779,0.30598
C,9.5374e+18,15.957,0.84308,0.24005,0.4866
C,9.7646e+18,29.612,1.4428,0.27021,0.40145
C,1.378e+19,7.2056,0.95139,0.21473,0.56194
C,1.5026e+19,11.012,1.3991,0.1937,0.62563
C,1.0855e+19,67.457,1.5416,0.28901,0.35202
C,1.4009e+19,46.733,2.2698,0.27849,0.37929
C,2.0382e+19,6.7585,1.0649,0.30862,0.30405
C,1.5058e+19,4.1514,0.29938,0.27203,0.39653
C,1.3159e+19,12.841,0.7786,0.16406,0.71432
C,1.6135e+19,13.163,2.2875,0.20001,0.6065
C,1.4542e+19,11.416,1.4761,0.25477,0.44427
C,6.7995e+18,15.828,0.13856,0.30245,0.31872
C,1.0286e+19,6.8364,0.65138,0.28993,0.34969
C,1.6853e+19,7.4936,0.39488,0.2443,0.47426
C,1.1013e+19,16.619,1.3057,0.30611,0.30996
C,6.5641e+18,28.395,0.47055,0.25278,0.44989
C,1.1762e+19,7.1455,0.70135,0.16609,0.70836
C,1.5996e+19,6.5183,0.57015,0.26785,0.40786
C,1.1825e+19,9.0749,0.83968,0.26119,0.42624
C,1.8751e+19,19.839,2.33,0.30721,0.30735
C,8.4474e+18,12.574,0.95571,0.26216,0.42356
C,1.0787e+19,8.7364,0.68503,0.26849,0.40613
C,6.0179e+18,40.212,1.4498,0.28831,0.3538
C,1.7021e+19,31.86,3.5931,0.1646,0.71274
C,1.2079e+19,11.919,0.43514,0.22517,0.53059
C,1.7022e+19,5.5743,0.65973,0.21148,0.57176
C,1.656e+19,12.908,1.447,0.10956,0.86066
C,2.7072e+19,13.138,3.6499,0.25282,0.44978
C,1.4667e+19,14.486,1.9578,0.25626,0.44006
C,7.6675e+18,19.916,1.0189,0.19376,0.62545
C,1.4262e+19,6.8305,0.76017,0.26956,0.40321
C,9.2667e+18,11.831,0.40086,0.28808,0.35439
C,1.3302e+19,8.3864,0.65015,0.19038,0.63568
C,1.9167e+19,9.7306,1.3295,0.28848,0.35336
C,1.4332e+19,16.438,1.9563,0.27277,0.39453
C,6.4297e+18,24.776,0.39267,0.29322,0.34138
C,1.0579e+19,12.712,1.281,0.23028,0.51537
C,1.2373e+19,5.1444,0.49667,0.30316,0.31701
C,1.3268e+19,20.792,1.8979,0.29356,0.34054
C,1.3042e+19,9.5528,1.4534,0.30655,0.30893
C,1.6724e+19,13.785,1.1881,0.15033,0.7539
C,6.7205e+18,18.153,0.70176,0.28865,0.35294
C,1.2745e+19,7.1018,0.30452,0.26518,0.41519
C,8.359e+18,15.761,0.98747,0.26841,0.40635
C,7.8604e+18,12.266,0.37638,0.20499,0.59139
C,7.2978e+18,9.2379,0.42123,0.26253,0.42253
C,1.1507e+19,12.383,0.47088,0.25114,0.45457
C,9.2596e+18,12.181,0.28064,0.23995,0.48691
C,1.0627e+19,10.061,1.121,0.20973,0.57705
C,1.2308e+19,7.1009,0.13067,0.29608,0.33427
C,8.3172e+18,40.374,0.8563,0.26874,0.40544
C,1.6508e+19,12.632,1.456,0.15432,0.74253
C,8.1715e+18,8.312,0.24158,0.28896,0.35215
C,1.1928e+19,6.6146,0.20946,0.28025,0.37464
C,1.5997e+19,13.488,1.8677,0.30422,0.31448
C,1.6981e+19,4.5259,0.50443,0.257,0.43795
C,1.4783e+19,9.8577,0.55445,0.28601,0.3597
C,1.6555e+19,35.804,2.5976,0.26564,0.41393
C,8.7626e+18,24.357,0.69305,0.29339,0.34095
C,1.3892e+19,4.5407,0.19087,0.20157,0.60178
C,1.3224e+19,6.3685,0.77621,0.25409,0.4462
C,9.7982e+18,13.335,1.4353,0.16067,0.72421
C,6.8796e+18,8.0918,0.23564,0.28871,0.35278
C,1.5152e+19,24.604,2.1117,0.22297,0.53718
C,7.5801e+18,10.565,0.063986,0.29844,0.32847
C,1.138e+19,14.878,1.2854,0.2094,0.57805
C,1.1848e+19,11.928,0.639,0.29783,0.32995
C,1.0068e+19,6.6375,0.032841,0.15635,0.7367
C,1.4804e+19,10.307,1.086,0.23684,0.49599
C,1.4232e+19,6.5391,0.86611,0.29486,0.3373
C,1.9314e+19,9.8479,1.2274,0.3019,0.32004
C,1.49e+19,5.6366,0.2393,0.28595,0.35984
