seagrass_area_km2,grid_center_latitude_deg,grid_center_longitude_deg
6.6729,40.5,28.5
6.6708,-1.5,99.5
6.6638,40.5,-72.5
6.6596,-0.5,98.5
6.6468,-4.5,118.5
6.6448,-3.5,135.5
6.6379,-5.5,-36.5
6.6081,0.5,129.5
6.5823,3.5,107.5
6.5776,-2.5,135.5
6.5680,-4.5,154.5
6.5601,-3.5,121.5
6.5319,-5.5,159.5
6.5045,-23.5,150.5
6.4744,61.5,17.5
6.4362,36.5,8.5
6.4039,0.5,127.5
6.3913,-10.5,39.5
6.3867,10.5,-75.5
6.3777,36.5,32.5
6.3692,-20.5,163.5
6.1412,0.5,123.5
6.1243,-16.5,45.5
6.1168,49.5,-6.5
6.1121,-2.5,121.5
6.1094,58.5,17.5
6.0955,55.5,-159.5
6.0723,-34.5,23.5
6.0268,-2.5,122.5
6.0214,-32.5,132.5
6.0125,0.5,118.5
6.0049,-19.5,-178.5
59.7108,2.5,118.5
59.5953,-22.5,35.5
59.3363,18.5,-78.5
583.8718,24.5,-79.5
58.9365,48.5,-3.5
58.4210,39.5,20.5
58.0110,-24.5,113.5
57.9250,37.5,25.5
57.8604,40.5,24.5
57.8380,45.5,12.5
57.7292,43.5,-65.5
57.1354,-7.5,121.5
56.5861,62.5,6.5
56.3808,-11.5,135.5
56.0552,-13.5,125.5
55.9588,-42.5,147.5
55.9079,39.5,9.5
55.8737,-18.5,178.5
55.8470,8.5,126.5
55.5780,-40.5,145.5
55.4296,-5.5,120.5
55.3833,42.5,-8.5
55.2470,58.5,21.5
55.1822,26.5,-113.5
543.5718,24.5,-75.5
54.9398,46.5,-62.5
54.9218,-11.5,142.5
54.5170,39.5,52.5
54.1748,6.5,121.5
539.7494,-34.5,138.5
53.2652,10.5,119.5
52.2168,-16.5,122.5
5117.3530,23.5,-76.5
51.7956,37.5,21.5
51.6266,-12.5,143.5
51.4217,45.5,13.5
51.3766,44.5,-63.5
51.2174,59.5,-2.5
51.1703,9.5,118.5
51.0369,-14.5,47.5
50.9619,17.5,-67.5
50.8638,-4.5,119.5
50.6656,38.5,24.5
50.4135,40.5,8.5
50.3602,9.5,123.5
50.1017,49.5,-62.5
50.0026,30.5,-85.5
5.9958,41.5,32.5
5.9726,-1.5,121.5
5.9553,10.5,121.5
5.9522,6.5,126.5
5.9516,62.5,-75.5
5.8982,6.5,93.5
5.8908,44.5,13.5
5.8861,-9.5,159.5
5.8506,-5.5,154.5
5.8358,36.5,4.5
5.7913,43.5,17.5
5.7818,45.5,29.5
5.7517,46.5,-59.5
5.7393,-8.5,-34.5
5.7016,-18.5,121.5
5.6947,59.5,27.5
5.6736,15.5,145.5
5.6570,25.5,37.5
5.6117,32.5,-117.5
5.5945,-5.5,124.5
5.5894,35.5,12.5
5.5806,24.5,-111.5
5.5727,50.5,-5.5
5.5337,7.5,126.5
5.5328,-2.5,118.5
5.5031,49.5,-65.5
5.5008,-39.5,143.5
5.4913,19.5,40.5
5.4523,58.5,-154.5
5.3990,-13.5,129.5
5.3406,58.5,-135.5
5.3068,-13.5,40.5
5.2851,5.5,125.5
5.2366,43.5,8.5
5.2351,-37.5,145.5
5.2159,26.5,-111.5
5.2002,36.5,5.5
5.1698,3.5,73.5
5.1655,50.5,-4.5
5.1622,57.5,22.5
5.1235,-5.5,147.5
5.0852,-3.5,108.5
5.0741,10.5,118.5
5.0721,9.5,122.5
5.0464,14.5,120.5
5.0387,17.5,41.5
497.8109,-34.5,137.5
49.9608,48.5,-58.5
49.9222,-16.5,178.5
49.7589,-9.5,47.5
49.3549,16.5,-87.5
48.9330,47.5,-2.5
48.7795,32.5,12.5
48.6262,13.5,122.5
48.3290,-35.5,138.5
48.3173,50.5,-66.5
48.2816,26.5,-76.5
47.9772,-22.5,114.5
47.8667,57.5,11.5
47.6597,53.5,-9.5
47.2172,48.5,-64.5
47.0300,14.5,-60.5
463.5376,34.5,11.5
4624.6635,22.5,-77.5
46.7837,0.5,117.5
46.5016,47.5,-122.5
46.4797,-20.5,57.5
46.4651,11.5,120.5
46.2540,1.5,104.5
46.0527,-35.5,117.5
453.9253,17.5,-87.5
45.7310,-2.5,107.5
45.2276,36.5,-2.5
45.2227,40.5,25.5
45.1937,45.5,36.5
45.0919,3.5,108.5
45.0051,-13.5,143.5
44.6570,-12.5,49.5
44.2315,20.5,-74.5
44.0734,36.5,24.5
430.7720,21.5,-77.5
43.7969,59.5,23.5
43.7338,45.5,-62.5
43.6901,-21.5,-175.5
43.5945,-33.5,122.5
43.3269,-23.5,151.5
43.0678,49.5,-63.5
422.5523,21.5,-78.5
42.8047,49.5,-64.5
42.7626,-15.5,46.5
42.6787,9.5,78.5
42.5499,63.5,9.5
42.5217,-3.5,107.5
42.4830,-1.5,134.5
42.3962,-10.5,152.5
42.3142,56.5,12.5
42.2805,-16.5,-179.5
42.1315,42.5,10.5
4185.2625,23.5,-77.5
418.4566,24.5,53.5
41.6801,19.5,-81.5
41.6775,-5.5,118.5
41.6627,38.5,-0.5
41.5619,47.5,-61.5
41.5521,49.5,-54.5
41.0563,-32.5,152.5
407.1159,-32.5,133.5
403.8881,-9.5,143.5
40.9665,17.5,-64.5
40.8770,-11.5,131.5
40.4054,-11.5,151.5
40.3268,70.5,25.5
40.2823,-9.5,146.5
40.1802,0.5,131.5
40.0699,55.5,-160.5
40.0211,11.5,-15.5
4.9602,-7.5,125.5
4.9410,50.5,-56.5
4.9330,50.5,-1.5
4.9168,57.5,-6.5
4.9092,-19.5,-174.5
4.8957,-43.5,146.5
4.8795,-1.5,108.5
4.8755,11.5,165.5
4.8663,-1.5,127.5
4.8443,50.5,-3.5
4.8417,47.5,-66.5
4.8414,43.5,-66.5
4.8194,42.5,-70.5
4.7868,42.5,52.5
4.7859,26.5,33.5
4.7699,9.5,121.5
4.7678,63.5,19.5
4.7584,30.5,-88.5
4.7583,14.5,42.5
4.7556,34.5,134.5
4.7353,-2.5,124.5
4.6786,12.5,-70.5
4.6254,9.5,120.5
4.6080,-16.5,39.5
4.6078,-11.5,141.5
4.5913,8.5,171.5
4.5822,0.5,103.5
4.5783,-6.5,-34.5
4.5763,0.5,128.5
4.5616,-21.5,166.5
4.5522,7.5,125.5
4.5471,3.5,72.5
4.5466,66.5,13.5
4.5365,0.5,121.5
4.5334,-7.5,159.5
4.5296,-9.5,151.5
4.5008,34.5,24.5
4.4976,54.5,-10.5
4.4940,-5.5,127.5
4.4755,9.5,169.5
4.4645,-5.5,106.5
4.4523,32.5,34.5
4.4439,-17.5,146.5
4.4281,35.5,35.5
4.4092,35.5,139.5
4.3958,-13.5,167.5
4.3917,16.5,52.5
4.3882,39.5,22.5
4.3835,58.5,6.5
4.3753,44.5,15.5
4.3727,13.5,41.5
4.3607,9.5,-76.5
4.3559,47.5,-123.5
4.3530,19.5,93.5
4.3118,15.5,121.5
4.3005,10.5,45.5
4.2984,20.5,92.5
4.2971,40.5,29.5
4.2769,56.5,-7.5
4.2727,36.5,14.5
4.2679,40.5,-8.5
4.2612,41.5,30.5
4.2494,50.5,-125.5
4.2196,69.5,19.5
4.2106,22.5,36.5
4.2027,54.5,-130.5
4.1926,18.5,-70.5
4.1920,46.5,-53.5
4.1840,43.5,-5.5
4.1683,24.5,-112.5
4.1667,-6.5,110.5
4.1247,24.5,123.5
4.1184,19.5,109.5
4.0759,59.5,21.5
4.0558,17.5,120.5
4.0308,59.5,-139.5
4.0277,61.5,-72.5
4.0043,-13.5,50.5
39.8675,-8.5,117.5
39.8068,55.5,9.5
39.7935,9.5,125.5
39.7880,-13.5,126.5
39.7546,6.5,120.5
39.5040,-14.5,144.5
39.4934,65.5,35.5
39.3996,59.5,22.5
39.3079,-19.5,63.5
39.3039,-10.5,122.5
39.1577,-14.5,145.5
39.0730,59.5,25.5
39.0469,40.5,17.5
385.4370,54.5,11.5
380.5771,26.5,50.5
38.5584,-34.5,116.5
38.3570,-33.5,151.5
3796.7841,25.5,-78.5
3767.3371,23.5,-78.5
376.9069,22.5,-74.5
375.2331,-8.5,150.5
373.3360,19.5,-90.5
37.9627,-4.5,120.5
37.8270,45.5,-61.5
37.7735,-1.5,174.5
37.3260,37.5,10.5
37.1724,1.5,124.5
37.1490,-0.5,104.5
37.0753,-22.5,43.5
37.0678,35.5,33.5
37.0262,-8.5,130.5
36.9883,1.5,118.5
36.9254,19.5,-71.5
36.9042,-2.5,150.5
36.8299,34.5,-76.5
36.7869,37.5,27.5
36.5973,-12.5,136.5
36.5385,11.5,50.5
36.5256,-22.5,166.5
36.4442,12.5,53.5
36.2851,-10.5,120.5
36.2046,-15.5,45.5
36.2023,11.5,119.5
36.1642,8.5,123.5
358.6912,-25.5,114.5
356.6977,-31.5,115.5
354.2211,19.5,-87.5
353.2036,-21.5,115.5
35.9219,-8.5,123.5
35.2895,18.5,-67.5
35.2592,44.5,-64.5
35.2557,-10.5,147.5
35.2359,11.5,124.5
35.1899,-8.5,120.5
35.1211,48.5,-53.5
3413.5515,26.5,-77.5
34.9460,49.5,-61.5
34.7597,-11.5,136.5
34.7235,25.5,36.5
34.7109,17.5,-66.5
34.6382,29.5,-85.5
34.5862,59.5,24.5
34.5295,-1.5,123.5
34.4954,36.5,-5.5
34.4468,60.5,164.5
34.4166,49.5,-122.5
34.3642,-0.5,174.5
34.2479,13.5,121.5
333.9980,-32.5,115.5
33.9912,23.5,-74.5
33.9212,37.5,9.5
33.8338,-7.5,118.5
33.7884,55.5,-163.5
33.7623,51.5,-56.5
33.6918,-10.5,148.5
33.3534,-8.5,119.5
33.2291,-13.5,49.5
33.1945,10.5,-63.5
33.1052,57.5,12.5
3219.6328,22.5,-82.5
320.4761,-38.5,146.5
32.9885,0.5,104.5
32.8054,-23.5,113.5
32.5941,5.5,121.5
32.5867,60.5,165.5
32.4792,43.5,5.5
32.4327,-7.5,130.5
32.4014,-9.5,142.5
32.1339,56.5,9.5
32.0612,50.5,-63.5
32.0444,10.5,104.5
316.6010,21.5,-88.5
313.8660,46.5,31.5
31.6541,1.5,103.5
31.6393,54.5,-5.5
31.4038,32.5,14.5
31.3611,13.5,124.5
31.3490,57.5,-5.5
31.3260,11.5,92.5
31.1986,-8.5,121.5
31.1168,-9.5,46.5
31.1019,16.5,120.5
309.3287,-35.5,137.5
308.8369,27.5,49.5
30.9003,10.5,98.5
30.8337,39.5,53.5
30.7867,51.5,4.5
30.7228,-40.5,172.5
30.6158,-0.5,135.5
30.3950,30.5,19.5
30.3901,-20.5,149.5
30.2075,18.5,-71.5
30.1488,-8.5,116.5
30.1361,-3.5,130.5
30.0638,54.5,18.5
3.9996,2.5,96.5
3.9927,55.5,-2.5
3.9910,34.5,35.5
3.9662,16.5,40.5
3.9009,14.5,124.5
3.9000,41.5,29.5
3.8960,4.5,72.5
3.8824,57.5,-152.5
3.8762,64.5,11.5
3.8554,41.5,-72.5
3.8065,31.5,25.5
3.7880,-2.5,120.5
3.7696,56.5,-156.5
3.7642,10.5,99.5
3.7616,51.5,-10.5
3.7495,-2.5,110.5
3.7262,50.5,-126.5
3.7196,-25.5,-48.5
3.6892,-0.5,73.5
3.6673,9.5,-79.5
3.6570,57.5,-1.5
3.6070,-6.5,71.5
3.5994,43.5,-124.5
3.5960,71.5,24.5
3.5935,53.5,6.5
3.5660,11.5,169.5
3.5562,7.5,171.5
3.5472,54.5,137.5
3.5448,21.5,-80.5
3.5131,19.5,-73.5
3.5043,46.5,-2.5
3.4737,26.5,36.5
3.4703,6.5,115.5
3.4663,6.5,171.5
3.4639,40.5,15.5
3.4589,-26.5,-48.5
3.4446,38.5,15.5
3.4442,41.5,16.5
3.4350,-12.5,130.5
3.4179,39.5,17.5
3.3999,0.5,119.5
3.3936,-0.5,119.5
3.3846,11.5,167.5
3.3702,-10.5,162.5
3.3399,-1.5,146.5
3.3361,-36.5,150.5
3.3322,5.5,162.5
3.3312,57.5,-2.5
3.3289,-4.5,152.5
3.3221,54.5,-163.5
3.3161,24.5,125.5
3.3117,12.5,-81.5
3.3041,41.5,31.5
3.2873,-19.5,163.5
3.2801,-18.5,-179.5
3.2785,12.5,52.5
3.2768,2.5,109.5
3.2765,-12.5,160.5
3.2597,57.5,-158.5
3.2582,4.5,120.5
3.2567,63.5,7.5
3.2310,41.5,35.5
3.2016,54.5,-4.5
3.1997,-3.5,106.5
3.1827,-17.5,43.5
3.1623,-5.5,155.5
3.1608,-5.5,110.5
3.1478,60.5,-69.5
3.1258,20.5,110.5
3.0911,7.5,118.5
3.0848,10.5,97.5
3.0691,7.5,168.5
3.0664,-38.5,142.5
3.0629,12.5,-67.5
3.0582,-0.5,120.5
3.0456,-20.5,-174.5
3.0398,49.5,-1.5
3.0380,-7.5,128.5
3.0204,-31.5,129.5
3.0188,45.5,38.5
296.7150,28.5,48.5
296.0765,53.5,142.5
2936.6620,24.5,-76.5
29.9762,-6.5,118.5
29.9088,46.5,34.5
29.4572,-11.5,152.5
29.2966,-37.5,176.5
29.2734,20.5,-73.5
29.1511,60.5,28.5
29.1127,48.5,-65.5
29.0363,13.5,120.5
29.0244,-18.5,177.5
288.7638,-6.5,134.5
288.0160,9.5,80.5
286.2618,34.5,10.5
283.3372,55.5,12.5
28.9857,18.5,-72.5
28.9089,-11.5,132.5
28.9027,-20.5,166.5
28.8361,58.5,11.5
28.8358,-32.5,128.5
28.7098,62.5,21.5
28.5117,17.5,-76.5
28.4991,-37.5,147.5
28.4635,28.5,-114.5
28.3291,9.5,-75.5
28.2675,58.5,24.5
28.2315,43.5,3.5
28.2004,35.5,24.5
28.0670,48.5,-68.5
2780.5220,24.5,-77.5
274.3983,25.5,50.5
271.4445,4.5,119.5
270.3080,55.5,11.5
27.9611,47.5,-3.5
27.9309,16.5,-86.5
27.9103,-8.5,122.5
27.8162,55.5,14.5
27.8128,55.5,-4.5
27.7254,-5.5,117.5
27.7021,67.5,12.5
27.6577,57.5,10.5
27.5388,20.5,-75.5
27.4651,21.5,-97.5
27.4268,29.5,-82.5
27.3479,9.5,-81.5
27.2051,-9.5,120.5
27.1677,36.5,10.5
27.1657,55.5,13.5
27.0626,-34.5,172.5
267.1724,24.5,-78.5
262.7006,24.5,-97.5
260.7544,26.5,-82.5
26.9876,8.5,93.5
26.8766,-42.5,148.5
26.7617,54.5,9.5
26.7491,56.5,-6.5
26.6509,-10.5,150.5
26.5172,-17.5,179.5
26.4850,60.5,163.5
26.4352,-3.5,133.5
26.4163,51.5,3.5
26.4004,-2.5,134.5
26.3144,17.5,94.5
26.2943,22.5,-97.5
26.2414,-1.5,136.5
26.2345,12.5,124.5
26.2311,36.5,35.5
26.0383,10.5,125.5
258.2642,17.5,-77.5
255.5536,-5.5,123.5
251.9751,-29.5,114.5
25.9490,-12.5,44.5
25.8862,32.5,24.5
25.8330,-5.5,38.5
25.8222,28.5,-80.5
25.8096,-4.5,55.5
25.7898,49.5,-53.5
25.7380,31.5,17.5
25.6807,-0.5,131.5
25.6756,26.5,51.5
25.5525,12.5,-61.5
25.3857,-7.5,120.5
25.3488,35.5,32.5
25.3433,-16.5,145.5
25.3152,44.5,14.5
25.1944,9.5,-82.5
25.0928,38.5,8.5
25.0607,55.5,8.5
25.0550,9.5,126.5
248.0676,-5.5,134.5
247.6739,27.5,-79.5
247.4406,26.5,-97.5
242.9447,-11.5,40.5
2406.2780,22.5,-83.5
24.9671,17.5,-62.5
24.8758,-13.5,47.5
24.7800,6.5,122.5
24.6224,-17.5,119.5
24.6067,69.5,15.5
24.5621,42.5,8.5
24.5501,59.5,163.5
24.5498,47.5,-4.5
24.4808,45.5,-63.5
24.4373,47.5,-53.5
24.4253,21.5,-73.5
24.4223,-37.5,175.5
24.4199,43.5,7.5
24.3374,9.5,138.5
24.1901,18.5,-74.5
24.0947,7.5,93.5
24.0863,37.5,-1.5
24.0456,31.5,16.5
24.0443,39.5,18.5
237.8296,46.5,33.5
236.7172,46.5,49.5
236.5197,-32.5,134.5
236.4729,-34.5,135.5
23.9479,11.5,49.5
23.9067,7.5,99.5
23.7597,27.5,33.5
23.7481,12.5,44.5
23.6771,10.5,-64.5
23.6313,-1.5,128.5
23.6300,23.5,-15.5
23.5779,39.5,-74.5
23.4571,38.5,12.5
23.4406,11.5,125.5
23.4336,-37.5,144.5
23.3531,-7.5,-34.5
23.2776,12.5,121.5
23.1064,-12.5,45.5
2281.4300,21.5,-81.5
228.3443,-38.5,145.5
226.1808,39.5,3.5
223.4863,-12.5,40.5
22.9827,57.5,-155.5
22.8842,29.5,32.5
22.8791,0.5,73.5
22.8589,-28.5,114.5
22.8327,12.5,92.5
22.7847,-5.5,114.5
22.7552,6.5,158.5
22.7141,36.5,22.5
22.6878,-1.5,124.5
22.6117,38.5,23.5
22.5956,14.5,123.5
22.5744,46.5,-124.5
22.4727,-36.5,174.5
22.1296,-2.5,106.5
22.0732,56.5,-157.5
22.0486,36.5,26.5
22.0304,24.5,-110.5
22.0254,-4.5,-37.5
218.9347,30.5,-84.5
218.0547,-16.5,179.5
216.1091,21.5,-84.5
212.3645,-30.5,115.5
2114.1077,22.5,-78.5
211.9864,10.5,124.5
211.1608,23.5,-81.5
210.8761,-32.5,137.5
21.9782,19.5,-70.5
21.9170,-17.5,178.5
21.8594,58.5,-3.5
21.8583,-38.5,141.5
21.7683,-8.5,131.5
21.6314,-4.5,123.5
21.5897,-17.5,177.5
21.5807,56.5,-5.5
21.4699,39.5,4.5
21.4638,20.5,-87.5
21.2495,-24.5,151.5
21.2406,47.5,-54.5
21.2285,40.5,18.5
21.2110,43.5,-7.5
21.2017,50.5,-57.5
21.1044,23.5,52.5
21.0637,42.5,3.5
21.0303,11.5,103.5
207.3602,5.5,120.5
2036.1894,27.5,-78.5
20.9935,32.5,23.5
20.9870,38.5,13.5
20.9772,-2.5,40.5
20.9424,-8.5,115.5
20.9175,23.5,119.5
20.8177,53.5,11.5
20.7165,-3.5,39.5
20.6550,45.5,32.5
20.6208,49.5,-67.5
20.6074,-41.5,146.5
20.5833,49.5,-123.5
20.4208,56.5,-153.5
20.4154,14.5,-80.5
20.3096,-8.5,160.5
20.2874,-1.5,144.5
20.2747,-18.5,179.5
20.2449,32.5,15.5
20.2227,40.5,0.5
20.2205,34.5,32.5
20.2102,59.5,10.5
20.1866,-12.5,123.5
20.1351,35.5,-2.5
20.0785,-3.5,131.5
2.9973,-29.5,153.5
2.9864,56.5,-158.5
2.9779,-0.5,129.5
2.9726,51.5,0.5
2.9702,8.5,134.5
2.9646,11.5,48.5
2.9470,36.5,-1.5
2.9314,-32.5,-52.5
2.9147,-19.5,164.5
2.9147,11.5,-67.5
2.9090,-38.5,147.5
2.8886,1.5,127.5
2.8799,58.5,9.5
2.8708,-6.5,129.5
2.8677,18.5,120.5
2.8524,18.5,-69.5
2.8452,4.5,107.5
2.8415,-22.5,165.5
2.8387,42.5,16.5
2.8192,41.5,-69.5
2.8040,44.5,33.5
2.8024,37.5,6.5
2.8018,15.5,39.5
2.7609,32.5,22.5
2.7409,50.5,-62.5
2.7251,57.5,-133.5
2.7172,14.5,43.5
2.7156,44.5,35.5
2.7141,60.5,25.5
2.7112,55.5,-3.5
2.7093,54.5,17.5
2.7069,-2.5,108.5
2.6912,36.5,29.5
2.6838,64.5,24.5
2.6829,-6.5,114.5
2.6823,35.5,132.5
2.6764,29.5,50.5
2.6722,67.5,15.5
2.6658,8.5,81.5
2.6568,-36.5,175.5
2.6521,-7.5,134.5
2.6417,42.5,35.5
2.6407,11.5,-64.5
2.6402,20.5,-17.5
2.6355,42.5,11.5
2.6334,43.5,-2.5
2.5997,-6.5,112.5
2.5948,-6.5,148.5
2.5707,-18.5,-173.5
2.5702,43.5,-9.5
2.5309,-36.5,137.5
2.5169,40.5,13.5
2.5165,-2.5,129.5
2.5143,-1.5,145.5
2.5118,21.5,109.5
2.5099,53.5,10.5
2.5071,-16.5,177.5
2.5023,-20.5,117.5
2.4964,-33.5,18.5
2.4909,40.5,120.5
2.4864,-4.5,155.5
2.4862,11.5,98.5
2.4727,-6.5,105.5
2.4485,13.5,-61.5
2.4416,48.5,-5.5
2.4375,10.5,120.5
2.4274,-4.5,151.5
2.4272,-6.5,124.5
2.4207,50.5,-0.5
2.4183,61.5,-71.5
2.4117,9.5,170.5
2.3953,21.5,37.5
2.3928,9.5,160.5
2.3912,52.5,-10.5
2.3901,36.5,1.5
2.3880,-0.5,128.5
2.3876,15.5,-86.5
2.3698,60.5,20.5
2.3556,46.5,-54.5
2.3493,-43.5,172.5
2.3274,60.5,29.5
2.3215,-2.5,125.5
2.3205,-3.5,126.5
2.3040,9.5,167.5
2.2841,26.5,53.5
2.2807,34.5,131.5
2.2750,-27.5,-70.5
2.2701,2.5,72.5
2.2637,58.5,18.5
2.2599,65.5,37.5
2.2552,12.5,-72.5
2.2500,-31.5,131.5
2.2386,53.5,-4.5
2.2260,-2.5,151.5
2.2256,44.5,136.5
2.2200,-6.5,132.5
2.2180,-0.5,130.5
2.2153,19.5,-76.5
2.2127,19.5,-96.5
2.2111,-27.5,-48.5
2.1982,31.5,27.5
2.1914,10.5,126.5
2.1863,36.5,7.5
2.1535,10.5,-61.5
2.1503,-9.5,124.5
2.1436,-9.5,153.5
2.1381,60.5,-146.5
2.1332,12.5,101.5
2.1281,8.5,106.5
2.1272,-15.5,47.5
2.1264,12.5,-83.5
2.1249,56.5,-3.5
2.1241,50.5,-59.5
2.1234,-5.5,71.5
2.1137,53.5,-128.5
2.1092,-2.5,-41.5
2.1062,-21.5,150.5
2.1045,10.5,169.5
2.0943,-13.5,141.5
2.0882,41.5,2.5
2.0639,36.5,6.5
2.0544,47.5,-52.5
2.0529,58.5,-5.5
2.0495,54.5,-1.5
2.0432,50.5,-124.5
2.0393,43.5,131.5
199.6856,33.5,11.5
