year,gamma,surface_temp_C,deep_ocean_temp_C,heat_uptake_Wm2
2109,0,1.5613,0.2873,0.4629
2110,0,1.5528,0.2904,0.4587
2111,0,1.5444,0.2935,0.4547
2112,0,1.5361,0.2965,0.4508
2113,0,1.5279,0.2995,0.4469
2114,0,1.5197,0.3025,0.4432
2115,0,1.5117,0.3054,0.4395
2116,0,1.5037,0.3084,0.4359
2117,0,1.4959,0.3113,0.4324
2118,0,1.4882,0.3141,0.429
2119,0,1.4805,0.317,0.4256
2120,0,1.473,0.3198,0.4222
2121,0,1.4656,0.3226,0.419
2122,0,1.4582,0.3254,0.4157
2123,0,1.451,0.3281,0.4125
2124,0,1.4439,0.3308,0.4094
2125,0,1.4369,0.3335,0.4063
2126,0,1.4299,0.3362,0.4032
2127,0,1.4231,0.3388,0.4002
2128,0,1.4164,0.3415,0.3972
2129,0,1.4097,0.3441,0.3943
2130,0,1.4032,0.3466,0.3914
2131,0,1.3967,0.3492,0.3885
2132,0,1.3904,0.3517,0.3856
2133,0,1.3841,0.3543,0.3828
2134,0,1.3779,0.3567,0.38
2135,0,1.3718,0.3592,0.3773
2136,0,1.3658,0.3617,0.3745
2137,0,1.3598,0.3641,0.3718
2138,0,1.354,0.3665,0.3692
2139,0,1.3482,0.3689,0.3665
2140,0,1.3425,0.3713,0.3639
2141,0,1.3369,0.3736,0.3613
2142,0,1.3314,0.376,0.3588
2143,0,1.3259,0.3783,0.3563
2144,0,1.3205,0.3806,0.3541
2145,0,1.3153,0.3828,0.3521
2146,0,1.3101,0.3851,0.3502
2147,0,1.305,0.3873,0.3485
2148,0,1.3001,0.3896,0.3469
2149,0,1.2953,0.3918,0.3455
2150,0,1.2906,0.3939,0.3442
2151,0,1.286,0.3961,0.343
2152,0,1.2816,0.3983,0.3419
2153,0,1.2774,0.4004,0.3409
2154,0,1.2733,0.4025,0.3399
2155,0,1.2693,0.4046,0.3389
2156,0,1.2654,0.4067,0.3378
2157,0,1.2617,0.4088,0.3368
2158,0,1.2581,0.4109,0.3358
2159,0,1.2547,0.4129,0.3349
2160,0,1.2513,0.4149,0.3339
2161,0,1.2481,0.417,0.3329
2162,0,1.2449,0.419,0.332
2163,0,1.2419,0.421,0.3311
2164,0,1.239,0.4229,0.3303
2165,0,1.2362,0.4249,0.3295
2166,0,1.2335,0.4269,0.3286
2167,0,1.2309,0.4288,0.3279
2168,0,1.2283,0.4308,0.3271
2169,0,1.2259,0.4327,0.3264
2170,0,1.2236,0.4346,0.3257
2171,0,1.2214,0.4365,0.3251
2172,0,1.2193,0.4384,0.3245
2173,0,1.2172,0.4403,0.3239
2174,0,1.2153,0.4422,0.3234
2175,0,1.2134,0.444,0.3229
2176,0,1.2117,0.4459,0.3224
2177,0,1.21,0.4477,0.322
2178,0,1.2084,0.4496,0.3216
2179,0,1.2069,0.4514,0.3213
2180,0,1.2055,0.4532,0.321
2181,0,1.2042,0.455,0.3207
2182,0,1.203,0.4568,0.3204
2183,0,1.2019,0.4586,0.3202
2184,0,1.2008,0.4604,0.3201
2185,0,1.1998,0.4622,0.3199
2186,0,1.199,0.464,0.3198
2187,0,1.1982,0.4658,0.3197
2188,0,1.1974,0.4675,0.3197
2189,0,1.1968,0.4693,0.3197
2190,0,1.1963,0.471,0.3198
2191,0,1.1958,0.4728,0.3199
2192,0,1.1954,0.4745,0.32
2193,0,1.1951,0.4763,0.3201
2194,0,1.1949,0.478,0.32
2195,0,1.1948,0.4797,0.3198
2196,0,1.1947,0.4814,0.3195
2197,0,1.1946,0.4831,0.3191
2198,0,1.1946,0.4849,0.3186
2199,0,1.1946,0.4866,0.3181
2200,0,1.1946,0.4883,0.3175
2201,0,1.1946,0.49,0.3168
2202,0,1.1946,0.4917,0.3161
2203,0,1.1946,0.4934,0.3153
2204,0,1.1947,0.495,0.3145
2205,0,1.1947,0.4967,0.3138
2206,0,1.1947,0.4984,0.3129
2207,0,1.1947,0.5001,0.3121
2208,0,1.1948,0.5018,0.3112
2209,0,1.1948,0.5034,0.3104
2210,0,1.1948,0.5051,0.3095
2211,0,1.1947,0.5067,0.3086
2212,0,1.1947,0.5084,0.3078
2213,0,1.1947,0.5101,0.3069
2214,0,1.1946,0.5117,0.306
2215,0,1.1946,0.5133,0.3051
2216,0,1.1945,0.515,0.3042
2217,0,1.1945,0.5166,0.3034
2218,0,1.1944,0.5182,0.3025
2219,0,1.1943,0.5199,0.3016
2220,0,1.1942,0.5215,0.3007
2221,0,1.1941,0.5231,0.2998
2222,0,1.194,0.5247,0.299
2223,0,1.1938,0.5263,0.2981
2224,0,1.1937,0.528,0.2972
2225,0,1.1936,0.5296,0.2963
2226,0,1.1934,0.5312,0.2955
2227,0,1.1933,0.5327,0.2946
2228,0,1.1931,0.5343,0.2937
2229,0,1.193,0.5359,0.2929
2230,0,1.1928,0.5375,0.292
2231,0,1.1926,0.5391,0.2912
2232,0,1.1924,0.5407,0.2903
2233,0,1.1923,0.5422,0.2895
2234,0,1.1921,0.5438,0.2886
2235,0,1.1919,0.5453,0.2878
2236,0,1.1917,0.5469,0.287
2237,0,1.1915,0.5485,0.2861
2238,0,1.1913,0.55,0.2853
2239,0,1.1911,0.5515,0.2844
2240,0,1.1908,0.5531,0.2836
2241,0,1.1906,0.5546,0.2828
2242,0,1.1904,0.5562,0.282
2243,0,1.1902,0.5577,0.2811
2244,0,1.19,0.5592,0.2803
2245,0,1.1897,0.5607,0.2795
2246,0,1.1895,0.5622,0.2787
2247,0,1.1893,0.5637,0.2779
2248,0,1.189,0.5652,0.2771
2249,0,1.1888,0.5668,0.2762
2250,0,1.1885,0.5682,0.2754
2251,0,1.1883,0.5697,0.2746
2252,0,1.1881,0.5712,0.2738
2253,0,1.1878,0.5727,0.273
2254,0,1.1876,0.5742,0.2722
2255,0,1.1873,0.5757,0.2714
2256,0,1.1871,0.5771,0.2706
2257,0,1.1868,0.5786,0.2698
2258,0,1.1865,0.5801,0.269
2259,0,1.1863,0.5815,0.2682
2260,0,1.186,0.583,0.2674
2261,0,1.1858,0.5844,0.2665
2262,0,1.1855,0.5859,0.2657
2263,0,1.1852,0.5873,0.2649
2264,0,1.1849,0.5888,0.2641
2265,0,1.1846,0.5902,0.2633
2266,0,1.1844,0.5916,0.2624
2267,0,1.1841,0.5931,0.2616
2268,0,1.1838,0.5945,0.2608
2269,0,1.1835,0.5959,0.26
2270,0,1.1832,0.5973,0.2592
2271,0,1.1829,0.5987,0.2584
2272,0,1.1826,0.6001,0.2576
2273,0,1.1823,0.6015,0.2568
2274,0,1.1819,0.6029,0.256
2275,0,1.1816,0.6043,0.2552
2276,0,1.1813,0.6057,0.2544
2277,0,1.181,0.6071,0.2536
2278,0,1.1807,0.6085,0.2529
2279,0,1.1804,0.6099,0.2521
2280,0,1.1801,0.6112,0.2513
2281,0,1.1797,0.6126,0.2505
2282,0,1.1794,0.614,0.2498
2283,0,1.1791,0.6153,0.249
2284,0,1.1788,0.6167,0.2482
2285,0,1.1784,0.6181,0.2475
2286,0,1.1781,0.6194,0.2467
2287,0,1.1778,0.6207,0.246
2288,0,1.1775,0.6221,0.2452
2289,0,1.1771,0.6234,0.2445
2290,0,1.1768,0.6248,0.2437
2291,0,1.1765,0.6261,0.243
2292,0,1.1762,0.6274,0.2422
2293,0,1.1758,0.6287,0.2415
2294,0,1.1755,0.6301,0.2407
2295,0,1.1752,0.6314,0.24
2296,0,1.1748,0.6327,0.2393
2297,0,1.1745,0.634,0.2386
2298,0,1.1742,0.6353,0.2378
2299,0,1.1739,0.6366,0.2371
2015,10,0.0,0.0,0.0
2016,10,0.0,0.0,1.1931
2017,10,0.0895,0.0,1.2353
2018,10,0.1822,0.0,1.2702
2019,10,0.2741,0.0002,1.2386
2020,10,0.3601,0.0007,1.2041
2021,10,0.4401,0.0015,1.1698
2022,10,0.5143,0.0024,1.1397
2023,10,0.5832,0.0036,1.1135
2024,10,0.6474,0.005,1.0906
2025,10,0.7073,0.0066,1.0706
2026,10,0.7633,0.0083,1.0532
2027,10,0.8158,0.0102,1.0382
2028,10,0.8652,0.0122,1.0252
2029,10,0.9116,0.0144,1.0141
2030,10,0.9554,0.0167,1.0046
2031,10,0.9969,0.0191,0.9965
2032,10,1.0361,0.0217,0.9897
2033,10,1.0734,0.0243,0.9837
2034,10,1.1089,0.0271,0.9782
2035,10,1.1426,0.0299,0.9732
2036,10,1.1747,0.0328,0.9685
2037,10,1.2053,0.0358,0.9642
2038,10,1.2344,0.0389,0.96
2039,10,1.2622,0.0421,0.9561
2040,10,1.2888,0.0453,0.9523
2041,10,1.3141,0.0486,0.9487
2042,10,1.3382,0.0519,0.9451
2043,10,1.3613,0.0554,0.9416
2044,10,1.3833,0.0588,0.938
2045,10,1.4043,0.0624,0.9343
2046,10,1.4243,0.0659,0.9306
2047,10,1.4434,0.0696,0.9268
2048,10,1.4615,0.0732,0.9228
2049,10,1.4788,0.0769,0.9187
2050,10,1.4952,0.0807,0.9145
2051,10,1.5108,0.0845,0.9101
2052,10,1.5256,0.0883,0.9055
2053,10,1.5396,0.0922,0.9008
2054,10,1.5529,0.096,0.8961
2055,10,1.5654,0.0999,0.8913
2056,10,1.5771,0.1039,0.8865
2057,10,1.5882,0.1078,0.8815
2058,10,1.5987,0.1118,0.8765
2059,10,1.6084,0.1158,0.8713
2060,10,1.6176,0.1198,0.8661
2061,10,1.6261,0.1239,0.8606
2062,10,1.6341,0.1279,0.855
2063,10,1.6414,0.132,0.8494
2064,10,1.6482,0.136,0.8437
2065,10,1.6544,0.1401,0.8381
2066,10,1.6601,0.1442,0.8324
2067,10,1.6653,0.1483,0.8266
2068,10,1.67,0.1524,0.8208
2069,10,1.6742,0.1565,0.8149
2070,10,1.6779,0.1606,0.8089
2071,10,1.6812,0.1647,0.8028
2072,10,1.6841,0.1688,0.7965
2073,10,1.6865,0.1729,0.7899
2074,10,1.6885,0.177,0.783
2075,10,1.69,0.181,0.7757
2076,10,1.691,0.1851,0.7681
2077,10,1.6916,0.1892,0.76
2078,10,1.6917,0.1933,0.7517
2079,10,1.6913,0.1973,0.7429
2080,10,1.6903,0.2014,0.7339
2081,10,1.6889,0.2054,0.7245
2082,10,1.687,0.2094,0.7149
2083,10,1.6845,0.2134,0.7051
2084,10,1.6815,0.2174,0.6954
2085,10,1.6781,0.2214,0.6857
2086,10,1.6742,0.2253,0.6761
2087,10,1.6698,0.2293,0.6664
2088,10,1.665,0.2332,0.6568
2089,10,1.6598,0.2371,0.6471
2090,10,1.6542,0.241,0.6374
2091,10,1.6483,0.2448,0.6276
2092,10,1.6419,0.2486,0.6177
2093,10,1.6352,0.2524,0.6081
2094,10,1.6281,0.2562,0.599
2095,10,1.6208,0.2599,0.5905
2096,10,1.6132,0.2636,0.5825
2097,10,1.6054,0.2673,0.5749
2098,10,1.5975,0.2709,0.5677
2099,10,1.5895,0.2745,0.5608
2100,10,1.5814,0.2781,0.5541
2101,10,1.5733,0.2817,0.5478
2102,10,1.5651,0.2852,0.5416
2103,10,1.5569,0.2887,0.5356
2104,10,1.5487,0.2921,0.53
2105,10,1.5405,0.2956,0.5245
2106,10,1.5323,0.299,0.5193
2107,10,1.5242,0.3023,0.5143
2108,10,1.5162,0.3056,0.5094
2109,10,1.5082,0.3089,0.5047
2110,10,1.5003,0.3122,0.5001
2111,10,1.4924,0.3155,0.4956
2112,10,1.4847,0.3187,0.4912
2113,10,1.477,0.3218,0.4869
2114,10,1.4695,0.325,0.4827
2115,10,1.462,0.3281,0.4786
2116,10,1.4547,0.3312,0.4746
2117,10,1.4474,0.3343,0.4706
2118,10,1.4402,0.3373,0.4668
2119,10,1.4331,0.3403,0.4629
2120,10,1.4262,0.3433,0.4592
2121,10,1.4193,0.3462,0.4554
2122,10,1.4125,0.3492,0.4518
2123,10,1.4058,0.3521,0.4482
2124,10,1.3993,0.3549,0.4446
2125,10,1.3928,0.3578,0.4411
2126,10,1.3864,0.3606,0.4376
2127,10,1.3801,0.3634,0.4342
2128,10,1.3739,0.3662,0.4308
2129,10,1.3677,0.3689,0.4274
2130,10,1.3617,0.3716,0.4241
2131,10,1.3557,0.3743,0.4208
2132,10,1.3499,0.377,0.4176
2133,10,1.3441,0.3797,0.4144
2134,10,1.3384,0.3823,0.4112
2135,10,1.3328,0.3849,0.4081
2136,10,1.3272,0.3875,0.4049
2137,10,1.3218,0.39,0.4019
2138,10,1.3164,0.3926,0.3988
2139,10,1.3111,0.3951,0.3958
2140,10,1.3059,0.3976,0.3929
2141,10,1.3007,0.4,0.3899
2142,10,1.2956,0.4025,0.387
2143,10,1.2906,0.4049,0.3842
2144,10,1.2856,0.4073,0.3816
2145,10,1.2808,0.4097,0.3793
2146,10,1.276,0.4121,0.3771
2147,10,1.2714,0.4145,0.375
2148,10,1.2669,0.4168,0.3732
2149,10,1.2624,0.4191,0.3714
2150,10,1.2582,0.4214,0.3698
2151,10,1.254,0.4237,0.3683
2152,10,1.25,0.4259,0.3669
2153,10,1.2461,0.4282,0.3656
2154,10,1.2424,0.4304,0.3642
2155,10,1.2388,0.4326,0.3629
2156,10,1.2353,0.4348,0.3616
2157,10,1.232,0.437,0.3603
2158,10,1.2287,0.4392,0.359
2159,10,1.2256,0.4413,0.3578
2160,10,1.2226,0.4434,0.3565
2161,10,1.2197,0.4456,0.3553
2162,10,1.2169,0.4477,0.3541
2163,10,1.2142,0.4497,0.353
2164,10,1.2116,0.4518,0.3519
2165,10,1.2091,0.4539,0.3508
2166,10,1.2067,0.4559,0.3498
2167,10,1.2044,0.458,0.3487
2168,10,1.2021,0.46,0.3478
2169,10,1.2,0.462,0.3468
2170,10,1.198,0.464,0.3459
2171,10,1.196,0.466,0.3451
2172,10,1.1941,0.468,0.3443
2173,10,1.1924,0.47,0.3435
2174,10,1.1907,0.4719,0.3428
2175,10,1.1891,0.4739,0.3421
2176,10,1.1876,0.4758,0.3414
2177,10,1.1861,0.4778,0.3408
2178,10,1.1848,0.4797,0.3402
2179,10,1.1835,0.4816,0.3397
2180,10,1.1824,0.4835,0.3392
2181,10,1.1813,0.4854,0.3387
2182,10,1.1802,0.4873,0.3383
2183,10,1.1793,0.4892,0.3379
2184,10,1.1785,0.491,0.3376
2185,10,1.1777,0.4929,0.3373
2186,10,1.177,0.4948,0.337
2187,10,1.1764,0.4966,0.3368
2188,10,1.1759,0.4984,0.3366
2189,10,1.1754,0.5003,0.3365
2190,10,1.175,0.5021,0.3364
2191,10,1.1748,0.5039,0.3364
2192,10,1.1745,0.5057,0.3363
2193,10,1.1744,0.5076,0.3363
2194,10,1.1744,0.5094,0.3361
2195,10,1.1744,0.5112,0.3358
2196,10,1.1744,0.513,0.3354
2197,10,1.1745,0.5148,0.3348
2198,10,1.1746,0.5165,0.3342
2199,10,1.1747,0.5183,0.3336
2200,10,1.1749,0.5201,0.3328
2201,10,1.175,0.5219,0.3321
2202,10,1.1752,0.5236,0.3312
2203,10,1.1753,0.5254,0.3304
2204,10,1.1755,0.5272,0.3295
2205,10,1.1756,0.5289,0.3286
2206,10,1.1758,0.5307,0.3277
2207,10,1.1759,0.5324,0.3268
2208,10,1.176,0.5342,0.3259
2209,10,1.1761,0.5359,0.3249
2210,10,1.1762,0.5376,0.324
2211,10,1.1763,0.5394,0.323
2212,10,1.1764,0.5411,0.322
2213,10,1.1765,0.5428,0.3211
2214,10,1.1766,0.5445,0.3201
2215,10,1.1766,0.5462,0.3191
2216,10,1.1767,0.5479,0.3182
2217,10,1.1767,0.5496,0.3172
2218,10,1.1767,0.5513,0.3162
2219,10,1.1767,0.553,0.3153
2220,10,1.1767,0.5547,0.3143
2221,10,1.1767,0.5564,0.3134
2222,10,1.1767,0.5581,0.3124
2223,10,1.1767,0.5598,0.3114
2224,10,1.1767,0.5614,0.3105
2225,10,1.1766,0.5631,0.3095
2226,10,1.1766,0.5648,0.3086
2227,10,1.1766,0.5664,0.3076
2228,10,1.1765,0.5681,0.3067
2229,10,1.1764,0.5697,0.3058
2230,10,1.1764,0.5714,0.3048
2231,10,1.1763,0.573,0.3039
2232,10,1.1762,0.5746,0.303
2233,10,1.1761,0.5763,0.302
2234,10,1.1761,0.5779,0.3011
2235,10,1.176,0.5795,0.3002
2236,10,1.1759,0.5811,0.2993
2237,10,1.1758,0.5827,0.2984
2238,10,1.1757,0.5843,0.2974
2239,10,1.1756,0.5859,0.2965
2240,10,1.1754,0.5875,0.2956
2241,10,1.1753,0.5891,0.2947
2242,10,1.1752,0.5907,0.2938
2243,10,1.1751,0.5923,0.2929
2244,10,1.175,0.5939,0.292
2245,10,1.1748,0.5955,0.2911
2246,10,1.1747,0.597,0.2902
2247,10,1.1746,0.5986,0.2893
2248,10,1.1744,0.6001,0.2884
2249,10,1.1743,0.6017,0.2876
2250,10,1.1741,0.6033,0.2867
2251,10,1.174,0.6048,0.2858
2252,10,1.1739,0.6063,0.2849
2253,10,1.1737,0.6079,0.284
2254,10,1.1736,0.6094,0.2831
2255,10,1.1734,0.6109,0.2823
2256,10,1.1733,0.6125,0.2814
2257,10,1.1731,0.614,0.2805
2258,10,1.1729,0.6155,0.2796
2259,10,1.1728,0.617,0.2787
2260,10,1.1726,0.6185,0.2778
2261,10,1.1724,0.62,0.2769
2262,10,1.1723,0.6215,0.276
2263,10,1.1721,0.623,0.2751
2264,10,1.1719,0.6245,0.2743
2265,10,1.1717,0.626,0.2734
2266,10,1.1715,0.6275,0.2725
2267,10,1.1713,0.6289,0.2716
2268,10,1.1711,0.6304,0.2707
2269,10,1.1709,0.6319,0.2698
2270,10,1.1707,0.6333,0.2689
2271,10,1.1705,0.6348,0.268
2272,10,1.1703,0.6362,0.2672
2273,10,1.1701,0.6377,0.2663
2274,10,1.1699,0.6391,0.2654
2275,10,1.1697,0.6406,0.2646
2276,10,1.1694,0.642,0.2637
2277,10,1.1692,0.6434,0.2629
2278,10,1.169,0.6448,0.262
2279,10,1.1688,0.6463,0.2611
2280,10,1.1685,0.6477,0.2603
2281,10,1.1683,0.6491,0.2595
2282,10,1.1681,0.6505,0.2586
2283,10,1.1679,0.6519,0.2578
2284,10,1.1676,0.6533,0.2569
2285,10,1.1674,0.6547,0.2561
2286,10,1.1672,0.6561,0.2553
2287,10,1.1669,0.6575,0.2545
2288,10,1.1667,0.6588,0.2536
2289,10,1.1665,0.6602,0.2528
2290,10,1.1662,0.6616,0.252
2291,10,1.166,0.663,0.2512
2292,10,1.1658,0.6643,0.2504
2293,10,1.1655,0.6657,0.2496
2294,10,1.1653,0.667,0.2488
2295,10,1.165,0.6684,0.2479
2296,10,1.1648,0.6697,0.2471
2297,10,1.1646,0.6711,0.2464
2298,10,1.1643,0.6724,0.2456
2299,10,1.1641,0.6737,0.2448
2015,20,0.0,0.0,0.0
2016,20,0.0,0.0,1.1931
2017,20,0.0895,0.0,1.2353
2018,20,0.1822,0.0,1.2702
2019,20,0.2737,0.0003,1.2386
2020,20,0.359,0.0008,1.2041
2021,20,0.4378,0.0016,1.1701
2022,20,0.5106,0.0027,1.1406
2023,20,0.5778,0.004,1.1153
2024,20,0.6401,0.0055,1.0935
2025,20,0.6981,0.0073,1.0748
2026,20,0.752,0.0092,1.0588
2027,20,0.8024,0.0112,1.0453
2028,20,0.8496,0.0135,1.0339
2029,20,0.894,0.0158,1.0244
2030,20,0.9357,0.0184,1.0165
2031,20,0.9751,0.021,1.0101
2032,20,1.0123,0.0237,1.0049
2033,20,1.0476,0.0266,1.0005
2034,20,1.0811,0.0296,0.9966
2035,20,1.113,0.0326,0.9931
2036,20,1.1433,0.0358,0.9899
2037,20,1.1722,0.039,0.9869
2038,20,1.1997,0.0424,0.9842
2039,20,1.2259,0.0458,0.9816
2040,20,1.2509,0.0492,0.9791
2041,20,1.2748,0.0528,0.9766
2042,20,1.2976,0.0564,0.9742
2043,20,1.3193,0.06,0.9718
2044,20,1.3401,0.0638,0.9693
2045,20,1.3599,0.0675,0.9666
2046,20,1.3788,0.0714,0.9639
2047,20,1.3968,0.0753,0.9609
2048,20,1.414,0.0792,0.9578
2049,20,1.4303,0.0831,0.9546
2050,20,1.4459,0.0872,0.9511
2051,20,1.4606,0.0912,0.9474
2052,20,1.4746,0.0953,0.9435
2053,20,1.4878,0.0994,0.9395
2054,20,1.5004,0.1035,0.9354
2055,20,1.5122,0.1077,0.9312
2056,20,1.5234,0.1119,0.9269
2057,20,1.5339,0.1161,0.9224
2058,20,1.5438,0.1203,0.9179
2059,20,1.5531,0.1246,0.9132
2060,20,1.5618,0.1289,0.9083
2061,20,1.5699,0.1331,0.9032
2062,20,1.5775,0.1374,0.898
2063,20,1.5845,0.1418,0.8926
2064,20,1.591,0.1461,0.8873
2065,20,1.5969,0.1504,0.8819
2066,20,1.6024,0.1547,0.8764
2067,20,1.6074,0.1591,0.8709
2068,20,1.6119,0.1634,0.8653
2069,20,1.6159,0.1678,0.8595
2070,20,1.6196,0.1721,0.8536
2071,20,1.6228,0.1765,0.8476
2072,20,1.6255,0.1808,0.8414
2073,20,1.6279,0.1851,0.835
2074,20,1.6299,0.1895,0.8281
2075,20,1.6314,0.1938,0.8209
2076,20,1.6324,0.1981,0.8132
2077,20,1.633,0.2024,0.8052
2078,20,1.6332,0.2067,0.7968
2079,20,1.6329,0.211,0.788
2080,20,1.6321,0.2153,0.7789
2081,20,1.6308,0.2196,0.7695
2082,20,1.629,0.2238,0.7597
2083,20,1.6267,0.2281,0.7499
2084,20,1.6239,0.2323,0.74
2085,20,1.6207,0.2365,0.7302
2086,20,1.617,0.2407,0.7204
2087,20,1.6129,0.2448,0.7107
2088,20,1.6084,0.2489,0.7008
2089,20,1.6035,0.2531,0.691
2090,20,1.5982,0.2571,0.681
2091,20,1.5926,0.2612,0.671
2092,20,1.5866,0.2652,0.6608
2093,20,1.5802,0.2692,0.6509
2094,20,1.5735,0.2732,0.6416
2095,20,1.5666,0.2771,0.6328
2096,20,1.5594,0.281,0.6245
2097,20,1.5521,0.2849,0.6166
2098,20,1.5447,0.2887,0.6091
2099,20,1.5371,0.2925,0.6018
2100,20,1.5295,0.2963,0.5949
2101,20,1.5218,0.3,0.5881
2102,20,1.5141,0.3037,0.5816
2103,20,1.5064,0.3074,0.5752
2104,20,1.4987,0.311,0.5692
2105,20,1.4911,0.3146,0.5634
2106,20,1.4834,0.3182,0.5577
2107,20,1.4759,0.3217,0.5523
2108,20,1.4683,0.3252,0.547
2109,20,1.4609,0.3287,0.5419
2110,20,1.4535,0.3321,0.5369
2111,20,1.4462,0.3355,0.532
2112,20,1.439,0.3389,0.5272
2113,20,1.4319,0.3422,0.5225
2114,20,1.4249,0.3455,0.5179
2115,20,1.418,0.3488,0.5134
2116,20,1.4111,0.352,0.5089
2117,20,1.4044,0.3552,0.5046
2118,20,1.3978,0.3584,0.5003
2119,20,1.3912,0.3615,0.496
2120,20,1.3848,0.3647,0.4919
2121,20,1.3784,0.3677,0.4877
2122,20,1.3721,0.3708,0.4837
2123,20,1.366,0.3738,0.4797
2124,20,1.3599,0.3768,0.4757
2125,20,1.3539,0.3798,0.4718
2126,20,1.348,0.3828,0.4679
2127,20,1.3422,0.3857,0.4641
2128,20,1.3364,0.3886,0.4603
2129,20,1.3308,0.3915,0.4566
2130,20,1.3252,0.3943,0.4529
2131,20,1.3197,0.3971,0.4493
2132,20,1.3143,0.3999,0.4457
2133,20,1.309,0.4027,0.4421
2134,20,1.3037,0.4054,0.4386
2135,20,1.2986,0.4082,0.4351
2136,20,1.2935,0.4108,0.4316
2137,20,1.2884,0.4135,0.4282
2138,20,1.2835,0.4162,0.4248
2139,20,1.2786,0.4188,0.4215
2140,20,1.2738,0.4214,0.4182
2141,20,1.269,0.424,0.4149
2142,20,1.2644,0.4265,0.4117
2143,20,1.2597,0.4291,0.4086
2144,20,1.2552,0.4316,0.4057
2145,20,1.2507,0.4341,0.403
2146,20,1.2464,0.4365,0.4005
2147,20,1.2421,0.439,0.3982
2148,20,1.238,0.4414,0.396
2149,20,1.2339,0.4438,0.3939
2150,20,1.23,0.4462,0.392
2151,20,1.2262,0.4486,0.3903
