meander_id,tributario,decada,temp_C,precip_mm,glacier_index,ndvi,meltwater_AMB,discharge_Q,sediment_Qs,migration_m_yr,migration_norm,RPMI
YTR_M013,YTR,1980s,-2.24,25.41,16.49,0.16,-0.00057,152.5,1.01,,,
YTR_M014,YTR,1980s,-2.24,25.41,16.49,0.16,-0.00057,152.5,1.01,,,
YTR_M015,YTR,1980s,-2.24,25.41,16.49,0.16,-0.00057,152.5,1.01,,,
YTR_M016,YTR,1980s,-2.19,25.49,16.49,0.16,-0.00056,152.5,1.01,,,
YTR_M017,YTR,1980s,-2.16,25.31,16.49,0.16,-0.00056,152.5,1.01,,,
YTR_M018,YTR,1980s,-2.13,25.4,16.49,0.16,-0.00056,152.5,1.01,2.12,0.052,0.004
YTR_M019,YTR,1980s,-2.1,25.22,16.49,0.16,-0.00056,152.5,1.01,,,
YTR_M020,YTR,1980s,-2.1,25.22,16.49,0.16,-0.00056,152.5,1.01,,,
YTR_M021,YTR,1980s,-2.13,25.49,16.49,0.16,-0.00056,152.5,1.01,,,
YTR_M022,YTR,1980s,-2.13,25.49,16.49,0.16,-0.00056,152.5,1.01,0.82,0.018,0.0014
YTR_M024,YTR,1980s,-2.12,25.55,16.49,0.16,-0.00056,152.5,1.01,0.71,0.014,0.0011
YTR_M025,YTR,1980s,-2.12,25.55,16.49,0.16,-0.00056,152.5,1.01,,,
YTR_M026,YTR,1980s,-2.12,25.85,16.49,0.16,-0.00056,152.5,1.01,,,
YTR_M027,YTR,1980s,-2.18,25.67,16.49,0.16,-0.00056,152.5,1.01,,,
YTR_M028,YTR,1980s,-2.18,25.67,16.49,0.16,-0.00056,152.5,1.01,,,
YTR_M029,YTR,1980s,-2.14,25.76,16.49,0.16,-0.00056,152.5,1.01,,,
YTR_M031,YTR,1980s,-2.14,25.76,16.49,0.16,-0.00056,152.5,1.01,,,
YTR_M032,YTR,1980s,-2.08,26.12,16.49,0.16,-0.00055,152.5,1.01,,,
YTR_M033,YTR,1980s,-2.08,26.03,16.49,0.16,-0.00055,152.5,1.01,,,
YTR_M035,YTR,1980s,-2.16,26.1,16.49,0.16,-0.00054,152.5,1.01,,,
YTR_M036,YTR,1980s,-2.16,26.1,16.49,0.16,-0.00054,152.5,1.01,,,
YTR_M038,YTR,1980s,-2.17,25.95,16.49,0.16,-0.00054,152.5,1.01,,,
YTR_M039,YTR,1980s,-2.17,25.95,16.49,0.16,-0.00054,152.5,1.01,,,
YTR_M040,YTR,1980s,-2.18,25.94,16.49,0.16,-0.00054,152.5,1.01,,,
YTR_M042,YTR,1980s,-2.17,26.0,16.49,0.16,-0.00054,152.5,1.01,,,
YTR_M045,YTR,1980s,-2.15,26.17,16.49,0.16,-0.00053,152.5,1.01,,,
YTR_M046,YTR,1980s,-2.13,25.99,16.49,0.16,-0.00053,152.5,1.01,1.44,0.03,0.0023
YTR_M047,YTR,1980s,-2.13,25.99,16.49,0.16,-0.00053,152.5,1.01,,,
YTR_M048,YTR,1980s,-2.05,26.02,16.49,0.16,-0.00052,152.5,1.01,,,
YTR_M049,YTR,1980s,-2.05,26.02,16.49,0.16,-0.00052,152.5,1.01,,,
YTR_M051,YTR,1980s,-1.9,26.18,16.49,0.16,-0.00052,152.5,1.01,,,
YTR_M052,YTR,1980s,-1.9,26.18,16.49,0.16,-0.00052,152.5,1.01,,,
YTR_M053,YTR,1980s,-1.87,26.18,16.49,0.16,-0.00052,152.5,1.01,1.65,0.04,0.0031
YTR_M054,YTR,1980s,-1.79,25.82,16.49,0.16,-0.00051,152.5,1.01,1.42,0.027,0.0021
YTR_M055,YTR,1980s,-1.73,26.17,16.49,0.16,-0.00051,152.5,1.01,,,
YTR_M056,YTR,1980s,-1.73,26.17,16.49,0.16,-0.00051,152.5,1.01,0.48,0.009,0.0007
YTR_M057,YTR,1980s,-1.66,26.17,16.49,0.16,-0.00051,152.5,1.01,1.27,0.021,0.0016
YTR_M058,YTR,1980s,-1.62,26.07,16.49,0.16,-0.00051,152.5,1.01,,,
YTR_M059,YTR,1980s,-1.62,26.07,16.49,0.16,-0.00051,152.5,1.01,1.17,0.021,0.0016
YTR_M060,YTR,1980s,-1.59,25.8,16.49,0.16,-0.0005,152.5,1.01,,,
YTR_M061,YTR,1980s,-1.59,25.8,16.49,0.16,-0.0005,152.5,1.01,,,
YTR_M062,YTR,1980s,-1.59,25.8,16.49,0.16,-0.0005,152.5,1.01,,,
YTR_M063,YTR,1980s,-1.54,25.8,16.49,0.16,-0.0005,152.5,1.01,,,
YTR_M064,YTR,1980s,-1.53,25.71,16.49,0.16,-0.0005,152.5,1.01,3.24,0.054,0.0042
YTR_M065,YTR,1980s,-1.49,25.71,16.49,0.16,-0.00049,152.5,1.01,,,
YTR_M066,YTR,1980s,-1.46,25.7,16.49,0.16,-0.00049,152.5,1.01,,,
YTR_M067,YTR,1980s,-1.46,25.7,16.49,0.16,-0.00049,152.5,1.01,,,
YTR_M068,YTR,1980s,-1.46,25.79,16.49,0.16,-0.00049,152.5,1.01,,,
YTR_M069,YTR,1980s,-1.46,25.61,16.49,0.16,-0.00049,152.5,1.01,,,
YTR_M070,YTR,1980s,-1.44,25.84,16.49,0.16,-0.00049,152.5,1.01,,,
YTR_M072,YTR,1980s,-1.44,25.84,16.49,0.16,-0.00049,152.5,1.01,,,
YTR_M073,YTR,1980s,-1.44,25.67,16.49,0.16,-0.00048,152.5,1.01,,,
YTR_M074,YTR,1980s,-1.41,25.84,16.49,0.16,-0.00048,152.5,1.01,,,
YTR_M075,YTR,1980s,-1.38,25.75,16.49,0.16,-0.00048,152.5,1.01,,,
YTR_M077,YTR,1980s,-1.3,25.75,16.49,0.16,-0.00048,152.5,1.01,,,
YTR_M078,YTR,1980s,-1.3,25.75,16.49,0.16,-0.00048,152.5,1.01,,,
YTR_M080,YTR,1980s,-1.31,25.74,16.49,0.16,-0.00048,152.5,1.01,,,
YTR_M081,YTR,1980s,-1.24,25.83,16.49,0.16,-0.00047,152.5,1.01,1.92,0.032,0.0024
YTR_M082,YTR,1980s,-1.24,25.83,16.49,0.16,-0.00047,152.5,1.01,1.94,0.039,0.003
YTR_M083,YTR,1980s,-1.26,25.74,16.49,0.16,-0.00047,152.5,1.01,2.25,0.044,0.0034
YTR_M084,YTR,1980s,-1.25,25.65,16.49,0.16,-0.00047,152.5,1.01,,,
YTR_M085,YTR,1980s,-1.29,25.56,16.49,0.16,-0.00047,152.5,1.01,1.38,0.032,0.0024
YTR_M086,YTR,1980s,-1.24,25.29,16.49,0.16,-0.00046,152.5,1.01,,,
YTR_M087,YTR,1980s,-1.19,25.19,16.49,0.16,-0.00046,152.5,1.01,,,
YTR_M089,YTR,1980s,-1.12,25.19,16.49,0.16,-0.00046,152.5,1.01,,,
YTR_M091,YTR,1980s,-1.06,25.18,16.49,0.16,-0.00046,152.5,1.01,,,
YTR_M092,YTR,1980s,-0.97,25.09,16.49,0.16,-0.00045,152.5,1.01,,,
YTR_M093,YTR,1980s,-0.96,25.18,16.49,0.16,-0.00045,152.5,1.01,,,
YTR_M094,YTR,1980s,-0.93,25.09,16.49,0.16,-0.00045,152.5,1.01,,,
YTR_M095,YTR,1980s,-0.89,25.0,16.49,0.16,-0.00045,152.5,1.01,,,
YTR_M096,YTR,1980s,-0.85,25.01,16.49,0.16,-0.00045,152.5,1.01,,,
YTR_M097,YTR,1980s,-0.83,25.01,16.49,0.16,-0.00045,152.5,1.01,1.32,0.019,0.0015
YTR_M098,YTR,1980s,-0.8,25.0,16.49,0.16,-0.00044,152.5,1.01,,,
YTR_M099,YTR,1980s,-0.76,24.91,16.49,0.16,-0.00044,152.5,1.01,,,
YTR_M100,YTR,1980s,-0.74,25.11,16.49,0.16,-0.00044,152.5,1.01,,,
YTR_M101,YTR,1980s,-0.7,24.92,16.49,0.16,-0.00044,152.5,1.01,,,
YTR_M102,YTR,1980s,-0.69,25.12,16.49,0.16,-0.00044,152.5,1.01,,,
YTR_M103,YTR,1980s,-0.69,25.12,16.49,0.16,-0.00044,152.5,1.01,,,
YTR_M104,YTR,1980s,-0.63,25.12,16.49,0.16,-0.00044,152.5,1.01,,,
YTR_M105,YTR,1980s,-0.63,25.12,16.49,0.16,-0.00044,152.5,1.01,,,
YTR_M106,YTR,1980s,-0.6,25.12,16.49,0.16,-0.00044,152.5,1.01,,,
YTR_M107,YTR,1980s,-0.6,25.12,16.49,0.16,-0.00044,152.5,1.01,,,
YTR_M108,YTR,1980s,-0.6,25.12,16.49,0.16,-0.00043,152.5,1.01,,,
YTR_M109,YTR,1980s,-0.48,25.28,16.49,0.16,-0.00042,152.5,1.01,1.1,0.011,0.0009
YTR_M110,YTR,1980s,-0.49,25.37,16.49,0.16,-0.00042,152.5,1.01,,,
YTR_M113,YTR,1980s,-0.5,25.39,16.49,0.16,-0.00042,152.5,1.01,1.18,0.02,0.0015
YTR_M114,YTR,1980s,-0.5,25.39,16.49,0.16,-0.00042,152.5,1.01,0.84,0.014,0.001
YTR_M115,YTR,1980s,-0.49,25.39,16.49,0.16,-0.00042,152.5,1.01,1.78,0.021,0.0016
YTR_M116,YTR,1980s,-0.46,25.39,16.49,0.16,-0.00042,152.5,1.01,1.58,0.025,0.0019
YTR_M117,YTR,1980s,-0.46,25.39,16.49,0.16,-0.00042,152.5,1.01,1.41,0.018,0.0014
YTR_M118,YTR,1980s,-0.46,25.39,16.49,0.16,-0.00041,152.5,1.01,1.19,0.018,0.0017
YTR_M120,YTR,1980s,-0.34,25.41,16.49,0.16,-0.0004,152.5,1.01,,,
YTR_M121,YTR,1980s,-0.34,25.41,16.49,0.16,-0.0004,152.5,1.01,,,
YTR_M122,YTR,1980s,-0.31,25.33,16.49,0.16,-0.0004,152.5,1.01,,,
YTR_M123,YTR,1980s,-0.31,25.33,16.49,0.16,-0.0004,152.5,1.01,,,
YTR_M124,YTR,1980s,-0.31,25.39,16.49,0.16,-0.0004,152.5,1.01,,,
YTR_M131,YTR,1980s,0.77,27.04,16.49,0.16,-0.00031,152.5,1.01,,,
YTR_M132,YTR,1980s,0.78,27.01,16.49,0.16,-0.0003,152.5,1.01,,,
YTR_M133,YTR,1980s,0.81,26.72,16.49,0.16,-0.0003,152.5,1.01,,,
YTR_M137,YTR,1980s,0.99,28.81,16.49,0.16,-0.00026,152.5,1.01,1.31,0.015,0.0011
YTR_M138,YTR,1980s,1.01,29.01,16.49,0.16,-0.00025,152.5,1.01,,,
YTR_M144,YTR,1980s,1.09,28.66,16.49,0.16,-0.00024,152.5,1.01,,,
YTR_M145,YTR,1980s,1.14,28.58,16.49,0.16,-0.00024,152.5,1.01,,,
YTR_M146,YTR,1980s,1.14,28.21,16.49,0.16,-0.00024,152.5,1.01,,,
YTR_M147,YTR,1980s,1.22,28.18,16.49,0.16,-0.00024,152.5,1.01,1.89,0.023,0.0023
YTR_M148,YTR,1980s,1.13,28.65,16.49,0.16,-0.00024,152.5,1.01,1.41,0.015,0.0012
YTR_M151,YTR,1980s,1.21,28.55,16.49,0.16,-0.00023,152.5,1.01,,,
YTR_M153,YTR,1980s,1.38,28.73,16.49,0.16,-0.00023,152.5,1.01,,,
YTR_M154,YTR,1980s,1.39,28.65,16.49,0.16,-0.00023,152.5,1.01,,,
YTR_M155,YTR,1980s,1.37,28.65,16.49,0.16,-0.00023,152.5,1.01,,,
YTR_M156,YTR,1980s,1.37,28.65,16.49,0.16,-0.00023,152.5,1.01,,,
YTR_M157,YTR,1980s,1.4,28.28,16.49,0.16,-0.00022,152.5,1.01,1.11,0.011,0.0009
YTR_M158,YTR,1980s,1.38,28.12,16.49,0.16,-0.00022,152.5,1.01,1.04,0.008,0.0006
JTR_M005,JTR,1980s,-3.07,29.36,16.49,0.16,-0.00056,152.5,1.01,,,
JTR_M006,JTR,1980s,-3.07,29.36,16.49,0.16,-0.00056,152.5,1.01,,,
JTR_M009,JTR,1980s,-2.78,29.16,16.49,0.16,-0.00056,152.5,1.01,,,
JTR_M010,JTR,1980s,-2.79,29.06,16.49,0.16,-0.00056,152.5,1.01,,,
JTR_M011,JTR,1980s,-2.79,29.06,16.49,0.16,-0.00056,152.5,1.01,,,
JTR_M012,JTR,1980s,-2.74,28.98,16.49,0.16,-0.00056,152.5,1.01,,,
JTR_M014,JTR,1980s,-2.74,28.75,16.49,0.16,-0.00056,152.5,1.01,,,
JTR_M016,JTR,1980s,-2.75,28.47,16.49,0.16,-0.00056,152.5,1.01,0.43,0.012,0.0009
JTR_M020,JTR,1980s,-2.5,27.89,16.49,0.16,-0.00055,152.5,1.01,,,
JTR_M022,JTR,1980s,-1.74,27.21,16.49,0.16,-0.00051,152.5,1.01,,,
JTR_M023,JTR,1980s,-1.74,27.21,16.49,0.16,-0.00051,152.5,1.01,,,
JTR_M024,JTR,1980s,-1.74,27.21,16.49,0.16,-0.00051,152.5,1.01,,,
JTR_M025,JTR,1980s,-1.8,27.31,16.49,0.16,-0.00051,152.5,1.01,,,
JTR_M026,JTR,1980s,-1.8,27.31,16.49,0.16,-0.00051,152.5,1.01,,,
JTR_M027,JTR,1980s,-1.8,27.31,16.49,0.16,-0.00051,152.5,1.01,,,
JTR_M028,JTR,1980s,-1.8,27.31,16.49,0.16,-0.00051,152.5,1.01,,,
JTR_M029,JTR,1980s,-1.65,27.49,16.49,0.16,-0.0005,152.5,1.01,,,
JTR_M033,JTR,1980s,-1.53,27.56,16.49,0.16,-0.0005,152.5,1.01,,,
JTR_M034,JTR,1980s,-1.63,27.39,16.49,0.16,-0.0005,152.5,1.01,,,
JTR_M035,JTR,1980s,-1.63,27.39,16.49,0.16,-0.0005,152.5,1.01,,,
JTR_M036,JTR,1980s,-1.36,28.01,16.49,0.16,-0.0005,152.5,1.01,,,
JTR_M037,JTR,1980s,-1.34,28.01,16.49,0.16,-0.0005,152.5,1.01,1.87,0.045,0.0034
JTR_M038,JTR,1980s,-1.34,28.01,16.49,0.16,-0.00049,152.5,1.01,,,
JTR_M039,JTR,1980s,-1.34,28.01,16.49,0.16,-0.00049,152.5,1.01,1.87,0.053,0.0041
JTR_M040,JTR,1980s,-1.35,28.18,16.49,0.16,-0.00049,152.5,1.01,2.93,0.084,0.0065
JTR_M041,JTR,1980s,-1.35,28.18,16.49,0.16,-0.00049,152.5,1.01,,,
JTR_M042,JTR,1980s,-1.32,28.18,16.49,0.16,-0.00049,152.5,1.01,,,
JTR_M046,JTR,1980s,-1.3,28.0,16.49,0.16,-0.00049,152.5,1.01,,,
JTR_M048,JTR,1980s,-1.3,28.0,16.49,0.16,-0.00049,152.5,1.01,,,
JTR_M049,JTR,1980s,-1.28,27.9,16.49,0.16,-0.00049,152.5,1.01,,,
JTR_M050,JTR,1980s,-1.28,27.9,16.49,0.16,-0.00049,152.5,1.01,,,
JTR_M051,JTR,1980s,-1.28,27.9,16.49,0.16,-0.00049,152.5,1.01,,,
JTR_M052,JTR,1980s,-1.26,27.82,16.49,0.16,-0.00049,152.5,1.01,,,
JTR_M053,JTR,1980s,-1.26,27.82,16.49,0.16,-0.00048,152.5,1.01,,,
JTR_M054,JTR,1980s,-1.24,27.81,16.49,0.16,-0.00048,152.5,1.01,,,
JTR_M055,JTR,1980s,-1.24,27.81,16.49,0.16,-0.00048,152.5,1.01,,,
JTR_M056,JTR,1980s,-1.15,27.73,16.49,0.16,-0.00048,152.5,1.01,,,
JTR_M057,JTR,1980s,-1.15,27.73,16.49,0.16,-0.00048,152.5,1.01,,,
JTR_M059,JTR,1980s,-1.15,27.55,16.49,0.16,-0.00048,152.5,1.01,,,
JTR_M060,JTR,1980s,-1.15,27.55,16.49,0.16,-0.00048,152.5,1.01,,,
JTR_M061,JTR,1980s,-1.15,27.46,16.49,0.16,-0.00048,152.5,1.01,,,
JTR_M062,JTR,1980s,-1.15,27.46,16.49,0.16,-0.00048,152.5,1.01,,,
JTR_M063,JTR,1980s,-1.13,27.0,16.49,0.16,-0.00047,152.5,1.01,,,
JTR_M065,JTR,1980s,-1.16,26.73,16.49,0.16,-0.00047,152.5,1.01,,,
JTR_M066,JTR,1980s,-1.18,26.73,16.49,0.16,-0.00047,152.5,1.01,,,
JTR_M067,JTR,1980s,-1.18,26.73,16.49,0.16,-0.00047,152.5,1.01,,,
JTR_M069,JTR,1980s,-1.17,26.73,16.49,0.16,-0.00047,152.5,1.01,,,
JTR_M070,JTR,1980s,-1.17,26.73,16.49,0.16,-0.00047,152.5,1.01,,,
JTR_M071,JTR,1980s,-1.17,26.73,16.49,0.16,-0.00047,152.5,1.01,,,
JTR_M072,JTR,1980s,-1.18,26.73,16.49,0.16,-0.00047,152.5,1.01,,,
JTR_M073,JTR,1980s,-1.16,26.72,16.49,0.16,-0.00047,152.5,1.01,,,
JTR_M074,JTR,1980s,-1.16,26.72,16.49,0.16,-0.00046,152.5,1.01,,,
JTR_M084,JTR,1980s,-1.01,26.43,16.49,0.16,-0.00045,152.5,1.01,,,
JTR_M086,JTR,1980s,-1.01,26.43,16.49,0.16,-0.00045,152.5,1.01,,,
LTR_M001,LTR,1980s,-1.29,20.86,16.49,0.16,-0.00042,152.5,1.01,,,
LTR_M002,LTR,1980s,-1.29,21.04,16.49,0.16,-0.00042,152.5,1.01,,,
LTR_M004,LTR,1980s,-1.29,21.04,16.49,0.16,-0.00042,152.5,1.01,,,
LTR_M005,LTR,1980s,-1.27,21.13,16.49,0.16,-0.00042,152.5,1.01,,,
LTR_M006,LTR,1980s,-1.27,21.13,16.49,0.16,-0.00042,152.5,1.01,,,
LTR_M007,LTR,1980s,-1.27,21.13,16.49,0.16,-0.00043,152.5,1.01,,,
LTR_M009,LTR,1980s,-1.33,21.13,16.49,0.16,-0.00043,152.5,1.01,,,
LTR_M010,LTR,1980s,-1.33,21.13,16.49,0.16,-0.00043,152.5,1.01,,,
LTR_M011,LTR,1980s,-1.27,21.13,16.49,0.16,-0.00043,152.5,1.01,,,
LTR_M012,LTR,1980s,-1.27,21.13,16.49,0.16,-0.00043,152.5,1.01,,,
LTR_M013,LTR,1980s,-1.27,21.22,16.49,0.16,-0.00043,152.5,1.01,,,
LTR_M014,LTR,1980s,-1.27,21.22,16.49,0.16,-0.00043,152.5,1.01,,,
LTR_M015,LTR,1980s,-1.26,21.4,16.49,0.16,-0.00043,152.5,1.01,,,
LTR_M016,LTR,1980s,-1.22,21.4,16.49,0.16,-0.00043,152.5,1.01,,,
LTR_M017,LTR,1980s,-1.26,21.4,16.49,0.16,-0.00043,152.5,1.01,,,
LTR_M018,LTR,1980s,-1.23,21.4,16.49,0.16,-0.00043,152.5,1.01,,,
LTR_M019,LTR,1980s,-1.26,21.4,16.49,0.16,-0.00043,152.5,1.01,,,
LTR_M020,LTR,1980s,-1.26,21.4,16.49,0.16,-0.00043,152.5,1.01,,,
LTR_M021,LTR,1980s,-1.26,21.4,16.49,0.16,-0.00043,152.5,1.01,,,
LTR_M022,LTR,1980s,-1.27,21.49,16.49,0.16,-0.00043,152.5,1.01,,,
