basin_id,export_ene,export_feb,export_mar,export_abr,export_may,export_jun,export_jul,export_ago,export_sep,export_oct,export_nov,export_dic
77,158.36,174.72,396.04,569.89,569.17,761.85,641.42,580.64,479.44,566.77,466.28,288.12
78,0.65,0.48,0.56,0.68,1.06,0.1,19.7,47.53,30.29,12.3,2.01,1.44
79,1.17,0.76,0.9,0.67,0.54,0.38,0.54,0.67,0.7,1.1,0.81,0.67
81,18.71,14.18,11.74,8.24,16.08,23.34,79.97,73.61,29.84,27.79,22.19,13.53
82,1.5,2.04,9.25,19.12,16.44,0.9,27.07,17.33,4.97,12.27,4.55,2.41
83,1.21,0.95,3.02,4.8,7.71,19.24,22.53,7.38,2.96,1.66,1.79,0.58
86,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,0.01,0.0,0.0,0.0,27.96,42.83,27.1,12.96,26.79,7.07,1.36,0.16
88,0.0,0.0,0.0,0.0,3.58,11.27,11.2,7.65,8.09,0.49,0.02,0.01
89,0.01,0.0,0.0,0.0,5.86,9.72,5.41,2.97,2.14,0.26,0.03,0.01
91,6.63,6.14,7.56,12.56,19.4,18.12,11.51,6.61,6.15,5.82,6.25,7.96
93,14.93,7.11,10.05,11.37,13.84,10.14,7.65,6.11,4.32,13.86,28.55,23.88
95,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.04,0.03,0.01,0.0,0.0
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,26.42,23.88,29.33,22.8,35.67,33.39,44.09,44.52,33.69,35.6,69.87,46.82
100,1.03,1.55,2.07,2.01,2.86,2.66,2.0,2.99,3.13,6.33,7.34,5.29
101,0.35,0.27,0.38,0.55,0.53,0.61,0.63,0.73,0.61,0.43,0.39,0.32
102,0.3,0.15,0.1,0.12,0.13,0.11,0.12,0.12,0.11,0.1,0.11,0.17
103,5.77,14.48,1.45,0.1,0.01,0.08,0.0,0.0,0.0,1.14,2.37,1.88
104,4.35,5.3,4.1,3.74,3.43,1.95,2.79,6.06,16.63,12.07,5.3,3.68
105,3.14,12.69,37.23,21.53,8.47,3.95,0.67,0.51,0.24,0.43,3.08,4.27
106,11.9,9.91,11.89,15.79,12.16,5.23,5.65,4.58,5.96,12.3,4.44,5.17
107,0.91,0.84,1.0,2.09,19.18,12.86,7.21,4.74,4.18,2.93,1.5,1.24
108,7.21,9.18,7.87,5.84,33.93,21.21,69.56,96.64,35.28,16.36,3.67,8.19
109,0.04,0.03,0.02,0.05,0.08,0.1,0.12,0.65,0.3,0.27,0.21,0.08
110,5.46,4.66,7.1,12.35,12.87,11.51,7.98,6.47,6.03,6.99,2.83,3.56
111,0.42,0.25,0.22,0.13,2.88,56.95,19.27,7.6,7.81,6.03,2.7,0.88
112,7.34,3.01,5.52,5.98,3.97,5.57,5.4,4.21,7.3,5.34,2.67,4.14
114,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,0.02,0.03,0.05,0.01,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.02
118,0.59,1.43,2.53,1.38,0.56,0.28,0.17,0.19,0.49,0.73,1.06,0.39
119,6.68,3.44,12.67,36.4,42.27,56.61,41.55,37.14,17.4,7.41,18.0,16.99
120,0.37,0.37,0.43,0.34,5.46,5.25,4.58,3.67,2.89,1.8,1.9,0.63
121,2.54,1.98,3.81,3.29,3.74,3.99,5.07,2.61,4.36,4.33,0.93,1.39
126,2.22,2.31,1.03,0.91,16.62,18.12,50.33,114.25,72.55,73.43,22.31,14.54
127,4.76,8.94,6.17,4.9,6.1,1.88,31.38,96.8,54.34,28.02,24.11,10.71
128,0.6,0.38,0.35,0.08,3.02,0.59,3.18,0.17,0.79,2.92,1.02,3.48
130,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
131,42.38,22.81,36.89,18.12,20.34,25.66,11.88,21.6,29.77,75.94,96.01,51.95
132,0.34,0.24,0.29,1.12,17.46,7.77,5.36,4.26,2.3,1.92,1.01,0.52
133,10.24,7.43,8.44,9.92,12.72,23.77,144.1,160.13,68.98,25.05,9.39,5.66
135,0.29,0.59,0.33,0.35,0.48,0.39,0.3,0.71,0.82,0.73,0.84,1.53
136,0.02,0.0,0.0,0.0,0.0,18.67,18.47,3.81,2.05,0.37,0.12,0.05
138,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02
139,0.55,0.41,0.56,0.43,0.58,0.81,2.57,7.41,13.49,7.59,1.13,0.55
140,3.11,9.29,0.67,0.9,6.89,0.41,5.09,0.28,0.21,0.4,0.49,3.55
141,0.24,0.6,0.31,0.24,0.32,0.09,0.06,0.14,0.24,0.21,0.61,0.36
142,1.78,1.42,2.65,1.49,1.8,1.29,1.06,1.83,1.48,2.18,1.08,1.05
143,6.39,2.93,7.91,8.65,4.99,2.96,5.09,1.21,1.06,2.63,1.79,2.85
144,0.71,2.18,1.35,0.53,0.5,0.16,0.02,0.2,0.49,0.24,0.76,1.16
145,1.44,0.76,1.97,3.67,17.05,16.45,12.12,18.9,10.83,4.24,1.86,1.1
146,0.21,0.21,0.22,2.45,12.24,4.32,3.41,3.21,1.61,2.12,1.71,0.41
147,0.42,0.21,0.07,0.06,0.0,0.01,17.55,38.53,31.09,21.96,7.12,1.25
148,0.91,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,1.95,1.68,2.13,2.11,4.18,2.7,2.57,2.1,2.1,2.81,2.34,2.11
150,1.74,1.25,0.06,0.29,1.07,0.07,0.03,0.01,0.01,0.0,0.0,0.02
152,1.98,2.53,4.09,4.4,2.52,4.69,3.31,1.72,1.19,2.2,2.84,2.54
153,0.49,0.11,0.1,0.12,0.17,0.25,0.09,0.05,0.08,0.08,0.18,0.31
154,0.03,0.01,0.0,0.0,0.0,3.32,1.35,0.71,0.56,0.9,0.31,0.06
155,35.17,50.41,8.19,11.79,4.02,0.76,1.03,0.43,0.17,0.01,11.87,53.55
156,1.34,1.21,0.49,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.07,0.45
157,3.22,1.62,0.54,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.29,1.23
159,0.0,0.0,0.0,0.0,0.0,0.2,0.86,0.27,0.29,0.05,0.0,0.0
161,8.98,5.54,6.41,3.6,0.56,0.59,0.57,6.49,15.57,24.88,17.83,10.33
162,0.32,0.27,0.29,0.28,6.18,6.38,4.45,3.07,1.43,1.03,0.55,0.37
163,0.69,1.22,1.1,2.0,6.45,5.49,4.85,2.66,1.75,5.85,1.86,0.83
165,3.67,5.21,5.48,8.42,8.07,8.15,6.84,6.97,6.96,10.54,4.88,3.1
166,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.0,0.0,0.0,0.0,0.0
167,1.02,1.01,0.99,0.81,1.0,1.17,1.95,2.27,1.99,2.15,1.85,1.08
168,3.51,3.22,4.72,4.45,4.06,1.8,0.98,0.44,0.99,1.5,2.21,3.6
169,0.01,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
170,1.17,1.08,1.95,2.51,3.13,1.1,0.81,0.33,0.48,0.41,0.36,0.73
171,3.26,2.28,7.27,8.44,6.65,1.49,1.22,1.16,1.43,1.51,2.99,6.45
172,2.45,2.48,4.56,3.0,3.97,4.66,4.28,3.17,2.4,1.66,1.37,1.08
173,0.01,0.0,0.01,0.01,0.05,0.16,0.36,0.3,0.8,0.12,0.03,0.02
174,6.23,10.87,24.24,12.27,7.7,0.0,0.0,0.0,0.0,0.0,0.79,1.19
175,1.51,2.21,2.23,1.39,1.68,2.67,2.34,1.03,1.57,1.66,1.81,1.47
176,0.83,0.84,1.83,1.85,2.5,11.31,11.05,12.11,5.62,3.84,2.02,1.27
177,0.48,1.12,5.72,10.83,6.14,4.54,4.06,4.02,2.6,1.79,0.63,0.53
178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,0.33,0.39,0.38,0.68,2.14,1.42,1.1,0.92,0.69,0.56,0.44,0.41
180,1.62,1.82,1.62,0.81,0.92,1.99,1.15,1.15,3.73,1.9,1.38,1.27
181,0.06,0.03,0.05,0.05,0.08,0.82,1.2,0.87,1.42,0.33,0.1,0.06
182,60.17,70.18,46.07,10.85,5.9,3.77,3.36,2.39,2.45,4.21,7.88,20.2
183,0.0,0.01,0.0,0.08,0.03,0.04,0.0,0.0,0.04,0.0,0.0,0.0
184,37.9,56.68,49.77,33.87,9.59,3.24,1.08,0.36,0.17,0.09,0.09,0.31
185,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.02,0.01
187,0.94,0.98,0.82,3.24,27.01,13.35,4.78,4.42,4.03,3.46,1.74,1.18
188,0.04,0.04,0.06,0.22,0.09,0.04,0.04,0.06,0.04,0.04,0.04,0.03
190,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.0,0.0
191,0.0,0.05,0.01,0.01,1.76,1.32,0.03,0.01,0.1,0.01,0.0,0.0
193,1.0,0.94,4.24,9.13,5.54,4.13,3.33,2.27,1.52,1.8,1.04,0.75
194,0.0,0.0,0.0,0.0,0.0,0.1,1.15,0.46,0.71,0.03,0.0,0.0
195,6.9,16.9,17.57,27.11,20.4,30.6,35.03,26.33,18.88,16.75,16.29,14.02
196,0.45,0.26,0.71,1.88,1.8,0.43,0.55,0.54,0.36,0.34,0.27,0.12
198,2.38,1.59,9.32,16.69,27.26,53.64,35.58,18.4,9.15,16.35,8.75,5.04
199,9.17,7.17,8.75,12.24,62.66,80.95,56.2,32.92,23.16,16.7,11.32,8.99
200,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
201,144.19,159.66,183.68,187.97,165.4,158.38,126.2,200.24,253.07,270.13,198.16,173.1
202,0.01,0.0,0.0,0.0,0.0,0.0,10.62,0.44,0.08,0.03,0.02,0.01
203,21.11,9.0,4.45,7.02,3.45,6.08,14.22,40.23,23.4,17.85,18.03,13.67
205,60.34,68.87,98.17,46.65,33.47,19.6,30.44,31.43,45.52,55.26,57.67,49.73
206,163.99,128.0,141.22,93.1,62.88,41.82,33.94,47.9,59.89,78.2,112.61,89.86
207,0.8,0.72,2.7,5.07,1.07,0.67,0.09,0.04,0.02,0.03,0.14,0.33
208,6.36,4.63,2.99,3.04,2.94,4.47,7.0,18.71,26.97,32.47,19.5,9.17
209,0.03,0.01,0.02,0.01,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0
210,0.19,0.15,0.16,0.45,2.81,2.3,1.44,1.07,0.49,0.56,0.61,0.32
211,0.04,0.02,0.02,1.07,6.93,2.05,0.81,0.65,0.39,0.39,0.25,0.06
212,8.66,0.8,0.9,0.44,0.38,0.76,4.87,22.17,7.5,3.77,1.56,1.73
213,77.09,66.99,86.96,79.81,89.55,55.88,54.03,56.86,72.13,89.37,81.55,72.29
214,0.51,0.72,6.0,19.33,18.68,11.97,8.05,5.99,3.85,3.02,1.47,1.27
215,91.02,7.51,0.95,0.22,0.17,0.18,9.01,1.99,0.2,0.19,0.49,0.52
216,18.04,11.35,32.21,31.3,23.56,19.2,14.37,9.2,10.86,16.14,6.74,6.76
217,0.7,0.66,1.16,1.82,1.6,1.65,1.61,2.64,1.13,0.81,0.76,3.73
218,0.04,0.04,0.11,1.89,0.17,0.09,0.01,0.0,0.0,0.0,0.02,0.03
219,1.08,0.65,0.66,0.51,0.59,0.72,0.86,5.62,21.78,24.74,6.24,1.68
220,1.11,5.86,4.35,3.71,5.97,1.94,0.71,0.63,1.76,1.69,3.09,0.8
221,2.28,2.58,3.64,4.23,9.2,7.14,1.74,3.47,3.63,6.6,0.91,1.15
222,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0
223,18.68,10.82,8.74,12.05,8.32,2.87,2.41,3.72,7.44,7.9,13.82,16.89
224,6.12,7.9,1.77,0.77,1.87,0.08,0.74,0.01,0.02,0.03,0.04,1.8
225,100.8,78.38,107.12,95.31,109.73,74.39,59.67,78.26,108.72,99.69,99.13,108.92
226,5.77,10.29,24.75,25.87,13.88,9.58,4.18,1.53,1.24,0.77,0.73,0.83
227,4.49,13.88,8.0,2.78,0.67,0.3,0.25,0.37,0.53,0.77,1.1,3.45
228,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
229,0.04,0.03,0.03,0.03,0.03,0.02,0.04,0.03,0.02,0.03,0.04,0.04
230,0.1,0.08,0.07,0.05,0.07,0.05,0.05,0.05,0.05,0.05,0.03,0.05
233,0.04,0.07,0.08,0.25,0.29,0.15,0.22,0.08,0.08,0.09,0.04,0.02
234,0.66,0.94,0.32,1.46,0.25,0.31,0.25,0.45,3.9,1.39,0.07,1.05
235,0.0,0.0,0.0,0.0,0.0,4.1,0.55,0.51,1.01,0.81,0.19,0.01
236,7.4,7.29,6.06,12.64,17.36,42.24,29.31,33.67,55.62,30.96,20.45,9.71
237,44.71,28.94,8.42,2.02,0.98,0.82,0.84,0.72,0.63,1.2,6.31,38.3
238,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.02,0.01,0.0,0.0,0.0
239,12.84,12.08,38.59,37.07,56.28,54.46,37.5,35.47,17.39,9.95,21.95,15.83
240,3.27,8.4,25.43,17.44,56.91,45.48,6.49,1.9,2.71,3.72,3.77,4.36
241,0.08,0.11,0.17,0.22,1.95,6.18,8.03,7.21,7.53,2.7,0.6,0.17
243,0.56,2.09,1.97,3.28,21.17,51.44,10.35,3.71,2.38,1.41,0.98,0.74
245,12.12,4.66,14.67,12.15,2.94,1.13,1.05,1.4,1.42,1.18,2.82,4.27
246,0.32,0.1,0.84,2.43,7.16,6.24,32.81,24.42,5.47,5.71,4.52,1.67
247,0.12,0.12,0.32,0.29,0.13,0.1,0.07,0.15,0.17,0.2,0.15,0.86
248,4.99,9.53,20.79,11.19,13.28,9.68,9.15,10.07,4.84,3.39,8.13,4.32
249,0.19,0.24,0.65,3.52,1.91,0.33,0.11,0.07,0.21,0.19,0.15,0.17
250,0.02,0.01,0.01,0.17,1.27,0.75,0.43,0.85,1.7,0.29,0.07,0.04
251,0.08,0.23,0.14,0.16,0.2,0.31,0.27,0.21,0.23,0.19,0.2,0.1
252,0.0,0.0,0.0,0.0,0.02,0.1,0.04,0.07,0.03,0.01,0.01,0.01
253,8.61,8.21,6.78,3.72,0.78,0.6,0.41,0.39,0.58,1.16,2.65,4.03
254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
255,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0
256,0.24,0.31,0.27,0.15,0.09,0.08,0.05,0.19,0.22,0.07,0.07,0.06
257,0.48,0.47,0.45,0.4,7.19,9.85,7.12,5.45,3.77,1.38,0.8,0.55
258,27.8,7.43,16.88,0.72,0.0,0.0,0.0,0.01,0.0,0.0,0.09,3.43
259,2.17,2.09,0.04,0.07,0.8,0.03,0.12,0.01,0.0,0.0,0.0,1.04
260,12.53,9.64,12.19,10.37,10.73,16.32,12.34,11.28,14.45,9.02,11.98,18.98
261,65.81,68.34,96.41,58.19,38.65,31.53,94.92,38.02,48.97,70.1,76.33,73.57
262,7.41,4.75,13.36,28.62,47.71,44.23,36.6,40.42,39.65,72.79,56.56,22.72
263,32.08,10.28,7.51,7.17,4.28,1.84,1.01,0.85,0.78,1.91,4.99,23.3
264,1.28,1.07,1.33,1.22,1.2,2.81,2.39,1.8,1.85,1.28,1.09,1.0
265,4.75,12.1,14.46,2.84,0.58,0.17,0.39,0.0,0.0,0.0,0.84,3.19
266,0.02,0.0,0.0,0.0,1.7,2.68,0.64,0.47,0.65,0.5,0.14,0.04
267,0.34,0.19,0.08,0.06,0.0,0.02,0.06,0.14,0.33,0.57,0.08,0.06
268,0.22,0.12,0.14,0.25,0.17,0.16,0.14,0.16,0.19,0.09,0.11,0.16
269,0.01,0.03,0.03,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.02,0.02
271,0.83,0.48,0.76,0.93,0.42,0.41,0.3,0.51,0.6,0.42,0.55,0.73
272,0.29,0.47,0.4,0.65,0.3,0.08,0.04,0.04,0.16,0.11,0.12,0.1
273,38.86,34.13,37.99,26.34,35.63,24.43,14.48,25.37,33.42,44.04,45.47,39.71
274,0.03,0.03,0.03,0.03,0.04,0.02,0.03,0.02,0.03,0.03,0.02,0.02
275,0.92,1.86,2.83,3.28,6.41,21.48,16.58,4.87,4.75,1.78,1.62,0.85
276,0.1,0.05,0.05,0.06,4.75,4.93,2.72,1.79,0.88,0.6,0.27,0.11
277,0.9,0.74,1.77,4.92,1.78,2.76,1.06,1.75,2.44,1.27,1.38,0.75
278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
279,0.21,0.19,0.22,0.15,0.91,2.13,1.44,1.03,0.87,0.6,0.38,0.27
280,0.23,0.15,0.57,4.34,1.69,0.69,0.46,0.4,0.57,0.24,0.45,0.33
281,0.56,0.3,0.35,0.41,0.23,0.1,0.09,0.02,0.02,0.04,0.05,0.16
282,0.29,0.21,0.2,0.42,2.61,2.02,1.37,1.06,0.5,0.64,0.69,0.42
283,0.78,0.79,0.63,3.96,14.56,4.19,1.44,1.74,2.14,1.38,0.93,1.0
284,0.01,0.01,0.02,0.26,1.13,0.63,0.47,0.29,0.15,0.11,0.09,0.03
285,5.96,6.96,7.57,5.64,2.08,0.91,16.44,79.15,123.24,35.06,10.59,3.76
286,0.32,0.53,0.94,1.56,1.12,1.18,0.84,0.58,0.92,0.51,0.3,0.28
287,0.24,0.41,0.3,0.14,0.46,0.34,0.19,0.07,0.3,0.11,0.31,0.69
288,0.74,0.6,0.87,0.97,5.57,7.5,5.65,3.14,1.4,1.01,0.81,0.64
289,87.38,83.23,96.59,173.37,323.58,678.3,1004.65,947.53,1028.42,1059.89,575.38,188.72
290,173.16,178.95,193.96,99.02,103.46,113.4,68.04,161.2,185.24,181.16,145.58,146.59
294,0.38,0.51,0.65,0.99,0.37,0.74,0.18,0.34,0.23,0.29,0.36,0.18
295,3.2,0.98,1.51,1.09,0.84,0.31,0.68,0.56,0.51,0.18,0.56,1.85
296,19.67,30.08,58.4,14.45,4.84,1.86,0.46,0.21,0.1,0.02,0.07,1.66
297,18.35,17.5,4.82,0.9,0.25,0.04,0.02,0.0,0.01,0.08,0.8,5.19
298,0.31,0.0,0.0,0.01,1.88,0.34,1.04,4.46,4.47,3.84,0.69,1.1
299,0.44,0.38,0.32,0.29,0.27,0.59,2.46,4.04,1.14,0.64,0.41,0.23
300,0.04,0.03,0.1,0.07,0.0,0.0,0.0,0.0,0.02,0.06,0.05,0.08
302,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01
303,0.55,1.84,2.48,8.52,10.61,7.3,5.79,3.84,2.27,4.22,1.56,1.37
304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
305,0.26,0.24,0.32,0.71,2.09,1.23,1.38,1.24,0.43,0.36,0.38,0.28
306,176.73,17.89,13.63,109.04,259.35,136.74,171.83,197.27,206.39,234.55,1203.42,464.03
308,0.37,0.29,0.36,0.47,1.31,1.48,0.92,0.64,0.51,0.66,0.43,0.28
309,50.93,32.96,30.65,34.76,35.67,36.07,40.01,59.06,181.13,506.53,121.64,77.15
310,1.11,0.81,1.98,0.29,0.0,0.0,0.64,0.17,0.0,0.0,0.09,0.61
311,0.81,0.76,1.0,1.02,1.12,0.72,0.66,0.55,0.42,0.24,0.53,0.67
312,0.04,0.04,0.03,0.04,0.03,0.02,0.03,0.07,0.1,0.04,0.09,0.05
313,2.28,3.76,3.91,2.47,6.88,23.22,30.98,11.12,13.81,10.61,4.44,1.41
314,1.01,0.93,1.39,4.2,3.4,10.87,19.26,20.68,8.83,2.06,1.71,1.07
315,1.55,1.6,2.08,1.76,1.09,0.82,2.82,19.56,7.14,1.89,1.35,0.99
316,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
317,14.53,4.38,1.76,1.81,1.13,1.12,0.62,0.29,0.22,0.25,2.69,16.3
318,3.4,2.4,2.47,2.22,6.05,12.22,10.71,14.46,8.57,8.31,3.17,5.46
320,3.06,3.66,3.13,5.77,5.3,6.82,24.01,30.3,22.79,20.98,9.59,6.13
321,0.02,0.06,0.03,0.01,0.0,0.09,0.02,0.12,0.06,0.01,0.06,0.35
322,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
323,42.81,10.59,24.23,1.52,0.0,0.0,0.0,0.0,0.0,0.06,0.65,14.13
325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
