rango_tamano,fraccion,referencia
500-5000um,0.03,"Maneesh Kumar S K, Kartha A R, Rajathy S, et al. Characterization of suspended microplastics in surface waters of Chalakudy River, Kerala, India[J]. Chemistry and Ecology, 2023, 39(3): 268-287."
0.5-1mm,0.52,"Zhao S, Zhu L, Li D. Microplastic in three urban estuaries, China[J]. Environmental pollution, 2015, 206: 597-604."
1-2mm,0.3,"Zhao S, Zhu L, Li D. Microplastic in three urban estuaries, China[J]. Environmental pollution, 2015, 206: 597-604."
2-3mm,0.12,"Zhao S, Zhu L, Li D. Microplastic in three urban estuaries, China[J]. Environmental pollution, 2015, 206: 597-604."
3-4mm,0.04,"Zhao S, Zhu L, Li D. Microplastic in three urban estuaries, China[J]. Environmental pollution, 2015, 206: 597-604."
4-5mm,0.02,"Zhao S, Zhu L, Li D. Microplastic in three urban estuaries, China[J]. Environmental pollution, 2015, 206: 597-604."
0.3-1mm,0.57,"Unnikrishnan V, Valsan G, Amrutha K, et al. A baseline study of microplastic pollution in a Southern Indian Estuary[J]. Marine Pollution Bulletin, 2023, 186: 114468."
1-5mm,0.43,"Unnikrishnan V, Valsan G, Amrutha K, et al. A baseline study of microplastic pollution in a Southern Indian Estuary[J]. Marine Pollution Bulletin, 2023, 186: 114468."
63-125um,0.09,"Rakib M R J, Al Nahian S, Madadi R, et al. Spatiotemporal trends and characteristics of microplastic contamination in a large river-dominated estuary[J]. Environmental Science: Processes & Impacts, 2023, 25(5): 929-940."
125-250um,0.15,"Rakib M R J, Al Nahian S, Madadi R, et al. Spatiotemporal trends and characteristics of microplastic contamination in a large river-dominated estuary[J]. Environmental Science: Processes & Impacts, 2023, 25(5): 929-940."
250-1000um,0.2,"Rakib M R J, Al Nahian S, Madadi R, et al. Spatiotemporal trends and characteristics of microplastic contamination in a large river-dominated estuary[J]. Environmental Science: Processes & Impacts, 2023, 25(5): 929-940."
1000-5000um,0.57,"Rakib M R J, Al Nahian S, Madadi R, et al. Spatiotemporal trends and characteristics of microplastic contamination in a large river-dominated estuary[J]. Environmental Science: Processes & Impacts, 2023, 25(5): 929-940."
75um-125um,0.05,"Osorio E D, Tanchuling M A N, Diola M B L D. Microplastics occurrence in surface waters and sediments in five river mouths of Manila Bay[J]. Frontiers in Environmental Science, 2021, 9: 719274."
125-250um,0.05,"Osorio E D, Tanchuling M A N, Diola M B L D. Microplastics occurrence in surface waters and sediments in five river mouths of Manila Bay[J]. Frontiers in Environmental Science, 2021, 9: 719274."
250-500um,0.13,"Osorio E D, Tanchuling M A N, Diola M B L D. Microplastics occurrence in surface waters and sediments in five river mouths of Manila Bay[J]. Frontiers in Environmental Science, 2021, 9: 719274."
500-1000um,0.27,"Osorio E D, Tanchuling M A N, Diola M B L D. Microplastics occurrence in surface waters and sediments in five river mouths of Manila Bay[J]. Frontiers in Environmental Science, 2021, 9: 719274."
1000-2360um,0.38,"Osorio E D, Tanchuling M A N, Diola M B L D. Microplastics occurrence in surface waters and sediments in five river mouths of Manila Bay[J]. Frontiers in Environmental Science, 2021, 9: 719274."
2360-5000um,0.13,"Osorio E D, Tanchuling M A N, Diola M B L D. Microplastics occurrence in surface waters and sediments in five river mouths of Manila Bay[J]. Frontiers in Environmental Science, 2021, 9: 719274."
0.048-0.3mm,0.34,"Wu N, Zhang Y, Zhang X, et al. Occurrence and distribution of microplastics in the surface water and sediment of two typical estuaries in Bohai Bay, China[J]. Environmental Science: Processes & Impacts, 2019, 21(7): 1143-1152."
0.3-1mm,0.31,"Wu N, Zhang Y, Zhang X, et al. Occurrence and distribution of microplastics in the surface water and sediment of two typical estuaries in Bohai Bay, China[J]. Environmental Science: Processes & Impacts, 2019, 21(7): 1143-1152."
1-2mm,0.14,"Wu N, Zhang Y, Zhang X, et al. Occurrence and distribution of microplastics in the surface water and sediment of two typical estuaries in Bohai Bay, China[J]. Environmental Science: Processes & Impacts, 2019, 21(7): 1143-1152."
2-3mm,0.12,"Wu N, Zhang Y, Zhang X, et al. Occurrence and distribution of microplastics in the surface water and sediment of two typical estuaries in Bohai Bay, China[J]. Environmental Science: Processes & Impacts, 2019, 21(7): 1143-1152."
3-4mm,0.04,"Wu N, Zhang Y, Zhang X, et al. Occurrence and distribution of microplastics in the surface water and sediment of two typical estuaries in Bohai Bay, China[J]. Environmental Science: Processes & Impacts, 2019, 21(7): 1143-1152."
4-5mm,0.04,"Wu N, Zhang Y, Zhang X, et al. Occurrence and distribution of microplastics in the surface water and sediment of two typical estuaries in Bohai Bay, China[J]. Environmental Science: Processes & Impacts, 2019, 21(7): 1143-1152."
1-50um,0.07,"dos Santos Trindade L, Gloaguen T V, Benevides T S F, et al. Microplastics in surface waters of tropical estuaries around a densely populated Brazilian bay[J]. Environmental Pollution, 2023, 323: 121224."
50-100um,0.36,"dos Santos Trindade L, Gloaguen T V, Benevides T S F, et al. Microplastics in surface waters of tropical estuaries around a densely populated Brazilian bay[J]. Environmental Pollution, 2023, 323: 121224."
100-500um,0.56,"dos Santos Trindade L, Gloaguen T V, Benevides T S F, et al. Microplastics in surface waters of tropical estuaries around a densely populated Brazilian bay[J]. Environmental Pollution, 2023, 323: 121224."
500-1000um,0.0,"dos Santos Trindade L, Gloaguen T V, Benevides T S F, et al. Microplastics in surface waters of tropical estuaries around a densely populated Brazilian bay[J]. Environmental Pollution, 2023, 323: 121224."
1000-5000um,0.0,"dos Santos Trindade L, Gloaguen T V, Benevides T S F, et al. Microplastics in surface waters of tropical estuaries around a densely populated Brazilian bay[J]. Environmental Pollution, 2023, 323: 121224."
0.05-0.5mm,0.33,"Nan B, Su L, Kellar C, et al. Identification of microplastics in surface water and Australian freshwater shrimp Paratya australiensis in Victoria, Australia[J]. Environmental Pollution, 2020, 259: 113865."
0.5-1mm,0.33,"Nan B, Su L, Kellar C, et al. Identification of microplastics in surface water and Australian freshwater shrimp Paratya australiensis in Victoria, Australia[J]. Environmental Pollution, 2020, 259: 113865."
1-1.5mm,0.18,"Nan B, Su L, Kellar C, et al. Identification of microplastics in surface water and Australian freshwater shrimp Paratya australiensis in Victoria, Australia[J]. Environmental Pollution, 2020, 259: 113865."
1.5-2mm,0.05,"Nan B, Su L, Kellar C, et al. Identification of microplastics in surface water and Australian freshwater shrimp Paratya australiensis in Victoria, Australia[J]. Environmental Pollution, 2020, 259: 113865."
2-2.5mm,0.05,"Nan B, Su L, Kellar C, et al. Identification of microplastics in surface water and Australian freshwater shrimp Paratya australiensis in Victoria, Australia[J]. Environmental Pollution, 2020, 259: 113865."
2.5-3mm,0.04,"Nan B, Su L, Kellar C, et al. Identification of microplastics in surface water and Australian freshwater shrimp Paratya australiensis in Victoria, Australia[J]. Environmental Pollution, 2020, 259: 113865."
3-3.5mm,0.0,"Nan B, Su L, Kellar C, et al. Identification of microplastics in surface water and Australian freshwater shrimp Paratya australiensis in Victoria, Australia[J]. Environmental Pollution, 2020, 259: 113865."
3.5-4mm,0.0,"Nan B, Su L, Kellar C, et al. Identification of microplastics in surface water and Australian freshwater shrimp Paratya australiensis in Victoria, Australia[J]. Environmental Pollution, 2020, 259: 113865."
4-4.5mm,0.01,"Nan B, Su L, Kellar C, et al. Identification of microplastics in surface water and Australian freshwater shrimp Paratya australiensis in Victoria, Australia[J]. Environmental Pollution, 2020, 259: 113865."
4.5-5mm,0.01,"Nan B, Su L, Kellar C, et al. Identification of microplastics in surface water and Australian freshwater shrimp Paratya australiensis in Victoria, Australia[J]. Environmental Pollution, 2020, 259: 113865."
0.33-0.5mm,0.0,"Lin H, Pan H, Sun J, et al. Transboundary microplastic pollution in Xiamen Bay and adjacent Jiulong River estuary after the outbreak of COVID-19[J]. Science of The Total Environment, 2023, 861: 160562."
0.5-1mm,0.03,"Lin H, Pan H, Sun J, et al. Transboundary microplastic pollution in Xiamen Bay and adjacent Jiulong River estuary after the outbreak of COVID-19[J]. Science of The Total Environment, 2023, 861: 160562."
1-2.5mm,0.32,"Lin H, Pan H, Sun J, et al. Transboundary microplastic pollution in Xiamen Bay and adjacent Jiulong River estuary after the outbreak of COVID-19[J]. Science of The Total Environment, 2023, 861: 160562."
2.5-5mm,0.64,"Lin H, Pan H, Sun J, et al. Transboundary microplastic pollution in Xiamen Bay and adjacent Jiulong River estuary after the outbreak of COVID-19[J]. Science of The Total Environment, 2023, 861: 160562."
