lon_e,lat_n,conc_items_m3,conc_mg_m3,conc_armonizada_items_m3,fecha_muestreo,rio,malla,metodo,referencia,malla_um,anio,region_aprox
-6.56,34.3,18.0,,17.23,2020December16,Sebou River,0.45µm,Pump,"Haddout S, Gimiliani G T, Priya K L, et al. Microplastics in surface waters and sediments in the Sebou Estuary and Atlantic Coast, Morocco[J]. Analytical letters, 2022, 55(2): 256-268.",0.45,2020.0,África
-6.55,34.34,15.0,,14.36,2020December16,Sebou River,0.45µm,Pump,"Haddout S, Gimiliani G T, Priya K L, et al. Microplastics in surface waters and sediments in the Sebou Estuary and Atlantic Coast, Morocco[J]. Analytical letters, 2022, 55(2): 256-268.",0.45,2020.0,África
117.73,38.97,1485.7,,1480.67,2018,Haihe River,48µm,Pump,"Wu N, Zhang Y, Zhang X, et al. Occurrence and distribution of microplastics in the surface water and sediment of two typical estuaries in Bohai Bay, China[J]. Environmental Science: Processes & Impacts, 2019, 21(7): 1143-1152.",48.0,2018.0,Asia
117.75,39.08,788.0,,785.33,2018,Yongdingxinhe River,48µm,Pump,"Wu N, Zhang Y, Zhang X, et al. Occurrence and distribution of microplastics in the surface water and sediment of two typical estuaries in Bohai Bay, China[J]. Environmental Science: Processes & Impacts, 2019, 21(7): 1143-1152.",48.0,2018.0,Asia
30.42,31.4,761.0,,768.27,2021June16,Nile River,55µm,Pump,"Shabaka S, Moawad M N, Ibrahim M I A, et al. Prevalence and risk assessment of microplastics in the Nile Delta estuaries:“The Plastic Nile” revisited[J]. Science of The Total Environment, 2022, 852: 158446.",55.0,2021.0,África
31.81,31.42,1718.0,,1734.42,2021June16,Nile River,55µm,Pump,"Shabaka S, Moawad M N, Ibrahim M I A, et al. Prevalence and risk assessment of microplastics in the Nile Delta estuaries:“The Plastic Nile” revisited[J]. Science of The Total Environment, 2022, 852: 158446.",55.0,2021.0,África
-38.9,-13.11,5800.0,,5832.23,2019October,Jaguaripe River,53µm,Pump,"dos Santos Trindade L, Gloaguen T V, Benevides T S F, et al. Microplastics in surface waters of tropical estuaries around a densely populated Brazilian bay[J]. Environmental Pollution, 2023, 323: 121224.",53.0,2019.0,Sudamérica
-38.9,-13.11,4910.0,,4937.29,2019December,Jaguaripe River,53µm,Pump,"dos Santos Trindade L, Gloaguen T V, Benevides T S F, et al. Microplastics in surface waters of tropical estuaries around a densely populated Brazilian bay[J]. Environmental Pollution, 2023, 323: 121224.",53.0,2019.0,Sudamérica
-38.9,-13.11,1420.0,,1427.89,2020February,Jaguaripe River,53µm,Pump,"dos Santos Trindade L, Gloaguen T V, Benevides T S F, et al. Microplastics in surface waters of tropical estuaries around a densely populated Brazilian bay[J]. Environmental Pollution, 2023, 323: 121224.",53.0,2020.0,Sudamérica
-39.0,-13.03,2010.0,,2021.17,2019October,Jaguaripe River,53µm,Pump,"dos Santos Trindade L, Gloaguen T V, Benevides T S F, et al. Microplastics in surface waters of tropical estuaries around a densely populated Brazilian bay[J]. Environmental Pollution, 2023, 323: 121224.",53.0,2019.0,Sudamérica
-39.0,-13.03,5690.0,,5721.62,2019December,Jaguaripe River,53µm,Pump,"dos Santos Trindade L, Gloaguen T V, Benevides T S F, et al. Microplastics in surface waters of tropical estuaries around a densely populated Brazilian bay[J]. Environmental Pollution, 2023, 323: 121224.",53.0,2019.0,Sudamérica
-39.0,-13.03,1980.0,,1991.0,2020February,Jaguaripe River,53µm,Pump,"dos Santos Trindade L, Gloaguen T V, Benevides T S F, et al. Microplastics in surface waters of tropical estuaries around a densely populated Brazilian bay[J]. Environmental Pollution, 2023, 323: 121224.",53.0,2020.0,Sudamérica
-38.96,-13.0,4800.0,,4826.68,2019October,Jaguaripe River,53µm,Pump,"dos Santos Trindade L, Gloaguen T V, Benevides T S F, et al. Microplastics in surface waters of tropical estuaries around a densely populated Brazilian bay[J]. Environmental Pollution, 2023, 323: 121224.",53.0,2019.0,Sudamérica
-38.96,-13.0,2570.0,,2584.28,2019December,Jaguaripe River,53µm,Pump,"dos Santos Trindade L, Gloaguen T V, Benevides T S F, et al. Microplastics in surface waters of tropical estuaries around a densely populated Brazilian bay[J]. Environmental Pollution, 2023, 323: 121224.",53.0,2019.0,Sudamérica
-38.96,-13.0,1130.0,,1136.28,2020February,Jaguaripe River,53µm,Pump,"dos Santos Trindade L, Gloaguen T V, Benevides T S F, et al. Microplastics in surface waters of tropical estuaries around a densely populated Brazilian bay[J]. Environmental Pollution, 2023, 323: 121224.",53.0,2020.0,Sudamérica
-38.91,-12.78,3460.0,,3479.23,2019October,Paraguaçu River,53µm,Pump,"dos Santos Trindade L, Gloaguen T V, Benevides T S F, et al. Microplastics in surface waters of tropical estuaries around a densely populated Brazilian bay[J]. Environmental Pollution, 2023, 323: 121224.",53.0,2019.0,Sudamérica
-38.91,-12.78,3010.0,,3026.73,2019December,Paraguaçu River,53µm,Pump,"dos Santos Trindade L, Gloaguen T V, Benevides T S F, et al. Microplastics in surface waters of tropical estuaries around a densely populated Brazilian bay[J]. Environmental Pollution, 2023, 323: 121224.",53.0,2019.0,Sudamérica
-38.91,-12.78,850.0,,854.72,2020February,Paraguaçu River,53µm,Pump,"dos Santos Trindade L, Gloaguen T V, Benevides T S F, et al. Microplastics in surface waters of tropical estuaries around a densely populated Brazilian bay[J]. Environmental Pollution, 2023, 323: 121224.",53.0,2020.0,Sudamérica
-38.86,-12.66,2900.0,,2916.12,2019October,Paraguaçu River,53µm,Pump,"dos Santos Trindade L, Gloaguen T V, Benevides T S F, et al. Microplastics in surface waters of tropical estuaries around a densely populated Brazilian bay[J]. Environmental Pollution, 2023, 323: 121224.",53.0,2019.0,Sudamérica
-38.86,-12.66,15700.0,,15787.25,2019December,Paraguaçu River,53µm,Pump,"dos Santos Trindade L, Gloaguen T V, Benevides T S F, et al. Microplastics in surface waters of tropical estuaries around a densely populated Brazilian bay[J]. Environmental Pollution, 2023, 323: 121224.",53.0,2019.0,Sudamérica
-38.86,-12.66,1700.0,,1709.45,2020February,Paraguaçu River,53µm,Pump,"dos Santos Trindade L, Gloaguen T V, Benevides T S F, et al. Microplastics in surface waters of tropical estuaries around a densely populated Brazilian bay[J]. Environmental Pollution, 2023, 323: 121224.",53.0,2020.0,Sudamérica
-38.72,-12.58,4570.0,,4595.4,2019October,Subaé River,53µm,Pump,"dos Santos Trindade L, Gloaguen T V, Benevides T S F, et al. Microplastics in surface waters of tropical estuaries around a densely populated Brazilian bay[J]. Environmental Pollution, 2023, 323: 121224.",53.0,2019.0,Sudamérica
-38.72,-12.58,7140.0,,7179.68,2019December,Subaé River,53µm,Pump,"dos Santos Trindade L, Gloaguen T V, Benevides T S F, et al. Microplastics in surface waters of tropical estuaries around a densely populated Brazilian bay[J]. Environmental Pollution, 2023, 323: 121224.",53.0,2019.0,Sudamérica
-38.72,-12.58,640.0,,643.56,2020February,Subaé River,53µm,Pump,"dos Santos Trindade L, Gloaguen T V, Benevides T S F, et al. Microplastics in surface waters of tropical estuaries around a densely populated Brazilian bay[J]. Environmental Pollution, 2023, 323: 121224.",53.0,2020.0,Sudamérica
-38.72,-12.58,32800.0,,32982.28,2019October,Subaé River,53µm,Pump,"dos Santos Trindade L, Gloaguen T V, Benevides T S F, et al. Microplastics in surface waters of tropical estuaries around a densely populated Brazilian bay[J]. Environmental Pollution, 2023, 323: 121224.",53.0,2019.0,Sudamérica
-38.72,-12.58,19800.0,,19910.03,2019December,Subaé River,53µm,Pump,"dos Santos Trindade L, Gloaguen T V, Benevides T S F, et al. Microplastics in surface waters of tropical estuaries around a densely populated Brazilian bay[J]. Environmental Pollution, 2023, 323: 121224.",53.0,2019.0,Sudamérica
-38.72,-12.58,3330.0,,3348.51,2020February,Subaé River,53µm,Pump,"dos Santos Trindade L, Gloaguen T V, Benevides T S F, et al. Microplastics in surface waters of tropical estuaries around a densely populated Brazilian bay[J]. Environmental Pollution, 2023, 323: 121224.",53.0,2020.0,Sudamérica
-38.69,-12.57,2680.0,,2694.89,2019October,Subaé River,53µm,Pump,"dos Santos Trindade L, Gloaguen T V, Benevides T S F, et al. Microplastics in surface waters of tropical estuaries around a densely populated Brazilian bay[J]. Environmental Pollution, 2023, 323: 121224.",53.0,2019.0,Sudamérica
-38.69,-12.57,5460.0,,5490.34,2019December,Subaé River,53µm,Pump,"dos Santos Trindade L, Gloaguen T V, Benevides T S F, et al. Microplastics in surface waters of tropical estuaries around a densely populated Brazilian bay[J]. Environmental Pollution, 2023, 323: 121224.",53.0,2019.0,Sudamérica
-38.69,-12.57,2480.0,,2493.78,2020February,Subaé River,53µm,Pump,"dos Santos Trindade L, Gloaguen T V, Benevides T S F, et al. Microplastics in surface waters of tropical estuaries around a densely populated Brazilian bay[J]. Environmental Pollution, 2023, 323: 121224.",53.0,2020.0,Sudamérica
-38.68,-12.55,1900.0,,1910.56,2019October,Subaé River,53µm,Pump,"dos Santos Trindade L, Gloaguen T V, Benevides T S F, et al. Microplastics in surface waters of tropical estuaries around a densely populated Brazilian bay[J]. Environmental Pollution, 2023, 323: 121224.",53.0,2019.0,Sudamérica
-38.68,-12.55,4680.0,,4706.01,2019December,Subaé River,53µm,Pump,"dos Santos Trindade L, Gloaguen T V, Benevides T S F, et al. Microplastics in surface waters of tropical estuaries around a densely populated Brazilian bay[J]. Environmental Pollution, 2023, 323: 121224.",53.0,2019.0,Sudamérica
-38.68,-12.55,6160.0,,6194.23,2020February,Subaé River,53µm,Pump,"dos Santos Trindade L, Gloaguen T V, Benevides T S F, et al. Microplastics in surface waters of tropical estuaries around a densely populated Brazilian bay[J]. Environmental Pollution, 2023, 323: 121224.",53.0,2020.0,Sudamérica
-38.56,-12.7,1900.0,,1910.56,2019October, São Paulo River,53µm,Pump,"dos Santos Trindade L, Gloaguen T V, Benevides T S F, et al. Microplastics in surface waters of tropical estuaries around a densely populated Brazilian bay[J]. Environmental Pollution, 2023, 323: 121224.",53.0,2019.0,Sudamérica
-38.56,-12.7,3120.0,,3137.34,2019December, São Paulo River,53µm,Pump,"dos Santos Trindade L, Gloaguen T V, Benevides T S F, et al. Microplastics in surface waters of tropical estuaries around a densely populated Brazilian bay[J]. Environmental Pollution, 2023, 323: 121224.",53.0,2019.0,Sudamérica
-38.56,-12.7,640.0,,643.56,2020February, São Paulo River,53µm,Pump,"dos Santos Trindade L, Gloaguen T V, Benevides T S F, et al. Microplastics in surface waters of tropical estuaries around a densely populated Brazilian bay[J]. Environmental Pollution, 2023, 323: 121224.",53.0,2020.0,Sudamérica
145.12,-36.18,110.0,,106.43,2018April-July,"Goulburn River, Wyuna",20µm,Pump,"Nan B, Su L, Kellar C, et al. Identification of microplastics in surface water and Australian freshwater shrimp Paratya australiensis in Victoria, Australia[J]. Environmental Pollution, 2020, 259: 113865.",20.0,2018.0,Oceanía
145.13,-36.79,430.0,,416.03,2018April-July,"Goulburn River, Nagambie",20µm,Pump,"Nan B, Su L, Kellar C, et al. Identification of microplastics in surface water and Australian freshwater shrimp Paratya australiensis in Victoria, Australia[J]. Environmental Pollution, 2020, 259: 113865.",20.0,2018.0,Oceanía
145.13,-37.03,560.0,,541.81,2018April-July,"Goulburn River, Seymour",20µm,Pump,"Nan B, Su L, Kellar C, et al. Identification of microplastics in surface water and Australian freshwater shrimp Paratya australiensis in Victoria, Australia[J]. Environmental Pollution, 2020, 259: 113865.",20.0,2018.0,Oceanía
145.27,-37.15,250.0,,241.88,2018April-July,"King Parrot Creek, Kerrisdale",20µm,Pump,"Nan B, Su L, Kellar C, et al. Identification of microplastics in surface water and Australian freshwater shrimp Paratya australiensis in Victoria, Australia[J]. Environmental Pollution, 2020, 259: 113865.",20.0,2018.0,Oceanía
145.71,-37.32,650.0,,628.89,2018April-July,"Acheron River, Taggerty",20µm,Pump,"Nan B, Su L, Kellar C, et al. Identification of microplastics in surface water and Australian freshwater shrimp Paratya australiensis in Victoria, Australia[J]. Environmental Pollution, 2020, 259: 113865.",20.0,2018.0,Oceanía
144.97,-37.57,240.0,,232.2,2018April-July,"Merri Ck, Craigieburn",20µm,Pump,"Nan B, Su L, Kellar C, et al. Identification of microplastics in surface water and Australian freshwater shrimp Paratya australiensis in Victoria, Australia[J]. Environmental Pollution, 2020, 259: 113865.",20.0,2018.0,Oceanía
144.8,-37.63,720.0,,696.61,2018April-July,"Deep Ck, Bulla",20µm,Pump,"Nan B, Su L, Kellar C, et al. Identification of microplastics in surface water and Australian freshwater shrimp Paratya australiensis in Victoria, Australia[J]. Environmental Pollution, 2020, 259: 113865.",20.0,2018.0,Oceanía
144.73,-37.75,430.0,,416.03,2018April-July,Caroline Springs Linear Reserve,20µm,Pump,"Nan B, Su L, Kellar C, et al. Identification of microplastics in surface water and Australian freshwater shrimp Paratya australiensis in Victoria, Australia[J]. Environmental Pollution, 2020, 259: 113865.",20.0,2018.0,Oceanía
145.37,-38.04,450.0,,435.38,2018April-July,"Cardinia Ck, Beaconsfield",20µm,Pump,"Nan B, Su L, Kellar C, et al. Identification of microplastics in surface water and Australian freshwater shrimp Paratya australiensis in Victoria, Australia[J]. Environmental Pollution, 2020, 259: 113865.",20.0,2018.0,Oceanía
145.12,-38.3,170.0,,164.48,2018April-July,"Bittern Reservoir, Tuerong",20µm,Pump,"Nan B, Su L, Kellar C, et al. Identification of microplastics in surface water and Australian freshwater shrimp Paratya australiensis in Victoria, Australia[J]. Environmental Pollution, 2020, 259: 113865.",20.0,2018.0,Oceanía
118.64,24.86,1600.0,,1576.94,2020 June July,Jinjiang River,40µm,Pump,"Liu Y, Wu L, Shi G, et al. Characteristics and sources of microplastic pollution in the water and sediments of the Jinjiang River Basin, Fujian Province, China[J]. China Geology, 2022, 5(3): 429-438.",40.0,2020.0,Asia
117.92,24.46,0.55,,8.21,2021October December,Jiulong River,330µm,Net,"Lin H, Pan H, Sun J, et al. Transboundary microplastic pollution in Xiamen Bay and adjacent Jiulong River estuary after the outbreak of COVID-19[J]. Science of The Total Environment, 2023, 861: 160562.",330.0,2021.0,Asia
117.84,24.43,0.66,,9.85,2021October December,Jiulong River,330µm,Net,"Lin H, Pan H, Sun J, et al. Transboundary microplastic pollution in Xiamen Bay and adjacent Jiulong River estuary after the outbreak of COVID-19[J]. Science of The Total Environment, 2023, 861: 160562.",330.0,2021.0,Asia
118.03,24.44,0.67,,10.0,2021October December,Jiulong River,330µm,Net,"Lin H, Pan H, Sun J, et al. Transboundary microplastic pollution in Xiamen Bay and adjacent Jiulong River estuary after the outbreak of COVID-19[J]. Science of The Total Environment, 2023, 861: 160562.",330.0,2021.0,Asia
118.09,24.41,0.65,,9.7,2021October December,Jiulong River,330µm,Net,"Lin H, Pan H, Sun J, et al. Transboundary microplastic pollution in Xiamen Bay and adjacent Jiulong River estuary after the outbreak of COVID-19[J]. Science of The Total Environment, 2023, 861: 160562.",330.0,2021.0,Asia
78.09,8.64,2800.0,,2800.0,2019January,Thamirabarani River,50µm,Pump,"Selvam S, Jesuraja K, Venkatramanan S, et al. Hazardous microplastic characteristics and its role as a vector of heavy metal in groundwater and surface water of coastal south India[J]. Journal of Hazardous Materials, 2021, 402: 123786.",50.0,2019.0,Asia
105.87,20.57,583582.0,,8387540.87,2020December-2021January,Day River,300µm,Net,"Thi O D, Thi T D, Nhu H N T, et al. Preliminary results on microplastics in surface water from the downstream of the Day River[J]. Vietnam Journal of Earth Sciences, 2021, 43(4): 485-495.",300.0,2020.0,Asia
105.87,20.57,597716.0,,8590681.99,2020June-August,Day River,300µm,Net,"Thi O D, Thi T D, Nhu H N T, et al. Preliminary results on microplastics in surface water from the downstream of the Day River[J]. Vietnam Journal of Earth Sciences, 2021, 43(4): 485-495.",300.0,2020.0,Asia
105.91,20.52,767596.0,,11032284.79,2020December-2021January,Day River,300µm,Net,"Thi O D, Thi T D, Nhu H N T, et al. Preliminary results on microplastics in surface water from the downstream of the Day River[J]. Vietnam Journal of Earth Sciences, 2021, 43(4): 485-495.",300.0,2020.0,Asia
105.91,20.52,958414.0,,13774819.3,2020June-August,Day River,300µm,Net,"Thi O D, Thi T D, Nhu H N T, et al. Preliminary results on microplastics in surface water from the downstream of the Day River[J]. Vietnam Journal of Earth Sciences, 2021, 43(4): 485-495.",300.0,2020.0,Asia
106.05,20.22,218720.0,,3143556.41,2020December-2021January,Day River,300µm,Net,"Thi O D, Thi T D, Nhu H N T, et al. Preliminary results on microplastics in surface water from the downstream of the Day River[J]. Vietnam Journal of Earth Sciences, 2021, 43(4): 485-495.",300.0,2020.0,Asia
106.05,20.22,320667.0,,4608791.17,2020June-August,Day River,300µm,Net,"Thi O D, Thi T D, Nhu H N T, et al. Preliminary results on microplastics in surface water from the downstream of the Day River[J]. Vietnam Journal of Earth Sciences, 2021, 43(4): 485-495.",300.0,2020.0,Asia
34.71,-3.37,690.0,,690.0,2020November,Kijenge River,50µm,Pump,"Kundu M N, Komakech H C, Lugomela G. Analysis of macro-and microplastics in riverine, riverbanks, and irrigated farms in Arusha, Tanzania[J]. Archives of Environmental Contamination and Toxicology, 2022, 82(1): 142-157.",50.0,2020.0,África
36.7,-3.36,440.0,,440.0,2020November,Themi ,50µm,Pump,"Kundu M N, Komakech H C, Lugomela G. Analysis of macro-and microplastics in riverine, riverbanks, and irrigated farms in Arusha, Tanzania[J]. Archives of Environmental Contamination and Toxicology, 2022, 82(1): 142-157.",50.0,2020.0,África
36.69,-3.36,570.0,,570.0,2020November,Naura,50µm,Pump,"Kundu M N, Komakech H C, Lugomela G. Analysis of macro-and microplastics in riverine, riverbanks, and irrigated farms in Arusha, Tanzania[J]. Archives of Environmental Contamination and Toxicology, 2022, 82(1): 142-157.",50.0,2020.0,África
36.67,-3.36,300.0,,300.0,2020November,Burka,50µm,Pump,"Kundu M N, Komakech H C, Lugomela G. Analysis of macro-and microplastics in riverine, riverbanks, and irrigated farms in Arusha, Tanzania[J]. Archives of Environmental Contamination and Toxicology, 2022, 82(1): 142-157.",50.0,2020.0,África
36.7,-3.44,480.0,,480.0,2020November,Burka,50µm,Pump,"Kundu M N, Komakech H C, Lugomela G. Analysis of macro-and microplastics in riverine, riverbanks, and irrigated farms in Arusha, Tanzania[J]. Archives of Environmental Contamination and Toxicology, 2022, 82(1): 142-157.",50.0,2020.0,África
36.73,-3.48,160.0,,160.0,2020November,Kijenge,50µm,Pump,"Kundu M N, Komakech H C, Lugomela G. Analysis of macro-and microplastics in riverine, riverbanks, and irrigated farms in Arusha, Tanzania[J]. Archives of Environmental Contamination and Toxicology, 2022, 82(1): 142-157.",50.0,2020.0,África
36.7,-3.44,370.0,,370.0,2020November,Themi,50µm,Pump,"Kundu M N, Komakech H C, Lugomela G. Analysis of macro-and microplastics in riverine, riverbanks, and irrigated farms in Arusha, Tanzania[J]. Archives of Environmental Contamination and Toxicology, 2022, 82(1): 142-157.",50.0,2020.0,África
36.73,-3.49,910.0,,910.0,2020November,Themi,50µm,Pump,"Kundu M N, Komakech H C, Lugomela G. Analysis of macro-and microplastics in riverine, riverbanks, and irrigated farms in Arusha, Tanzania[J]. Archives of Environmental Contamination and Toxicology, 2022, 82(1): 142-157.",50.0,2020.0,África
36.77,-3.51,1080.0,,1080.0,2020November,Canal 1,50µm,Pump,"Kundu M N, Komakech H C, Lugomela G. Analysis of macro-and microplastics in riverine, riverbanks, and irrigated farms in Arusha, Tanzania[J]. Archives of Environmental Contamination and Toxicology, 2022, 82(1): 142-157.",50.0,2020.0,África
36.79,-3.56,770.0,,770.0,2020November,Canal 2,50µm,Pump,"Kundu M N, Komakech H C, Lugomela G. Analysis of macro-and microplastics in riverine, riverbanks, and irrigated farms in Arusha, Tanzania[J]. Archives of Environmental Contamination and Toxicology, 2022, 82(1): 142-157.",50.0,2020.0,África
100.46,14.61,41.77,2.72,600.34,2019,Chao Phraya River,300µm,Net,"Ta A, Babel S. Microplastic pollution in surface water of the chao phraya river in ang thong area[J]. EnvironmentAsia, 2019, 12(Special Issue): 48-53.",300.0,2019.0,Asia
85.92,55.43,57.2,0.2,853.47,2020June15-25,Tom Rivers,330µm,Net,"Frank Y A, Vorobiev E D, Vorobiev D S, et al. Preliminary screening for microplastic concentrations in the surface water of the Ob and Tom Rivers in Siberia, Russia[J]. Sustainability, 2020, 13(1): 80.",330.0,2020.0,Asia
84.94,55.74,37.7,0.05,562.51,2020June15-25,Tom Rivers,330µm,Net,"Frank Y A, Vorobiev E D, Vorobiev D S, et al. Preliminary screening for microplastic concentrations in the surface water of the Ob and Tom Rivers in Siberia, Russia[J]. Sustainability, 2020, 13(1): 80.",330.0,2020.0,Asia
84.88,56.18,52.6,0.02,784.83,2020June15-25,Tom Rivers,330µm,Net,"Frank Y A, Vorobiev E D, Vorobiev D S, et al. Preliminary screening for microplastic concentrations in the surface water of the Ob and Tom Rivers in Siberia, Russia[J]. Sustainability, 2020, 13(1): 80.",330.0,2020.0,Asia
84.95,56.45,29.2,0.05,435.68,2020June15-25,Tom Rivers,330µm,Net,"Frank Y A, Vorobiev E D, Vorobiev D S, et al. Preliminary screening for microplastic concentrations in the surface water of the Ob and Tom Rivers in Siberia, Russia[J]. Sustainability, 2020, 13(1): 80.",330.0,2020.0,Asia
82.88,55.19,114.0,0.09,1700.96,2020June15-25,Ob River,330µm,Net,"Frank Y A, Vorobiev E D, Vorobiev D S, et al. Preliminary screening for microplastic concentrations in the surface water of the Ob and Tom Rivers in Siberia, Russia[J]. Sustainability, 2020, 13(1): 80.",330.0,2020.0,Asia
83.86,56.08,35.4,0.06,528.19,2020June15-25,Ob River,330µm,Net,"Frank Y A, Vorobiev E D, Vorobiev D S, et al. Preliminary screening for microplastic concentrations in the surface water of the Ob and Tom Rivers in Siberia, Russia[J]. Sustainability, 2020, 13(1): 80.",330.0,2020.0,Asia
84.16,56.53,26.5,0.09,395.4,2020June15-25,Ob River,330µm,Net,"Frank Y A, Vorobiev E D, Vorobiev D S, et al. Preliminary screening for microplastic concentrations in the surface water of the Ob and Tom Rivers in Siberia, Russia[J]. Sustainability, 2020, 13(1): 80.",330.0,2020.0,Asia
82.91,58.3,29.3,0.1,437.18,2020June15-25,Ob River,330µm,Net,"Frank Y A, Vorobiev E D, Vorobiev D S, et al. Preliminary screening for microplastic concentrations in the surface water of the Ob and Tom Rivers in Siberia, Russia[J]. Sustainability, 2020, 13(1): 80.",330.0,2020.0,Asia
80.85,59.07,50.4,0.11,752.0,2020June15-25,Ob River,330µm,Net,"Frank Y A, Vorobiev E D, Vorobiev D S, et al. Preliminary screening for microplastic concentrations in the surface water of the Ob and Tom Rivers in Siberia, Russia[J]. Sustainability, 2020, 13(1): 80.",330.0,2020.0,Asia
108.0,61.27,2.01,,29.99,2021June July,Yenisei River,330µm,Net,"Frank Y A, Vorobiev D S, Kayler O A, et al. Evidence for microplastics contamination of the remote tributary of the Yenisei River, Siberia—The pilot study results[J]. Water, 2021, 13(22): 3248.",330.0,2021.0,Asia
108.01,61.28,1.2,,17.9,2021June July,Yenisei River,330µm,Net,"Frank Y A, Vorobiev D S, Kayler O A, et al. Evidence for microplastics contamination of the remote tributary of the Yenisei River, Siberia—The pilot study results[J]. Water, 2021, 13(22): 3248.",330.0,2021.0,Asia
88.07,65.72,3.01,,44.91,2021June July,Yenisei River,330µm,Net,"Frank Y A, Vorobiev D S, Kayler O A, et al. Evidence for microplastics contamination of the remote tributary of the Yenisei River, Siberia—The pilot study results[J]. Water, 2021, 13(22): 3248.",330.0,2021.0,Asia
87.9,65.79,2.89,,43.12,2021June July,Yenisei River,330µm,Net,"Frank Y A, Vorobiev D S, Kayler O A, et al. Evidence for microplastics contamination of the remote tributary of the Yenisei River, Siberia—The pilot study results[J]. Water, 2021, 13(22): 3248.",330.0,2021.0,Asia
88.03,65.8,4.53,,67.59,2021June July,Yenisei River,330µm,Net,"Frank Y A, Vorobiev D S, Kayler O A, et al. Evidence for microplastics contamination of the remote tributary of the Yenisei River, Siberia—The pilot study results[J]. Water, 2021, 13(22): 3248.",330.0,2021.0,Asia
41.01,64.37,0.01,0.02,0.1,2019July,Northern Dvina River,330µm,Net,"Zhdanov I, Lokhov A, Belesov A, et al. Assessment of seasonal variability of input of microplastics from the Northern Dvina River to the Arctic Ocean[J]. Marine pollution bulletin, 2022, 175: 113370.",330.0,2019.0,Europa
41.01,64.37,0.01,0.0,0.15,2019September,Northern Dvina River,330µm,Net,"Zhdanov I, Lokhov A, Belesov A, et al. Assessment of seasonal variability of input of microplastics from the Northern Dvina River to the Arctic Ocean[J]. Marine pollution bulletin, 2022, 175: 113370.",330.0,2019.0,Europa
41.01,64.37,0.01,0.0,0.1,2019November,Northern Dvina River,330µm,Net,"Zhdanov I, Lokhov A, Belesov A, et al. Assessment of seasonal variability of input of microplastics from the Northern Dvina River to the Arctic Ocean[J]. Marine pollution bulletin, 2022, 175: 113370.",330.0,2019.0,Europa
41.01,64.37,0.0,0.01,0.05,2020May,Northern Dvina River,330µm,Net,"Zhdanov I, Lokhov A, Belesov A, et al. Assessment of seasonal variability of input of microplastics from the Northern Dvina River to the Arctic Ocean[J]. Marine pollution bulletin, 2022, 175: 113370.",330.0,2020.0,Europa
41.01,64.37,0.01,0.01,0.1,2020June,Northern Dvina River,330µm,Net,"Zhdanov I, Lokhov A, Belesov A, et al. Assessment of seasonal variability of input of microplastics from the Northern Dvina River to the Arctic Ocean[J]. Marine pollution bulletin, 2022, 175: 113370.",330.0,2020.0,Europa
41.01,64.37,0.01,0.03,0.1,2020July,Northern Dvina River,330µm,Net,"Zhdanov I, Lokhov A, Belesov A, et al. Assessment of seasonal variability of input of microplastics from the Northern Dvina River to the Arctic Ocean[J]. Marine pollution bulletin, 2022, 175: 113370.",330.0,2020.0,Europa
41.01,64.37,0.01,0.04,0.15,2020August,Northern Dvina River,330µm,Net,"Zhdanov I, Lokhov A, Belesov A, et al. Assessment of seasonal variability of input of microplastics from the Northern Dvina River to the Arctic Ocean[J]. Marine pollution bulletin, 2022, 175: 113370.",330.0,2020.0,Europa
41.01,64.37,0.0,0.0,0.05,2020September,Northern Dvina River,330µm,Net,"Zhdanov I, Lokhov A, Belesov A, et al. Assessment of seasonal variability of input of microplastics from the Northern Dvina River to the Arctic Ocean[J]. Marine pollution bulletin, 2022, 175: 113370.",330.0,2020.0,Europa
41.01,64.37,0.01,0.04,0.15,2020Ocober,Northern Dvina River,330µm,Net,"Zhdanov I, Lokhov A, Belesov A, et al. Assessment of seasonal variability of input of microplastics from the Northern Dvina River to the Arctic Ocean[J]. Marine pollution bulletin, 2022, 175: 113370.",330.0,2020.0,Europa
33.46,56.85,0.34,0.03,4.84,2020July12-17,Volga River,300µm,Net,"Lisina A A, Platonov M M, Lomakov O I, et al. Microplastic abundance in Volga River: Results of a pilot study in summer 2020[J]. Geography, Environment, Sustainability, 2021, 14(3): 82-93.",300.0,2020.0,Europa
33.69,56.75,0.17,0.04,2.46,2020July12-17,Volga River,300µm,Net,"Lisina A A, Platonov M M, Lomakov O I, et al. Microplastic abundance in Volga River: Results of a pilot study in summer 2020[J]. Geography, Environment, Sustainability, 2021, 14(3): 82-93.",300.0,2020.0,Europa
33.77,56.65,0.39,0.16,5.55,2020July12-17,Volga River,300µm,Net,"Lisina A A, Platonov M M, Lomakov O I, et al. Microplastic abundance in Volga River: Results of a pilot study in summer 2020[J]. Geography, Environment, Sustainability, 2021, 14(3): 82-93.",300.0,2020.0,Europa
33.95,56.46,0.72,0.19,10.35,2020July12-17,Volga River,300µm,Net,"Lisina A A, Platonov M M, Lomakov O I, et al. Microplastic abundance in Volga River: Results of a pilot study in summer 2020[J]. Geography, Environment, Sustainability, 2021, 14(3): 82-93.",300.0,2020.0,Europa
