Experiment,Event,Syy [MPa],Syy error [MPa],Sxy [MPa],Sxy error [MPa],Lc [m],Lc error [m],A0 [m/sec^2],tc [sec],tc error [sec],A0 error [m/sec^2],slip nucleation [micron],slip nucleation error [micron,slip foreshock [micron],slip foreshock error [micron],Vmin [m/sec],Vmin error [m/sec]
'Nuc_200bar_TopStop_A',8,4.212245205,0.02142746,2.174492529,0.009184133,0.0200268,0.00400536,4029.550054,8.40E-03,2.44E-04,403.849614,3.42E-06,4.00E-07,1.06E-06,2.02E-07,7.70E-05,1.87E-06
'Nuc_200bar_TopStop_A',9,4.353547468,0.021280581,2.271707705,0.008362989,0.030173924,0.006963213,3862.255296,0.012896093,0.00061525,417.889238,2.91E-06,1.80E-07,1.20E-06,2.57E-07,6.77E-05,1.08E-06
'Nuc_250bar_FullStop_A',1,6.292851183,0.016852661,2.589640826,0.026202403,0.050598712,0.022529354,619.7995478,0.029115616,0.003601,80.43165209,7.05E-06,5.84E-07,-1.31E-07,3.35E-07,5.07E-06,4.52E-07
'Nuc_250bar_FullStop_A',2,6.275307776,0.015397216,2.600585942,0.017078363,0.048331772,0.024165886,3176.596424,0.03348197,0.00379,432.0325055,6.38E-06,8.93E-07,8.14E-07,5.47E-07,4.82E-06,7.82E-07
'Nuc_250bar_FullStop_A',3,6.33173914,0.020522519,2.616025723,0.014949622,0.047070942,0.023535471,2883.035377,0.029132626,0.00442925,385.5600329,8.51E-06,2.46E-06,4.91E-07,8.79E-07,3.28E-05,1.48E-06
'Nuc_250bar_FullStop_A',4,6.447370638,0.041715126,2.647773934,0.011709011,0.054788742,0.020545778,3134.143573,0.04018984,0.0035465,395.6853383,9.38E-06,1.72E-06,5.52E-07,1.83E-06,4.37E-06,6.37E-07
'Nuc_250bar_FullStop_A',5,6.367759745,0.026304769,2.728166044,0.02570704,0.040457959,0.016266602,3706.49485,0.010930545,0.0011035,478.7136068,6.98E-06,5.37E-06,1.09E-06,3.81E-06,0.000116826,2.19E-05
'Nuc_250bar_TopStop_A',10,6.760765515,0.010610213,2.784934664,0.023000579,0.055068923,0.007030075,2311.757725,0.030991828,0.00052,289.5073325,1.26E-05,2.45E-06,1.22E-06,1.97E-06,-2.32E-05,3.50E-06
'Nuc_250bar_TopStop_A',3,6.475545094,0.019596891,2.764909812,0.025836635,0.003467279,0.002696773,4645.575922,0.002511851,0.0006215,590.1371683,1.68E-06,9.30E-08,1.19E-06,2.11E-07,0.000340435,1.68E-05
'Nuc_250bar_TopStop_A',4,6.58318344,0.023600865,2.679143458,0.020843915,0.013229152,0.009449848,4196.427487,0.009358936,0.00068125,535.6529601,3.02E-06,2.29E-07,9.21E-07,2.45E-07,3.53E-05,2.24E-06
'Nuc_250bar_TopStop_A',6,6.614894185,0.009496063,2.652330217,0.016086721,0.05039176,0.021596469,2522.070667,0.01743006,0.0016275,348.643643,6.20E-06,1.28E-06,3.66E-07,4.91E-07,2.62E-05,1.19E-06
'Nuc_250bar_TopStop_A',7,6.647096634,0.021487127,2.915281032,0.012412604,0.017721649,0.006444236,4133.304659,0.013689667,0.00060325,550.542209,3.44E-06,1.18E-06,1.01E-06,7.75E-07,2.00E-05,3.90E-06
'Nuc_250bar_TopStop_A',8,6.771216314,0.033087801,2.732208882,0.021650543,0.050862977,0.016276153,2458.683608,0.021407123,0.00152425,314.5044146,7.29E-06,7.46E-07,1.75E-07,1.79E-06,1.94E-05,1.58E-06
'Nuc_300bar_FullStop_A',12,11.41265781,0.048754152,6.606246865,0.03274951,0,0,293140.4664,0,0,12177.482,0,0,0.00E+00,0.00E+00,0,0
'Nuc_300bar_FullStop_A',1,9.380103045,0.061839765,3.26714577,0.023865546,0.025173593,0.000399581,2241.822058,0.015936155,1.87E-05,11.81828376,8.84E-06,6.12E-07,5.30E-07,2.19E-07,5.68E-05,7.64E-07
'Nuc_300bar_FullStop_A',2,9.397818182,0.045192748,3.263448851,0.013363422,0.029801406,0.010697941,4248.21305,0.002028124,0.00067575,480.2020665,2.47E-06,2.65E-07,1.49E-07,3.66E-07,0.000616817,2.59E-05
'Nuc_300bar_FullStop_A',3,9.420526358,0.035803796,3.129461528,0.006880903,0.029282431,0.013779968,2671.447231,0.006489267,0.00161625,545.3557197,3.62E-06,9.71E-07,6.15E-07,7.30E-07,0.000311625,1.11E-05
'Nuc_300bar_FullStop_A',4,9.531635792,0.011270449,3.176220147,0.010484304,0.042032402,0.011855293,3217.946633,0.00281886,0.000914,532.3151308,6.71E-06,2.28E-06,1.28E-06,1.45E-06,0.001499156,8.72E-05
'Nuc_300bar_FullStop_A',5,11.41515572,0.021574356,4.519742917,0.026746214,0.079948011,0,1910.717564,0.043768361,0,27.51927651,1.15E-05,4.22E-07,-1.19E-07,5.36E-07,6.94E-06,2.79E-07
