year,sex,region,obesity_pct,obesity_lo95,obesity_hi95,grupo_edad
2021,Women,Central and eastern Europe,18.78,17.89,19.69,adultos
2022,Women,Central and eastern Europe,18.54,17.56,19.51,adultos
2023,Women,Central and eastern Europe,18.3,17.25,19.36,adultos
2024,Women,Central and eastern Europe,18.12,16.91,19.31,adultos
1980,Women,"Central Asia, Middle East and north Africa",14.29,11.55,17.51,adultos
1981,Women,"Central Asia, Middle East and north Africa",14.64,12.05,17.69,adultos
1982,Women,"Central Asia, Middle East and north Africa",15.01,12.58,17.84,adultos
1983,Women,"Central Asia, Middle East and north Africa",15.39,13.08,18.01,adultos
1984,Women,"Central Asia, Middle East and north Africa",15.79,13.63,18.19,adultos
1985,Women,"Central Asia, Middle East and north Africa",16.19,14.21,18.4,adultos
1986,Women,"Central Asia, Middle East and north Africa",16.61,14.81,18.63,adultos
1987,Women,"Central Asia, Middle East and north Africa",17.03,15.39,18.86,adultos
1988,Women,"Central Asia, Middle East and north Africa",17.46,15.95,19.12,adultos
1989,Women,"Central Asia, Middle East and north Africa",17.92,16.54,19.4,adultos
1990,Women,"Central Asia, Middle East and north Africa",18.36,17.11,19.68,adultos
1991,Women,"Central Asia, Middle East and north Africa",18.82,17.7,19.99,adultos
1992,Women,"Central Asia, Middle East and north Africa",19.33,18.3,20.38,adultos
1993,Women,"Central Asia, Middle East and north Africa",19.84,18.91,20.81,adultos
1994,Women,"Central Asia, Middle East and north Africa",20.37,19.49,21.25,adultos
1995,Women,"Central Asia, Middle East and north Africa",20.9,20.09,21.73,adultos
1996,Women,"Central Asia, Middle East and north Africa",21.47,20.7,22.22,adultos
1997,Women,"Central Asia, Middle East and north Africa",22.05,21.33,22.76,adultos
1998,Women,"Central Asia, Middle East and north Africa",22.65,21.98,23.31,adultos
1999,Women,"Central Asia, Middle East and north Africa",23.26,22.63,23.9,adultos
2000,Women,"Central Asia, Middle East and north Africa",23.87,23.27,24.49,adultos
2001,Women,"Central Asia, Middle East and north Africa",24.47,23.9,25.08,adultos
2002,Women,"Central Asia, Middle East and north Africa",25.07,24.51,25.66,adultos
2003,Women,"Central Asia, Middle East and north Africa",25.65,25.1,26.22,adultos
2004,Women,"Central Asia, Middle East and north Africa",26.21,25.67,26.76,adultos
2005,Women,"Central Asia, Middle East and north Africa",26.74,26.22,27.29,adultos
2006,Women,"Central Asia, Middle East and north Africa",27.25,26.72,27.8,adultos
2007,Women,"Central Asia, Middle East and north Africa",27.74,27.19,28.29,adultos
2008,Women,"Central Asia, Middle East and north Africa",28.24,27.68,28.8,adultos
2009,Women,"Central Asia, Middle East and north Africa",28.72,28.16,29.3,adultos
2010,Women,"Central Asia, Middle East and north Africa",29.2,28.62,29.77,adultos
2011,Women,"Central Asia, Middle East and north Africa",29.66,29.07,30.26,adultos
2012,Women,"Central Asia, Middle East and north Africa",30.13,29.52,30.74,adultos
2013,Women,"Central Asia, Middle East and north Africa",30.58,29.95,31.2,adultos
2014,Women,"Central Asia, Middle East and north Africa",31.01,30.38,31.64,adultos
2015,Women,"Central Asia, Middle East and north Africa",31.44,30.79,32.09,adultos
2016,Women,"Central Asia, Middle East and north Africa",31.86,31.18,32.56,adultos
2017,Women,"Central Asia, Middle East and north Africa",32.23,31.51,32.97,adultos
2018,Women,"Central Asia, Middle East and north Africa",32.57,31.8,33.37,adultos
2019,Women,"Central Asia, Middle East and north Africa",32.89,32.03,33.76,adultos
2020,Women,"Central Asia, Middle East and north Africa",33.19,32.24,34.17,adultos
2021,Women,"Central Asia, Middle East and north Africa",33.47,32.4,34.57,adultos
2022,Women,"Central Asia, Middle East and north Africa",33.74,32.53,34.97,adultos
2023,Women,"Central Asia, Middle East and north Africa",34.02,32.63,35.43,adultos
2024,Women,"Central Asia, Middle East and north Africa",34.3,32.72,35.92,adultos
1980,Women,East and southeast Asia and the Pacific,1.4,1.14,1.73,adultos
1981,Women,East and southeast Asia and the Pacific,1.44,1.19,1.74,adultos
1982,Women,East and southeast Asia and the Pacific,1.48,1.24,1.75,adultos
1983,Women,East and southeast Asia and the Pacific,1.52,1.3,1.77,adultos
1984,Women,East and southeast Asia and the Pacific,1.56,1.36,1.79,adultos
1985,Women,East and southeast Asia and the Pacific,1.61,1.42,1.83,adultos
1986,Women,East and southeast Asia and the Pacific,1.67,1.48,1.87,adultos
1987,Women,East and southeast Asia and the Pacific,1.73,1.54,1.92,adultos
1988,Women,East and southeast Asia and the Pacific,1.79,1.61,1.98,adultos
1989,Women,East and southeast Asia and the Pacific,1.85,1.68,2.04,adultos
1990,Women,East and southeast Asia and the Pacific,1.93,1.76,2.11,adultos
1991,Women,East and southeast Asia and the Pacific,2.01,1.85,2.18,adultos
1992,Women,East and southeast Asia and the Pacific,2.09,1.93,2.26,adultos
1993,Women,East and southeast Asia and the Pacific,2.18,2.02,2.35,adultos
1994,Women,East and southeast Asia and the Pacific,2.27,2.11,2.44,adultos
1995,Women,East and southeast Asia and the Pacific,2.36,2.2,2.54,adultos
1996,Women,East and southeast Asia and the Pacific,2.46,2.3,2.63,adultos
1997,Women,East and southeast Asia and the Pacific,2.56,2.4,2.74,adultos
1998,Women,East and southeast Asia and the Pacific,2.66,2.5,2.84,adultos
1999,Women,East and southeast Asia and the Pacific,2.77,2.6,2.96,adultos
2000,Women,East and southeast Asia and the Pacific,2.89,2.71,3.07,adultos
2001,Women,East and southeast Asia and the Pacific,3.01,2.83,3.19,adultos
2002,Women,East and southeast Asia and the Pacific,3.13,2.95,3.31,adultos
2003,Women,East and southeast Asia and the Pacific,3.26,3.09,3.45,adultos
2004,Women,East and southeast Asia and the Pacific,3.4,3.23,3.59,adultos
2005,Women,East and southeast Asia and the Pacific,3.55,3.38,3.74,adultos
2006,Women,East and southeast Asia and the Pacific,3.72,3.54,3.91,adultos
2007,Women,East and southeast Asia and the Pacific,3.9,3.71,4.09,adultos
2008,Women,East and southeast Asia and the Pacific,4.09,3.9,4.29,adultos
2009,Women,East and southeast Asia and the Pacific,4.3,4.11,4.5,adultos
2010,Women,East and southeast Asia and the Pacific,4.53,4.34,4.74,adultos
2011,Women,East and southeast Asia and the Pacific,4.77,4.57,4.98,adultos
2012,Women,East and southeast Asia and the Pacific,5.02,4.8,5.25,adultos
2013,Women,East and southeast Asia and the Pacific,5.29,5.06,5.53,adultos
2014,Women,East and southeast Asia and the Pacific,5.58,5.32,5.83,adultos
2015,Women,East and southeast Asia and the Pacific,5.88,5.61,6.16,adultos
2016,Women,East and southeast Asia and the Pacific,6.2,5.89,6.52,adultos
2017,Women,East and southeast Asia and the Pacific,6.54,6.18,6.91,adultos
2018,Women,East and southeast Asia and the Pacific,6.89,6.47,7.33,adultos
2019,Women,East and southeast Asia and the Pacific,7.26,6.75,7.79,adultos
2020,Women,East and southeast Asia and the Pacific,7.65,7.02,8.29,adultos
2021,Women,East and southeast Asia and the Pacific,8.05,7.3,8.82,adultos
2022,Women,East and southeast Asia and the Pacific,8.48,7.57,9.4,adultos
2023,Women,East and southeast Asia and the Pacific,8.92,7.87,10.05,adultos
2024,Women,East and southeast Asia and the Pacific,9.4,8.16,10.73,adultos
1980,Women,High-income western,11.23,10.21,12.26,adultos
1981,Women,High-income western,11.55,10.59,12.5,adultos
1982,Women,High-income western,11.88,10.97,12.77,adultos
1983,Women,High-income western,12.22,11.38,13.06,adultos
1984,Women,High-income western,12.58,11.79,13.39,adultos
1985,Women,High-income western,12.94,12.19,13.72,adultos
1986,Women,High-income western,13.31,12.57,14.05,adultos
1987,Women,High-income western,13.68,12.98,14.4,adultos
1988,Women,High-income western,14.07,13.38,14.76,adultos
1989,Women,High-income western,14.46,13.8,15.13,adultos
1990,Women,High-income western,14.88,14.22,15.54,adultos
1991,Women,High-income western,15.31,14.65,15.95,adultos
1992,Women,High-income western,15.74,15.11,16.38,adultos
1993,Women,High-income western,16.2,15.58,16.82,adultos
1994,Women,High-income western,16.66,16.04,17.28,adultos
1995,Women,High-income western,17.15,16.55,17.75,adultos
1996,Women,High-income western,17.65,17.07,18.24,adultos
1997,Women,High-income western,18.17,17.59,18.75,adultos
1998,Women,High-income western,18.69,18.12,19.27,adultos
1999,Women,High-income western,19.23,18.67,19.79,adultos
2000,Women,High-income western,19.75,19.19,20.31,adultos
2001,Women,High-income western,20.27,19.71,20.83,adultos
2002,Women,High-income western,20.77,20.22,21.33,adultos
2003,Women,High-income western,21.25,20.7,21.82,adultos
2004,Women,High-income western,21.72,21.17,22.29,adultos
2005,Women,High-income western,22.18,21.62,22.74,adultos
2006,Women,High-income western,22.63,22.07,23.19,adultos
2007,Women,High-income western,23.05,22.5,23.6,adultos
2008,Women,High-income western,23.45,22.89,24.0,adultos
2009,Women,High-income western,23.82,23.25,24.38,adultos
2010,Women,High-income western,24.16,23.59,24.73,adultos
2011,Women,High-income western,24.48,23.87,25.05,adultos
2012,Women,High-income western,24.77,24.15,25.37,adultos
2013,Women,High-income western,25.04,24.41,25.67,adultos
2014,Women,High-income western,25.31,24.66,25.96,adultos
2015,Women,High-income western,25.55,24.89,26.25,adultos
2016,Women,High-income western,25.79,25.09,26.52,adultos
2017,Women,High-income western,26.02,25.25,26.8,adultos
2018,Women,High-income western,26.22,25.36,27.08,adultos
2019,Women,High-income western,26.42,25.47,27.37,adultos
2020,Women,High-income western,26.6,25.52,27.68,adultos
2021,Women,High-income western,26.78,25.56,28.0,adultos
2022,Women,High-income western,26.96,25.56,28.36,adultos
2023,Women,High-income western,27.14,25.55,28.76,adultos
2024,Women,High-income western,27.35,25.52,29.2,adultos
1980,Women,Latin America and the Caribbean,8.03,6.32,9.95,adultos
1981,Women,Latin America and the Caribbean,8.34,6.73,10.14,adultos
1982,Women,Latin America and the Caribbean,8.67,7.14,10.38,adultos
1983,Women,Latin America and the Caribbean,9.02,7.57,10.61,adultos
1984,Women,Latin America and the Caribbean,9.38,8.04,10.86,adultos
1985,Women,Latin America and the Caribbean,9.76,8.53,11.14,adultos
1986,Women,Latin America and the Caribbean,10.15,9.02,11.41,adultos
1987,Women,Latin America and the Caribbean,10.56,9.51,11.71,adultos
1988,Women,Latin America and the Caribbean,10.99,10.02,12.04,adultos
1989,Women,Latin America and the Caribbean,11.43,10.52,12.41,adultos
1990,Women,Latin America and the Caribbean,11.88,11.03,12.8,adultos
1991,Women,Latin America and the Caribbean,12.35,11.57,13.2,adultos
1992,Women,Latin America and the Caribbean,12.84,12.08,13.63,adultos
1993,Women,Latin America and the Caribbean,13.33,12.62,14.08,adultos
1994,Women,Latin America and the Caribbean,13.83,13.14,14.55,adultos
1995,Women,Latin America and the Caribbean,14.35,13.67,15.03,adultos
1996,Women,Latin America and the Caribbean,14.87,14.22,15.53,adultos
1997,Women,Latin America and the Caribbean,15.41,14.79,16.06,adultos
1998,Women,Latin America and the Caribbean,15.96,15.35,16.6,adultos
1999,Women,Latin America and the Caribbean,16.51,15.91,17.13,adultos
2000,Women,Latin America and the Caribbean,17.06,16.47,17.66,adultos
2001,Women,Latin America and the Caribbean,17.6,17.03,18.2,adultos
2002,Women,Latin America and the Caribbean,18.14,17.59,18.72,adultos
2003,Women,Latin America and the Caribbean,18.68,18.13,19.24,adultos
2004,Women,Latin America and the Caribbean,19.22,18.68,19.78,adultos
2005,Women,Latin America and the Caribbean,19.78,19.24,20.33,adultos
2006,Women,Latin America and the Caribbean,20.35,19.81,20.9,adultos
2007,Women,Latin America and the Caribbean,20.94,20.41,21.49,adultos
2008,Women,Latin America and the Caribbean,21.57,21.02,22.1,adultos
2009,Women,Latin America and the Caribbean,22.22,21.69,22.77,adultos
2010,Women,Latin America and the Caribbean,22.91,22.37,23.46,adultos
2011,Women,Latin America and the Caribbean,23.63,23.09,24.18,adultos
2012,Women,Latin America and the Caribbean,24.38,23.83,24.94,adultos
2013,Women,Latin America and the Caribbean,25.15,24.6,25.72,adultos
2014,Women,Latin America and the Caribbean,25.92,25.37,26.51,adultos
2015,Women,Latin America and the Caribbean,26.71,26.14,27.31,adultos
2016,Women,Latin America and the Caribbean,27.5,26.9,28.12,adultos
2017,Women,Latin America and the Caribbean,28.29,27.64,28.96,adultos
2018,Women,Latin America and the Caribbean,29.08,28.36,29.81,adultos
2019,Women,Latin America and the Caribbean,29.87,29.04,30.71,adultos
2020,Women,Latin America and the Caribbean,30.66,29.7,31.63,adultos
2021,Women,Latin America and the Caribbean,31.46,30.34,32.59,adultos
2022,Women,Latin America and the Caribbean,32.26,30.95,33.6,adultos
2023,Women,Latin America and the Caribbean,33.07,31.48,34.66,adultos
2024,Women,Latin America and the Caribbean,33.89,32.04,35.72,adultos
1980,Women,Pacific island nations,16.24,12.46,20.62,adultos
1981,Women,Pacific island nations,16.58,12.93,20.81,adultos
1982,Women,Pacific island nations,16.95,13.41,21.03,adultos
1983,Women,Pacific island nations,17.33,13.89,21.28,adultos
1984,Women,Pacific island nations,17.7,14.37,21.51,adultos
1985,Women,Pacific island nations,18.08,14.82,21.73,adultos
1986,Women,Pacific island nations,18.46,15.31,21.98,adultos
1987,Women,Pacific island nations,18.86,15.77,22.29,adultos
1988,Women,Pacific island nations,19.27,16.22,22.62,adultos
1989,Women,Pacific island nations,19.68,16.66,23.0,adultos
1990,Women,Pacific island nations,20.04,17.07,23.4,adultos
1991,Women,Pacific island nations,20.39,17.41,23.76,adultos
1992,Women,Pacific island nations,20.74,17.71,24.13,adultos
1993,Women,Pacific island nations,21.11,17.99,24.6,adultos
1994,Women,Pacific island nations,21.47,18.26,25.08,adultos
1995,Women,Pacific island nations,21.83,18.49,25.58,adultos
1996,Women,Pacific island nations,22.19,18.74,26.03,adultos
1997,Women,Pacific island nations,22.57,18.98,26.52,adultos
1998,Women,Pacific island nations,22.95,19.22,27.03,adultos
1999,Women,Pacific island nations,23.34,19.48,27.56,adultos
2000,Women,Pacific island nations,23.73,19.77,28.07,adultos
2001,Women,Pacific island nations,24.11,19.99,28.69,adultos
2002,Women,Pacific island nations,24.5,20.23,29.26,adultos
2003,Women,Pacific island nations,24.88,20.45,29.89,adultos
2004,Women,Pacific island nations,25.27,20.62,30.41,adultos
2005,Women,Pacific island nations,25.65,20.82,30.97,adultos
2006,Women,Pacific island nations,26.02,21.04,31.53,adultos
2007,Women,Pacific island nations,26.39,21.27,32.08,adultos
2008,Women,Pacific island nations,26.77,21.45,32.64,adultos
2009,Women,Pacific island nations,27.15,21.58,33.23,adultos
2010,Women,Pacific island nations,27.53,21.74,33.86,adultos
2011,Women,Pacific island nations,27.92,21.91,34.59,adultos
2012,Women,Pacific island nations,28.32,22.1,35.17,adultos
2013,Women,Pacific island nations,28.73,22.32,35.87,adultos
2014,Women,Pacific island nations,29.15,22.48,36.56,adultos
2015,Women,Pacific island nations,29.58,22.71,37.31,adultos
2016,Women,Pacific island nations,30.02,22.85,38.07,adultos
2017,Women,Pacific island nations,30.46,23.05,38.88,adultos
2018,Women,Pacific island nations,30.9,23.2,39.6,adultos
2019,Women,Pacific island nations,31.34,23.32,40.36,adultos
2020,Women,Pacific island nations,31.8,23.53,41.25,adultos
2021,Women,Pacific island nations,32.26,23.74,42.18,adultos
2022,Women,Pacific island nations,32.73,23.79,43.04,adultos
2023,Women,Pacific island nations,33.2,23.9,44.0,adultos
2024,Women,Pacific island nations,33.68,23.98,44.77,adultos
1980,Women,South Asia,0.55,0.39,0.76,adultos
1981,Women,South Asia,0.6,0.44,0.81,adultos
1982,Women,South Asia,0.65,0.49,0.86,adultos
1983,Women,South Asia,0.7,0.54,0.91,adultos
1984,Women,South Asia,0.76,0.6,0.97,adultos
1985,Women,South Asia,0.83,0.66,1.03,adultos
1986,Women,South Asia,0.9,0.73,1.1,adultos
1987,Women,South Asia,0.97,0.8,1.18,adultos
1988,Women,South Asia,1.05,0.88,1.26,adultos
1989,Women,South Asia,1.14,0.97,1.34,adultos
1990,Women,South Asia,1.23,1.06,1.44,adultos
1991,Women,South Asia,1.34,1.16,1.54,adultos
1992,Women,South Asia,1.44,1.26,1.65,adultos
1993,Women,South Asia,1.56,1.37,1.76,adultos
1994,Women,South Asia,1.68,1.49,1.89,adultos
1995,Women,South Asia,1.82,1.62,2.03,adultos
1996,Women,South Asia,1.96,1.76,2.18,adultos
1997,Women,South Asia,2.12,1.91,2.34,adultos
1998,Women,South Asia,2.29,2.07,2.52,adultos
1999,Women,South Asia,2.47,2.25,2.7,adultos
2000,Women,South Asia,2.66,2.43,2.9,adultos
2001,Women,South Asia,2.87,2.63,3.12,adultos
2002,Women,South Asia,3.08,2.84,3.34,adultos
2003,Women,South Asia,3.3,3.05,3.58,adultos
2004,Women,South Asia,3.54,3.28,3.81,adultos
2005,Women,South Asia,3.78,3.52,4.07,adultos
2006,Women,South Asia,4.04,3.76,4.33,adultos
2007,Women,South Asia,4.31,4.02,4.61,adultos
2008,Women,South Asia,4.59,4.3,4.9,adultos
2009,Women,South Asia,4.89,4.59,5.21,adultos
2010,Women,South Asia,5.2,4.89,5.52,adultos
2011,Women,South Asia,5.53,5.21,5.86,adultos
2012,Women,South Asia,5.88,5.55,6.21,adultos
2013,Women,South Asia,6.25,5.91,6.58,adultos
2014,Women,South Asia,6.64,6.3,6.99,adultos
2015,Women,South Asia,7.06,6.7,7.42,adultos
2016,Women,South Asia,7.5,7.11,7.9,adultos
2017,Women,South Asia,7.96,7.53,8.41,adultos
2018,Women,South Asia,8.44,7.94,8.96,adultos
2019,Women,South Asia,8.93,8.36,9.54,adultos
2020,Women,South Asia,9.43,8.77,10.17,adultos
2021,Women,South Asia,9.95,9.16,10.83,adultos
2022,Women,South Asia,10.48,9.53,11.52,adultos
2023,Women,South Asia,11.02,9.89,12.26,adultos
2024,Women,South Asia,11.58,10.24,13.05,adultos
1980,Women,Sub-Saharan Africa,3.13,2.4,4.0,adultos
1981,Women,Sub-Saharan Africa,3.27,2.56,4.08,adultos
1982,Women,Sub-Saharan Africa,3.41,2.74,4.16,adultos
1983,Women,Sub-Saharan Africa,3.56,2.92,4.28,adultos
1984,Women,Sub-Saharan Africa,3.72,3.11,4.4,adultos
1985,Women,Sub-Saharan Africa,3.88,3.3,4.53,adultos
1986,Women,Sub-Saharan Africa,4.05,3.5,4.66,adultos
1987,Women,Sub-Saharan Africa,4.22,3.7,4.79,adultos
1988,Women,Sub-Saharan Africa,4.41,3.92,4.93,adultos
1989,Women,Sub-Saharan Africa,4.6,4.14,5.1,adultos
1990,Women,Sub-Saharan Africa,4.8,4.37,5.27,adultos
1991,Women,Sub-Saharan Africa,5.01,4.59,5.43,adultos
1992,Women,Sub-Saharan Africa,5.22,4.82,5.63,adultos
1993,Women,Sub-Saharan Africa,5.43,5.05,5.83,adultos
1994,Women,Sub-Saharan Africa,5.66,5.3,6.05,adultos
1995,Women,Sub-Saharan Africa,5.93,5.57,6.31,adultos
1996,Women,Sub-Saharan Africa,6.2,5.85,6.57,adultos
1997,Women,Sub-Saharan Africa,6.49,6.15,6.85,adultos
1998,Women,Sub-Saharan Africa,6.78,6.44,7.13,adultos
1999,Women,Sub-Saharan Africa,7.09,6.75,7.44,adultos
2000,Women,Sub-Saharan Africa,7.4,7.07,7.74,adultos
2001,Women,Sub-Saharan Africa,7.73,7.4,8.07,adultos
2002,Women,Sub-Saharan Africa,8.07,7.74,8.4,adultos
2003,Women,Sub-Saharan Africa,8.4,8.08,8.74,adultos
2004,Women,Sub-Saharan Africa,8.74,8.42,9.07,adultos
2005,Women,Sub-Saharan Africa,9.08,8.75,9.41,adultos
2006,Women,Sub-Saharan Africa,9.4,9.08,9.74,adultos
2007,Women,Sub-Saharan Africa,9.73,9.4,10.05,adultos
2008,Women,Sub-Saharan Africa,10.05,9.73,10.37,adultos
2009,Women,Sub-Saharan Africa,10.36,10.04,10.68,adultos
2010,Women,Sub-Saharan Africa,10.67,10.34,11.0,adultos
2011,Women,Sub-Saharan Africa,10.98,10.65,11.31,adultos
2012,Women,Sub-Saharan Africa,11.31,10.98,11.65,adultos
2013,Women,Sub-Saharan Africa,11.66,11.32,12.01,adultos
2014,Women,Sub-Saharan Africa,12.03,11.68,12.39,adultos
2015,Women,Sub-Saharan Africa,12.43,12.05,12.81,adultos
2016,Women,Sub-Saharan Africa,12.83,12.43,13.24,adultos
2017,Women,Sub-Saharan Africa,13.25,12.81,13.7,adultos
2018,Women,Sub-Saharan Africa,13.7,13.22,14.19,adultos
2019,Women,Sub-Saharan Africa,14.15,13.61,14.71,adultos
2020,Women,Sub-Saharan Africa,14.61,14.01,15.24,adultos
2021,Women,Sub-Saharan Africa,15.07,14.39,15.79,adultos
2022,Women,Sub-Saharan Africa,15.54,14.76,16.35,adultos
2023,Women,Sub-Saharan Africa,16.01,15.13,16.94,adultos
2024,Women,Sub-Saharan Africa,16.5,15.49,17.57,adultos
1980,Men,Central and eastern Europe,7.21,5.48,9.22,adultos
1981,Men,Central and eastern Europe,7.34,5.75,9.21,adultos
1982,Men,Central and eastern Europe,7.48,5.99,9.21,adultos
1983,Men,Central and eastern Europe,7.63,6.23,9.21,adultos
1984,Men,Central and eastern Europe,7.77,6.47,9.27,adultos
1985,Men,Central and eastern Europe,7.93,6.71,9.32,adultos
1986,Men,Central and eastern Europe,8.08,6.95,9.38,adultos
1987,Men,Central and eastern Europe,8.23,7.17,9.45,adultos
1988,Men,Central and eastern Europe,8.38,7.38,9.54,adultos
1989,Men,Central and eastern Europe,8.53,7.6,9.63,adultos
1990,Men,Central and eastern Europe,8.69,7.8,9.74,adultos
1991,Men,Central and eastern Europe,8.86,8.0,9.86,adultos
1992,Men,Central and eastern Europe,9.04,8.19,10.0,adultos
1993,Men,Central and eastern Europe,9.23,8.41,10.17,adultos
1994,Men,Central and eastern Europe,9.46,8.65,10.37,adultos
1995,Men,Central and eastern Europe,9.71,8.91,10.63,adultos
1996,Men,Central and eastern Europe,10.0,9.19,10.89,adultos
1997,Men,Central and eastern Europe,10.3,9.51,11.2,adultos
1998,Men,Central and eastern Europe,10.64,9.86,11.53,adultos
1999,Men,Central and eastern Europe,11.02,10.24,11.9,adultos
2000,Men,Central and eastern Europe,11.43,10.66,12.32,adultos
2001,Men,Central and eastern Europe,11.86,11.09,12.74,adultos
2002,Men,Central and eastern Europe,12.3,11.52,13.18,adultos
2003,Men,Central and eastern Europe,12.75,11.98,13.63,adultos
2004,Men,Central and eastern Europe,13.21,12.42,14.1,adultos
2005,Men,Central and eastern Europe,13.69,12.87,14.58,adultos
2006,Men,Central and eastern Europe,14.17,13.34,15.04,adultos
2007,Men,Central and eastern Europe,14.64,13.81,15.52,adultos
2008,Men,Central and eastern Europe,15.1,14.26,15.97,adultos
2009,Men,Central and eastern Europe,15.56,14.72,16.42,adultos
2010,Men,Central and eastern Europe,15.99,15.16,16.86,adultos
2011,Men,Central and eastern Europe,16.41,15.57,17.28,adultos
2012,Men,Central and eastern Europe,16.79,15.95,17.64,adultos
2013,Men,Central and eastern Europe,17.13,16.3,18.0,adultos
2014,Men,Central and eastern Europe,17.45,16.63,18.3,adultos
2015,Men,Central and eastern Europe,17.75,16.94,18.59,adultos
2016,Men,Central and eastern Europe,18.03,17.22,18.84,adultos
2017,Men,Central and eastern Europe,18.27,17.48,19.08,adultos
2018,Men,Central and eastern Europe,18.48,17.69,19.3,adultos
2019,Men,Central and eastern Europe,18.68,17.87,19.52,adultos
2020,Men,Central and eastern Europe,18.88,18.02,19.78,adultos
2021,Men,Central and eastern Europe,19.08,18.16,20.04,adultos
2022,Men,Central and eastern Europe,19.32,18.29,20.39,adultos
2023,Men,Central and eastern Europe,19.56,18.39,20.79,adultos
2024,Men,Central and eastern Europe,19.77,18.43,21.16,adultos
1980,Men,"Central Asia, Middle East and north Africa",5.64,3.89,7.88,adultos
1981,Men,"Central Asia, Middle East and north Africa",5.84,4.16,7.94,adultos
1982,Men,"Central Asia, Middle East and north Africa",6.05,4.44,8.02,adultos
1983,Men,"Central Asia, Middle East and north Africa",6.27,4.76,8.14,adultos
1984,Men,"Central Asia, Middle East and north Africa",6.52,5.07,8.26,adultos
1985,Men,"Central Asia, Middle East and north Africa",6.77,5.4,8.39,adultos
1986,Men,"Central Asia, Middle East and north Africa",7.04,5.73,8.54,adultos
1987,Men,"Central Asia, Middle East and north Africa",7.31,6.08,8.71,adultos
1988,Men,"Central Asia, Middle East and north Africa",7.6,6.44,8.92,adultos
1989,Men,"Central Asia, Middle East and north Africa",7.91,6.81,9.14,adultos
1990,Men,"Central Asia, Middle East and north Africa",8.2,7.16,9.36,adultos
1991,Men,"Central Asia, Middle East and north Africa",8.51,7.54,9.61,adultos
1992,Men,"Central Asia, Middle East and north Africa",8.87,7.96,9.89,adultos
1993,Men,"Central Asia, Middle East and north Africa",9.23,8.36,10.2,adultos
1994,Men,"Central Asia, Middle East and north Africa",9.6,8.78,10.51,adultos
1995,Men,"Central Asia, Middle East and north Africa",9.99,9.2,10.83,adultos
1996,Men,"Central Asia, Middle East and north Africa",10.39,9.62,11.18,adultos
1997,Men,"Central Asia, Middle East and north Africa",10.8,10.09,11.56,adultos
1998,Men,"Central Asia, Middle East and north Africa",11.24,10.56,11.96,adultos
1999,Men,"Central Asia, Middle East and north Africa",11.69,11.06,12.36,adultos
