,Animal,Latin name,Family,Type,Mass,MassSource,Frq air,FrqAirSource,Frq wat,FrqWaterSource,
21,European shag,Phalacrocorax aristotelis,Phalacrocoracidae,Foot,1762,"Watanuki, Y. et al. Regulation of stroke and glide in a foot-propelled avian diver. Journal of Experimental Biology 208, 2207–2216 (2005).",5.35,"Pennycuick, C. J. Predicting Wingbeat Frequency and Wavelength of Birds. Journal of Experimental Biology 150, 171–185 (1990).",3.25,"Sato, K. et al. Stroke frequency, but not swimming speed, is related to body size in free-ranging seabirds, pinnipeds and cetaceans. Proc. R. Soc. B. 274, 471–477 (2007).",_
22,South Georgia shag,Leucocarbo georgianus,Phalacrocoracidae,Foot,2400,"Sato, K. et al. Stroke frequency, but not swimming speed, is related to body size in free-ranging seabirds, pinnipeds and cetaceans. Proc. R. Soc. B. 274, 471–477 (2007).",5.83,"Sato, K. et al. Stroke frequency, but not swimming speed, is related to body size in free-ranging seabirds, pinnipeds and cetaceans. Proc. R. Soc. B. 274, 471–477 (2007).",2.92,"Sato, K. et al. Stroke frequency, but not swimming speed, is related to body size in free-ranging seabirds, pinnipeds and cetaceans. Proc. R. Soc. B. 274, 471–477 (2007).",_
23,Great crested grebe,Podiceps cristatus,Podicipedidae,Foot,800,"Johansson, L. C. & Norberg, U. M. L. Lift-based paddling in diving grebe. Journal of Experimental Biology 204, 1687–1696 (2001).",8.5,"Bruderer, B., Peter, D., Boldt, A. & Liechti, F. Wing-beat characteristics of birds recorded with tracking radar and cine camera. Ibis 152, 272–291 (2010).",2.45,"Johansson, L. C. & Norberg, U. M. L. Lift-based paddling in diving grebe. Journal of Experimental Biology 204, 1687–1696 (2001).",_
24,Dovekie,Alle alle,Alcidae,Wing,152.5,"Ste-Marie, E. et al. Accelerating animal energetics: high dive costs in a small seabird disrupt the dynamic body acceleration–energy expenditure relationship. Journal of Experimental Biology 225, jeb243252 (2022).",11.81,"Ste-Marie, E. et al. Accelerating animal energetics: high dive costs in a small seabird disrupt the dynamic body acceleration–energy expenditure relationship. Journal of Experimental Biology 225, jeb243252 (2022).",4.18,"Ste-Marie, E. et al. Accelerating animal energetics: high dive costs in a small seabird disrupt the dynamic body acceleration–energy expenditure relationship. Journal of Experimental Biology 225, jeb243252 (2022).",_
25,Marbled murrelet,Brachyramphus marmoratus,Alcidae,Wing,210,"Elliott, K. H., Hewett, M., Kaiser, G. W. & Blake, R. W. Flight energetics of the Marbled Murrelet, Brachyramphus marmoratus. Can. J. Zool. 82, 644–652 (2004).",12.9,"Elliott, K. H., Hewett, M., Kaiser, G. W. & Blake, R. W. Flight energetics of the Marbled Murrelet, Brachyramphus marmoratus. Can. J. Zool. 82, 644–652 (2004).",NA,,_
26,South Georgia diving petrel,Pelecanoides georgicus,Procellariidae,Wing,122,"Pennycuick, C. J. Wingbeat Frequency of Birds in Steady Cruising Flight: New Data and Improved Predictions. Journal of Experimental Biology 199, 1613–1618 (1996).",12.3,"Pennycuick, C. J. Wingbeat Frequency of Birds in Steady Cruising Flight: New Data and Improved Predictions. Journal of Experimental Biology 199, 1613–1618 (1996).",NA,,_
27,Common diving petrel,Pelecanoides urinatrix,Procellariidae,Wing,133,"Pennycuick, C. J. Wingbeat Frequency of Birds in Steady Cruising Flight: New Data and Improved Predictions. Journal of Experimental Biology 199, 1613–1618 (1996).",12.3,"Pennycuick, C. J. Wingbeat Frequency of Birds in Steady Cruising Flight: New Data and Improved Predictions. Journal of Experimental Biology 199, 1613–1618 (1996).",NA,,_
28,Ancient murrelet,Synthliboramphus antiquus,Alcidae,Wing,210,"Elliott, K. H., Hewett, M., Kaiser, G. W. & Blake, R. W. Flight energetics of the Marbled Murrelet, Brachyramphus marmoratus. Can. J. Zool. 82, 644–652 (2004).",11.13,"Elliott, K. H., Hewett, M., Kaiser, G. W. & Blake, R. W. Flight energetics of the Marbled Murrelet, Brachyramphus marmoratus. Can. J. Zool. 82, 644–652 (2004).",NA,,_
29,Common eider,Somateria mollissima,Anatidae,Wing,1390,"Pennycuick, C. J. Speeds and wingbeat frequencies of migrating birds compared with calculated benchmarks. J Exp Biol 204, 3283–3294 (2001).",6.47,"Pennycuick, C. J. Speeds and wingbeat frequencies of migrating birds compared with calculated benchmarks. J Exp Biol 204, 3283–3294 (2001).",2.28,"Heath, J. P., Gilchrist, H. G. & Ydenberg, R. C. Regulation of stroke pattern and swim speed across a range of current velocities: diving by common eiders wintering in polynyas in the Canadian Arctic. Journal of Experimental Biology 209, 3974–3983 (2006).",_
30,Emperor penguin,Aptenodytes forsteri,Spheniscidae,Wing,24500,"Sato, K., Ponganis, P. J., Habara, Y. & Naito, Y. Emperor penguins adjust swim speed according to the above-water height of ice holes through which they exit. Journal of Experimental Biology 208, 2549–2554 (2005).",NA,NA,1.35,"Sato, K., Ponganis, P. J., Habara, Y. & Naito, Y. Emperor penguins adjust swim speed according to the above-water height of ice holes through which they exit. Journal of Experimental Biology 208, 2549–2554 (2005).",_
31,King penguin,Aptenodytes patagonicus,Spheniscidae,Wing,11900,"Sato, K. et al. Buoyancy and maximal diving depth in penguins: do they control inhaling air volume? Journal of Experimental Biology 205, 1189–1197 (2002).",NA,NA,1.55,"Sato, K. et al. Buoyancy and maximal diving depth in penguins: do they control inhaling air volume? Journal of Experimental Biology 205, 1189–1197 (2002).",_
32,Gentoo penguin,Pygoscelis papua,Spheniscidae,Wing,5500,"Sato, K. et al. Stroke frequency, but not swimming speed, is related to body size in free-ranging seabirds, pinnipeds and cetaceans. Proc. R. Soc. B. 274, 471–477 (2007).",NA,NA,2.18,"Sato, K. et al. Stroke frequency, but not swimming speed, is related to body size in free-ranging seabirds, pinnipeds and cetaceans. Proc. R. Soc. B. 274, 471–477 (2007).",_
33,Adelie penguin,Pygoscelis adeliae,Spheniscidae,Wing,4200,"Sato, K. et al. Buoyancy and maximal diving depth in penguins: do they control inhaling air volume? Journal of Experimental Biology 205, 1189–1197 (2002).",NA,NA,2.46,"Sato, K. et al. Buoyancy and maximal diving depth in penguins: do they control inhaling air volume? Journal of Experimental Biology 205, 1189–1197 (2002).",_
34,Chinstrap penguin,Pygoscelis antarctica,Spheniscidae,Wing,3800,"Sato, K. et al. Stroke frequency, but not swimming speed, is related to body size in free-ranging seabirds, pinnipeds and cetaceans. Proc. R. Soc. B. 274, 471–477 (2007).",NA,NA,2.54,"Sato, K. et al. Stroke frequency, but not swimming speed, is related to body size in free-ranging seabirds, pinnipeds and cetaceans. Proc. R. Soc. B. 274, 471–477 (2007).",_
35,Macaroni penguin,Eudyptes chrysolophus,Spheniscidae,Wing,3300,"Sato, K. Why do macaroni penguins choose shallow body angles that result in longer descent and ascent durations? Journal of Experimental Biology 207, 4057–4065 (2004).",NA,NA,2.3,"Sato, K. Why do macaroni penguins choose shallow body angles that result in longer descent and ascent durations? Journal of Experimental Biology 207, 4057–4065 (2004).",_
,This work,,,,260,,11,,0.5,,
