subfigura,prueba,medida,grupo,raton,valor
e,Cruz elevada,Movimiento total,Semaglutida,Sema10,5.83546
f,Cruz elevada,Entradas a los brazos,Control,Ctrl1,27.0
f,Cruz elevada,Entradas a los brazos,Control,Ctrl2,8.0
f,Cruz elevada,Entradas a los brazos,Control,Ctrl3,24.0
f,Cruz elevada,Entradas a los brazos,Control,Ctrl4,8.0
f,Cruz elevada,Entradas a los brazos,Control,Ctrl5,14.0
f,Cruz elevada,Entradas a los brazos,Control,Ctrl6,13.0
f,Cruz elevada,Entradas a los brazos,Control,Ctrl7,15.0
f,Cruz elevada,Entradas a los brazos,Control,Ctrl8,15.0
f,Cruz elevada,Entradas a los brazos,Control,Ctrl9,24.0
f,Cruz elevada,Entradas a los brazos,Control,Ctrl10,17.0
f,Cruz elevada,Entradas a los brazos,Semaglutida,Sema1,21.0
f,Cruz elevada,Entradas a los brazos,Semaglutida,Sema2,22.0
f,Cruz elevada,Entradas a los brazos,Semaglutida,Sema3,22.0
f,Cruz elevada,Entradas a los brazos,Semaglutida,Sema4,40.0
f,Cruz elevada,Entradas a los brazos,Semaglutida,Sema5,38.0
f,Cruz elevada,Entradas a los brazos,Semaglutida,Sema6,29.0
f,Cruz elevada,Entradas a los brazos,Semaglutida,Sema7,13.0
f,Cruz elevada,Entradas a los brazos,Semaglutida,Sema8,17.0
f,Cruz elevada,Entradas a los brazos,Semaglutida,Sema9,19.0
f,Cruz elevada,Entradas a los brazos,Semaglutida,Sema10,13.0
g,Cruz elevada,% entradas a brazos abiertos,Control,Ctrl1,29.6296
g,Cruz elevada,% entradas a brazos abiertos,Control,Ctrl2,12.5
g,Cruz elevada,% entradas a brazos abiertos,Control,Ctrl3,41.6667
g,Cruz elevada,% entradas a brazos abiertos,Control,Ctrl4,12.5
g,Cruz elevada,% entradas a brazos abiertos,Control,Ctrl5,14.2857
g,Cruz elevada,% entradas a brazos abiertos,Control,Ctrl6,30.7692
g,Cruz elevada,% entradas a brazos abiertos,Control,Ctrl7,33.3333
g,Cruz elevada,% entradas a brazos abiertos,Control,Ctrl8,33.3333
g,Cruz elevada,% entradas a brazos abiertos,Control,Ctrl9,25.0
g,Cruz elevada,% entradas a brazos abiertos,Control,Ctrl10,52.9412
g,Cruz elevada,% entradas a brazos abiertos,Semaglutida,Sema1,28.5714
g,Cruz elevada,% entradas a brazos abiertos,Semaglutida,Sema2,18.1818
g,Cruz elevada,% entradas a brazos abiertos,Semaglutida,Sema3,54.5455
g,Cruz elevada,% entradas a brazos abiertos,Semaglutida,Sema4,47.5
g,Cruz elevada,% entradas a brazos abiertos,Semaglutida,Sema5,47.3684
g,Cruz elevada,% entradas a brazos abiertos,Semaglutida,Sema6,44.8276
g,Cruz elevada,% entradas a brazos abiertos,Semaglutida,Sema7,30.7692
g,Cruz elevada,% entradas a brazos abiertos,Semaglutida,Sema8,41.1765
g,Cruz elevada,% entradas a brazos abiertos,Semaglutida,Sema9,42.1053
g,Cruz elevada,% entradas a brazos abiertos,Semaglutida,Sema10,46.1538
h,Cruz elevada,Tiempo en brazos abiertos,Control,Ctrl1,30.867
h,Cruz elevada,Tiempo en brazos abiertos,Control,Ctrl2,1.067
h,Cruz elevada,Tiempo en brazos abiertos,Control,Ctrl3,40.601
h,Cruz elevada,Tiempo en brazos abiertos,Control,Ctrl4,0.534
h,Cruz elevada,Tiempo en brazos abiertos,Control,Ctrl5,3.734
h,Cruz elevada,Tiempo en brazos abiertos,Control,Ctrl6,25.401
h,Cruz elevada,Tiempo en brazos abiertos,Control,Ctrl7,36.201
h,Cruz elevada,Tiempo en brazos abiertos,Control,Ctrl8,19.467
h,Cruz elevada,Tiempo en brazos abiertos,Control,Ctrl9,17.934
h,Cruz elevada,Tiempo en brazos abiertos,Control,Ctrl10,29.001
h,Cruz elevada,Tiempo en brazos abiertos,Semaglutida,Sema1,82.867
h,Cruz elevada,Tiempo en brazos abiertos,Semaglutida,Sema2,24.201
h,Cruz elevada,Tiempo en brazos abiertos,Semaglutida,Sema3,88.401
h,Cruz elevada,Tiempo en brazos abiertos,Semaglutida,Sema4,127.6
h,Cruz elevada,Tiempo en brazos abiertos,Semaglutida,Sema5,38.934
h,Cruz elevada,Tiempo en brazos abiertos,Semaglutida,Sema6,90.601
h,Cruz elevada,Tiempo en brazos abiertos,Semaglutida,Sema7,21.934
h,Cruz elevada,Tiempo en brazos abiertos,Semaglutida,Sema8,31.601
h,Cruz elevada,Tiempo en brazos abiertos,Semaglutida,Sema9,37.401
h,Cruz elevada,Tiempo en brazos abiertos,Semaglutida,Sema10,265.267
i,Laberinto de Barnes,Tiempo en cuadrante objetivo,Control,Ctrl1,5.8
i,Laberinto de Barnes,Tiempo en cuadrante objetivo,Control,Ctrl2,21.7333
i,Laberinto de Barnes,Tiempo en cuadrante objetivo,Control,Ctrl3,39.8666
i,Laberinto de Barnes,Tiempo en cuadrante objetivo,Control,Ctrl4,27.6666
i,Laberinto de Barnes,Tiempo en cuadrante objetivo,Control,Ctrl5,34.8
i,Laberinto de Barnes,Tiempo en cuadrante objetivo,Control,Ctrl6,15.4
i,Laberinto de Barnes,Tiempo en cuadrante objetivo,Control,Ctrl7,32.1333
i,Laberinto de Barnes,Tiempo en cuadrante objetivo,Control,Ctrl8,49.4
i,Laberinto de Barnes,Tiempo en cuadrante objetivo,Control,Ctrl9,35.2
i,Laberinto de Barnes,Tiempo en cuadrante objetivo,Control,Ctrl10,22.2
i,Laberinto de Barnes,Tiempo en cuadrante objetivo,Semaglutida,Sema1,41.0666
i,Laberinto de Barnes,Tiempo en cuadrante objetivo,Semaglutida,Sema2,82.4666
i,Laberinto de Barnes,Tiempo en cuadrante objetivo,Semaglutida,Sema3,34.2
i,Laberinto de Barnes,Tiempo en cuadrante objetivo,Semaglutida,Sema4,58.0666
i,Laberinto de Barnes,Tiempo en cuadrante objetivo,Semaglutida,Sema5,27.4
i,Laberinto de Barnes,Tiempo en cuadrante objetivo,Semaglutida,Sema6,42.3333
i,Laberinto de Barnes,Tiempo en cuadrante objetivo,Semaglutida,Sema7,49.5333
i,Laberinto de Barnes,Tiempo en cuadrante objetivo,Semaglutida,Sema8,24.5333
i,Laberinto de Barnes,Tiempo en cuadrante objetivo,Semaglutida,Sema9,91.4666
i,Laberinto de Barnes,Tiempo en cuadrante objetivo,Semaglutida,Sema10,70.0666
j,Laberinto de Barnes,% huecos en cuadrante objetivo,Control,Ctrl1,7.14285714
j,Laberinto de Barnes,% huecos en cuadrante objetivo,Control,Ctrl2,28.5714286
j,Laberinto de Barnes,% huecos en cuadrante objetivo,Control,Ctrl3,41.6666667
j,Laberinto de Barnes,% huecos en cuadrante objetivo,Control,Ctrl4,22.2222222
j,Laberinto de Barnes,% huecos en cuadrante objetivo,Control,Ctrl5,25.0
j,Laberinto de Barnes,% huecos en cuadrante objetivo,Control,Ctrl6,18.1818182
j,Laberinto de Barnes,% huecos en cuadrante objetivo,Control,Ctrl7,25.0
j,Laberinto de Barnes,% huecos en cuadrante objetivo,Control,Ctrl8,70.0
j,Laberinto de Barnes,% huecos en cuadrante objetivo,Control,Ctrl9,61.5384615
j,Laberinto de Barnes,% huecos en cuadrante objetivo,Control,Ctrl10,28.5714286
j,Laberinto de Barnes,% huecos en cuadrante objetivo,Semaglutida,Sema1,27.2727273
j,Laberinto de Barnes,% huecos en cuadrante objetivo,Semaglutida,Sema2,41.6666667
j,Laberinto de Barnes,% huecos en cuadrante objetivo,Semaglutida,Sema3,25.0
j,Laberinto de Barnes,% huecos en cuadrante objetivo,Semaglutida,Sema4,72.7272727
j,Laberinto de Barnes,% huecos en cuadrante objetivo,Semaglutida,Sema5,26.3157895
j,Laberinto de Barnes,% huecos en cuadrante objetivo,Semaglutida,Sema6,44.4444444
j,Laberinto de Barnes,% huecos en cuadrante objetivo,Semaglutida,Sema7,60.0
j,Laberinto de Barnes,% huecos en cuadrante objetivo,Semaglutida,Sema8,50.0
j,Laberinto de Barnes,% huecos en cuadrante objetivo,Semaglutida,Sema9,75.0
j,Laberinto de Barnes,% huecos en cuadrante objetivo,Semaglutida,Sema10,86.6666667
k,Laberinto de Barnes,Latencia al hueco de escape,Control,Ctrl1,120.0
k,Laberinto de Barnes,Latencia al hueco de escape,Control,Ctrl2,78.9999
k,Laberinto de Barnes,Latencia al hueco de escape,Control,Ctrl3,97.5999
k,Laberinto de Barnes,Latencia al hueco de escape,Control,Ctrl4,34.8666
k,Laberinto de Barnes,Latencia al hueco de escape,Control,Ctrl5,120.0
k,Laberinto de Barnes,Latencia al hueco de escape,Control,Ctrl6,120.0
k,Laberinto de Barnes,Latencia al hueco de escape,Control,Ctrl7,120.0
k,Laberinto de Barnes,Latencia al hueco de escape,Control,Ctrl8,75.1999
k,Laberinto de Barnes,Latencia al hueco de escape,Control,Ctrl9,11.0
k,Laberinto de Barnes,Latencia al hueco de escape,Control,Ctrl10,120.0
k,Laberinto de Barnes,Latencia al hueco de escape,Semaglutida,Sema1,11.2667
k,Laberinto de Barnes,Latencia al hueco de escape,Semaglutida,Sema2,6.59999
k,Laberinto de Barnes,Latencia al hueco de escape,Semaglutida,Sema3,64.0666
k,Laberinto de Barnes,Latencia al hueco de escape,Semaglutida,Sema4,9.39999
k,Laberinto de Barnes,Latencia al hueco de escape,Semaglutida,Sema5,120.0
k,Laberinto de Barnes,Latencia al hueco de escape,Semaglutida,Sema6,1.33333
k,Laberinto de Barnes,Latencia al hueco de escape,Semaglutida,Sema7,24.0666
k,Laberinto de Barnes,Latencia al hueco de escape,Semaglutida,Sema8,4.39999
k,Laberinto de Barnes,Latencia al hueco de escape,Semaglutida,Sema9,120.0
k,Laberinto de Barnes,Latencia al hueco de escape,Semaglutida,Sema10,28.7333
l,Rotarod,Latencia de caida,Control,Ctrl1,79.3
l,Rotarod,Latencia de caida,Control,Ctrl2,42.9333333
l,Rotarod,Latencia de caida,Control,Ctrl3,28.8
l,Rotarod,Latencia de caida,Control,Ctrl4,41.3333333
l,Rotarod,Latencia de caida,Control,Ctrl5,17.1666667
l,Rotarod,Latencia de caida,Control,Ctrl6,29.0666667
l,Rotarod,Latencia de caida,Control,Ctrl7,42.7333333
l,Rotarod,Latencia de caida,Control,Ctrl8,41.0333333
l,Rotarod,Latencia de caida,Control,Ctrl9,53.8666667
l,Rotarod,Latencia de caida,Control,Ctrl10,47.5333333
l,Rotarod,Latencia de caida,Semaglutida,Sema1,50.2666667
l,Rotarod,Latencia de caida,Semaglutida,Sema2,75.1
l,Rotarod,Latencia de caida,Semaglutida,Sema3,52.7333333
l,Rotarod,Latencia de caida,Semaglutida,Sema4,55.7666667
l,Rotarod,Latencia de caida,Semaglutida,Sema5,63.1333333
l,Rotarod,Latencia de caida,Semaglutida,Sema6,58.1333333
l,Rotarod,Latencia de caida,Semaglutida,Sema7,38.7666667
l,Rotarod,Latencia de caida,Semaglutida,Sema8,70.8333333
l,Rotarod,Latencia de caida,Semaglutida,Sema9,74.7
l,Rotarod,Latencia de caida,Semaglutida,Sema10,84.5
m,Rejilla invertida,Latencia de caida,Control,Ctrl1,35.0
m,Rejilla invertida,Latencia de caida,Control,Ctrl2,96.0
m,Rejilla invertida,Latencia de caida,Control,Ctrl3,49.0
m,Rejilla invertida,Latencia de caida,Control,Ctrl4,147.0
m,Rejilla invertida,Latencia de caida,Control,Ctrl5,72.0
m,Rejilla invertida,Latencia de caida,Control,Ctrl6,72.0
m,Rejilla invertida,Latencia de caida,Control,Ctrl7,62.0
m,Rejilla invertida,Latencia de caida,Control,Ctrl8,95.0
m,Rejilla invertida,Latencia de caida,Control,Ctrl9,75.0
m,Rejilla invertida,Latencia de caida,Control,Ctrl10,112.0
m,Rejilla invertida,Latencia de caida,Semaglutida,Sema1,205.0
m,Rejilla invertida,Latencia de caida,Semaglutida,Sema2,151.0
m,Rejilla invertida,Latencia de caida,Semaglutida,Sema3,143.0
m,Rejilla invertida,Latencia de caida,Semaglutida,Sema4,250.0
m,Rejilla invertida,Latencia de caida,Semaglutida,Sema5,260.0
m,Rejilla invertida,Latencia de caida,Semaglutida,Sema6,159.0
m,Rejilla invertida,Latencia de caida,Semaglutida,Sema7,225.0
m,Rejilla invertida,Latencia de caida,Semaglutida,Sema8,160.0
m,Rejilla invertida,Latencia de caida,Semaglutida,Sema9,168.0
m,Rejilla invertida,Latencia de caida,Semaglutida,Sema10,102.0
n,Cinta de correr,Tiempo hasta agotamiento,Control,Ctrl1,8.4166667
n,Cinta de correr,Tiempo hasta agotamiento,Control,Ctrl2,5.5
n,Cinta de correr,Tiempo hasta agotamiento,Control,Ctrl3,7.1
n,Cinta de correr,Tiempo hasta agotamiento,Control,Ctrl4,7.5
n,Cinta de correr,Tiempo hasta agotamiento,Control,Ctrl5,6.6166667
n,Cinta de correr,Tiempo hasta agotamiento,Control,Ctrl6,4.5666667
n,Cinta de correr,Tiempo hasta agotamiento,Control,Ctrl7,4.2166667
n,Cinta de correr,Tiempo hasta agotamiento,Control,Ctrl8,4.0333333
n,Cinta de correr,Tiempo hasta agotamiento,Control,Ctrl9,9.0666667
n,Cinta de correr,Tiempo hasta agotamiento,Control,Ctrl10,3.6166667
n,Cinta de correr,Tiempo hasta agotamiento,Semaglutida,Sema1,36.5333
n,Cinta de correr,Tiempo hasta agotamiento,Semaglutida,Sema2,39.0333
n,Cinta de correr,Tiempo hasta agotamiento,Semaglutida,Sema3,19.8167
n,Cinta de correr,Tiempo hasta agotamiento,Semaglutida,Sema4,21.0833
n,Cinta de correr,Tiempo hasta agotamiento,Semaglutida,Sema5,9.66667
n,Cinta de correr,Tiempo hasta agotamiento,Semaglutida,Sema6,8.38333
n,Cinta de correr,Tiempo hasta agotamiento,Semaglutida,Sema7,5.41667
n,Cinta de correr,Tiempo hasta agotamiento,Semaglutida,Sema8,7.56667
n,Cinta de correr,Tiempo hasta agotamiento,Semaglutida,Sema9,7.18333
n,Cinta de correr,Tiempo hasta agotamiento,Semaglutida,Sema10,13.0667
o,Cinta de correr,Distancia hasta agotamiento,Control,Ctrl1,101.0
o,Cinta de correr,Distancia hasta agotamiento,Control,Ctrl2,66.0
o,Cinta de correr,Distancia hasta agotamiento,Control,Ctrl3,85.2
o,Cinta de correr,Distancia hasta agotamiento,Control,Ctrl4,90.0
o,Cinta de correr,Distancia hasta agotamiento,Control,Ctrl5,79.4
o,Cinta de correr,Distancia hasta agotamiento,Control,Ctrl6,54.8
o,Cinta de correr,Distancia hasta agotamiento,Control,Ctrl7,50.6
o,Cinta de correr,Distancia hasta agotamiento,Control,Ctrl8,48.4
o,Cinta de correr,Distancia hasta agotamiento,Control,Ctrl9,108.8
o,Cinta de correr,Distancia hasta agotamiento,Control,Ctrl10,43.4
o,Cinta de correr,Distancia hasta agotamiento,Semaglutida,Sema1,438.4
o,Cinta de correr,Distancia hasta agotamiento,Semaglutida,Sema2,468.4
o,Cinta de correr,Distancia hasta agotamiento,Semaglutida,Sema3,237.8
o,Cinta de correr,Distancia hasta agotamiento,Semaglutida,Sema4,253.0
o,Cinta de correr,Distancia hasta agotamiento,Semaglutida,Sema5,116.0
o,Cinta de correr,Distancia hasta agotamiento,Semaglutida,Sema6,100.6
o,Cinta de correr,Distancia hasta agotamiento,Semaglutida,Sema7,65.0
o,Cinta de correr,Distancia hasta agotamiento,Semaglutida,Sema8,90.8
o,Cinta de correr,Distancia hasta agotamiento,Semaglutida,Sema9,86.2
o,Cinta de correr,Distancia hasta agotamiento,Semaglutida,Sema10,156.8
q,Tolerancia a la glucosa,Area bajo la curva de glucosa,Control,Ctrl1,25.32
q,Tolerancia a la glucosa,Area bajo la curva de glucosa,Control,Ctrl2,22.598
q,Tolerancia a la glucosa,Area bajo la curva de glucosa,Control,Ctrl3,28.395
q,Tolerancia a la glucosa,Area bajo la curva de glucosa,Control,Ctrl4,27.945
q,Tolerancia a la glucosa,Area bajo la curva de glucosa,Control,Ctrl5,26.085
q,Tolerancia a la glucosa,Area bajo la curva de glucosa,Control,Ctrl6,24.75
q,Tolerancia a la glucosa,Area bajo la curva de glucosa,Control,Ctrl7,27.863
q,Tolerancia a la glucosa,Area bajo la curva de glucosa,Control,Ctrl8,27.983
q,Tolerancia a la glucosa,Area bajo la curva de glucosa,Control,Ctrl9,21.615
q,Tolerancia a la glucosa,Area bajo la curva de glucosa,Control,Ctrl10,23.955
q,Tolerancia a la glucosa,Area bajo la curva de glucosa,Semaglutida,Sema1,17.528
q,Tolerancia a la glucosa,Area bajo la curva de glucosa,Semaglutida,Sema2,19.088
q,Tolerancia a la glucosa,Area bajo la curva de glucosa,Semaglutida,Sema3,21.458
q,Tolerancia a la glucosa,Area bajo la curva de glucosa,Semaglutida,Sema4,20.753
q,Tolerancia a la glucosa,Area bajo la curva de glucosa,Semaglutida,Sema5,21.968
q,Tolerancia a la glucosa,Area bajo la curva de glucosa,Semaglutida,Sema6,21.42
q,Tolerancia a la glucosa,Area bajo la curva de glucosa,Semaglutida,Sema7,20.918
q,Tolerancia a la glucosa,Area bajo la curva de glucosa,Semaglutida,Sema8,21.42
q,Tolerancia a la glucosa,Area bajo la curva de glucosa,Semaglutida,Sema9,20.205
q,Tolerancia a la glucosa,Area bajo la curva de glucosa,Semaglutida,Sema10,19.493
