subfigura,prueba,medida,direccion_mejora,grupo,mes,raton,valor
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Semaglutida,0,Sema3,116.26703999999998
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Semaglutida,0,Sema4,218.99997
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Semaglutida,0,Sema5,49.933296
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Semaglutida,0,Sema6,40.333302
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Semaglutida,0,Sema7,145.53296999999998
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Semaglutida,0,Sema8,62.06660100000001
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Semaglutida,0,Sema9,158.733
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Semaglutida,0,Sema10,70.666596
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Restriccion calorica,0,Rest1,100.66698000000001
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Restriccion calorica,0,Rest2,56.533302000000006
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Restriccion calorica,0,Rest3,152.93304
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Restriccion calorica,0,Rest4,213.39999
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Restriccion calorica,0,Rest5,198.333
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Restriccion calorica,0,Rest6,54.666603
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Restriccion calorica,0,Rest7,124.39998
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Restriccion calorica,0,Rest8,164.79999
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Restriccion calorica,0,Rest9,45.0
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Restriccion calorica,0,Rest10,115.33301999999999
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Control,2,Cont1,5.933331000000001
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Control,2,Cont2,115.13304
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Control,2,Cont3,179.60004
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Control,2,Cont4,10.333296
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Control,2,Cont5,59.199903000000006
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Control,2,Cont6,22.066596
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Control,2,Cont7,16.866603
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Control,2,Cont8,167.20002
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Control,2,Cont9,66.799899
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Control,2,Cont10,85.46660100000001
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Semaglutida,2,Sema1,126.9333
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Semaglutida,2,Sema2,173.79989999999998
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Semaglutida,2,Sema3,93.99959999999999
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Semaglutida,2,Sema4,162.53280000000004
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Semaglutida,2,Sema5,265.266
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Semaglutida,2,Sema6,353.60009999999994
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Semaglutida,2,Sema7,112.2669
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Semaglutida,2,Sema8,221.20019999999997
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Semaglutida,2,Sema9,260.26559999999995
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Semaglutida,2,Sema10,116.1999
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Restriccion calorica,2,Rest1,36.999999
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Restriccion calorica,2,Rest2,26.600004
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Restriccion calorica,2,Rest3,113.93297999999999
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Restriccion calorica,2,Rest4,46.400003999999996
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Restriccion calorica,2,Rest5,221.00004
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Restriccion calorica,2,Rest6,97.66655999999999
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Restriccion calorica,2,Rest7,80.999901
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Restriccion calorica,2,Rest8,215.26596
b,Campo abierto,Tiempo en el centro,mas_es_mejor,Restriccion calorica,2,Rest9,120.86703000000001
