species,taxonomic_class,country,iucn_red_list,adult_body_mass_g,gen_length_y,price_cpi_eur
Accipiter nisus,Aves,Slovak Republic,LC,212.0,,2192.49080129097
Accipiter nisus,Aves,Moldova,LC,212.0,,445.702741623961
Accipiter nisus,Aves,Serbia,LC,212.0,,1643.42291139123
Accipiter nisus,Aves,North Macedonia,LC,212.0,,287.360878206611
Acrocephalus agricola,Aves,Hungary,LC,955.0,,41.1128005114908
Acrocephalus agricola,Aves,Slovak Republic,LC,955.0,,548.122700322742
Acrocephalus agricola,Aves,Armenia,LC,955.0,,38.0342242172589
Acrocephalus arundinaceus,Aves,Finland,LC,30175.0,,159.383954283732
Acrocephalus arundinaceus,Aves,Hungary,LC,30175.0,,41.1128005114908
Acrocephalus arundinaceus,Aves,Spain,LC,30175.0,,2000.0
Acrocephalus arundinaceus,Aves,Spain,LC,30175.0,,95.44488309657
Acrocephalus arundinaceus,Aves,Spain,LC,30175.0,,104.315232981613
Acrocephalus arundinaceus,Aves,Croatia,LC,30175.0,,125.211611733079
Acrocephalus arundinaceus,Aves,Slovak Republic,LC,30175.0,,1096.24540064548
Acrocephalus arundinaceus,Aves,Serbia,LC,30175.0,,102.713290003889
Acrocephalus dumetorum,Aves,Finland,LC,11525.0,,265.991764764903
Acrocephalus dumetorum,Aves,Hungary,LC,11525.0,,82.2256010229816
Acrocephalus dumetorum,Aves,Slovak Republic,LC,11525.0,,1096.24540064548
Acrocephalus griseldis,Aves,Hungary,EN,30.0,,82.2256010229816
Acrocephalus melanopogon,Aves,Spain,LC,11.0,,312.945698944839
Acrocephalus melanopogon,Aves,Spain,LC,11.0,,181.378253624821
Acrocephalus melanopogon,Aves,Hungary,LC,11.0,,205.564002557454
Acrocephalus melanopogon,Aves,Croatia,LC,11.0,,1126.90450559771
Acrocephalus melanopogon,Aves,Slovak Republic,LC,11.0,,10962.4540064548
Acrocephalus paludicola,Aves,Spain,VU,1205.0,,150.0
Acrocephalus paludicola,Aves,Croatia,VU,1205.0,,6260.58058665393
Acrocephalus paludicola,Aves,Hungary,VU,1205.0,,2055.64002557454
Acrocephalus paludicola,Aves,Spain,VU,1205.0,,2086.30465963226
Acrocephalus paludicola,Aves,Spain,VU,1205.0,,95.44488309657
Acrocephalus paludicola,Aves,Slovak Republic,VU,1205.0,,5481.22700322742
Acrocephalus paludicola,Aves,Russian Federation,VU,1205.0,,267.486803204951
Acrocephalus paludicola,Aves,Ukraine,VU,1205.0,,81.5151002046977
Acrocephalus paludicola,Aves,Latvia,VU,1205.0,,857.0204256534781
Acrocephalus palustris,Aves,Finland,LC,12.0,,52.7761438025602
Acrocephalus palustris,Aves,Hungary,LC,12.0,,41.1128005114908
Acrocephalus palustris,Aves,Croatia,LC,12.0,,125.211611733079
Acrocephalus palustris,Aves,Serbia,LC,12.0,,102.713290003889
Acrocephalus palustris,Aves,Slovak Republic,LC,12.0,,548.122700322742
Acrocephalus schoenobaenus,Aves,Finland,LC,119.0,,17.9438888928705
Acrocephalus schoenobaenus,Aves,Spain,LC,119.0,,104.315232981613
Acrocephalus schoenobaenus,Aves,Croatia,LC,119.0,,250.423223466157
Acrocephalus schoenobaenus,Aves,Hungary,LC,119.0,,41.1128005114908
Acrocephalus schoenobaenus,Aves,Spain,LC,119.0,,4000.0
Acrocephalus schoenobaenus,Aves,Spain,LC,119.0,,95.44488309657
Acrocephalus schoenobaenus,Aves,Slovak Republic,LC,119.0,,548.122700322742
Acrocephalus scirpaceus,Aves,Croatia,LC,118.0,,375.634835199236
Acrocephalus scirpaceus,Aves,Spain,LC,118.0,,95.44488309657
Acrocephalus scirpaceus,Aves,Hungary,LC,118.0,,41.1128005114908
Acrocephalus scirpaceus,Aves,Spain,LC,118.0,,2000.0
Acrocephalus scirpaceus,Aves,Spain,LC,118.0,,104.315232981613
Acrocephalus scirpaceus,Aves,Finland,LC,118.0,,52.7761438025602
Acrocephalus scirpaceus,Aves,Slovak Republic,LC,118.0,,548.122700322742
Actitis hypoleucos,Aves,Croatia,LC,48.0,,751.269670398471
Actitis hypoleucos,Aves,Hungary,LC,48.0,,41.1128005114908
Actitis hypoleucos,Aves,Finland,LC,48.0,,35.8877777857409
Actitis hypoleucos,Aves,Spain,LC,48.0,,312.945698944839
Actitis hypoleucos,Aves,Spain,LC,48.0,,225.768647777885
Actitis hypoleucos,Aves,Spain,LC,48.0,,358.883180409454
Actitis hypoleucos,Aves,Spain,LC,48.0,,2000.0
Actitis hypoleucos,Aves,Spain,LC,48.0,,225.768647777885
Actitis hypoleucos,Aves,Spain,LC,48.0,,286.33464928971
Actitis hypoleucos,Aves,Slovak Republic,LC,48.0,,2192.49080129097
Actitis hypoleucos,Aves,Spain,NE,48.0,,231.330285223377
Actitis macularius,Aves,Hungary,LC,4185833333.0,,82.2256010229816
Aegithalos caudatus,Aves,Spain,LC,86.0,,95.44488309657
Aegithalos caudatus,Aves,Spain,LC,86.0,,104.315232981613
Aegithalos caudatus,Aves,Spain,LC,86.0,,48.7346458135899
Aegithalos caudatus,Aves,Spain,LC,86.0,,65.1250147072281
Aegithalos caudatus,Aves,Finland,LC,86.0,,265.991764764903
Aegithalos caudatus,Aves,Croatia,LC,86.0,,125.211611733079
Aegithalos caudatus,Aves,Hungary,LC,86.0,,41.1128005114908
Aegithalos caudatus,Aves,Spain,LC,86.0,,112.884323888943
Aegithalos caudatus,Aves,Spain,LC,86.0,,79.7518178687677
Aegithalos caudatus,Aves,Spain,LC,86.0,,58.0410411599426
Aegithalos caudatus,Aves,Spain,LC,86.0,,150.0
Aegithalos caudatus,Aves,Spain,LC,86.0,,38.5550475372294
Aegithalos caudatus,Aves,Slovak Republic,LC,86.0,,548.122700322742
Aegithalos caudatus,Aves,Moldova,LC,86.0,,267.421644974377
Aegolius funereus,Aves,Spain,LC,1315.0,,2086.30465963226
Aegolius funereus,Aves,Spain,LC,1315.0,,3010.24863703847
Aegolius funereus,Aves,Hungary,LC,1315.0,,205.564002557454
Aegolius funereus,Aves,Romania,LC,1315.0,,289.539831475302
Aegolius funereus,Aves,Finland,LC,1315.0,,443.319607941505
Aegolius funereus,Aves,Spain,LC,1315.0,,2392.55453606303
Aegolius funereus,Aves,Croatia,LC,1315.0,,1126.90450559771
Aegolius funereus,Aves,Estonia,LC,1315.0,,36.2863977285218
Aegolius funereus,Aves,Armenia,LC,1315.0,,190.171121086294
Aegolius funereus,Aves,Slovak Republic,LC,1315.0,,3288.73620193645
Aegolius funereus,Aves,Ukraine,LC,1315.0,,1222.72650307047
Aegolius funereus,Aves,Latvia,LC,1315.0,,1714.0408513069565
Aegypius monachus,Aves,Spain,NT,9625.0,,3627.56507249641
Aegypius monachus,Aves,Spain,NT,9625.0,,6512.50147072281
Aegypius monachus,Aves,Romania,NT,9625.0,,2895.39831475302
Aegypius monachus,Aves,Spain,NT,9625.0,,909.637711392119
Aegypius monachus,Aves,Hungary,NT,9625.0,,1027.82001278727
Aegypius monachus,Aves,Spain,NT,9625.0,,18776.7419366903
Aegypius monachus,Aves,Spain,NT,9625.0,,5267.93511481733
Aegypius monachus,Aves,Spain,NT,9625.0,,3084.40380297835
Aegypius monachus,Aves,Spain,NT,9625.0,,6258.91397889678
Aegypius monachus,Aves,Slovak Republic,NT,9625.0,,5481.22700322742
Aegypius monachus,Aves,Armenia,NT,9625.0,,760.684484345178
Aegypius monachus,Aves,Serbia,NT,9625.0,,4108.53160015558
Aegypius monachus,Aves,North Macedonia,NT,9625.0,,3448.33053847933
Aegypius monachus,Aves,Spain,NT,9625.0,,10594.4448517518
Aegypius monachus,Aves,Russian Federation,NT,9625.0,,2674.86803204951
Aegypius monachus,Aves,Ukraine,NT,9625.0,,13042.4160327516
Aenigmatolimnas marginalis,Aves,Hungary,LC,61.0,,82.2256010229816
Aethia psittacula,Aves,Hungary,LC,273.0,,82.2256010229816
Aix galericulata,Aves,Russian Federation,LC,560.0,,668.717008012376
Alaemon alaudipes,Aves,Hungary,LC,39625.0,,82.2256010229816
Alauda arvensis,Aves,Spain,LC,375.0,,37.6281079629809
Alauda arvensis,Aves,Spain,LC,375.0,,112.884323888943
Alauda arvensis,Aves,Spain,LC,375.0,,150.0
Alauda arvensis,Aves,Romania,LC,375.0,,26.8092436551205
Alauda arvensis,Aves,Finland,LC,375.0,,35.8877777857409
Alauda arvensis,Aves,Croatia,LC,375.0,,125.211611733079
Alauda arvensis,Aves,Spain,LC,375.0,,72.5513014499283
Alauda arvensis,Aves,Hungary,LC,375.0,,41.1128005114908
Alauda arvensis,Aves,Serbia,LC,375.0,,308.139870011668
Alauda arvensis,Aves,Estonia,LC,375.0,,1.81431988642609
Alauda arvensis,Aves,Slovak Republic,LC,375.0,,548.122700322742
Alaudala rufescens,Aves,Ukraine,LC,238.0,,43.2030031084898
Alca torda,Aves,Hungary,LC,720.0,,41.1128005114908
Alca torda,Aves,Spain,LC,720.0,,376.281079629809
Alca torda,Aves,Spain,LC,720.0,,312.945698944839
Alca torda,Aves,Spain,LC,720.0,,358.883180409454
Alca torda,Aves,Spain,LC,720.0,,286.33464928971
Alca torda,Aves,Spain,LC,720.0,,376.281079629809
Alca torda,Aves,Spain,LC,720.0,,362.756507249641
Alca torda,Aves,Finland,LC,720.0,,443.319607941505
Alca torda,Aves,Spain,LC,720.0,,450.0
Alca torda,Aves,Estonia,LC,720.0,,9.07159943213044
Alcedo atthis,Aves,Spain,LC,314.0,,450.0
Alcedo atthis,Aves,Spain,LC,314.0,,286.33464928971
Alcedo atthis,Aves,Spain,LC,314.0,,231.330285223377
Alcedo atthis,Aves,Finland,LC,314.0,,887.694738759062
Alcedo atthis,Aves,Hungary,LC,314.0,,205.564002557454
Alcedo atthis,Aves,Spain,LC,314.0,,358.883180409454
Alcedo atthis,Aves,Croatia,LC,314.0,,845.17837919828
Alcedo atthis,Aves,Spain,LC,314.0,,225.768647777885
Alcedo atthis,Aves,Spain,LC,314.0,,301.024863703847
Alcedo atthis,Aves,Spain,LC,314.0,,312.945698944839
Alcedo atthis,Aves,Spain,LC,314.0,,145.102602899857
Alcedo atthis,Aves,Estonia,LC,314.0,,90.7159943213044
Alcedo atthis,Aves,Moldova,LC,314.0,,445.702741623961
Alcedo atthis,Aves,Slovak Republic,LC,314.0,,2192.49080129097
Alcedo atthis,Aves,Serbia,LC,314.0,,1787.96878263824
Alcedo atthis,Aves,Latvia,LC,314.0,,857.0204256534781
Alces alces,Mammalia,Romania,LC,351000.0,10.18967446954141,21447.3949240964
Alces alces,Mammalia,Moldova,LC,351000.0,10.18967446954141,1782.81096649585
Alces alces,Mammalia,Slovak Republic,LC,351000.0,10.18967446954141,3288.73620193645
Alces alces,Mammalia,Belarus,LC,351000.0,10.18967446954141,4016.79090974886
Alces alces,Mammalia,Poland,LC,351000.0,10.18967446954141,3906.13753037888
Alces alces,Mammalia,Ukraine,LC,351000.0,10.18967446954141,2814.88986772088
Alces alces,Mammalia,Estonia,LC,351000.0,10.18967446954141,544.295965927827
Alces alces,Mammalia,Finland,LC,351000.0,10.18967446954141,2542.54494003522
Alces alces,Mammalia,Finland,LC,351000.0,10.18967446954141,1589.09058752201
Alces alces,Mammalia,Poland,LC,351000.0,10.18967446954141,5161.68173657209
Alces alces,Mammalia,Lithuania,LC,351000.0,10.18967446954141,6113.86957835714
Alces alces,Mammalia,Lithuania,LC,351000.0,10.18967446954141,3665.90996414314
Alces alces,Mammalia,Lithuania,LC,351000.0,10.18967446954141,3665.90996414314
Alces alces,Mammalia,Russian Federation,LC,351000.0,10.18967446954141,2017.20894526164
Alces alces,Mammalia,Ukraine,LC,351000.0,10.18967446954141,15138.5186094439
Alces alces,Mammalia,Latvia,LC,351000.0,10.18967446954141,1642.75632917395
Alces alces,Mammalia,Latvia,LC,351000.0,10.18967446954141,704.038426788836
Alectoris barbara,Aves,Spain,LC,4185.0,,75.2562159259618
Alectoris barbara,Aves,Hungary,LC,4185.0,,82.2256010229816
Alectoris chukar,Aves,Hungary,LC,5355.0,,82.2256010229816
Alectoris chukar,Aves,Bulgaria,LC,5355.0,,55.4174723612145
Alectoris chukar,Aves,Ukraine,LC,5355.0,,70.372246693022
Alectoris chukar,Aves,Croatia,LC,5355.0,,35.5823483545134
Alectoris chukar,Aves,Russian Federation,LC,5355.0,,15.1290670894623
Alectoris graeca,Aves,Spain,NT,5975.0,,225.768647777885
Alectoris graeca,Aves,Montenegro,NT,5975.0,,273.310008128185
Alectoris graeca,Aves,Spain,NT,5975.0,,217.653904349785
Alectoris graeca,Aves,Hungary,NT,5975.0,,82.2256010229816
Alectoris graeca,Aves,Croatia,NT,5975.0,,103.781849367331
Alectoris graeca,Aves,Slovak Republic,NT,5975.0,,22.2747345348261
Alectoris graeca,Aves,North Macedonia,NT,5975.0,,114.944351282644
Alectoris graeca,Aves,Bulgaria,NT,5975.0,,55.4174723612145
Alectoris graeca,Aves,North Macedonia,NT,5975.0,,28.7360878206611
Alectoris graeca,Aves,North Macedonia,NT,5975.0,,344.833053847933
Alectoris graeca,Aves,Georgia,NT,5975.0,,1.78820684297763
Alectoris graeca,Aves,Serbia,NT,5975.0,,178.796878263824
Alectoris graeca,Aves,Bosnia and Herzegovina,NT,5975.0,,176.269979707139
Alectoris graeca,Aves,Switzerland,NT,5975.0,,337.216103756745
Alectoris rufa,Aves,Spain,NT,516.0,,79.8064315949211
Alectoris rufa,Aves,Spain,NT,516.0,,38.5550475372294
Alectoris rufa,Aves,Spain,NT,516.0,,69.6209225908428
Alectoris rufa,Aves,Spain,NT,516.0,,75.2562159259618
Alectoris rufa,Aves,Spain,NT,516.0,,75.2562159259618
Alectoris rufa,Aves,Spain,NT,516.0,,44.540945445066
Alectoris rufa,Aves,Spain,NT,516.0,,60.6676650040962
Alectoris rufa,Aves,Spain,NT,516.0,,637.049519389605
Alectoris rufa,Aves,Hungary,NT,516.0,,82.2256010229816
Alectoris rufa,Aves,Spain,NT,516.0,,75.0
Alectoris rufa,Aves,Spain,NT,516.0,,79.7518178687677
Alectoris rufa,Aves,Slovak Republic,NT,516.0,,22.2747345348261
Alectoris rufa,Aves,Spain,NT,516.0,,104.858214665076
Alectoris rufa,Aves,Spain,NT,516.0,,58.9665670839965
Alectoris rufa,Aves,Spain,NT,516.0,,105.603778883137
Alectoris rufa,Aves,Spain,NT,516.0,,71.25
Alectoris rufa,Aves,Spain,NT,516.0,,11.5827185343565
Alectoris rufa,Aves,Spain,NT,516.0,,314.574643995227
Allactaga elater,Mammalia,Armenia,LC,587.0,1.7115022587269,19.0171121086294
Allactaga major,Mammalia,Ukraine,LC,350.0,1.7115022587269,96.0713680983938
Alle alle,Aves,Spain,LC,160.0,,376.281079629809
Alle alle,Aves,Hungary,LC,160.0,,82.2256010229816
Alopex lagopus,Mammalia,Finland,LC,3600.0,5.123031120210815,105.939372501468
Alopex lagopus,Mammalia,Russian Federation,LC,3600.0,5.123031120210815,1872.40762243465
Ammomanes cinctura,Aves,Hungary,LC,178.0,,82.2256010229816
Ammomanes deserti,Aves,Hungary,LC,246.0,,82.2256010229816
Ammoperdix griseogularis,Aves,Armenia,LC,19435.0,,47.5427802715736
Ammotragus lervia,Mammalia,Spain,VU,92500.0,4.996577686516085,511.671212658067
Ammotragus lervia,Mammalia,Spain,VU,92500.0,4.996577686516085,557.153098227673
Ammotragus lervia,Mammalia,Spain,VU,92500.0,4.996577686516085,1128.84323888943
Ammotragus lervia,Mammalia,Spain,VU,92500.0,4.996577686516085,188.140539814905
Ammotragus lervia,Mammalia,Spain,VU,92500.0,4.996577686516085,4194.32858660303
Ammotragus lervia,Mammalia,Spain,VU,92500.0,4.996577686516085,3588.14
Ammotragus lervia,Mammalia,Spain,VU,92500.0,4.996577686516085,6291.49287990454
Ammotragus lervia,Mammalia,Spain,VU,92500.0,4.996577686516085,2640.09447207842
Anas acuta,Aves,Romania,LC,87225.0,,104.55605025497
Anas acuta,Aves,Spain,LC,87225.0,,40.4451100027308
Anas acuta,Aves,Spain,LC,87225.0,,150.512431851924
Anas acuta,Aves,Spain,LC,87225.0,,75.2562159259618
Anas acuta,Aves,Spain,LC,87225.0,,63.62992206438
Anas acuta,Aves,Spain,LC,87225.0,,97.6875220608422
Anas acuta,Aves,Spain,LC,87225.0,,104.431383886264
Anas acuta,Aves,Hungary,LC,87225.0,,205.564002557454
Anas acuta,Aves,Bulgaria,LC,87225.0,,27.7087361806073
Anas acuta,Aves,North Macedonia,LC,87225.0,,114.944351282644
Anas acuta,Aves,Slovak Republic,LC,87225.0,,3288.73620193645
Anas acuta,Aves,Finland,LC,87225.0,,105.939372501468
Anas acuta,Aves,Spain,LC,87225.0,,105.603778883137
Anas acuta,Aves,Spain,LC,87225.0,,29.4832835419983
Anas angustirostris,Aves,Russian Federation,NE,477.0,,2006.15102403713
Anas carolinensis,Aves,Hungary,LC,3424.0,,41.1128005114908
Anas clypeata,Aves,Armenia,LC,613.0,,47.5427802715736
Anas clypeata,Aves,Spain,LC,613.0,,29.4832835419983
Anas clypeata,Aves,Spain,LC,613.0,,105.603778883137
Anas clypeata,Aves,Kosovo,LC,613.0,,683.944646824881
Anas clypeata,Aves,Spain,LC,613.0,,71.25
Anas crecca,Aves,Spain,LC,3438.0,,75.0
Anas crecca,Aves,Montenegro,LC,3438.0,,163.986004876911
Anas crecca,Aves,Romania,LC,3438.0,,88.4705040618978
Anas crecca,Aves,Spain,LC,3438.0,,69.6209225908428
Anas crecca,Aves,Spain,LC,3438.0,,150.512431851924
Anas crecca,Aves,Spain,LC,3438.0,,40.4451100027308
Anas crecca,Aves,Spain,LC,3438.0,,75.2562159259618
Anas crecca,Aves,Spain,LC,3438.0,,637.049519389605
Anas crecca,Aves,Spain,LC,3438.0,,47.722441548285
Anas crecca,Aves,Bulgaria,LC,3438.0,,27.7087361806073
Anas crecca,Aves,Slovak Republic,LC,3438.0,,2192.49080129097
Anas crecca,Aves,North Macedonia,LC,3438.0,,114.944351282644
Anas crecca,Aves,Finland,LC,3438.0,,105.939372501468
Anas crecca,Aves,Spain,LC,3438.0,,29.4832835419983
Anas crecca,Aves,Spain,LC,3438.0,,71.25
Anas crecca,Aves,Spain,LC,3438.0,,105.603778883137
Anas formosa,Aves,Russian Federation,LC,4355.0,,668.717008012376
Anas penelope,Aves,Spain,LC,757.0,,29.4832835419983
Anas penelope,Aves,Spain,LC,757.0,,105.603778883137
Anas platyrhynchos,Aves,Romania,LC,1121.0,,88.4705040618978
Anas platyrhynchos,Aves,Spain,LC,1121.0,,637.049519389605
Anas platyrhynchos,Aves,Spain,LC,1121.0,,150.512431851924
Anas platyrhynchos,Aves,Spain,LC,1121.0,,75.2562159259618
Anas platyrhynchos,Aves,Spain,LC,1121.0,,47.722441548285
Anas platyrhynchos,Aves,Spain,LC,1121.0,,40.4451100027308
Anas platyrhynchos,Aves,Spain,LC,1121.0,,69.6209225908428
Anas platyrhynchos,Aves,Montenegro,LC,1121.0,,163.986004876911
Anas platyrhynchos,Aves,Spain,LC,1121.0,,75.0
Anas platyrhynchos,Aves,Bulgaria,LC,1121.0,,27.7087361806073
Anas platyrhynchos,Aves,Croatia,LC,1121.0,,26.686761265885
Anas platyrhynchos,Aves,Moldova,LC,1121.0,,89.1405483247923
Anas platyrhynchos,Aves,Hungary,LC,1121.0,,214.304611685506
Anas platyrhynchos,Aves,North Macedonia,LC,1121.0,,114.944351282644
Anas platyrhynchos,Aves,Slovenia,LC,1121.0,,91.4665066636986
Anas platyrhynchos,Aves,Finland,LC,1121.0,,105.939372501468
Anas platyrhynchos,Aves,Slovak Republic,LC,1121.0,,548.122700322742
Anas platyrhynchos,Aves,Bosnia and Herzegovina,LC,1121.0,,176.269979707139
Anas platyrhynchos,Aves,Spain,LC,1121.0,,105.603778883137
Anas platyrhynchos,Aves,Spain,LC,1121.0,,29.4832835419983
Anas platyrhynchos,Aves,Georgia,LC,1121.0,,0.447051710744408
Anas platyrhynchos,Aves,Spain,LC,1121.0,,71.25
Anas platyrhynchos,Aves,Serbia,LC,1121.0,,178.796878263824
Anas platyrhynchos,Aves,Switzerland,LC,1121.0,,125.803874657773
Anas querquedula,Aves,North Macedonia,LC,334.0,,114.944351282644
Anas querquedula,Aves,Spain,LC,334.0,,29.4832835419983
Anas querquedula,Aves,Spain,LC,334.0,,105.603778883137
Anas rubripes,Aves,Hungary,LC,1153666667.0,,82.2256010229816
Anas strepera,Aves,North Macedonia,LC,850.0,,114.944351282644
Anas strepera,Aves,Spain,LC,850.0,,105.603778883137
Anas strepera,Aves,Spain,LC,850.0,,29.4832835419983
Anas strepera,Aves,Ukraine,LC,850.0,,267.835329244007
Anous stolidus,Aves,Hungary,LC,180.0,,82.2256010229816
Anser albifrons,Aves,Romania,LC,23875.0,,176.941008123796
Anser albifrons,Aves,Estonia,LC,23875.0,,18.1431988642609
Anser albifrons,Aves,Armenia,LC,23875.0,,57.0513363258883
Anser albifrons,Aves,Slovak Republic,LC,23875.0,,2192.49080129097
Anser albifrons,Aves,Bulgaria,LC,23875.0,,83.1262085418218
Anser albifrons,Aves,North Macedonia,LC,23875.0,,22.9888702565289
Anser albifrons,Aves,Hungary,LC,23875.0,,214.304611685506
Anser albifrons,Aves,Latvia,LC,23875.0,,117.339737798139
Anser albifrons flavirostris,Aves,Hungary,,23875.0,,82.2256010229816
Anser anser,Aves,Montenegro,LC,33085.0,,163.986004876911
Anser anser,Aves,Spain,LC,33085.0,,478.510907212606
Anser anser,Aves,Spain,LC,33085.0,,121.335330008192
Anser anser,Aves,Spain,LC,33085.0,,188.140539814905
Anser anser,Aves,Spain,LC,33085.0,,300.0
Anser anser,Aves,Croatia,LC,33085.0,,1126.90450559771
Anser anser,Aves,Spain,LC,33085.0,,348.104612954214
Anser anser,Aves,Spain,LC,33085.0,,190.88976619314
Anser anser,Aves,Spain,LC,33085.0,,637.049519389605
Anser anser,Aves,Hungary,LC,33085.0,,205.564002557454
Anser anser,Aves,Moldova,LC,33085.0,,178.281096649585
Anser anser,Aves,Croatia,LC,33085.0,,44.4779354431417
Anser anser,Aves,Slovak Republic,LC,33085.0,,3288.73620193645
Anser anser,Aves,North Macedonia,LC,33085.0,,22.9888702565289
Anser anser,Aves,Armenia,LC,33085.0,,190.171121086294
Anser anser,Aves,Hungary,LC,33085.0,,214.304611685506
Anser anser,Aves,Estonia,LC,33085.0,,18.1431988642609
Anser anser,Aves,Finland,LC,33085.0,,158.909058752201
Anser anser,Aves,Bosnia and Herzegovina,LC,33085.0,,293.783299511899
Anser anser,Aves,Spain,LC,33085.0,,105.603778883137
Anser anser,Aves,Spain,LC,33085.0,,58.9665670839965
Anser anser,Aves,Georgia,LC,33085.0,,1.78820684297763
Anser anser,Aves,Serbia,LC,33085.0,,178.796878263824
Anser anser,Aves,Latvia,LC,33085.0,,117.339737798139
Anser anser rubrirostris,Aves,Romania,,33085.0,,176.941008123796
Anser brachyrhynchus,Aves,Hungary,LC,27075.0,,41.1128005114908
Anser brachyrhynchus,Aves,Serbia,LC,27075.0,,1027.13290003889
Anser brachyrhynchus,Aves,Slovak Republic,LC,27075.0,,2192.49080129097
Anser brachyrhynchus,Aves,Romania,,27075.0,,439.671595943977
Anser caerulescens,Aves,Finland,LC,263075.0,,354.655686353204
Anser caerulescens,Aves,Hungary,LC,263075.0,,41.1128005114908
Anser cygnoides,Aves,Russian Federation,VU,3475.0,,2006.15102403713
Anser erythropus,Aves,Finland,VU,177925.0,,6745.84670084324
Anser erythropus,Aves,Romania,VU,177925.0,,1447.69915737651
Anser erythropus,Aves,Hungary,VU,177925.0,,4111.28005114908
Anser erythropus,Aves,Spain,VU,177925.0,,358.883180409454
Anser erythropus,Aves,North Macedonia,VU,177925.0,,22.9888702565289
Anser erythropus,Aves,Slovak Republic,VU,177925.0,,5481.22700322742
Anser erythropus,Aves,Serbia,VU,177925.0,,1027.13290003889
Anser erythropus,Aves,Armenia,VU,177925.0,,190.171121086294
Anser erythropus,Aves,Estonia,VU,177925.0,,181.431988642609
Anser erythropus,Aves,Moldova,VU,177925.0,,713.124386598338
Anser erythropus,Aves,Russian Federation,VU,177925.0,,668.717008012376
Anser erythropus,Aves,Serbia,VU,177925.0,,1787.96878263824
