analyst_id,paper_id,disciplina,experimental,d_original,d_reanalisis,conclusion,direccion
GTBT1,Goerg_JournLabEco_2010_WLpV,economia,experimental,0.3539,,misma,misma
AMDFX,Sliwka_JournLabEco_2017_VDJV,economia,experimental,0.297,0.151,sin_efecto,misma
R08MV,Woltin_JournExpSocPsych_2011_Wre,psicologia,experimental,0.8231,0.823,misma,misma
FR167,Anderson_AmEcoJourn_2011_bLe8,economia,observational,0.5746,0.185,misma,misma
UTC0C,Dahl_AmEcoRev_2012_VRKK,economia,observational,0.0569,,misma,misma
W2VHN,ANN_SLOCUM_Criminology_2010_JxXe,criminologia,observational,0.1165,0.294,misma,misma
0HC9H,Bartels_JournConsRes_2015_mrZ,marketing,observational,0.4688,0.473,misma,misma
9DBJU,Gerber_BritJournPoliSci_2018_3WmY,ciencia_politica,observational,0.3016,0.432,sin_efecto,misma
ANL1Q,McDevitt_JournPoliEco_2014_yQeR,economia,observational,0.2836,0.131,misma,misma
419LV,Bursztyn_AmEcoRev_2017_VB9K,economia,experimental,0.5826,,sin_efecto,misma
G2898,Luttrell_JournExpSocPsych_2016_rjb,psicologia,observational,0.3511,0.448,misma,misma
X99OP,Zunick_JournExpSocPsych_2017_zlw,psicologia,experimental,0.6551,-0.225,sin_efecto,opuesta
LNHY9,Hou_ChildDev_2017_YOXl,psicologia,observational,0.1993,0.001,misma,misma
XCTOL,Alves_PsychologSci_2018_AvOr,psicologia,experimental,0.4867,0.467,misma,misma
6HAC6,Petersen_Cognition_2017_yJwG,psicologia,experimental,1.8121,1.924,misma,misma
BGTYR,Ihme_JournExpPoliSci_2018_xYbO,ciencia_politica,experimental,0.4143,0.435,misma,misma
AWTTS,Yang_JournMarketRes_2013_G1Lr,marketing,experimental,0.6894,0.742,misma,misma
UPE13,Liu_JournMarket_2015_9DZl,marketing,experimental,0.8505,0.85,misma,misma
SWLGL,Yang_JournMarketRes_2013_G1Lr,marketing,experimental,0.6894,0.677,misma,misma
56TXB,Ihme_JournExpPoliSci_2018_xYbO,ciencia_politica,experimental,0.4143,0.435,sin_efecto,misma
TNW3S,Fehr_AmEcoRev_2011_gdlO,economia,experimental,3.9402,0.522,misma,misma
PRL2N,Baillon_Econometrica_2018_QYNq,economia,experimental,0.4288,,misma,misma
P6QB0,Chen_Demography_2018_yAPR,sociologia,observational,0.0539,0.341,sin_efecto,misma
AUX74,Bursztyn_AmEcoRev_2017_VB9K,economia,experimental,0.5826,0.574,misma,misma
018OL,Beaman_JournLabEco_2018_7ybJ,economia,observational,0.4344,0.431,misma,misma
POSHC,Liu_JournMarket_2015_9DZl,marketing,experimental,0.8505,0.921,misma,misma
UYV3F,Einstein_AmJourPoliSci_2017_mxyQ,ciencia_politica,experimental,0.3204,0.401,misma,misma
JYF97,Bigoni_Econometrica_2015_VBx1,economia,experimental,6.8581,0.019,sin_efecto,misma
SJJ28,Li_JournExpPoliSci_2017_G4mp,ciencia_politica,observational,,,misma,misma
T3806,Andreoni_JournPoliEco_2017_La9x,economia,experimental,1.8477,1.206,misma,misma
OWS4T,Dumas_AcaManageJourn_2018_5KrD,management,observational,0.2532,-0.164,sin_efecto,opuesta
P77QW,Dahl_AmEcoRev_2012_VRKK,economia,observational,0.0569,0.171,misma,misma
DAIUV,Baillon_Econometrica_2018_QYNq,economia,experimental,0.4288,0.433,misma,misma
81NJK,Bigoni_Econometrica_2015_VBx1,economia,experimental,6.8581,2.452,misma,misma
6659P,Wlezien_CompPolitStu_2017_ByBk,ciencia_politica,observational,2.2095,0.899,sin_efecto,misma
PFRTV,Shahar_JournConflictRes_2018_J0Yv,ciencia_politica,observational,1.3913,2.15,misma,misma
894L5,Ku_JournEnvPsych_2014_YpZZ,psicologia,observational,1.0965,0.62,misma,misma
EWFMI,Einstein_AmJourPoliSci_2017_mxyQ,ciencia_politica,experimental,0.3204,0.313,misma,misma
Z5YKQ,Liu_JournMarket_2015_9DZl,marketing,experimental,0.8505,0.85,misma,misma
C4QXX,Woltin_JournExpSocPsych_2011_Wre,psicologia,experimental,0.8231,0.823,misma,misma
SJAS8,Li_JournExpPoliSci_2017_G4mp,ciencia_politica,observational,,0.45,misma,misma
4O1N4,McDevitt_JournPoliEco_2014_yQeR,economia,observational,0.2836,0.211,misma,misma
PH39A,Hurst_EvoHumanBehavior_2017_yypJ,psicologia,observational,1.1965,,misma,misma
UNX4S,Bursztyn_JournPoliEco_2012_jaK4,economia,experimental,4.0272,1.069,misma,misma
FPWKK,Dumas_AcaManageJourn_2018_5KrD,management,observational,0.2532,0.331,misma,misma
4GPHF,Mironova_JournExpPoliSci_2014_59Rq,ciencia_politica,experimental,0.9255,,misma,misma
BHIO5,Woltin_JournExpSocPsych_2011_Wre,psicologia,experimental,0.8231,0.823,misma,misma
XSXIR,McDevitt_JournPoliEco_2014_yQeR,economia,observational,0.2836,-0.011,sin_efecto,opuesta
79B6N,Hou_ChildDev_2017_YOXl,psicologia,observational,0.1993,0.198,opuesto,misma
YA03L,Thames_CompPolitStu_2010_l22v,ciencia_politica,observational,0.3133,0.113,sin_efecto,misma
ZXDS9,Bursztyn_JournPoliEco_2012_jaK4,economia,experimental,4.0272,,misma,misma
BLG5S,PALER_AmPoliSciRev_2013_Pxp7,ciencia_politica,experimental,0.1252,0.125,sin_efecto,misma
LNHZJ,Kleven_AmEcoRev_2013_Jg9v,economia,observational,1.2187,0.389,misma,misma
Y4537,Shahar_JournConflictRes_2018_J0Yv,ciencia_politica,observational,1.3913,0.534,misma,misma
03TOT,Cleave_ExpEco_2013_Njqj,economia,experimental,0.2137,0.197,misma,misma
S95PR,Behrman_JournPoliEco_2015_G55r,economia,experimental,1.1708,,misma,misma
CCU09,Fehr_AmEcoRev_2011_gdlO,economia,experimental,3.9402,0.524,misma,misma
PRL2D,Liang_JournPoliEco_2018_q8xv,economia,observational,1.2694,1.597,misma,misma
JX2VH,Alves_PsychologSci_2018_AvOr,psicologia,experimental,0.4867,0.467,misma,misma
25FM1,Adida_CompPolitStu_2016_G0Kb,ciencia_politica,experimental,0.4418,0.126,sin_efecto,misma
N5LK4,Savani_PsychologSci_2010_88xa,psicologia,experimental,1.0296,0.836,misma,misma
X1Y7I,PALER_AmPoliSciRev_2013_Pxp7,ciencia_politica,experimental,0.1252,0.114,misma,misma
JYZ5M,PALER_AmPoliSciRev_2013_Pxp7,ciencia_politica,experimental,0.1252,0.114,misma,misma
KQXUE,Teney_EurSocioRev_2016_qXX2,sociologia,observational,,0.922,misma,misma
1CFHB,Petersen_Cognition_2017_yJwG,psicologia,experimental,1.8121,1.812,misma,misma
WZ1VC,Bruner_ExpEco_2017_amYY,economia,experimental,1.0432,1.087,misma,misma
7CO66,Kleven_AmEcoRev_2013_Jg9v,economia,observational,1.2187,60.578,misma,misma
5X3KG,Mironova_JournExpPoliSci_2014_59Rq,ciencia_politica,experimental,0.9255,,misma,misma
4COYD,Beaman_JournLabEco_2018_7ybJ,economia,observational,0.4344,-0.083,sin_efecto,opuesta
5Q0NR,Kucik_BritJournPoliSci_2016_L22B,ciencia_politica,observational,0.7216,-0.008,sin_efecto,opuesta
12HIO,Anderson_AmEcoJourn_2011_bLe8,economia,observational,0.5746,0.274,misma,misma
DAB9D,Brancati_JournConflictRes_2013_V0PA,ciencia_politica,observational,0.3869,-0.332,sin_efecto,opuesta
P3HD5,Liu_JournMarket_2015_9DZl,marketing,experimental,0.8505,0.851,misma,misma
D1BSS,Gerber_BritJournPoliSci_2018_3WmY,ciencia_politica,observational,0.3016,-0.185,sin_efecto,opuesta
S3WYS,Benjamin_AmEcoRev_2010_WaYe,economia,experimental,0.8249,0.838,misma,misma
EZI7J,Nelson_JournConsRes_2009_eg1q,marketing,experimental,0.4893,0.443,sin_efecto,misma
NS1LY,Altmann_JournLabEco_2012_WLkV,economia,experimental,0.4653,,misma,misma
YU64K,Altmann_JournLabEco_2012_WLkV,economia,experimental,0.4653,,misma,misma
6WZH9,GROSSMAN_AmPoliSciRev_2014_LyWB,ciencia_politica,observational,0.3857,0.386,misma,misma
PZ6KU,Liang_JournPoliEco_2018_q8xv,economia,observational,1.2694,1.446,misma,misma
6D11S,Bartels_JournConsRes_2015_mrZ,marketing,observational,0.4688,0.473,misma,misma
MOYDE,Axt_JournExpSocPsych_2018_zK2,psicologia,experimental,0.3958,0.432,misma,misma
