paper_id,disciplina,experimental,n_analistas,n_misma,n_sin_efecto,n_opuesto,pct_misma,d_original
Raley_JournMarFam_2012_D2LY,sociologia,0,4,4,0,0,100.0,
Robertson_BritJournPoliSci_2017_qggQ,ciencia_politica,0,5,5,0,0,100.0,0.1217
Rovny_WorldPolitics_2014_AQgj,ciencia_politica,0,5,4,1,0,80.0,0.4736
Savani_PsychologSci_2010_88xa,psicologia,1,5,5,0,0,100.0,1.0296
Shahar_JournConflictRes_2018_J0Yv,ciencia_politica,0,5,5,0,0,100.0,1.3913
Sliwka_JournLabEco_2017_VDJV,economia,1,5,1,4,0,20.0,0.297
Steinmetz_JournPerSocPsy_2016_E4Am,psicologia,1,5,2,3,0,40.0,0.4929
TERTYTCHNAYA_AmPoliSciRev_2018_9wya,ciencia_politica,0,4,2,2,0,50.0,0.1411
Teney_EurSocioRev_2016_qXX2,sociologia,0,5,5,0,0,100.0,
Thames_CompPolitStu_2010_l22v,ciencia_politica,0,5,1,4,0,20.0,0.3133
Turcu_CompPolitStu_2015_YeQg,ciencia_politica,0,5,4,1,0,80.0,0.0754
Usmani_AmJournSocio_2018_GJe4,sociologia,0,6,4,2,0,66.7,
Waller_JournMarFam_2014_AXBY,sociologia,0,6,3,3,0,50.0,0.1426
Wang_AmEcoJourn_2013_7d4J,economia,0,5,3,2,0,60.0,0.0401
Wilde_AmSocioRev_2010_4XLv,sociologia,0,5,2,2,1,40.0,0.1053
Wilfahrt_WorldPolitics_2018_k7wj,ciencia_politica,0,4,2,2,0,50.0,0.1081
Wlezien_CompPolitStu_2017_ByBk,ciencia_politica,0,5,2,3,0,40.0,2.2095
Woltin_JournExpSocPsych_2011_Wre,psicologia,1,5,4,1,0,80.0,0.8231
Wright_JournConflictRes_2016_W0GN,ciencia_politica,0,4,3,1,0,75.0,0.1323
Yang_JournMarketRes_2013_G1Lr,marketing,1,5,5,0,0,100.0,0.6894
Yoo_PsychologSci_2017_BebG,psicologia,0,4,3,1,0,75.0,0.108
Zunick_JournExpSocPsych_2017_zlw,psicologia,1,5,3,2,0,60.0,0.6551
