cuenca,anio,lead_h,error_pista_km,n_pista,error_intensidad_kt,n_intensidad
ATL,1988,48,264.84,109,,0
ATL,1988,72,427.41,90,,0
ATL,1989,12,93.98,237,,0
ATL,1989,24,177.47,213,,0
ATL,1989,36,260.88,188,,0
ATL,1989,48,354.56,163,,0
ATL,1989,72,513.45,126,,0
ATL,1990,12,102.04,239,6.36,239
ATL,1990,24,186.7,209,9.78,209
ATL,1990,36,269.73,181,12.65,181
ATL,1990,48,359.55,157,14.39,156
ATL,1990,72,558.71,114,15.62,113
ATL,1991,12,109.03,69,8.13,67
ATL,1991,24,210.23,55,15.38,52
ATL,1991,36,275.03,42,19.25,40
ATL,1991,48,355.33,31,21.5,30
ATL,1992,12,76.19,139,7.63,139
ATL,1992,24,153.55,124,12.86,124
ATL,1992,36,233.44,111,17.25,111
ATL,1992,48,310.78,99,20.36,96
ATL,1992,72,518.3,76,26.64,76
ATL,1993,12,86.56,97,6.39,97
ATL,1993,24,185.4,81,10.0,81
ATL,1993,36,262.93,71,11.97,71
ATL,1993,48,332.42,60,14.32,59
ATL,1993,72,445.49,41,18.41,41
ATL,1994,12,96.52,97,7.47,97
ATL,1994,24,190.28,83,10.24,83
ATL,1994,36,281.03,72,12.43,72
ATL,1994,48,388.27,62,15.0,62
ATL,1994,72,632.72,50,18.9,50
ATL,1995,12,87.11,444,6.27,444
ATL,1995,24,161.81,408,9.41,408
ATL,1995,36,230.42,373,11.93,373
ATL,1995,48,297.0,341,15.16,341
ATL,1995,72,432.4,278,19.01,277
ATL,1996,12,78.51,286,7.03,286
ATL,1996,24,133.27,260,10.4,260
ATL,1996,36,186.28,236,13.01,236
ATL,1996,48,237.28,217,15.51,217
ATL,1996,72,351.48,183,18.09,183
ATL,1997,12,87.06,90,5.67,89
ATL,1997,24,161.45,75,8.85,74
ATL,1997,36,228.52,62,12.1,62
ATL,1997,48,277.96,51,15.39,51
ATL,1997,72,424.51,38,20.66,38
ATL,1998,12,84.19,314,7.39,314
ATL,1998,24,154.75,283,11.71,283
ATL,1998,36,215.44,257,15.23,257
ATL,1998,48,266.97,230,18.15,230
ATL,1998,72,375.64,188,22.23,188
ATL,1999,12,68.98,289,7.35,287
ATL,1999,24,129.98,267,11.58,265
ATL,1999,36,196.93,245,14.49,244
ATL,1999,48,258.73,223,16.51,222
ATL,1999,72,390.94,182,18.73,181
ATL,2000,12,71.21,230,7.3,230
ATL,2000,24,130.67,202,11.14,202
ATL,2000,36,187.8,179,14.08,179
ATL,2000,48,244.17,164,16.16,164
ATL,2000,72,408.72,136,17.72,136
ATL,2001,12,77.3,217,6.45,217
ATL,2001,24,137.31,182,10.55,182
ATL,2001,36,185.48,153,13.3,153
ATL,2001,48,231.61,133,15.9,133
ATL,2001,72,347.6,99,14.75,99
ATL,2001,96,435.89,69,13.48,69
ATL,2001,120,583.34,48,12.92,48
ATL,2002,12,72.45,195,5.69,195
ATL,2002,24,123.34,168,9.58,168
ATL,2002,36,176.64,142,12.5,142
ATL,2002,48,226.7,123,16.18,123
ATL,2002,72,329.48,103,22.96,103
ATL,2002,96,496.76,92,23.75,92
ATL,2002,120,606.03,79,23.99,79
ATL,2003,12,64.15,281,5.37,281
ATL,2003,24,106.08,251,7.87,251
ATL,2003,36,151.47,225,9.87,225
ATL,2003,48,198.9,202,12.3,202
ATL,2003,72,245.27,161,15.31,161
ATL,2003,96,297.69,129,18.1,129
ATL,2003,120,381.08,106,20.85,106
ATL,2004,12,55.62,295,7.32,295
ATL,2004,24,97.12,265,10.6,265
ATL,2004,36,133.42,236,13.18,236
ATL,2004,48,173.47,215,14.65,215
ATL,2004,72,270.22,186,16.56,186
ATL,2004,96,386.28,157,19.84,157
ATL,2004,120,544.45,131,24.89,131
ATL,2005,12,57.66,434,7.79,434
ATL,2005,24,101.23,385,11.94,385
ATL,2005,36,142.18,344,14.74,344
ATL,2005,48,184.76,310,17.1,310
ATL,2005,72,277.83,242,20.02,242
ATL,2005,96,424.79,185,18.84,185
ATL,2005,120,585.17,130,19.15,130
ATL,2006,12,52.66,208,7.21,208
ATL,2006,24,92.25,188,11.09,188
ATL,2006,36,134.48,168,13.93,168
ATL,2006,48,185.21,148,15.61,148
ATL,2006,72,273.39,101,18.76,101
ATL,2006,96,384.37,76,18.22,76
ATL,2006,120,511.57,59,18.64,59
ATL,2007,12,58.09,120,8.79,120
ATL,2007,24,92.94,91,12.97,91
ATL,2007,36,125.99,73,15.75,73
ATL,2007,48,159.71,60,19.5,60
ATL,2007,72,258.62,41,22.68,41
ATL,2007,96,267.54,25,25.6,25
ATL,2008,12,50.74,316,7.28,316
ATL,2008,24,88.83,285,10.6,285
ATL,2008,36,126.32,258,12.52,258
ATL,2008,48,161.96,232,14.12,232
ATL,2008,72,230.92,187,14.92,187
ATL,2008,96,293.3,148,13.14,148
ATL,2008,120,362.11,124,16.29,124
ATL,2009,12,60.04,93,6.88,93
ATL,2009,24,85.19,73,12.4,73
ATL,2009,36,107.03,59,15.0,59
ATL,2009,48,129.91,50,15.5,50
ATL,2009,72,206.46,40,20.62,40
ATL,2009,96,352.22,29,20.86,29
ATL,2010,12,58.94,308,8.02,308
ATL,2010,24,92.45,269,12.1,269
ATL,2010,36,120.96,238,14.39,238
ATL,2010,48,149.72,212,15.78,212
ATL,2010,72,229.35,166,15.54,166
ATL,2010,96,312.0,126,16.9,126
ATL,2010,120,347.83,100,18.15,100
ATL,2011,12,50.63,297,6.52,297
ATL,2011,24,78.07,263,10.0,263
ATL,2011,36,103.83,231,12.36,231
ATL,2011,48,128.82,200,15.2,200
ATL,2011,72,194.53,154,16.82,154
ATL,2011,96,302.73,123,16.06,123
ATL,2011,120,453.7,101,16.49,101
ATL,2012,12,43.99,354,5.48,354
ATL,2012,24,71.28,318,8.13,318
ATL,2012,36,95.45,282,10.64,282
ATL,2012,48,121.73,252,12.6,252
ATL,2012,72,176.4,205,12.32,205
ATL,2012,96,260.97,168,11.22,168
ATL,2012,120,341.28,131,12.52,131
ATL,2013,12,53.72,122,5.45,122
ATL,2013,24,90.25,96,7.08,96
ATL,2013,36,129.76,74,8.72,74
ATL,2013,48,195.04,54,9.44,54
ATL,2013,72,245.08,23,6.74,23
ATL,2014,12,45.89,123,5.57,123
ATL,2014,24,67.25,109,8.76,109
ATL,2014,36,90.28,95,10.53,95
ATL,2014,48,118.08,83,10.48,83
ATL,2014,72,177.21,60,12.33,60
ATL,2014,96,275.06,40,11.25,40
ATL,2014,120,440.82,24,5.62,24
ATL,2015,12,47.13,149,5.81,149
ATL,2015,24,78.37,129,8.72,129
ATL,2015,36,110.2,108,11.67,108
ATL,2015,48,150.13,90,12.94,90
ATL,2015,72,229.17,59,14.83,59
ATL,2015,96,358.89,40,17.75,40
ATL,2015,120,615.02,24,20.83,24
ATL,2016,12,44.28,283,6.13,283
ATL,2016,24,65.99,252,8.71,252
ATL,2016,36,83.95,225,10.31,225
ATL,2016,48,107.07,200,11.32,200
ATL,2016,72,153.92,157,12.68,157
ATL,2016,96,235.41,124,16.41,124
ATL,2016,120,311.84,100,17.3,100
ATL,2017,12,35.07,329,6.31,329
ATL,2017,24,53.82,295,9.03,295
ATL,2017,36,72.74,268,11.25,268
ATL,2017,48,96.39,243,12.72,243
ATL,2017,72,151.67,204,12.94,204
ATL,2017,96,193.68,168,13.96,168
ATL,2017,120,269.86,144,14.72,144
ATL,2018,12,43.09,304,5.12,304
ATL,2018,24,64.54,268,8.21,268
ATL,2018,36,84.01,234,9.83,234
ATL,2018,48,113.94,203,11.18,203
ATL,2018,72,188.98,159,14.5,159
ATL,2018,96,274.03,130,12.73,130
ATL,2018,120,354.36,107,11.12,107
ATL,2019,12,44.33,237,5.51,237
ATL,2019,24,74.94,205,8.54,205
ATL,2019,36,107.97,184,9.62,184
ATL,2019,48,140.96,166,10.3,166
ATL,2019,72,166.8,121,13.72,121
ATL,2019,96,207.24,93,17.58,93
ATL,2019,120,262.11,70,26.43,70
ATL,2020,12,41.37,408,6.31,408
ATL,2020,24,61.4,348,9.32,348
ATL,2020,36,85.48,297,10.79,297
ATL,2020,48,113.37,250,12.3,250
ATL,2020,72,177.75,171,10.03,171
ATL,2020,96,248.49,117,11.88,117
ATL,2020,120,356.72,76,13.55,76
ATL,2021,12,42.45,261,5.44,261
ATL,2021,24,57.39,223,7.29,223
ATL,2021,36,68.37,198,7.73,198
ATL,2021,48,80.62,178,10.03,178
ATL,2021,72,113.71,138,9.24,138
ATL,2021,96,183.54,112,10.18,112
ATL,2021,120,287.85,87,9.83,87
ATL,2022,12,37.13,195,4.95,195
ATL,2022,24,56.74,173,5.98,173
ATL,2022,36,75.48,151,7.62,151
ATL,2022,48,93.37,131,8.47,131
ATL,2022,72,136.02,95,11.0,95
ATL,2022,96,175.28,70,17.21,70
ATL,2022,120,243.12,50,20.7,50
ATL,2023,12,43.75,344,4.72,344
ATL,2023,24,67.63,304,6.53,304
ATL,2023,36,93.28,273,7.58,273
ATL,2023,48,126.34,246,8.74,246
ATL,2023,72,213.22,202,10.35,202
ATL,2023,96,324.45,166,11.72,166
ATL,2023,120,460.64,134,12.72,134
ATL,2024,12,34.4,273,5.71,273
ATL,2024,24,51.44,239,8.56,239
ATL,2024,36,66.89,208,10.41,208
ATL,2024,48,84.43,178,12.08,178
ATL,2024,72,124.18,126,14.17,126
ATL,2024,96,157.63,91,13.63,91
ATL,2024,120,205.48,62,12.66,62
ATL,2025,12,37.21,203,6.06,203
ATL,2025,24,59.7,180,9.47,180
ATL,2025,36,78.49,160,12.0,160
ATL,2025,48,98.48,142,13.98,142
ATL,2025,72,155.5,108,16.11,108
ATL,2025,96,188.79,81,17.78,81
ATL,2025,120,300.05,64,20.39,64
EPAC,1989,12,86.89,247,,0
EPAC,1989,24,165.89,241,,0
EPAC,1989,36,244.58,227,,0
EPAC,1989,48,326.92,203,,0
EPAC,1989,72,475.79,155,,0
EPAC,1990,12,77.51,548,6.42,537
EPAC,1990,24,142.15,519,10.35,503
EPAC,1990,36,210.0,474,13.98,471
EPAC,1990,48,282.28,437,16.53,431
EPAC,1990,72,400.19,364,19.51,364
EPAC,1991,12,73.23,407,5.39,406
EPAC,1991,24,135.54,376,10.09,374
EPAC,1991,36,203.91,351,14.39,345
EPAC,1991,48,268.45,325,17.6,321
EPAC,1991,72,382.78,278,21.08,273
EPAC,1992,12,73.89,651,6.23,648
EPAC,1992,24,136.16,615,10.62,596
EPAC,1992,36,200.94,563,13.63,557
EPAC,1992,48,266.68,523,15.5,504
EPAC,1992,72,387.17,440,18.78,436
EPAC,1993,12,76.8,376,6.94,373
EPAC,1993,24,144.1,349,11.96,345
EPAC,1993,36,209.64,318,15.4,316
EPAC,1993,48,272.2,295,17.43,292
EPAC,1993,72,387.29,247,21.08,245
EPAC,1994,12,74.71,304,5.3,304
EPAC,1994,24,142.63,280,10.7,278
EPAC,1994,36,207.04,258,15.9,256
EPAC,1994,48,265.41,234,21.22,230
EPAC,1994,72,373.21,187,28.49,189
EPAC,1995,12,72.79,252,5.88,249
EPAC,1995,24,141.63,232,10.92,228
EPAC,1995,36,213.29,211,14.57,209
EPAC,1995,48,274.54,189,17.26,186
EPAC,1995,72,352.16,149,19.83,148
EPAC,1996,12,82.7,202,5.6,200
EPAC,1996,24,141.72,179,9.89,174
EPAC,1996,36,189.74,148,13.59,145
EPAC,1996,48,227.01,122,15.57,123
EPAC,1996,72,342.29,86,18.06,85
EPAC,1997,12,71.74,370,7.56,369
EPAC,1997,24,139.44,336,12.78,335
EPAC,1997,36,210.14,294,16.37,295
EPAC,1997,48,279.35,256,18.11,257
EPAC,1997,72,416.16,197,19.42,199
EPAC,1998,12,67.2,306,5.23,305
EPAC,1998,24,130.61,281,9.82,280
EPAC,1998,36,193.89,257,13.32,256
EPAC,1998,48,244.68,231,15.97,231
EPAC,1998,72,338.89,187,17.81,187
EPAC,1999,12,66.79,189,5.21,188
EPAC,1999,24,115.91,165,9.02,164
EPAC,1999,36,162.56,144,11.71,143
EPAC,1999,48,208.11,126,14.64,125
EPAC,1999,72,288.22,102,20.54,102
EPAC,2000,12,66.69,298,5.88,296
EPAC,2000,24,122.43,266,10.23,264
EPAC,2000,36,173.17,236,13.7,235
EPAC,2000,48,212.7,205,15.64,204
EPAC,2000,72,299.48,151,16.42,151
EPAC,2001,12,71.75,292,6.23,292
EPAC,2001,24,126.84,262,10.31,261
EPAC,2001,36,170.58,234,13.16,234
EPAC,2001,48,213.43,208,14.38,208
EPAC,2001,72,302.74,156,16.96,156
EPAC,2001,96,374.33,107,18.43,107
EPAC,2001,120,405.36,73,18.59,73
EPAC,2002,12,67.34,275,6.09,275
EPAC,2002,24,110.44,245,11.67,245
EPAC,2002,36,150.73,216,15.62,216
EPAC,2002,48,183.32,188,17.82,188
EPAC,2002,72,254.45,143,19.44,143
EPAC,2002,96,354.46,103,17.57,103
EPAC,2002,120,421.98,70,18.36,70
EPAC,2003,12,66.85,229,6.18,229
EPAC,2003,24,119.69,201,10.65,201
EPAC,2003,36,170.25,173,14.86,173
EPAC,2003,48,217.49,146,18.39,146
EPAC,2003,72,332.36,99,20.4,99
EPAC,2003,96,485.21,58,19.14,58
EPAC,2003,120,667.99,25,24.0,25
EPAC,2004,12,56.63,186,6.8,186
EPAC,2004,24,93.95,160,11.91,160
EPAC,2004,36,129.17,136,15.33,136
EPAC,2004,48,164.57,115,17.0,115
EPAC,2004,72,243.2,82,20.85,82
EPAC,2004,96,370.52,60,20.08,60
EPAC,2004,120,580.02,37,20.81,37
EPAC,2005,12,61.2,263,5.84,263
EPAC,2005,24,98.93,233,10.06,233
EPAC,2005,36,132.81,203,13.65,203
EPAC,2005,48,159.58,177,16.21,177
EPAC,2005,72,208.11,138,18.19,138
EPAC,2005,96,256.28,110,19.14,110
EPAC,2005,120,297.5,89,20.62,89
EPAC,2006,12,57.08,314,6.58,314
EPAC,2006,24,104.11,277,10.83,277
EPAC,2006,36,148.21,241,14.17,241
EPAC,2006,48,190.34,207,15.7,207
EPAC,2006,72,263.64,142,16.94,142
EPAC,2006,96,330.33,94,17.39,94
EPAC,2006,120,389.57,62,16.29,62
EPAC,2007,12,55.48,208,5.14,208
EPAC,2007,24,92.93,182,8.24,182
EPAC,2007,36,132.31,156,11.6,156
EPAC,2007,48,171.39,140,14.43,140
EPAC,2007,72,217.0,108,18.15,108
EPAC,2007,96,271.99,77,20.78,77
EPAC,2007,120,345.09,52,17.02,52
EPAC,2008,12,57.3,275,6.04,275
EPAC,2008,24,88.04,239,9.83,239
EPAC,2008,36,117.99,205,11.85,205
EPAC,2008,48,144.48,175,12.86,175
EPAC,2008,72,199.36,124,15.73,124
EPAC,2008,96,257.04,85,17.59,85
EPAC,2008,120,298.98,53,18.02,53
EPAC,2009,12,54.59,236,7.14,236
EPAC,2009,24,94.21,204,12.84,204
EPAC,2009,36,133.18,173,17.08,173
EPAC,2009,48,164.73,143,18.04,143
EPAC,2009,72,220.67,99,17.27,99
EPAC,2009,96,300.93,69,18.12,69
EPAC,2009,120,445.18,45,18.78,45
EPAC,2010,12,48.21,138,6.09,138
EPAC,2010,24,74.22,115,9.35,115
EPAC,2010,36,89.96,97,12.37,97
EPAC,2010,48,101.31,83,13.49,83
EPAC,2010,72,157.91,63,15.56,63
EPAC,2010,96,220.9,43,15.93,43
EPAC,2010,120,269.31,29,17.76,29
EPAC,2011,12,46.45,234,7.16,234
EPAC,2011,24,74.83,213,12.21,213
EPAC,2011,36,98.59,193,15.0,193
EPAC,2011,48,127.01,171,16.4,171
EPAC,2011,72,191.25,129,17.95,129
EPAC,2011,96,276.39,93,18.76,93
EPAC,2011,120,307.62,58,17.5,58
EPAC,2012,12,43.04,278,5.07,278
EPAC,2012,24,66.94,246,8.07,246
EPAC,2012,36,91.12,214,10.75,214
EPAC,2012,48,118.17,183,11.78,183
EPAC,2012,72,164.12,125,10.56,125
EPAC,2012,96,199.33,76,13.82,76
EPAC,2012,120,186.51,39,13.85,39
EPAC,2013,12,46.89,255,5.2,255
EPAC,2013,24,74.4,222,9.53,222
EPAC,2013,36,94.94,189,11.98,189
EPAC,2013,48,116.79,159,13.02,159
EPAC,2013,72,166.49,111,14.28,111
EPAC,2013,96,232.36,78,14.87,78
EPAC,2013,120,308.45,56,13.12,56
EPAC,2014,12,37.6,405,5.98,405
EPAC,2014,24,55.41,367,9.67,367
EPAC,2014,36,71.39,327,12.28,327
EPAC,2014,48,92.74,293,14.44,293
EPAC,2014,72,152.31,237,17.03,237
EPAC,2014,96,220.97,188,16.6,188
EPAC,2014,120,327.36,136,14.15,136
EPAC,2015,12,48.19,325,7.55,325
EPAC,2015,24,72.09,296,12.13,296
EPAC,2015,36,91.49,270,14.85,270
EPAC,2015,48,109.92,246,15.85,246
EPAC,2015,72,153.99,200,16.27,200
EPAC,2015,96,213.02,158,14.94,158
EPAC,2015,120,284.77,127,15.12,127
EPAC,2016,12,34.31,359,5.71,359
EPAC,2016,24,53.11,323,8.68,323
EPAC,2016,36,69.17,288,10.35,288
EPAC,2016,48,85.26,256,11.86,256
EPAC,2016,72,118.05,196,15.51,196
EPAC,2016,96,152.8,154,16.66,154
EPAC,2016,120,190.13,118,16.53,118
EPAC,2017,12,38.4,297,5.37,297
EPAC,2017,24,59.22,260,8.92,260
EPAC,2017,36,79.88,226,10.71,226
EPAC,2017,48,103.15,199,11.78,199
EPAC,2017,72,156.44,159,12.33,159
EPAC,2017,96,200.05,120,11.08,120
EPAC,2017,120,251.84,86,12.15,86
EPAC,2018,12,37.95,413,6.15,413
EPAC,2018,24,59.91,373,10.43,373
EPAC,2018,36,77.89,337,12.76,337
EPAC,2018,48,92.14,300,14.15,300
EPAC,2018,72,124.44,242,15.21,242
EPAC,2018,96,154.02,196,16.4,196
EPAC,2018,120,190.56,160,18.78,160
EPAC,2019,12,45.87,245,5.2,245
EPAC,2019,24,74.71,211,9.08,211
EPAC,2019,36,106.37,180,11.08,180
EPAC,2019,48,137.63,155,13.26,155
EPAC,2019,72,184.52,116,18.1,116
EPAC,2019,96,228.65,86,19.77,86
EPAC,2019,120,249.47,62,18.31,62
EPAC,2020,12,44.33,217,5.05,217
EPAC,2020,24,65.99,178,6.63,178
EPAC,2020,36,85.62,149,7.89,149
EPAC,2020,48,106.43,125,10.96,125
EPAC,2020,72,151.34,83,17.17,83
EPAC,2020,96,205.52,49,17.86,49
EPAC,2020,120,277.88,31,15.48,31
EPAC,2021,12,40.34,275,5.22,275
EPAC,2021,24,58.18,235,8.74,235
EPAC,2021,36,78.58,197,11.29,197
EPAC,2021,48,99.48,161,13.29,161
EPAC,2021,72,143.69,108,17.78,108
EPAC,2021,96,166.84,68,20.59,68
EPAC,2021,120,210.49,43,20.0,43
EPAC,2022,12,39.5,318,5.0,318
EPAC,2022,24,60.48,283,8.3,283
EPAC,2022,36,79.55,249,10.22,249
EPAC,2022,48,97.01,217,11.43,217
EPAC,2022,72,148.28,160,13.19,160
EPAC,2022,96,213.23,109,13.35,109
EPAC,2022,120,232.58,66,13.48,66
EPAC,2023,12,40.66,265,7.25,265
EPAC,2023,24,61.74,234,10.53,234
EPAC,2023,36,79.12,204,12.75,204
EPAC,2023,48,97.87,176,14.6,176
EPAC,2023,72,146.65,129,13.49,129
EPAC,2023,96,214.36,93,16.18,93
EPAC,2023,120,297.58,66,22.2,66
EPAC,2024,12,45.57,161,6.27,161
EPAC,2024,24,68.76,134,10.63,134
EPAC,2024,36,83.0,109,11.88,109
EPAC,2024,48,90.39,89,14.89,89
EPAC,2024,72,144.75,61,19.33,60
EPAC,2024,96,190.65,44,21.14,44
EPAC,2024,120,216.19,31,23.39,31
EPAC,2025,12,34.38,262,4.96,262
EPAC,2025,24,51.38,226,7.41,226
EPAC,2025,36,67.07,194,8.99,194
EPAC,2025,48,78.48,164,10.09,164
EPAC,2025,72,100.64,116,10.52,116
EPAC,2025,96,141.81,86,13.14,86
EPAC,2025,120,185.63,67,13.81,67
