anio,tsi_wm2,nao,sulfato_global,sulfato_hn,hielo_artico_derretido_pct,anomalia_temp_groenlandia,borde_norte_tropical_grados,jet_atlantico_norte_grados,erupciones_islandia,erupciones_extratropicales,erupciones_tropicales
1276,1364.025,0.645,,13.971,60.0,0.04694859,23.2921,46.82,,,
1277,1364.003,1.072,,16.782,35.0,0.12559165,24.5015,46.94,,,
1278,1364.003,0.434,,13.339,75.7143,0.19910449,24.4644,43.44,,,
1279,1364.003,0.299,,10.297,28.8889,0.27482621,23.3758,44.5,,,
1280,1364.003,0.296,,11.372,92.0,0.33950828,23.9324,41.92,,,1.0
1281,1364.003,-0.383,,9.9341,78.3333,0.39633174,22.0317,45.24,,1.0,
1282,1364.003,0.547,,7.8822,79.0909,0.44804497,23.9983,45.27,,,
1283,1364.013,0.502,,10.147,76.0,0.49212625,25.7411,46.09,,,
1284,1364.023,1.315,54.69,12.348,63.3333,0.52530913,23.0422,46.41,,,
1285,1364.033,0.805,,10.192,81.4286,0.54324898,23.2997,46.74,,,
1286,1364.043,0.114,,16.261,81.4286,0.55495619,23.2283,50.26,,1.0,
1287,1364.053,1.085,,32.972,95.0,0.55739505,22.8624,49.2,,,
1288,1364.061,1.564,,21.458,63.5294,0.54933071,23.9692,49.25,,,
1289,1364.069,0.276,,23.758,92.5,0.5307944,23.0094,45.57,,,
1290,1364.077,-0.119,,16.111,73.75,0.49645042,22.201,46.6,2.0,,1.0
1291,1364.085,1.146,,16.162,81.6667,0.44564256,23.4294,48.18,,,
1292,1364.093,0.618,,15.411,39.3333,0.38247202,22.5577,48.62,,,
1293,1364.097,1.252,,14.631,41.6667,0.30879743,22.0708,48.8,,,
1294,1364.101,1.045,,11.615,34.2857,0.25057305,22.4592,50.06,,,
1295,1364.105,0.536,,12.356,38.75,0.20602837,23.5917,50.57,,,
1296,1364.109,0.782,,16.874,22.0,0.17247441,24.1425,48.13,,,
1297,1364.113,-0.294,,12.543,60.0,0.15106376999999999,23.6222,44.65,,,
1298,1364.113,0.948,,11.412,45.4546,0.13386677,22.9463,43.68,,,
1299,1364.113,-0.085,,12.776,60.0,0.12072183,24.0458,42.8,,,
1300,1364.113,-0.235,,14.11,23.5714,0.09714831,22.3713,44.61,3.0,3.0,1.0
1301,1364.113,-0.315,,12.885,28.8889,0.0856924,21.0707,46.93,,,
1302,1364.113,0.715,,13.163,25.0,0.05718986,19.3184,47.42,,,
1303,1364.113,0.132,,12.304,60.0,0.00316508,21.4093,47.71,,,
1304,1364.113,0.891,,10.905,61.4286,-0.07334356,21.0452,47.56,,,
1305,1364.113,0.146,,10.123,28.75,-0.16093504,19.7767,45.29,,1.0,
1306,1364.113,-0.046,,11.608,56.6667,-0.25177577,21.2441,49.27,,,
1307,1364.113,-0.156,1.18,11.895,43.125,-0.33297952,22.7676,45.07,,1.0,
1308,1364.117,-0.655,,11.299,93.3333,-0.40911094,22.1861,44.47,,,
1309,1364.121,0.843,,13.289,92.7273,-0.48311618,22.5822,48.06,,,
1310,1364.125,0.559,,9.9736,97.5,-0.556590132,21.4845,50.14,1.0,,1.0
1311,1364.129,0.204,,10.451,48.6667,-0.609724127,23.6672,46.92,1.0,,1.0
1312,1364.133,0.287,,12.684,49.3333,-0.643105938,23.5658,44.29,,,
1313,1364.141,1.08,,11.514,46.25,-0.6749446,21.4409,46.14,,,
1314,1364.149,1.265,,10.163,47.0,-0.70867483,24.2206,46.1,,,
1315,1364.157,0.595,,11.413,95.0,-0.77149527,25.3971,48.61,,,
1316,1364.165,0.352,1.83,9.1227,58.8889,-0.86357172,25.8315,50.62,,,
1317,1364.173,1.479,,9.4016,44.6154,-0.97155172,23.5594,49.01,,,
1318,1364.183,0.758,,12.942,45.3333,-1.09218002,27.0107,49.31,,,
1319,1364.193,1.415,,13.77,61.3333,-1.2103354,22.6438,47.65,,,
1320,1364.203,1.605,,10.562,76.1539,-1.3233925,22.489,47.46,,,
1321,1364.213,0.941,,15.737,58.0,-1.40765298,25.2304,45.64,,,
1322,1364.223,1.443,,14.516,52.8571,-1.47669856,23.5492,48.02,,,
1323,1364.233,0.318,,13.043,32.0,-1.49111065,24.5784,46.92,,,
1324,1364.243,-0.329,,13.681,37.2727,-1.44731288,24.6961,47.9,,1.0,
1325,1364.253,-0.286,,14.9,96.25,-1.35617943,21.3725,47.69,1.0,,
1326,1364.262,-0.331,,15.174,84.1667,-1.22971359,21.7159,45.83,,,
1327,1364.273,-0.215,,17.698,87.2727,-1.07031279,22.6739,44.07,,,
1328,1364.291,0.786,19.69,18.351,85.0,-0.90446434,23.0758,48.42,,,
1329,1364.308,0.438,,28.273,75.7143,-0.722810696,21.3903,46.53,,1.0,
1330,1364.326,0.534,,30.96,51.25,-0.53186193,24.283,48.19,,1.0,
1331,1364.344,0.402,,35.055,51.6667,-0.33567303,22.8314,47.53,,3.0,
1332,1364.362,0.396,,20.98,32.7273,-0.15253237,22.0454,48.15,1.0,1.0,
1333,1364.388,-0.232,,22.651,47.1429,0.00787957,22.3409,47.18,,1.0,
1334,1364.414,0.549,,18.405,71.1111,0.16845127,23.8283,47.52,,,1.0
1335,1364.44,0.212,,16.662,78.8889,0.32991405,24.81,49.85,,1.0,
1336,1364.466,0.006,,17.9,30.7692,0.48473122,22.7332,46.79,,,
1337,1364.492,0.692,,18.763,84.0,0.63713906,22.19,50.2,,,
1338,1364.524,0.385,,15.475,91.6667,0.77940546,26.0028,49.92,,1.0,
1339,1364.556,-0.241,,16.06,95.7143,0.90938157,23.4545,49.64,,,
1340,1364.588,0.146,,16.45,95.0,1.01996268,24.0458,47.46,2.0,3.0,6.0
1341,1364.62,0.306,31.14,31.767,87.0,1.11274789,26.6867,45.21,3.0,,
1342,1364.652,-0.818,,15.935,88.3333,1.16082902,23.2059,41.76,,,
1343,1364.68,-0.766,,16.779,93.8462,1.17177268,23.9313,47.25,,1.0,
1344,1364.708,0.869,,18.171,82.2222,1.15183447,22.0323,43.48,,,
1345,1364.736,0.621,,39.688,76.4286,1.09387653,23.3121,44.4,,,1.0
1346,1364.764,-0.233,,34.938,16.6667,1.015315106,22.3301,43.0,,,
1347,1364.792,-0.376,,22.002,16.6667,0.917082102,23.7019,48.47,,,
1348,1364.812,-0.109,,16.826,85.0,0.79705991,23.2362,46.92,,,
1349,1364.832,-0.193,,17.147,97.7778,0.68161848,22.0827,45.65,,,
1350,1364.852,0.054,,17.648,98.5714,0.56227316,24.1662,46.23,2.0,6.0,5.0
1351,1364.872,-0.157,,13.18,87.5,0.45459412,24.6393,46.3,,,
1352,1364.892,0.162,,10.989,33.3333,0.36735482,22.9013,47.47,,,
1353,1364.904,0.373,,17.074,42.7273,0.27886091,21.1527,47.8,,,
1354,1364.916,0.231,,14.654,97.1429,0.2017841,22.9814,46.78,1.0,,1.0
1355,1364.928,-0.238,,15.652,24.5455,0.126681755,24.8216,46.88,,,
1356,1364.94,0.2,,13.1,45.7143,0.049664802,23.0638,51.22,,,
1357,1364.952,-0.358,,14.485,40.0,-0.023024737,23.9803,49.47,1.0,,
1358,1364.96,-0.894,1.09,13.868,91.4286,-0.088954456,21.3761,49.55,,,
1359,1364.968,-0.059,,16.938,100.0,-0.157117423,24.1988,45.15,,,
1360,1364.976,-0.374,,20.678,38.8889,-0.226859026,23.3176,43.67,,,3.0
1361,1364.984,-0.46,,14.266,21.1111,-0.298107553,23.4441,45.73,,1.0,
1362,1364.992,-0.824,,17.197,28.5,-0.36918762,23.8282,49.07,1.0,,
1363,1364.996,0.108,,13.832,72.5,-0.42609421,25.6464,48.21,,,
1364,1365.0,0.494,,18.559,45.5556,-0.47458934,23.4658,45.68,,,
1365,1365.004,-0.29,,16.188,49.0909,-0.52596456,23.9678,47.5,,,
1366,1365.008,-0.238,,19.871,87.5,-0.56955631,23.3236,46.48,,,
1367,1365.012,-0.347,,14.986,97.1429,-0.61037369,23.3824,47.2,,,
1368,1365.012,-0.048,,15.407,91.4,-0.64878196,22.4082,47.79,,,
1369,1365.012,0.679,,12.409,90.6,-0.68212961,21.6849,47.11,1.0,,
1370,1365.012,-0.692,9.08,14.297,100.0,-0.72072733,21.6879,43.67,1.0,,2.0
1371,1365.012,0.256,,16.39,88.5714,-0.76010715,23.7753,47.58,,,
1372,1365.012,-0.29,,17.301,60.0,-0.80934814,22.9744,48.98,1.0,,
1373,1365.004,-0.102,,19.436,89.0,-0.86902119,24.5816,49.92,,,
1374,1364.996,0.238,,14.969,85.5556,-0.91961458,22.758,51.51,,,
1375,1364.988,-0.354,,14.175,88.4615,-0.96684847,26.7477,50.83,,1.0,2.0
1376,1364.98,0.833,,11.422,91.6667,-1.00737626,22.8428,49.92,,1.0,1.0
1377,1364.972,0.716,,10.279,79.0,-1.04352622,24.3581,49.33,,1.0,
1378,1364.952,0.055,,14.885,17.0,-1.06092467,23.0469,48.2,,,
1379,1364.932,-0.577,,16.474,29.0,-1.07301828,22.2962,49.48,,,
1380,1364.912,0.025,,16.079,70.0,-1.07111817,20.2528,48.4,,1.0,1.0
1381,1364.892,0.329,5.27,19.009,96.4286,-1.05954559,24.137,48.57,,1.0,
1382,1364.872,1.164,,15.272,99.0909,-1.0371289,23.9477,48.79,,,
1383,1364.844,0.287,,20.816,95.0,-1.00056123,21.839,46.86,,,
1384,1364.816,-0.158,,17.535,60.0,-0.96185242,21.0121,46.39,,,
1385,1364.788,0.253,,19.436,44.4444,-0.91162494,21.0293,47.79,,,1.0
1386,1364.76,0.346,,13.805,50.0,-0.85404606,20.7105,48.41,,,
1387,1364.732,0.085,,11.068,31.5385,-0.77912285,20.8561,48.49,,1.0,
1388,1364.706,0.142,,14.57,58.75,-0.69855711,21.8151,48.33,,,
1389,1364.68,-0.864,,29.609,45.3846,-0.60974084,24.3263,48.29,1.0,,
1390,1364.654,-0.299,,19.817,40.7692,-0.48054678,23.1672,50.82,1.0,,1.0
1391,1364.628,0.101,,16.622,52.5,-0.3491683,23.2956,46.23,,,
1392,1364.602,0.073,,15.905,45.5556,-0.21828894,20.6855,46.69,,,
1393,1364.578,0.419,,13.933,23.5714,-0.07910477,22.6707,48.23,,,
1394,1364.554,-0.182,,11.529,18.9474,0.06491937,21.5917,45.03,,,
1395,1364.53,-0.155,,9.6816,26.0,0.20989219,24.2133,42.23,,,1.0
1396,1364.506,-1.447,,13.106,24.4444,0.36061539,21.5136,43.59,,,
1397,1364.482,-0.328,,17.311,28.5714,0.51521829,24.0982,43.3,,1.0,
1398,1364.464,-0.386,,15.897,22.5,0.66776895,22.8776,45.35,,,
1399,1364.446,-0.826,,13.381,17.7778,0.81255049,23.9972,49.41,,,
1400,1364.428,0.107,,11.327,35.0,0.95287614,22.3195,52.84,,2.0,2.0
1401,1364.411,-0.529,,11.229,29.0909,1.08004999,22.9444,50.9,,,
1402,1364.392,0.958,,10.222,21.8182,1.20340437,26.1664,48.85,,,
1403,1364.378,-0.219,,12.262,5.8333,1.320549767,25.0031,46.17,,,
1404,1364.365,0.448,,13.373,6.3636,1.431356656,23.8268,47.07,,1.0,
1405,1364.351,1.297,,13.032,26.9231,1.5431053,26.0341,48.47,,,
1406,1364.336,-0.376,,15.997,39.375,1.648017703,23.9414,47.56,,,
1407,1364.323,-0.203,,14.941,48.5714,1.745537762,26.1379,43.1,,,
1408,1364.317,-0.883,,16.987,23.3333,1.823059243,24.1737,47.62,,2.0,
1409,1364.31,-0.24,,16.176,57.7778,1.89227517,22.6126,42.86,,,
1410,1364.305,-0.306,,13.469,44.1177,1.93969697,22.4718,48.59,1.0,1.0,1.0
1411,1364.299,-0.413,,14.372,73.6364,1.93445903,22.9134,47.42,,,1.0
1412,1364.292,0.119,,16.105,77.5,1.9139852,21.3449,46.03,,,
1413,1364.303,0.801,,16.247,98.75,1.88097741,24.8209,43.15,,,
1414,1364.313,-0.63,,13.487,48.75,1.837879245,23.2582,45.15,,,
1415,1364.323,1.052,,15.331,34.2857,1.794180948,22.5851,45.03,,,
1416,1364.333,0.336,9.69,16.188,34.1667,1.751557309,23.9321,44.53,1.0,1.0,
1417,1364.343,0.79,,14.4447,22.7273,1.712389631,24.4095,43.36,,,
1418,1364.359,-0.387,,9.76666,19.2308,1.671364116,24.2428,41.69,,,
1419,1364.375,-0.688,,11.7617,96.25,1.639918482,23.046,43.63,,,
1420,1364.391,0.076,,12.7722,80.0,1.60865883,23.6396,44.58,,,1.0
1421,1364.406,0.279,,11.1392,67.6923,1.579666268,23.0827,47.39,,1.0,
1422,1364.422,0.81,,19.331,58.125,1.549037229,22.0989,49.26,1.0,1.0,
1423,1364.434,-0.188,,14.001,97.2727,1.510408932,22.9622,47.69,,,
1424,1364.446,-0.082,,14.721,74.0,1.46790478,22.8137,44.84,,,
1425,1364.458,0.33,,22.085,50.0,1.420266446,22.9647,45.62,,,
1426,1364.47,0.235,,17.017,32.5,1.370381208,25.9165,47.35,,,
1427,1364.482,-0.717,,11.96,62.0,1.321472312,23.4425,46.84,,,
1428,1364.474,1.134,,12.104,81.0,1.272352826,22.832,47.89,,,
1429,1364.466,0.032,,15.478,48.1818,1.22898028,24.7651,44.27,,,
1430,1364.458,-0.448,,14.535,14.7619,1.197629713,23.014,46.43,1.0,1.0,1.0
1431,1364.45,0.284,,11.178,36.0,1.192064026,22.2286,43.93,,,
1432,1364.443,-0.727,,13.034,69.1667,1.207897083,22.8891,46.64,,,
1433,1364.414,0.721,,13.837,47.1429,1.246454228,22.0959,46.87,,,
1434,1364.386,0.419,,14.422,44.5455,1.307421813,23.2872,48.51,,1.0,
1435,1364.359,-0.794,,12.478,45.5556,1.38371468,22.5224,48.45,,1.0,
1436,1364.33,-0.225,,9.6059,40.0,1.46891546,20.4242,51.79,,,
1437,1364.303,-1.218,,8.7568,76.6667,1.56853188,24.0069,49.01,,,
1438,1364.262,-0.02,,11.203,44.2857,1.67607333,22.9127,45.78,,1.0,
1439,1364.223,-1.086,,10.8,84.5455,1.77882774,23.1335,45.03,,,
1440,1364.183,0.006,,14.091,63.6364,1.87502321,22.4625,49.12,2.0,,4.0
1441,1364.143,0.078,,13.3,40.8696,1.96087953,21.6192,47.43,,,1.0
1442,1364.103,0.028,,15.449,74.4444,2.0401358,23.5869,48.64,,,
1443,1364.063,-1.287,,15.345,49.3333,2.1199005,25.4235,49.09,,,
1444,1364.023,-0.438,,15.403,37.2727,2.19471357,22.5093,46.49,,2.0,1.0
1445,1363.983,-0.334,,16.767,51.8182,2.26385087,25.328,46.5,,,
1446,1363.943,-0.475,,12.578,63.3333,2.32857631,25.2491,45.5,,1.0,
1447,1363.903,-0.96,,12.992,46.25,2.3902504,22.6888,46.1,,1.0,
1448,1363.871,-0.899,,13.974,70.9091,2.4420358,23.5099,44.85,,,
1449,1363.839,-0.701,,16.27,87.1429,2.496433,22.5902,48.43,,,
1450,1363.807,-0.445,,12.433,58.8889,2.5452187,22.4738,41.44,2.0,1.0,4.0
1451,1363.775,-1.279,,11.815,91.25,2.5771501,19.8573,46.91,,,1.0
1452,1363.743,-0.898,137.5,11.499,44.1667,2.5891188,21.7405,41.41,,,
1453,1363.723,-1.023,,32.322,56.6667,2.5808183,20.8279,48.77,,,
1454,1363.703,-1.02,,20.987,49.0909,2.5475426,21.0881,48.5,,,1.0
1455,1363.683,-0.195,,11.77,61.25,2.48113543,21.8603,50.35,,,
1456,1363.663,-1.123,,17.303,33.75,2.39122359,21.3335,44.42,,,
1457,1363.643,-1.974,,12.124,39.2308,2.27392475,22.8139,42.81,,,
1458,1363.631,-1.827,,8.9183,100.0,2.13343682,19.9235,46.38,,,
1459,1363.619,-0.585,21.92,32.791,96.0,1.96498564,22.8046,48.06,,,
1460,1363.607,-0.417,,34.299,40.0,1.80060703,23.3282,50.99,,1.0,1.0
1461,1363.595,0.201,,23.067,20.0,1.63705142,24.5009,48.56,,,
1462,1363.583,-1.093,,10.189,2.5,1.492097964,22.4646,47.01,,,1.0
1463,1363.601,-0.362,,17.883,24.5455,1.366344604,23.0438,50.46,,,
1464,1363.619,-0.501,,13.216,21.5385,1.25530609,25.422,47.51,,,
1465,1363.637,-0.611,,11.194,19.0909,1.15716435,24.5397,47.67,,,
1466,1363.655,-0.606,,15.458,38.5714,1.07097942,23.5841,47.0,,,
1467,1363.673,0.434,,13.957,20.9091,0.99180235,21.9971,48.99,,,
1468,1363.711,-0.023,,17.661,51.6667,0.91188264,21.2244,49.33,,1.0,
1469,1363.749,0.101,,15.13,51.6667,0.83093043,21.8997,43.88,2.0,1.0,1.0
1470,1363.787,-0.852,,25.949,55.0,0.73541067,22.1003,45.57,1.0,,1.0
1471,1363.825,-0.362,,11.021,47.0,0.63691376,24.6642,46.71,1.0,2.0,
1472,1363.863,-0.571,,11.895,52.7273,0.54410778,22.2368,49.73,,,
1473,1363.901,0.764,,11.416,29.0,0.45812943,23.3411,48.34,,1.0,
1474,1363.939,0.829,3.32,12.177,52.0,0.38363112,22.7372,48.69,,,
1475,1363.977,-0.558,,11.738,100.0,0.32744989,23.9592,46.52,,,
1476,1364.015,-0.428,14.85,20.969,98.8889,0.30045196,21.6602,47.77,,,
1477,1364.053,0.702,,33.686,98.4615,0.29937915,22.0815,49.71,2.0,,
1478,1364.085,-0.057,,17.16,98.4615,0.32725762,22.973,52.41,,1.0,
1479,1364.117,0.056,,19.777,100.0,0.38204733,23.8822,48.68,,,
1480,1364.149,-0.325,7.36,24.112,56.6667,0.46509931,24.8818,49.46,,1.0,1.0
1481,1364.181,-0.041,,19.298,28.3333,0.562732753,22.6874,46.9,,,1.0
1482,1364.213,0.787,,15.006,96.6667,0.676181629,21.6622,48.0,,1.0,
1483,1364.227,0.837,,13.73,66.6667,0.77463315,22.6206,47.45,,,
1484,1364.241,0.355,,12.352,100.0,0.85974946,19.3673,48.18,,,
1485,1364.255,-0.114,,18.117,100.0,0.92894605,21.3885,47.98,,1.0,
1486,1364.269,-0.075,,16.891,98.75,0.98959926,21.0723,47.7,,,
1487,1364.283,-0.304,,13.572,85.3846,1.0469325,24.8435,43.77,,1.0,
1488,1364.283,-0.907,,16.006,71.0,1.09362918,21.8756,43.35,,,1.0
1489,1364.283,-0.261,,14.564,68.3333,1.13879181,22.3404,41.43,,,
1490,1364.283,-0.256,,18.745,49.2308,1.18726667,21.5567,46.6,1.0,,1.0
1491,1364.283,-1.036,,11.942,98.8889,1.24145148,20.2569,49.95,,,
1492,1364.283,0.41,,15.194,92.7273,1.29510574,20.1782,49.65,,,
1493,1364.275,1.386,,19.232,35.4546,1.34018199,23.5897,49.84,,1.0,
1494,1364.266,0.672,,16.336,70.0,1.36940016,22.1376,49.77,,,
1495,1364.258,-0.274,,18.399,57.5,1.39003561,23.6115,46.75,,,
1496,1364.251,0.116,,24.757,37.0,1.40267121,22.0472,46.61,,,
1497,1364.243,0.082,,15.187,23.0769,1.40724931,22.5712,46.38,,,
1498,1364.237,0.181,,16.769,94.2857,1.398333,22.5571,44.95,,,
1499,1364.231,0.225,,15.474,66.6667,1.37608301,20.7149,47.56,,,
1500,1364.225,1.134,,13.233,93.5294,1.33940889,25.7992,41.9,2.0,2.0,4.0
