anio,clase_2y3,clase_3,clase_2,clase_1,series_con_crecida
1641,9,1,8,6,15
1642,6,1,5,4,10
1643,10,9,1,1,11
1644,2,1,1,3,5
1645,2,2,0,3,5
1646,3,1,2,7,10
1647,6,2,4,7,13
1648,3,1,2,7,10
1649,11,4,7,16,27
1650,4,1,3,13,17
1651,26,13,13,15,41
1652,7,4,3,10,17
1653,4,2,2,5,9
1654,2,1,1,3,5
1655,13,8,5,7,20
1656,6,0,6,7,13
1657,7,2,5,10,17
1658,19,8,11,7,26
1659,2,0,2,6,8
1660,7,2,5,8,15
1661,19,7,12,10,29
1662,4,1,3,6,10
1663,15,1,14,5,20
1664,8,2,6,9,17
1665,8,2,6,4,12
1666,2,0,2,2,4
1667,3,0,3,8,11
1668,8,1,7,9,17
1669,2,1,1,12,14
1670,12,7,5,11,23
1671,2,0,2,3,5
1672,4,3,1,8,12
1673,8,3,5,11,19
1674,6,2,4,5,11
1675,9,4,5,7,16
1676,7,2,5,9,16
1677,11,2,9,9,20
1678,5,1,4,4,9
1679,9,3,6,6,15
1680,7,3,4,6,13
1681,1,1,0,3,4
1682,14,7,7,7,21
1683,5,1,4,1,6
1684,11,4,7,5,16
1685,3,2,1,5,8
1686,6,2,4,4,10
1687,1,0,1,6,7
1688,5,2,3,6,11
1689,8,5,3,11,19
1690,4,1,3,9,13
1691,5,0,5,8,13
1692,6,2,4,6,12
1693,5,1,4,8,13
1694,8,6,2,5,13
1695,7,2,5,13,20
1696,1,0,1,5,6
1697,8,4,4,10,18
1698,11,3,8,17,28
1699,4,1,3,6,10
1700,2,0,2,3,5
1701,5,1,4,5,10
1702,10,1,9,13,23
1703,3,0,3,12,15
1704,3,1,2,8,11
1705,6,1,5,7,13
1706,3,1,2,8,11
1707,7,2,5,8,15
1708,7,2,5,3,10
1709,18,5,13,15,33
1710,5,1,4,7,12
1711,14,7,7,13,27
1712,9,5,4,8,17
1713,4,1,3,10,14
1714,3,2,1,6,9
1715,0,0,0,6,6
1716,6,1,5,12,18
1717,5,1,4,6,11
1718,3,1,2,10,13
1719,4,2,2,13,17
1720,8,2,6,5,13
1721,7,1,6,9,16
1722,3,0,3,7,10
1723,6,0,6,14,20
1724,2,0,2,8,10
1725,4,0,4,13,17
1726,16,5,11,15,31
1727,9,4,5,8,17
1728,3,1,2,14,17
1729,12,2,10,11,23
1730,7,1,6,6,13
1731,5,2,3,4,9
1732,12,6,6,5,17
1733,12,5,7,8,20
1734,6,1,5,7,13
1735,4,0,4,8,12
1736,17,5,12,9,26
1737,9,2,7,17,26
1738,4,0,4,11,15
1739,21,8,13,12,33
1740,32,17,15,34,66
1741,10,4,6,14,24
1742,0,0,0,9,9
1743,6,3,3,10,16
