anio,ca_ppb_lpf20yr,pdsi_marruecos
1863,146.734274567057,
1862,143.001133805082,
1861,138.389871871309,
1860,132.934621242232,
1859,126.723911369233,
1858,119.904905045125,
1857,112.682469792193,
1856,105.312651878613,
1855,98.0906479643188,
1854,91.3339185872923,
1853,85.3616050830116,
1852,80.471844267615,
1851,76.9188766339862,
1850,74.8919782579513,
1849,74.4981934107766,
1848,75.7506009139485,
1847,78.5634279512608,
1846,82.7547634226384,
1845,88.0569670666004,
1844,94.1341794290978,
1843,100.605675732602,
1842,107.073237629397,
1841,113.150297752634,
1840,118.490387451816,
1839,122.812415485494,
1838,125.920531793605,
1837,127.716771244229,
1836,128.20529208596,
1835,127.487769356582,
1834,125.750307898678,
1833,123.24302869645,
1832,120.254181217429,
1831,117.081175118997,
1830,114.001252076278,
1829,111.244596391954,
1828,108.972497931942,
1827,107.262743803203,
1826,106.103761167297,
1825,105.398219164206,
1824,104.975896174778,
1823,104.614712728312,
1822,104.068005907359,
1821,103.095458249703,
1820,101.494659860956,
1819,99.1301239209726,
1818,95.9567155164414,
1817,92.0348869205915,
1816,87.5358066670157,
1815,82.7353674318748,
1814,77.9970808203214,
1813,73.7449239559039,
1812,70.4281961122051,
1811,68.4812796843286,
1810,68.2817968461958,
1809,70.1109494333375,
1808,74.1197890883021,
1807,80.3047815225328,
1806,88.4953279525451,
1805,98.3549428601803,
1804,109.396639806729,
1803,121.011844102346,
1802,132.510940616509,
1801,143.172485219593,
1800,152.29725823619,
1799,159.26279844903,
1798,163.573881282105,
1797,164.904618238476,
1796,163.128446059957,
1795,158.333199551349,
1794,150.819647640394,
1793,141.083220126237,
1792,129.780049140106,
1791,117.679775164808,
1790,105.608707640074,
1789,94.3877844878863,
1788,84.7702666790017,
1787,77.3841870878001,
1786,72.6842360027093,
1785,70.9170334916885,
1784,72.1026702566862,
1783,76.034081814729,
1782,82.2943657787708,
1781,90.2906810178625,
1780,99.3020047375631,
1779,108.5368843449,
1778,117.196501808516,
1777,124.537938368144,
1776,129.932522996406,
1775,132.91456881769,
1774,133.216611389266,
1773,130.788391993776,
1772,125.798181581077,
1771,118.616501861371,
1770,109.783745800063,
1769,99.9645089345787,
1768,89.8925065037408,
1767,80.310682044414,
1766,71.9114526019922,
1765,65.2819595514329,
1764,60.8587133501337,
1763,58.8951807364862,
1762,59.4447393550528,
1761,62.3601161319301,
1760,67.3090449851731,
1759,73.8045442207685,
1758,81.2470361929128,
1757,88.9746082813331,
1756,96.317118466225,
1755,102.649625033304,
1754,107.440779915501,
1753,110.292347547198,
1752,110.966843945632,
1751,109.401356562441,
1750,105.706808414549,
