anio,ca_ppb_raw,ca_ppb_lpf20yr
1915,149.3363128566914,142.254178491341
1914,10.21948616674348,153.566616087234
1913,115.0787821695775,163.953636639819
1912,236.7289970169992,172.909914812593
1911,349.0104691889396,180.030130741069
1910,174.3512914941894,185.022272025367
1909,39.32648545071469,187.713025562555
1908,85.10871369725434,188.045810929213
1907,150.1512090323725,186.072488488207
1906,321.0258336040405,181.940116104096
1905,43.71601968409188,175.874312130975
1904,54.94314091772935,168.160809216838
1903,101.4930624177716,159.126668524559
1902,33.51496774405711,149.122394733088
1901,739.5847453054441,138.505884963912
1900,46.62071691364197,127.628800317851
1899,85.12774551641851,116.825607631125
1898,69.0184849503027,106.405237608996
1897,126.3846801214796,96.6450719679058
1896,128.0506728063783,87.7868244524559
1895,37.08502920341205,80.0338247268972
1894,16.10385742014989,73.5492447026539
1893,9.912678228819908,68.4549081622339
1892,23.21088637436764,64.8304731282799
1891,69.79803580993176,62.7129443424883
1890,29.60085648212653,62.0966316197004
1889,21.1655387589574,62.9337926129886
1888,155.8401760835595,65.1362654606819
1887,61.0015406831905,68.578395993353
1886,163.3959266128302,73.1014934456445
1885,65.17308460130201,78.519915604863
1884,45.70549286913629,84.6287055765326
1883,84.80759693993622,91.2125012247273
1882,94.34512370747787,98.0552421722148
1881,88.20637819370617,104.950035928059
1880,102.2090312417475,111.708439266352
1879,151.1278013487998,118.168382356417
1878,170.3600821327848,124.200021692504
1877,119.4360395185596,129.708953770299
1876,219.0609248211388,134.636444293189
1875,133.3386432296528,138.956607241037
1874,79.45235427634088,142.670776309764
1873,49.76546386697537,145.799614976384
1872,122.2074467823787,148.373776299419
1871,221.4491896006318,150.424117500673
1870,243.8451748238925,151.972571504361
1869,89.0964806831671,153.024761350104
1868,137.6616869205834,153.565308725307
1867,110.3958642750181,153.556542399907
1866,58.11717690865613,152.940976105284
1865,36.63782739392255,151.647529191562
1864,157.1472641927085,149.601046024671
1863,488.8235181469006,146.734274567057
1862,185.7151898800559,143.001133805082
1861,70.18997515897631,138.389871871309
1860,74.39973834139352,132.934621242232
1859,268.8574657921028,126.723911369233
1858,95.94114923697677,119.904905045125
1857,72.59388356797349,112.682469792193
1856,32.8699131586561,105.312651878613
1855,42.67451788386556,98.0906479643188
1854,90.08627569725053,91.3339185872923
1853,89.0804076171458,85.3616050830116
1852,49.92868963795133,80.471844267615
1851,31.31056681372848,76.9188766339862
1850,156.6593170285201,74.8919782579513
1849,32.35747897789206,74.4981934107766
1848,131.1706591510941,75.7506009139485
1847,31.7883818099473,78.5634279512608
1846,73.81846598877418,82.7547634226384
1845,68.53885697512659,88.0569670666004
1844,26.03080785954601,94.1341794290978
1843,258.7938453554743,100.605675732602
1842,301.1720556950701,107.073237629397
1841,167.1339660208319,113.150297752634
1840,50.44078942866945,118.490387451816
1839,111.3084270388984,122.812415485494
1838,57.29558922155006,125.920531793605
1837,25.06857347004833,127.716771244229
1836,80.74873486383817,128.20529208596
1835,16.20718679194213,127.487769356582
1834,26.17106706616837,125.750307898678
1833,109.3184098720005,123.24302869645
1832,441.4231030714221,120.254181217429
1831,25.89825111246579,117.081175118997
1830,119.0968122744153,114.001252076278
1829,81.8459785322632,111.244596391954
1828,135.4671717450086,108.972497931942
1827,318.4405907184916,107.262743803203
1826,44.20253679587552,106.103761167297
1825,35.63945178397324,105.398219164206
1824,185.2948565631116,104.975896174778
1823,81.7540771830536,104.614712728312
1822,53.512742530926,104.068005907359
1821,46.81782823164244,103.095458249703
1820,90.34083556704866,101.494659860956
1819,103.266028446933,99.1301239209726
1818,106.1517682641886,95.9567155164414
1817,55.79803721281898,92.0348869205915
1816,97.69990088341576,87.5358066670157
1815,75.97201058422905,82.7353674318748
1814,21.57195823000396,77.9970808203214
1813,81.68059818759875,73.7449239559039
1812,66.47202016894938,70.4281961122051
1811,54.45875537186683,68.4812796843286
1810,57.1753007633138,68.2817968461958
1809,187.6156882771161,70.1109494333375
1808,208.818344832193,74.1197890883021
1807,102.6504916596503,80.3047815225328
1806,101.0638873744821,88.4953279525451
1805,47.57715384174578,98.3549428601803
1804,167.715958270631,109.396639806729
1803,51.80708830732564,121.011844102346
1802,45.38056880515369,132.510940616509
1801,12.53273506951014,143.172485219593
1800,96.79936731117924,152.29725823619
1799,135.8552154925158,159.26279844903
1798,36.53883812585182,163.573881282105
1797,412.7062986940318,164.904618238476
1796,121.2811743080231,163.128446059957
1795,478.7332188716838,158.333199551349
1794,82.87485041905026,150.819647640394
1793,57.68017337233036,141.083220126237
1792,139.3373128631885,129.780049140106
1791,88.86428397207669,117.679775164808
1790,61.85339105084356,105.608707640074
1789,60.85090159429602,94.3877844878863
1788,18.09095340649243,84.7702666790017
1787,84.59523654971855,77.3841870878001
1786,155.673287243685,72.6842360027093
1785,233.5885276492567,70.9170334916885
1784,50.7789903709782,72.1026702566862
1783,54.18779961269901,76.034081814729
1782,60.90791067918266,82.2943657787708
1781,29.5156183156863,90.2906810178625
1780,36.644456721377,99.3020047375631
1779,30.22900153968273,108.5368843449
1778,64.88675817489776,117.196501808516
1777,104.8729514403813,124.537938368144
1776,55.84614783946689,129.932522996406
1775,71.07358261536015,132.91456881769
1774,807.3385069482367,133.216611389266
1773,15.76684249429184,130.788391993776
1772,42.03689087215559,125.798181581077
1771,112.2835223214862,118.616501861371
1770,36.08699670368441,109.783745800063
1769,59.59951986382335,99.9645089345787
1768,40.0869237254647,89.8925065037408
1767,26.8528464751355,80.310682044414
1766,94.40331999302643,71.9114526019922
1765,91.33693006916167,65.2819595514329
1764,105.3130237350967,60.8587133501337
1763,42.78550837281606,58.8951807364862
1762,19.53771861559916,59.4447393550528
1761,22.60601431589343,62.3601161319301
1760,27.65725999202046,67.3090449851731
1759,48.31498952698179,73.8045442207685
1758,314.062165790229,81.2470361929128
1757,48.16419994074056,88.9746082813331
1756,20.02162093210664,96.317118466225
1755,68.18387447762476,102.649625033304
1754,239.2053279263606,107.440779915501
1753,40.08698552385469,110.292347547198
1752,263.8851676590739,110.966843945632
1751,31.41986953158377,109.401356562441
1750,79.33301035188713,105.706808414549
