fuel,temp_k,soot_ei_kg,ice_ei_kg
Jet-A1,216,15000000000000.0,3184000000000000.0
Jet-A1,216,20000000000000.0,3059000000000000.0
Jet-A1,216,25000000000000.0,2911000000000000.0
Jet-A1,216,30000000000000.0,2818000000000000.0
Jet-A1,216,40000000000000.0,2593000000000000.0
Jet-A1,216,50000000000000.0,2414000000000000.0
Jet-A1,216,60000000000000.0,2169000000000000.0
Jet-A1,216,80000000000000.0,1837000000000000.0
Jet-A1,216,100000000000000.0,1467000000000000.0
Jet-A1,216,150000000000000.0,877600000000000.0
Jet-A1,216,200000000000000.0,495100000000000.0
Jet-A1,216,250000000000000.0,348000000000000.0
Jet-A1,216,300000000000000.0,328700000000000.0
Jet-A1,216,400000000000000.0,396000000000000.0
Jet-A1,216,500000000000000.0,486900000000000.0
Jet-A1,216,600000000000000.0,578600000000000.0
Jet-A1,216,800000000000000.0,759600000000000.0
Jet-A1,216,1000000000000000.0,937100000000000.0
Jet-A1,216,1500000000000000.0,1366000000000000.0
Jet-A1,216,2000000000000000.0,1777000000000000.0
Jet-A1,216,2500000000000000.0,2173000000000000.0
Jet-A1,216,3000000000000000.0,2558000000000000.0
Jet-A1,216,4000000000000000.0,3292000000000000.0
Jet-A1,216,5000000000000000.0,3985000000000000.0
Jet-A1,216,6000000000000000.0,4643000000000000.0
Jet-A1,216,8000000000000000.0,5872000000000000.0
Jet-A1,216,1e+16,7005000000000000.0
Jet-A1,220,100000000000.0,997000000000000.0
Jet-A1,220,300000000000.0,995600000000000.0
Jet-A1,220,500000000000.0,993200000000000.0
Jet-A1,220,1000000000000.0,986500000000000.0
Jet-A1,220,3000000000000.0,958900000000000.0
Jet-A1,220,5000000000000.0,922500000000000.0
Jet-A1,220,10000000000000.0,804800000000000.0
Jet-A1,220,15000000000000.0,758700000000000.0
Jet-A1,220,20000000000000.0,692200000000000.0
Jet-A1,220,25000000000000.0,633800000000000.0
Jet-A1,220,30000000000000.0,559500000000000.0
Jet-A1,220,40000000000000.0,462000000000000.0
Jet-A1,220,50000000000000.0,371300000000000.0
Jet-A1,220,60000000000000.0,301500000000000.0
Jet-A1,220,80000000000000.0,201300000000000.0
Jet-A1,220,100000000000000.0,153300000000000.0
Jet-A1,220,150000000000000.0,155400000000000.0
Jet-A1,220,200000000000000.0,196400000000000.0
Jet-A1,220,250000000000000.0,240500000000000.0
Jet-A1,220,300000000000000.0,284500000000000.0
Jet-A1,220,400000000000000.0,370700000000000.0
Jet-A1,220,500000000000000.0,454900000000000.0
Jet-A1,220,600000000000000.0,537400000000000.0
Jet-A1,220,800000000000000.0,697800000000000.0
Jet-A1,220,1000000000000000.0,852800000000000.0
Jet-A1,220,1500000000000000.0,1221000000000000.0
Jet-A1,220,2000000000000000.0,1566000000000000.0
Jet-A1,220,2500000000000000.0,1894000000000000.0
Jet-A1,220,3000000000000000.0,2205000000000000.0
Jet-A1,220,4000000000000000.0,2780000000000000.0
Jet-A1,220,5000000000000000.0,3295000000000000.0
Jet-A1,220,6000000000000000.0,3751000000000000.0
Jet-A1,220,8000000000000000.0,4523000000000000.0
Jet-A1,220,1e+16,5141000000000000.0
SPK,218,100000000000.0,74710000000000.0
SPK,218,300000000000.0,73150000000000.0
SPK,218,500000000000.0,73070000000000.0
SPK,218,1000000000000.0,69390000000000.0
SPK,218,3000000000000.0,56460000000000.0
SPK,218,5000000000000.0,43920000000000.0
SPK,218,10000000000000.0,30770000000000.0
SPK,218,15000000000000.0,31990000000000.0
SPK,218,20000000000000.0,35070000000000.0
SPK,218,25000000000000.0,38720000000000.0
SPK,218,30000000000000.0,42660000000000.0
SPK,218,40000000000000.0,51060000000000.0
SPK,218,50000000000000.0,59830000000000.0
SPK,218,60000000000000.0,68810000000000.0
SPK,218,80000000000000.0,87120000000000.0
SPK,218,100000000000000.0,105600000000000.0
SPK,218,150000000000000.0,151900000000000.0
SPK,218,200000000000000.0,197700000000000.0
SPK,218,250000000000000.0,243000000000000.0
SPK,218,300000000000000.0,287600000000000.0
SPK,218,400000000000000.0,375100000000000.0
SPK,218,500000000000000.0,460500000000000.0
SPK,218,600000000000000.0,543900000000000.0
SPK,218,800000000000000.0,705700000000000.0
SPK,218,1000000000000000.0,861000000000000.0
SPK,218,1500000000000000.0,1228000000000000.0
SPK,218,2000000000000000.0,1572000000000000.0
SPK,218,2500000000000000.0,1897000000000000.0
SPK,218,3000000000000000.0,2206000000000000.0
SPK,218,4000000000000000.0,2784000000000000.0
SPK,218,5000000000000000.0,3315000000000000.0
SPK,218,6000000000000000.0,3808000000000000.0
SPK,218,8000000000000000.0,4703000000000000.0
SPK,218,1e+16,5491000000000000.0
SPK,216,100000000000.0,461200000000000.0
SPK,216,300000000000.0,459500000000000.0
SPK,216,500000000000.0,456500000000000.0
SPK,216,1000000000000.0,452700000000000.0
SPK,216,3000000000000.0,428900000000000.0
SPK,216,5000000000000.0,390000000000000.0
SPK,216,10000000000000.0,335200000000000.0
SPK,216,15000000000000.0,259200000000000.0
SPK,216,20000000000000.0,207600000000000.0
SPK,216,25000000000000.0,132400000000000.0
SPK,216,30000000000000.0,75960000000000.0
SPK,216,40000000000000.0,56930000000000.0
SPK,216,50000000000000.0,61340000000000.0
SPK,216,60000000000000.0,69340000000000.0
SPK,216,80000000000000.0,87750000000000.0
SPK,216,100000000000000.0,106600000000000.0
SPK,216,150000000000000.0,154000000000000.0
SPK,216,200000000000000.0,201300000000000.0
SPK,216,250000000000000.0,248200000000000.0
SPK,216,300000000000000.0,294800000000000.0
SPK,216,400000000000000.0,386700000000000.0
SPK,216,500000000000000.0,476700000000000.0
SPK,216,600000000000000.0,565200000000000.0
SPK,216,800000000000000.0,737700000000000.0
SPK,216,1000000000000000.0,905300000000000.0
SPK,216,1500000000000000.0,1305000000000000.0
SPK,216,2000000000000000.0,1682000000000000.0
SPK,216,2500000000000000.0,2041000000000000.0
SPK,216,3000000000000000.0,2385000000000000.0
SPK,216,4000000000000000.0,3034000000000000.0
SPK,216,5000000000000000.0,3643000000000000.0
SPK,216,6000000000000000.0,4209000000000000.0
SPK,216,8000000000000000.0,5247000000000000.0
SPK,216,1e+16,6190000000000000.0
SPK,220,100000000000.0,22190000000000.0
SPK,220,300000000000.0,22250000000000.0
SPK,220,500000000000.0,22340000000000.0
SPK,220,1000000000000.0,22510000000000.0
SPK,220,3000000000000.0,23320000000000.0
SPK,220,5000000000000.0,24260000000000.0
SPK,220,10000000000000.0,27090000000000.0
SPK,220,15000000000000.0,30410000000000.0
SPK,220,20000000000000.0,34060000000000.0
SPK,220,25000000000000.0,37940000000000.0
SPK,220,30000000000000.0,41970000000000.0
SPK,220,40000000000000.0,50360000000000.0
SPK,220,50000000000000.0,58990000000000.0
SPK,220,60000000000000.0,67760000000000.0
SPK,220,80000000000000.0,85450000000000.0
SPK,220,100000000000000.0,103200000000000.0
SPK,220,150000000000000.0,147200000000000.0
SPK,220,200000000000000.0,190400000000000.0
SPK,220,250000000000000.0,232700000000000.0
SPK,220,300000000000000.0,274300000000000.0
SPK,220,400000000000000.0,355200000000000.0
SPK,220,500000000000000.0,433200000000000.0
SPK,220,600000000000000.0,508900000000000.0
SPK,220,800000000000000.0,654300000000000.0
SPK,220,1000000000000000.0,793300000000000.0
SPK,220,1500000000000000.0,1119000000000000.0
SPK,220,2000000000000000.0,1419000000000000.0
SPK,220,2500000000000000.0,1701000000000000.0
SPK,220,3000000000000000.0,1963000000000000.0
SPK,220,4000000000000000.0,2446000000000000.0
SPK,220,5000000000000000.0,2881000000000000.0
SPK,220,6000000000000000.0,3269000000000000.0
SPK,220,8000000000000000.0,3940000000000000.0
SPK,220,1e+16,4491000000000000.0
