condado,estado,ibd_medio_cm,grupo_ancestria
Echols,Georgia,0.213746164481476,All
Henderson,Tennessee,0.213633357689486,All
Transylvania,North Carolina,0.213408232615539,All
Iron,Missouri,0.213357846635226,All
Union,Tennessee,0.212996449720524,All
Bedford,Virginia,0.212597405963825,All
Lincoln,Tennessee,0.212250184614993,All
Jackson,Kentucky,0.211951429799044,All
Morgan,Kentucky,0.211879824935449,All
McMinn,Tennessee,0.211573764777797,All
Blount,Alabama,0.211317342367718,All
Ashe,North Carolina,0.210957462263908,All
Dixie,Florida,0.210704674243554,All
Casey,Kentucky,0.210384212012176,All
Forrest,Mississippi,0.21037193285754,All
McCulloch,Texas,0.210297764724995,All
Cocke,Tennessee,0.210203678835934,All
Calloway,Kentucky,0.209973119460974,All
Hardin,Tennessee,0.209836791834291,All
Nacogdoches,Texas,0.209806023037833,All
Henderson,North Carolina,0.208690579466491,All
Webster,Mississippi,0.208686929854873,All
Decatur,Tennessee,0.208024555611024,All
Madison,Virginia,0.20703252296885,All
Concho,Texas,0.206899553525918,All
Cannon,Tennessee,0.206689974428422,All
Coahoma,Mississippi,0.20624326140725,All
Carroll,Tennessee,0.206089504366108,All
Meriwether,Georgia,0.205881135879236,All
Charlton,Georgia,0.205290655006863,All
Edwards,Texas,0.20448213950452,All
Montgomery,Arkansas,0.204117516050942,All
Bradley,Tennessee,0.203801605592854,All
Laurel,Kentucky,0.203751484285364,All
Oldham,Kentucky,0.203493734710951,All
Whitfield,Georgia,0.203198170043252,All
Calhoun,Florida,0.202820486243431,All
Henry,Tennessee,0.202717708279257,All
Poinsett,Arkansas,0.202690592189984,All
Wayne,Kentucky,0.202610523095231,All
Pushmataha,Oklahoma,0.202116111317959,All
Walker,Georgia,0.201968545052512,All
Pulaski,Kentucky,0.201931216153211,All
Gordon,Georgia,0.201612847234599,All
Surry,North Carolina,0.201597042699809,All
Franklin,Georgia,0.201498249049621,All
Greenville,South Carolina,0.201320093994136,All
Claiborne,Tennessee,0.20128393092002,All
Catoosa,Georgia,0.201231364168373,All
Habersham,Georgia,0.20104709517904,All
Cotton,Oklahoma,0.200899655001429,All
Childress,Texas,0.20085847638849,All
Burleigh,North Dakota,0.200706172253382,All
Jeff Davis,Georgia,0.200566948393035,All
Union,Georgia,0.200323394640705,All
Cherokee,North Carolina,0.200169888580806,All
Warren,Kentucky,0.20002193282751,All
Fayette,Alabama,0.199957311347527,All
Caldwell,North Carolina,0.199888397220072,All
Adair,Kentucky,0.199736433290379,All
Tishomingo,Mississippi,0.19875194545394,All
Fayette,Georgia,0.198579512794351,All
Wilkes,North Carolina,0.198492070569043,All
Rutherford,Tennessee,0.198198654125238,All
Buchanan,Virginia,0.19799508515991,All
Watauga,North Carolina,0.197988875549308,All
Colbert,Alabama,0.197891813850221,All
Wolfe,Kentucky,0.197780557685696,All
Carroll,Georgia,0.1977208925919,All
Lea,New Mexico,0.197421877119117,All
Pittsylvania,Virginia,0.197314679880001,All
Tuscaloosa,Alabama,0.197268317960608,All
Whitley,Kentucky,0.197261785967123,All
Wayne,West Virginia,0.197098704071445,All
Lee,Kentucky,0.197076104865925,All
Randolph,Alabama,0.197057398507988,All
Campbell,Virginia,0.196674074620432,All
Cleveland,Arkansas,0.19640154990025,All
Boyle,Kentucky,0.196105230833918,All
Van Buren,Arkansas,0.195972973443665,All
DeKalb,Alabama,0.195734983344462,All
Cumberland,Tennessee,0.195594317095552,All
Yell,Arkansas,0.195281407804945,All
Gilmer,Georgia,0.195248818623975,All
Pike,Georgia,0.195137164127046,All
Oconee,South Carolina,0.195087066048593,All
Hot Spring,Arkansas,0.194953585395812,All
Trigg,Kentucky,0.194929634687186,All
Hockley,Texas,0.194917780226735,All
Russell,Kentucky,0.194896204165146,All
Clark,Arkansas,0.194715576782573,All
Hartley,Texas,0.194518773933317,All
Polk,North Carolina,0.193615727884256,All
Rockcastle,Kentucky,0.192664356786092,All
Parker,Texas,0.192578829303828,All
Union,Mississippi,0.19245697043231,All
Person,North Carolina,0.192435131808644,All
Madison,Georgia,0.19218319940628,All
Giles,Tennessee,0.192182115193652,All
Cumberland,Kentucky,0.192077254616693,All
Fulton,Arkansas,0.192070855866648,All
Knott,Kentucky,0.191948206031757,All
Coffee,Georgia,0.191772182219403,All
Stephens,Georgia,0.191761209957533,All
Scott,Virginia,0.191485787356064,All
Haywood,North Carolina,0.191431911715528,All
Smith,Tennessee,0.191007262620446,All
Ralls,Missouri,0.19099582341532,All
Bell,Kentucky,0.190950076343699,All
Paulding,Georgia,0.190786493744879,All
Kerr,Texas,0.190785632780818,All
McDowell,North Carolina,0.190328796309067,All
Throckmorton,Texas,0.190056259440212,All
Irwin,Georgia,0.189949237999012,All
Unicoi,Tennessee,0.189903408590439,All
Lawrence,Tennessee,0.189825408765905,All
Cherokee,Georgia,0.18969235983784,All
Cleburne,Arkansas,0.189582164049639,All
Charlotte,Virginia,0.189564581720445,All
Scott,Tennessee,0.189380255243946,All
Crenshaw,Alabama,0.189168465610531,All
Meade,Kentucky,0.189056128524848,All
Monroe,Georgia,0.189054156169727,All
Todd,Kentucky,0.188970812066814,All
Irion,Texas,0.188575901113033,All
St. Clair,Alabama,0.187987500914475,All
Coosa,Alabama,0.187769313628396,All
Webster,Georgia,0.18776738842332,All
Cleburne,Alabama,0.187727065258434,All
Cimarron,Oklahoma,0.187698986436042,All
Saline,Arkansas,0.187697921018264,All
Lamar,Mississippi,0.18766119794444,All
Warren,Tennessee,0.187405075670381,All
Campbell,Tennessee,0.187085338451054,All
Anderson,Texas,0.187072771108524,All
Benton,Tennessee,0.186998176472193,All
Houston,Texas,0.186973233138197,All
Stonewall,Texas,0.186914769649357,All
Calhoun,Mississippi,0.186896754513484,All
Washington,Georgia,0.186890438896149,All
Marshall,Oklahoma,0.18685844006267,All
Boone,Missouri,0.186835649583278,All
Marshall,Kentucky,0.186477063093154,All
Humphreys,Tennessee,0.186473545665965,All
Logan,West Virginia,0.186415434484005,All
Nelson,Virginia,0.186207956659079,All
Greene,Mississippi,0.186151135732781,All
Monroe,Tennessee,0.18599628592193,All
Grayson,Texas,0.185952989515397,All
Palo Pinto,Texas,0.185839676963019,All
Pike,Kentucky,0.185815335070078,All
Limestone,Alabama,0.185754795866854,All
Dickens,Texas,0.185713297546434,All
Sequatchie,Tennessee,0.185573913290796,All
Santa Rosa,Florida,0.185490324372875,All
Houston,Alabama,0.185465628857865,All
Pontotoc,Oklahoma,0.185358633466786,All
Bartow,Georgia,0.185124931070114,All
Independence,Arkansas,0.185115109274217,All
Floyd,Kentucky,0.184795052461599,All
Bay,Florida,0.184785974263911,All
Howard,Arkansas,0.18471942010812,All
White,Arkansas,0.184680556530531,All
Bland,Virginia,0.184388221959838,All
Bacon,Georgia,0.18417559317699,All
Polk,Arkansas,0.184065703053927,All
Roger Mills,Oklahoma,0.18393963867435,All
Dent,Missouri,0.183788212905988,All
McCurtain,Oklahoma,0.183769618450747,All
Gilchrist,Florida,0.183744302982433,All
Potter,Texas,0.183656611110641,All
Coleman,Texas,0.183627590515938,All
Towns,Georgia,0.183615560345037,All
Montgomery,North Carolina,0.183363642808407,All
Union,South Carolina,0.183340777912935,All
Jackson,Georgia,0.183261094364806,All
Jones,Mississippi,0.183260641234268,All
Lee,Florida,0.183227563568645,All
Overton,Tennessee,0.183121576310982,All
Denton,Texas,0.183096113247264,All
Cooke,Texas,0.183077953562153,All
Terry,Texas,0.183065366643282,All
Butler,Kentucky,0.183056171262669,All
Elliott,Kentucky,0.182930630246318,All
Lewis,Tennessee,0.182572525184246,All
Wayne,Mississippi,0.182468216146059,All
Hopkins,Texas,0.182400504479394,All
Carson,Texas,0.182381267203072,All
Franklin,Alabama,0.182143874149416,All
Muscogee,Georgia,0.182104407395636,All
Carroll,Virginia,0.182100215034803,All
Collingsworth,Texas,0.181959964967597,All
Tate,Mississippi,0.181910904394624,All
Oldham,Texas,0.181865287538153,All
Clay,Texas,0.181633352844182,All
Oglethorpe,Georgia,0.181574377960754,All
Marshall,Alabama,0.181545483775504,All
Motley,Texas,0.181479317275885,All
Cherokee,Oklahoma,0.181460306513065,All
Comanche,Texas,0.181444403672325,All
Caswell,North Carolina,0.181433748373887,All
Lawrence,Alabama,0.181380601040795,All
Hanover,Virginia,0.181299207346763,All
Roosevelt,New Mexico,0.181224064556085,All
Okeechobee,Florida,0.181090092225869,All
Shelby,Texas,0.18104562679883,All
Stone,Missouri,0.180820760286397,All
Oregon,Missouri,0.1808070265382,All
Hawkins,Tennessee,0.180797206181605,All
Owsley,Kentucky,0.180576619336806,All
Lauderdale,Mississippi,0.179914820709271,All
Bosque,Texas,0.179887320965194,All
Alcorn,Mississippi,0.179882369610813,All
Jack,Texas,0.179840536390082,All
Franklin,North Carolina,0.179792471806878,All
Stewart,Tennessee,0.179587263264524,All
Stanly,North Carolina,0.179453883828601,All
Neshoba,Mississippi,0.179383760122637,All
Pickett,Tennessee,0.179355744554892,All
Heard,Georgia,0.179278048481638,All
Ripley,Missouri,0.17903450096786,All
Craighead,Arkansas,0.178877742984622,All
Clay,Mississippi,0.178711658913417,All
Franklin,Texas,0.178704822629475,All
Hopkins,Kentucky,0.178680069645444,All
Durham,North Carolina,0.178672005631276,All
Taney,Missouri,0.178631110869007,All
Tallapoosa,Alabama,0.178579559806248,All
Dawson,Texas,0.178446858498186,All
Walton,Florida,0.178401431313986,All
Mitchell,North Carolina,0.178393977132403,All
Coke,Texas,0.178250980342013,All
Chambers,Alabama,0.178178681384751,All
Shelby,Alabama,0.177963159276151,All
Jackson,North Carolina,0.177954700427808,All
Real,Texas,0.177906903550022,All
Lyon,Kentucky,0.177698686263754,All
Clay,Arkansas,0.177501852308263,All
Navarro,Texas,0.177342361368187,All
Colquitt,Georgia,0.177321072536825,All
Blount,Tennessee,0.177068803310903,All
Marion,Arkansas,0.176849317139849,All
Dyer,Tennessee,0.176841396823451,All
Marshall,Tennessee,0.176771506111848,All
Donley,Texas,0.176651252969384,All
Greene,Arkansas,0.176566515114268,All
Polk,Tennessee,0.176566189914731,All
Craig,Virginia,0.176531704575708,All
Stone,Mississippi,0.176525546551411,All
Graves,Kentucky,0.176280693824348,All
Monroe,Kentucky,0.176269705583255,All
Washington,Alabama,0.176253701360041,All
Baylor,Texas,0.176209907181701,All
Christian,Missouri,0.176041729299772,All
Escambia,Florida,0.175949389188864,All
Greene,North Carolina,0.175946298945418,All
Hutchinson,Texas,0.175889777091304,All
Graham,North Carolina,0.175745290628488,All
Lamar,Texas,0.175681094205844,All
Cherokee,Texas,0.175614520825515,All
Roane,Tennessee,0.175351983216024,All
Leake,Mississippi,0.175272867854317,All
Madison,Kentucky,0.175258862224653,All
Oconee,Georgia,0.175170508461812,All
Washington,Virginia,0.175164872648099,All
Curry,New Mexico,0.175158733783372,All
Haskell,Oklahoma,0.175032674706098,All
Love,Oklahoma,0.175021473357524,All
Garrard,Kentucky,0.174917719999669,All
Rutherford,North Carolina,0.174873368676193,All
Johnston,North Carolina,0.174815645326218,All
Mecklenburg,Virginia,0.174801424903311,All
Coffee,Tennessee,0.174716205037679,All
Henry,Kentucky,0.174570705272036,All
Guilford,North Carolina,0.174537474533593,All
Reagan,Texas,0.174529031964506,All
Harlan,Kentucky,0.174519068290939,All
Long,Georgia,0.174516448028897,All
Tippah,Mississippi,0.174487283607191,All
Searcy,Arkansas,0.174486764685794,All
Lawrence,Kentucky,0.174381052887497,All
Elmore,Alabama,0.174285362586759,All
Lincoln,North Carolina,0.174243877402979,All
DeKalb,Tennessee,0.174141213662753,All
Summers,West Virginia,0.17406899187043,All
Floyd,Virginia,0.174061551741994,All
Sharp,Arkansas,0.173915386118466,All
Cleveland,North Carolina,0.173671510972826,All
Lafayette,Mississippi,0.173557685044012,All
Chester,Tennessee,0.173523388872899,All
Haywood,Tennessee,0.173487685911301,All
Anderson,Tennessee,0.173253457872595,All
Lincoln,Georgia,0.173210786148232,All
Sequoyah,Oklahoma,0.173188449089175,All
Carter,Oklahoma,0.173099070918036,All
Randolph,Arkansas,0.173015883511104,All
Bryan,Oklahoma,0.172949588232485,All
Banks,Georgia,0.172895930284476,All
Robertson,Tennessee,0.172839096901418,All
Johnston,Oklahoma,0.172607678100573,All
Grayson,Virginia,0.172486444958173,All
Meigs,Tennessee,0.1724604703513,All
Perry,Tennessee,0.172400089569162,All
Henderson,Texas,0.172398747674476,All
Greene,Georgia,0.172363853438902,All
Llano,Texas,0.172354552285279,All
Clinton,Kentucky,0.172316918903716,All
Walton,Georgia,0.172313627769354,All
Walker,Alabama,0.172110989513296,All
Liberty,Florida,0.172106878525661,All
Muhlenberg,Kentucky,0.172103700579819,All
Newton,Mississippi,0.172083235361374,All
Boone,West Virginia,0.172026896029291,All
Marion,Georgia,0.171887359912993,All
Mason,Texas,0.17182940117147,All
Lynn,Texas,0.171768441163743,All
Lawrence,Arkansas,0.171717155864407,All
Brunswick,Virginia,0.171699855714705,All
Chatham,North Carolina,0.171684204683083,All
Nash,North Carolina,0.171632697015605,All
Yalobusha,Mississippi,0.171464375767992,All
Anderson,South Carolina,0.171444714099699,All
Mingo,West Virginia,0.171302525563712,All
Beckham,Oklahoma,0.171281772777412,All
Delaware,Oklahoma,0.171214283607122,All
Bedford,Tennessee,0.170996635351709,All
Texas,Missouri,0.170951190563428,All
Albemarle,Virginia,0.170920860603323,All
Williamson,Tennessee,0.170913615572453,All
Pike,Arkansas,0.170796104434393,All
Chattooga,Georgia,0.170781115193511,All
Bradley,Arkansas,0.170753311931369,All
Livingston,Kentucky,0.170552608549855,All
Jackson,Arkansas,0.170526246077652,All
Clay,Tennessee,0.170444301571666,All
Foard,Texas,0.170443866969673,All
Bibb,Georgia,0.170389106989427,All
Little River,Arkansas,0.170279484454053,All
Martin,Kentucky,0.170197033321112,All
Washita,Oklahoma,0.170012464728379,All
Raleigh,West Virginia,0.170003925858846,All
Gaines,Texas,0.169882977137042,All
Wilbarger,Texas,0.169846865040957,All
Kemper,Mississippi,0.169795810873321,All
Trousdale,Tennessee,0.169707393494374,All
Choctaw,Alabama,0.169559008212364,All
McCracken,Kentucky,0.169519076703991,All
Chesterfield,Virginia,0.169411786755965,All
Lincoln,West Virginia,0.169369818055394,All
Randolph,North Carolina,0.169281078831431,All
Polk,Texas,0.169221313668652,All
Brown,Texas,0.169139411760576,All
Floyd,Georgia,0.169097600700514,All
Wyoming,West Virginia,0.168905470835444,All
Monroe,Indiana,0.168903937415376,All
Beauregard,Louisiana,0.168678974130915,All
Young,Texas,0.168571915217345,All
Buncombe,North Carolina,0.168494415296963,All
Dinwiddie,Virginia,0.168393654747941,All
Callahan,Texas,0.168343812989437,All
Erath,Texas,0.168321955812255,All
Wayne,North Carolina,0.16831137800452,All
Angelina,Texas,0.168298336828511,All
Armstrong,Texas,0.168289254675078,All
Jackson,Oklahoma,0.168219554363977,All
Douglas,Missouri,0.168217400538259,All
Madison,Arkansas,0.168201013684767,All
Grady,Oklahoma,0.168129038036718,All
Tazewell,Virginia,0.167887310489593,All
Union,Louisiana,0.16780361937782,All
Jefferson Davis,Mississippi,0.167615875071669,All
Knox,Tennessee,0.167571003151728,All
Lee,Virginia,0.167446541806815,All
Hood,Texas,0.167412764429045,All
Choctaw,Mississippi,0.167364784288079,All
Hardeman,Tennessee,0.167198181187186,All
Wythe,Virginia,0.166975272270166,All
Galveston,Texas,0.166913186486663,All
Washington,Arkansas,0.166848396928043,All
Martin,Texas,0.166796585094402,All
Rains,Texas,0.166773075946654,All
Emanuel,Georgia,0.166681438070728,All
Smyth,Virginia,0.166656619949074,All
Catahoula,Louisiana,0.166529866452105,All
Boone,Arkansas,0.166450493222374,All
Warrick,Indiana,0.166385484715482,All
San Saba,Texas,0.166383862638871,All
Dickenson,Virginia,0.166307647589734,All
Panola,Texas,0.166217113671354,All
Yadkin,North Carolina,0.166215693546661,All
Gibson,Tennessee,0.166174506999114,All
McMullen,Texas,0.166116076835619,All
Lake,Tennessee,0.166048537655998,All
Union,Arkansas,0.165834864554389,All
Sevier,Tennessee,0.165816015075649,All
Garza,Texas,0.165761813957268,All
Polk,Georgia,0.165682969093008,All
Jefferson,Oklahoma,0.165492153495339,All
Mayes,Oklahoma,0.165119128760614,All
Taylor,Kentucky,0.164838829507417,All
Bowie,Texas,0.164727307070676,All
Cass,Texas,0.164643920573394,All
Wilson,Tennessee,0.164531462290508,All
Wheeler,Texas,0.164427522146133,All
Lewis,Kentucky,0.164424237685956,All
Taylor,Texas,0.164383605470291,All
Wise,Texas,0.164332614531748,All
Washington,Tennessee,0.164267122383731,All
Hardee,Florida,0.16412953659643,All
Rusk,Texas,0.164012245824824,All
Le Flore,Oklahoma,0.163929330153623,All
Montague,Texas,0.163805651320771,All
Aiken,South Carolina,0.16369045639786,All
Benton,Mississippi,0.163435543109699,All
Pickens,South Carolina,0.163199952876946,All
Flagler,Florida,0.1631933271018,All
Calhoun,Alabama,0.163088333902231,All
Houston,Tennessee,0.163005010739164,All
Crawford,Missouri,0.163004420978323,All
Collin,Texas,0.162814449836257,All
Goochland,Virginia,0.162698345836808,All
Conway,Arkansas,0.162660171559606,All
Parmer,Texas,0.162585810829991,All
Grant,Louisiana,0.162566470671584,All
Menard,Texas,0.162548111255378,All
Archer,Texas,0.162506476416452,All
McLean,Kentucky,0.162423275053967,All
Matagorda,Texas,0.0246152143411311,African American
Madison,Virginia,0.022977013949223,African American
Coahoma,Mississippi,0.0207360904757244,African American
Amite,Mississippi,0.0195439727701026,African American
Greene,Georgia,0.0181175466479864,African American
Vance,North Carolina,0.0177049071957049,African American
Clarke,Georgia,0.0176351997853283,African American
Wayne,North Carolina,0.0176129784318938,African American
Halifax,Virginia,0.0175660287160091,African American
Lee,Alabama,0.0175227452650926,African American
Kinney,Texas,0.0167506467152627,African American
Greensville,Virginia,0.0167192714778208,African American
Elbert,Georgia,0.0165590787405028,African American
Goochland,Virginia,0.015553908847988,African American
Pittsylvania,Virginia,0.0153349505936718,African American
Warren,North Carolina,0.0152836028538652,African American
Mecklenburg,Virginia,0.0147750674844633,African American
Halifax,North Carolina,0.0145078173504873,African American
Granville,North Carolina,0.0143099582572026,African American
Sabine,Louisiana,0.0141902700806283,African American
Pulaski,Illinois,0.0141231249276456,African American
Russell,Alabama,0.0136838675821235,African American
Castro,Texas,0.0136251860274322,African American
Charlotte,Virginia,0.0134314847110278,African American
Madison,Mississippi,0.0134144978071242,African American
Bullock,Alabama,0.0133705886612651,African American
Cumberland,Virginia,0.0133029715061185,African American
Trinity,Texas,0.0129167379465698,African American
Clay,Kentucky,0.0128098226411886,African American
Brunswick,Virginia,0.0127144440371191,African American
Lowndes,Alabama,0.0127103246235517,African American
Southampton,Virginia,0.0126865501821883,African American
George,Mississippi,0.0125650975710518,African American
Tunica,Mississippi,0.0123746903984052,African American
Franklin,North Carolina,0.0123070006909278,African American
Sussex,Virginia,0.0122815927628378,African American
Stafford,Virginia,0.0122288375208711,African American
Powhatan,Virginia,0.0120298446665032,African American
Grenada,Mississippi,0.012005687597169,African American
Issaquena,Mississippi,0.0119860518024317,African American
Crittenden,Arkansas,0.0119045754825223,African American
Humphreys,Mississippi,0.011893291497457,African American
Troup,Georgia,0.0118333697324662,African American
Sumter,Alabama,0.0118215206025399,African American
Dade,Georgia,0.0117938555502122,African American
Jasper,Georgia,0.0117455755867057,African American
Clay,Georgia,0.011660356302088,African American
Prince Edward,Virginia,0.0116174845537634,African American
Harris,Georgia,0.0116127970337866,African American
Choctaw,Alabama,0.0116008958938004,African American
Dinwiddie,Virginia,0.0115993244222018,African American
Charles City,Virginia,0.011586133025814,African American
Meriwether,Georgia,0.0115270486813944,African American
Chattahoochee,Georgia,0.011484126552194,African American
Leflore,Mississippi,0.0113022227935743,African American
Spotsylvania,Virginia,0.0112732621818792,African American
Lee,South Carolina,0.0112536779884982,African American
Stewart,Georgia,0.0111948046752374,African American
Northampton,North Carolina,0.0111047218747655,African American
Hanover,Virginia,0.0110635635708902,African American
Fayette,Tennessee,0.0109193121988307,African American
Caswell,North Carolina,0.0109070481757374,African American
Anson,North Carolina,0.0108165507438137,African American
Union,Mississippi,0.0107907801509977,African American
Washington,Mississippi,0.010776478313693,African American
Holmes,Mississippi,0.0107645934190735,African American
Wagoner,Oklahoma,0.0107532631091364,African American
East Carroll,Louisiana,0.0107244862721673,African American
Henry,Alabama,0.010720667698725,African American
Gates,North Carolina,0.0106916905163116,African American
Greene,North Carolina,0.0106793193381902,African American
Jones,Georgia,0.0106377286695558,African American
Union,Arkansas,0.0106356134300915,African American
Henrico,Virginia,0.0106324331170835,African American
Haywood,Tennessee,0.0105577204497633,African American
Essex,Virginia,0.0105340718166826,African American
Jefferson,Arkansas,0.0105332280779255,African American
Harrison,Texas,0.0105193181299923,African American
Amherst,Virginia,0.0105179090212225,African American
Hale,Alabama,0.0104976319255068,African American
Danville,Virginia,0.0104812907608611,African American
Falls,Texas,0.0104670372936315,African American
Iron,Missouri,0.0104221670053661,African American
Allendale,South Carolina,0.010396382255005,African American
Oglethorpe,Georgia,0.0103818151843572,African American
Durham,North Carolina,0.0103629834149175,African American
Buckingham,Virginia,0.0103484212040749,African American
Lowndes,Mississippi,0.0103448009816141,African American
Lunenburg,Virginia,0.0103424902675909,African American
Jackson,Alabama,0.0103419030999738,African American
Macon,Alabama,0.0103222291185042,African American
Macon,Georgia,0.0102866265254881,African American
DeKalb,Tennessee,0.0102843356517638,African American
Marengo,Alabama,0.0102766537194879,African American
Bertie,North Carolina,0.010253818771147,African American
Jefferson,Mississippi,0.0102188578783229,African American
Quitman,Georgia,0.0102037018327456,African American
Pickens,Alabama,0.0101920671322135,African American
Winston,Alabama,0.0101900226732598,African American
Archer,Texas,0.0101857878534614,African American
Madison,Georgia,0.010169743453933,African American
Bolivar,Mississippi,0.0101518030179629,African American
Randolph,Georgia,0.0101457640442419,African American
Wilcox,Alabama,0.0101413842990172,African American
Warren,Mississippi,0.0101062065756819,African American
Marion,Georgia,0.0100945087181613,African American
Dallas,Arkansas,0.0100772707165697,African American
Fluvanna,Virginia,0.0100722749179194,African American
Wilkinson,Mississippi,0.0100134731022824,African American
Rockdale,Georgia,0.0100090754354641,African American
Adams,Mississippi,0.0099846322987358,African American
Franklin,Virginia,0.00998076636622607,African American
Newton,Mississippi,0.00995902404837141,African American
Grady,Georgia,0.00993425171913386,African American
Sunflower,Mississippi,0.00991682249392215,African American
Chattooga,Georgia,0.00990677906816237,African American
Sharkey,Mississippi,0.00989106840138693,African American
Clay,Mississippi,0.00988457829751583,African American
Baldwin,Georgia,0.00986364943023495,African American
Seminole,Florida,0.00985246311911322,African American
Dillon,South Carolina,0.00985028822950305,African American
Warren,Georgia,0.0098299739414068,African American
Terrell,Georgia,0.00982176012073747,African American
Campbell,Virginia,0.00981542208360098,African American
Williamson,Tennessee,0.00981203532957153,African American
Prince George,Virginia,0.00980206851756447,African American
Albemarle,Virginia,0.00977777879477461,African American
Polk,North Carolina,0.00977222324435676,African American
Gadsden,Florida,0.0097609218382864,African American
Edgecombe,North Carolina,0.00973340919450905,African American
King George,Virginia,0.00972328551235672,African American
Putnam,Georgia,0.0096968627766478,African American
Howell,Missouri,0.00969676180613761,African American
Sumter,South Carolina,0.00968449678007995,African American
Taliaferro,Georgia,0.0096299397849388,African American
Montgomery,Alabama,0.00962453175809924,African American
Sumter,Georgia,0.0096114665474032,African American
Taylor,Georgia,0.00960208978221496,African American
Caroline,Virginia,0.00959342952786356,African American
Montgomery,North Carolina,0.00955015551751998,African American
Hinds,Mississippi,0.00952984862519758,African American
Desha,Arkansas,0.00952041902531653,African American
Bladen,North Carolina,0.00949689894755059,African American
Kershaw,South Carolina,0.00949659419726967,African American
Wilkes,Georgia,0.0094883751775663,African American
Tippah,Mississippi,0.00947039002942437,African American
Monroe,Alabama,0.00944954355414355,African American
Clarke,Mississippi,0.0094434383479212,African American
Nelson,Virginia,0.0094218024308774,African American
Bradley,Arkansas,0.00940422233891558,African American
Bienville,Louisiana,0.00939884710695632,African American
Panola,Texas,0.00937890947938747,African American
Appomattox,Virginia,0.00937345354276266,African American
Fairfield,South Carolina,0.00934498162334493,African American
Scotland,North Carolina,0.00934344806785436,African American
Morgan,Georgia,0.00934317121951565,African American
Quitman,Mississippi,0.00934010360833395,African American
Yazoo,Mississippi,0.00933961054215768,African American
Greene,Alabama,0.00933476847763562,African American
Talbot,Georgia,0.0093316625539545,African American
Dallas,Alabama,0.00932347196461371,African American
Person,North Carolina,0.00932263868053166,African American
McCormick,South Carolina,0.0093175174898024,African American
Carroll,Tennessee,0.0093161389773487,African American
Etowah,Alabama,0.00931239582614641,African American
Union,Louisiana,0.00930827251486638,African American
Haralson,Georgia,0.0093055229661555,African American
Jenkins,Georgia,0.00930269632264613,African American
Jefferson,Indiana,0.0092991442215765,African American
