estado,pais,ibd_medio_cm,grupo_ancestria
British Columbia,Canada,0.0668271518796049,All
Yukon,Canada,0.0667130804421787,All
Manawatu-Wanganui,New Zealand,0.0661345147463245,All
Utah,United States,0.0659123254527722,All
Nova Scotia,Canada,0.0650247156188698,All
Southland,New Zealand,0.0647471750935059,All
Iowa,United States,0.0646429284841218,All
East Renfrewshire,United Kingdom,0.0645580407318939,All
South Eleuthera,Bahamas,0.0644213594003139,All
Pembrokeshire,United Kingdom,0.0643076965509477,All
Aberdeen,United Kingdom,0.0641111401842572,All
Bay of Plenty,New Zealand,0.0640163285996206,All
Imo,Nigeria,0.0638041081125502,All
Saskatchewan,Canada,0.0631965093393669,All
Gulf,Papua New Guinea,0.0631908256236195,All
Ontario,Canada,0.0631572931465614,All
Alo,Wallis and Futuna,0.0626789095058736,All
Wellington,New Zealand,0.0619931499298083,All
Donegal,Ireland,0.0619415504859644,All
Central Abaco,Bahamas,0.0614522799897535,All
Eilean Siar,United Kingdom,0.0614214149487648,All
Monmouthshire,United Kingdom,0.0612061087683585,All
Soroca,Moldova,0.0611460551999063,All
Maine,United States,0.0609862628731229,All
"Newry, Mourne and Down",United Kingdom,0.0607349563223738,All
Vermont,United States,0.0606672030255928,All
Argyll and Bute,United Kingdom,0.0606321764314352,All
Cumbria,United Kingdom,0.0604511148252806,All
Swansea,United Kingdom,0.0600570015802129,All
Aberdeenshire,United Kingdom,0.0598812357276434,All
Zomba,Malawi,0.0597698795776044,All
Renfrewshire,United Kingdom,0.0593743224584146,All
Newfoundland and Labrador,Canada,0.059081943838169,All
Lancashire,United Kingdom,0.0589681206653057,All
Manitoba,Canada,0.0589611429762175,All
Louth,Ireland,0.0586749829677923,All
Longford,Ireland,0.0582317960875983,All
West Coast,New Zealand,0.0580682716435394,All
New Hampshire,United States,0.0576181753351438,All
Northumberland,United Kingdom,0.0575031678577242,All
South Dakota,United States,0.0573307338311749,All
Laoighis,Ireland,0.057309369768838,All
Alaska,United States,0.0571533700495548,All
Cheshire East,United Kingdom,0.0570697882224072,All
Cavan,Ireland,0.0570065418788656,All
Cheshire West and Chester,United Kingdom,0.0569307262939983,All
Southern,Zambia,0.0568334552861092,All
Orkney Islands,United Kingdom,0.0567850118923841,All
North Yorkshire,United Kingdom,0.0565909539239009,All
Vale of Glamorgan,United Kingdom,0.0564830344261598,All
Angus,United Kingdom,0.0563820599723242,All
Tipperary,Ireland,0.0562450031994519,All
Meath,Ireland,0.0560195835728118,All
Michigan,United States,0.055963020786058,All
South Gloucestershire,United Kingdom,0.0558284758170373,All
Clackmannanshire,United Kingdom,0.0557379083156137,All
Otago,New Zealand,0.0555049866251456,All
Kildare,Ireland,0.0553268274974954,All
Ayre,Isle of Man,0.0550394829948261,All
Moray,United Kingdom,0.0548593949868413,All
Monaghan,Ireland,0.0545626197286698,All
Gloucestershire,United Kingdom,0.0544631043272258,All
Merthyr Tydfil,United Kingdom,0.0541722193464877,All
Suffolk,United Kingdom,0.0536863143024219,All
North Dakota,United States,0.0536389563965568,All
Offaly,Ireland,0.0534461326060451,All
Staffordshire,United Kingdom,0.0533941921974991,All
Hawaii,United States,0.0532894408827094,All
Fife,United Kingdom,0.0532402319351726,All
New York,United States,0.0528943563423162,All
Leitrim,Ireland,0.052690014746248,All
New South Wales,Australia,0.0526882913293063,All
Northamptonshire,United Kingdom,0.0520388713368511,All
Dublin,Ireland,0.051773446065465,All
Udon Thani,Thailand,0.0516247918009939,All
Wexford,Ireland,0.0515913603945355,All
North Somerset,United Kingdom,0.0515595814758861,All
Wiltshire,United Kingdom,0.0510989937987731,All
Canterbury,New Zealand,0.0510530242673622,All
Derbyshire,United Kingdom,0.0508768577942053,All
Rutland,United Kingdom,0.0508529419224599,All
Nuevo Leon,Mexico,0.0507972566024601,All
Worcestershire,United Kingdom,0.0507041359527772,All
Pennsylvania,United States,0.0506989101034267,All
Falkirk,United Kingdom,0.0506927952061736,All
East Riding of Yorkshire,United Kingdom,0.0505924843488622,All
Rotuma,Fiji,0.0505307205430339,All
Midlothian,United Kingdom,0.050491004651204,All
Victoria,Australia,0.0503385222132408,All
Quebec,Canada,0.0503323494960002,All
North Lanarkshire,United Kingdom,0.050108699976413,All
Clare,Ireland,0.0500313668658589,All
Lincolnshire,United Kingdom,0.0499496304411159,All
Limerick,Ireland,0.0499364407105269,All
Iwate,Japan,0.0498379500540352,All
District of Columbia,United States,0.0497995806474115,All
Bridgend,United Kingdom,0.0497722672602396,All
Dorset,United Kingdom,0.0497438610243009,All
Shetland Islands,United Kingdom,0.0495136788330259,All
Cork,Ireland,0.0494720749905101,All
York,United Kingdom,0.0493584040376189,All
Devon,United Kingdom,0.0493427729383279,All
Neath Port Talbot,United Kingdom,0.0492069515027295,All
Waterford,Ireland,0.0491887007005752,All
West Lothian,United Kingdom,0.0491819856350451,All
Northwest Territories,Canada,0.0491464165273109,All
Arusha,Tanzania,0.0489596922623759,All
Wicklow,Ireland,0.0488193571017684,All
Sligo,Ireland,0.0486797217906896,All
Oxfordshire,United Kingdom,0.0482133810544772,All
Central Bedfordshire,United Kingdom,0.048117666646183,All
Kilkenny,Ireland,0.0477511399663933,All
Nelson,New Zealand,0.0476853771682731,All
Swindon,United Kingdom,0.0475765769952675,All
Milton Keynes,United Kingdom,0.0475400770592731,All
Peterborough,United Kingdom,0.047538227150557,All
Cambridgeshire,United Kingdom,0.0474685413350639,All
Galway,Ireland,0.0474645842819901,All
Norfolk,United Kingdom,0.0474499680966818,All
New Jersey,United States,0.0471596965733488,All
Belfast,United Kingdom,0.047051318919129,All
Mayo,Ireland,0.0469538926320079,All
Kerry,Ireland,0.0468798129868182,All
Dundee,United Kingdom,0.0468201693024855,All
Isle of Wight,United Kingdom,0.046707404974853,All
Warrington,United Kingdom,0.0465819439041953,All
Cornwall,United Kingdom,0.0464421015443234,All
South Australia,Australia,0.0463738553772446,All
West Yorkshire,United Kingdom,0.04634150234693,All
Queensland,Australia,0.0459247930655864,All
Carlow,Ireland,0.0459231503149286,All
Warwickshire,United Kingdom,0.0458817037982212,All
Leicestershire,United Kingdom,0.0458540404795631,All
Roscommon,Ireland,0.0458461611597518,All
West Dunbartonshire,United Kingdom,0.0458327715361745,All
Torfaen,United Kingdom,0.0456877545895663,All
North Lincolnshire,United Kingdom,0.0453889877593005,All
Isabela,Puerto Rico,0.0453488922844775,All
South Yorkshire,United Kingdom,0.0449318889545605,All
Stoke-on-Trent,United Kingdom,0.0448921640023538,All
Buckinghamshire,United Kingdom,0.0447875261243877,All
Yauco,Puerto Rico,0.0447645181107904,All
Oslo,Norway,0.0447361049612699,All
Merseyside,United Kingdom,0.0447225654679132,All
"Rhondda, Cynon, Taff",United Kingdom,0.0447123246375179,All
Gagaifomauga,Samoa,0.044585352513473,All
Western Australia,Australia,0.0445422063041951,All
Westmeath,Ireland,0.0445018685344614,All
Nottinghamshire,United Kingdom,0.0444737404876455,All
Inverclyde,United Kingdom,0.0444704416259342,All
Greater Manchester,United Kingdom,0.0443622943526076,All
Flevoland,Netherlands,0.0442504431108344,All
