condition,voc_v,ff_pct,jsc_ma_cm2,pce_pct
S4,1.141,83.13,25.7,24.37
S4,1.148,83.3,25.84,24.7
S4,1.158,83.63,26.11,25.29
S4,1.136,82.63,25.5,23.94
S4,1.156,82.21,25.81,24.52
S4,1.151,82.54,25.9,24.61
S5,1.145,83.86,25.95,24.92
S5,1.165,84.12,25.86,25.34
S5,1.143,83.7,25.84,24.72
S5,1.166,84.68,26.12,25.79
S5,1.163,85.11,26.09,25.82
S5,1.155,83.33,26.14,25.16
S5,1.152,84.74,26.01,25.39
S5,1.154,84.3,26.18,25.47
S5,1.164,84.55,25.91,25.5
S5,1.167,84.89,26.04,25.8
S5,1.15,83.52,25.87,24.85
S5,1.165,84.63,26.06,25.69
S5,1.153,83.95,26.03,25.2
S5,1.161,84.96,26.12,25.76
S5,1.149,84.36,26.02,25.22
S5,1.163,84.96,26.19,25.88
S5,1.159,84.33,25.99,25.4
S5,1.164,84.59,26.19,25.79
S5,1.157,84.77,26.02,25.52
S5,1.161,84.46,26.15,25.64
S5,1.16,84.06,25.45,24.82
S5,1.167,83.65,25.73,25.12
S5,1.151,83.87,25.86,24.96
S5,1.159,84.59,26.14,25.63
S5,1.165,84.77,25.55,25.23
S5,1.158,85.09,26.07,25.69
S5,1.167,84.47,26.17,25.8
S5,1.158,84.06,25.94,25.25
S5,1.164,83.33,25.85,25.07
S5,1.155,83.82,26.05,25.22
S5,1.152,83.86,25.95,25.07
S5,1.146,84.05,25.81,24.86
S5,1.148,84.92,25.53,24.89
S5,1.151,83.92,25.68,24.8
S5,1.142,83.8,26.12,25.0
S5,1.161,83.42,26.23,25.4
S6,1.168,82.63,25.41,24.52
S6,1.165,83.6,25.96,25.28
S6,1.164,82.94,26.19,25.28
S6,1.147,82.52,26.02,24.63
S6,1.143,82.35,26.0,24.47
S6,1.145,82.24,25.5,24.01
S6,1.163,81.58,25.38,24.08
S6,1.163,83.1,26.04,25.17
S6,1.16,83.32,25.33,24.48
S6,1.157,81.47,25.39,23.93
S6,1.157,83.52,26.13,25.25
S6,1.167,83.42,25.26,24.59
S6,1.142,82.35,25.8,24.26
S6,1.151,82.78,25.77,24.55
S6,1.157,83.35,25.55,24.64
S6,1.148,83.0,25.31,24.12
S6,1.147,82.96,26.17,24.9
S6,1.156,83.02,25.84,24.8
S6,1.15,82.23,26.1,24.68
S6,1.158,82.43,25.3,24.15
S6,1.162,82.41,25.81,24.72
S6,1.153,83.31,26.1,25.07
S6,1.158,83.21,25.78,24.84
S6,1.143,82.14,25.55,23.99
S6,1.165,83.58,26.03,25.35
S6,1.163,83.34,26.14,25.34
S6,1.141,83.38,25.54,24.3
S6,1.167,83.16,26.01,25.24
S6,1.165,83.17,25.74,24.94
S6,1.144,82.38,25.86,24.37
S6,1.155,82.85,25.37,24.28
S6,1.162,83.32,26.09,25.26
S6,1.144,82.82,25.44,24.1
S6,1.157,82.26,25.33,24.11
S6,1.166,83.44,26.08,25.37
S6,1.143,83.33,25.5,24.29
S7,1.151,79.79,25.41,23.34
S7,1.161,81.15,25.87,24.37
S7,1.161,81.04,26.02,24.48
S7,1.153,80.55,25.99,24.14
S7,1.147,79.79,25.33,23.18
S7,1.147,78.42,25.37,22.82
S7,1.157,81.47,26.0,24.51
S7,1.16,79.91,26.06,24.16
S7,1.143,80.15,25.56,23.42
S7,1.158,81.07,25.95,24.36
S7,1.151,79.74,25.84,23.72
S7,1.155,79.6,25.87,23.78
S7,1.159,78.89,25.53,23.34
S7,1.147,81.23,25.89,24.12
S7,1.149,79.37,25.63,23.37
S7,1.159,81.44,26.04,24.58
S7,1.156,80.72,26.1,24.35
S7,1.161,80.0,25.64,23.81
S7,1.152,80.54,26.07,24.19
S7,1.147,78.98,25.71,23.29
S7,1.161,79.61,26.14,24.16
S7,1.153,79.98,26.03,24.0
S7,1.15,80.72,25.93,24.07
S7,1.146,79.69,25.46,23.25
S7,1.141,79.03,25.32,22.83
S7,1.152,81.56,25.88,24.32
S7,1.142,80.2,25.42,23.28
S7,1.159,79.74,25.73,23.78
S7,1.157,81.13,26.12,24.52
S7,1.151,81.45,25.42,23.83
S7,1.162,80.48,25.94,24.26
S7,1.152,81.36,26.08,24.44
S7,1.152,80.65,25.37,23.57
S7,1.159,80.96,26.1,24.49
S7,1.141,79.68,25.76,23.42
S7,1.146,81.25,25.4,23.65
S8,1.131,81.26,25.92,23.82
S8,1.125,82.52,25.85,24.0
S8,1.137,82.54,26.13,24.52
S8,1.139,82.5,25.93,24.37
S8,1.141,82.36,26.22,24.64
S8,1.128,81.5,25.87,23.78
S8,1.135,81.68,26.14,24.23
S8,1.129,81.37,26.12,24.0
S8,1.132,82.66,25.97,24.3
S8,1.129,81.84,25.74,23.78
S8,1.142,82.51,25.87,24.38
S8,1.134,81.58,25.55,23.64
S8,1.142,82.08,25.67,24.06
S8,1.143,80.31,25.83,23.71
S8,1.125,81.36,25.85,23.66
S8,1.141,82.55,25.71,24.22
S8,1.132,82.44,25.89,24.16
S8,1.13,81.76,25.83,23.86
S8,1.139,82.4,26.19,24.58
S8,1.142,82.08,26.04,24.41
S8,1.126,81.5,25.92,23.79
S8,1.135,81.74,25.53,23.69
S8,1.13,82.02,25.92,24.02
S8,1.13,80.61,26.1,23.77
S8,1.129,82.51,25.99,24.21
S8,1.138,80.48,25.96,23.78
S8,1.14,81.46,25.49,23.67
S8,1.127,81.9,25.77,23.79
S8,1.143,82.4,26.08,24.56
S8,1.137,82.55,26.2,24.59
S8,1.135,82.48,26.13,24.46
S8,1.13,82.33,26.15,24.33
S8,1.139,81.54,25.74,23.91
S8,1.132,81.05,25.78,23.65
S8,1.134,82.52,25.7,24.05
S8,1.14,80.76,25.8,23.75
S9,1.155,81.5,25.98,24.46
S9,1.156,81.44,25.9,24.38
S9,1.16,81.79,26.09,24.75
S9,1.152,82.12,25.93,24.53
S9,1.138,81.37,26.0,24.08
S9,1.159,81.82,26.07,24.72
S9,1.146,81.83,25.74,24.14
S9,1.151,80.86,26.11,24.3
S9,1.161,81.97,26.17,24.91
S9,1.143,80.98,25.86,23.94
S9,1.158,81.86,26.15,24.79
S9,1.156,80.09,26.13,24.19
S9,1.149,81.36,25.77,24.09
S9,1.158,82.22,26.16,24.91
S9,1.153,80.49,26.0,24.13
S9,1.143,80.73,25.97,23.96
S9,1.158,81.78,26.21,24.82
S9,1.154,81.47,26.09,24.53
S9,1.139,81.01,25.77,23.78
S9,1.142,80.49,25.97,23.87
S9,1.145,82.09,25.54,24.01
S9,1.156,82.15,26.2,24.88
S9,1.158,82.13,26.16,24.88
S9,1.148,80.48,25.8,23.84
S9,1.157,81.23,25.78,24.23
S9,1.141,81.46,26.07,24.23
S9,1.147,81.6,26.03,24.36
S9,1.152,80.88,25.66,23.91
S9,1.155,80.78,25.89,24.16
S9,1.144,82.03,25.76,24.17
S9,1.161,81.18,26.09,24.59
S9,1.154,81.14,25.6,23.97
S9,1.159,81.99,26.28,24.97
S9,1.157,81.33,25.92,24.39
S9,1.151,81.21,25.61,23.94
S9,1.159,81.4,25.51,24.07
S10,1.143,80.26,26.13,23.97
S10,1.149,82.13,26.16,24.69
S10,1.139,79.99,25.66,23.38
S10,1.13,82.45,25.32,23.59
S10,1.152,82.31,26.08,24.73
S10,1.132,80.1,25.59,23.2
S10,1.141,81.18,25.39,23.52
S10,1.147,82.61,26.09,24.72
S10,1.147,82.5,25.91,24.52
S10,1.153,82.12,25.53,24.17
S10,1.149,79.93,25.35,23.28
S10,1.152,81.56,26.15,24.57
S10,1.154,82.2,26.04,24.7
S10,1.153,82.35,25.32,24.04
S10,1.152,81.27,26.1,24.44
S10,1.15,82.0,26.04,24.56
S10,1.134,81.89,25.97,24.12
S10,1.15,82.21,26.15,24.72
S10,1.142,80.36,25.42,23.33
S10,1.14,81.49,25.57,23.75
S10,1.153,82.51,26.01,24.74
S10,1.138,80.19,25.54,23.31
S10,1.133,81.73,25.36,23.48
S10,1.143,82.18,25.99,24.41
S10,1.151,80.06,25.56,23.55
S10,1.153,81.85,26.15,24.68
S10,1.147,81.61,26.05,24.38
S10,1.147,81.1,25.52,23.74
S10,1.134,81.79,25.53,23.68
S10,1.142,81.92,25.47,23.83
S10,1.144,82.43,26.09,24.6
S10,1.136,81.22,25.47,23.5
S10,1.141,82.48,25.71,24.2
S10,1.136,82.58,26.05,24.44
S10,1.133,81.49,26.03,24.03
S10,1.137,81.82,26.06,24.24
S11,1.164,81.05,25.9,24.43
S11,1.168,82.14,26.11,25.05
S11,1.17,82.64,26.21,25.34
S11,1.169,82.1,25.8,24.76
S11,1.175,82.76,25.96,25.24
S11,1.177,82.68,26.04,25.34
S11,1.176,81.94,26.17,25.22
S11,1.167,82.55,26.0,25.05
S11,1.159,81.69,26.02,24.64
S11,1.175,82.57,26.2,25.42
S11,1.175,82.32,26.14,25.28
S11,1.176,81.57,26.16,25.09
S11,1.163,81.39,25.95,24.56
S11,1.171,81.93,25.93,24.88
S11,1.177,82.58,25.97,25.24
S11,1.165,81.7,26.05,24.79
S11,1.151,81.42,26.06,24.42
S11,1.171,82.69,26.01,25.19
S11,1.175,81.98,25.65,24.71
S11,1.176,82.01,25.77,24.85
S11,1.171,82.52,25.7,24.83
S11,1.161,81.76,25.88,24.57
S11,1.173,81.61,26.04,24.93
S11,1.169,81.81,26.05,24.91
S11,1.175,82.51,26.16,25.36
S11,1.174,81.14,25.89,24.66
S11,1.176,82.45,25.94,25.15
S11,1.173,82.52,26.07,25.23
S11,1.175,82.45,26.18,25.36
S11,1.168,82.46,26.19,25.22
S11,1.172,81.96,25.54,24.53
S11,1.163,82.15,25.76,24.61
S11,1.152,81.21,26.13,24.45
S11,1.16,81.81,26.02,24.69
S11,1.174,82.07,25.92,24.97
S11,1.173,82.42,25.43,24.59
S12,1.146,80.46,26.13,24.09
S12,1.154,82.06,25.99,24.61
S12,1.163,82.54,26.1,25.05
S12,1.151,82.3,25.54,24.19
S12,1.148,80.59,25.6,23.68
S12,1.14,80.76,26.06,23.99
S12,1.153,82.16,26.02,24.65
S12,1.155,80.53,25.6,23.81
S12,1.158,81.48,25.87,24.41
S12,1.159,82.34,26.19,24.99
S12,1.161,81.8,26.13,24.82
S12,1.163,82.47,26.1,25.03
S12,1.166,82.58,25.94,24.98
S12,1.141,82.34,26.04,24.46
S12,1.152,81.98,25.7,24.27
S12,1.164,80.38,25.79,24.13
S12,1.157,82.22,25.69,24.44
S12,1.156,80.96,25.84,24.18
S12,1.145,81.5,25.53,23.82
S12,1.165,82.53,26.1,25.09
S12,1.141,81.89,25.66,23.98
S12,1.145,81.33,25.84,24.06
S12,1.156,82.43,26.18,24.95
S12,1.155,82.61,26.22,25.02
S12,1.146,80.13,26.07,23.94
S12,1.153,82.51,26.04,24.77
S12,1.156,81.65,26.03,24.57
S12,1.161,82.48,26.13,25.02
S12,1.159,81.67,25.49,24.13
S12,1.154,82.24,25.96,24.64
S12,1.161,80.55,26.18,24.48
S12,1.154,81.86,26.03,24.59
S12,1.16,80.13,25.8,23.98
S12,1.163,81.73,25.61,24.34
S12,1.145,81.45,25.8,24.06
S12,1.165,81.76,25.49,24.28
S13,1.122,81.73,25.98,23.82
S13,1.131,80.17,25.39,23.02
S13,1.146,80.37,26.08,24.02
S13,1.147,81.65,25.96,24.31
S13,1.139,81.71,26.09,24.28
S13,1.128,79.01,25.53,22.75
S13,1.121,79.27,25.56,22.71
S13,1.144,81.47,25.59,23.85
S13,1.143,80.28,25.75,23.63
S13,1.125,80.63,25.31,22.96
S13,1.133,80.34,25.29,23.02
S13,1.15,81.31,25.88,24.2
S13,1.149,81.12,25.87,24.11
S13,1.134,80.14,25.32,23.01
S13,1.123,78.11,25.94,22.75
S13,1.132,80.12,25.49,23.12
S13,1.132,79.23,25.64,23.0
S13,1.142,80.38,26.07,23.93
S13,1.141,77.92,25.61,22.77
S13,1.147,80.52,25.99,24.0
S13,1.131,81.71,26.11,24.13
S13,1.131,80.29,25.57,23.22
S13,1.143,81.61,25.86,24.12
S13,1.131,79.32,25.34,22.73
S13,1.143,81.18,26.01,24.13
S13,1.128,80.85,25.81,23.54
S13,1.148,80.76,25.88,23.99
S13,1.131,80.51,25.37,23.1
S13,1.13,81.58,26.05,24.01
S13,1.15,80.87,25.8,23.99
S13,1.142,79.6,25.31,23.01
S13,1.136,79.04,25.42,22.82
S13,1.129,78.91,25.59,22.8
S13,1.124,79.9,25.79,23.16
S13,1.141,80.73,26.0,23.95
S13,1.126,79.41,25.49,22.79
S14,1.168,84.27,26.06,25.65
S14,1.174,82.67,25.77,25.01
S14,1.153,83.99,25.67,24.86
S14,1.175,83.38,25.99,25.46
S14,1.153,84.61,26.05,25.41
S14,1.158,83.03,25.76,24.77
S14,1.172,83.6,26.05,25.52
S14,1.171,82.96,25.47,24.74
S14,1.158,84.39,25.85,25.26
S14,1.172,83.43,25.95,25.37
S14,1.173,83.05,25.63,24.97
S14,1.153,84.54,25.77,25.12
S14,1.159,84.33,26.09,25.5
S14,1.166,82.96,26.07,25.22
S14,1.175,84.11,25.82,25.52
S14,1.172,84.17,26.01,25.66
S14,1.166,82.32,25.99,24.95
S14,1.17,84.53,25.72,25.44
S14,1.167,83.55,25.53,24.89
S14,1.171,83.6,25.57,25.03
S14,1.17,84.04,26.09,25.65
S14,1.173,83.16,25.51,24.88
S14,1.169,83.48,25.52,24.9
S14,1.176,82.88,25.36,24.72
S14,1.166,83.63,25.34,24.71
S14,1.158,84.01,26.18,25.47
S14,1.175,84.31,26.06,25.82
S14,1.161,83.08,26.14,25.21
S14,1.172,83.35,25.91,25.31
S14,1.167,84.53,26.0,25.65
S14,1.173,83.99,25.97,25.59
S14,1.157,83.52,25.91,25.04
S14,1.174,84.3,25.82,25.55
S14,1.161,84.42,26.0,25.48
S14,1.173,84.25,25.72,25.42
S14,1.169,84.61,26.0,25.72
S15,1.16,83.33,25.93,25.06
S15,1.166,84.25,26.04,25.58
S15,1.168,83.09,25.42,24.67
S15,1.173,83.14,25.67,25.03
S15,1.169,83.79,26.14,25.6
S15,1.175,82.14,25.54,24.65
S15,1.174,83.97,26.04,25.67
S15,1.163,84.01,25.95,25.35
S15,1.174,84.28,26.04,25.77
S15,1.161,84.09,25.91,25.3
S15,1.166,82.32,25.89,24.85
S15,1.164,83.25,26.01,25.2
S15,1.173,84.1,26.14,25.79
S15,1.162,83.97,26.09,25.46
S15,1.174,83.89,25.92,25.53
S15,1.162,83.66,25.83,25.11
S15,1.174,84.06,26.11,25.77
S15,1.153,82.11,26.17,24.78
S15,1.163,82.83,25.57,24.63
S15,1.149,83.21,25.98,24.84
S15,1.158,82.38,25.71,24.53
S15,1.157,83.28,25.97,25.02
S15,1.166,83.43,26.04,25.33
S15,1.156,84.02,25.68,24.94
S15,1.164,83.52,26.06,25.33
S15,1.163,84.24,26.1,25.57
S15,1.149,83.44,25.61,24.55
S15,1.174,82.17,25.41,24.51
S15,1.169,83.62,25.32,24.75
S15,1.158,83.31,26.08,25.16
S15,1.155,82.13,25.93,24.6
S15,1.158,84.24,25.84,25.21
S15,1.162,84.07,25.63,25.04
S15,1.158,82.51,26.13,24.97
S15,1.15,84.22,25.77,24.96
S15,1.172,84.21,25.86,25.52
S16,1.143,81.75,25.46,23.79
S16,1.151,82.64,26.08,24.81
S16,1.136,82.07,26.09,24.32
S16,1.148,82.16,25.88,24.41
S16,1.148,80.92,25.77,23.94
S16,1.133,82.99,25.8,24.26
S16,1.124,76.16,25.72,22.02
S16,1.131,83.02,25.76,24.19
S16,1.139,81.67,25.51,23.73
S16,1.123,77.24,25.64,22.24
S16,1.146,79.33,25.49,23.17
S16,1.139,83.31,26.05,24.72
S16,1.145,81.23,25.63,23.84
S16,1.138,81.91,25.7,23.96
S16,1.143,81.61,26.04,24.29
S16,1.15,81.37,25.8,24.14
S16,1.15,83.04,26.04,24.87
S16,1.135,83.01,26.01,24.51
S16,1.138,82.77,25.36,23.89
S16,1.141,83.08,25.58,24.25
S16,1.132,81.98,26.03,24.16
S16,1.145,80.81,25.57,23.66
S16,1.136,81.32,25.81,23.84
S16,1.148,82.86,26.05,24.78
S16,1.129,81.39,26.1,23.98
S16,1.139,80.26,25.98,23.75
S16,1.15,81.69,25.97,24.4
S16,1.144,82.69,25.85,24.45
S16,1.147,81.36,25.53,23.82
S16,1.149,82.06,25.53,24.07
S16,1.147,81.18,25.79,24.01
S16,1.145,82.91,25.92,24.61
S16,1.145,81.38,26.02,24.25
S16,1.149,81.21,25.65,23.93
S16,1.129,82.7,25.4,23.72
S16,1.131,82.24,25.77,23.97
S17,1.139,81.37,26.13,24.22
S17,1.138,81.28,26.13,24.17
S17,1.139,80.99,26.04,24.02
S17,1.14,81.85,25.94,24.2
S17,1.133,81.3,26.07,24.01
S17,1.132,81.57,25.76,23.79
S17,1.141,81.95,26.2,24.5
S17,1.136,79.86,25.93,23.52
S17,1.137,81.83,26.1,24.28
S17,1.14,79.93,25.88,23.58
S17,1.131,80.26,25.62,23.26
S17,1.135,81.53,25.92,23.99
S17,1.131,81.64,26.18,24.17
S17,1.131,80.34,25.57,23.23
S17,1.144,81.94,26.19,24.55
S17,1.136,81.78,26.16,24.3
S17,1.129,80.81,25.9,23.63
S17,1.128,80.13,25.68,23.21
S17,1.139,81.63,26.19,24.35
S17,1.133,79.8,26.06,23.56
S17,1.135,81.35,25.96,23.97
S17,1.134,81.46,25.78,23.81
S17,1.129,80.77,25.63,23.37
S17,1.125,81.64,25.8,23.7
S17,1.146,81.74,25.66,24.04
S17,1.139,79.54,25.75,23.33
S17,1.14,82.02,26.1,24.4
S17,1.143,80.47,26.17,24.07
S17,1.135,80.75,25.34,23.22
S17,1.142,81.54,26.16,24.36
S17,1.134,81.93,25.35,23.55
S17,1.138,81.34,26.11,24.17
S17,1.134,81.38,26.18,24.16
S17,1.141,81.87,26.15,24.43
S17,1.144,80.5,25.49,23.47
S17,1.129,81.93,25.34,23.44
S18,1.176,85.06,25.42,25.43
S18,1.161,84.66,25.5,25.06
S18,1.157,83.75,25.5,24.71
S18,1.16,84.81,26.01,25.59
S18,1.165,84.17,25.55,25.05
S18,1.174,84.43,25.38,25.16
S18,1.168,84.67,25.9,25.61
S18,1.158,84.01,25.55,24.86
S18,1.167,84.77,25.98,25.7
S18,1.169,84.83,26.06,25.84
S18,1.165,84.78,25.73,25.41
S18,1.156,85.21,25.92,25.53
S18,1.165,83.82,25.45,24.85
S18,1.171,85.12,25.86,25.78
S18,1.176,83.82,25.82,25.45
S18,1.174,84.38,25.41,25.17
S18,1.161,83.94,25.48,24.83
S18,1.163,83.06,25.59,24.72
S18,1.165,83.58,25.49,24.82
S18,1.164,84.65,25.78,25.4
S18,1.164,84.22,25.32,24.82
S18,1.174,83.29,25.45,24.89
S18,1.174,85.03,26.01,25.96
S18,1.174,83.95,26.14,25.76
S18,1.17,84.55,25.83,25.55
S18,1.156,83.8,26.09,25.27
S18,1.173,84.06,25.62,25.26
S18,1.165,84.32,25.84,25.38
S18,1.167,85.05,25.99,25.8
S18,1.163,83.98,25.51,24.92
S18,1.173,84.91,25.64,25.54
S18,1.162,84.01,25.46,24.85
S18,1.168,84.88,26.17,25.94
S18,1.174,83.91,26.14,25.75
S18,1.169,84.37,26.15,25.79
S18,1.16,84.37,25.39,24.85
S19,1.176,81.71,26.05,25.03
S19,1.167,82.9,25.9,25.06
S19,1.18,82.05,26.11,25.28
S19,1.171,81.48,25.99,24.8
S19,1.18,82.45,26.17,25.46
S19,1.182,82.88,26.11,25.58
S19,1.18,82.56,26.12,25.45
S19,1.175,82.32,25.99,25.14
S19,1.179,82.16,25.77,24.96
S19,1.181,82.93,26.1,25.56
S19,1.175,82.92,25.79,25.13
S19,1.179,83.0,25.5,24.95
S19,1.175,80.77,26.18,24.85
S19,1.168,82.74,25.66,24.8
S19,1.176,83.07,25.66,25.07
S19,1.178,83.01,26.1,25.52
S19,1.174,82.83,26.15,25.43
S19,1.178,81.33,26.06,24.97
S19,1.173,83.08,26.15,25.48
S19,1.18,81.96,26.0,25.15
S19,1.182,80.72,26.09,24.89
S19,1.167,82.04,26.04,24.93
S19,1.18,82.96,26.12,25.57
S19,1.177,82.01,25.91,25.01
S19,1.178,82.79,26.14,25.49
S19,1.175,82.48,26.07,25.27
S19,1.175,81.38,25.88,24.75
S19,1.171,82.78,25.87,25.08
S19,1.178,82.79,25.87,25.23
S19,1.166,82.31,26.1,25.05
S19,1.181,82.17,26.16,25.39
S19,1.171,81.35,26.01,24.78
S19,1.171,80.98,26.15,24.8
S19,1.179,82.84,26.08,25.47
S19,1.174,81.52,26.05,24.93
S19,1.176,82.74,26.16,25.45
S20,1.137,79.86,25.34,23.01
S20,1.113,78.29,25.09,21.86
S20,1.118,78.94,24.76,21.85
S20,1.133,80.36,25.15,22.9
S20,1.122,79.19,25.69,22.83
S20,1.133,79.46,24.84,22.36
S20,1.136,80.36,25.68,23.44
S20,1.124,79.9,25.63,23.02
S20,1.111,80.3,25.27,22.54
S20,1.136,79.97,24.88,22.6
S20,1.117,78.87,24.75,21.8
S20,1.138,79.36,25.1,22.67
S20,1.126,80.5,25.59,23.2
S20,1.11,80.13,24.68,21.95
S20,1.136,78.77,25.66,22.96
S20,1.129,79.3,25.37,22.71
S20,1.124,80.67,25.44,23.07
S20,1.114,79.81,25.33,22.52
S20,1.12,79.15,24.87,22.05
S20,1.129,78.97,24.72,22.04
S20,1.123,80.78,25.74,23.35
S20,1.116,80.21,25.31,22.66
S20,1.128,79.5,24.88,22.31
S20,1.114,79.12,25.61,22.57
S20,1.134,78.81,25.04,22.38
S20,1.123,81.03,25.56,23.26
S20,1.125,80.75,25.47,23.14
S20,1.137,79.88,24.83,22.55
S20,1.121,79.08,25.73,22.81
S20,1.136,81.02,25.57,23.53
S20,1.124,78.76,25.01,22.14
S20,1.118,80.67,24.96,22.51
S20,1.124,79.2,25.71,22.89
S20,1.113,78.88,24.94,21.9
S20,1.113,80.91,25.45,22.92
S20,1.117,79.58,24.87,22.11
S21,1.133,80.75,25.74,23.55
S21,1.112,79.51,25.47,22.52
S21,1.116,76.45,25.16,21.47
S21,1.126,79.67,25.65,23.01
S21,1.125,79.66,25.62,22.96
S21,1.117,80.67,25.69,23.15
S21,1.119,76.1,25.21,21.47
S21,1.125,76.62,25.5,21.98
S21,1.119,76.31,25.35,21.65
S21,1.136,79.32,25.82,23.27
S21,1.122,79.22,25.19,22.39
S21,1.115,79.1,25.35,22.36
S21,1.116,80.3,25.44,22.8
S21,1.119,77.64,25.2,21.89
S21,1.122,79.58,25.32,22.61
S21,1.124,78.45,25.4,22.4
S21,1.136,80.55,25.79,23.6
S21,1.132,79.68,25.89,23.35
S21,1.126,76.81,25.51,22.06
S21,1.123,77.96,25.43,22.26
S21,1.117,77.39,25.5,22.04
S21,1.135,80.71,25.74,23.58
S21,1.135,80.55,25.86,23.64
S21,1.121,79.12,25.31,22.45
S21,1.13,80.51,25.8,23.47
S21,1.118,76.23,25.15,21.43
S21,1.115,80.88,25.55,23.04
S21,1.116,76.26,25.42,21.63
S21,1.113,76.85,25.12,21.49
S21,1.114,76.18,25.23,21.41
S21,1.136,80.26,25.35,23.11
S21,1.125,77.51,25.17,21.95
S21,1.127,80.08,25.87,23.35
S21,1.122,78.84,25.1,22.2
S21,1.126,79.33,25.49,22.77
S21,1.135,79.68,25.38,22.95
S22,1.156,82.39,25.6,24.38
S22,1.158,82.6,25.94,24.81
S22,1.164,81.69,26.13,24.85
S22,1.168,82.46,26.07,25.11
S22,1.166,82.34,25.83,24.8
S22,1.161,81.26,26.04,24.57
S22,1.163,82.77,26.09,25.11
S22,1.157,82.83,25.83,24.75
S22,1.163,82.63,25.8,24.79
S22,1.168,82.73,26.14,25.26
S22,1.167,82.74,25.67,24.79
S22,1.167,82.64,26.14,25.21
S22,1.16,82.94,26.12,25.13
S22,1.17,82.89,25.79,25.01
S22,1.152,81.01,26.08,24.34
S22,1.165,81.76,26.05,24.81
S22,1.169,82.54,26.16,25.24
S22,1.169,82.05,26.1,25.03
S22,1.162,82.84,25.83,24.86
S22,1.164,82.82,26.06,25.12
S22,1.169,81.42,26.17,24.91
S22,1.168,82.55,26.14,25.2
S22,1.164,82.8,26.02,25.08
S22,1.167,82.79,26.12,25.24
S22,1.152,81.58,26.14,24.57
S22,1.161,81.27,25.83,24.37
S22,1.17,82.67,25.29,24.46
S22,1.168,82.47,26.15,25.19
S22,1.153,82.01,25.73,24.33
S22,1.164,81.97,26.07,24.87
S22,1.15,82.68,25.96,24.68
S22,1.165,81.11,26.09,24.65
S22,1.168,82.5,25.76,24.82
S22,1.142,82.93,26.21,24.82
S22,1.155,82.86,25.69,24.59
S22,1.147,81.76,26.09,24.47
S23,1.152,82.48,25.93,24.64
S23,1.153,81.88,25.85,24.4
S23,1.151,82.66,25.99,24.73
S23,1.147,81.33,25.46,23.75
S23,1.138,82.45,25.66,24.08
S23,1.146,80.56,25.8,23.82
S23,1.145,81.18,25.34,23.55
S23,1.134,80.85,25.52,23.4
S23,1.151,80.67,25.64,23.81
S23,1.152,81.99,25.83,24.4
S23,1.137,82.75,26.0,24.46
S23,1.132,81.82,25.52,23.64
S23,1.137,82.09,25.96,24.23
