depth_m,age_AD,CH4
107.873,1798.62,789.6
107.878,1798.58,788.7
107.883,1798.55,789.9
107.888,1798.52,788.9
107.893,1798.48,789.1
107.898,1798.45,788.7
107.903,1798.41,789.7
107.908,1798.38,789.2
107.913,1798.35,790.3
107.918,1798.31,790
107.923,1798.28,788.9
107.928,1798.24,790.3
107.932,1798.21,790.4
107.937,1798.18,790.6
107.942,1798.14,790.1
107.948,1798.11,790.9
107.953,1798.07,791.4
107.957,1798.04,790.6
107.962,1798.01,790.7
107.967,1797.98,791.5
107.972,1797.96,792.1
107.977,1797.94,791.8
107.982,1797.92,792.8
107.987,1797.89,792.1
107.992,1797.87,792.5
107.997,1797.85,790.1
108.002,1797.83,791.3
108.007,1797.81,790.2
108.012,1797.78,789.4
108.017,1797.76,789.8
108.022,1797.74,790
108.027,1797.72,791
108.032,1797.7,789.1
108.037,1797.67,790.4
108.042,1797.65,791.3
108.047,1797.63,792.4
108.052,1797.61,791.8
108.057,1797.59,792.3
108.062,1797.56,790.8
108.067,1797.54,792.3
108.072,1797.52,792.7
108.077,1797.5,791.3
108.082,1797.48,791.3
108.087,1797.45,790.3
108.092,1797.43,790.2
108.096,1797.41,789.4
108.102,1797.39,789.3
108.106,1797.36,789
108.111,1797.34,788.4
108.116,1797.32,790.1
108.121,1797.3,789.6
108.126,1797.28,788.5
108.131,1797.25,788.7
108.136,1797.23,790.1
108.141,1797.21,791.4
108.146,1797.19,790.7
108.151,1797.17,792.4
108.156,1797.14,792.5
108.161,1797.12,793.2
108.166,1797.1,792.8
108.171,1797.08,792.3
108.176,1797.06,791.2
108.181,1797.03,790.5
108.186,1797.01,789.2
108.191,1796.99,788.1
108.196,1796.97,787.7
108.201,1796.96,787.7
108.206,1796.94,786.8
108.211,1796.92,787.9
108.216,1796.91,787.3
108.221,1796.89,788.2
108.226,1796.87,787.1
108.231,1796.85,786.5
108.236,1796.84,787.3
108.241,1796.82,787.4
108.245,1796.8,788.1
108.251,1796.79,787.2
108.255,1796.77,788.5
108.26,1796.75,788.5
108.265,1796.74,788.8
108.27,1796.72,788
108.275,1796.7,788
108.28,1796.68,788.4
108.285,1796.67,787.4
108.29,1796.65,788.2
108.295,1796.63,787.1
108.3,1796.62,789.2
108.305,1796.6,788.6
108.31,1796.58,789.9
108.315,1796.56,789.4
108.32,1796.55,789.8
108.325,1796.53,790.5
108.33,1796.51,790.2
108.335,1796.5,790.5
108.34,1796.48,789.6
108.345,1796.46,789.9
108.35,1796.44,789
108.355,1796.43,788.2
108.36,1796.41,786.6
108.366,1796.39,785.8
108.371,1796.37,786.4
108.376,1796.35,785.9
108.381,1796.34,785
108.387,1796.32,785.5
108.392,1796.3,786.3
108.397,1796.28,786.9
108.402,1796.26,783.9
108.407,1796.25,785.2
108.413,1796.23,786.2
108.418,1796.21,786.7
108.423,1796.19,785
108.428,1796.17,785.7
108.434,1796.16,784.3
108.439,1796.14,784.5
108.444,1796.12,785.1
108.449,1796.1,784.3
108.455,1796.08,785.2
108.46,1796.07,784
108.465,1796.05,785.3
108.47,1796.03,784.5
108.475,1796.01,784.7
108.481,1795.99,785.5
108.486,1795.98,784.6
108.491,1795.96,785.9
108.496,1795.94,785.2
108.501,1795.92,785.9
108.507,1795.9,785
108.512,1795.89,785.8
108.517,1795.87,784.8
108.523,1795.85,783.7
108.528,1795.83,785.1
108.533,1795.81,784.6
108.538,1795.79,784.4
108.543,1795.78,783.5
108.549,1795.76,785
108.554,1795.74,785
108.559,1795.72,785.7
108.564,1795.7,786.6
108.569,1795.69,785.8
108.575,1795.67,787.9
108.58,1795.65,785.4
108.585,1795.63,786.6
108.59,1795.61,786.1
108.596,1795.6,787.1
108.601,1795.58,784.8
108.606,1795.56,784.9
108.611,1795.54,785.2
108.617,1795.52,786.6
108.622,1795.5,786.9
108.627,1795.49,786
108.632,1795.47,786.9
108.637,1795.45,787.7
108.643,1795.43,786.4
108.648,1795.41,786
108.653,1795.4,786.1
108.658,1795.38,786.7
108.664,1795.36,787.1
108.669,1795.34,785.6
108.674,1795.32,786.9
108.679,1795.3,787.9
108.685,1795.29,785.6
108.69,1795.27,785.6
108.695,1795.25,785
108.7,1795.23,784.7
108.705,1795.21,785.4
108.711,1795.2,784.9
108.716,1795.18,786.2
108.721,1795.16,784.7
108.726,1795.14,785.7
108.732,1795.12,785.7
108.737,1795.11,786.1
108.742,1795.09,785.1
108.747,1795.07,786.3
108.752,1795.05,787.7
108.758,1795.03,786.8
108.763,1795.01,787.7
108.768,1795,789.3
108.773,1794.97,788.9
108.778,1794.94,790.2
108.784,1794.92,789.8
108.789,1794.89,789.4
108.794,1794.86,789.5
108.8,1794.84,788.5
108.805,1794.81,789.8
108.81,1794.78,791.8
108.815,1794.76,789.3
108.82,1794.73,791.3
108.826,1794.7,790.2
108.831,1794.68,790.6
108.836,1794.65,791.2
108.841,1794.62,791.4
108.847,1794.6,790.7
108.852,1794.57,792.9
108.857,1794.54,792.9
108.862,1794.52,791.7
108.868,1794.49,792.1
108.873,1794.47,792.9
108.878,1794.44,792.1
108.883,1794.41,792.1
108.888,1794.39,790.5
108.894,1794.36,790.2
108.899,1794.33,789.3
108.904,1794.31,789.5
108.909,1794.28,788.8
108.914,1794.25,789.5
108.92,1794.23,789.9
108.925,1794.2,790
108.93,1794.17,790.1
108.935,1794.15,791
108.941,1794.12,791.1
108.946,1794.09,791.4
108.951,1794.07,791.1
108.956,1794.04,791.4
108.962,1794.02,792.4
108.967,1793.99,791.6
108.972,1793.96,792.5
108.977,1793.93,791.3
108.982,1793.9,790.6
108.988,1793.87,790.8
108.993,1793.84,789.4
108.998,1793.81,789.8
109.003,1793.78,789.2
109.009,1793.76,789
109.014,1793.73,790.8
109.019,1793.7,790.2
109.024,1793.67,790.1
109.03,1793.64,791.6
109.035,1793.61,790.6
109.04,1793.58,791.3
109.045,1793.55,793.1
109.05,1793.52,791.3
109.056,1793.5,791.7
109.061,1793.47,790.2
109.066,1793.44,790.4
109.071,1793.41,791.1
109.077,1793.38,789.8
109.082,1793.35,789.7
109.087,1793.32,789.7
109.092,1793.29,789.2
109.097,1793.26,789.5
109.103,1793.24,790.2
109.108,1793.21,789
109.113,1793.18,789.4
109.118,1793.15,788.8
109.124,1793.12,789.5
109.129,1793.09,789.5
109.134,1793.06,789.5
109.139,1793.03,789.5
109.145,1793,789.4
109.15,1792.98,788.6
109.155,1792.95,787.4
109.16,1792.92,788.5
109.166,1792.9,789.4
109.171,1792.87,787.7
109.176,1792.85,787.5
109.181,1792.82,787.7
109.186,1792.8,788.8
109.192,1792.77,788.4
109.197,1792.74,787.7
109.202,1792.72,786.5
109.207,1792.69,786.3
109.212,1792.67,787.1
109.218,1792.64,786.6
109.223,1792.61,785.3
109.228,1792.59,786.4
109.233,1792.56,784.7
109.239,1792.54,786.1
109.244,1792.51,785
109.249,1792.48,785.8
109.254,1792.46,783.9
109.26,1792.43,786
109.265,1792.4,787
109.27,1792.38,786
109.275,1792.35,786.6
109.281,1792.33,786.6
109.286,1792.3,785.7
109.291,1792.28,786
109.296,1792.25,784.9
109.301,1792.22,784.7
109.307,1792.2,784.5
109.312,1792.17,783.2
109.317,1792.15,783.2
109.322,1792.12,783
109.328,1792.09,783
109.333,1792.07,782.9
109.338,1792.04,783.6
109.343,1792.02,781.7
109.348,1791.99,783.2
109.354,1791.96,782.9
109.359,1791.94,783
109.364,1791.91,784
109.369,1791.89,784
109.375,1791.86,785.3
109.38,1791.84,786.9
109.385,1791.81,786.1
109.39,1791.79,787.5
109.396,1791.76,786.9
109.401,1791.74,786
109.406,1791.71,785.7
109.411,1791.68,784.7
109.416,1791.66,784.3
109.422,1791.63,785.3
109.427,1791.61,785
109.432,1791.58,784.9
109.437,1791.56,784.9
109.443,1791.53,784.8
109.672,1790.26,787.4
109.677,1790.22,786.8
109.682,1790.19,786.4
109.687,1790.16,787.6
109.692,1790.13,786.5
109.697,1790.1,786.4
109.702,1790.07,786.2
109.708,1790.04,786
109.713,1790,788
109.718,1789.98,787.9
109.723,1789.96,787.9
109.728,1789.94,786.8
109.733,1789.92,787.9
109.738,1789.9,786.5
109.743,1789.87,786.4
109.748,1789.85,785.2
109.753,1789.83,784.8
109.759,1789.81,784.2
109.764,1789.79,786.1
109.769,1789.77,784.5
109.774,1789.75,783.9
109.779,1789.73,782.5
109.784,1789.7,781.9
109.789,1789.68,782.7
109.794,1789.66,782.4
109.799,1789.64,781.5
109.804,1789.62,781
109.809,1789.6,779.8
109.815,1789.58,779.1
109.82,1789.55,778.3
109.825,1789.53,777.7
109.83,1789.51,778.1
109.835,1789.49,777.7
109.84,1789.47,776.5
109.845,1789.45,775.5
109.85,1789.43,775.6
109.855,1789.41,776.2
109.86,1789.38,776.2
109.866,1789.36,776.7
109.871,1789.34,775
109.876,1789.32,775.8
109.881,1789.3,775.6
109.886,1789.28,774.8
109.891,1789.26,774.6
109.896,1789.23,775.6
109.901,1789.21,775.3
109.906,1789.19,776
109.911,1789.17,775.7
109.916,1789.15,776
109.921,1789.13,776.9
109.927,1789.11,775.4
109.932,1789.08,777
109.937,1789.06,776.5
109.942,1789.04,777.2
109.947,1789.02,777.6
109.952,1789,778.1
109.957,1788.98,779.5
109.962,1788.96,778.4
109.967,1788.93,779.4
109.972,1788.91,780.2
109.977,1788.89,780.9
109.982,1788.87,780.9
109.988,1788.85,781.1
109.993,1788.83,782.7
109.998,1788.8,782.1
110.003,1788.78,783.3
110.008,1788.76,781.8
110.013,1788.74,781.8
110.018,1788.72,783.2
110.023,1788.7,782.3
110.028,1788.68,783.6
110.034,1788.65,782.9
110.039,1788.63,784.7
110.044,1788.61,783.4
110.049,1788.59,783
110.054,1788.57,784.7
110.059,1788.55,783.7
110.064,1788.52,783.9
110.069,1788.5,784.7
110.074,1788.48,785.3
110.079,1788.46,784.6
110.085,1788.44,784.9
110.09,1788.42,786.2
110.095,1788.39,786.3
110.1,1788.37,785.3
110.105,1788.35,786.4
110.11,1788.33,785.7
110.115,1788.31,785.5
110.12,1788.29,785.5
110.125,1788.26,785.4
110.13,1788.24,785.6
110.135,1788.22,784.6
110.141,1788.2,784.8
110.146,1788.18,785.1
110.151,1788.16,785.2
110.156,1788.13,784.8
110.161,1788.11,783.7
110.166,1788.09,784.3
110.171,1788.07,784.7
110.176,1788.05,784
110.181,1788.03,782.7
110.186,1788,783.6
110.191,1787.99,783.2
110.196,1787.97,784.6
110.202,1787.95,782.7
