year_CE,d13c_permil,registro
1724.87172074871,-48.6633663366336,WAIS
1736.56320011563,-49.019801980198,WAIS
1756.38505456385,-49.2277227722772,WAIS
1757.89730432897,-48.9900990099009,WAIS
1785.73570860735,-48.8415841584158,WAIS
1808.51701958517,-48.4554455445544,WAIS
1829.96494904964,-48.6336633663366,WAIS
1861.23437161234,-48.7524752475247,WAIS
1890.87771915877,-48.9009900990099,WAIS
1900.45530100455,-48.3960396039603,WAIS
1962.42501987425,-47.5940594059406,WAIS
1968.86427693864,-47.3564356435643,WAIS
1975.56370600563,-47.5940594059406,WAIS
1976.8808267688,-47.0,WAIS
1976.92960901929,-47.089108910891,WAIS
1978.47438028474,-46.9108910891089,WAIS
1978.71829153718,-47.3564356435643,WAIS
1980.29558430295,-47.2376237623762,WAIS
