snapshot,variable,correlacion,rmse
21,divergencia_delta_sobre_f,0.14717045326412617,0.113912433385849
21,deformacion_alpha_sobre_f,0.5660318533993982,0.14949367940425873
21,u_m_s,0.9616097494597801,0.11352158337831497
21,v_m_s,0.9706091903317636,0.09506523609161377
22,vorticidad_zeta_sobre_f,0.7662388005565056,0.16704075038433075
22,divergencia_delta_sobre_f,0.14422975485993492,0.11319487541913986
22,deformacion_alpha_sobre_f,0.5702116297057559,0.14813271164894104
22,u_m_s,0.9605640519206161,0.10940099507570267
22,v_m_s,0.9696909453849738,0.09451693296432495
23,vorticidad_zeta_sobre_f,0.7685429764574909,0.16517123579978943
23,divergencia_delta_sobre_f,0.13884638689355902,0.11253141611814499
23,deformacion_alpha_sobre_f,0.5724659446108074,0.14643129706382751
23,u_m_s,0.9592389195624949,0.10690914839506149
23,v_m_s,0.9681730996826157,0.093949094414711
24,vorticidad_zeta_sobre_f,0.7668072902470922,0.1649681031703949
24,divergencia_delta_sobre_f,0.14173519558764047,0.11198445409536362
24,deformacion_alpha_sobre_f,0.5730526403157402,0.1453578919172287
24,u_m_s,0.9581663030830426,0.10547395795583725
24,v_m_s,0.9672317524313673,0.09273145347833633
25,vorticidad_zeta_sobre_f,0.7630710080258017,0.16639293730258942
25,divergencia_delta_sobre_f,0.15270460976423128,0.112090103328228
25,deformacion_alpha_sobre_f,0.5716035798347165,0.1458490788936615
25,u_m_s,0.9584947053426875,0.10468648374080658
25,v_m_s,0.9676073954280852,0.09084318578243256
26,vorticidad_zeta_sobre_f,0.7612777213879512,0.16780394315719604
26,divergencia_delta_sobre_f,0.16023120123467446,0.11298868060112
26,deformacion_alpha_sobre_f,0.5676743160504558,0.1474468857049942
26,u_m_s,0.9607852254103652,0.10482623428106308
26,v_m_s,0.9686710876483352,0.08911579847335815
27,vorticidad_zeta_sobre_f,0.7618639889974509,0.16761942207813263
27,divergencia_delta_sobre_f,0.15564848410954701,0.11373531073331833
27,deformacion_alpha_sobre_f,0.5623168688200919,0.14841201901435852
27,u_m_s,0.9644932686085314,0.10613780468702316
27,v_m_s,0.9682329315690675,0.09001124650239944
28,vorticidad_zeta_sobre_f,0.7624670277346453,0.16575530171394348
28,divergencia_delta_sobre_f,0.14078309037758496,0.11341283470392227
28,deformacion_alpha_sobre_f,0.5580253864148678,0.14754319190979004
28,u_m_s,0.9679782186185447,0.10683826357126236
28,v_m_s,0.9656691203275722,0.09390033036470413
29,vorticidad_zeta_sobre_f,0.7634840500667472,0.1626574844121933
29,divergencia_delta_sobre_f,0.12635438515951744,0.1122749075293541
29,deformacion_alpha_sobre_f,0.5591601219673893,0.14464576542377472
29,u_m_s,0.970442986866905,0.102863609790802
29,v_m_s,0.9634703723188325,0.09731180220842361
30,vorticidad_zeta_sobre_f,0.7672718134167269,0.15882600843906403
30,divergencia_delta_sobre_f,0.12300622778092189,0.11132340133190155
30,deformacion_alpha_sobre_f,0.5679373637818432,0.14055496454238892
30,u_m_s,0.9724066984686186,0.09296397119760513
30,v_m_s,0.9628914411310878,0.09931521117687225
31,vorticidad_zeta_sobre_f,0.7722725219202752,0.15574772655963898
31,divergencia_delta_sobre_f,0.13249903985280306,0.11116320639848709
31,deformacion_alpha_sobre_f,0.5800483697137815,0.1373356133699417
31,u_m_s,0.9737540267771101,0.08268888294696808
31,v_m_s,0.9628899221543329,0.101369708776474
32,vorticidad_zeta_sobre_f,0.7747055143002324,0.1549503356218338
32,divergencia_delta_sobre_f,0.14912138953827575,0.11160024255514145
32,deformacion_alpha_sobre_f,0.5894952456886876,0.1365044116973877
32,u_m_s,0.9738621579401114,0.07833202928304672
32,v_m_s,0.9638609146245699,0.10183558613061905
33,vorticidad_zeta_sobre_f,0.7741711874693409,0.15606890618801117
33,divergencia_delta_sobre_f,0.16210167069039724,0.11220856755971909
33,deformacion_alpha_sobre_f,0.5934076904554136,0.13736796379089355
33,u_m_s,0.9730611679056479,0.07867428660392761
33,v_m_s,0.9663242227517934,0.09998247772455215
34,vorticidad_zeta_sobre_f,0.7731030515948784,0.15719400346279144
34,divergencia_delta_sobre_f,0.1622585884713271,0.11250405758619308
34,deformacion_alpha_sobre_f,0.5912578968297426,0.13820813596248627
34,u_m_s,0.9722454206924169,0.08007895201444626
34,v_m_s,0.9682099589018166,0.10050585865974426
35,vorticidad_zeta_sobre_f,0.7736739132524668,0.15671902894973755
35,divergencia_delta_sobre_f,0.15272202482844008,0.11192961037158966
35,deformacion_alpha_sobre_f,0.5853676303162745,0.13786378502845764
35,u_m_s,0.9719684690894945,0.08122219890356064
35,v_m_s,0.968549532449018,0.107404924929142
36,vorticidad_zeta_sobre_f,0.7749037075567089,0.15483012795448303
36,divergencia_delta_sobre_f,0.14440903526365034,0.1107516884803772
36,deformacion_alpha_sobre_f,0.5781548953158872,0.13638946413993835
