plot,latitude,interaction,metric,radius_m,proportion
Rabi,2.5922,positive,richness,12,0.662420
Tai Po Kau,24.2371,positive,richness,12,0.709677
Utah,64.6870,positive,richness,12,0.642857
Wanang,6.5113,positive,richness,12,0.566540
Yasuni,2.7351,positive,richness,12,0.571429
Barro Colorado Island (BCI),10.4156,positive,richness,14,0.744681
Baishanzu,41.6342,positive,richness,14,0.628743
Chebaling,29.1729,positive,richness,14,0.595628
Dinghushan,26.3227,positive,richness,14,0.600000
Gutianshan,34.4797,positive,richness,14,0.736000
Heishiding,28.3736,positive,richness,14,0.673171
Jianfengling,27.2128,positive,richness,14,0.591398
Luquillo,21.7541,positive,richness,14,0.644068
Nanling,35.1059,positive,richness,14,0.627907
Palanan,18.3141,positive,richness,14,0.577558
Pasoh,3.7027,positive,richness,14,0.687273
Puer,36.3544,positive,richness,14,0.713656
Rabi,2.5922,positive,richness,14,0.675159
Tai Po Kau,24.2371,positive,richness,14,0.709677
Utah,64.6870,positive,richness,14,0.571429
Wanang,6.5113,positive,richness,14,0.555133
Yasuni,2.7351,positive,richness,14,0.579203
Barro Colorado Island (BCI),10.4156,positive,richness,16,0.744681
Baishanzu,41.6342,positive,richness,16,0.658683
Chebaling,29.1729,positive,richness,16,0.562842
Dinghushan,26.3227,positive,richness,16,0.635294
Gutianshan,34.4797,positive,richness,16,0.744000
Heishiding,28.3736,positive,richness,16,0.687805
Jianfengling,27.2128,positive,richness,16,0.623656
Luquillo,21.7541,positive,richness,16,0.601695
Nanling,35.1059,positive,richness,16,0.618605
Palanan,18.3141,positive,richness,16,0.551155
Pasoh,3.7027,positive,richness,16,0.711515
Puer,36.3544,positive,richness,16,0.744493
Rabi,2.5922,positive,richness,16,0.671975
Tai Po Kau,24.2371,positive,richness,16,0.729032
Utah,64.6870,positive,richness,16,0.571429
Wanang,6.5113,positive,richness,16,0.576046
Yasuni,2.7351,positive,richness,16,0.587949
