site_code,lat,lon,proteccion,proteccion_detallada,edad_mpa,biomasa_piscivoros,riqueza_peces
CAN54,28.178,-16.814,protección parcial,parcial,1.0,0.44405469515271895,-1.7993260172468948
CAN55,28.179000000000002,-16.817999999999998,protección parcial,parcial,1.0,0.913478794336868,-1.7993260172468948
CAN56,28.079,-16.738,protección parcial,parcial,1.0,-2.4821733557870593,-1.9138492785199324
CAN56,28.079,-16.738,protección parcial,parcial,1.0,0.5256525824269725,-1.5702794947008194
CAN57,28.1183,-16.7771,protección parcial,parcial,1.0,-0.05352341799358735,-1.6848027559738572
CAN58,28.021,-16.609,protección parcial,parcial,14.0,-0.4677576586370277,-1.8565876478834136
CAN59,28.022,-16.609,protección parcial,parcial,14.0,0.22628009787401918,-1.742064386610376
CAN59,28.022,-16.609,protección parcial,parcial,14.0,-1.2745582634728092,-1.8565876478834136
CAN6,27.64651,-18.0,protección total,total (grande y antigua),15.0,0.8574666783503532,-1.37940739257909
CAN61,28.22907,-16.84297,protección parcial,parcial,2.0,0.6148450682300288,-1.742064386610376
CAN62,28.17015,-16.805220000000002,protección parcial,parcial,2.0,-2.4821733557870593,-1.9138492785199324
CAN64,28.00787,-16.6613,protección parcial,parcial,15.0,-0.09790110894595305,-1.9138492785199324
CAN65,28.028140000000004,-16.59582,protección parcial,parcial,15.0,-2.4821733557870593,-2.02837253979297
CAN66,28.02627,-16.7056,protección parcial,parcial,2.0,-2.4821733557870593,-2.02837253979297
CAN67,28.042070000000002,-16.71111,protección parcial,parcial,2.0,-2.4821733557870593,-1.9138492785199324
CAN68,28.089879999999997,-16.74369,protección parcial,parcial,2.0,0.1630730558913202,-1.742064386610376
CAN69,28.153609999999997,-16.43057,sin protección,sin protección,,-1.405851378751007,-1.742064386610376
CAN7,28.42213,-16.55349,sin protección,sin protección,,-0.06344467377522148,-1.5130178640643006
CAN70,28.1346,-16.4459,sin protección,sin protección,,-2.4821733557870593,-1.9138492785199324
CAN71,28.57,-16.3338,sin protección,sin protección,,-2.4821733557870593,-1.7993260172468948
CAN72,28.5119,-16.4206,sin protección,sin protección,,-1.270599035230161,-1.8565876478834136
CAN73,28.5043,-16.4247,sin protección,sin protección,,-1.8179556434777666,-1.6848027559738572
CAN74,28.4143,-16.5602,sin protección,sin protección,,-2.4821733557870593,-1.6275411253373384
CAN77,28.17902,-17.17351,sin protección,sin protección,,-1.326658322554684,-1.5702794947008194
CAN78,28.049609999999998,-17.29956,protección parcial,parcial,18.0,0.37448409449589115,-1.885218463201673
CAN79,27.730140000000002,-17.942629999999998,sin protección,sin protección,,-0.974888399548958,-1.8565876478834136
CAN8,28.421470000000003,-16.552989999999998,sin protección,sin protección,,-2.4821733557870593,-1.6561719406555977
CAN80,27.64688,-18.003,protección total,total (grande y antigua),19.0,0.4133483388842052,-1.6561719406555977
CAN81,27.645840000000003,-17.99843,protección total,total (grande y antigua),19.0,0.48963346461816604,-1.7134335712921165
