time_bjd,flux_ppm
10272.932172929202,697.5285865986614
10272.93263357643,696.6621345345648
10272.933094223645,695.7959294942029
10272.93355487088,694.9299742997628
10272.934015518123,694.0642718720192
10272.93447616533,693.1988251832611
10272.934936812573,692.3336369881738
10272.935397459816,691.4687102397288
10272.935858107045,690.6040478540376
10272.936318754244,689.7396527492106
10272.936779401494,688.8755276468484
10272.937240048715,688.0116755905163
10272.937700695951,687.1480993735357
10272.938161343172,686.2848019328904
10272.9386219904,685.421786108753
10272.939082637622,684.5590548074654
10272.939543284843,683.6966108829668
10272.940003932086,682.8344571760958
10272.9404645793,681.9725966493717
10272.940925226536,681.1110320876778
10272.94138587375,680.2497664362139
10272.941846520993,679.388802473202
10272.942767815442,677.667791310288
10272.943228462671,676.8077497949498
10272.943689109885,675.9480215126068
10272.944149757113,675.0886092659059
10272.944610404356,674.2295159147816
10272.945071051585,673.3707443784542
10272.945992346042,671.6541780795726
10272.946452993263,670.7963890431046
10272.946913640477,669.9389332209815
10272.947374287713,669.0818134149623
10272.947834934934,668.2250325384941
10272.948295582162,667.3685934022178
10272.948756229383,666.5124988773919
10272.949216876605,665.6567517924206
10272.94967752384,664.8013549686027
10272.950138171054,663.9463113109479
10272.950598818283,663.0916235952355
10272.951059465511,662.2372946847311
10272.951520112732,661.3833274358161
10272.951980759975,660.5297246193853
10272.952441407182,659.6764891797502
10272.952902054425,658.8236238183054
10272.953362701646,657.9711314691483
10272.953823348875,657.1190149089467
10272.954283996096,656.2672769883093
10272.954744643324,655.4159205127696
10272.955205290524,654.5649483633564
10272.955665937767,653.714363229696
10272.956126584973,652.8641680814129
10272.956587232216,652.014365601472
10272.957047879416,651.1649587523926
10272.957508526666,650.3159501809464
10272.957969173873,649.4673428638631
10272.958429821101,648.6191394960983
10272.95889046833,647.7713429295928
10272.959351115565,646.9239559550033
10272.959811762787,646.0769814200518
10272.96027241,645.2304221107319
10272.960733057214,644.3842808243617
10272.96119370445,643.5385603111854
10272.961654351686,642.6932634142623
10272.9621149989,641.8483929693242
10272.962575646121,641.0039517170674
10272.963036293357,640.1599424383786
10272.963496940563,639.3163680000757
10272.963957587785,638.4732311137675
10272.96441823502,637.6305345652256
10272.964878882234,636.7882812083892
10272.965339529455,635.9464737686337
10272.965800176684,635.1051150270681
10272.966260823905,634.2642077934446
10272.966721471126,633.4237548322186
10272.967182118355,632.5837589007399
10272.967642765576,631.7442228005455
10272.96810341279,630.9051492996432
10272.968564060026,630.0665411194118
10272.969024707232,629.2284011155668
10272.96948535446,628.3907319659666
10272.969946001682,627.5535364830275
10272.970406648881,626.7168174498572
10272.970867296124,625.8805775127829
10272.97132794336,625.0448195168623
10272.972249237795,623.3747604011963
10272.972709885002,622.5404647703936
10272.97317053223,621.7066620406442
10272.973631179451,620.8733550039369
10272.974091826673,620.0405463958614
10272.974552473901,619.2082389426812
10272.975473768343,617.5451385304065
10272.976395062771,615.8840756804728
10272.976855709992,615.0543151486331
10272.97731635722,614.2250721792309
10272.977777004442,613.3963495305039
10272.978237651656,612.5681499207225
10272.978698298884,611.7404760384027
10272.979158946106,610.9133306451131
10272.979619593327,610.086716439584
10272.980080240555,609.2606361300934
10272.980540887755,608.4350924884241
10272.981001534983,607.6100881302615
10272.981462182204,606.7856258229476
10272.981922829433,605.9617082494473
10272.982383476647,605.1383381591169
10272.98284412386,604.3155182202664
10272.983304771082,603.4932511207458
10272.983765418303,602.671539573274
10272.984226065524,601.8503862736945
10272.98468671273,601.0297939385011
10272.985147359952,600.2097652089144
10272.985608007173,599.3903028009839
10272.986068654394,598.5714093967864
10272.986529301616,597.7530876790648
10272.986989948837,596.9353403283417
10272.987450596043,596.1181700542273
10272.987911243265,595.3015794781802
10272.988371890486,594.4855713018171
10272.9888325377,593.6701482065487
10272.98929318492,592.8553128367042
10272.989753832142,592.0410678690313
10272.990214479363,591.2274159756148
10272.99067512657,590.4143598343126
10272.991135773813,589.6019020219522
10272.991596421027,588.7900453105387
10272.992057068233,587.9787923095403
10272.99251771544,587.1681456597333
10272.992978362661,586.3581079876834
10272.993899657104,584.7398702361062
10272.994360304325,583.9316754419066
10272.994820951531,583.1241002471899
10272.995281598753,582.317147235445
10272.995742245967,581.5108190827534
10272.996202893202,580.7051183672751
10272.996663540416,579.9000477926253
10272.997124187623,579.0956099613886
10272.997584834844,578.291807465492
10272.99804548205,577.4886429639192
10272.998506129286,576.6861190070749
10272.998966776486,575.8842383247753
10272.999427423721,575.0830033992571
10272.99988807092,574.282416972105
10273.000348718135,573.4824815597506
10273.000809365356,572.6831997856507
10273.001270012555,571.884574295689
10273.001730659791,571.0866075891996
10273.00219130699,570.2893023933342
10273.002651954212,569.4926612014317
10273.00311260144,568.6966866269572
10273.003573248632,567.9013813393308
10273.00403389586,567.1067477956981
10273.004494543082,566.3127886550434
10273.004955190303,565.5195064870888
10273.005415837502,564.7269039046332
10273.005876484724,563.9349834116736
10273.006337131945,563.1437476134593
10273.006797779166,562.35319908704
10273.007258426373,561.5633404194575
10273.007719073572,560.7741741608941
10273.008179720815,559.9857027904775
10273.008640368014,559.197929010713
10273.009101015236,558.4108552671996
10273.009561662435,557.6244841904999
10273.010022309656,556.838818251304
10273.010943604084,555.2696121184919
10273.01140425132,554.4860769612914
10273.011864898526,553.7032571985012
10273.012325545733,552.9211553199076
10273.012786192954,552.1397738348365
10273.01324684016,551.3591153227803
10273.013707487375,550.5791822721928
10273.014168134596,549.7999772046124
10273.014628781802,549.0215026824341
10273.015089429016,548.24376118634
10273.01555007623,547.4667552403112
10273.016010723444,546.6904873590029
10273.016471370644,545.9149600786084
10273.016932017865,545.1401758405084
10273.017392665086,544.3661371837827
10273.0178533123,543.5928466239748
10273.018313959506,542.8203066573101
10273.018774606706,542.048519779792
10273.019235253934,541.2774884192562
10273.019695901141,540.5072151534184
10273.020156548355,539.7377024134453
10273.020617195576,538.9689526809071
10273.021077842783,538.2009684780087
10273.021538489997,537.4337522361383
10273.021999137203,536.6673064604033
10273.02245978441,535.9016336052846
10273.022920431617,535.1367361394744
10273.023381078852,534.3726164719342
10273.023841726052,533.6092771774936
10273.024302373266,532.846720628477
10273.024763020465,532.0849493264391
10273.025223667686,531.3239656628
10273.025684314885,530.5637721590983
10273.026144962107,529.8043711872147
10273.02660560932,529.0457652373792
10273.027526903741,527.5309481276303
10273.027987550962,526.7747418107316
10273.028448198176,526.0193402534252
10273.028908845376,525.2647458908743
10273.029369492597,524.5109610854115
10273.029830139796,523.7579883268229
10273.030290787003,523.0058299874329
10273.030751434217,522.2544884755375
10273.03121208143,521.5039662176401
10273.031672728644,520.7542656178177
10273.032133375851,520.0053890923595
10273.032594023072,519.2573390031541
10273.033054670272,518.5101178093454
10273.033515317486,517.7637278419578
10273.033975964692,517.0181715268285
10273.034436611906,516.2734512291767
10273.03489725912,515.5295693450856
10273.035357906312,514.7865282901787
10273.03581855354,514.0443303428555
10273.03627920074,513.3029779844644
10273.036739847961,512.5624735040635
10273.037200495153,511.82281934836203
10273.037661142382,511.0840177795506
10273.038121789581,510.34607125988174
10273.038582436802,509.608982066867
10273.03904308398,508.87275265543155
10273.039503731201,508.1373852346971
10273.039964378422,507.4028822265042
10273.040425025636,506.6692459816391
10273.04088567282,505.9364788753129
10273.041346320057,505.2045831170915
10273.041806967256,504.4735611807738
10273.042267614455,503.7434153332132
10273.042728261677,503.01414786790843
10273.04318890889,502.28576115185496
10273.04364955609,501.55825752074
10273.044110203296,500.8316392500767
10273.044570850496,500.10590867799465
10273.045031497702,499.381068089777
10273.045492144916,498.6571197889145
10273.045952792123,497.93406610021407
10273.04641343933,497.2119093131777
10273.046874086544,496.4906517064271
10273.04733473375,495.7702955983301
10273.047795380957,495.050843261291
10273.048256028163,494.3322969845898
10273.048716675363,493.6146590512891
10273.049177322562,492.89793173468155
10273.049637969776,492.1821172816365
10273.05009861699,491.46721798609684
10273.050559264204,490.75323611225133
10273.051019911403,490.04017394915775
10273.051480558603,489.32803372792046
10273.051941205824,488.6168176718719
10273.052401853023,487.9065281020445
10273.052862500244,487.1971671962516
10273.053323147436,486.48873728196486
10273.053783794643,485.7812405267836
10273.054244441842,485.07467920866355
10273.054705089056,484.3690555205171
10273.05516573627,483.66437171587506
10273.055626383462,482.96063005826005
10273.056547677883,481.555981904247
10273.057008325097,480.85507986583843
10273.057468972303,480.15512881960376
10273.057929619503,479.45613096711526
10273.058390266702,478.7580885077247
10273.058850913923,478.0610036052568
10273.059311561123,477.36487852212406
10273.059772208315,476.6697154308108
10273.060232855521,475.97551648448365
10273.060693502735,475.2822838849369
10273.06115414992,474.5900198632746
10273.061614797127,473.89872652203735
10273.06207544434,473.2084060559139
10273.06253609154,472.51906067224957
10273.062996738754,471.8306924886839
10273.063457385953,471.14330371278436
10273.063918033153,470.4568964835065
10273.064378680367,469.7714729318125
10273.064839327566,469.0870352539456
10273.065299974765,468.4035855748725
10273.065760621972,467.7211260246672
10273.066221269193,467.03965873584605
10273.067142563592,465.67970960853523
10273.067603210784,465.00123200776676
10273.06806385799,464.32375518468126
10273.06852450519,463.6472812951098
10273.068985152397,462.97181243204477
10273.069445799603,462.2973507211192
10273.06990644681,461.623898267316
10273.070367094017,460.9514571813911
10273.070827741216,460.28002956677307
10273.071288388415,459.6096175142339
10273.071749035622,458.9402231049977
10273.072670330035,457.6044956017267
10273.073130977235,456.9381666825745
10273.073591624434,456.2728637524938
10273.074052271633,455.6085888789419
10273.074512918833,454.94534413492715
10273.074973566047,454.2831315641482
10273.075434213246,453.62195326714703
10273.075894860445,452.9618112834033
10273.076355507645,452.30270766416504
10273.076816154844,451.6446444600142
10273.07773744925,450.33164745844624
10273.078198096464,449.67671772999654
10273.078658743663,449.0228365918725
10273.079119390863,448.370006054688
10273.079580038062,447.7182281399372
10273.080040685261,447.067504873333
10273.08050133246,446.4178382652673
10273.080961979675,445.7692303128091
10273.081422626874,445.1216830629878
10273.081883274066,444.47519851131824
10273.08234392128,443.82977861734395
10273.082804568472,443.1854254387524
10273.083265215671,442.5421409286479
