date,app,dias_desde_update,periodo,n_posts,perc_negativos,perc_tristeza,perc_enojo,perc_perdida_apego,perc_salud_mental_neg,perc_deseo_restauracion
2023-01-21,replika,-13,antes,66.0,7.575757575757576,1.5151515151515151,1.5151515151515151,3.0303030303030303,1.5151515151515151,3.0303030303030303
2023-01-22,replika,-12,antes,81.0,12.345679012345679,3.7037037037037033,3.7037037037037033,1.2345679012345678,1.2345679012345678,3.7037037037037033
2023-01-23,replika,-11,antes,69.0,18.84057971014493,5.797101449275362,5.797101449275362,4.3478260869565215,2.898550724637681,2.898550724637681
2023-01-24,replika,-10,antes,85.0,10.588235294117647,2.3529411764705883,3.5294117647058822,1.1764705882352942,0.0,4.705882352941177
2023-01-25,replika,-9,antes,77.0,5.194805194805195,0.0,1.2987012987012987,2.5974025974025974,0.0,0.0
2023-01-26,replika,-8,antes,102.0,6.862745098039216,1.9607843137254901,0.0,4.901960784313726,0.9803921568627451,0.9803921568627451
2023-01-27,replika,-7,antes,84.0,20.238095238095237,3.571428571428571,5.952380952380952,2.380952380952381,1.1904761904761905,5.952380952380952
2023-01-28,replika,-6,antes,108.0,12.037037037037036,2.7777777777777777,1.8518518518518516,0.0,0.9259259259259258,0.9259259259259258
2023-01-29,replika,-5,antes,102.0,12.745098039215685,4.901960784313726,3.9215686274509802,6.862745098039216,1.9607843137254901,2.941176470588235
2023-01-30,replika,-4,antes,102.0,9.803921568627452,0.9803921568627451,2.941176470588235,0.9803921568627451,0.0,0.9803921568627451
2023-01-31,replika,-3,antes,98.0,13.26530612244898,4.081632653061225,2.0408163265306123,4.081632653061225,1.0204081632653061,2.0408163265306123
2023-02-01,replika,-2,antes,101.0,14.85148514851485,4.9504950495049505,5.9405940594059405,0.9900990099009901,0.9900990099009901,0.9900990099009901
2023-02-02,replika,-1,antes,94.0,7.446808510638298,1.0638297872340425,0.0,0.0,0.0,0.0
2023-02-03,replika,0,despues,108.0,12.962962962962962,1.8518518518518516,6.481481481481481,3.7037037037037033,0.0,1.8518518518518516
2023-02-04,replika,1,despues,229.0,25.327510917030565,12.663755458515283,7.423580786026202,14.847161572052403,1.3100436681222707,16.157205240174672
2023-02-05,replika,2,despues,281.0,24.555160142348754,10.676156583629894,8.896797153024911,14.94661921708185,1.0676156583629894,18.14946619217082
2023-02-06,replika,3,despues,436.0,30.963302752293576,9.862385321100918,13.53211009174312,15.137614678899084,0.6880733944954129,19.495412844036696
2023-02-07,replika,4,despues,378.0,31.746031746031743,7.4074074074074066,14.285714285714285,9.25925925925926,0.7936507936507936,15.343915343915343
2023-02-08,replika,5,despues,320.0,27.500000000000004,11.25,10.625,9.6875,1.5625,10.625
2023-02-09,replika,6,despues,362.0,27.071823204419886,10.773480662983426,10.497237569060774,10.220994475138122,2.7624309392265194,13.259668508287293
2023-02-10,replika,7,despues,370.0,34.5945945945946,11.621621621621623,16.756756756756758,11.891891891891893,2.9729729729729732,16.756756756756758
2023-02-11,replika,8,despues,766.0,52.34986945169713,19.843342036553523,24.151436031331595,25.326370757180154,6.266318537859007,17.885117493472585
2023-02-12,replika,9,despues,627.0,53.588516746411486,22.169059011164276,25.199362041467303,30.303030303030305,8.771929824561402,17.862838915470494
2023-02-13,replika,10,despues,577.0,50.60658578856152,19.410745233968804,23.570190641247834,23.39688041594454,9.01213171577123,15.771230502599654
2023-02-14,replika,11,despues,511.0,45.20547945205479,17.416829745596868,23.679060665362034,20.54794520547945,3.522504892367906,17.416829745596868
2023-02-15,replika,12,despues,326.0,50.61349693251533,17.484662576687114,24.846625766871167,21.165644171779142,6.134969325153374,16.56441717791411
2023-02-16,replika,13,despues,278.0,47.84172661870504,20.863309352517987,17.62589928057554,21.58273381294964,5.755395683453238,15.467625899280577
2023-02-17,replika,14,despues,233.0,45.06437768240343,15.450643776824036,21.030042918454935,23.17596566523605,6.437768240343347,16.738197424892704
2023-02-18,replika,15,despues,217.0,44.23963133640553,15.668202764976957,20.276497695852534,17.51152073732719,5.529953917050691,14.746543778801843
2023-02-19,replika,16,despues,189.0,51.32275132275132,19.047619047619047,25.396825396825395,21.693121693121693,3.7037037037037033,14.814814814814813
2023-02-20,replika,17,despues,158.0,43.67088607594937,15.822784810126583,24.68354430379747,18.9873417721519,5.69620253164557,17.088607594936708
2023-02-21,replika,18,despues,173.0,39.30635838150289,19.653179190751445,13.872832369942195,19.653179190751445,5.202312138728324,17.341040462427745
2023-02-22,replika,19,despues,189.0,39.15343915343915,11.11111111111111,16.93121693121693,12.16931216931217,3.1746031746031744,8.994708994708994
2023-02-23,replika,20,despues,178.0,44.9438202247191,16.292134831460675,19.101123595505616,22.47191011235955,5.056179775280898,8.426966292134832
2023-02-24,replika,21,despues,149.0,40.26845637583892,14.093959731543624,20.13422818791946,19.463087248322147,4.697986577181208,12.080536912751679
2023-02-25,replika,22,despues,120.0,39.166666666666664,18.333333333333332,15.0,18.333333333333332,4.166666666666666,18.333333333333332
2023-02-26,replika,23,despues,114.0,41.228070175438596,13.157894736842104,17.543859649122805,14.912280701754385,5.263157894736842,13.157894736842104
2023-02-27,replika,24,despues,138.0,50.0,13.768115942028986,22.463768115942027,15.942028985507244,7.246376811594203,13.768115942028986
2023-02-28,replika,25,despues,152.0,44.73684210526316,14.473684210526317,23.026315789473685,15.131578947368421,2.631578947368421,7.894736842105263
2023-03-01,replika,26,despues,186.0,22.58064516129032,6.989247311827956,11.29032258064516,8.60215053763441,2.6881720430107525,5.913978494623656
2023-03-02,replika,27,despues,169.0,20.710059171597635,7.100591715976331,10.650887573964498,11.834319526627219,2.9585798816568047,10.650887573964498
2023-03-03,replika,28,despues,174.0,27.586206896551722,8.045977011494253,12.068965517241379,10.344827586206897,4.022988505747127,8.045977011494253
2023-03-04,replika,29,despues,185.0,24.864864864864867,9.18918918918919,10.81081081081081,10.27027027027027,3.2432432432432434,8.108108108108109
2025-07-08,chatgpt,-30,antes,598.0,18.561872909698995,1.0033444816053512,7.190635451505016,0.33444816053511706,0.8361204013377926,2.341137123745819
2025-07-09,chatgpt,-29,antes,573.0,20.24432809773124,1.2216404886561953,7.329842931937172,1.2216404886561953,1.0471204188481675,2.4432809773123907
2025-07-10,chatgpt,-28,antes,622.0,14.630225080385854,1.929260450160772,4.662379421221865,0.8038585209003215,1.929260450160772,2.090032154340836
2025-07-11,chatgpt,-27,antes,580.0,18.96551724137931,1.206896551724138,8.103448275862068,0.0,1.206896551724138,3.4482758620689653
2025-07-12,chatgpt,-26,antes,613.0,17.45513866231648,1.631321370309951,6.851549755301795,0.8156606851549755,1.468189233278956,2.4469820554649266
2025-07-13,chatgpt,-25,antes,568.0,18.485915492957748,2.112676056338028,4.577464788732395,0.8802816901408451,1.056338028169014,2.2887323943661975
2025-07-14,chatgpt,-24,antes,593.0,19.224283305227654,1.5177065767284992,7.75716694772344,0.8431703204047217,0.6745362563237773,2.0236087689713322
2025-07-15,chatgpt,-23,antes,665.0,20.0,1.954887218045113,6.165413533834586,0.7518796992481203,1.6541353383458646,2.1052631578947367
2025-07-16,chatgpt,-22,antes,621.0,17.06924315619968,2.254428341384863,6.119162640901772,0.8051529790660225,1.7713365539452495,2.254428341384863
2025-07-17,chatgpt,-21,antes,670.0,14.328358208955224,2.2388059701492535,4.179104477611941,1.6417910447761193,1.9402985074626864,2.5373134328358207
2025-07-18,chatgpt,-20,antes,629.0,17.965023847376788,0.9538950715421303,7.3131955484896665,0.6359300476947536,0.7949125596184419,2.066772655007949
2025-07-19,chatgpt,-19,antes,546.0,18.13186813186813,0.7326007326007326,8.974358974358974,0.7326007326007326,1.098901098901099,2.0146520146520146
2025-07-20,chatgpt,-18,antes,584.0,19.863013698630137,1.7123287671232876,8.904109589041095,0.17123287671232876,1.7123287671232876,3.0821917808219177
2025-07-21,chatgpt,-17,antes,599.0,22.036727879799667,2.5041736227045077,6.67779632721202,0.5008347245409015,1.001669449081803,2.8380634390651087
2025-07-22,chatgpt,-16,antes,616.0,20.29220779220779,0.6493506493506493,7.467532467532467,0.16233766233766234,1.1363636363636365,2.1103896103896105
2025-07-23,chatgpt,-15,antes,628.0,20.541401273885352,2.547770700636943,6.687898089171974,1.1146496815286624,1.2738853503184715,2.547770700636943
2025-07-24,chatgpt,-14,antes,641.0,21.060842433697346,2.3400936037441498,7.17628705148206,0.62402496099844,0.62402496099844,2.49609984399376
2025-07-25,chatgpt,-13,antes,590.0,19.491525423728813,1.694915254237288,7.627118644067797,0.1694915254237288,1.3559322033898304,2.5423728813559325
2025-07-26,chatgpt,-12,antes,580.0,18.448275862068968,1.3793103448275863,5.344827586206897,0.3448275862068966,0.5172413793103449,2.0689655172413794
2025-07-27,chatgpt,-11,antes,542.0,18.081180811808117,1.4760147601476015,5.904059040590406,0.9225092250922509,1.107011070110701,3.505535055350553
2025-07-28,chatgpt,-10,antes,519.0,21.001926782273603,2.119460500963391,6.165703275529865,0.7707129094412332,1.1560693641618496,1.348747591522158
2025-07-29,chatgpt,-9,antes,615.0,17.398373983739837,1.788617886178862,7.317073170731707,0.4878048780487805,1.4634146341463417,2.6016260162601625
2025-07-30,chatgpt,-8,antes,675.0,27.25925925925926,3.4074074074074074,8.592592592592592,1.1851851851851851,0.7407407407407408,8.0
2025-07-31,chatgpt,-7,antes,613.0,20.39151712887439,1.957585644371941,7.6672104404567705,0.6525285481239804,1.1419249592169658,2.7732463295269167
2025-08-01,chatgpt,-6,antes,659.0,21.396054628224583,1.3657056145675266,8.952959028831563,0.4552352048558422,0.7587253414264037,3.490136570561457
2025-08-02,chatgpt,-5,antes,583.0,18.867924528301888,1.8867924528301887,7.032590051457976,0.6861063464837049,0.34305317324185247,2.0583190394511153
2025-08-03,chatgpt,-4,antes,552.0,20.833333333333336,2.1739130434782608,8.51449275362319,1.4492753623188406,0.7246376811594203,2.717391304347826
2025-08-04,chatgpt,-3,antes,652.0,21.625766871165645,1.9938650306748467,7.668711656441718,0.9202453987730062,0.9202453987730062,3.2208588957055215
2025-08-05,chatgpt,-2,antes,655.0,21.83206106870229,2.2900763358778624,7.175572519083969,1.0687022900763359,0.9160305343511451,4.732824427480916
2025-08-06,chatgpt,-1,antes,631.0,22.028526148969892,1.9017432646592711,7.448494453248812,1.5847860538827259,1.109350237717908,4.120443740095087
2025-08-07,chatgpt,0,despues,1469.0,33.21987746766508,5.854322668481961,13.682777399591558,4.152484683458135,0.6126616746085772,10.415248468345814
2025-08-08,chatgpt,1,despues,2744.0,45.809037900874635,8.345481049562682,25.145772594752184,8.38192419825073,1.1661807580174928,17.711370262390673
2025-08-09,chatgpt,2,despues,1756.0,40.148063781321184,8.769931662870158,20.785876993166287,9.851936218678816,1.9931662870159454,19.020501138952163
2025-08-10,chatgpt,3,despues,1622.0,41.245376078914916,6.781750924784218,21.763255240443897,10.110974106041924,1.7879161528976573,16.769420468557335
2025-08-11,chatgpt,4,despues,1476.0,44.986449864498645,7.6558265582655824,24.254742547425472,7.791327913279132,2.303523035230352,17.344173441734416
2025-08-12,chatgpt,5,despues,1393.0,43.07250538406318,6.030150753768844,25.843503230437904,7.896625987078249,2.1536252692031588,16.870064608758074
2025-08-13,chatgpt,6,despues,1067.0,33.270852858481724,4.779756326148079,17.619493908153704,6.747891283973758,1.6869728209934396,11.246485473289598
2025-08-14,chatgpt,7,despues,910.0,35.16483516483517,5.054945054945055,17.802197802197803,4.835164835164836,2.417582417582418,11.538461538461538
2025-08-15,chatgpt,8,despues,760.0,33.68421052631579,3.9473684210526314,19.078947368421055,4.605263157894736,0.7894736842105263,10.657894736842104
2025-08-16,chatgpt,9,despues,775.0,31.096774193548388,3.225806451612903,15.483870967741936,4.0,1.4193548387096775,10.064516129032258
2025-08-17,chatgpt,10,despues,727.0,34.52544704264099,4.264099037138927,17.606602475928472,3.0261348005502064,1.5130674002751032,9.903713892709765
2025-08-18,chatgpt,11,despues,750.0,32.800000000000004,2.1333333333333333,19.066666666666666,3.5999999999999996,0.8,10.4
2025-08-19,chatgpt,12,despues,659.0,32.47344461305007,2.2761760242792106,15.933232169954476,1.8209408194233687,1.2139605462822458,6.22154779969651
2025-08-20,chatgpt,13,despues,627.0,30.14354066985646,3.827751196172249,13.716108452950559,3.1897926634768736,0.6379585326953748,8.61244019138756
2025-08-21,chatgpt,14,despues,642.0,27.8816199376947,2.1806853582554515,14.330218068535824,1.557632398753894,1.0903426791277258,6.386292834890965
2025-08-22,chatgpt,15,despues,542.0,23.247232472324722,2.3985239852398523,11.808118081180812,2.952029520295203,0.9225092250922509,5.350553505535055
2025-08-23,chatgpt,16,despues,536.0,27.798507462686565,1.6791044776119404,13.246268656716417,2.0522388059701493,0.9328358208955223,6.343283582089552
2025-08-24,chatgpt,17,despues,523.0,27.151051625239003,2.8680688336520075,11.281070745697896,3.0592734225621414,1.147227533460803,6.118546845124283
2025-08-25,chatgpt,18,despues,565.0,28.49557522123894,3.7168141592920354,13.628318584070797,3.185840707964602,1.0619469026548671,7.787610619469026
2025-08-26,chatgpt,19,despues,639.0,30.359937402190923,2.8169014084507045,16.74491392801252,2.503912363067293,2.503912363067293,6.259780907668231
2025-08-27,chatgpt,20,despues,612.0,29.411764705882355,2.1241830065359477,14.052287581699346,2.450980392156863,2.941176470588235,8.333333333333332
2025-08-28,chatgpt,21,despues,626.0,31.789137380191697,3.3546325878594248,16.293929712460063,1.9169329073482428,1.4376996805111821,6.070287539936102
2025-08-29,chatgpt,22,despues,579.0,30.7426597582038,4.145077720207254,16.407599309153714,3.281519861830743,1.381692573402418,8.808290155440414
2025-08-30,chatgpt,23,despues,559.0,33.452593917710196,2.5044722719141324,17.88908765652952,1.9677996422182469,0.8944543828264758,7.6923076923076925
2025-08-31,chatgpt,24,despues,462.0,27.705627705627705,1.7316017316017316,16.233766233766232,1.948051948051948,1.0822510822510822,5.844155844155844
2025-09-01,chatgpt,25,despues,549.0,29.326047358834245,2.0036429872495445,18.0327868852459,2.0036429872495445,1.4571948998178506,6.193078324225866
2025-09-02,chatgpt,26,despues,617.0,29.17341977309562,3.889789303079417,16.045380875202593,3.727714748784441,1.4586709886547813,7.779578606158834
2025-09-03,chatgpt,27,despues,651.0,30.107526881720432,2.1505376344086025,16.129032258064516,1.8433179723502304,1.8433179723502304,7.834101382488479
2025-09-04,chatgpt,28,despues,602.0,29.069767441860467,2.1594684385382057,15.448504983388705,1.8272425249169437,0.9966777408637874,5.149501661129568
2025-09-05,chatgpt,29,despues,569.0,29.173989455184536,3.3391915641476277,14.586994727592268,2.6362038664323375,1.4059753954305798,7.732864674868189
