hd_radial_d,hd_radial_intensity,hd_axial_d,hd_axial_intensity,hopg_d,hopg_intensity
1.82221,2608.33915,1.99023,11414.42307,3.18186,18.79078
1.80568,2508.618875,1.97399,11059.61538,3.1763,18.13249
1.78944,2454.3415,1.95802,10873.55769,3.17077,17.70846
1.77351,2424.318175,1.94231,10726.44231,3.16526,17.24934
1.75786,2405.4021,1.92686,10034.13462,3.15976,16.70077
1.74248,2418.1585,1.91166,8567.30769,3.15429,16.11019
1.72739,2412.587425,1.89671,6845.19231,3.14883,15.84184
1.71255,2452.2261,1.882,5577.40386,3.14339,15.55964
1.69797,2478.945225,1.86752,4850.48076,3.13798,15.06643
1.68365,2445.576925,1.85326,4400.48076,3.13258,14.91322
1.66957,2461.2296,1.83923,4106.25,3.1272,14.65772
1.65572,2487.44755,1.82542,3920.19231,3.12184,14.25988
1.64212,2513.6655,1.81182,3799.03845,3.1165,13.7464
1.62873,2522.95455,1.79843,3721.15386,3.11118,13.18399
1.61557,2557.5233,1.78524,3673.55769,3.10588,12.89142
1.60263,2578.595575,1.77225,3634.61538,3.10059,12.66902
1.58989,2573.385775,1.75945,3621.63462,3.09533,12.65617
1.57736,2594.749425,1.74685,3621.63462,3.09008,12.4921
1.56503,2625.47785,1.73443,3617.30769,3.08485,12.03347
1.5529,2669.213275,1.72219,3608.65386,3.07964,11.43894
1.54096,2686.62005,1.71013,3608.65386,3.07445,10.85824
1.52921,2761.98135,1.69824,3634.61538,3.06927,10.63733
1.51764,2805.7226,1.68652,3656.25,3.06412,10.40061
1.50624,2876.41025,1.67497,3682.21155,3.05898,10.12879
1.49503,2810.32635,1.66358,3703.84614,3.05386,9.8125
1.48398,2715.0233,1.65235,3734.13462,3.04876,9.58269
1.4731,2681.5676,1.64128,3768.75,3.04367,9.30198
1.46238,2625.862475,1.63036,3781.73076,3.0386,8.88092
1.45182,2587.325175,1.6196,3807.69231,3.03355,8.83743
1.44142,2558.88695,1.60897,3837.98076,3.02852,8.63876
1.43117,2538.164325,1.5985,3868.26924,3.0235,8.33383
1.42106,2534.149175,1.58816,3872.59614,3.0185,8.22807
1.41111,2502.669,1.57796,3881.25,3.01352,7.88015
1.4013,2500.215625,1.5679,3920.19231,3.00856,7.63848
1.39162,2491.89395,1.55797,3959.13462,3.00361,7.62909
1.38209,2484.475525,1.54817,4006.73076,2.99868,7.31527
1.37268,2483.6247,1.5385,4062.98076,2.99376,7.1591
1.36341,2479.1725,1.52895,4136.53845,2.98887,7.08299
1.35427,2481.013975,1.51953,4205.76924,2.98399,7.04494
1.34525,2486.351975,1.51023,4223.07693,2.97912,7.00342
1.33636,2461.57925,1.50104,4162.5,2.97427,6.95449
1.32759,2553.18765,1.49197,4058.65386,2.96944,6.91446
1.31894,2565.39045,1.48302,3959.13462,2.96463,6.7405
1.3104,2600.565275,1.47418,3885.57693,2.95983,6.65204
1.30198,2711.34615,1.46545,3825.0,2.95504,6.42421
1.29366,2924.347325,1.45682,3777.40386,2.95028,6.44151
1.28546,3313.69465,1.4483,3734.13462,2.94552,6.2028
1.27737,4276.08975,1.43989,3699.51924,2.94079,5.9987
1.26938,6631.04895,1.43157,3673.55769,2.93607,5.87366
1.26149,10416.923075,1.42336,3660.57693,2.93136,5.79409
1.2537,10993.82285,1.41524,3647.59614,2.92668,5.71897
1.24602,7807.2669,1.40723,3621.63462,2.922,5.52623
1.23843,5253.3683,1.3993,3591.34614,2.91735,5.37451
1.23094,3799.761075,1.39147,3574.03845,2.9127,5.24651
1.22354,3314.178325,1.38374,3569.71155,2.90808,5.10418
1.21623,3227.937075,1.37609,3561.05769,2.90346,4.99891
1.20901,3112.6282,1.36853,3543.75,2.89887,4.97074
1.20189,3133.479025,1.36106,3530.76924,2.89429,4.71128
1.19485,3183.18765,1.35367,3530.76924,2.88972,4.69596
1.18789,3258.8578,1.34637,3535.09614,2.88517,4.5734
1.18102,3312.465025,1.33915,3543.75,2.88063,4.4543
1.17423,3330.151525,1.33201,3565.38462,2.87611,4.3683
1.16753,3196.824,1.32495,3595.67307,2.8716,4.18545
1.1609,2967.57575,1.31797,3647.59614,2.86711,4.15481
1.15435,2830.681825,1.31107,3734.13462,2.86263,4.05646
1.14788,2611.3753,1.30424,3868.26924,2.85817,3.92549
1.14148,2431.678325,1.29749,4097.59614,2.85372,3.81479
1.13516,2337.301875,1.29081,4500.0,2.84929,3.78761
1.12891,2270.437075,1.2842,5352.40386,2.84487,3.68926
1.12274,2224.784375,1.27767,7169.71155,2.84046,3.57214
1.11663,2198.869475,1.27121,9687.98076,2.83607,3.5158
1.1106,2216.520975,1.26481,11258.65386,2.83169,3.47132
1.10463,2294.731925,1.25848,10557.69231,2.82733,3.34282
1.09873,2473.4557,1.25222,8363.94231,2.82298,3.22668
1.09289,2837.418425,1.24603,6481.73076,2.81864,3.25732
1.08712,3532.948725,1.2399,5525.48076,2.81432,3.17133
1.08142,4420.18065,1.23384,5036.53845,2.81001,3.06705
1.07577,4880.55945,1.22783,4737.98076,2.80572,3.04729
1.07019,4170.099075,1.22189,4608.17307,2.80144,2.95536
1.06467,3227.78555,1.21601,4582.21155,2.79717,2.8496
1.05921,2660.32635,1.21019,4599.51924,2.79291,2.8412
1.05381,2369.848475,1.20443,4647.11538,2.78867,2.7562
1.04847,2164.8077,1.19873,4699.03845,2.78445,2.69986
1.04318,1977.48835,1.19309,4755.28845,2.78023,2.65834
1.03795,1827.663175,1.1875,4776.92307,2.77603,2.66526
1.03278,1742.95455,1.18197,4694.71155,2.77185,2.59756
1.02766,1687.51165,1.17649,4495.67307,2.76767,2.55061
1.02259,1650.8683,1.17107,4244.71155,2.76351,2.50119
1.01758,1638.04195,1.1657,4028.36538,2.75936,2.43496
1.01262,1612.779725,1.16038,3842.30769,2.75523,2.41964
1.00771,1593.88695,1.15511,3682.21155,2.75111,2.3465
1.00285,1587.220275,1.1499,3539.42307,2.747,2.34057
,,1.14474,3426.92307,2.7429,2.26644
,,1.13962,3344.71155,2.73882,2.23085
,,1.13456,3288.46155,2.73474,2.21702
,,1.12954,3249.51924,2.73069,2.22641
,,1.12457,3249.51924,2.72664,2.16661
,,1.11965,3292.78845,2.72261,2.05591
,,1.11477,3405.28845,2.71859,2.11175
,,1.10994,3617.30769,2.71458,2.09989
,,1.10515,3985.09614,2.71058,1.92395
,,1.10041,4560.57693,2.7066,1.99709
,,1.09571,5330.76924,2.70262,1.9793
,,1.09106,5979.80769,2.69866,1.94916
,,1.08645,6040.38462,2.69472,1.94471
,,1.08188,5412.98076,2.69078,1.90913
,,1.07735,4525.96155,2.68686,1.76778
,,1.07286,3850.96155,2.68295,1.84191
,,1.06842,3461.53845,2.67905,1.79348
,,1.06401,3214.90386,2.67516,1.81671
,,1.05964,3011.53845,2.67128,1.75147
,,1.05531,2829.80769,2.66742,1.74554
,,1.05102,2682.69231,2.66356,1.664
,,1.04677,2574.51924,2.65972,1.63583
,,1.04255,2500.96155,2.65589,1.61062
,,1.03838,2449.03845,2.65208,1.62743
,,1.03423,2410.09614,2.64827,1.61161
,,1.03013,2384.13462,2.64447,1.59679
,,1.02606,2353.84614,2.64069,1.59135
,,1.02202,2332.21155,2.63692,1.52117
,,1.01802,2319.23076,2.63316,1.50635
,,1.01405,2306.25,2.62941,1.49547
,,1.01012,2293.26924,2.62567,1.51821
,,1.00622,2275.96155,2.62194,1.41096
,,1.00235,2262.98076,2.61822,1.43419
,,,,2.61452,1.38527
,,,,2.61082,1.40009
,,,,2.60714,1.40108
,,,,2.60347,1.365
,,,,2.5998,1.36451
,,,,2.59615,1.34079
,,,,2.59251,1.36055
,,,,2.58888,1.32893
,,,,2.58526,1.2973
,,,,2.58165,1.27901
,,,,2.57806,1.31855
,,,,2.57447,1.29482
,,,,2.57089,1.28445
,,,,2.56733,1.26418
,,,,2.56377,1.24788
,,,,2.56022,1.22218
,,,,2.55669,1.22761
,,,,2.55316,1.18363
,,,,2.54965,1.20488
,,,,2.54614,1.17523
,,,,2.54265,1.1777
,,,,2.53916,1.18758
,,,,2.53569,1.18906
,,,,2.53222,1.17473
,,,,2.52877,1.11345
,,,,2.52532,1.12877
,,,,2.52189,1.14113
,,,,2.51846,1.15546
,,,,2.51504,1.12136
,,,,2.51164,1.10554
,,,,2.50824,1.10406
,,,,2.50486,1.07688
,,,,2.50148,1.09319
,,,,2.49811,1.08182
,,,,2.49475,1.04179
,,,,2.4914,1.08034
,,,,2.48807,1.01807
,,,,2.48474,1.04327
,,,,2.48142,1.03932
,,,,2.47811,1.02548
,,,,2.4748,1.02993
,,,,2.47151,0.981
,,,,2.46823,1.02202
,,,,2.46495,0.98594
,,,,2.46169,1.01214
,,,,2.45843,0.98891
,,,,2.45519,0.99583
,,,,2.45195,1.02103
,,,,2.44872,1.00028
,,,,2.4455,0.98644
,,,,2.44229,0.99089
,,,,2.43909,0.96469
,,,,2.4359,0.94591
,,,,2.43271,0.94789
,,,,2.42954,0.93109
,,,,2.42637,0.92812
,,,,2.42321,0.94542
,,,,2.42006,0.90885
,,,,2.41692,0.94443
,,,,2.41379,0.90341
,,,,2.41067,0.93059
,,,,2.40755,0.88364
,,,,2.40444,0.89353
,,,,2.40135,0.93603
,,,,2.39826,0.85597
,,,,2.39518,0.87771
,,,,2.3921,0.86981
,,,,2.38904,0.89353
,,,,2.38598,0.87524
,,,,2.38293,0.85597
,,,,2.3799,0.87425
,,,,2.37686,0.87228
,,,,2.37384,0.90144
,,,,2.37083,0.92219
,,,,2.36782,0.92615
,,,,2.36482,0.91379
,,,,2.36183,0.91132
,,,,2.35885,0.84806
,,,,2.35587,0.8446
,,,,2.3529,0.80111
,,,,2.34994,0.80062
,,,,2.34699,0.79123
,,,,2.34405,0.78628
,,,,2.34111,0.80704
,,,,2.33819,0.80556
,,,,2.33527,0.7932
,,,,2.33235,0.76948
,,,,2.32945,0.81198
,,,,2.32655,0.7853
,,,,2.32366,0.78381
,,,,2.32078,0.78727
,,,,2.31791,0.80704
,,,,2.31504,0.76849
,,,,2.31218,0.75268
,,,,2.30933,0.79617
,,,,2.30649,0.74279
,,,,2.30365,0.77492
,,,,2.30082,0.76701
,,,,2.298,0.78332
,,,,2.29518,0.76948
,,,,2.29238,0.75861
,,,,2.28958,0.75317
,,,,2.28678,0.74625
,,,,2.284,0.75268
,,,,2.28122,0.76059
,,,,2.27845,0.75762
,,,,2.27568,0.73291
,,,,2.27293,0.76454
,,,,2.27018,0.72401
,,,,2.26744,0.71067
,,,,2.2647,0.74774
,,,,2.26197,0.71166
,,,,2.25925,0.73934
,,,,2.25654,0.76503
,,,,2.25383,0.72451
,,,,2.25113,0.72352
,,,,2.24843,0.70178
,,,,2.24575,0.70128
,,,,2.24307,0.73637
,,,,2.24039,0.70869
,,,,2.23773,0.69288
,,,,2.23507,0.70079
,,,,2.23241,0.68991
,,,,2.22977,0.70128
,,,,2.22713,0.71858
,,,,2.2245,0.66866
,,,,2.22187,0.68596
,,,,2.21925,0.73242
,,,,2.21664,0.67459
,,,,2.21403,0.69881
,,,,2.21143,0.66866
,,,,2.20884,0.69041
,,,,2.20625,0.70029
,,,,2.20367,0.70672
,,,,2.2011,0.69683
,,,,2.19853,0.66224
,,,,2.19597,0.66718
,,,,2.19341,0.65927
,,,,2.19086,0.69189
,,,,2.18832,0.6909
,,,,2.18579,0.66669
,,,,2.18326,0.68003
,,,,2.18073,0.67558
,,,,2.17822,0.69337
,,,,2.1757,0.6825
,,,,2.1732,0.67163
,,,,2.1707,0.68645
,,,,2.16821,0.67657
,,,,2.16572,0.6657
,,,,2.16324,0.66125
,,,,2.16077,0.68794
,,,,2.1583,0.67558
,,,,2.15584,0.67904
,,,,2.15338,0.65878
,,,,2.15093,0.66768
,,,,2.14849,0.65087
,,,,2.14605,0.66619
,,,,2.14362,0.63506
,,,,2.14119,0.65631
,,,,2.13877,0.66174
,,,,2.13636,0.66718
,,,,2.13395,0.65878
,,,,2.13155,0.6489
,,,,2.12915,0.64741
,,,,2.12676,0.67212
,,,,2.12438,0.66224
,,,,2.122,0.63605
,,,,2.11962,0.64593
,,,,2.11725,0.63901
,,,,2.11489,0.61578
,,,,2.11253,0.64247
,,,,2.11018,0.63357
,,,,2.10784,0.61974
,,,,2.1055,0.63308
,,,,2.10316,0.62567
,,,,2.10084,0.61628
,,,,2.09851,0.65433
,,,,2.09619,0.67262
,,,,2.09388,0.69733
,,,,2.09158,0.78233
,,,,2.08928,0.81001
,,,,2.08698,0.80605
,,,,2.08469,0.72896
,,,,2.0824,0.70573
,,,,2.08013,0.66619
,,,,2.07785,0.61924
,,,,2.07558,0.60985
,,,,2.07332,0.62962
,,,,2.07106,0.6059
,,,,2.06881,0.60046
,,,,2.06656,0.62221
,,,,2.06432,0.59107
,,,,2.06208,0.65137
,,,,2.05985,0.65087
,,,,2.05762,0.65334
,,,,2.0554,0.63654
,,,,2.05319,0.60738
,,,,2.05098,0.62913
,,,,2.04877,0.58514
,,,,2.04657,0.58069
,,,,2.04437,0.57674
,,,,2.04218,0.59008
,,,,2.04,0.59206
,,,,2.03782,0.60936
,,,,2.03564,0.61479
,,,,2.03347,0.68547
,,,,2.03131,0.87425
,,,,2.02915,1.01362
,,,,2.02699,0.97903
,,,,2.02484,0.90391
,,,,2.0227,0.8194
,,,,2.02056,0.68596
,,,,2.01842,0.60195
,,,,2.01629,0.56933
,,,,2.01416,0.58761
,,,,2.01204,0.57279
,,,,2.00993,0.55401
,,,,2.00782,0.51842
,,,,2.00571,0.555
,,,,2.00361,0.55154
,,,,2.00151,0.57971
,,,,1.99942,0.58168
,,,,1.99733,0.58317
,,,,1.99525,0.58069
,,,,1.99317,0.55846
,,,,1.9911,0.54215
,,,,1.98903,0.53622
,,,,1.98697,0.51694
,,,,1.98491,0.52386
,,,,1.98285,0.53374
,,,,1.9808,0.50459
,,,,1.97876,0.51941
,,,,1.97672,0.51645
,,,,1.97468,0.48531
,,,,1.97265,0.49866
,,,,1.97062,0.52534
,,,,1.9686,0.50162
,,,,1.96658,0.51052
,,,,1.96457,0.48976
,,,,1.96256,0.49273
,,,,1.96056,0.5031
,,,,1.95856,0.49915
,,,,1.95656,0.49569
,,,,1.95457,0.48828
,,,,1.95258,0.48235
,,,,1.9506,0.51398
,,,,1.94862,0.48334
,,,,1.94665,0.47889
,,,,1.94468,0.47988
,,,,1.94271,0.48383
,,,,1.94075,0.48086
,,,,1.9388,0.45665
,,,,1.93685,0.45615
,,,,1.9349,0.47246
,,,,1.93296,0.47197
,,,,1.93102,0.47691
,,,,1.92908,0.47493
,,,,1.92715,0.47691
,,,,1.92522,0.46258
,,,,1.9233,0.45665
,,,,1.92138,0.46505
,,,,1.91947,0.47493
,,,,1.91756,0.46208
,,,,1.91566,0.48482
,,,,1.91376,0.44578
,,,,1.91186,0.45368
,,,,1.90997,0.47592
,,,,1.90808,0.48778
,,,,1.90619,0.4695
,,,,1.90431,0.47988
,,,,1.90243,0.47098
,,,,1.90056,0.4695
,,,,1.89869,0.47296
,,,,1.89683,0.47938
,,,,1.89497,0.48482
,,,,1.89311,0.47988
,,,,1.89126,0.51496
,,,,1.88941,0.50162
,,,,1.88757,0.56439
,,,,1.88573,0.65334
,,,,1.88389,0.80309
,,,,1.88206,0.96717
,,,,1.88023,1.05563
,,,,1.8784,1.09714
,,,,1.87658,1.15744
,,,,1.87477,1.34968
,,,,1.87295,1.76976
,,,,1.87114,3.46193
,,,,1.86934,10.86022
,,,,1.86754,16.79072
,,,,1.86574,18.03958
,,,,1.86394,14.32165
,,,,1.86215,10.5805
,,,,1.86037,5.10121
,,,,1.85859,2.12806
,,,,1.85681,1.4337
,,,,1.85503,1.20488
,,,,1.85326,1.06848
,,,,1.85149,0.95679
,,,,1.84973,0.92318
,,,,1.84797,0.80457
,,,,1.84621,0.77541
,,,,1.84446,0.76157
,,,,1.84271,0.74576
,,,,1.84096,0.73983
,,,,1.83922,0.71265
,,,,1.83748,0.73637
,,,,1.83575,0.68794
,,,,1.83402,0.67558
,,,,1.83229,0.68349
,,,,1.83057,0.67311
,,,,1.82885,0.68398
,,,,1.82713,0.66916
,,,,1.82542,0.66372
,,,,1.82371,0.62073
,,,,1.822,0.62171
,,,,1.8203,0.60788
,,,,1.8186,0.61232
,,,,1.81691,0.58465
,,,,1.81521,0.58366
,,,,1.81353,0.60343
,,,,1.81184,0.59256
,,,,1.81016,0.59601
,,,,1.80848,0.60244
,,,,1.80681,0.59799
,,,,1.80514,0.58959
,,,,1.80347,0.61084
,,,,1.80181,0.58662
,,,,1.80014,0.52633
,,,,1.79849,0.53374
,,,,1.79683,0.56439
,,,,1.79518,0.58317
,,,,1.79354,0.56488
,,,,1.79189,0.58069
,,,,1.79025,0.57674
,,,,1.78861,0.59404
,,,,1.78698,0.62468
,,,,1.78535,0.64494
,,,,1.78372,0.59997
,,,,1.7821,0.59503
,,,,1.78048,0.57427
,,,,1.77886,0.58662
,,,,1.77725,0.55648
,,,,1.77564,0.62616
,,,,1.77403,0.63555
,,,,1.77242,0.62962
,,,,1.77082,0.66224
,,,,1.76923,0.67163
,,,,1.76763,0.66965
,,,,1.76604,0.64296
,,,,1.76445,0.70178
,,,,1.76287,0.75861
,,,,1.76128,0.87969
,,,,1.75971,0.98496
,,,,1.75813,0.95283
,,,,1.75656,0.92713
,,,,1.75499,0.85992
,,,,1.75342,0.86239
,,,,1.75186,0.90786
,,,,1.7503,1.04871
,,,,1.74874,1.5019
,,,,1.74719,2.52096
,,,,1.74564,3.74313
,,,,1.74409,4.9065
,,,,1.74255,5.62063
,,,,1.74101,6.00216
,,,,1.73947,6.07283
,,,,1.73793,6.14053
,,,,1.7364,6.01253
,,,,1.73487,6.03922
,,,,1.73335,6.14844
,,,,1.73182,6.16524
,,,,1.7303,6.21368
,,,,1.72879,6.17809
,,,,1.72727,6.31351
,,,,1.72576,6.40345
,,,,1.72425,6.4588
,,,,1.72275,6.55419
,,,,1.72124,6.55715
,,,,1.71975,6.79981
,,,,1.71825,6.95647
,,,,1.71676,7.23965
,,,,1.71527,7.3469
,,,,1.71378,7.70371
,,,,1.71229,7.93846
,,,,1.71081,8.29726
,,,,1.70933,8.60713
,,,,1.70786,9.00447
,,,,1.70638,9.41565
,,,,1.70491,10.05713
,,,,1.70345,10.78461
,,,,1.70198,11.77154
,,,,1.70052,13.08416
,,,,1.69906,14.97302
,,,,1.6976,18.30151
,,,,1.69615,25.00248
,,,,1.6947,38.19388
,,,,1.69325,55.79114
,,,,1.69181,79.04363
,,,,1.69037,128.73081
,,,,1.68893,413.05064
,,,,1.68749,996.84472
,,,,1.68606,1284.73669
,,,,1.68462,1303.7464
,,,,1.6832,1274.45815
,,,,1.68177,1006.41901
,,,,1.68035,644.59302
,,,,1.67893,443.95001
,,,,1.67751,213.73854
,,,,1.6761,65.9318
,,,,1.67468,36.17751
,,,,1.67327,25.8283
,,,,1.67187,20.47207
,,,,1.67046,16.96715
,,,,1.66906,14.67106
,,,,1.66766,12.93837
,,,,1.66627,11.72756
,,,,1.66488,10.666
,,,,1.66348,9.84709
,,,,1.6621,9.08107
,,,,1.66071,8.6348
,,,,1.65933,7.94044
,,,,1.65795,7.57324
,,,,1.65657,7.08892
,,,,1.6552,6.58829
,,,,1.65382,6.19786
,,,,1.65245,5.83363
,,,,1.65109,5.57862
,,,,1.64972,5.27172
,,,,1.64836,5.0602
,,,,1.647,4.71969
,,,,1.64564,4.62875
,,,,1.64429,4.51261
,,,,1.64294,4.33173
,,,,1.64159,4.12812
,,,,1.64024,4.06091
,,,,1.6389,3.88843
,,,,1.63756,3.76191
,,,,1.63622,3.74363
,,,,1.63488,3.54347
,,,,1.63355,3.50344
,,,,1.63221,3.48911
,,,,1.63089,3.32404
,,,,1.62956,3.26622
,,,,1.62823,3.2079
,,,,1.62691,3.15354
,,,,1.62559,3.05173
,,,,1.62428,2.95289
,,,,1.62296,2.96327
,,,,1.62165,2.86888
,,,,1.62034,2.77053
,,,,1.61903,2.72605
,,,,1.61773,2.65241
,,,,1.61643,2.62128
,,,,1.61513,2.51997
,,,,1.61383,2.51107
,,,,1.61253,2.48636
,,,,1.61124,2.3895
,,,,1.60995,2.38801
,,,,1.60866,2.31685
,,,,1.60738,2.22146
,,,,1.60609,2.20071
,,,,1.60481,2.13844
,,,,1.60353,2.12509
,,,,1.60226,2.09149
,,,,1.60098,2.048
,,,,1.59971,2.02477
,,,,1.59844,1.98919
,,,,1.59718,1.96102
,,,,1.59591,1.9536
,,,,1.59465,1.90468
,,,,1.59339,1.82857
,,,,1.59213,1.81424
,,,,1.59088,1.76482
,,,,1.58962,1.8256
,,,,1.58837,1.74653
,,,,1.58712,1.71391
,,,,1.58588,1.66993
,,,,1.58463,1.61804
,,,,1.58339,1.62693
,,,,1.58215,1.621
,,,,1.58091,1.62792
,,,,1.57968,1.4935
,,,,1.57844,1.53155
,,,,1.57721,1.49943
,,,,1.57599,1.50239
,,,,1.57476,1.44358
,,,,1.57354,1.46187
,,,,1.57231,1.42826
,,,,1.57109,1.39317
,,,,1.56988,1.40948
,,,,1.56866,1.3571
,,,,1.56745,1.34474
,,,,1.56624,1.39021
,,,,1.56503,1.32201
,,,,1.56382,1.3225
,,,,1.56262,1.31311
,,,,1.56141,1.3057
,,,,1.56021,1.27011
,,,,1.55902,1.18363
,,,,1.55782,1.19005
,,,,1.55663,1.21872
,,,,1.55543,1.21328
,,,,1.55425,1.14706
,,,,1.55306,1.1352
,,,,1.55187,1.13717
,,,,1.55069,1.12778
,,,,1.54951,1.10159
,,,,1.54833,1.1352
,,,,1.54715,1.14014
,,,,1.54598,1.07194
,,,,1.5448,1.0749
,,,,1.54363,1.0665
,,,,1.54247,0.99089
,,,,1.5413,0.99632
,,,,1.54013,0.99533
,,,,1.53897,0.94295
,,,,1.53781,0.96865
,,,,1.53665,0.91577
,,,,1.5355,0.89501
,,,,1.53434,0.91083
,,,,1.53319,0.87771
,,,,1.53204,0.86734
,,,,1.53089,0.85449
,,,,1.52975,0.86338
,,,,1.5286,0.82039
,,,,1.52746,0.83274
,,,,1.52632,0.79024
,,,,1.52518,0.78628
,,,,1.52404,0.76998
,,,,1.52291,0.78925
,,,,1.52178,0.7591
,,,,1.52065,0.74131
,,,,1.51952,0.73686
,,,,1.51839,0.73835
,,,,1.51727,0.72896
,,,,1.51615,0.73242
,,,,1.51503,0.71265
,,,,1.51391,0.70178
,,,,1.51279,0.67212
,,,,1.51168,0.65137
,,,,1.51056,0.6657
,,,,1.50945,0.67904
,,,,1.50834,0.62715
,,,,1.50724,0.6316
,,,,1.50613,0.64395
,,,,1.50503,0.63407
,,,,1.50393,0.62715
,,,,1.50283,0.61183
,,,,1.50173,0.61084
,,,,1.50063,0.60639
,,,,1.49954,0.59107
,,,,1.49845,0.60046
,,,,1.49736,0.56883
,,,,1.49627,0.58514
,,,,1.49518,0.5461
,,,,1.4941,0.52238
,,,,1.49302,0.54313
,,,,1.49194,0.54066
,,,,1.49086,0.57674
,,,,1.48978,0.53869
,,,,1.4887,0.51645
,,,,1.48763,0.55697
,,,,1.48656,0.5461
,,,,1.48549,0.50607
,,,,1.48442,0.51595
,,,,1.48336,0.54462
,,,,1.48229,0.51892
,,,,1.48123,0.53374
,,,,1.48017,0.49322
,,,,1.47911,0.49273
,,,,1.47805,0.50805
,,,,1.477,0.46801
,,,,1.47594,0.48729
,,,,1.47489,0.45615
,,,,1.47384,0.47147
,,,,1.47279,0.44973
,,,,1.47175,0.43737
,,,,1.4707,0.43836
,,,,1.46966,0.43441
,,,,1.46862,0.45072
,,,,1.46758,0.45615
,,,,1.46654,0.42057
,,,,1.46551,0.40624
,,,,1.46447,0.40723
,,,,1.46344,0.39635
,,,,1.46241,0.41958
,,,,1.46138,0.38548
,,,,1.46035,0.40377
,,,,1.45933,0.39537
,,,,1.4583,0.38746
,,,,1.45728,0.3924
,,,,1.45626,0.36917
,,,,1.45524,0.37757
,,,,1.45423,0.37757
,,,,1.45321,0.35237
,,,,1.4522,0.3588
,,,,1.45119,0.35237
,,,,1.45018,0.34743
,,,,1.44917,0.34002
,,,,1.44816,0.33606
,,,,1.44716,0.33754
,,,,1.44615,0.32222
,,,,1.44515,0.31975
,,,,1.44415,0.34249
,,,,1.44315,0.32568
,,,,1.44216,0.31827
,,,,1.44116,0.29554
,,,,1.44017,0.32321
,,,,1.43917,0.29652
,,,,1.43818,0.28862
