material,temperature_K,mass_pct
HOPG,860.623,97.63976
HD,861.56,98.89882
HOPG,861.623,97.64726
HD,862.56,98.88861
HOPG,862.623,97.65436
HD,863.56,98.88177
HOPG,863.623,97.66336
HD,864.56,98.86967
HOPG,864.623,97.66887
HD,865.56,98.85553
HOPG,865.623,97.66235
HD,866.56,98.8425
HOPG,866.623,97.64026
HD,867.56,98.83898
HOPG,867.623,97.60718
HD,868.56,98.83903
HOPG,868.623,97.57163
HD,869.56,98.83632
HOPG,869.623,97.54253
HD,870.56,98.82832
HOPG,870.623,97.52993
HD,871.56,98.81451
HOPG,871.623,97.54068
HD,872.56,98.80514
HOPG,872.623,97.57178
HD,873.56,98.81076
HOPG,873.623,97.60833
HD,874.56,98.81387
HOPG,874.623,97.63321
HD,875.56,98.81854
HOPG,875.623,97.64068
HD,876.56,98.82637
HOPG,876.623,97.63648
HD,877.56,98.83327
HOPG,877.623,97.6242
HD,878.56,98.83781
HOPG,878.623,97.60301
HD,879.56,98.83708
HOPG,879.623,97.57887
HD,880.56,98.82532
HOPG,880.623,97.56174
HD,881.56,98.81006
HOPG,881.623,97.55316
HD,882.56,98.80152
HOPG,882.623,97.548
HD,883.56,98.78997
HOPG,883.623,97.54071
HD,884.56,98.77514
HOPG,884.623,97.5268
HD,885.56,98.76009
HOPG,885.623,97.50783
HD,886.56,98.75828
HOPG,886.623,97.49123
HD,887.56,98.75957
HOPG,887.623,97.48224
HD,888.56,98.75679
HOPG,888.623,97.48091
HD,889.56,98.75775
HOPG,889.623,97.48653
HD,890.56,98.74644
HOPG,890.623,97.49693
HD,891.56,98.7318
HOPG,891.623,97.50682
HD,892.56,98.72832
HOPG,892.623,97.51075
HD,893.56,98.72824
HOPG,893.623,97.50657
HD,894.56,98.72711
HOPG,894.623,97.49522
HD,895.56,98.73051
HOPG,895.623,97.47982
HD,896.56,98.7427
HOPG,896.623,97.46667
HD,897.56,98.75101
HOPG,897.623,97.46208
HD,898.56,98.74572
HOPG,898.623,97.4682
HD,899.56,98.73653
HOPG,899.623,97.4825
HD,900.56,98.73321
HOPG,900.623,97.49843
HD,901.56,98.72608
HOPG,901.623,97.50586
HD,902.56,98.72117
HOPG,902.623,97.49769
HD,903.56,98.71704
HOPG,903.623,97.47824
HD,904.56,98.7091
HOPG,904.623,97.45809
HD,905.56,98.70218
HOPG,905.623,97.44173
HD,906.56,98.69309
HOPG,906.623,97.42687
HD,907.56,98.68023
HOPG,907.623,97.41311
HD,908.56,98.65729
HOPG,908.623,97.40306
HD,909.56,98.64097
HOPG,909.623,97.39727
HD,910.56,98.6312
HOPG,910.623,97.39328
HD,911.56,98.62637
HOPG,911.623,97.38705
HD,912.56,98.62725
HOPG,912.623,97.37608
HD,913.56,98.63693
HOPG,913.623,97.36399
HD,914.56,98.64255
HOPG,914.623,97.35886
HD,915.56,98.64577
HOPG,915.623,97.36464
HD,916.56,98.64548
HOPG,916.623,97.37905
HD,917.56,98.64716
HOPG,917.623,97.39784
HD,918.56,98.6451
HOPG,918.623,97.41421
HD,919.56,98.63514
HOPG,919.623,97.41848
HD,920.56,98.63481
HOPG,920.623,97.40604
HD,921.56,98.63398
HOPG,921.623,97.38098
HD,922.56,98.63562
HOPG,922.623,97.35026
HD,923.56,98.64077
HOPG,923.623,97.31978
HD,924.56,98.63701
HOPG,924.623,97.29602
HD,925.56,98.62745
HOPG,925.623,97.28739
HD,926.56,98.61366
HOPG,926.623,97.29811
HD,927.56,98.60017
HOPG,927.623,97.32312
HD,928.56,98.59175
HOPG,928.623,97.35106
HD,929.56,98.58315
HOPG,929.623,97.37162
HD,930.56,98.58754
HOPG,930.623,97.37686
HD,931.56,98.60277
HOPG,931.623,97.36464
HD,932.56,98.61267
HOPG,932.623,97.34375
HD,933.56,98.61084
HOPG,933.623,97.32948
HD,934.56,98.59949
HOPG,934.623,97.33201
HD,935.56,98.58609
HOPG,935.623,97.34948
HD,936.56,98.57106
HOPG,936.623,97.36826
HD,937.56,98.5534
HOPG,937.623,97.37132
HD,938.56,98.54207
HOPG,938.623,97.35139
HD,939.56,98.54099
HOPG,939.623,97.31731
HD,940.56,98.54179
HOPG,940.623,97.28508
HD,941.56,98.54704
HOPG,941.623,97.26445
HD,942.56,98.54006
HOPG,942.623,97.25638
HD,943.56,98.52159
HOPG,943.623,97.25734
HD,944.56,98.5062
HOPG,944.623,97.26455
HD,945.56,98.49388
HOPG,945.623,97.27486
HD,946.56,98.48677
HOPG,946.623,97.2807
HD,947.56,98.49101
HOPG,947.623,97.27373
HD,948.56,98.49545
HOPG,948.623,97.25474
HD,949.56,98.50521
HOPG,949.623,97.23322
HD,950.56,98.51432
HOPG,950.623,97.2191
HD,951.56,98.53428
HOPG,951.623,97.21785
HD,952.56,98.54414
HOPG,952.623,97.2317
HD,953.56,98.5307
HOPG,953.623,97.25784
HD,954.56,98.51362
HOPG,954.623,97.28762
HD,955.56,98.50619
HOPG,955.623,97.30727
HD,956.56,98.50086
HOPG,956.623,97.30079
HD,957.56,98.49468
HOPG,957.623,97.2598
HD,958.56,98.49577
HOPG,958.623,97.19641
HD,959.56,98.49468
HOPG,959.623,97.1387
HD,960.56,98.48773
HOPG,960.623,97.10876
HD,961.56,98.47322
HOPG,961.623,97.10798
HD,962.56,98.45638
HOPG,962.623,97.12268
HD,963.56,98.43142
HOPG,963.623,97.13854
HD,964.56,98.40561
HOPG,964.623,97.14783
HD,965.56,98.40418
HOPG,965.623,97.14723
HD,966.56,98.41277
HOPG,966.623,97.13648
HD,967.56,98.42204
HOPG,967.623,97.12121
HD,968.56,98.42861
HOPG,968.623,97.11071
HD,969.56,98.43302
HOPG,969.623,97.11024
HD,970.56,98.43046
HOPG,970.623,97.11782
HD,971.56,98.41721
HOPG,971.623,97.12885
HD,972.56,98.40082
HOPG,972.623,97.13996
HD,973.56,98.3907
HOPG,973.623,97.14652
HD,974.56,98.38126
HOPG,974.623,97.14168
HD,975.56,98.36209
HOPG,975.623,97.12232
HD,976.56,98.34537
HOPG,976.623,97.09334
HD,977.56,98.32935
HOPG,977.623,97.06072
HD,978.56,98.32931
HOPG,978.623,97.02559
HD,979.56,98.3404
HOPG,979.623,96.98887
HD,980.56,98.34693
HOPG,980.623,96.95833
HD,981.56,98.34666
HOPG,981.623,96.95056
HD,982.56,98.33776
HOPG,982.623,96.98074
HD,983.56,98.32174
HOPG,983.623,97.0409
HD,984.56,98.31359
HOPG,984.623,97.09492
HD,985.56,98.30921
HOPG,985.623,97.10558
HD,986.56,98.32079
HOPG,986.623,97.0628
HD,987.56,98.33878
HOPG,987.623,96.98767
HD,988.56,98.3471
HOPG,988.623,96.91855
HD,989.56,98.32639
HOPG,989.623,96.88686
HD,990.56,98.30131
HOPG,990.623,96.89428
HD,991.56,98.26591
HOPG,991.623,96.91144
HD,992.56,98.23971
HOPG,992.623,96.90194
HD,993.56,98.21675
HOPG,993.623,96.85733
HD,994.56,98.20121
HOPG,994.623,96.80709
HD,995.56,98.20093
HOPG,995.623,96.78397
HD,996.56,98.19568
HOPG,996.623,96.79003
HD,997.56,98.18497
HOPG,997.623,96.80225
HD,998.56,98.15924
HOPG,998.623,96.80018
HD,999.56,98.13557
