dia,grupo,mono,glucosa_mM
19,Diabeticos sin tratar,3,19.8
19,Diabeticos sin tratar,4,18.4
19,Diabeticos sin tratar,5,13.8
19,Diabeticos GIFT-GLP-1,1,11.9
19,Diabeticos GIFT-GLP-1,2,11.4
19,Diabeticos GIFT-GLP-1,3,6
19,Diabeticos GIFT-GLP-1,4,11.1
19,Diabeticos GIFT-GLP-1,5,8.8
22,Diabeticos GIFT-GLP-1,1,11.6
22,Diabeticos GIFT-GLP-1,2,5.9
22,Diabeticos GIFT-GLP-1,3,11.1
22,Diabeticos GIFT-GLP-1,4,10.7
22,Diabeticos GIFT-GLP-1,5,10.5
25,No diabeticos,1,5
25,No diabeticos,2,5.5
25,No diabeticos,3,9.3
25,No diabeticos,4,4.1
25,No diabeticos,5,4.7
25,Diabeticos sin tratar,1,18.1
25,Diabeticos sin tratar,2,16.1
25,Diabeticos sin tratar,3,16.7
25,Diabeticos sin tratar,4,18.8
25,Diabeticos sin tratar,5,14.1
25,Diabeticos GIFT-GLP-1,1,12.5
25,Diabeticos GIFT-GLP-1,2,7.7
25,Diabeticos GIFT-GLP-1,3,10
25,Diabeticos GIFT-GLP-1,4,12
25,Diabeticos GIFT-GLP-1,5,11.5
28,Diabeticos GIFT-GLP-1,1,11.7
28,Diabeticos GIFT-GLP-1,2,12.9
28,Diabeticos GIFT-GLP-1,3,8.5
28,Diabeticos GIFT-GLP-1,4,11.8
28,Diabeticos GIFT-GLP-1,5,10.3
31,No diabeticos,1,4.5
31,No diabeticos,2,5.2
31,No diabeticos,3,7.4
31,No diabeticos,4,4.4
31,No diabeticos,5,4.6
31,Diabeticos sin tratar,1,15.5
31,Diabeticos sin tratar,2,18.5
31,Diabeticos sin tratar,3,18.1
31,Diabeticos sin tratar,4,18.2
31,Diabeticos sin tratar,5,14.1
31,Diabeticos GIFT-GLP-1,1,12.4
31,Diabeticos GIFT-GLP-1,2,9.7
31,Diabeticos GIFT-GLP-1,3,11.1
31,Diabeticos GIFT-GLP-1,4,11.7
31,Diabeticos GIFT-GLP-1,5,10.5
34,Diabeticos GIFT-GLP-1,1,11
34,Diabeticos GIFT-GLP-1,2,9.7
34,Diabeticos GIFT-GLP-1,3,11.9
34,Diabeticos GIFT-GLP-1,4,11.4
34,Diabeticos GIFT-GLP-1,5,9.2
