neuron_id,stimulus,visual_screening_hz,encoding_hz,imagery_hz
3762,stim_9,3.75,5.00,6.87
3762,stim_12,2.81,5.74,7.06
3762,stim_117,2.81,1.87,6.31
3762,stim_292,2.81,3.75,7.12
3762,stim_360,3.75,3.87,5.56
3762,stim_368,0.00,0.50,4.56
3762,stim_421,5.62,4.62,6.06
3762,stim_492,0.94,1.75,7.06
1762,stim_9,2.81,3.25,3.00
1762,stim_12,1.87,1.62,2.37
1762,stim_117,13.11,5.87,2.19
1762,stim_292,1.87,3.25,2.87
1762,stim_360,0.94,4.62,1.81
1762,stim_368,1.87,3.25,2.87
1762,stim_421,3.75,6.12,2.62
1762,stim_492,4.68,5.37,2.44
1569,stim_9,3.75,1.00,2.87
1569,stim_12,2.81,2.87,2.62
1569,stim_117,3.75,1.50,2.75
1569,stim_292,3.75,3.50,3.06
1569,stim_360,2.81,2.75,2.37
1569,stim_368,1.87,2.00,1.69
1569,stim_421,1.87,1.75,2.87
1569,stim_492,1.87,3.12,3.00
2891,stim_77,0.94,1.25,0.37
2891,stim_112,0.94,1.25,0.06
2891,stim_160,0.00,0.87,0.37
2891,stim_232,2.81,2.25,0.69
2891,stim_278,0.00,0.62,0.25
2891,stim_345,11.24,4.37,3.75
2891,stim_387,1.87,2.00,0.44
2891,stim_440,1.87,2.50,0.31
2923,stim_77,3.75,4.62,2.12
2923,stim_112,2.81,3.25,2.75
2923,stim_160,0.94,3.87,1.75
2923,stim_232,4.68,4.62,2.25
2923,stim_278,4.68,3.37,2.31
2923,stim_345,2.81,5.99,2.12
2923,stim_387,2.81,3.62,3.44
2923,stim_440,6.55,8.87,4.81
2927,stim_77,1.87,4.00,0.94
2927,stim_112,16.85,14.86,2.62
2927,stim_160,1.87,6.74,2.31
2927,stim_232,6.55,11.61,2.44
2927,stim_278,6.55,4.75,1.94
2927,stim_345,14.04,15.36,4.31
2927,stim_387,1.87,2.12,1.87
2927,stim_440,6.55,9.24,2.75
2884,stim_77,6.55,7.87,6.12
2884,stim_112,10.30,11.11,7.31
2884,stim_160,3.75,4.12,5.75
2884,stim_232,1.87,2.37,6.43
2884,stim_278,4.68,4.25,7.00
2884,stim_345,9.36,10.61,6.31
2884,stim_387,1.87,2.62,5.25
2884,stim_440,2.81,3.75,6.18
2522,stim_77,0.00,1.62,1.69
2522,stim_112,0.00,1.00,1.25
2522,stim_160,0.94,1.75,2.00
2522,stim_232,0.00,1.50,1.31
2522,stim_278,0.94,0.62,2.12
2522,stim_345,1.87,5.24,3.06
2522,stim_387,0.00,1.50,2.12
2522,stim_440,0.94,0.87,2.12
2374,stim_77,14.98,8.99,4.81
2374,stim_112,0.94,6.37,5.62
2374,stim_160,4.68,1.75,3.75
2374,stim_232,11.24,8.99,4.19
2374,stim_278,1.87,4.87,3.94
2374,stim_345,0.94,5.87,4.00
2374,stim_387,7.49,4.62,3.44
2374,stim_440,3.75,7.37,4.75
5733,stim_77,14.98,12.86,9.43
5733,stim_112,17.79,11.49,9.75
5733,stim_160,12.17,19.61,9.87
5733,stim_232,14.98,14.49,11.62
5733,stim_278,20.60,14.86,9.06
5733,stim_345,7.49,10.49,13.12
5733,stim_387,44.01,24.73,9.43
5733,stim_440,9.36,12.74,10.18
3584,stim_17,4.68,1.25,4.06
3584,stim_61,2.81,1.00,5.43
3584,stim_76,4.68,1.87,5.00
3584,stim_114,1.87,1.12,3.31
3584,stim_157,2.81,1.25,3.87
3584,stim_161,0.94,0.50,4.19
3584,stim_177,0.94,1.25,3.87
3584,stim_480,1.87,0.87,2.87
4516,stim_55,0.00,4.75,4.62
4516,stim_88,1.87,3.25,4.69
4516,stim_148,10.26,6.87,2.62
4516,stim_251,2.80,5.74,5.43
4516,stim_256,3.73,3.25,2.50
4516,stim_274,0.93,4.50,3.37
4516,stim_285,9.33,4.25,3.19
4516,stim_365,0.00,1.75,3.56
2456,stim_68,0.94,1.50,2.31
2456,stim_121,3.75,2.25,2.50
2456,stim_243,0.94,2.25,2.50
2456,stim_261,0.00,0.75,2.37
2456,stim_281,1.87,2.37,4.12
2456,stim_308,0.94,1.25,3.50
2456,stim_415,2.81,0.87,3.00
2456,stim_434,0.94,1.75,2.37
2632,stim_68,1.87,0.50,0.94
2632,stim_121,10.30,8.62,1.75
2632,stim_243,17.79,18.11,3.81
2632,stim_261,0.00,0.50,1.25
2632,stim_281,0.00,1.25,0.81
2632,stim_308,0.00,0.50,1.25
2632,stim_415,0.00,4.87,1.87
2632,stim_434,5.62,2.50,1.87
1597,stim_52,3.75,3.37,1.75
1597,stim_141,0.00,0.37,1.06
1597,stim_195,0.00,1.62,0.75
1597,stim_223,0.00,0.00,1.37
1597,stim_238,0.94,0.37,1.19
1597,stim_351,0.94,0.12,1.37
1597,stim_399,0.94,1.37,1.00
1597,stim_482,1.87,0.25,1.37
1024,stim_52,6.55,2.50,1.44
1024,stim_141,2.81,0.25,1.12
1024,stim_195,0.00,0.37,0.56
1024,stim_223,0.94,0.50,0.87
1024,stim_238,0.00,0.12,0.94
1024,stim_351,0.00,0.12,1.06
1024,stim_399,0.00,1.00,0.56
1024,stim_482,0.94,0.62,1.44
4733,stim_52,3.75,2.50,1.75
4733,stim_141,1.87,1.37,2.00
4733,stim_195,0.94,1.62,1.81
4733,stim_223,0.94,1.75,1.44
4733,stim_238,0.00,1.00,2.12
4733,stim_351,2.81,1.25,1.56
4733,stim_399,0.00,1.00,1.62
4733,stim_482,2.81,2.12,2.31
4734,stim_52,11.24,11.99,4.81
4734,stim_141,1.87,0.25,2.94
4734,stim_195,0.00,2.87,1.44
4734,stim_223,0.00,0.12,1.81
4734,stim_238,4.68,1.00,3.81
4734,stim_351,0.00,0.25,3.44
4734,stim_399,2.81,4.12,2.94
4734,stim_482,0.94,0.25,4.56
1462,stim_52,5.62,4.25,1.94
1462,stim_141,0.94,0.50,1.81
1462,stim_195,0.00,1.37,1.12
1462,stim_223,0.94,0.50,1.25
1462,stim_238,3.75,0.87,1.81
1462,stim_351,0.94,0.50,1.06
1462,stim_399,0.00,2.12,1.31
1462,stim_482,0.00,1.00,1.94
2839,stim_52,2.81,2.25,1.62
2839,stim_141,0.00,0.75,1.25
2839,stim_195,0.00,0.87,0.69
2839,stim_223,0.94,0.50,0.81
2839,stim_238,1.87,0.37,1.81
2839,stim_351,0.94,0.25,1.44
2839,stim_399,0.00,1.25,0.87
2839,stim_482,0.94,0.87,1.75
4307,stim_7,0.94,0.00,1.00
4307,stim_11,1.87,0.25,1.12
4307,stim_99,6.55,1.50,1.44
4307,stim_153,0.00,1.12,0.62
4307,stim_201,1.87,2.12,1.50
4307,stim_251,0.94,1.00,1.19
4307,stim_355,0.00,0.00,0.44
4307,stim_486,0.00,2.62,0.81
5208,stim_18,2.81,7.24,4.31
5208,stim_77,0.94,3.00,5.06
5208,stim_153,18.73,7.12,6.00
5208,stim_162,8.43,4.37,3.25
5208,stim_242,8.43,2.87,3.50
5208,stim_334,2.81,3.12,4.56
5208,stim_370,6.55,3.87,4.44
5208,stim_454,0.00,3.25,3.37
3863,stim_18,8.43,3.12,1.50
3863,stim_77,0.94,2.00,3.25
3863,stim_153,6.55,2.62,2.19
3863,stim_162,8.43,5.99,2.75
3863,stim_242,1.87,0.62,3.00
3863,stim_334,0.94,1.00,1.94
3863,stim_370,1.87,3.12,2.06
3863,stim_454,1.87,0.87,2.06
4670,stim_18,4.68,7.99,2.50
4670,stim_77,5.62,2.12,3.56
4670,stim_153,5.62,6.24,1.37
4670,stim_162,0.94,2.87,1.75
4670,stim_242,0.94,1.37,2.56
4670,stim_334,1.87,1.25,1.37
4670,stim_370,0.00,1.87,1.87
4670,stim_454,0.00,1.25,2.50
4749,stim_18,0.00,2.37,0.69
4749,stim_77,0.94,1.25,1.87
4749,stim_153,2.81,3.62,1.50
4749,stim_162,4.68,3.12,2.00
4749,stim_242,1.87,1.25,1.37
4749,stim_334,0.94,0.37,1.81
4749,stim_370,0.00,1.50,1.19
4749,stim_454,0.00,0.25,1.19
4775,stim_18,5.62,3.75,4.12
4775,stim_77,1.87,2.50,2.62
4775,stim_153,10.30,5.87,2.19
4775,stim_162,6.55,7.12,2.25
4775,stim_242,2.81,1.50,2.31
4775,stim_334,2.81,4.12,2.56
4775,stim_370,1.87,4.87,1.37
4775,stim_454,0.94,2.00,2.62
5841,stim_18,2.81,2.00,0.56
5841,stim_77,0.94,1.00,1.75
5841,stim_153,0.94,1.37,2.06
5841,stim_162,3.75,2.12,0.56
5841,stim_242,1.87,1.12,0.87
5841,stim_334,0.94,1.12,1.81
5841,stim_370,0.94,1.25,1.00
5841,stim_454,0.00,0.50,0.69
5873,stim_18,4.68,8.62,6.00
5873,stim_77,5.62,6.87,9.00
5873,stim_153,15.92,10.11,7.62
5873,stim_162,14.04,4.62,4.25
5873,stim_242,2.81,4.37,6.68
5873,stim_334,13.11,4.50,8.06
5873,stim_370,3.75,6.37,7.06
5873,stim_454,0.00,6.24,7.50
8512,stim_18,2.80,3.87,3.31
8512,stim_44,8.40,3.12,5.81
8512,stim_45,0.93,5.74,5.50
8512,stim_81,3.73,1.37,5.06
8512,stim_135,1.87,3.00,4.37
8512,stim_181,6.53,1.00,4.69
8512,stim_230,4.66,2.12,5.06
8512,stim_344,3.73,4.00,3.00
8514,stim_18,0.93,1.25,1.50
8514,stim_44,0.00,1.00,1.62
8514,stim_45,0.00,0.75,1.44
8514,stim_81,0.93,0.25,0.37
8514,stim_135,0.93,1.25,0.87
8514,stim_181,2.80,0.25,1.31
8514,stim_230,0.00,0.00,1.00
8514,stim_344,2.80,0.25,0.75
7053,stim_18,2.80,1.25,1.69
7053,stim_44,2.80,1.62,2.12
7053,stim_45,0.93,1.75,2.19
7053,stim_81,0.00,0.37,1.12
7053,stim_135,1.87,1.75,1.00
7053,stim_181,4.66,0.75,2.31
7053,stim_230,0.93,0.50,2.81
7053,stim_344,0.93,1.25,1.69
8367,stim_18,2.80,1.37,1.81
8367,stim_44,6.53,2.62,3.94
8367,stim_45,0.00,1.37,2.44
8367,stim_81,4.66,1.62,5.00
8367,stim_135,15.86,6.99,1.44
8367,stim_181,29.85,2.75,4.37
8367,stim_230,2.80,1.62,4.31
8367,stim_344,0.93,1.25,2.94
8412,stim_18,3.73,3.87,2.56
8412,stim_44,0.00,3.75,1.12
8412,stim_45,0.93,2.12,5.00
8412,stim_81,1.87,1.62,2.56
8412,stim_135,4.66,6.12,3.12
8412,stim_181,14.93,0.87,4.25
8412,stim_230,0.93,0.12,2.37
8412,stim_344,0.93,3.50,1.69
