stimulus_rank,neuron_1_hz,neuron_2_hz,neuron_3_hz,neuron_1_name,neuron_2_name,neuron_3_name
137,0.00,0.94,0.00,1288,1566,615
138,0.00,0.94,0.00,1288,1566,615
139,0.00,0.94,0.00,1288,1566,615
140,0.00,0.94,0.00,1288,1566,615
141,0.00,0.94,0.00,1288,1566,615
142,0.00,0.94,0.00,1288,1566,615
143,0.00,0.94,0.00,1288,1566,615
144,0.00,0.94,0.00,1288,1566,615
145,0.00,0.94,0.00,1288,1566,615
146,0.00,0.94,0.00,1288,1566,615
147,0.00,0.94,0.00,1288,1566,615
148,0.00,0.94,0.00,1288,1566,615
149,0.00,0.94,0.00,1288,1566,615
150,0.00,0.94,0.00,1288,1566,615
151,0.00,0.94,0.00,1288,1566,615
152,0.00,0.94,0.00,1288,1566,615
153,0.00,0.94,0.00,1288,1566,615
154,0.00,0.94,0.00,1288,1566,615
155,0.00,0.94,0.00,1288,1566,615
156,0.00,0.94,0.00,1288,1566,615
157,0.00,0.94,0.00,1288,1566,615
158,0.00,0.94,0.00,1288,1566,615
159,0.00,0.94,0.00,1288,1566,615
160,0.00,0.94,0.00,1288,1566,615
161,0.00,0.94,0.00,1288,1566,615
162,0.00,0.94,0.00,1288,1566,615
163,0.00,0.94,0.00,1288,1566,615
164,0.00,0.94,0.00,1288,1566,615
165,0.00,0.94,0.00,1288,1566,615
166,0.00,0.94,0.00,1288,1566,615
167,0.00,0.94,0.00,1288,1566,615
168,0.00,0.94,0.00,1288,1566,615
169,0.00,0.94,0.00,1288,1566,615
170,0.00,0.94,0.00,1288,1566,615
171,0.00,0.94,0.00,1288,1566,615
172,0.00,0.94,0.00,1288,1566,615
173,0.00,0.94,0.00,1288,1566,615
174,0.00,0.94,0.00,1288,1566,615
175,0.00,0.94,0.00,1288,1566,615
176,0.00,0.94,0.00,1288,1566,615
177,0.00,0.94,0.00,1288,1566,615
178,0.00,0.94,0.00,1288,1566,615
179,0.00,0.94,0.00,1288,1566,615
180,0.00,0.94,0.00,1288,1566,615
181,0.00,0.94,0.00,1288,1566,615
182,0.00,0.94,0.00,1288,1566,615
183,0.00,0.94,0.00,1288,1566,615
184,0.00,0.94,0.00,1288,1566,615
185,0.00,0.94,0.00,1288,1566,615
186,0.00,0.94,0.00,1288,1566,615
187,0.00,0.94,0.00,1288,1566,615
188,0.00,0.94,0.00,1288,1566,615
189,0.00,0.94,0.00,1288,1566,615
190,0.00,0.94,0.00,1288,1566,615
191,0.00,0.94,0.00,1288,1566,615
192,0.00,0.94,0.00,1288,1566,615
193,0.00,0.94,0.00,1288,1566,615
194,0.00,0.94,0.00,1288,1566,615
195,0.00,0.94,0.00,1288,1566,615
196,0.00,0.94,0.00,1288,1566,615
197,0.00,0.94,0.00,1288,1566,615
198,0.00,0.94,0.00,1288,1566,615
199,0.00,0.94,0.00,1288,1566,615
200,0.00,0.94,0.00,1288,1566,615
201,0.00,0.00,0.00,1288,1566,615
202,0.00,0.00,0.00,1288,1566,615
203,0.00,0.00,0.00,1288,1566,615
204,0.00,0.00,0.00,1288,1566,615
205,0.00,0.00,0.00,1288,1566,615
206,0.00,0.00,0.00,1288,1566,615
207,0.00,0.00,0.00,1288,1566,615
208,0.00,0.00,0.00,1288,1566,615
209,0.00,0.00,0.00,1288,1566,615
210,0.00,0.00,0.00,1288,1566,615
211,0.00,0.00,0.00,1288,1566,615
212,0.00,0.00,0.00,1288,1566,615
213,0.00,0.00,0.00,1288,1566,615
214,0.00,0.00,0.00,1288,1566,615
215,0.00,0.00,0.00,1288,1566,615
216,0.00,0.00,0.00,1288,1566,615
217,0.00,0.00,0.00,1288,1566,615
218,0.00,0.00,0.00,1288,1566,615
219,0.00,0.00,0.00,1288,1566,615
220,0.00,0.00,0.00,1288,1566,615
221,0.00,0.00,0.00,1288,1566,615
222,0.00,0.00,0.00,1288,1566,615
223,0.00,0.00,0.00,1288,1566,615
224,0.00,0.00,0.00,1288,1566,615
225,0.00,0.00,0.00,1288,1566,615
226,0.00,0.00,0.00,1288,1566,615
227,0.00,0.00,0.00,1288,1566,615
228,0.00,0.00,0.00,1288,1566,615
229,0.00,0.00,0.00,1288,1566,615
230,0.00,0.00,0.00,1288,1566,615
231,0.00,0.00,0.00,1288,1566,615
232,0.00,0.00,0.00,1288,1566,615
233,0.00,0.00,0.00,1288,1566,615
234,0.00,0.00,0.00,1288,1566,615
235,0.00,0.00,0.00,1288,1566,615
236,0.00,0.00,0.00,1288,1566,615
237,0.00,0.00,0.00,1288,1566,615
238,0.00,0.00,0.00,1288,1566,615
239,0.00,0.00,0.00,1288,1566,615
240,0.00,0.00,0.00,1288,1566,615
241,0.00,0.00,0.00,1288,1566,615
242,0.00,0.00,0.00,1288,1566,615
243,0.00,0.00,0.00,1288,1566,615
244,0.00,0.00,0.00,1288,1566,615
245,0.00,0.00,0.00,1288,1566,615
246,0.00,0.00,0.00,1288,1566,615
247,0.00,0.00,0.00,1288,1566,615
248,0.00,0.00,0.00,1288,1566,615
249,0.00,0.00,0.00,1288,1566,615
250,0.00,0.00,0.00,1288,1566,615
251,0.00,0.00,0.00,1288,1566,615
252,0.00,0.00,0.00,1288,1566,615
253,0.00,0.00,0.00,1288,1566,615
254,0.00,0.00,0.00,1288,1566,615
255,0.00,0.00,0.00,1288,1566,615
256,0.00,0.00,0.00,1288,1566,615
257,0.00,0.00,0.00,1288,1566,615
258,0.00,0.00,0.00,1288,1566,615
259,0.00,0.00,0.00,1288,1566,615
260,0.00,0.00,0.00,1288,1566,615
261,0.00,0.00,0.00,1288,1566,615
262,0.00,0.00,0.00,1288,1566,615
263,0.00,0.00,0.00,1288,1566,615
264,0.00,0.00,0.00,1288,1566,615
265,0.00,0.00,0.00,1288,1566,615
266,0.00,0.00,0.00,1288,1566,615
267,0.00,0.00,0.00,1288,1566,615
268,0.00,0.00,0.00,1288,1566,615
269,0.00,0.00,0.00,1288,1566,615
270,0.00,0.00,0.00,1288,1566,615
271,0.00,0.00,0.00,1288,1566,615
272,0.00,0.00,0.00,1288,1566,615
273,0.00,0.00,0.00,1288,1566,615
274,0.00,0.00,0.00,1288,1566,615
275,0.00,0.00,0.00,1288,1566,615
276,0.00,0.00,0.00,1288,1566,615
277,0.00,0.00,0.00,1288,1566,615
278,0.00,0.00,0.00,1288,1566,615
279,0.00,0.00,0.00,1288,1566,615
280,0.00,0.00,0.00,1288,1566,615
281,0.00,0.00,0.00,1288,1566,615
282,0.00,0.00,0.00,1288,1566,615
283,0.00,0.00,0.00,1288,1566,615
284,0.00,0.00,0.00,1288,1566,615
285,0.00,0.00,0.00,1288,1566,615
286,0.00,0.00,0.00,1288,1566,615
287,0.00,0.00,0.00,1288,1566,615
288,0.00,0.00,0.00,1288,1566,615
289,0.00,0.00,0.00,1288,1566,615
290,0.00,0.00,0.00,1288,1566,615
291,0.00,0.00,0.00,1288,1566,615
292,0.00,0.00,0.00,1288,1566,615
293,0.00,0.00,0.00,1288,1566,615
294,0.00,0.00,0.00,1288,1566,615
295,0.00,0.00,0.00,1288,1566,615
296,0.00,0.00,0.00,1288,1566,615
297,0.00,0.00,0.00,1288,1566,615
298,0.00,0.00,0.00,1288,1566,615
299,0.00,0.00,0.00,1288,1566,615
300,0.00,0.00,0.00,1288,1566,615
301,0.00,0.00,0.00,1288,1566,615
302,0.00,0.00,0.00,1288,1566,615
303,0.00,0.00,0.00,1288,1566,615
304,0.00,0.00,0.00,1288,1566,615
305,0.00,0.00,0.00,1288,1566,615
306,0.00,0.00,0.00,1288,1566,615
307,0.00,0.00,0.00,1288,1566,615
308,0.00,0.00,0.00,1288,1566,615
309,0.00,0.00,0.00,1288,1566,615
310,0.00,0.00,0.00,1288,1566,615
311,0.00,0.00,0.00,1288,1566,615
312,0.00,0.00,0.00,1288,1566,615
313,0.00,0.00,0.00,1288,1566,615
314,0.00,0.00,0.00,1288,1566,615
315,0.00,0.00,0.00,1288,1566,615
316,0.00,0.00,0.00,1288,1566,615
317,0.00,0.00,0.00,1288,1566,615
318,0.00,0.00,0.00,1288,1566,615
319,0.00,0.00,0.00,1288,1566,615
320,0.00,0.00,0.00,1288,1566,615
321,0.00,0.00,0.00,1288,1566,615
322,0.00,0.00,0.00,1288,1566,615
323,0.00,0.00,0.00,1288,1566,615
324,0.00,0.00,0.00,1288,1566,615
325,0.00,0.00,0.00,1288,1566,615
326,0.00,0.00,0.00,1288,1566,615
327,0.00,0.00,0.00,1288,1566,615
328,0.00,0.00,0.00,1288,1566,615
329,0.00,0.00,0.00,1288,1566,615
330,0.00,0.00,0.00,1288,1566,615
331,0.00,0.00,0.00,1288,1566,615
332,0.00,0.00,0.00,1288,1566,615
333,0.00,0.00,0.00,1288,1566,615
334,0.00,0.00,0.00,1288,1566,615
335,0.00,0.00,0.00,1288,1566,615
336,0.00,0.00,0.00,1288,1566,615
337,0.00,0.00,0.00,1288,1566,615
338,0.00,0.00,0.00,1288,1566,615
339,0.00,0.00,0.00,1288,1566,615
340,0.00,0.00,0.00,1288,1566,615
341,0.00,0.00,0.00,1288,1566,615
342,0.00,0.00,0.00,1288,1566,615
343,0.00,0.00,0.00,1288,1566,615
344,0.00,0.00,0.00,1288,1566,615
345,0.00,0.00,0.00,1288,1566,615
346,0.00,0.00,0.00,1288,1566,615
347,0.00,0.00,0.00,1288,1566,615
348,0.00,0.00,0.00,1288,1566,615
349,0.00,0.00,0.00,1288,1566,615
350,0.00,0.00,0.00,1288,1566,615
351,0.00,0.00,0.00,1288,1566,615
352,0.00,0.00,0.00,1288,1566,615
353,0.00,0.00,0.00,1288,1566,615
354,0.00,0.00,0.00,1288,1566,615
355,0.00,0.00,0.00,1288,1566,615
356,0.00,0.00,0.00,1288,1566,615
357,0.00,0.00,0.00,1288,1566,615
358,0.00,0.00,0.00,1288,1566,615
359,0.00,0.00,0.00,1288,1566,615
360,0.00,0.00,0.00,1288,1566,615
361,0.00,0.00,0.00,1288,1566,615
362,0.00,0.00,0.00,1288,1566,615
363,0.00,0.00,0.00,1288,1566,615
364,0.00,0.00,0.00,1288,1566,615
365,0.00,0.00,0.00,1288,1566,615
366,0.00,0.00,0.00,1288,1566,615
367,0.00,0.00,0.00,1288,1566,615
368,0.00,0.00,0.00,1288,1566,615
369,0.00,0.00,0.00,1288,1566,615
370,0.00,0.00,0.00,1288,1566,615
371,0.00,0.00,0.00,1288,1566,615
372,0.00,0.00,0.00,1288,1566,615
373,0.00,0.00,0.00,1288,1566,615
374,0.00,0.00,0.00,1288,1566,615
375,0.00,0.00,0.00,1288,1566,615
376,0.00,0.00,0.00,1288,1566,615
377,0.00,0.00,0.00,1288,1566,615
378,0.00,0.00,0.00,1288,1566,615
379,0.00,0.00,0.00,1288,1566,615
380,0.00,0.00,0.00,1288,1566,615
381,0.00,0.00,0.00,1288,1566,615
382,0.00,0.00,0.00,1288,1566,615
383,0.00,0.00,0.00,1288,1566,615
384,0.00,0.00,0.00,1288,1566,615
385,0.00,0.00,0.00,1288,1566,615
386,0.00,0.00,0.00,1288,1566,615
387,0.00,0.00,0.00,1288,1566,615
388,0.00,0.00,0.00,1288,1566,615
389,0.00,0.00,0.00,1288,1566,615
390,0.00,0.00,0.00,1288,1566,615
391,0.00,0.00,0.00,1288,1566,615
392,0.00,0.00,0.00,1288,1566,615
393,0.00,0.00,0.00,1288,1566,615
394,0.00,0.00,0.00,1288,1566,615
395,0.00,0.00,0.00,1288,1566,615
396,0.00,0.00,0.00,1288,1566,615
397,0.00,0.00,0.00,1288,1566,615
398,0.00,0.00,0.00,1288,1566,615
399,0.00,0.00,0.00,1288,1566,615
400,0.00,0.00,0.00,1288,1566,615
401,0.00,0.00,0.00,1288,1566,615
402,0.00,0.00,0.00,1288,1566,615
403,0.00,0.00,0.00,1288,1566,615
404,0.00,0.00,0.00,1288,1566,615
405,0.00,0.00,0.00,1288,1566,615
406,0.00,0.00,0.00,1288,1566,615
407,0.00,0.00,0.00,1288,1566,615
408,0.00,0.00,0.00,1288,1566,615
409,0.00,0.00,0.00,1288,1566,615
410,0.00,0.00,0.00,1288,1566,615
411,0.00,0.00,0.00,1288,1566,615
412,0.00,0.00,0.00,1288,1566,615
413,0.00,0.00,0.00,1288,1566,615
414,0.00,0.00,0.00,1288,1566,615
415,0.00,0.00,0.00,1288,1566,615
416,0.00,0.00,0.00,1288,1566,615
417,0.00,0.00,0.00,1288,1566,615
418,0.00,0.00,0.00,1288,1566,615
419,0.00,0.00,0.00,1288,1566,615
420,0.00,0.00,0.00,1288,1566,615
421,0.00,0.00,0.00,1288,1566,615
422,0.00,0.00,0.00,1288,1566,615
423,0.00,0.00,0.00,1288,1566,615
424,0.00,0.00,0.00,1288,1566,615
425,0.00,0.00,0.00,1288,1566,615
426,0.00,0.00,0.00,1288,1566,615
427,0.00,0.00,0.00,1288,1566,615
428,0.00,0.00,0.00,1288,1566,615
429,0.00,0.00,0.00,1288,1566,615
430,0.00,0.00,0.00,1288,1566,615
431,0.00,0.00,0.00,1288,1566,615
432,0.00,0.00,0.00,1288,1566,615
433,0.00,0.00,0.00,1288,1566,615
434,0.00,0.00,0.00,1288,1566,615
435,0.00,0.00,0.00,1288,1566,615
436,0.00,0.00,0.00,1288,1566,615
437,0.00,0.00,0.00,1288,1566,615
438,0.00,0.00,0.00,1288,1566,615
439,0.00,0.00,0.00,1288,1566,615
440,0.00,0.00,0.00,1288,1566,615
441,0.00,0.00,0.00,1288,1566,615
442,0.00,0.00,0.00,1288,1566,615
443,0.00,0.00,0.00,1288,1566,615
444,0.00,0.00,0.00,1288,1566,615
445,0.00,0.00,0.00,1288,1566,615
446,0.00,0.00,0.00,1288,1566,615
447,0.00,0.00,0.00,1288,1566,615
448,0.00,0.00,0.00,1288,1566,615
449,0.00,0.00,0.00,1288,1566,615
450,0.00,0.00,0.00,1288,1566,615
451,0.00,0.00,0.00,1288,1566,615
452,0.00,0.00,0.00,1288,1566,615
453,0.00,0.00,0.00,1288,1566,615
454,0.00,0.00,0.00,1288,1566,615
455,0.00,0.00,0.00,1288,1566,615
456,0.00,0.00,0.00,1288,1566,615
457,0.00,0.00,0.00,1288,1566,615
458,0.00,0.00,0.00,1288,1566,615
459,0.00,0.00,0.00,1288,1566,615
460,0.00,0.00,0.00,1288,1566,615
461,0.00,0.00,0.00,1288,1566,615
462,0.00,0.00,0.00,1288,1566,615
463,0.00,0.00,0.00,1288,1566,615
464,0.00,0.00,0.00,1288,1566,615
465,0.00,0.00,0.00,1288,1566,615
466,0.00,0.00,0.00,1288,1566,615
467,0.00,0.00,0.00,1288,1566,615
468,0.00,0.00,0.00,1288,1566,615
469,0.00,0.00,0.00,1288,1566,615
470,0.00,0.00,0.00,1288,1566,615
471,0.00,0.00,0.00,1288,1566,615
472,0.00,0.00,0.00,1288,1566,615
473,0.00,0.00,0.00,1288,1566,615
474,0.00,0.00,0.00,1288,1566,615
475,0.00,0.00,0.00,1288,1566,615
476,0.00,0.00,0.00,1288,1566,615
477,0.00,0.00,0.00,1288,1566,615
478,0.00,0.00,0.00,1288,1566,615
479,0.00,0.00,0.00,1288,1566,615
480,0.00,0.00,0.00,1288,1566,615
481,0.00,0.00,0.00,1288,1566,615
482,0.00,0.00,0.00,1288,1566,615
483,0.00,0.00,0.00,1288,1566,615
484,0.00,0.00,0.00,1288,1566,615
485,0.00,0.00,0.00,1288,1566,615
486,0.00,0.00,0.00,1288,1566,615
487,0.00,0.00,0.00,1288,1566,615
488,0.00,0.00,0.00,1288,1566,615
489,0.00,0.00,0.00,1288,1566,615
490,0.00,0.00,0.00,1288,1566,615
491,0.00,0.00,0.00,1288,1566,615
492,0.00,0.00,0.00,1288,1566,615
493,0.00,0.00,0.00,1288,1566,615
494,0.00,0.00,0.00,1288,1566,615
495,0.00,0.00,0.00,1288,1566,615
496,0.00,0.00,0.00,1288,1566,615
497,0.00,0.00,0.00,1288,1566,615
498,0.00,0.00,0.00,1288,1566,615
499,0.00,0.00,0.00,1288,1566,615
500,0.00,0.00,0.00,1288,1566,615
