year_ce,east_plateau,wilkes_coast,weddell_coast,antarctic_peninsula,west_ice_sheet,victoria_coast,dronning_maud,west_antarctica,east_antarctica,all_antarctica
1605.0,0.1246,0.6794,0.5503,-0.2081,0.0823,0.2854,-3.4529,0.1819,0.1483,0.0853
1615.0,-0.4608,1.1759,-0.6577,0.7289,0.208,0.1016,-1.4806,0.1756,-0.3577,-0.2539
1625.0,-1.0159,0.5158,0.3302,-0.772,0.0057,-0.8517,-1.5247,-0.1296,-0.8506,-0.6817
1635.0,-0.422,0.0186,0.3031,-0.7687,0.4472,-0.5188,-1.0627,0.2685,-0.2304,-0.1371
1645.0,-0.4994,0.4604,0.5382,-0.7062,-0.0176,-0.6634,-1.2109,-0.0567,-0.5637,-0.4995
1655.0,-0.731,0.9692,-0.1241,0.429,0.7838,-0.1852,-2.2267,0.639,-0.6758,-0.3587
1665.0,-0.5846,0.1035,1.6266,-0.1824,0.2328,-0.0049,-2.9863,0.173,-0.2472,-0.2026
1675.0,-0.4971,0.5458,0.1473,-0.5827,-0.235,-1.0374,-1.3873,-0.3251,-0.3776,-0.29
1685.0,-0.5074,0.5576,-0.2728,0.6345,0.2587,-0.5749,-1.9755,0.2558,-0.3733,-0.2313
1695.0,-0.6899,-0.8458,-0.7019,-0.2836,0.569,-1.1974,-3.9518,0.4056,-0.673,-0.4643
1705.0,-0.3959,0.3085,0.3191,0.0677,0.081,-0.4648,-1.27,0.0509,-0.5263,-0.3557
1715.0,-0.1151,1.2351,0.097,-0.0009,-0.0691,-0.2534,-0.6073,-0.1082,-0.3903,-0.2895
1725.0,-0.0381,0.5887,0.9061,-0.868,0.2864,-1.0069,1.9544,0.1197,-0.1247,-0.2767
1735.0,-0.2562,0.2646,0.9362,0.7735,0.0683,-0.5281,-1.4048,0.1186,-0.1252,-0.1408
1745.0,-0.2778,0.0725,-0.1512,-0.4597,-0.7444,-0.4381,0.4214,-0.6418,-0.2239,-0.3757
1755.0,0.2449,0.1471,0.5804,-0.0004,-0.1577,-0.7287,-0.3467,-0.0975,0.2602,0.0535
1765.0,-0.5965,-0.2306,-0.0105,0.1991,0.3576,-1.2817,-0.726,0.2404,-0.3748,-0.3431
1775.0,-0.4756,-0.31,0.1865,0.0338,-0.0567,-0.9527,0.0997,-0.3406,-0.4506,-0.3548
1785.0,-0.5812,-0.787,-0.8165,-0.03,-0.1901,0.1318,-0.7117,-0.0936,-0.5863,-0.5324
1795.0,-0.5514,-0.3264,0.3513,0.2285,-0.1327,-0.0948,0.7098,-0.0102,-0.4914,-0.3205
1805.0,-0.5494,-1.0744,0.7041,-0.9153,-0.1103,-0.7671,-0.421,-0.1615,-0.4829,-0.3821
1815.0,-0.3293,-0.3857,1.0709,-0.0662,0.2387,-0.167,0.0406,0.0598,-0.0773,0.0595
1825.0,-0.4971,0.2491,-0.4949,-0.6955,0.4286,-0.8161,-0.4646,0.1771,-0.3208,-0.1229
1835.0,-0.3526,0.2785,0.2468,1.5404,0.7946,-0.8816,-0.3049,0.5589,-0.3559,-0.0203
1845.0,-0.6011,-0.6344,0.1111,-1.4963,-0.1185,-0.4108,0.1556,-0.2707,-0.6995,-0.5096
1855.0,-0.5458,0.55,-0.6487,-1.2517,0.4914,-0.9021,-0.2772,0.1807,-0.5434,-0.3712
1865.0,-0.1576,1.078,-1.3361,-1.2181,0.2749,0.262,0.8204,-0.1294,-0.2266,0.0132
1875.0,-0.0315,-0.0273,-1.0024,0.1734,0.195,-0.4296,-1.302,0.0811,-0.2114,-0.0814
1885.0,-0.2868,-0.6667,0.2609,-0.5948,0.3623,0.5629,-0.1639,0.1168,-0.1287,0.0596
1895.0,0.3458,-0.7037,-0.1844,-0.2999,0.1173,-0.3587,-1.1676,-0.0293,0.2033,0.1213
1905.0,0.0346,-0.6717,0.1583,-0.2915,-0.1452,-0.0794,0.2983,-0.1646,0.195,0.2155
1915.0,-0.1086,-0.8114,0.9242,-0.2909,0.0652,0.0093,-0.0178,0.0459,-0.0796,-0.0099
1925.0,0.916,0.1246,-0.4396,-0.7142,-0.0153,0.0765,-0.1079,-0.1243,0.5426,0.2828
1935.0,0.0645,-0.8547,-0.2587,-0.2885,0.1214,0.1326,-0.8157,0.0251,-0.3542,-0.1902
1945.0,-0.3261,0.276,0.484,-0.1751,-0.2126,-0.1056,-0.3215,-0.1645,-0.2798,-0.0945
1955.0,-0.3165,0.2991,-0.2788,0.068,-0.1659,0.0701,-0.2814,-0.0818,-0.1682,-0.1545
1965.0,-0.1673,0.2388,-0.5964,-0.291,-0.1061,0.2139,0.4892,-0.0673,-0.0442,-0.0838
1975.0,-0.4639,-0.0247,-0.6889,0.8507,0.1982,0.0294,0.6713,0.2391,-0.3168,-0.2232
1985.0,0.0392,1.4239,0.696,1.1324,0.2603,-0.277,0.5805,0.2924,0.1343,0.1886
1995.0,-0.1543,-0.3136,,1.2408,0.2455,-0.1489,1.1886,0.3008,0.3786,0.3581
2005.0,0.5284,,,2.0356,0.6656,-0.7563,1.1927,0.6695,0.1976,0.2034
