year_ce,mgca_mmol_mol
1634,84.326
1635,84.034
1636,89.016
1637,89.544
1638,91.199
1639,89.647
1640,88.943
1641,87.6
1642,88.524
1643,91.855
1644,92.244
1645,90.817
1646,86.679
1647,89.416
1648,91.939
1649,91.727
1650,91.772
1651,91.858
1652,87.641
1653,87.434
1654,88.373
1655,87.451
1656,89.85
1657,93.679
1658,90.367
1659,89.562
1660,87.614
1661,91.07
1662,90.655
1663,86.379
1664,88.364
1665,84.545
1666,89.732
1667,88.939
1668,90.995
1669,85.96
1670,91.004
1671,83.966
1672,89.519
1673,88.081
1674,83.897
1675,89.074
1676,85.153
1677,86.43
1678,87.603
1679,88.699
1680,85.153
1681,91.117
1682,86.569
1683,86.889
1684,91.76
1685,89.32
1686,89.439
1687,93.465
1688,94.368
1689,88.681
1690,87.698
1691,90.179
1692,93.853
1693,90.102
1694,89.143
1695,96.464
1696,88.281
1697,89.027
1698,88.976
1699,88.708
1700,89.56
1701,89.13
1702,88.76
1703,88.648
1704,88.901
1705,89.07
1706,89.531
1707,89.96
1708,90.543
1709,92.757
1710,93.064
1711,87.362
1712,90.595
1713,83.26
1714,89.596
1715,86.541
1716,82.829
1717,91.029
1718,88.233
1719,86.222
1720,87.716
1721,79.017
1722,86.909
1723,88.202
1724,82.739
1725,87.109
1726,85.447
1727,81.242
1728,85.35
1729,89.513
1730,87.122
1731,83.609
1732,86.625
1733,91.599
1734,86.512
1735,84.223
1736,89.918
1737,89.383
1738,84.486
1739,88.294
1740,83.628
1741,83.281
1742,87.256
1743,86.669
1744,83.814
1745,83.663
1746,87.087
1747,82.681
1748,86.846
1749,86.032
1750,83.532
1751,83.742
1752,89.287
1753,87.13
1754,90.326
1755,84.24
1756,85.739
1757,81.656
1758,85.316
1759,83.486
1760,84.339
1761,86.52
1762,87.698
1763,86.804
1764,84.183
1765,83.52
1766,81.984
1767,84.683
1768,81.758
1769,84.736
1770,86.619
1771,83.214
1772,83.188
1773,85.832
