disp,scenario,n_species,lat_median,lat_q25,lat_q75,ele_median
Hemerochor,7,881,0.736,-0.921,2.177,2.678
Hemerochor,8,881,0.767,-1.212,2.5,2.508
Hemerochor,9,881,0.661,-0.165,1.544,2.94
Hemerochor,10,881,0.651,-0.492,1.762,2.897
Hemerochor,11,881,0.652,-0.75,1.963,2.791
Hemerochor,12,881,0.74,-1.065,2.353,2.594
Hemerochor,13,881,0.65,-0.025,1.556,3.021
Hemerochor,14,881,0.709,-0.19,1.767,2.951
Hemerochor,15,881,0.744,-0.641,1.972,2.84
Hemerochor,16,881,0.707,-0.77,2.199,2.705
Nautochor,1,814,0.516,-1.218,1.625,3.598
Nautochor,2,814,0.772,-1.459,2.519,3.851
Nautochor,3,814,1.019,-1.713,3.646,4.179
Nautochor,4,814,1.22,-1.844,4.282,4.493
Nautochor,5,814,0.282,-1.028,1.118,3.491
Nautochor,6,814,0.598,-1.211,1.885,3.653
Nautochor,7,814,0.893,-1.541,2.772,3.974
Nautochor,8,814,1.034,-1.62,3.413,4.157
Nautochor,9,814,0.149,-0.947,0.898,3.413
Nautochor,10,814,0.395,-1.133,1.456,3.539
Nautochor,11,814,0.634,-1.434,2.138,3.749
Nautochor,12,814,0.903,-1.733,2.769,3.998
Nautochor,13,814,0.074,-0.957,0.831,3.424
Nautochor,14,814,0.355,-1.042,1.354,3.575
Nautochor,15,814,0.657,-1.253,2.236,3.708
Nautochor,16,814,0.806,-1.369,2.682,3.87
Ombrochor,1,202,0.406,-0.429,1.959,3.335
Ombrochor,2,202,1.523,0.168,3.081,3.513
Ombrochor,3,202,2.076,0.348,4.476,3.732
Ombrochor,4,202,2.54,0.258,5.244,3.875
Ombrochor,5,202,0.054,-0.622,1.266,3.208
Ombrochor,6,202,0.861,-0.271,2.311,3.399
Ombrochor,7,202,1.663,0.201,3.597,3.641
Ombrochor,8,202,2.131,0.428,4.857,3.759
Ombrochor,9,202,-0.202,-0.835,1.178,3.169
Ombrochor,10,202,0.3,-0.48,1.88,3.323
Ombrochor,11,202,0.977,-0.185,2.555,3.488
Ombrochor,12,202,1.763,0.206,3.838,3.639
Ombrochor,13,202,-0.043,-0.707,0.877,3.137
Ombrochor,14,202,0.411,-0.467,1.746,3.312
Ombrochor,15,202,1.371,0.107,3.102,3.503
Ombrochor,16,202,1.675,0.142,3.52,3.623
Zoochor,1,22584,0.388,-1.41,2.182,3.788
Zoochor,2,22585,0.961,-1.502,3.307,4.071
Zoochor,3,22586,1.394,-1.825,4.544,4.446
Zoochor,4,22585,1.701,-1.961,5.586,4.781
Zoochor,5,22589,0.127,-1.392,1.542,3.631
Zoochor,6,22586,0.544,-1.482,2.571,3.871
Zoochor,7,22585,1.1,-1.554,3.671,4.177
Zoochor,8,22585,1.397,-1.74,4.48,4.419
Zoochor,9,22589,-0.022,-1.303,1.165,3.556
Zoochor,10,22588,0.311,-1.394,2.03,3.732
Zoochor,11,22585,0.614,-1.667,2.882,3.971
Zoochor,12,22583,1.025,-1.697,3.669,4.208
Zoochor,13,22590,-0.114,-1.375,0.942,3.535
Zoochor,14,22587,0.289,-1.352,1.93,3.742
Zoochor,15,22585,0.8,-1.375,3.09,3.974
Zoochor,16,22586,1.113,-1.397,3.702,4.15
