Species,disp,scenario,Lat50,Ele50
Monticalia arbutifolia,Anemochor,8,3.704,2.921
Sanvitalia versicolor,Anemochor,10,0.434,3.244
Ormosia grossa,Zoochor,3,-10.176,8.313
Schinus fasciculata,Zoochor,11,13.625,5.207
Asparagus acocksii,Zoochor,11,2.221,4.606
Lomelosia graminifolia,Autochor,14,7.487,2.477
Eucalyptus morrisii,Anemochor,6,5.581,5.452
Cavendishia capitulata,Autochor,14,65.102,2.989
Hirtella macrophylla,Zoochor,2,0.424,5.917
Turnera blanchetiana,Autochor,7,5.654,4.914
Aspidosperma macrocarpon,Anemochor,9,0.573,4.784
Ranunculus lobbii,Zoochor,2,4.668,3.131
Muhlenbergia plumbea,Zoochor,14,-2.145,3.064
Papaver purpureomarginatum,Anemochor,4,2.428,2.962
Boronia octandra,Autochor,6,-2.415,5.585
Thevetia gaumeri,Anemochor,3,2.304,7.429
Viola stewardiana,Zoochor,10,3.598,2.581
Dalea lanata,Anemochor,3,4.183,3.742
Linum nodiflorum,Anemochor,14,2.022,2.422
Eriodictyon tomentosum,Anemochor,16,0.835,2.459
Lycium bosciifolium,Anemochor,12,1.901,4.859
Hydrophyllum fendleri,Anemochor,7,2.491,-0.084
Asemeia monninoides,Autochor,5,-0.434,3.016
Calochortus flexuosus,Autochor,7,3.242,2.18
Beyeria brevifolia,Zoochor,11,-2.148,5.49
Photinia lasiogyna,Zoochor,15,4.34,3.028
Boerhavia triquetra,Zoochor,5,0.862,2.545
Carex microptera,Autochor,13,1.38,2.942
Collinsonia verticillata,Zoochor,10,3.132,3.877
Carex lyngbyei,Autochor,14,-0.004,0.599
Erigeron denalii,Anemochor,9,2.818,-0.5
Styrax glabrescens,Zoochor,16,18.161,3.671
Paspalum tinctum,Autochor,10,-0.096,3.027
Urochloa dictyoneura,Autochor,3,11.464,5.992
Amyema preissii,Zoochor,8,9.918,6.156
Hypoestes triflora,Autochor,1,-1.324,3.203
Oncinotis tomentella,Anemochor,8,-4.249,4.224
Ipomoea carnea,Autochor,10,3.119,5.051
Oncostemum leprosum,Zoochor,4,-3.43,3.634
Bromus firmior,Zoochor,16,-2.939,2.838
Senna macranthera,Autochor,1,0.543,4.136
Austrostipa compressa,Autochor,6,-2.649,5.312
Carex conferta,Autochor,12,1.915,4.624
Pitcairnia micheliana,Anemochor,8,2.963,4.54
Vochysia pumila,Anemochor,5,-3.154,4.07
Stevia yaconensis,Anemochor,7,-2.014,2.974
Convolvulus supinus,Autochor,3,3.086,5.024
Eremophila laanii,Zoochor,3,8.103,6.962
Sloanea brevipes,Zoochor,13,-1.408,4.836
Peperomia caliginigaudens,Zoochor,8,2.463,4.105
Mentha longifolia,Autochor,7,0.03,2.33
Garcinia kingaensis,Zoochor,6,2.391,4.194
Asyneuma chinense,Anemochor,16,4.8,2.771
Cavanillesia platanifolia,Anemochor,12,-1.08,4.834
Microtea debilis,Autochor,15,1.511,6.012
Ehrharta longigluma,Zoochor,2,3.836,2.789
Gentiana calycosa,Anemochor,3,2.53,-0.835
Schismatoglottis calyptrata,Autochor,11,-1.58,4.172
Endlicheria mishuyacensis,Zoochor,6,-4.166,5.773
Astrebla elymoides,Anemochor,16,10.155,6.805
Amischotolype glabrata,Autochor,1,3.343,3.089
Syzygium resa,Zoochor,13,-0.216,2.361
Inula rhizocephala,Autochor,14,2.285,1.691
Agonandra peruviana,Zoochor,13,-3.162,4.757
Monarda clinopodia,Anemochor,16,1.103,2.475
Evolvulus ericifolius,Autochor,4,8.385,6.784
Perezia recurvata,Anemochor,6,-1.831,3.87
Serjania chaetocarpa,Anemochor,13,-0.793,4.47
Cenostigma tocantinum,Autochor,9,-1.871,5.057
Phemeranthus longipes,Zoochor,13,-0.088,2.866
Cyclanthera ribiflora,Autochor,7,4.941,3.638
Ficus watkinsiana,Zoochor,4,4.0,3.935
Schistocarpha eupatorioides,Anemochor,15,-0.547,3.887
Psychotria rufovillosa,Zoochor,3,28.947,3.422
Atractylis cancellata,Anemochor,8,2.178,2.703
Poikilospermum suaveolens,Zoochor,8,3.666,4.695
Sida asterocalyx,Autochor,15,13.015,6.37
Ischnosiphon annulatus,Zoochor,2,-23.459,4.158
Ageratina arsenei,Anemochor,3,-3.828,3.763
Allium neapolitanum,Anemochor,14,3.254,3.05
Calytrix glutinosa,Zoochor,8,3.53,5.878
Swainsona calcicola,Nautochor,7,3.459,6.114
Cyathochaeta stipoides,Autochor,7,-10.34,5.978
Aciotis acuminifolia,Autochor,7,1.149,7.102
Ficus crassinervia,Zoochor,12,5.952,6.811
Aphelandra squarrosa,Autochor,10,0.504,2.822
Guatteria modesta,Zoochor,7,-3.535,7.626
Hieracium juranum,Zoochor,14,0.25,2.431
Nuxia sphaerocephala,Autochor,7,-3.067,3.488
Aponogeton vanbruggenii,Autochor,1,-0.507,5.517
Paeonia californica,Anemochor,7,0.314,2.999
Paronychia macrosepala,Autochor,15,1.941,2.559
Dyschoriste trichocalyx,Autochor,5,-0.992,4.468
Fraxinus bungeana,Anemochor,1,2.13,2.853
Tillandsia aeranthos,Anemochor,1,0.685,4.286
Miconia rubiginosa,Zoochor,3,5.482,6.599
Smilax blumei,Zoochor,13,-0.295,3.718
Leptosiphon nuttallii,Autochor,2,0.73,1.34
Grewia erythraea,Autochor,9,1.354,2.868
Croton humbertii,Autochor,4,-7.366,4.539
Abutilon wrightii,Anemochor,6,2.232,3.62
Bambusa arnhemica,Autochor,8,-7.859,7.638
Sisyrinchium scabrum,Autochor,11,-4.381,3.042
Jubelina uleana,Anemochor,9,-5.533,4.927
Scleria macrophylla,Autochor,6,1.533,5.849
Musgravea heterophylla,Autochor,2,5.585,3.182
Begonia hirtella,Autochor,5,0.49,2.927
Callisthene microphylla,Anemochor,4,4.094,5.667
Agave colimana,Anemochor,3,6.768,4.826
Stryphnodendron coriaceum,Autochor,9,-0.123,5.026
Aechmea blumenavii,Autochor,12,9.086,2.968
Rubus swinhoei,Zoochor,4,2.32,2.87
Polystichum distans,Anemochor,2,9.113,4.236
Tibouchina fraterna,Autochor,4,10.366,5.995
Rubus vigoi,Zoochor,7,0.599,1.905
Calathea ursina,Zoochor,10,0.546,5.577
Vicia setifolia,Autochor,8,10.393,3.072
Atractantha falcata,Autochor,10,0.976,4.447
Randia rhagocarpa,Zoochor,12,0.161,6.416
Rensonia salvadorica,Anemochor,12,1.323,4.793
Artemisia biennis,Anemochor,3,1.831,0.385
Nuphar lutea,Autochor,11,-2.857,0.271
Serjania fuscifolia,Anemochor,4,7.781,5.928
Eucalyptus placita,Anemochor,11,0.364,3.24
Conyza laevigata,Anemochor,3,9.196,5.565
Senecio coronatus,Anemochor,14,1.053,3.276
Salix eastwoodiae,Anemochor,4,1.363,0.054
Carex styloflexa,Autochor,12,6.494,4.377
Elachyptera festiva,Anemochor,10,2.507,4.979
Condalia buxifolia,Zoochor,6,7.601,3.627
Secamone toxocarpoides,Anemochor,13,2.622,2.437
Trichomanes curtii,Anemochor,3,3.388,5.287
Gaylussacia angustifolia,Autochor,7,3.084,4.672
Coussapoa nitida,Zoochor,10,-4.0,6.083
Allium bidentatum,Anemochor,16,2.01,-2.836
Lithospermum parksii,Anemochor,1,2.366,4.185
Rubus epipsilos,Zoochor,14,1.804,3.72
Neonicholsonia watsonii,Zoochor,15,1.81,3.482
Sabatia campestris,Anemochor,12,10.074,8.216
Koenigia delicatula,Autochor,15,-3.617,1.791
Nemesia karroensis,Anemochor,1,-1.174,3.526
Nepeta latifolia,Zoochor,3,0.723,2.457
Pectocarya pusilla,Hemerochor,9,0.08,2.66
Vaccinium oxycoccos,Zoochor,8,-3.456,-4.337
Catopsis juncifolia,Anemochor,1,-5.223,5.164
Launaea lanifera,Anemochor,7,0.271,2.794
Chrysosplenium echinus,Autochor,3,2.321,1.465
Delphinium cardinale,Anemochor,2,7.233,3.001
Phaseolus augusti,Zoochor,7,9.666,3.891
Caryota rumphiana,Zoochor,13,-4.073,3.255
Echeveria mucronata,Anemochor,1,0.588,3.155
Gnidia strigillosa,Zoochor,4,1.183,3.436
Valeriana arizonica,Anemochor,2,-0.259,1.756
Melampodium cupulatum,Zoochor,8,0.724,4.991
Adenophyllum glandulosum,Anemochor,2,-0.886,3.679
Rhodocolea compressa,Anemochor,13,1.265,3.25
Spirodela polyrhiza,Autochor,11,-2.452,-1.309
Tamarix gallica,Anemochor,7,2.18,3.706
Matelea lanceolata,Anemochor,7,2.756,5.678
Cissus barteri,Autochor,8,4.635,6.611
Moltkiopsis ciliata,Autochor,16,4.334,4.859
Antennaria howellii,Anemochor,13,0.954,4.448
Tococa ciliata,Zoochor,2,-26.145,7.011
Exocarya sclerioides,Autochor,8,2.486,3.457
Lupinus angustiflorus,Autochor,1,-2.624,1.941
Diplacus puniceus,Anemochor,13,2.071,2.812
Persoonia nutans,Zoochor,12,1.214,2.981
Ivesia tweedyi,Zoochor,8,2.456,-6.288
Alphitonia incana,Autochor,5,-2.595,3.584
Tetraclinis articulata,Anemochor,15,1.366,3.021
Cyphostemma gigantophyllum,Zoochor,5,-1.832,4.985
Triflorensia cameronii,Autochor,3,5.437,3.135
Taraxacum platycarpum,Anemochor,13,4.313,2.629
Centrosema virginianum,Autochor,11,5.493,5.133
Lindera triloba,Zoochor,14,5.426,2.087
Ipomoea reticulata,Autochor,4,9.98,8.051
Peucedanum oreoselinum,Autochor,4,-3.326,2.968
Heterostemma brownii,Anemochor,9,0.392,2.658
Buchenavia grandis,Zoochor,13,-1.571,5.001
Solanum flaccidum,Autochor,10,-0.219,3.225
Persoonia procumbens,Zoochor,15,-0.87,2.778
Pitcairnia caricifolia,Anemochor,3,1.629,8.151
Pediomelum rhombifolium,Autochor,3,5.872,4.949
Felicia hyssopifolia,Anemochor,2,0.64,3.361
Jacquemontia bracteosa,Autochor,13,0.133,3.18
Carex glacialis,Autochor,11,-6.275,-7.854
Salvia cinnabarina,Autochor,7,2.783,3.482
Miconia longibracteata,Zoochor,13,2.795,3.166
Gorteria diffusa,Autochor,3,1.584,3.649
Cornus capitata,Zoochor,14,3.664,2.431
Eriogonum intricatum,Anemochor,8,0.154,5.664
Marsilea macropoda,Zoochor,7,3.428,5.062
Ouratea parvifolia,Zoochor,8,5.454,5.674
Warneckea sapinii,Zoochor,15,-1.055,4.939
Leptosiphon latisectus,Autochor,5,3.063,2.499
Eriostemon australasius,Autochor,8,4.737,3.787
Carex retrorsa,Autochor,4,-1.626,-1.848
Calystegia pellita,Autochor,4,-1.245,-6.273
Fraxinus apertisquamifera,Anemochor,13,11.533,2.296
Setaria vatkeana,Autochor,5,0.219,3.918
Leonia glycycarpa,Zoochor,7,0.406,7.138
Agave striata,Anemochor,16,3.555,3.779
Acalypha langiana,Autochor,5,3.174,2.972
Baccharis megapotamica,Anemochor,4,4.842,4.224
Mabea pulcherrima,Zoochor,11,-3.065,6.619
Erica placentiflora,Autochor,16,3.313,3.504
Citharexylum macrochlamys,Zoochor,4,1.7,7.08
Croton betaceus,Autochor,7,3.566,5.37
Syzygium arenitense,Zoochor,2,-3.766,6.728
Goeppertia sellowii,Zoochor,14,3.041,4.585
Sporobolus albicans,Autochor,6,0.989,4.354
Crepis jacquinii,Anemochor,3,4.353,0.251
Mabea elegans,Zoochor,1,4.142,6.264
Zygophyllum dregeanum,Zoochor,8,2.043,5.767
Hyalochlamys globifera,Anemochor,2,0.779,5.806
Hoffmannia conzattii,Zoochor,1,-0.922,3.671
Orobanche ballotae,Anemochor,2,3.307,2.318
Selaginella anceps,Chamaechor,7,1.308,6.231
Karelinia caspia,Anemochor,3,4.395,3.058
Begonia poculifera,Autochor,1,-1.052,5.039
Carex densa,Autochor,6,0.614,2.554
Delphinium chamissonis,Anemochor,16,-5.301,-11.454
Anthurium vittariifolium,Zoochor,2,1.555,6.247
Diphysa minutifolia,Chamaechor,8,3.834,6.267
Vernonanthura petiolaris,Anemochor,8,2.138,3.741
Lessingianthus asteriflorus,Anemochor,2,5.321,4.563
Viola beckwithii,Zoochor,8,1.676,0.556
Castilleja ambigua,Anemochor,8,-0.925,1.654
Carex aestivalis,Autochor,1,1.132,1.889
Brownea multijuga,Zoochor,11,-2.535,4.158
Girgensohnia oppositiflora,Anemochor,10,2.976,3.206
Crataegus irrasa,Zoochor,6,-0.184,1.123
Eriogonum giganteum,Anemochor,11,3.693,3.23
Fimbristylis dipsacea,Anemochor,14,1.384,4.026
Byttneria jaculifolia,Autochor,4,6.299,6.672
Solanum tenuipes,Autochor,12,2.439,3.184
Licania laxiflora,Zoochor,5,-2.367,5.323
Eremophila reticulata,Zoochor,9,1.578,4.749
Ehretia dicksonii,Zoochor,9,3.306,2.841
Elaeocarpus coorangooloo,Zoochor,5,1.449,2.979
Peixotoa tomentosa,Anemochor,5,1.045,3.836
Andira carvalhoi,Zoochor,10,3.57,3.738
Xanthorrhoea australis,Zoochor,5,-1.05,3.669
Gonocarpus elatus,Zoochor,5,-0.358,4.036
Oenothera pubescens,Autochor,7,-0.113,2.713
Aeollanthus repens,Autochor,3,-0.717,3.744
Turnera grandidentata,Autochor,4,13.719,7.311
Disterigma stereophyllum,Autochor,9,-4.971,3.131
Eremanthus goyazensis,Anemochor,4,7.051,6.597
Palicourea corymbifera,Zoochor,3,9.599,8.209
Digitaria leucites,Autochor,15,2.738,3.908
Delphinium peregrinum,Anemochor,16,3.26,2.533
Citharexylum myrianthum,Zoochor,13,0.289,3.949
Jacquemontia gracillima,Autochor,6,2.645,5.015
Alisma plantago-aquatica,Autochor,15,-1.626,3.247
Oxalis acetosella,Autochor,4,-3.722,0.537
Trichilia stipitata,Zoochor,3,-17.239,8.638
Uapaca ferruginea,Zoochor,4,-8.871,4.472
Senecio hochstetteri,Anemochor,3,-1.327,3.81
Rhynchospora gracilenta,Autochor,13,0.727,5.29
Oenothera howardii,Autochor,4,0.912,0.236
Guadua weberbaueri,Autochor,13,-1.001,5.342
Callistemon pinifolius,Anemochor,3,1.149,3.237
Brunfelsia guianensis,Autochor,8,-2.137,6.991
Senecio angustifolius,Anemochor,9,-0.776,3.091
Condalia fasciculata,Zoochor,16,1.516,3.457
Gronovia scandens,Zoochor,8,1.058,5.466
Pomaderris queenslandica,Zoochor,8,1.072,3.565
Nepeta densiflora,Zoochor,4,2.277,-2.17
Funastrum arenarium,Autochor,4,3.679,6.345
Capsicum lanceolatum,Zoochor,9,0.646,3.666
Iresine heterophylla,Anemochor,10,2.117,3.358
Bactris ferruginea,Zoochor,15,1.01,4.616
Tephrosia egregia,Autochor,2,7.433,4.427
Bignonia binata,Anemochor,1,3.86,5.027
Vriesea rubra,Anemochor,1,-2.291,4.176
Polygala cruciata,Autochor,8,6.896,5.078
Rourea puberula,Zoochor,14,0.867,5.551
Quercus austrina,Zoochor,6,5.505,5.999
Chusquea oligophylla,Anemochor,1,1.093,2.926
Geissorhiza confusa,Autochor,6,5.573,3.125
Ocellochloa gardneri,Autochor,2,0.386,3.596
Leucospermum cuneiforme,Anemochor,5,-1.316,3.008
Eriachne schultziana,Zoochor,14,-2.75,5.809
Emmenanthe penduliflora,Anemochor,14,1.77,2.321
Erythroxylum tenue,Zoochor,1,-8.378,4.972
Urtica incisa,Zoochor,4,-1.102,3.493
Cryptantha gracilis,Zoochor,1,0.696,1.809
Gastrolobium venulosum,Anemochor,1,-2.261,5.728
Cuscuta epithymum,Autochor,3,-1.712,2.728
Escallonia alpina,Anemochor,10,-1.618,3.598
Byttneria urticifolia,Autochor,12,3.263,5.555
Eupomatia laurina,Zoochor,16,1.901,3.381
Polygala linoides,Autochor,5,0.596,5.036
Bowlesia lobata,Zoochor,14,-1.721,3.165
Craterocapsa congesta,Anemochor,2,-0.237,2.812
Piper tenuilimbum,Zoochor,11,-6.503,4.913
Clidemia bernardii,Anemochor,12,-14.717,5.406
Funtumia africana,Anemochor,11,0.814,5.544
Selaginella cinerascens,Chamaechor,1,3.389,3.291
Clematis simensis,Anemochor,7,-5.744,3.54
Lepyrodia heleocharoides,Autochor,5,-3.455,4.717
Muhlenbergia implicata,Zoochor,13,-1.352,2.84
Melicope ternata,Autochor,5,-2.48,5.724
Solanum nigricans,Zoochor,13,1.411,2.913
Seemannaralia gerrardii,Zoochor,11,-1.626,3.004
Sasamorpha borealis,Anemochor,14,1.874,2.234
Solanum seaforthianum,Autochor,4,0.677,5.135
Mirabilis ovata,Zoochor,7,3.566,3.312
Gnidia oppositifolia,Zoochor,5,-1.667,3.084
Hortia oreadica,Zoochor,14,3.097,4.966
Nephrolepis arida,Anemochor,15,1.994,5.3
Astragalus leptaleus,Nautochor,5,1.056,1.537
Eucnide hirta,Zoochor,12,-5.246,4.11
Schoenoplectiella smithii,Zoochor,13,0.707,4.776
Sigmoidotropis speciosa,Autochor,7,1.486,4.2
Trimenia moorei,Autochor,7,-0.278,2.858
Pteronia viscosa,Anemochor,7,4.028,3.838
Schoenus melanostachys,Autochor,11,-1.471,2.989
Taraxacum intermedium,Anemochor,14,-2.098,6.401
Opercularia hispidula,Zoochor,15,-1.477,5.116
Cirsium vlassovianum,Zoochor,10,1.634,-0.698
Paronychia capitata,Autochor,1,1.619,2.836
Hydrochorea marginata,Autochor,5,-3.913,5.64
Stenospermation ulei,Zoochor,6,4.59,3.522
Facelis retusa,Anemochor,11,1.48,4.775
Centaurea nigrescens,Autochor,10,1.83,2.996
Loranthus europaeus,Zoochor,5,0.776,2.818
Dianthus arenarius,Hemerochor,15,-2.532,2.994
Gilia minor,Autochor,14,2.045,2.192
Glycyrrhiza lepidota,Autochor,13,0.348,4.682
Sanicula hacquetioides,Zoochor,11,2.222,1.091
Gentianella austriaca,Anemochor,13,1.489,3.066
Anticharis glandulosa,Zoochor,7,5.86,4.981
Oxypetalum humile,Anemochor,1,4.468,5.518
Senecio ilicifolius,Anemochor,6,-1.731,3.101
Galinsoga quadriradiata,Zoochor,16,0.467,3.264
Cheiloclinium obtusum,Zoochor,9,0.691,4.73
Baccharis riograndensis,Anemochor,8,3.415,4.266
Orthrosanthus polystachyus,Autochor,3,-1.911,3.759
Marsypianthes montana,Autochor,7,9.267,5.932
Prosopis tamaulipana,Zoochor,1,0.002,4.967
Taraxacum acutangulum,Anemochor,6,-2.106,4.722
Thalictrum venulosum,Anemochor,10,0.022,1.092
Puschkinia scilloides,Hemerochor,3,-0.519,0.11
Rhododendron semibarbatum,Anemochor,3,4.207,1.306
Rubus gracilis,Zoochor,14,-0.688,4.67
Marina procumbens,Anemochor,14,0.779,3.275
Sabia discolor,Zoochor,11,4.137,2.368
Philotheca brucei,Autochor,12,2.632,5.921
Calliandra blanchetii,Autochor,6,-0.654,3.271
Rhododendron simiarum,Anemochor,1,4.979,2.489
Micraira adamsii,Anemochor,15,-4.355,6.728
Astragalus laxmannii,Nautochor,12,0.682,-3.455
Jacaranda obtusifolia,Anemochor,8,8.656,7.726
Orobanche ramosa,Hemerochor,1,1.23,2.873
Clutia pulchella,Autochor,16,1.409,3.608
Psychotria succulenta,Zoochor,8,5.009,5.982
Tibouchina noblickii,Autochor,16,-0.136,4.082
Pomaderris graniticola,Zoochor,16,-0.025,3.184
Cardamine penduliflora,Autochor,14,-0.118,2.703
Antizoma angustifolia,Zoochor,8,1.172,5.523
Ticodendron incognitum,Anemochor,11,-2.564,3.542
Goodenia lobata,Zoochor,3,8.58,6.428
Lonchocarpus heptaphyllus,Autochor,11,2.686,5.275
Vismia glabra,Zoochor,5,0.152,5.352
Oxalis semiloba,Autochor,16,0.547,3.796
Dyschoriste linearis,Autochor,7,4.837,4.488
Wilbrandia verticillata,Zoochor,16,2.771,3.722
Ranunculus aduncus,Zoochor,14,5.968,2.898
Gomphrena meyeniana,Autochor,15,6.012,4.609
Osmorhiza berteroi,Zoochor,3,-0.563,-0.351
Myrsine balansae,Zoochor,11,0.777,4.069
Eucalyptus squamosa,Anemochor,16,2.323,2.995
Oxytropis kobukensis,Zoochor,16,-7.206,-11.631
Silene borysthenica,Anemochor,1,-1.354,0.845
Angostura longiflora,Anemochor,16,9.056,7.116
Cryptocarya meisneriana,Zoochor,7,-1.698,2.893
Buxus citrifolia,Zoochor,4,1.166,6.172
Passiflora variolata,Zoochor,2,-3.059,6.598
Vellozia minima,Autochor,1,-26.181,2.972
Deeringia amaranthoides,Zoochor,8,1.937,4.237
Chamaemelum nobile,Anemochor,8,0.796,2.763
Codonopsis subscaposa,Anemochor,11,5.416,2.791
Bathysa australis,Autochor,9,0.587,2.743
Penstemon arkansanus,Anemochor,4,5.993,4.611
Ranunculus graniticola,Zoochor,2,-1.24,2.696
Ocotea splendens,Zoochor,2,-4.905,6.818
Hoya australis,Anemochor,15,1.339,4.089
Rudgea colombiana,Zoochor,1,-1.498,3.796
Erigeron gracilis,Anemochor,15,0.659,-0.794
Dalea pectinata,Anemochor,7,0.697,3.078
Oxalis obtusa,Autochor,12,1.916,3.105
Parthenium ligulatum,Hemerochor,12,2.299,-0.863
Sclerolaena convexula,Zoochor,6,5.007,5.672
Graffenrieda gracilis,Anemochor,16,-3.342,4.289
Clidemia clandestina,Anemochor,16,-3.0,3.959
Eleocharis mutata,Autochor,14,-1.047,4.921
Castilleja rhexiifolia,Anemochor,8,-0.227,-2.159
Acalypha infesta,Autochor,5,0.993,3.753
Achnatherum perplexum,Zoochor,4,-1.196,1.16
Bistorta vivipara,Autochor,15,-3.067,-3.648
Qualea lineata,Anemochor,4,-4.414,6.176
Trifolium monanthum,Zoochor,9,-0.346,2.459
Corylus cornuta,Zoochor,10,0.07,3.615
Phyllanthus lamprophyllus,Autochor,3,1.376,4.588
Baloghia inophylla,Autochor,8,0.239,3.381
Maesobotrya klaineana,Zoochor,13,0.301,3.628
Monotropa uniflora,Anemochor,3,-1.289,0.701
Grindelia stricta,Anemochor,12,0.214,2.247
Grevillea muelleri,Autochor,7,-2.263,5.061
Solidago californica,Anemochor,14,3.765,2.465
Astragalus cicer,Nautochor,4,-1.832,2.491
Combretum edwardsii,Anemochor,10,0.863,2.904
Ipomoea chiliantha,Autochor,8,26.688,8.224
Niphidium rufosquamatum,Anemochor,10,-0.147,3.691
Styphelia exserta,Zoochor,13,-3.037,5.722
Arthraxon prionodes,Anemochor,15,4.983,2.86
Plantago hookeriana,Zoochor,13,1.617,3.292
Dischistocalyx grandifolius,Nautochor,3,5.687,7.165
Eucalyptus ordiana,Anemochor,13,0.901,4.525
Centrosema vexillatum,Autochor,12,4.301,6.25
Oenanthe linearis,Autochor,14,3.365,2.751
Protium montanum,Zoochor,14,-1.849,3.57
Critonia sexangularis,Anemochor,16,14.34,3.646
Peperomia alpina,Zoochor,3,11.217,4.149
Anthurium paraguayense,Zoochor,4,24.587,7.282
Gaillardia turneri,Hemerochor,16,-0.11,3.109
Catha edulis,Zoochor,12,-0.743,3.867
Schoenus nigricans,Autochor,1,0.463,3.869
Salix cathayana,Anemochor,13,4.97,2.377
Newbouldia laevis,Anemochor,15,-1.113,5.668
Schoenus variicellae,Autochor,11,0.666,5.758
Ambrosia artemisiifolia,Hemerochor,10,0.786,4.481
Gentianella bellidifolia,Anemochor,11,-3.009,4.959
Chamaecrista langsdorffii,Autochor,12,4.785,5.826
Glandularia thymoides,Anemochor,2,2.902,4.667
Salvia officinalis,Autochor,2,1.009,2.507
Aspidonepsis diploglossa,Anemochor,4,0.966,2.915
Ipomoea carnea,Autochor,5,1.908,4.726
Campanula aparinoides,Anemochor,5,-0.056,3.817
Symplocos laxiflora,Zoochor,1,-0.078,3.727
Isertia coccinea,Zoochor,12,8.694,7.425
Stylisma humistrata,Autochor,1,3.792,5.446
Streblus dimepate,Zoochor,16,-5.46,3.653
Eremophila clarkei,Zoochor,12,4.428,6.09
Miconia abbreviata,Zoochor,16,-0.885,6.579
Ornithogalum hispidum,Anemochor,5,1.571,2.774
Dilobeia thouarsii,Autochor,8,-9.027,3.603
Knautia nevadensis,Zoochor,6,0.368,2.235
Ranunculus pentandrus,Anemochor,5,2.555,5.375
Tephrosia diversifolia,Autochor,4,3.565,4.69
Saurauia polyneura,Zoochor,4,20.524,2.18
Anthurium spathiphyllum,Zoochor,11,-8.259,4.628
Clidemia globuliflora,Anemochor,5,-5.101,2.944
Jacquemontia densiflora,Autochor,10,3.033,4.837
Delphinium laxiflorum,Anemochor,2,0.168,-2.132
Acacia laricina,Zoochor,2,-0.724,5.726
Kunzea bracteolata,Zoochor,4,1.362,2.604
Arytera bifoliolata,Zoochor,5,-1.631,4.513
Gomphrena demissa,Autochor,12,0.408,4.77
Ellisia nyctelea,Anemochor,2,1.192,3.156
Eucalyptus cladocalyx,Anemochor,9,-2.155,5.061
Calliandra tweedii,Autochor,4,5.093,4.551
Liabum stipulatum,Zoochor,2,-1.832,3.504
Mimosa caesalpiniifolia,Autochor,9,0.123,4.35
Cyclopeltis novoguineensis,Anemochor,7,-13.664,4.585
Tripogon chinensis,Anemochor,4,7.314,1.693
Ophiopogon intermedius,Zoochor,6,3.831,2.488
Baccharis elliptica,Anemochor,16,11.075,4.831
Clinopodium douglasii,Zoochor,3,-0.794,2.111
Symphyopappus cuneatus,Anemochor,7,5.608,4.578
Amaranthus muricatus,Zoochor,2,5.286,4.914
Dicranolepis disticha,Zoochor,9,0.071,4.666
Ficus ypsilophlebia,Zoochor,3,3.754,6.866
Hieracium crepidispermum,Zoochor,1,-1.166,2.901
Anthosachne rectiseta,Anemochor,14,-0.141,3.937
Robinsonella samaricarpa,Anemochor,4,10.26,6.328
Guatteria anomala,Zoochor,12,-4.275,5.327
Erythrochiton fallax,Anemochor,14,7.722,5.288
Scleria spiciformis,Autochor,11,4.326,5.898
Iresine diffusa,Anemochor,5,1.228,3.463
Lysiana exocarpi,Zoochor,9,-0.114,5.115
Regelia inops,Zoochor,5,-1.632,5.626
Digitalis purpurea,Hemerochor,3,0.511,2.085
Sedum leibergii,Anemochor,13,0.482,2.485
Trichilia mazanensis,Zoochor,10,-3.164,5.414
Rhododendron aganniphum,Anemochor,4,-1.869,-0.337
Ocotea acutifolia,Zoochor,9,0.112,4.726
Amphibolia laevis,Zoochor,15,2.579,3.763
Persea alba,Zoochor,10,0.597,3.252
Passiflora glandulosa,Zoochor,1,0.34,5.611
Alchemilla murbeckiana,Autochor,10,-1.098,2.312
Erica eremioides,Autochor,13,1.479,2.786
Fimbristylis argillicola,Anemochor,9,-0.977,2.892
Botrychium montanum,Chamaechor,8,-0.292,-0.925
Cecropia litoralis,Zoochor,15,-7.877,4.33
Codonanthopsis uleana,Anemochor,16,1.442,5.206
Sinningia allagophylla,Anemochor,16,2.988,4.315
Allocasuarina diminuta,Anemochor,8,2.355,3.355
Euryops empetrifolius,Anemochor,3,4.065,3.581
Corrigiola telephiifolia,Autochor,6,0.672,2.775
Endlicheria griseosericea,Zoochor,8,12.758,4.093
Canna flaccida,Zoochor,16,6.163,5.275
Schwartzia adamantium,Zoochor,8,0.384,4.945
Mitrasacme glaucescens,Anemochor,4,-1.326,8.675
Ocotea tristis,Zoochor,1,1.331,3.242
Aira cupaniana,Zoochor,2,1.846,2.944
Pseudognaphalium beneolens,Anemochor,7,2.243,2.41
Myriopus paniculatus,Zoochor,12,2.911,4.949
Nerisyrenia incana,Anemochor,11,7.113,3.996
Trachyphrynium braunianum,Zoochor,10,1.595,5.6
Carlowrightia pectinata,Autochor,11,-1.778,4.133
Ochrosia moorei,Hemerochor,1,-2.391,3.842
Epilobium strictum,Anemochor,3,-1.626,1.634
Goodenia varia,Zoochor,5,-1.356,5.492
Thysanotus chinensis,Zoochor,14,0.933,5.396
Grewia barteri,Autochor,1,-2.194,5.673
Myosotis caespitosa,Zoochor,1,-0.927,4.278
Annona paludosa,Zoochor,14,1.195,5.689
Scolopia orientalis,Zoochor,9,-2.304,3.639
Senegalia loretensis,Autochor,7,6.681,6.136
Verbesina myriocephala,Autochor,12,2.436,5.61
