Species,disp,scenario,Lat50,Ele50
Galium boreale,Autochor,13,1.26,2.998
Layia glandulosa,Anemochor,11,1.012,2.205
Duguetia flagellaris,Zoochor,14,-3.179,5.487
Scleria schiedeana,Autochor,1,3.387,3.188
Wettinia augusta,Zoochor,15,4.217,6.555
Bidens aurea,Zoochor,3,0.217,3.253
Cordia trachyphylla,Autochor,11,-3.711,6.084
Myrcia rosangelae,Zoochor,3,-5.526,5.137
Physena sessiliflora,Autochor,7,-0.543,5.023
Phacelia arizonica,Anemochor,10,0.784,2.5
Chamaesyce fendleri,Autochor,13,0.19,3.76
Aristolochia baetica,Autochor,15,1.037,2.945
Portulaca quadrifida,Autochor,7,-1.354,5.808
Mikania elliptica,Anemochor,7,0.7,3.534
Pseudogynoxys cummingii,Anemochor,8,-3.727,4.441
Galipea ciliata,Autochor,3,6.264,5.657
Asclepias erosa,Anemochor,11,-0.691,2.727
Phyllanthus compressus,Autochor,6,6.158,5.292
Bahiopsis lanata,Zoochor,1,-5.448,3.893
Plantago arborescens,Zoochor,4,1.84,3.843
Achimenes fimbriata,Autochor,10,2.243,3.154
Angelica venenosa,Autochor,9,0.965,4.115
Bertya pedicellata,Zoochor,1,0.71,4.238
Urera glabriuscula,Zoochor,6,-10.395,4.14
Pteris werneri,Anemochor,13,-2.523,3.233
Baccharis lymanii,Anemochor,7,9.999,4.019
Sibara angelorum,Anemochor,2,1.149,5.035
Ranunculus nodiflorus,Zoochor,3,0.554,2.113
Coccoloba acapulcensis,Autochor,6,1.592,4.886
Tritonia karooica,Autochor,9,-0.4,3.929
Sporobolus atrovirens,Autochor,16,-0.873,3.538
Libocedrus bidwillii,Zoochor,14,-2.747,4.604
Echinacea sanguinea,Anemochor,4,11.769,6.116
Nymphaea violacea,Autochor,3,4.073,6.926
Linospadix albertisianus,Zoochor,5,-5.697,3.487
Polygala microphylla,Autochor,13,0.045,2.805
Huodendron biaristatum,Zoochor,15,1.736,2.714
Taxodium mucronatum,Nautochor,9,-0.919,2.988
Procris crenata,Zoochor,15,1.817,3.794
Ajuga sinuata,Zoochor,13,-0.502,2.67
Calochortus fuscus,Autochor,2,7.031,3.168
Pycnophyllum bryoides,Zoochor,9,-4.068,3.627
Staberoha aemula,Autochor,7,-0.079,3.536
Darwinia grandiflora,Zoochor,2,1.025,2.932
Atriplex corrugata,Anemochor,14,0.898,2.033
Philodendron fibrillosum,Zoochor,5,2.346,4.913
Talinum caffrum,Autochor,5,0.169,4.321
Clerodendrum tomentosum,Autochor,16,4.708,4.982
Burmeistera glauca,Autochor,1,10.259,3.392
Themistoclesia smithiana,Autochor,5,5.331,3.012
Actephila excelsa,Autochor,8,1.587,5.08
Arceuthobium globosum,Autochor,7,2.282,2.966
Poa binata,Anemochor,5,0.285,2.838
Salvia nipponica,Autochor,1,1.75,2.134
Sedella pumila,Anemochor,10,1.279,2.408
Carex pichinchensis,Autochor,6,-1.5,3.138
Tetrapogon tenellus,Autochor,3,3.313,7.079
Cryptocarya transversa,Zoochor,9,-2.268,3.17
Sporobolus fertilis,Autochor,1,3.017,2.735
Puccinellia arctica,Hemerochor,7,-7.099,-13.022
Lycianthes nitida,Zoochor,16,-2.463,4.385
Ceanothus sanguineus,Anemochor,13,0.71,2.702
Diamorpha smallii,Anemochor,6,2.433,4.751
Galeopsis pubescens,Zoochor,14,1.909,3.34
Combretum paraguariense,Anemochor,14,-0.551,5.766
Chlorospatha longipoda,Autochor,7,12.507,4.03
Sabal yapa,Zoochor,9,-0.566,5.498
Licania bracteata,Zoochor,2,-10.945,7.715
Ranunculus hyperboreus,Zoochor,10,-2.942,-2.932
Leretia cordata,Zoochor,15,-0.055,6.223
