sample_id,phase,anatolian_farmers,chg,iran_neolithic,baltic_central_eur_hg,early_spain_hg,russian_hg,ukraine_hg,western_hg
BUR316,1,0.691102860140915,0,0,0,0.308897139859084,0,0,0
BUR250,2,0.719979419894581,0,0,0,0.280020580105418,0,0,0
BUR183,1,0.678848667509854,0,0,0,0.321151332490145,0,0,0
BUR271,1,0.637090850089516,0,0,0,0.362909149910483,0,0,0
BUR340,1,0.600934861175265,0,0,0,0.399065138824734,0,0,0
BUR220,Unknown,0.698310291006077,0,0,0,0.301689708993922,0,0,0
BUR263,1,0.649520849121798,0,0,0,0.350479150878201,0,0,0
BUR299,Unknown,0.683955908009783,0,0,0,0.316044092,0,0,0
BUR242,1,0.648382279585654,0,0,0,0.351617720414345,0,0,0
BUR315,1,0.734999341669815,0,0,0,0.263956936952579,0.001043721,0,0
BUR184,2,0.708951190836351,0,0,0,0.291048809163648,0,0,0
BUR300,2,0.67007034799271,0,0,0,0.329929652007289,0,0,0
BUR312,2,0.706300614,0,0,0,0.293699385601094,0,0,0
BUR212,1,0.621500976427569,0,0,0,0.37849902357243,0,0,0
BUR256,2,0.717235654282341,0,0,0,0.282764346,0,0,0
BUR334,1,0.65364667385502,0,0,0,0.346353326144979,0,0,0
BUR248,1,0.691642187996802,0,0,0,0.308357812003197,0,0,0
BUR239,2,0.712525014709033,0,0,0,0.287474985290966,0,0,0
BUR257,1,0.663217177922343,0,0,0,0.336782822077656,0,0,0
BUR286,1,0.670050266235068,0,0,0,0.329949733764931,0,0,0
BUR346,1,0.694464313474516,0,0,0,0.305535686525483,0,0,0
BUR169,2,0.718659956066841,0,0,0,0.281340043933158,0,0,0
BUR223,1,0.612796494707748,0,0,0,0.387203505292251,0,0,0
BUR314,2,0.710113742605455,0,0,0,0.289886257394544,0,0,0
BUR267,1,0.56636787992092,0,0,0,0.433632120079079,0,0,0
BUR209,1,0.675065160139635,0,0,0,0.32493484,0,0,0
BUR207,1,0.730507193790812,0,0,0,0.269492806209187,0,0,0
BUR226,2,0.708926026009754,0,0,0,0.291073973990245,0,0,0
BUR284,Unknown,0.715316412274663,0,0,0,0.284683587725336,0,0,0
