sample_id,phase,pathogen,coverage_avg,n_reads,ani
BUR276,2,Clostridium perfringens,0.121837235894529,9947,0.98821969
BUR276,2,Treponema denticola,0.216721507321568,10616,0.971361688499839
BUR278,1,Staphylococcus epidermidis,0.00181491,72,0.98371023
BUR278,1,Streptococcus intermedius,6.89821662001059,255997,0.979728622222038
BUR279,1,Staphylococcus epidermidis,0.0023434,90,0.9746264
BUR280,2,Listeria monocytogenes,0.0038086,237,0.98033409
BUR283,1,Treponema denticola,0.00618402,363,0.971911015813454
BUR284,Unknown,Treponema denticola,0.00354572,191,0.972121550041817
BUR284,Unknown,Yersinia enterocolitica,0.00940084,1034,0.981448696700316
BUR286,1,Enterococcus faecalis,0.02359231,1076,0.973447555726036
BUR286,1,Clostridium perfringens,0.00661888,350,0.974902257535628
BUR288,1,Staphylococcus hominis,0.0155715,541,0.986370157819225
BUR289,1,Streptococcus pyogenes,0.00814842,375,0.987058141780954
BUR289,1,Bacillus sp. FJAT-22090,0.00279482,169,0.976770087509944
BUR289,1,Clostridium botulinum,0.02516339,2321,0.973008878535275
BUR290,1,Corynebacterium matruchotii,0.44340155,26924,0.972077495503839
BUR290,1,Campylobacter showae,0.116663118236769,5211,0.97111748
BUR290,1,Yersinia enterocolitica,1.83013255134054,209582,0.99500015
BUR291,1,Staphylococcus hominis,0.00444038,150,0.973003802281368
BUR293,2,Treponema denticola,0.00125714,73,0.97055616
BUR297,2,Staphylococcus hominis,0.03011352,897,0.97476964
BUR297,2,Corynebacterium matruchotii,0.768482952520492,39590,0.970538960845448
BUR298,1,Corynebacterium matruchotii,0.07059887,4173,0.97181008
BUR299,Unknown,Streptococcus mutans,1.03731446210755,28908,0.98279104
BUR299,Unknown,Clostridium novyi,0.0127535,584,0.97673018
BUR299,Unknown,Corynebacterium matruchotii,1.587511575835,85849,0.978413590364599
BUR299,Unknown,PseudomoInfs sp. LG1D9,2.14418519680372,282962,0.98413788
BUR300,2,Streptococcus oralis,0.00269242,92,0.978447488584474
BUR303,1,Staphylococcus hominis,0.00590551,198,0.970282825522612
BUR307,2,Borrelia recurrentis,0.00730741,142,0.983487320621191
BUR307,2,Clostridium butyricum,0.184624111567585,19209,0.987733108703564
BUR310,2,Streptococcus milleri,0.454284780491003,13581,0.972761954965479
BUR310,2,Clostridium butyricum,0.00182115,205,0.97889182
BUR310,2,Corynebacterium matruchotii,0.07690175,4316,0.971369473918278
BUR314,2,Streptococcus pyogenes,0.00475947,225,0.985378188214599
BUR323,2,Clostridium novyi,0.00116643,66,0.9816371
BUR323,2,Treponema denticola,0.00758259,448,0.974493891019352
BUR323,2,Campylobacter showae,0.00391423,186,0.977894623886683
BUR330,1,Streptococcus sanguinis,0.43968091150709,19285,0.972766559902202
BUR330,1,Clostridium septicum,0.02996342,1806,0.984623999004559
BUR330,1,Treponema denticola,0.04366364,2344,0.972817809896377
BUR330,1,Haemophilus influenzae,0.00277443,96,0.978689956331877
BUR333,1,Clostridium cochlearium,0.436667776674157,17476,0.98196506241188
BUR333,1,Treponema denticola,0.00284025,139,0.973636253189162
BUR337,1,Escherichia coli,0.00109992,100,0.977890295358649
BUR338,1,Clostridium perfringens,0.04982887,3131,0.979970961617214
BUR341,1,Yersinia intermedia,0.01338558,1471,0.989883256481038
BUR342,1,Corynebacterium matruchotii,1.59773131001979,82080,0.971912384715725
BUR344,1,Staphylococcus epidermidis,0.0222983,801,0.978476664670847
BUR344,1,Enterococcus casseliflavus,0.112795993086054,5840,0.985321702530004
BUR344,1,Treponema denticola,0.06306469,3546,0.976729352367876
BUR344,1,Campylobacter gracilis,0.03070495,1422,0.975933
BUR345,1,Yersinia pestis,0.00921738,1106,0.992785438499724
BUR346,1,Yersinia enterocolitica,0.00766406,886,0.992371688211954
BUR348,2,Staphylococcus epidermidis,0.02715834,938,0.975241265417763
BUR348,2,Yersinia intermedia,0.985946597237666,108704,0.992955451324689
BUR349,1,Staphylococcus epidermidis,0.03582395,1232,0.97806479104735
BUR349,1,Yersinia enterocolitica,0.000811910613317398,102,0.99289205
