sample_id,phase,phase_confidence,sex,family_id,mito_haplogroup,y_haplogroup,avg_age_cal_bc
BUR253,2,Medium,XY,no_data,K1a+195,,"=IFERROR(-VLOOKUP(A85,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR254,1,High,XY,pedigree_1.B,K1a+195,I2a1a2,"=IFERROR(-VLOOKUP(A86,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR255,Unknown,Low,XX,unrelated,H+152,,"=IFERROR(-VLOOKUP(A87,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR256,2,Medium,XY,pedigree_2.E,U5a1,I2a1b1,"=IFERROR(-VLOOKUP(A88,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR257,1,High,XX,pedigree_1.B,U5b1+16189+@16192,,"=IFERROR(-VLOOKUP(A89,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR258,1,High,XY,pedigree_1.E,U4a2f,I2a1a2,"=IFERROR(-VLOOKUP(A90,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR259,1,High,XY,pedigree_1.A,H3,H2a1,"=IFERROR(-VLOOKUP(A91,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR260,2,Medium,XY,unrelated,H1,I2a1a1,"=IFERROR(-VLOOKUP(A92,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR261,1,Medium,XY,no_data,K1b1a,,"=IFERROR(-VLOOKUP(A93,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR262,1,High,XX,pedigree_1.A,K1b1a,,"=IFERROR(-VLOOKUP(A94,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR263,1,High,XY,pedigree_1.A,T2b3c,H2a1,"=IFERROR(-VLOOKUP(A95,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR264,1,High,XX,pedigree_1.A,K1a2a,,"=IFERROR(-VLOOKUP(A96,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR265,2,High,XY,pedigree_2.A,H3i,I2a1a1,"=IFERROR(-VLOOKUP(A97,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR266,1,High,XY,pedigree_1.B,H1c,I2a1a2,"=IFERROR(-VLOOKUP(A98,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR267,1,High,XY,unrelated,V10b,I2a1a2,"=IFERROR(-VLOOKUP(A99,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR268,2,Medium,XY,unrelated,HV0a,I2a1a1,"=IFERROR(-VLOOKUP(A100,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR269,1,High,XY,pedigree_1.C,H1q,H2a1,"=IFERROR(-VLOOKUP(A101,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
BUR270,2,High,XY,pedigree_2.D,H1ak1,I2a1a1,"=IFERROR(-VLOOKUP(A102,'3_datesAndIsotopes '!A$2:P$20,15,FALSE),"""")"
