distance to center [km], normalized intensity
2.486037090478247933e+02,7.186419942805016836e-01
2.495347217633445780e+02,7.239771493703831551e-01
2.504664587542465597e+02,7.229652048380169616e-01
2.513988975134720931e+02,7.294461505979038529e-01
2.523320156006024888e+02,7.390399324188761110e-01
2.532658346555571143e+02,7.487281125934932557e-01
2.542003177827391482e+02,7.585623498099989259e-01
2.551354868774149622e+02,7.686326678202984874e-01
2.560713199134555111e+02,7.789488995161388818e-01
2.570077949249555900e+02,7.896166003468050310e-01
2.579449341755880596e+02,8.006909144516786148e-01
2.588827011752877070e+02,8.123911231482641160e-01
2.598211184239850695e+02,8.249724994788006915e-01
2.607601643370422266e+02,8.389032940648524228e-01
2.616998173842414985e+02,8.549583217974752181e-01
2.626401004065314169e+02,8.747942196055965569e-01
2.635809772848053854e+02,9.028783191371287931e-01
2.645224710788052107e+02,9.652169236607954783e-01
2.654645606094630921e+02,9.902100458492172352e-01
2.664072247468800470e+02,9.917204890677663309e-01
2.673504868667519645e+02,9.918983641424895525e-01
2.682943111894935555e+02,9.919786935820397167e-01
2.692387212936063179e+02,9.920581687237528534e-01
2.701836963728590035e+02,9.921421993677161932e-01
2.711292156654386645e+02,9.922111355832017310e-01
2.720753030428483612e+02,9.922935549476969985e-01
2.730219230364266991e+02,9.923729791128965694e-01
2.739690997058373796e+02,9.924456941032394619e-01
2.749167976993657021e+02,9.925098087774120170e-01
2.758650412593252099e+02,9.925934281202067888e-01
2.768138100519158797e+02,9.926681244092158130e-01
2.777630837818522309e+02,9.927312693186942649e-01
2.787128869555010056e+02,9.928079508200569059e-01
2.796631844963009712e+02,9.928733426950444585e-01
2.806140010802997722e+02,9.929432929535603192e-01
2.815653166792574211e+02,9.930160237967924353e-01
2.825171112997085743e+02,9.930835700432631974e-01
2.834694098631185852e+02,9.931486379086190697e-01
2.844221775452509178e+02,9.932068962103727250e-01
2.853754394253502369e+02,9.932808265550930882e-01
2.863291757567763511e+02,9.933494041060735302e-01
2.872833668242761860e+02,9.933979289820555891e-01
2.882380379354042361e+02,9.934653376713369344e-01
2.891931544974471535e+02,9.935228862105888181e-01
2.901487419648084938e+02,9.935941103366434657e-01
2.911047808505578587e+02,9.936509850561694446e-01
2.920612516960839002e+02,9.937102807359625700e-01
2.930181801683819458e+02,9.937656837365768103e-01
2.939755318872956877e+02,9.938297132925169031e-01
2.949333326566228948e+02,9.938871457265646692e-01
2.958915632291324300e+02,9.939412031423487948e-01
2.968502043831314836e+02,9.939960136318707340e-01
2.978092821205563610e+02,9.940519617521589302e-01
2.987687622565059087e+02,9.941139663051777875e-01
2.997286709204767021e+02,9.941591862703313964e-01
3.006889740011677645e+02,9.942161463272523036e-01
3.016496977521485974e+02,9.942671526053002973e-01
3.026108232313640656e+02,9.943225219922794400e-01
3.035723315188368474e+02,9.943743370253329550e-01
3.045342490479529829e+02,9.944267770514849669e-01
3.054965418809441644e+02,9.944777884839082205e-01
3.064592365670354752e+02,9.945269950365291933e-01
3.074223143625047214e+02,9.945720046062966890e-01
3.083857565435094443e+02,9.946245208633771595e-01
3.093495898272337854e+02,9.946753629723555923e-01
3.103137804355260982e+02,9.947182984142076689e-01
3.112783551938198343e+02,9.947664734857653013e-01
3.122432955418985330e+02,9.948169342669163084e-01
3.132085829374327659e+02,9.948570388990022328e-01
3.141742443628806427e+02,9.949063392368435732e-01
3.151402461869831768e+02,9.949557238822667182e-01
3.161066154934461565e+02,9.949997720942572732e-01
3.170733338919628750e+02,9.950401852166820271e-01
3.180403830083040475e+02,9.950815440746515472e-01
3.190077900731080263e+02,9.951235296693557997e-01
3.199755215903692829e+02,9.951621866099771285e-01
3.209436048855079662e+02,9.952165593629899165e-01
3.219120217256491969e+02,9.952555674634764316e-01
3.228807538923538800e+02,9.952940532882151858e-01
3.238498288486521801e+02,9.953318560956639915e-01
3.248192132231363303e+02,9.953791578865741618e-01
3.257889345676440485e+02,9.954142952978473069e-01
3.267589595578256763e+02,9.954584164605626562e-01
3.277293158320640032e+02,9.954943313527583326e-01
3.286999853588473570e+02,9.955290127201592565e-01
3.296709501190509854e+02,9.955705031183356146e-01
3.306422378767845771e+02,9.956080675368221833e-01
3.316138154188627709e+02,9.956446260210204402e-01
3.325857105905826074e+02,9.956810086676443072e-01
3.335579054919003852e+02,9.957243781069280431e-01
3.345303822338565851e+02,9.957593541189595499e-01
3.355031687797415429e+02,9.957949556039598082e-01
3.364762320188908120e+02,9.958294873570801009e-01
3.374495999908204453e+02,9.958626900075678856e-01
3.384232549175849840e+02,9.958905190876724545e-01
3.393971790311383643e+02,9.959299352819303008e-01
