modelo,tipo_top,familia,presion_pa,presion_hpa,tendencia_k_decada
MPI-ESM1-2-LR,high-top,CMIP6,100000.0,1000.0,0.17384259292783716
MPI-ESM1-2-LR,high-top,CMIP6,92500.0,925.0,0.1727068960139758
MPI-ESM1-2-LR,high-top,CMIP6,85000.0,850.0,0.17877876077195237
MPI-ESM1-2-LR,high-top,CMIP6,70000.0,700.0,0.2045358384568271
MPI-ESM1-2-LR,high-top,CMIP6,60000.0,600.0,0.20721307434630115
MPI-ESM1-2-LR,high-top,CMIP6,50000.0,500.0,0.22616454579989104
MPI-ESM1-2-LR,high-top,CMIP6,40000.0,400.0,0.2480156371157835
MPI-ESM1-2-LR,high-top,CMIP6,30000.0,300.0,0.24723039045315026
MPI-ESM1-2-LR,high-top,CMIP6,25000.0,250.0,0.21214952803771459
MPI-ESM1-2-LR,high-top,CMIP6,20000.0,200.0,0.12794305947078516
MPI-ESM1-2-LR,high-top,CMIP6,15000.0,150.0,0.049972605322318855
MPI-ESM1-2-LR,high-top,CMIP6,10000.0,100.0,-0.036982440341992176
MPI-ESM1-2-LR,high-top,CMIP6,7000.0,70.0,-0.2773020471616558
MPI-ESM1-2-LR,high-top,CMIP6,5000.0,50.0,-0.45195619387079555
MPI-ESM1-2-LR,high-top,CMIP6,3000.0,30.0,-0.5284897265669241
MPI-ESM1-2-LR,high-top,CMIP6,2000.0,20.0,-0.5380333794546908
MPI-ESM1-2-LR,high-top,CMIP6,1000.0,10.0,-0.5896932203032456
MPI-ESM1-2-LR,high-top,CMIP6,500.0,5.0,-0.7075502467608276
MPI-ESM1-2-LR,high-top,CMIP6,100.0,1.0,-1.0160643123612265
IITM-ESM,high-top,CMIP6,100000.0,1000.0,0.15184246098506754
IITM-ESM,high-top,CMIP6,92500.0,925.0,0.15294545107147892
IITM-ESM,high-top,CMIP6,85000.0,850.0,0.1579233224969096
IITM-ESM,high-top,CMIP6,70000.0,700.0,0.17629207803142655
IITM-ESM,high-top,CMIP6,60000.0,600.0,0.18510569980859054
IITM-ESM,high-top,CMIP6,50000.0,500.0,0.2090291312391785
IITM-ESM,high-top,CMIP6,40000.0,400.0,0.23941595153360268
IITM-ESM,high-top,CMIP6,30000.0,300.0,0.2514038529898019
IITM-ESM,high-top,CMIP6,25000.0,250.0,0.23551809345174596
IITM-ESM,high-top,CMIP6,20000.0,200.0,0.1483671157577835
IITM-ESM,high-top,CMIP6,15000.0,150.0,0.11796093982632783
IITM-ESM,high-top,CMIP6,10000.0,100.0,0.05980172059339414
IITM-ESM,high-top,CMIP6,7000.0,70.0,-0.1619580917365771
IITM-ESM,high-top,CMIP6,5000.0,50.0,-0.31247631162881684
IITM-ESM,high-top,CMIP6,3000.0,30.0,-0.43187642699095585
IITM-ESM,high-top,CMIP6,2000.0,20.0,-0.48533837625301646
IITM-ESM,high-top,CMIP6,1000.0,10.0,-0.5690023911211115
IITM-ESM,high-top,CMIP6,500.0,5.0,-0.7280411552715775
IITM-ESM,high-top,CMIP6,100.0,1.0,-1.0149107340978993
AWI-CM-1-1-MR,high-top,CMIP6,100000.0,1000.0,0.2779158162417393
AWI-CM-1-1-MR,high-top,CMIP6,92500.0,925.0,0.27129550147001746
AWI-CM-1-1-MR,high-top,CMIP6,85000.0,850.0,0.27309800287916425
AWI-CM-1-1-MR,high-top,CMIP6,70000.0,700.0,0.2923599488420241
AWI-CM-1-1-MR,high-top,CMIP6,60000.0,600.0,0.2868220819606945
AWI-CM-1-1-MR,high-top,CMIP6,50000.0,500.0,0.315791448622822
AWI-CM-1-1-MR,high-top,CMIP6,40000.0,400.0,0.35423770776932684
AWI-CM-1-1-MR,high-top,CMIP6,30000.0,300.0,0.3581838344632729
AWI-CM-1-1-MR,high-top,CMIP6,25000.0,250.0,0.30164711247351494
AWI-CM-1-1-MR,high-top,CMIP6,20000.0,200.0,0.16240388485351978
AWI-CM-1-1-MR,high-top,CMIP6,15000.0,150.0,0.12015578010268232
AWI-CM-1-1-MR,high-top,CMIP6,10000.0,100.0,0.03721671376599116
AWI-CM-1-1-MR,high-top,CMIP6,7000.0,70.0,-0.3014680276042807
AWI-CM-1-1-MR,high-top,CMIP6,5000.0,50.0,-0.4488611580085493
AWI-CM-1-1-MR,high-top,CMIP6,3000.0,30.0,-0.5067985071274014
AWI-CM-1-1-MR,high-top,CMIP6,2000.0,20.0,-0.5180733906158754
AWI-CM-1-1-MR,high-top,CMIP6,1000.0,10.0,-0.5591140380722731
AWI-CM-1-1-MR,high-top,CMIP6,500.0,5.0,-0.6932936030628585
AWI-CM-1-1-MR,high-top,CMIP6,100.0,1.0,-1.0203067116567555
ACCESS-CM2,high-top,CMIP6,100000.0,1000.0,0.19473355851646484
ACCESS-CM2,high-top,CMIP6,92500.0,925.0,0.20757354574402376
